阿必的女性亚母亲,a'bi'de'nv'xing'ya'mu'qin
暴风雨中的七个女性,bao'feng'yu'zhong'de'qi'ge'nv'xing
包甫,bao'fu
宝寿华,bao'shou'hua
包廷,bao'ting
包头,bao'tou
保卫卢沟桥,bao'wei'lu'gou'qiao
包文年,bao'wen'nian
豹子湾战斗,bao'zi'wan'zhan'dou
被放逐者,bei'fang'zhu'zhe
被缚的普罗米修斯,bei'fu'de'pu'luo'mi'xiu'si
北海游,bei'hai'you
被解绑的普罗米修斯,bei'jie'bang'de'pu'luo'mi'xiu'si
北京大爷,bei'jing'da'ye
北京的空气,bei'jing'de'kong'qi
北京琴书,bei'jing'qin'shu
北京人,bei'jing'ren
北京往北是北大荒,bei'jing'wang'bei'shi'bei'da'huang
贝克特,bei'ke'te
蓓蕾尼丝,bei'lei'ni'si
背娃进府,bei'wa'jin'fu
碧血花,bi'xue'hua
毕学祥,bi'xue'xiang
毕英奇,bi'ying'qi
边振新,bian'zhen'xin
表花,biao'hua
别扭话,bie'niu'hua
兵变,bing'bian
兵发云南,bing'fa'yun'nan
玻璃动物园,bo'li'dong'wu'yuan
波利耶克特,bo'li'ye'ke'te
博马舍,bo'ma'she
博萨丘,bo'sa'qiu
波斯人,bo'si'ren
布谷鸟又叫了,bu'gu'niao'you'jiao'le
不可儿戏,bu'ke'er'xi
布拉斯庞德上尉的转变,bu'la'si'pang'de'shang'wei'de'zhuan'bian
哺乳诗,bu'ru'shi
布衣孔子,bu'yi'kong'zi
不愉快戏剧集,bu'yu'kuai'xi'ju'ji
不知秋死在谁家,bu'zhi'qiu'si'zai'shui'jia
不准出生的人,bu'zhun'chu'sheng'de'ren
彩唱,cai'chang
猜地名,cai'di'ming
猜歌,cai'ge
财迷丈人,cai'mi'zhang'ren
蔡培生,cai'pei'sheng
蔡文姬,cai'wen'ji
蔡玉衡,cai'yu'heng
蔡志诚,cai'zhi'cheng
残雾,can'wu
沧海争流,cang'hai'zheng'liu
藏舟,cang'zhou
曹,cao
曹宝春,cao'bao'chun
曹峰,cao'feng
曹刚,cao'gang
曹鸿伟,cao'hong'wei
曹锦,cao'jin
曹金星,cao'jin'xing
曹俊清,cao'jun'qing
草莽英雄,cao'mang'ying'xiong
曹庆波,cao'qing'bo
曹祥,cao'xiang
曹禺,cao'yu
曹中民,cao'zhong'min
厕所,ce'suo
茶馆,cha'guan
查卫生,cha'wei'sheng
茶叶红,cha'ye'hong
拆唱,chai'chang
钗头凤,chai'tou'feng
颤栗,chan'li
长安区剧团,chang'an'qu'ju'tuan
常葆臣,chang'bao'chen
常宝丰,chang'bao'feng
常宝华,chang'bao'hua
常宝霖,chang'bao'lin
常宝霆,chang'bao'ting
常德丝弦,chang'de'si'xian
常福荃,chang'fu'quan
常贵田,chang'gui'tian
常连安,chang'lian'an
常佩业,chang'pei'ye
长夜漫漫路迢迢,chang'ye'man'man'lu'tiao'tiao
朝阳沟,chao'yang'gou
车文通,che'wen'tong
陈宝泰,chen'bao'tai
陈秉文,chen'bing'wen
陈东国,chen'dong'guo
陈冠义,chen'guan'yi
陈桂林,chen'gui'lin
陈桂鑫,chen'gui'xin
陈国华,chen'guo'hua
陈寒柏,chen'han'bai
陈进山,chen'jin'shan
陈君志,chen'jun'zhi
陈连仲,chen'lian'zhong
陈妙华,chen'miao'hua
陈鸣志,chen'ming'zhi
陈庆,chen'qing
陈仁义,chen'ren'yi
陈尚华,chen'shang'hua
陈尚忠,chen'shang'zhong
陈少云,chen'shao'yun
陈世魁,chen'shi'kui
陈世智,chen'shi'zhi
陈树桐,chen'shu'tong
陈松波,chen'song'bo
陈文光,chen'wen'guang
陈文潇,chen'wen'xiao
陈文彦,chen'wen'yan
陈西,chen'xi
陈小虎,chen'xiao'hu
谌笑宇,chen'xiao'yu
陈学富,chen'xue'fu
陈毅出山,chen'yi'chu'shan
陈毅市长,chen'yi'shi'zhang
谌英,chen'ying
陈永海,chen'yong'hai
陈永清,chen'yong'qing
陈涌泉,chen'yong'quan
陈永忠,chen'yong'zhong
陈幼新,chen'you'xin
陈雨农,chen'yu'nong
陈雨亭,chen'yu'ting
陈治华,chen'zhi'hua
沉钟,chen'zhong
陈子度,chen'zi'du
陈紫荃,chen'zi'quan
陈子贞,chen'zi'zhen
程光德,cheng'guang'de
程砚秋,cheng'yan'qiu
成语连篇,cheng'yu'lian'pian
成语新篇,cheng'yu'xin'pian
程之,cheng'zhi
吃饭我掏钱,chi'fan'wo'tao'qian
赤桑镇,chi'sang'zhen
冲破黎明前的黑暗,chong'po'li'ming'qian'de'hei'an
崇寿峰,chong'shou'feng
仇君,chou'jun
川剧,chuan'ju
串调,chuan'tiao
传摇,chuan'yao
吹牛的军人,chui'niu'de'jun'ren
春蚕,chun'can
春长隆,chun'chang'long
春华秋实,chun'hua'qiu'shi
春雨沙沙,chun'yu'sha'sha
刺客,ci'ke
刺王僚,ci'wang'liao
崔宝,cui'bao
崔伯光,cui'bo'guang
崔长武,cui'chang'wu
崔怀禄,cui'huai'lu
崔金泉,cui'jin'quan
崔喜跃,cui'xi'yue
崔喜悦,cui'xi'yue
村官郭秀明,cun'guan'guo'xiu'ming
错误的喜剧,cuo'wu'de'xi'ju
错中错,cuo'zhong'cuo
打百分,da'bai'fen
大保国,da'bao'guo
打柴劝弟,da'chai'quan'di
打出幽灵塔,da'chu'you'ling'ta
大胆,da'dan
大胆妈妈和她的孩子们,da'dan'ma'ma'he'ta'de'hai'zi'men
大登殿,da'deng'dian
大地龙蛇,da'di'long'she
大风歌,da'feng'ge
大鼓,da'gu
大荒野,da'huang'ye
大会见闻,da'hui'jian'wen
打金枝,da'jin'zhi
大雷雨,da'lei'yu
大力士的女儿,da'li'shi'de'nv'er
大力士洛玛刻,da'li'shi'luo'ma'ke
打銮驾,da'luan'jia
达奈俄斯的女儿们,da'nai'e'si'de'nv'er'men
大闹县衙门,da'nao'xian'ya'men
打牌论,da'pai'lun
打砂锅,da'sha'guo
大山,da'shan
大上寿,da'shang'shou
打神告庙,da'shen'gao'miao
打野鸭,da'ye'ya
打渔杀家,da'yu'sha'jia
打镇台,da'zhen'tai
戴宝康,dai'bao'kang
戴福月,dai'fu'yue
带后院的四合院在这个家庭里,dai'hou'yuan'de'si'he'yuan'zai'zhe'ge'jia'ting'li
戴少甫,dai'shao'fu
戴志诚,dai'zhi'cheng
戴致斋,dai'zhi'zhai
胆剑篇,dan'jian'pian
单联丽,dan'lian'li
单松亭,dan'song'ting
单弦,dan'xian
丹心谱,dan'xin'pu
党甘亭,dang'gan'ting
当行论,dang'hang'lun
党金良,dang'jin'liang
荡子,dang'zi
到大马士革去,dao'da'ma'shi'ge'qu
到民间去,dao'min'jian'qu
到瓦萨,dao'wa'sa
倒字,dao'zi
等待戈多,deng'dai'ge'duo
邓继增,deng'ji'zeng
邓沐玮,deng'mu'wei
邓世杰,deng'shi'jie
等太太回来的时候,deng'tai'tai'hui'lai'de'shi'hou
邓文丰,deng'wen'feng
邓小林,deng'xiao'lin
底层,di'ceng
第二个春天,di'er'ge'chun'tian
迪伦多尼,di'lun'duo'ni
迪伦略传,di'lun'lue'zhuan
迪伦马特,di'lun'ma'te
第十二夜,di'shi'er'ye
第五号病室,di'wu'hao'bing'shi
地质师,di'zhi'shi
奠酒人,dian'jiu'ren
滇剧,dian'ju
电梯奇遇,dian'ti'qi'yu
点子公司,dian'zi'gong'si
丁伯品,ding'bo'pin
丁广和,ding'guang'he
丁广泉,ding'guang'quan
丁金声,ding'jin'sheng
定军山,ding'jun'shan
丁良生,ding'liang'sheng
丁守义,ding'shou'yi
丁文盛,ding'wen'sheng
丁文元,ding'wen'yuan
丁西林,ding'xi'lin
丁玉鹏,ding'yu'peng
丁振雨,ding'zhen'yu
董,dong
董长禄,dong'chang'lu
洞房破迷信,dong'fang'po'mi'xin
东航女儿,dong'hang'nv'er
东进序曲,dong'jin'xu'qu
董漠涵,dong'mo'han
董启威,dong'qi'wei
董树良,dong'shu'liang
冬天的故事,dong'tian'de'gu'shi
董铁良,dong'tie'liang
董湘臣,dong'xiang'chen
洞箫横吹,dong'xiao'heng'chui
董小柱,dong'xiao'zhu
董英,dong'ying
窦娥冤,dou'e'yuan
都门纪略,dou'men'ji'lue
杜国芝,du'guo'zhi
杜宏圻,du'hong'qi
杜茂林,du'mao'lin
独目巨人,du'mu'ju'ren
杜培玉,du'pei'yu
杜三宝,du'san'bao
段军,duan'jun
对玉杯,dui'yu'bei
多层饭店,duo'ceng'fan'dian
夺锦楼,duo'jin'lou
俄狄浦斯,e'di'pu'si
俄底浦斯王,e'di'pu'si'wang
俄狄浦斯王,e'di'pu'si'wang
俄底浦斯在克罗诺斯,e'di'pu'si'zai'ke'luo'nuo'si
厄尔尼诺报告,e'er'ni'nuo'bao'gao
俄亥俄即兴之作,e'hai'e'ji'xing'zhi'zuo
厄勒克拉特,e'le'ke'la'te
厄勒克特拉,e'le'ke'te'la
厄里克十四,e'li'ke'shi'si
额瑞斯特斯,e'rui'si'te'si
俄瑞斯特斯,e'rui'si'te'si
俄瑞斯忒亚,e'rui'si'tei'ya
恩绪,en'xu
二次大战中的帅克,er'ci'da'zhan'zhong'de'shuai'ke
二进宫,er'jin'gong
二楼子,er'lou'zi
儿女赞,er'nv'zan
二人转,er'ren'zhuan
二堂舍子,er'tang'she'zi
二战中的帅克,er'zhan'zhong'de'shuai'ke
法门寺,fa'men'si
法西斯细菌,fa'xi'si'xi'jun
伐子都,fa'zi'du
范长利,fan'chang'li
范传辅,fan'chuan'fu
反翻把斗争,fan'fan'ba'dou'zheng
樊光耀,fan'guang'yao
范派,fan'pai
范瑞亭,fan'rui'ting
范文欣,fan'wen'xin
樊新民,fan'xin'min
范振钰,fan'zhen'yu
反正话,fan'zheng'hua
方,fang
方伯华,fang'bo'hua
防不胜防,fang'bu'sheng'fang
芳草天涯,fang'cao'tian'ya
房国群,fang'guo'qun
方金亮,fang'jin'liang
方老师,fang'lao'shi
放下你的鞭子,fang'xia'ni'de'bian'zi
方笑文,fang'xiao'wen
方珍珠,fang'zhen'zhu
方志清,fang'zhi'qing
费殿臣,fei'dian'chen
废话趣谈,fei'hua'qu'tan
费加罗的婚礼,fei'jia'luo'de'hun'li
费加罗三部曲,fei'jia'luo'san'bu'qu
菲洛克忒忒斯,fei'luo'ke'tei'tei'si
腓尼基的妇女,fei'ni'ji'de'fu'nv
废墟中环,fei'xu'zhong'huan
飞油壶,fei'you'hu
汾河湾,fen'he'wan
愤世嫉俗,fen'shi'ji'su
冯宝华,feng'bao'hua
奉承人,feng'cheng'ren
冯春岭,feng'chun'ling
冯大荃,feng'da'quan
冯芳,feng'fang
风格赞,feng'ge'zan
冯巩,feng'gong
冯景顺,feng'jing'shun
疯狂过年车,feng'kuang'guo'nian'che
冯乐福,feng'le'fu
冯立铎,feng'li'duo
冯立全,feng'li'quan
冯立樟,feng'li'zhang
冯敏山,feng'min'shan
风雪夜归人,feng'xue'ye'gui'ren
冯洋,feng'yang
枫叶红了的时候,feng'ye'hong'le'de'shi'hou
冯翊纲,feng'yi'gang
冯永志,feng'yong'zhi
冯幼封,feng'you'feng
风雨故人来,feng'yu'gu'ren'lai
风月无边,feng'yue'wu'bian
风云儿女,feng'yun'er'nv
风云人物,feng'yun'ren'wu
冯振声,feng'zhen'sheng
封至模,feng'zhi'mo
风中少林,feng'zhong'shao'lin
冯子玉,feng'zi'yu
福保仁,fu'bao'ren
付宝山,fu'bao'shan
复仇女神,fu'chou'nv'shen
付海峰,fu'hai'feng
副净,fu'jing
富了以后,fu'le'yi'hou
傅派,fu'pai
傅鹏,fu'peng
父亲,fu'qin
付生,fu'sheng
浮士德,fu'shi'de
富寿严,fu'shou'yan
伏维希舅舅,fu'wei'xi'jiu'jiu
傅向波,fu'xiang'bo
富有的女人,fu'you'de'nv'ren
付振江,fu'zhen'jiang
旮旯胡同,ga'la'hu'tong
改歌,gai'ge
盖陕西,gai'shan'xi
干杯,gan'bei
甘露寺,gan'lu'si
杠刀子,gang'dao'zi
高滨江,gao'bin'jiang
高超勇,gao'chao'yong
高东明,gao'dong'ming
高尔基,gao'er'ji
高飞,gao'fei
高峰,gao'feng
高凤起,gao'feng'qi
高凤山,gao'feng'shan
高桂清,gao'gui'qing
高吉林,gao'ji'lin
高吉庆,gao'ji'qing
高加索灰阑记,gao'jia'suo'hui'lan'ji
高渐离,gao'jian'li
高金奎,gao'jin'kui
高陵县剧团,gao'ling'xian'ju'tuan
高乃依,gao'nai'yi
高人一头的人,gao'ren'yi'tou'de'ren
高寿亭,gao'shou'ting
高顺来,gao'shun'lai
高闻奎,gao'wen'kui
高闻元,gao'wen'yuan
高笑临,gao'xiao'lin
高秀琴,gao'xiu'qin
高英培,gao'ying'pei
高幼峰,gao'you'feng
高元钧,gao'yuan'jun
哥本哈根,ge'ben'ha'gen
哥们儿折腾记,ge'men'er'zhe'teng'ji
耿宝林,geng'bao'lin
耿伯扬,geng'bo'yang
耿鸿,geng'hong
庚娘杀仇,geng'niang'sha'chou
耿其昌,geng'qi'chang
耿文卿,geng'wen'qing
耿炎,geng'yan
耿勇,geng'yong
巩固,gong'gu
巩汉林,gong'han'lin
宫兰欣,gong'lan'xin
龚玉章,gong'yu'zhang
龚哲平,gong'zhe'ping
狗儿爷涅槃,gou'er'ye'nie'pan
狗儿爷涅盘,gou'er'ye'nie'pan
狗儿爷涅磐,gou'er'ye'nie'pan
苟家滩,gou'jia'tan
狗噘嘴,gou'jue'zui
狗熊大象,gou'xiong'da'xiang
顾海泉,gu'hai'quan
故事新编,gu'shi'xin'bian
古潭的声音,gu'tan'de'sheng'yin
古玩,gu'wan
故意伤害,gu'yi'shang'hai
挂在墙上的老,gua'zai'qiang'shang'de'lao
关宝奇,guan'bao'qi
管波,guan'bo
关春山,guan'chun'shan
关东大集,guan'dong'da'ji
关栋天,guan'dong'tian
鳏夫的房产,guan'fu'de'fang'chan
关汉卿,guan'han'qing
关阔,guan'kuo
关立铭,guan'li'ming
关立铨,guan'li'quan
关松明,guan'song'ming
关文庆,guan'wen'qing
关自仁,guan'zi'ren
广东粤曲,guang'dong'yue'qu
桄桄,guang'guang
广阔泉,guang'kuo'quan
光绪亲政记,guang'xu'qin'zheng'ji
鬼魂奏鸣曲,gui'hun'zou'ming'qu
规矩套子,gui'ju'tao'zi
归去来兮,gui'qu'lai'xi
贵人尔德巴依,gui'ren'er'de'ba'yi
贵人迷,gui'ren'mi
桂祯,gui'zhen
果,guo
郭葆华,guo'bao'hua
郭宝明,guo'bao'ming
郭宝珊,guo'bao'shan
郭宝瑛,guo'bao'ying
郭伯良,guo'bo'liang
郭伯山,guo'bo'shan
郭春堂,guo'chun'tang
郭德纲,guo'de'gang
郭得喜,guo'de'xi
郭迪传,guo'di'chuan
郭迪业,guo'di'ye
果戈理,guo'ge'li
郭宏继,guo'hong'ji
郭嘉强,guo'jia'qiang
国家至上,guo'jia'zhi'shang
果克,guo'ke
郭明霞,guo'ming'xia
郭沫若,guo'mo'ruo
郭起,guo'qi
郭启儒,guo'qi'ru
郭秋林,guo'qiu'lin
郭全宝,guo'quan'bao
郭仁金,guo'ren'jin
郭荣起,guo'rong'qi
郭士中,guo'shi'zhong
郭淑华,guo'shu'hua
果树青,guo'shu'qing
郭双印连他乡党,guo'shuang'yin'lian'ta'xiang'dang
郭铁林,guo'tie'lin
郭文超,guo'wen'chao
郭文岐,guo'wen'qi
郭文歧,guo'wen'qi
郭文寿,guo'wen'shou
郭祥林,guo'xiang'lin
郭晓小,guo'xiao'xiao
郭新,guo'xin
郭娱,guo'yu
蛤蟆鼓,ha'ma'gu
海盗,hai'dao
海伦,hai'lun
海鸥,hai'ou
韩刚甲,han'gang'jia
韩光,han'guang
韩广海,han'guang'hai
韩兰成,han'lan'cheng
含梨片,han'li'pian
韩青天,han'qing'tian
韩文光,han'wen'guang
韩翔,han'xiang
韩笑,han'xiao
韩小痴,han'xiao'chi
韩秀英,han'xiu'ying
韩正满,han'zheng'man
韩子康,han'zi'kang
郝爱民,hao'ai'min
郝莲露,hao'lian'lu
郝英辰,hao'ying'chen
河北梆子,he'bei'bang'zi
赫卡柏,he'ka'bai
贺拉斯,he'la'si
河南坠子,he'nan'zhui'zi
何善平,he'shan'ping
何世铭,he'shi'ming
何寿亭,he'shou'ting
何树成,he'shu'cheng
河湾洗衣,he'wan'xi'yi
何玉清,he'yu'qing
赫哲人的婚礼,he'zhe'ren'de'hun'li
荷珠新配,he'zhu'xin'pei
黑地狱,hei'di'yu
黑叮本,hei'ding'ben
黑虎坐台,hei'hu'zuo'tai
黑奴吁天录,hei'nu'xu'tian'lu
黑字二十八,hei'zi'er'shi'ba
亨利八世,heng'li'ba'shi
亨利二世,heng'li'er'shi
亨利六世,heng'li'liu'shi
亨利四世,heng'li'si'shi
亨利五世,heng'li'wu'shi
恒瑞丰,heng'rui'feng
红白喜事,hong'bai'xi'shi
红鼻子,hong'bi'zi
红尘,hong'chen
红河谷,hong'he'gu
红楼百科,hong'lou'bai'ke
红旗歌,hong'qi'ge
红蜻蜓,hong'qing'ting
洪水,hong'shui
洪羊洞,hong'yang'dong
烘窑,hong'yao
红鬃烈马,hong'zong'lie'ma
侯宝林,hou'bao'lin
侯长喜,hou'chang'xi
侯大明白,hou'da'ming'bai
侯扶倒,hou'fu'dao
侯冠男,hou'guan'nan
侯冠群,hou'guan'qun
侯红琴,hou'hong'qin
侯连友,hou'lian'you
侯少尘,hou'shao'chen
侯式发音法,hou'shi'fa'yin'fa
侯孝才,hou'xiao'cai
侯耀文,hou'yao'wen
侯一尘,hou'yi'chen
湖北大鼓,hu'bei'da'gu
胡必达,hu'bi'da
胡不字,hu'bu'zi
蝴蝶杯,hu'die'bei
蝴蝶夫人,hu'die'fu'ren
虎符,hu'fu
沪剧,hu'ju
虎踞钟山,hu'ju'zhong'shan
胡可,hu'ke
虎口遐想,hu'kou'xia'xiang
虎口缘,hu'kou'yuan
胡兰亭,hu'lan'ting
护领,hu'ling
胡桃夹子,hu'tao'jia'zi
胡屯胜,hu'tun'sheng
胡伟新,hu'wei'xin
胡振江,hu'zhen'jiang
胡仲仁,hu'zhong'ren
花部农谭,hua'bu'nong'tan
花旦,hua'dan
花灯,hua'deng
花房姑娘,hua'fang'gu'niang
花近高楼,hua'jin'gao'lou
华伦夫人的职业,hua'lun'fu'ren'de'zhi'ye
花木兰,hua'mu'lan
画扇面儿,hua'shan'mian'er
华士泉,hua'shi'quan
花亭会,hua'ting'hui
花与剑,hua'yu'jian
华子元,hua'zi'yuan
坏话一条街,huai'hua'yi'tiao'jie
槐庆堂集,huai'qing'tang'ji
槐树庄,huai'shu'zhuang
怀疑,huai'yi
环珴璘与蔷薇,huan'e'lin'yu'qiang'wei
黄,huang
黄半仙,huang'ban'xian
黄鹤来,huang'he'lai
黄鹤楼,huang'he'lou
黄宏,huang'hong
皇家广场,huang'jia'guang'chang
黄金赤血,huang'jin'chi'xue
黄金时代,huang'jin'shi'dai
黄梅戏,huang'mei'xi
黄铁良,huang'tie'liang
黄土谣,huang'tu'yao
黄文斌,huang'wen'bin
黄文祥,huang'wen'xiang
黄文忠,huang'wen'zhong
黄英玉,huang'ying'yu
荒原与人,huang'yuan'yu'ren
黄运成,huang'yun'cheng
黄志强,huang'zhi'qiang
黄族民,huang'zu'min
回春之曲,hui'chun'zhi'qu
回婉华,hui'wan'hua
婚姻与迷信,hun'yin'yu'mi'xin
火红的心,huo'hong'de'xin
获虎之夜,huo'hu'zhi'ye
霍普特曼,huo'pu'te'man
火神与秋女,huo'shen'yu'qiu'nv
火天使,huo'tian'shi
霍文龙,huo'wen'long
火焰驹,huo'yan'ju
火之跳舞,huo'zhi'tiao'wu
祭灯,ji'deng
饥饿海峡,ji'e'hai'xia
几儿加美体,ji'er'jia'mei'ti
吉马,ji'ma
纪念碑,ji'nian'bei
吉坪三,ji'ping'san
吉庆有余,ji'qing'you'yu
吉赛尔,ji'sai'er
纪文葵,ji'wen'kui
纪文奎,ji'wen'kui
激友,ji'you
纪元,ji'yuan
贾承伯,jia'cheng'bo
假行家,jia'hang'jia
假话世家,jia'hua'shi'jia
贾冀光,jia'ji'guang
加勒比斯之月,jia'le'bi'si'zhi'yue
迦犁陀娑,jia'li'tuo'suo
贾世泉,jia'shi'quan
家庭恩怨记,jia'ting'en'yuan'ji
家庭喜剧,jia'ting'xi'ju
甲午海战,jia'wu'hai'zhan
假灶王,jia'zao'wang
贾振良,jia'zhen'liang
建筑大师,jian'zhu'da'shi
姜宝林,jiang'bao'lin
姜伯华,jiang'bo'hua
讲帝号,jiang'di'hao
姜桂成,jiang'gui'cheng
江汉渔歌,jiang'han'yu'ge
江姐,jiang'jie
姜昆,jiang'kun
蒋明孝,jiang'ming'xiao
江其虎,jiang'qi'hu
焦葆奎,jiao'bao'kui
焦德海,jiao'de'hai
交地租,jiao'di'zu
轿夫新传,jiao'fu'xin'zhuan
焦立海,jiao'li'hai
焦寿海,jiao'shou'hai
焦晓春,jiao'xiao'chun
缴月舒,jiao'yue'shu
皆大欢喜,jie'da'huan'xi
借东风,jie'dong'feng
借方与贷方,jie'fang'yu'dai'fang
结婚,jie'hun
解学士,jie'xue'shi
靳宝琏,jin'bao'lian
金炳昶,jin'bing'chang
晋福长,jin'fu'chang
靳金来,jin'jin'lai
晋剧,jin'ju
金沙滩,jin'sha'tan
金少山,jin'shao'shan
金声玉报,jin'sheng'yu'bao
金涛,jin'tao
金文和,jin'wen'he
金文智,jin'wen'zhi
金笑天,jin'xiao'tian
金幼峰,jin'you'feng
金幼实,jin'you'shi
金钰堂,jin'yu'tang
金兆庆,jin'zhao'qing
金正,jin'zheng
金珠,jin'zhu
敬德洗马,jing'de'xi'ma
敬夫,jing'fu
京剧,jing'ju
荆林野,jing'lin'ye
京韵大鼓,jing'yun'da'gu
靖正恭,jing'zheng'gong
靖正铭,jing'zheng'ming
九点钟开始,jiu'dian'zhong'kai'shi
酒后,jiu'hou
救救孩子,jiu'jiu'hai'zi
九三年,jiu'san'nian
绝对信号,jue'dui'xin'hao
卡尔罗,ka'er'luo
咖啡店之一夜,ka'fei'dian'zhi'yi'ye
卡门,ka'men
卡奈人,ka'nai'ren
开场小唱,kai'chang'xiao'chang
开会迷,kai'hui'mi
凯撒和写的奥佩屈拉,kai'sa'he'xie'de'ao'pei'qu'la
看女,kan'nv
看山虎,kan'shan'hu
阚天忠,kan'tian'zhong
康达夫,kang'da'fu
康徳函,kang'de'han
康蒂妲,kang'di'da
康对山,kang'dui'shan
康桂生,kang'gui'sheng
康家班,kang'jia'ban
康立本,kang'li'ben
康松广,kang'song'guang
康友纯,kang'you'chun
康正绪,kang'zheng'xu
克拉普最后的录音带,ke'la'pu'zui'hou'de'lu'yin'dai
可笑的女才子,ke'xiao'de'nv'cai'zi
空城计,kong'cheng'ji
空笼故事,kong'long'gu'shi
孔雀胆,kong'que'dan
孔雀东南飞,kong'que'dong'nan'fei
孔文敬,kong'wen'jing
寇庚杰,kou'geng'jie
寇庚儒,kou'geng'ru
寇连荣,kou'lian'rong
寇寿亭,kou'shou'ting
口吐莲花,kou'tu'lian'hua
口语说唱,kou'yu'shuo'chang
哭的艺术,ku'de'yi'shu
哭墓,ku'mu
哭秦庭,ku'qin'ting
哭五更,ku'wu'geng
苦音跳门坎,ku'yin'tiao'men'kan
哭祖庙,ku'zu'miao
夸讲究,kua'jiang'jiu
夸住宅,kua'zhu'zhai
狂欢的一日,kuang'huan'de'yi'ri
狂流,kuang'liu
狂想曲,kuang'xiang'qu
拉辛,la'xin
来宝刚,lai'bao'gang
来德如,lai'de'ru
莱俄斯,lai'e'si
来和去,lai'he'qu
来少如,lai'shao'ru
兰文甫,lan'wen'fu
兰州人家,lan'zhou'ren'jia
郎庆浪,lang'qing'lang
郎祖筠,lang'zu'jun
老旦,lao'dan
老妇还乡,lao'fu'huan'xiang
老人话时代,lao'ren'hua'shi'dai
老少乐,lao'shao'le
老舍,lao'she
老生,lao'sheng
老鼠秘语,lao'shu'mi'yu
乐亭大鼓,lao'ting'da'gu
老头醉酒,lao'tou'zui'jiu
老顽固,lao'wan'gu
乐观的悲剧,le'guan'de'bei'ju
勒头,le'tou
雷开元,lei'kai'yuan
雷文顺,lei'wen'shun
雷雨,lei'yu
李宝麒,li'bao'qi
李宝森,li'bao'sen
李宝山,li'bao'shan
李宝璋,li'bao'zhang
李炳杰,li'bing'jie
李伯仁,li'bo'ren
李伯祥,li'bo'xiang
理查二世,li'cha'er'shi
理查三世,li'cha'san'shi
李长春,li'chang'chun
李崇武,li'chong'wu
李存民,li'cun'min
李德祥,li'de'xiang
李德钖,li'de'yang
李得子,li'de'zi
李迪域,li'di'yu
李迪振,li'di'zhen
李东桥,li'dong'qiao
李尔王,li'er'wang
李发牢,li'fa'lao
李凤鸣,li'feng'ming
李凤山,li'feng'shan
李富荣,li'fu'rong
李福盛,li'fu'sheng
李桂山,li'gui'shan
李国权,li'guo'quan
李国瑞,li'guo'rui
李国盛,li'guo'sheng
李国先,li'guo'xian
李国修,li'guo'xiu
李国英,li'guo'ying
李浩然,li'hao'ran
离婚前奏曲,li'hun'qian'zou'qu
李霁霞,li'ji'xia
李嘉存,li'jia'cun
李佳举,li'jia'ju
