阿会喃,a'hui'nan
蒋班,jiang'ban
蒋斌,jiang'bin
蒋干,jiang'gan
蒋济,jiang'ji
姜冏,jiang'jiong
蒋奇,jiang'qi
蒋钦,jiang'qin
蒋舒,jiang'shu
蒋琬,jiang'wan
姜维,jiang'wei
蒋显,jiang'xian
姜叙,jiang'xu
姜叙母,jiang'xu'mu
蒋延,jiang'yan
蒋义渠,jiang'yi'qu
焦炳,jiao'bing
焦伯,jiao'bo
焦触,jiao'chu
焦彝,jiao'yi
金环三结,jin'huan'san'jie
金尚,jin'shang
靳祥,jin'xiang
金旋,jin'xuan
金祎,jin'yi
句安,ju'an
沮鹄,ju'hu
沮授,ju'shou
军士,jun'shi
阚泽,kan'ze
轲比能,ke'bi'neng
孔亻由,kong'dan'you
孔融,kong'rong
孔秀,kong'xiu
孔昱,kong'yu
孔宙,kong'zhou
蒯良,kuai'liang
蒯越,kuai'yue
赖恭,lai'gong
来敏,lai'min
乐进,le'jin
乐就,le'jiu
乐綝,le'shen
雷薄,lei'bo
雷铜,lei'tong
雷叙,lei'xu
李别,li'bie
李崇,li'chong
李春香,li'chun'xiang
李典,li'dian
李丰,li'feng
李封,li'feng
李辅,li'fu
李伏,li'fu
李孚,li'fu
李服,li'fu
李福,li'fu
李珪,li'gui
李虎,li'hu
李恢,li'hui
李傕,li'jue
李堪,li'kan
李乐,li'le
李蒙,li'meng
李鹏,li'peng
李球,li'qiu
李儒,li'ru
李胜,li'sheng
李氏,li'shi
梨树神,li'shu'shen
李肃,li'su
李通,li'tong
李暹,li'xian
李歆,li'xin
李严,li'yan
李异,li'yi
李意,li'yi
李膺,li'ying
李撰,li'zhuan
梁刚,liang'gang
梁畿,liang'ji
梁宽,liang'kuan
梁虔,liang'qian
梁兴,liang'xing
梁绪,liang'xu
廖淳,liao'chun
廖化,liao'hua
廖立,liao'li
泠苞,ling'bao
凌操,ling'cao
凌统,ling'tong
刘艾,liu'ai
刘安,liu'an
刘巴,liu'ba
刘豹,liu'bao
刘备,liu'bei
刘辩,liu'bian
刘表,liu'biao
刘禅,liu'chan
刘苌,liu'chang
刘丞,liu'cheng
刘宠,liu'chong
刘琮,liu'cong
刘达,liu'da
刘岱,liu'dai
刘度,liu'du
刘范,liu'fan
刘放,liu'fang
刘封,liu'feng
刘馥,liu'fu
柳甫,liu'fu
刘合,liu'he
刘恢,liu'hui
刘理,liu'li
留略,liu'lue
刘瑁,liu'mao
刘泌,liu'mi
刘敏,liu'min
刘宁,liu'ning
刘磐,liu'pan
刘辟,liu'pi
留平,liu'ping
刘琦,liu'qi
刘璩,liu'qu
刘日俊,liu'ri'jun
刘劭,liu'shao
刘谌,liu'shen
刘寔,liu'shi
刘氏,liu'shi
刘陶,liu'tao
刘琬,liu'wan
刘王贵,liu'wang'gui
刘熙,liu'xi
刘贤,liu'xian
刘先,liu'xian
刘协,liu'xie
刘勋,liu'xun
刘循,liu'xun
刘恂,liu'xun
刘延,liu'yan
刘焉,liu'yan
刘琰,liu'yan
刘瑶,liu'yao
刘繇,liu'yao
刘晔,liu'ye
刘廙,liu'yi
刘永,liu'yong
刘虞,liu'yu
刘元起,liu'yuan'qi
刘瓒,liu'zan
留赞,liu'zan
刘璋,liu'zhang
刘子扬,liu'zi'yang
楼玄,lou'xuan
娄子伯,lou'zi'bo
卤城太守,lu'cheng'tai'shou
陆绩,lu'ji
陆景,lu'jing
陆骏,lu'jun
陆凯,lu'kai
陆康,lu'kang
陆抗,lu'kang
鲁馗,lu'kui
鲁肃,lu'su
陆逊,lu'xun
卢逊,lu'xun
陆纡,lu'yu
路昭,lu'zhao
鲁芝,lu'zhi
卢植,lu'zhi
伦直,lun'zhi
骆统,luo'tong
吕霸,lv'ba
吕伯奢,lv'bo'she
吕布,lv'bu
吕常,lv'chang
吕岱,lv'dai
吕范,lv'fan
吕公,lv'gong
吕建,lv'jian
吕据,lv'ju
吕凯,lv'kai
吕旷,lv'kuang
吕蒙,lv'meng
吕虔,lv'qian
吕通,lv'tong
吕威璜,lv'wei'huang
吕翔,lv'xiang
吕义,lv'yi
马超,ma'chao
马岱,ma'dai
马汉,ma'han
马均,ma'jun
马良,ma'liang
马邈,ma'miao
马日磾,ma'ri'di
马融,ma'rong
马肃,ma'su
马谡,ma'su
马腾,ma'teng
马铁,ma'tie
马玩,ma'wan
马休,ma'xiu
马延,ma'yan
马宇,ma'yu
马玉,ma'yu
马元义,ma'yuan'yi
马忠,ma'zhong
马遵,ma'zun
满宠,man'chong
忙牙长,mang'ya'chang
毛玠,mao'jie
毛氏,mao'shi
孟达,meng'da
孟公威,meng'gong'wei
孟光,meng'guang
孟获,meng'huo
孟节,meng'jie
孟坦,meng'tan
孟优,meng'you
孟宗,meng'zong
迷当,mi'dang
糜芳,mi'fang
糜夫人,mi'fu'ren
祢衡,mi'heng
糜竺,mi'zhu
苗泽,miao'ze
闵贡,min'gong
木鹿大王,mu'lu'da'wang
慕容烈,mu'rong'lie
穆顺,mu'shun
南华老仙,nan'hua'lao'xian
宁随,ning'sui
牛辅,niu'fu
牛金,niu'jin
潘凤,pan'feng
潘夫人,pan'fu'ren
潘举,pan'ju
潘濬,pan'jun
潘遂,pan'sui
潘隐,pan'yin
潘璋,pan'zhang
庞德,pang'de
庞德公,pang'de'gong
庞会,pang'hui
庞柔,pang'rou
庞舒,pang'shu
庞统,pang'tong
庞羲,pang'xi
庞义,pang'yi
裴景,pei'jing
裴秀,pei'xiu
裴绪,pei'xu
裴元绍,pei'yuan'shao
彭安,peng'an
彭伯,peng'bo
彭和,peng'he
彭羕,peng'yang
普净,pu'jing
濮阳兴,pu'yang'xing
牵弘,qian'hong
乔国老,qiao'guo'lao
乔瑁,qiao'mao
桥蕤,qiao'rui
桥玄,qiao'xuan
谯周,qiao'zhou
秦朗,qin'lang
秦良,qin'liang
秦宓,qin'mi
秦明,qin'ming
秦琪,qin'qi
秦庆童,qin'qing'tong
清河公主,qing'he'gong'zhu
丘本,qiu'ben
丘建,qiu'jian
区星,qu'xing
麹义,qu'yi
全琮,quan'cong
全端,quan'duan
全后,quan'hou
全纪,quan'ji
全尚,quan'shang
全尚妻,quan'shang'qi
全怿,quan'yi
全祎,quan'yi
却正,que'zheng
任峻,ren'jun
任夔,ren'kui
沙摩柯,sha'mo'ke
山神,shan'shen
山涛,shan'tao
尚广,shang'guang
尚弘,shang'hong
邵悌,shao'ti
申耽,shen'dan
审配,shen'pei
审荣,shen'rong
申仪,shen'yi
沈莹,shen'ying
石苞,shi'bao
石广元,shi'guang'yuan
史涣,shi'huan
史迹,shi'ji
师婆,shi'po
施朔,shi'shuo
师纂,shi'zuan
司蕃,si'fan
司马防,si'ma'fang
司马孚,si'ma'fu
司马徽,si'ma'hui
司马隽,si'ma'juan
司马朗,si'ma'lang
司马师,si'ma'shi
司马望,si'ma'wang
司马炎,si'ma'yan
司马懿,si'ma'yi
司马攸,si'ma'you
司马昭,si'ma'zhao
宋白,song'bai
宋果,song'guo
宋谦,song'qian
宋宪,song'xian
宋忠,song'zhong
苏飞,su'fei
苏双,su'shuang
苏由,su'you
苏顒,su'yu
苏越,su'yue
孙策,sun'ce
孙登,sun'deng
孙端,sun'duan
孙恩,sun'en
孙干,sun'gan
孙高,sun'gao
孙恭,sun'gong
孙观,sun'guan
孙皓,sun'hao
孙和,sun'he
孙河,sun'he
孙桓,sun'huan
孙冀,sun'ji
孙坚,sun'jian
孙皎,sun'jiao
孙静,sun'jing
孙据,sun'ju
孙峻,sun'jun
孙闿,sun'kai
孙楷,sun'kai
孙匡,sun'kuang
孙朗,sun'lang
孙礼,sun'li
孙亮,sun'liang
孙谦,sun'qian
孙乾,sun'qian
孙权,sun'quan
孙仁,sun'ren
孙尚香,sun'shang'xiang
孙韶,sun'shao
孙綝,sun'shen
孙歆,sun'xin
孙休,sun'xiu
孙秀,sun'xiu
孙异,sun'yi
孙翊,sun'yi
孙瑜,sun'yu
孙仲,sun'zhong
孙资,sun'zi
蹋顿,ta'dun
太史慈,tai'shi'ci
太史亨,tai'shi'heng
檀敷,tan'fu
谭雄,tan'xiong
唐彬,tang'bin
唐妃,tang'fei
唐周,tang'zhou
唐咨,tang'zi
陶濬,tao'jun
陶谦,tao'qian
陶商,tao'shang
陶应,tao'ying
滕循,teng'xun
滕胤,teng'yin
田畴,tian'chou
田丰,tian'feng
田楷,tian'kai
田氏,tian'shi
田续,tian'xu
田豫,tian'yu
田章,tian'zhang
土安,tu'an
万彧,wan'yu
万政,wan'zheng
王必,wang'bi
王粲,wang'can
王昌,wang'chang
王昶,wang'chang
王敦,wang'dun
王方,wang'fang
王甫,wang'fu
王夫人,wang'fu'ren
王观,wang'guan
王瓘,wang'guan
王含,wang'han
王浑,wang'hun
王基,wang'ji
王建,wang'jian
王经,wang'jing
王濬,wang'jun
王楷,wang'kai
王伉,wang'kang
王匡,wang'kuang
王朗,wang'lang
王累,wang'lei
王立,wang'li
王连,wang'lian
王买,wang'mai
王美人,wang'mei'ren
王谋,wang'mou
王平,wang'ping
王颀,wang'qi
王戎,wang'rong
王沈,wang'shen
王氏,wang'shi
王双,wang'shuang
王肃,wang'su
王韬,wang'tao
王威,wang'wei
王祥,wang'xiang
王修,wang'xiu
王琰,wang'yan
王业,wang'ye
王邑,wang'yi
王允,wang'yun
王则,wang'ze
汪昭,wang'zhao
王真,wang'zhen
王植,wang'zhi
王忠,wang'zhong
王子服,wang'zi'fu
卫瓘,wei'guan
卫弘,wei'hong
韦晃,wei'huang
卫凯,wei'kai
韦康,wei'kang
魏邈,wei'miao
魏平,wei'ping
魏续,wei'xu
魏延,wei'yan
卫演,wei'yan
卫仲道,wei'zhong'dao
文丑,wen'chou
文虎,wen'hu
文聘,wen'pin
文钦,wen'qin
文淑,wen'shu
武安国,wu'an'guo
吴班,wu'ban
吾粲,wu'can
吴臣,wu'chen
吴敦,wu'dun
伍孚,wu'fu
吴夫人,wu'fu'ren
吴纲,wu'gang
吴国太,wu'guo'tai
乌桓触,wu'huan'chu
吴景,wu'jing
吴匡,wu'kuang
吴兰,wu'lan
吴妻,wu'qi
伍琼,wu'qiong
毋丘甸,wu'qiu'dian
毋丘俭,wu'qiu'jian
吴氏,wu'shi
吴硕,wu'shuo
兀突骨,wu'tu'gu
伍习,wu'xi
吴押狱,wu'ya'yu
伍延,wu'yan
吾彦,wu'yan
舞阳君,wu'yang'jun
吴懿,wu'yi
吴质,wu'zhi
吴子兰,wu'zi'lan
郗虑,xi'lv
奚泥,xi'ni
夏侯霸,xia'hou'ba
夏侯存,xia'hou'cun
夏侯德,xia'hou'de
夏侯惇,xia'hou'dun
夏侯恩,xia'hou'en
夏侯和,xia'hou'he
夏侯惠,xia'hou'hui
夏侯杰,xia'hou'jie
夏侯兰,xia'hou'lan
夏侯楙,xia'hou'mao
夏侯尚,xia'hou'shang
夏侯威,xia'hou'wei
夏侯咸,xia'hou'xian
夏侯玄,xia'hou'xuan
夏侯渊,xia'hou'yuan
夏恂,xia'xun
夏恽,xia'yun
向宠,xiang'chong
向举,xiang'ju
向朗,xiang'lang
小乔,xiao'qiao
谢旌,xie'jing
谢雄,xie'xiong
辛敞,xin'chang
辛明,xin'ming
辛毗,xin'pi
辛评,xin'ping
辛宪英,xin'xian'ying
刑道荣,xing'dao'rong
刑贞,xing'zhen
许昌,xu'chang
许褚,xu'chu
许慈,xu'ci
徐夫人,xu'fu'ren
许贡,xu'gong
许贡家客,xu'gong'jia'ke
徐晃,xu'huang
许靖,xu'jing
徐康,xu'kang
徐母,xu'mu
徐璆,xu'qiu
徐荣,xu'rong
徐商,xu'shang
许韶,xu'shao
许劭,xu'shao
徐盛,xu'sheng
徐氏,xu'shi
徐庶,xu'shu
许汜,xu'si
许晏,xu'yan
许仪,xu'yi
许攸,xu'you
许允,xu'yun
许芝,xu'zhi
徐质,xu'zhi
薛兰,xue'lan
薛礼,xue'li
薛乔,xue'qiao
薛悌,xue'ti
薛莹,xue'ying
薛则,xue'ze
薛综,xue'zong
荀绲,xun'gun
荀恺,xun'kai
荀谌,xun'shen
荀爽,xun'shuang
荀勖,xun'xu
荀攸,xun'you
荀彧,xun'yu
荀恽,xun'yun
荀正,xun'zheng
雅丹,ya'dan
严白虎,yan'bai'hu
严纲,yan'gang
严畯,yan'jun
颜良,yan'liang
晏明,yan'ming
阎圃,yan'pu
严氏,yan'shi
阎象,yan'xiang
阎晏,yan'yan
严颜,yan'yan
阎宇,yan'yu
严舆,yan'yu
严政,yan'zheng
阎芝,yan'zhi
杨昂,yang'ang
杨柏,yang'bai
杨彪,yang'biao
杨丑,yang'chou
杨锋,yang'feng
杨奉,yang'feng
杨阜,yang'fu
杨洪,yang'hong
羊祜,yang'hu
杨怀,yang'huai
杨暨,yang'ji
杨济,yang'ji
杨陵,yang'ling
杨龄,yang'ling
杨密,yang'mi
杨琦,yang'qi
杨秋,yang'qiu
阳群,yang'qun
杨任,yang'ren
杨氏,yang'shi
杨松,yang'song
杨欣,yang'xin
杨修,yang'xiu
杨仪,yang'yi
杨顒,yang'yu
杨综,yang'zong
杨祚,yang'zuo
伊籍,yi'ji
殷纯,yin'chun
尹大目,yin'da'mu
尹奉,yin'feng
尹楷,yin'kai
阴夔,yin'kui
殷馗,yin'kui
尹礼,yin'li
尹默,yin'mo
尹赏,yin'shang
应劭,ying'shao
雍闿,yong'kai
虞翻,yu'fan
于吉,yu'ji
于禁,yu'jin
于糜,yu'mi
于诠,yu'quan
俞涉,yu'she
俞氏,yu'shi
虞松,yu'song
袁逢,yuan'feng
袁尚,yuan'shang
袁绍,yuan'shao
爰邵,yuan'shao
袁綝,yuan'shen
袁术,yuan'shu
袁谭,yuan'tan
袁隗,yuan'wei
袁熙,yuan'xi
袁遗,yuan'yi
袁胤,yuan'yin
越吉,yue'ji
云英,yun'ying
臧霸,zang'ba
臧旻,zang'min
笮融,ze'rong
翟元,zhai'yuan
张苞,zhang'bao
张宝,zhang'bao
张布,zhang'bu
张超,zhang'chao
张承,zhang'cheng
张纯,zhang'chun
张达,zhang'da
张当,zhang'dang
张飞,zhang'fei
张合,zhang'he
张衡,zhang'heng
张横,zhang'heng
张纮,zhang'hong
张虎,zhang'hu
张华,zhang'hua
张皇后,zhang'huang'hou
张既,zhang'ji
张济,zhang'ji
张缉,zhang'ji
张俭,zhang'jian
张角,zhang'jiao
张节,zhang'jie
张津,zhang'jin
张举,zhang'ju
张均,zhang'jun
张峻,zhang'jun
张闿,zhang'kai
张梁,zhang'liang
张辽,zhang'liao
张陵,zhang'ling
张鲁,zhang'lu
张茂,zhang'mao
张弥,zhang'mi
张邈,zhang'miao
张明,zhang'ming
张南,zhang'nan
张普,zhang'pu
张球,zhang'qiu
张让,zhang'rang
张任,zhang'ren
张尚,zhang'shang
张绍,zhang'shao
张氏,zhang'shi
张世平,zhang'shi'ping
张爽,zhang'shuang
张松,zhang'song
张肃,zhang'su
张韬,zhang'tao
张特,zhang'te
张悌,zhang'ti
张卫,zhang'wei
张温,zhang'wen
张武,zhang'wu
张先,zhang'xian
张象,zhang'xiang
张休,zhang'xiu
张绣,zhang'xiu
张勋,zhang'xun
张燕,zhang'yan
张杨,zhang'yang
张裔,zhang'yi
张嶷,zhang'yi
张翼,zhang'yi
张音,zhang'yin
张英,zhang'ying
张约,zhang'yue
张允,zhang'yun
张昭,zhang'zhao
张著,zhang'zhu
张遵,zhang'zun
赵昂,zhao'ang
赵岑,zhao'cen
赵范,zhao'fan
赵广,zhao'guang
赵弘,zhao'hong
赵萌,zhao'meng
赵岐,zhao'qi
赵衢,zhao'qu
赵融,zhao'rong
赵睿,zhao'rui
赵统,zhao'tong
赵韪,zhao'wei
赵颜,zhao'yan
赵彦,zhao'yan
赵月,zhao'yue
赵云,zhao'yun
赵直,zhao'zhi
赵忠,zhao'zhong
赵咨,zhao'zi
赵祚,zhao'zuo
郑宝,zheng'bao
郑度,zheng'du
郑伦,zheng'lun
郑袤,zheng'mao
郑泰,zheng'tai
郑文,zheng'wen
郑玄,zheng'xuan
脂习,zhi'xi
种拂,zhong'fu
钟会,zhong'hui
种辑,zhong'ji
钟进,zhong'jin
钟缙,zhong'jin
钟邵,zhong'shao
钟绅,zhong'shen
钟繇,zhong'yao
钟毓,zhong'yu
周毖,zhou'bi
周仓,zhou'cang
周舫,zhou'fang
周奂,zhou'huan
周平,zhou'ping
周群,zhou'qun
周善,zhou'shan
周尚,zhou'shang
周泰,zhou'tai
州泰,zhou'tai
周昕,zhou'xin
周循,zhou'xun
周胤,zhou'yin
周瑜,zhou'yu
周旨,zhou'zhi
朱褒,zhu'bao
朱恩,zhu'en
朱芳,zhu'fang
诸葛诞,zhu'ge'dan
诸葛珪,zhu'ge'gui
诸葛瑾,zhu'ge'jin
诸葛均,zhu'ge'jun
诸葛恪,zhu'ge'ke
诸葛靓,zhu'ge'liang
诸葛亮,zhu'ge'liang
诸葛虔,zhu'ge'qian
诸葛尚,zhu'ge'shang
诸葛绪,zhu'ge'xu
诸葛玄,zhu'ge'xuan
诸葛原,zhu'ge'yuan
诸葛瞻,zhu'ge'zhan
朱光,zhu'guang
朱桓,zhu'huan
朱灵,zhu'ling
朱然,zhu'ran
祝融夫人,zhu'rong'fu'ren
朱太后,zhu'tai'hou
朱异,zhu'yi
朱赞,zhu'zan
朱治,zhu'zhi
紫虚上人,zi'xu'shang'ren
宗宝,zong'bao
宗预,zong'yu
邹靖,zou'jing
邹氏,zou'shi
祖弼,zu'bi
祖茂,zu'mao
左慈,zuo'ci
左丰,zuo'feng
左灵,zuo'ling
左咸,zuo'xian
左贤王,zuo'xian'wang
