八大不挨,ba'da'bu'ai
尿兴理针对一个人不想看到他或者看不起他时专用,niao'xing'li'zhen'dui'yi'ge'ren'bu'xiang'kan'dao'ta'huo'zhe'kan'bu'qi'ta'shi'zhuan'yong
耨呐心真恶心一般用于第人疑问,nou'na'xin'zhen'e'xin'yi'ban'yong'yu'di'ren'yi'wen
胖眉肿眼,pang'mei'zhong'yan
皮条蛇,pi'tiao'she
片呢哇骗人,pian'ne'wa'pian'ren
平不呀叉,ping'bu'ya'cha
切吧用手指扭捏对方,qie'ba'yong'shou'zhi'niu'nie'dui'fang
穷家八业,qiong'jia'ba'ye
求毛鬼胎,qiu'mao'gui'tai
球毛鬼胎,qiu'mao'gui'tai
求迷信眼,qiu'mi'xin'yan
求迷性眼,qiu'mi'xing'yan
日脏八代,ri'zang'ba'dai
溶噶香只饭菜顺口,rong'ga'xiang'zhi'fan'cai'shun'kou
软机圪嫩,ruan'ji'ge'nen
软腰裂胯,ruan'yao'lie'kua
三八两下,san'ba'liang'xia
山各拉山沟,shan'ge'la'shan'gou
闪深塌浅,shan'shen'ta'qian
甚么老过,shen'me'lao'guo
失溜二眼,shi'liu'er'yan
失咸邋遢,shi'xian'la'ta
失笑,shi'xiao
十龇赖害,shi'zi'lai'hai
死求一记,si'qiu'yi'ji
死松破肚,si'song'po'du
酸眉醋眼,suan'mei'cu'yan
讨吃烂鬼,tao'chi'lan'gui
甜忽腻腻,tian'hu'ni'ni
秃叽淡舌,tu'ji'dan'she
秃嘴笨舌,tu'zui'ben'she
团家伙伴,tuan'jia'huo'ban
哇叽吵闹,wa'ji'chao'nao
歪三扎愣,wai'san'zha'leng
汪汪玉米面和莜面上蒸屉蒸出的粗粮,wang'wang'yu'mi'mian'he'you'mian'shang'zheng'ti'zheng'chu'de'cu'liang
汪心火燎,wang'xin'huo'liao
窝几各囊,wo'ji'ge'nang
悉底尽明,xi'di'jin'ming
喜人,xi'ren
稀汤害水,xi'tang'hai'shui
瞎眉触眼,xia'mei'chu'yan
吓人捣怪,xia'ren'dao'guai
闲没拉呱,xian'mei'la'gua
嫌吱指一个人受不了委屈,xian'zhi'zhi'yi'ge'ren'shou'bu'liao'wei'qu
小家瓦器,xiao'jia'wa'qi
心猫呼烂,xin'mao'hu'lan
虚棱凳架,xu'leng'deng'jia
喧天驾雾,xuan'tian'jia'wu
蚜麻各蚪蝌蚪,ya'ma'ge'dou'ke'dou
烟喷雾罩,yan'pen'wu'zhao
阴七阳八,yin'qi'yang'ba
营生工作,ying'sheng'gong'zuo
游出摆进,you'chu'bai'jin
油说八道,you'shuo'ba'dao
油与灰近意,you'yu'hui'jin'yi
有滋拉味,you'zi'la'wei
油渍抹耐,you'zi'mo'nai
玉茭玉米,yu'jiao'yu'mi
晕么圪刀,yun'me'ge'dao
扎愣散骗,zha'leng'san'pian
展油攉水,zhan'you'huo'shui
张八盖九,zhang'ba'gai'jiu
龇牙打调,zi'ya'da'tiao
嘴尖毛长,zui'jian'mao'chang
