安匝,an'za
端部,duan'bu
断流阀,duan'liu'fa
断流器,duan'liu'qi
断路器,duan'lu'qi
端圈,duan'quan
端子,duan'zi
端子箱,duan'zi'xiang
对焊,dui'han
对角,dui'jiao
对接,dui'jie
对正,dui'zheng
额定电流,e'ding'dian'liu
额定电压,e'ding'dian'ya
额定容量,e'ding'rong'liang
二次侧,er'ci'ce
阀侧,fa'ce
法兰,fa'lan
法兰盘,fa'lan'pan
阀厅,fa'ting
发运,fa'yun
反饼,fan'bing
反角环,fan'jue'huan
放电点,fang'dian'dian
防雨罩,fang'yu'zhao
方轴,fang'zhou
分瓣,fen'ban
分接开关,fen'jie'kai'guan
分接线,fen'jie'xian
分接引线,fen'jie'yin'xian
酚醛,fen'quan
风冷,feng'leng
封油,feng'you
封油板,feng'you'ban
封油环,feng'you'huan
腹板,fu'ban
复平面,fu'ping'mian
辐向,fu'xiang
负载损耗,fu'zai'sun'hao
盖板,gai'ban
改版图,gai'ban'tu
干式,gan'shi
高频焊,gao'pin'han
高网络带,gao'wang'luo'dai
高压绕组,gao'ya'rao'zu
高压线圈,gao'ya'xian'quan
高真空,gao'zhen'kong
葛兰接头,ge'lan'jie'tou
隔离变压器,ge'li'bian'ya'qi
鸽尾,ge'wei
葛洲坝,ge'zhou'ba
供电所,gong'dian'suo
拱顶,gong'ding
拱顶式,gong'ding'shi
工作流,gong'zuo'liu
关键工序,guan'jian'gong'xu
硅钢片,gui'gang'pian
归纳法,gui'na'fa
滚转台,gun'zhuan'tai
过电压,guo'dian'ya
国家电网,guo'jia'dian'wang
焊缝,han'feng
焊接件,han'jie'jian
盒尺,he'chi
衡变,heng'bian
横剪,heng'jian
恒压,heng'ya
互感器,hu'gan'qi
呼吸器,hu'xi'qi
华北电网,hua'bei'dian'wang
花盘,hua'pan
华鹏,hua'peng
华中电网,hua'zhong'dian'wang
换流,huan'liu
环流,huan'liu
换流变,huan'liu'bian
换流变压器,huan'liu'bian'ya'qi
换流站,huan'liu'zhan
换位,huan'wei
换位导线,huan'wei'dao'xian
环氧,huan'yang
环氧玻璃布板,huan'yang'bo'li'bu'ban
回打油,hui'da'you
汇控箱,hui'kong'xiang
汇流管,hui'liu'guan
集肤效应,ji'fu'xiao'ying
集气盒,ji'qi'he
机械混合物,ji'xie'hun'he'wu
极性反转,ji'xing'fan'zhuan
极坐标,ji'zuo'biao
加包,jia'bao
夹件,jia'jian
夹紧梁,jia'jin'liang
加强板,jia'qiang'ban
加强铁,jia'qiang'tie
假铁心,jia'tie'xin
尖角放电,jian'jiao'fang'dian
间距环,jian'ju'huan
渐开线,jian'kai'xian
间隙环,jian'xi'huan
角钢,jiao'gang
角环,jiao'huan
胶木螺杆,jiao'mu'luo'gan
结点,jie'dian
介电常数,jie'dian'chang'shu
洁净度,jie'jing'du
洁净纸,jie'jing'zhi
接线板,jie'xian'ban
接线端子,jie'xian'duan'zi
接线片,jie'xian'pian
紧包带,jin'bao'dai
浸油,jin'you
静电板,jing'dian'ban
静电环,jing'dian'huan
径向,jing'xiang
纠结式,jiu'jie'shi
局部放电,ju'bu'fang'dian
局放,ju'fang
聚氯联苯,ju'lv'lian'ben
聚酰芳胺,ju'xian'fang'an
卷料,juan'liao
卷铁心,juan'tie'xin
绝缘环,jue'yuan'huan
绝缘漆,jue'yuan'qi
绝缘筒,jue'yuan'tong
绝缘纸,jue'yuan'zhi
绝缘纸筒,jue'yuan'zhi'tong
绝缘子,jue'yuan'zi
均压球,jun'ya'qiu
卡尺,ka'chi
开关传动轴,kai'guan'chuan'dong'zhou
壳式,ke'shi
可调式绕线模,ke'tiao'shi'rao'xian'mu
空载电流,kong'zai'dian'liu
空载损耗,kong'zai'sun'hao
控制箱,kong'zhi'xiang
框间,kuang'jian
拉板,la'ban
拉带,la'dai
拉普拉斯变换,la'pu'la'si'bian'huan
拉氏变换,la'shi'bian'huan
雷电冲击,lei'dian'chong'ji
冷却器,leng'que'qi
立绕,li'rao
联管,lian'guan
联接组,lian'jie'zu
联络单,lian'luo'dan
连续式,lian'xu'shi
磷铜焊,lin'tong'han
淋油,lin'you
零序,ling'xu
零序阻抗,ling'xu'zu'kang
六氟化硫,liu'fu'hua'liu
漏磁,lou'ci
漏磁场,lou'ci'chang
路长柏,lu'chang'bai
罗茨泵,luo'ci'beng
洛氏系数,luo'shi'xi'shu
裸线,luo'xian
螺旋式,luo'xuan'shi
螺柱,luo'zhu
铝箔,lv'bo
铝屏蔽,lv'ping'bi
滤油,lv'you
滤油机,lv'you'ji
埋弧焊,mai'hu'han
麦克斯韦方程,mai'ke'si'wei'fang'cheng
麦式计,mai'shi'ji
麦头,mai'tou
铆接,mao'jie
密封环,mi'feng'huan
面漆,mian'qi
铭牌,ming'pai
模拟法,mo'ni'fa
末头,mo'tou
墨线,mo'xian
木锤,mu'chui
南方电网,nan'fang'dian'wang
逆止阀,ni'zhi'fa
牛角垫块,niu'jiao'dian'kuai
爬电,pa'dian
盘簧,pan'huang
旁轭,pang'e
旁轭屏蔽,pang'e'ping'bi
旁柱,pang'zhu
配电站,pei'dian'zhan
配剪,pei'jian
皮拉尼,pi'la'ni
屏蔽墙,ping'bi'qiang
屏蔽筒,ping'bi'tong
屏蔽罩,ping'bi'zhao
平垫圈,ping'dian'quan
平顶式,ping'ding'shi
破真空,po'zhen'kong
剖分,pou'fen
漆包线,qi'bao'xian
器身,qi'shen
气体保护焊,qi'ti'bao'hu'han
气体继电器,qi'ti'ji'dian'qi
气隙,qi'xi
气相干燥,qi'xiang'gan'zao
卡具,qia'ju
钱江,qian'jiang
千斤顶,qian'jin'ding
强油,qiang'you
强油孔,qiang'you'kong
乔格线,qiao'ge'xian
秦山,qin'shan
青波,qing'bo
球阀,qiu'fa
球极,qiu'ji
曲面垫圈,qu'mian'dian'quan
圈铁心,quan'tie'xin
绕线,rao'xian
绕线机,rao'xian'ji
绕线模,rao'xian'mu
绕向,rao'xiang
绕组温度计,rao'zu'wen'du'ji
热点,re'dian
热电偶,re'dian'ou
热粘合带,re'nian'he'dai
热缩管,re'suo'guan
热油循环,re'you'xun'huan
人孔,ren'kong
入炉,ru'lu
软连接,ruan'lian'jie
伞齿轮盒,san'chi'lun'he
散热器,san're'qi
散图,san'tu
三峡机组,san'xia'ji'zu
三相,san'xiang
伞形,san'xing
砂带机,sha'dai'ji
闪点,shan'dian
扇形板,shan'xing'ban
上夹件,shang'jia'jian
沈变,shen'bian
沈阳变压器研究院,shen'yang'bian'ya'qi'yan'jiu'yuan
升层式,sheng'ceng'shi
升高座,sheng'gao'zuo
矢量,shi'liang
试漏,shi'lou
适配,shi'pei
试装,shi'zhuang
收缩带,shou'suo'dai
首头,shou'tou
水冷,shui'leng
顺特,shun'te
速动油压继电器,su'dong'you'ya'ji'dian'qi
碳精纸,tan'jing'zhi
搪锡,tang'xi
套包,tao'bao
套焊,tao'han
特变,te'bian
特变电工,te'bian'dian'gong
梯车,ti'che
梯形顶,ti'xing'ding
天车,tian'che
填充物,tian'chong'wu
天威,tian'wei
天威保变,tian'wei'bao'bian
调压,tiao'ya
铁磁,tie'ci
铁轭,tie'e
铁轭绝缘,tie'e'jue'yuan
铁耗,tie'hao
铁心,tie'xin
铁心叠片,tie'xin'die'pian
铜板,tong'ban
铜棒,tong'bang
筒包,tong'bao
统包,tong'bao
铜箔,tong'bo
铜带,tong'dai
铜焊,tong'han
铜耗,tong'hao
同名端,tong'ming'duan
桶式,tong'shi
铜网,tong'wang
通用件,tong'yong'jian
图号,tu'hao
图解法,tu'jie'fa
托板,tuo'ban
瓦楞纸板,wa'leng'zhi'ban
弯头,wan'tou
网包线,wang'bao'xian
网侧,wang'ce
网侧引线,wang'ce'yin'xian
韦德曼,wei'de'man
魏德曼,wei'de'man
围屏,wei'ping
委托单,wei'tuo'dan
温升,wen'sheng
卧绕,wo'rao
无载,wu'zai
西安西电,xi'an'xi'dian
西北电网,xi'bei'dian'wang
西变,xi'bian
矽钢片,xi'gang'pian
西门子,xi'men'zi
吸湿器,xi'shi'qi
下夹件,xia'jia'jian
下箱,xia'xiang
线饼,xian'bing
线规,xian'gui
线坠,xian'zhui
箱盖,xiang'gai
项号,xiang'hao
相角差,xiang'jiao'cha
相量图,xiang'liang'tu
箱皮,xiang'pi
相位差,xiang'wei'cha
相线,xiang'xian
相向,xiang'xiang
箱沿,xiang'yan
小辫,xiao'bian
销钉,xiao'ding
小轭,xiao'e
消弧,xiao'hu
消弧线圈,xiao'hu'xian'quan
小浪底,xiao'lang'di
卸扣,xie'kou
谢毓城,xie'yu'cheng
新能源,xin'neng'yuan
芯式,xin'shi
心式变压器,xin'shi'bian'ya'qi
心柱,xin'zhu
芯柱,xin'zhu
压板,ya'ban
压包,ya'bao
压钉,ya'ding
氩弧焊,ya'hu'han
压接接头,ya'jie'jie'tou
压紧装置,ya'jin'zhuang'zhi
压力释放阀,ya'li'shi'fang'fa
压力释放器,ya'li'shi'fang'qi
压强表,ya'qiang'biao
压装,ya'zhuang
沿面放电,yan'mian'fang'dian
燕尾,yan'wei
摇表,yao'biao
一次侧,yi'ci'ce
尹克宁,yin'ke'ning
引线夹,yin'xian'jia
涌流,yong'liu
油道,you'dao
油浸式,you'jin'shi
游离炭,you'li'tan
油面温度计,you'mian'wen'du'ji
右绕向,you'rao'xiang
油位计,you'wei'ji
油隙,you'xi
油系统,you'xi'tong
有限元,you'xian'yuan
有限元法,you'xian'yuan'fa
油压,you'ya
油压升降台,you'ya'sheng'jiang'tai
有载,you'zai
有载开关,you'zai'kai'guan
油枕,you'zhen
裕度,yu'du
圆筒式,yuan'tong'shi
匝绝缘,za'jue'yuan
杂散,za'san
增压泵,zeng'ya'beng
闸阀,zha'fa
张宜倜,zhang'yi'ti
真空干燥,zhen'kong'gan'zao
真空计,zhen'kong'ji
镇流,zhen'liu
正饼,zheng'bing
正角环,zheng'jiao'huan
整套,zheng'tao
整体套装,zheng'ti'tao'zhuang
纸板,zhi'ban
肢板,zhi'ban
纸包,zhi'bao
纸槽,zhi'cao
纸圈,zhi'quan
纸筒,zhi'tong
止退垫圈,zhi'tui'dian'quan
中压绕组,zhong'ya'rao'zu
中压线圈,zhong'ya'xian'quan
钟罩式,zhong'zhao'shi
轴高,zhou'gao
皱纹纸,zhou'wen'zhi
轴向,zhou'xiang
主变,zhu'bian
主极,zhu'ji
主极铁,zhu'ji'tie
主绝缘,zhu'jue'yuan
朱英浩,zhu'ying'hao
注油,zhu'you
装成,zhuang'cheng
锥销,zhui'xiao
自冷,zi'leng
自耦,zi'ou
纵剪,zong'jian
纵绝缘,zong'jue'yuan
总装配,zong'zhuang'pei
阻波,zu'bo
组合导线,zu'he'dao'xian
阻抗电压,zu'kang'dian'ya
阻抗匹配,zu'kang'pi'pei
组式变压器,zu'shi'bian'ya'qi
最大似然法,zui'da'si'ran'fa
左绕向,zuo'rao'xiang
