阿尔法,a'er'fa
变相发行货币,bian'xiang'fa'xing'huo'bi
贬值,bian'zhi
标价,biao'jia
表决权,biao'jue'quan
表决权代理,biao'jue'quan'dai'li
表决权股,biao'jue'quan'gu
表现股,biao'xian'gu
标准成本,biao'zhun'cheng'ben
标准格式合同,biao'zhun'ge'shi'he'tong
标准行情,biao'zhun'hang'qing
标准普尔公司,biao'zhun'pu'er'gong'si
标准普尔股票价格综合指数,biao'zhun'pu'er'gu'piao'jia'ge'zong'he'zhi'shu
别除权,bie'chu'quan
并股,bing'gu
并吞合并,bing'tun'he'bing
伯恩斯坦计划,bo'en'si'tan'ji'hua
拨款帐,bo'kuan'zhang
波兰外贸股份有限公司,bo'lan'wai'mao'gu'fen'you'xian'gong'si
柏林证券交易所,bo'lin'zheng'quan'jiao'yi'suo
波士顿利息,bo'shi'dun'li'xi
不保兑信用证,bu'bao'dui'xin'yong'zheng
不变比例计划,bu'bian'bi'li'ji'hua
不变价格,bu'bian'jia'ge
不参加优先股,bu'can'jia'you'xian'gu
补仓,bu'cang
补偿股,bu'chang'gu
补偿贸易,bu'chang'mao'yi
补偿性融资,bu'chang'xing'rong'zi
补偿原理,bu'chang'yuan'li
布钞,bu'chao
补充准备金,bu'chong'zhun'bei'jin
不当得利,bu'dang'de'li
不定期公债,bu'ding'qi'gong'zhai
不定期国库券,bu'ding'qi'guo'ku'quan
不定期收回股票,bu'ding'qi'shou'hui'gu'piao
不动产,bu'dong'chan
不动产贷款,bu'dong'chan'dai'kuan
不动产抵押,bu'dong'chan'di'ya
不动产抵押公司债,bu'dong'chan'di'ya'gong'si'zhai
不动产抵押信用,bu'dong'chan'di'ya'xin'yong
不动产抵押银行,bu'dong'chan'di'ya'yin'hang
不动产抵押证券,bu'dong'chan'di'ya'zheng'quan
不对称浮动利率本票,bu'dui'chen'fu'dong'li'lv'ben'piao
不兑换通货,bu'dui'huan'tong'huo
不兑换纸币,bu'dui'huan'zhi'bi
部分参加优先股,bu'fen'can'jia'you'xian'gu
部分偿还,bu'fen'chang'huan
部分海琴,bu'fen'hai'qin
不符合,bu'fu'he
不附红利股票,bu'fu'hong'li'gu'piao
不附条件债券,bu'fu'tiao'jian'zhai'quan
不附息折价债券,bu'fu'xi'zhe'jia'zhai'quan
不公开发行新股,bu'gong'kai'fa'xing'xin'gu
不规则股利分配制度,bu'gui'ze'gu'li'fen'pei'zhi'du
不合格票据,bu'he'ge'piao'ju
不合行情价格,bu'he'hang'qing'jia'ge
不还本公司债,bu'huan'ben'gong'si'zhai
不记名背书,bu'ji'ming'bei'shu
不记名储蓄,bu'ji'ming'chu'xu
不记名公司债券,bu'ji'ming'gong'si'zhai'quan
不记名股票,bu'ji'ming'gu'piao
不记名临时证券,bu'ji'ming'lin'shi'zheng'quan
不记名票据,bu'ji'ming'piao'ju
不记名债券,bu'ji'ming'zhai'quan
不记名支票,bu'ji'ming'zhi'piao
不可撤销信用证,bu'ke'che'xiao'xin'yong'zheng
不可抗力,bu'ke'kang'li
不可抗力的法律含义,bu'ke'kang'li'de'fa'lv'han'yi
不可控成本,bu'ke'kong'cheng'ben
不可取消信托,bu'ke'qu'xiao'xin'tuo
不可收回股,bu'ke'shou'hui'gu
不可赎回优先股,bu'ke'shu'hui'you'xian'gu
不可赎回债券,bu'ke'shu'hui'zhai'quan
不可转换股,bu'ke'zhuan'huan'gu
不可转让信用工具,bu'ke'zhuan'rang'xin'yong'gong'ju
不可转让信用证,bu'ke'zhuan'rang'xin'yong'zheng
不可转让债券,bu'ke'zhuan'rang'zhai'quan
不可转售证券,bu'ke'zhuan'shou'zheng'quan
布莱克模型,bu'lai'ke'mo'xing
布莱克斯科勒模型,bu'lai'ke'si'ke'le'mo'xing
布雷顿森林会议,bu'lei'dun'sen'lin'hui'yi
不能清偿,bu'neng'qing'chang
不确定信托,bu'que'ding'xin'tuo
不同市场间差价,bu'tong'shi'chang'jian'cha'jia
不完全票据,bu'wan'quan'piao'ju
不稳定性价格,bu'wen'ding'xing'jia'ge
不限期收回股票,bu'xian'qi'shou'hui'gu'piao
不相关股票,bu'xiang'guan'gu'piao
布宜诺斯艾利斯证券交易所,bu'yi'nuo'si'ai'li'si'zheng'quan'jiao'yi'suo
财产,cai'chan
财产抵押,cai'chan'di'ya
财产股利,cai'chan'gu'li
财产股息,cai'chan'gu'xi
财产管理信托,cai'chan'guan'li'xin'tuo
财产清查,cai'chan'qing'cha
财产清查表,cai'chan'qing'cha'biao
财产权,cai'chan'quan
财产收入,cai'chan'shou'ru
财产税,cai'chan'shui
财产所有权,cai'chan'suo'you'quan
财产所有权的消灭,cai'chan'suo'you'quan'de'xiao'mie
财产信托,cai'chan'xin'tuo
财产债权,cai'chan'zhai'quan
财阀,cai'fa
财富,cai'fu
财富边际效用,cai'fu'bian'ji'xiao'yong
财经法纪审计,cai'jing'fa'ji'shen'ji
财团,cai'tuan
财团法人,cai'tuan'fa'ren
财务报表,cai'wu'bao'biao
财务报表分析,cai'wu'bao'biao'fen'xi
财务报表准则,cai'wu'bao'biao'zhun'ze
财务比率,cai'wu'bi'lv
财务风险,cai'wu'feng'xian
财务杠杆,cai'wu'gang'gan
财政,cai'zheng
财政包干,cai'zheng'bao'gan
财政拨款,cai'zheng'bo'kuan
财政补贴,cai'zheng'bu'tie
财政财务审计,cai'zheng'cai'wu'shen'ji
财政赤字,cai'zheng'chi'zi
财政法,cai'zheng'fa
财政法律关系,cai'zheng'fa'lv'guan'xi
财政发行,cai'zheng'fa'xing
财政分配,cai'zheng'fen'pei
