靶场,ba'chang
方圆,fang'yuan
飞阴月,fei'yin'yue
分钟,fen'zhong
风向,feng'xiang
复活节,fu'huo'jie
附近,fu'jin
父亲节,fu'qin'jie
改日,gai'ri
感恩节,gan'en'jie
岗位,gang'wei
皋月,gao'yue
格林尼治平时,ge'lin'ni'zhi'ping'shi
隔夜,ge'ye
根据地,gen'ju'di
工地,gong'di
公历,gong'li
公元,gong'yuan
公元前,gong'yuan'qian
公众假日,gong'zhong'jia'ri
古代,gu'dai
古尔邦节,gu'er'bang'jie
故里,gu'li
故乡,gu'xiang
谷雨,gu'yu
挂历,gua'li
瓜月,gua'yue
桂月,gui'yue
国际儿童节,guo'ji'er'tong'jie
国际合作节,guo'ji'he'zuo'jie
国际劳动妇女节,guo'ji'lao'dong'fu'nv'jie
国际日期变更线,guo'ji'ri'qi'bian'geng'xian
国界,guo'jie
国境线,guo'jing'xian
国内,guo'nei
国旗节,guo'qi'jie
过去,guo'qu
国土,guo'tu
国外,guo'wai
海岸线,hai'an'xian
海内,hai'nei
海外,hai'wai
海域,hai'yu
寒冬,han'dong
寒露,han'lu
寒秋,han'qiu
酣月,han'yue
航向,hang'xiang
荷月,he'yue
后,hou
后半夜,hou'ban'ye
后方,hou'fang
后面,hou'mian
后排,hou'pai
后天,hou'tian
护士节,hu'shi'jie
花月,hua'yue
荒地,huang'di
黄昏,huang'hun
荒漠,huang'mo
荒原,huang'yuan
会场,hui'chang
会址,hui'zhi
季,ji
基地,ji'di
季冬,ji'dong
季节名词,ji'jie'ming'ci
积年,ji'nian
纪念日,ji'nian'ri
季秋,ji'qiu
即日,ji'ri
吉日,ji'ri
集散地,ji'san'di
集市,ji'shi
季暑,ji'shu
纪元,ji'yuan
季月,ji'yue
假日,jia'ri
葭月,jia'yue
嘉月,jia'yue
建军节,jian'jun'jie
见天,jian'tian
将来,jiang'lai
郊区,jiao'qu
教师节,jiao'shi'jie
郊外,jiao'wai
焦月,jiao'yue
界,jie
界碑,jie'bei
解放区,jie'fang'qu
界河,jie'he
节气,jie'qi
节庆,jie'qing
节日,jie'ri
界石,jie'shi
街头,jie'tou
界线,jie'xian
近代,jin'dai
禁区,jin'qu
今天,jin'tian
近午,jin'wu
警戒线,jing'jie'xian
竟日,jing'ri
精阳,jing'yang
惊蛰,jing'zhe
旧日,jiu'ri
九月,jiu'yue
旧址,jiu'zhi
据点,ju'dian
居民点,ju'min'dian
菊月,ju'yue
开冬,kai'dong
开岁,kai'sui
考场,kao'chang
刻,ke
空地,kong'di
空间,kong'jian
空暇,kong'xia
空闲,kong'xian
空余,kong'yu
狂欢节,kuang'huan'jie
腊月,la'yue
兰秋,lan'qiu
兰月,lan'yue
劳动节,lao'dong'jie
乐园,le'yuan
累年,lei'nian
累日,lei'ri
累月,lei'yue
里,li
历表,li'biao
立春,li'chun
立冬,li'dong
历法,li'fa
黎明,li'ming
历年,li'nian
立秋,li'qiu
历书,li'shu
立夏,li'xia
丽月,li'yue
练兵场,lian'bing'chang
联合国纪念日,lian'he'guo'ji'nian'ri
连年,lian'nian
连日,lian'ri
连夜,lian'ye
良月,liang'yue
凌晨,ling'chen
领地,ling'di
领海,ling'hai
领空,ling'kong
领水,ling'shui
领土,ling'tu
领域,ling'yu
六月,liu'yue
榴月,liu'yue
隆冬,long'dong
龙潜月,long'qian'yue
漏夜,lou'ye
路口,lu'kou
露月,lu'yue
沦陷区,lun'xian'qu
麦月,mai'yue
芒种,mang'zhong
每隔一日,mei'ge'yi'ri
美国独立纪念日,mei'guo'du'li'ji'nian'ri
每日,mei'ri
美食节,mei'shi'jie
梅月,mei'yue
门口,men'kou
孟春,meng'chun
孟冬,meng'dong
孟秋,meng'qiu
孟夏,meng'xia
秒,miao
庙会,miao'hui
明年,ming'nian
名胜,ming'sheng
明天,ming'tian
末,mo
末代,mo'dai
末了,mo'liao
末期,mo'qi
末日,mo'ri
末尾,mo'wei
暮春,mu'chun
目前,mu'qian
母亲节,mu'qin'jie
暮商,mu'shang
内,nei
内部,nei'bu
内地,nei'di
内外,nei'wai
年初,nian'chu
年代,nian'dai
年底,nian'di
年份,nian'fen
年关,nian'guan
年节,nian'jie
年历,nian'li
年限,nian'xian
年月,nian'yue
年终,nian'zhong
农历,nong'li
畔,pan
旁边,pang'bian
平年,ping'nian
平日,ping'ri
平月,ping'yue
泼水节,po'shui'jie
蒲月,pu'yue
起点,qi'dian
期间,qi'jian
七夕,qi'xi
期限,qi'xian
七月,qi'yue
前,qian
前半夜,qian'ban'ye
前方,qian'fang
前后,qian'hou
前面,qian'mian
前排,qian'pai
前天,qian'tian
巧月,qiao'yue
且月,qie'yue
侵晨,qin'chen
清晨,qing'chen
清和,qing'he
清明,qing'ming
清明节,qing'ming'jie
青年节,qing'nian'jie
青女月,qing'nv'yue
情人节,qing'ren'jie
秋,qiu
秋分,qiu'fen
区时,qu'shi
区域,qu'yu
全年,quan'nian
全日,quan'ri
全天,quan'tian
日,ri
日常,ri'chang
日后,ri'hou
日界线,ri'jie'xian
日历,ri'li
日期,ri'qi
日前,ri'qian
入口,ru'kou
溽暑,ru'shu
入夜,ru'ye
如月,ru'yue
闰年,run'nian
闰日,run'ri
闰月,run'yue
三百周年纪念,san'bai'zhou'nian'ji'nian
三孟秋,san'meng'qiu
三月,san'yue
山沟,shan'gou
山区,shan'qu
山乡,shan'xiang
上,shang
上半夜,shang'ban'ye
商场,shang'chang
上古,shang'gu
上面,shang'mian
上月,shang'yue
上座,shang'zuo
哨所,shao'suo
深秋,shen'qiu
深夜,shen'ye
圣诞节,sheng'dan'jie
圣灯节,sheng'deng'jie
胜地,sheng'di
圣地,sheng'di
胜利日,sheng'li'ri
盛夏,sheng'xia
时差,shi'cha
市场,shi'chang
时代,shi'dai
失地,shi'di
十二月,shi'er'yue
时候,shi'hou
世纪,shi'ji
世纪年代,shi'ji'nian'dai
时间名词,shi'jian'ming'ci
世界历,shi'jie'li
世界时,shi'jie'shi
世界卫生节,shi'jie'wei'sheng'jie
时刻,shi'ke
十年,shi'nian
时期,shi'qi
史前,shi'qian
市区,shi'qu
时区,shi'qu
室外,shi'wai
时限,shi'xian
十一月,shi'yi'yue
十月,shi'yue
始终,shi'zhong
手边,shou'bian
首秋,shou'qiu
首席,shou'xi
属地,shu'di
属国,shu'guo
署月,shu'yue
霜降,shuang'jiang
双日,shuang'ri
霜序,shuang'xu
双周,shuang'zhou
水沟,shui'gou
水线,shui'xian
水乡,shui'xiang
水域,shui'yu
四方,si'fang
四海,si'hai
四季,si'ji
四邻,si'lin
四月,si'yue
随处,sui'chu
台历,tai'li
桃月,tao'yue
天中,tian'zhong
通年,tong'nian
外,wai
外边,wai'bian
外界,wai'jie
外面,wai'mian
晚春,wan'chun
万年,wan'nian
万年历,wan'nian'li
晚上,wan'shang
往年,wang'nian
往日,wang'ri
位置,wei'zhi
午后,wu'hou
物理时刻,wu'li'shi'ke
午前,wu'qian
五十周年纪念,wu'shi'zhou'nian'ji'nian
呜蜩,wu'tiao
午夜,wu'ye
五月,wu'yue
戏剧节,xi'ju'jie
昔日,xi'ri
下,xia
夏,xia
下半夜,xia'ban'ye
夏令时,xia'ling'shi
下面,xia'mian
下月,xia'yue
夏至,xia'zhi
现场,xian'chang
现代,xian'dai
现在,xian'zai
乡村,xiang'cun
乡土,xiang'tu
相月,xiang'yue
小寒,xiao'han
小满,xiao'man
小时,xiao'shi
小暑,xiao'shu
小雪,xiao'xue
小月,xiao'yue
校址,xiao'zhi
新年,xin'nian
新秋,xin'qiu
新月,xin'yue
刑场,xing'chang
幸月,xing'yue
杏月,xing'yue
朽月,xiu'yue
选区,xuan'qu
玄月,xuan'yue
旬日,xun'ri
严冬,yan'dong
炎夏,yan'xia
眼下,yan'xia
沿线,yan'xian
严月,yan'yue
阳历,yang'li
阳历节,yang'li'jie
阳月,yang'yue
要地,yao'di
要塞,yao'sai
野外,ye'wai
夜晚,ye'wan
一百周年纪念,yi'bai'zhou'nian'ji'nian
艺术节,yi'shu'jie
以往,yi'wang
异乡,yi'xiang
一月,yi'yue
阴历,yin'li
阴历节,yin'li'jie
阴阳历,yin'yang'li
营地,ying'di
莺月,ying'yue
右,you
右边,you'bian
浴佛节,yu'fo'jie
愚人节,yu'ren'jie
雨水,yu'shui
郁月,yu'yue
余月,yu'yue
元旦,yuan'dan
远古,yuan'gu
元宵节,yuan'xiao'jie
元月,yuan'yue
原址,yuan'zhi
原子秒,yuan'zi'miao
原子时,yuan'zi'shi
月,yue
月份别称,yue'fen'bie'cheng
月历,yue'li
灾区,zai'qu
早晨,zao'chen
早春,zao'chun
早秋,zao'qiu
早日,zao'ri
寨子,zhai'zi
战场,zhan'chang
战地,zhan'di
战区,zhan'qu
肇秋,zhao'qiu
阵地,zhen'di
镇日,zhen'ri
整年,zheng'nian
正秋,zheng'qiu
正午,zheng'wu
整夜,zheng'ye
正月,zheng'yue
殖民地,zhi'min'di
植树节,zhi'shu'jie
中,zhong
仲春,zhong'chun
终点,zhong'dian
仲冬,zhong'dong
中古,zhong'gu
中间,zhong'jian
终了,zhong'liao
终年,zhong'nian
中期,zhong'qi
仲秋,zhong'qiu
中秋节,zhong'qiu'jie
终日,zhong'ri
仲商,zhong'shang
仲夏,zhong'xia
终夜,zhong'ye
中元节,zhong'yuan'jie
仲月,zhong'yue
重镇,zhong'zhen
周,zhou
周末,zhou'mo
周年,zhou'nian
周围,zhou'wei
周一至周五,zhou'yi'zhi'zhou'wu
竹春,zhu'chun
逐年,zhu'nian
逐日,zhu'ri
住所,zhu'suo
主显节,zhu'xian'jie
住宅区,zhu'zhai'qu
壮月,zhuang'yue
子夜,zi'ye
陬月,zou'yue
租界,zu'jie
租借地,zu'jie'di
左,zuo
左边,zuo'bian
座位,zuo'wei
左右,zuo'you
