阿氏村,a'shi'cun
老虎沟村,lao'hu'gou'cun
了子河村,le'zi'he'cun
雷家村,lei'jia'cun
雷家湾村,lei'jia'wan'cun
冷水沟村,leng'shui'gou'cun
李后村,li'hou'cun
李华村,li'hua'cun
李家村,li'jia'cun
栗家村,li'jia'cun
李家沟村,li'jia'gou'cun
李家硷村,li'jia'jian'cun
李家坪村,li'jia'ping'cun
里峪湾村,li'yu'wan'cun
连二坪村,lian'er'ping'cun
联丰村,lian'feng'cun
粮房村,liang'fang'cun
梁峰村,liang'feng'cun
两河街村,liang'he'jie'cun
两河桥村,liang'he'qiao'cun
梁家扁村,liang'jia'bian'cun
凉水沟村,liang'shui'gou'cun
林家河村,lin'jia'he'cun
林寨村,lin'zhai'cun
刘村,liu'cun
刘独庄村,liu'du'zhuang'cun
柳家村,liu'jia'cun
刘家梁村,liu'jia'liang'cun
刘家山村,liu'jia'shan'cun
柳家湾村,liu'jia'wan'cun
六郎关村,liu'lang'guan'cun
柳坪村,liu'ping'cun
柳泉沟村,liu'quan'gou'cun
流峪坪村,liu'yu'ping'cun
刘寨村,liu'zhai'cun
龙村,long'cun
龙门村,long'men'cun
龙曲村,long'qu'cun
龙王庙村,long'wang'miao'cun
龙寨村,long'zhai'cun
鹿走沟村,lu'zou'gou'cun
罗李村,luo'li'cun
罗圈村,luo'quan'cun
骆驼岭村,luo'tuo'ling'cun
马池村,ma'chi'cun
麻村,ma'cun
马沟村,ma'gou'cun
马河村,ma'he'cun
马楼村,ma'lou'cun
麻坡村,ma'po'cun
马山村,ma'shan'cun
马湾村,ma'wan'cun
马王村,ma'wang'cun
马塬村,ma'yuan'cun
漫道村,man'dao'cun
满家村,man'jia'cun
帽沟村,mao'gou'cun
毛坪村,mao'ping'cun
孟村镇,meng'cun'zhen
孟家岩村,meng'jia'yan'cun
米汤河村,mi'tang'he'cun
面岭村,mian'ling'cun
庙娅村,miao'ya'cun
民李村,min'li'cun
磨岔沟村,mo'cha'gou'cun
磨岔口村,mo'cha'kou'cun
磨李村,mo'li'cun
牟家村,mou'jia'cun
木岔村,mu'cha'cun
穆家堰村,mu'jia'yan'cun
穆坡村,mu'po'cun
苜蓿沟村,mu'xu'gou'cun
南北沟村,nan'bei'gou'cun
南沟村,nan'gou'cun
南关村,nan'guan'cun
南街村,nan'jie'cun
南石门村,nan'shi'men'cun
南水村,nan'shui'cun
南湾岭村,nan'wan'ling'cun
南王村,nan'wang'cun
南寨村,nan'zhai'cun
牛家口村,niu'jia'kou'cun
牛角沟村,niu'jiao'gou'cun
牛心峪村,niu'xin'yu'cun
潘坪村,pan'ping'cun
蟠桃村,pan'tao'cun
庞家村,pang'jia'cun
偏白村,pian'bai'cun
坡底村,po'di'cun
坡头村,po'tou'cun
普化村,pu'hua'cun
普化镇,pu'hua'zhen
七安子村,qi'an'zi'cun
齐王庙村,qi'wang'miao'cun
前程村,qian'cheng'cun
前李坪村,qian'li'ping'cun
骞湾村,qian'wan'cun
前卫村,qian'wei'cun
前卫镇,qian'wei'zhen
乔村,qiao'cun
秦谷村,qin'gu'cun
秦家寨村,qin'jia'zhai'cun
青峰村,qing'feng'cun
清凉寺村,qing'liang'si'cun
青坪村,qing'ping'cun
青羊庄村,qing'yang'zhuang'cun
楸树庙村,qiu'shu'miao'cun
屈家村,qu'jia'cun
全岭村,quan'ling'cun
任家庄村,ren'jia'zhuang'cun
任坡村,ren'po'cun
荣家沟村,rong'jia'gou'cun
三官庙村,san'guan'miao'cun
三官庙镇,san'guan'miao'zhen
三合村,san'he'cun
三里头村,san'li'tou'cun
三里镇,san'li'zhen
三台山村,san'tai'shan'cun
沙沟村,sha'gou'cun
沙河村,sha'he'cun
扇车沟村,shan'che'gou'cun
山底村,shan'di'cun
山胡村,shan'hu'cun
山王村,shan'wang'cun
上安村,shang'an'cun
上陈村,shang'chen'cun
上村,shang'cun
上岱峪村,shang'dai'yu'cun
上湖村,shang'hu'cun
上雷村,shang'lei'cun
上许村,shang'xu'cun
上寨村,shang'zhai'cun
上峙峪村,shang'zhi'yu'cun
邵寨村,shao'zhai'cun
佘家湾村,she'jia'wan'cun
渗金庙村,shen'jin'miao'cun
什子村,shen'zi'cun
石槽村,shi'cao'cun
石船沟村,shi'chuan'gou'cun
狮峰村,shi'feng'cun
石佛寺村,shi'fo'si'cun
石官寨村,shi'guan'zhai'cun
十回场村,shi'hui'chang'cun
史家寨村,shi'jia'zhai'cun
史家寨镇,shi'jia'zhai'zhen
十里铺村,shi'li'pu'cun
石门村,shi'men'cun
石坡村,shi'po'cun
拾旗寨村,shi'qi'zhai'cun
石梯沟村,shi'ti'gou'cun
石头滩村,shi'tou'tan'cun
石韦村,shi'wei'cun
柿园村,shi'yuan'cun
柿园子村,shi'yuan'zi'cun
狮子沟村,shi'zi'gou'cun
双龙村,shuang'long'cun
双水村,shuang'shui'cun
水泉村,shui'quan'cun
水洼村,shui'wa'cun
水吴村,shui'wu'cun
寺沟村,si'gou'cun
宋家村,song'jia'cun
宋家庙村,song'jia'miao'cun
宋家坡村,song'jia'po'cun
宋咀村,song'ju'cun
松树沟村,song'shu'gou'cun
宋寨村,song'zhai'cun
苏王坡村,su'wang'po'cun
孙北村,sun'bei'cun
孙南村,sun'nan'cun
太公庙村,tai'gong'miao'cun
滩芝村,tan'zhi'cun
唐凹村,tang'ao'cun
汤二村,tang'er'cun
唐沟村,tang'gou'cun
汤三村,tang'san'cun
汤四村,tang'si'cun
汤一村,tang'yi'cun
汤峪镇,tang'yu'zhen
汤庄村,tang'zhuang'cun
塘子村,tang'zi'cun
陶沟村,tao'gou'cun
陶峪河村,tao'yu'he'cun
滕寨村,teng'zhai'cun
田村,tian'cun
田禾村,tian'he'cun
田家村,tian'jia'cun
天井村,tian'jing'cun
田坡村,tian'po'cun
田湾村,tian'wan'cun
铁索桥村,tie'suo'qiao'cun
铁铜沟村,tie'tong'gou'cun
铜鹅村,tong'e'cun
桐花沟村,tong'hua'gou'cun
瓦屋庄村,wa'wu'zhuang'cun
万军会村,wan'jun'hui'cun
辋川镇,wang'chuan'zhen
王村,wang'cun
王村沟村,wang'cun'gou'cun
王沟村,wang'gou'cun
王河村,wang'he'cun
王咀头,wang'ju'tou
王坪村,wang'ping'cun
王坡村,wang'po'cun
王庄村,wang'zhuang'cun
魏家沟村,wei'jia'gou'cun
文刘坡村,wen'liu'po'cun
吴村庙村,wu'cun'miao'cun
误饭村,wu'fan'cun
吴家巷村,wu'jia'xiang'cun
吴家寨村,wu'jia'zhai'cun
五里头村,wu'li'tou'cun
兀岩村,wu'yan'cun
吴庄村,wu'zhuang'cun
西村,xi'cun
西杆庙村,xi'gan'miao'cun
西巩村,xi'gong'cun
西沟村,xi'gou'cun
西关村,xi'guan'cun
西河寨村,xi'he'zhai'cun
惜惶岭村,xi'huang'ling'cun
席家河村,xi'jia'he'cun
郗家街村,xi'jia'jie'cun
西街村,xi'jie'cun
西李家沟村,xi'li'jia'gou'cun
西坡村,xi'po'cun
锡水村,xi'shui'cun
西元峪村,xi'yuan'yu'cun
西寨村,xi'zhai'cun
西张村,xi'zhang'cun
下白村,xia'bai'cun
下岱村,xia'dai'cun
下付村,xia'fu'cun
下湖村,xia'hu'cun
夏家村,xia'jia'cun
下杨寨村,xia'yang'zhai'cun
下峙峪村,xia'zhi'yu'cun
香村,xiang'cun
湘子岔村,xiang'zi'cha'cun
肖北村,xiao'bei'cun
小沟口村,xiao'gou'kou'cun
小梨园村,xiao'li'yuan'cun
肖南村,xiao'nan'cun
小寺村,xiao'si'cun
肖西村,xiao'xi'cun
小洋峪村,xiao'yang'yu'cun
小寨村,xiao'zhai'cun
小寨镇,xiao'zhai'zhen
谢岭村,xie'ling'cun
谢湾村,xie'wan'cun
新城村,xin'cheng'cun
新店子村,xin'dian'zi'cun
新房村,xin'fang'cun
新华村,xin'hua'cun
新街村,xin'jie'cun
新寨村,xin'zhai'cun
新庄村,xin'zhuang'cun
徐河村,xu'he'cun
徐家山村,xu'jia'shan'cun
徐军寨村,xu'jun'zhai'cun
徐梁坡村,xu'liang'po'cun
许庙村,xu'miao'cun
徐塬村,xu'yuan'cun
宣堡村,xuan'bao'cun
薛河村,xue'he'cun
薛家村,xue'jia'cun
薛庙村,xue'miao'cun
鸭峪村,ya'yu'cun
胭粉台村,yan'fen'tai'cun
闫河村,yan'he'cun
闫家村,yan'jia'cun
杨村,yang'cun
杨顶村,yang'ding'cun
杨家堡村,yang'jia'bao'cun
杨家村,yang'jia'cun
杨孔寺村,yang'kong'si'cun
杨刘坡村,yang'liu'po'cun
羊茂山村,yang'mao'shan'cun
杨木寨村,yang'mu'zhai'cun
阳坡村,yang'po'cun
杨坡头村,yang'po'tou'cun
杨斜村,yang'xie'cun
杨岩村,yang'yan'cun
杨寨村,yang'zhai'cun
杨庄村,yang'zhuang'cun
姚村,yao'cun
腰道村,yao'dao'cun
姚寨村,yao'zhai'cun
腰祝村,yao'zhu'cun
曳湖村,ye'hu'cun
野狐村,ye'hu'cun
曳湖镇,ye'hu'zhen
野竹坪村,ye'zhu'ping'cun
印沟村,yin'gou'cun
营上村,ying'shang'cun
油坊坪村,you'fang'ping'cun
玉川街村,yu'chuan'jie'cun
玉川镇,yu'chuan'zhen
余家沟村,yu'jia'gou'cun
峪口村,yu'kou'cun
榆林村,yu'lin'cun
玉山村,yu'shan'cun
玉山镇,yu'shan'zhen
元君庙村,yuan'jun'miao'cun
翟家村,zhai'jia'cun
寨子岭村,zhai'zi'ling'cun
张村,zhang'cun
张沟村,zhang'gou'cun
张河湾村,zhang'he'wan'cun
张家村,zhang'jia'cun
张家坪村,zhang'jia'ping'cun
张家斜村,zhang'jia'xie'cun
张岭村,zhang'ling'cun
张坪村,zhang'ping'cun
张坡村,zhang'po'cun
张山村,zhang'shan'cun
张郗河村,zhang'xi'he'cun
张寨村,zhang'zhai'cun
赵家扁村,zhao'jia'bian'cun
支家沟村,zhi'jia'gou'cun
支尚村,zhi'shang'cun
中云村,zhong'yun'cun
周董村,zhou'dong'cun
周家院村,zhou'jia'yuan'cun
朱家寨村,zhu'jia'zhai'cun
訾家山村,zi'jia'shan'cun
柞柴沟村,zuo'chai'gou'cun
