暧暧城霞旦,ai'ai'cheng'xia'dan
邦邑持民务,bang'yi'chi'min'wu
邦族迎江澨,bang'zu'ying'jiang'shi
宝钗新梳倭堕髻,bao'chai'xin'shu'wo'duo'ji
报雠只是闻尝胆,bao'chou'zhi'shi'wen'chang'dan
保大殚襟腑,bao'da'dan'jin'fu
宝刀光未淬,bao'dao'guang'wei'cui
报德空思奉细涓,bao'de'kong'si'feng'xi'juan
褒德偶兹辰,bao'de'ou'zi'chen
抱得秦筝不忍弹,bao'de'qin'zheng'bu'ren'tan
宝地践黄金,bao'di'jian'huang'jin
宝地邻丹掖,bao'di'lin'dan'ye
宝地龙飞后,bao'di'long'fei'hou
宝铎含飙响,bao'duo'han'biao'xiang
宝坊求往迹,bao'fang'qiu'wang'ji
宝坊若花积,bao'fang'ruo'hua'ji
薄赋归天府,bao'fu'gui'tian'fu
报国敢邀勋,bao'guo'gan'yao'xun
报国取龙庭,bao'guo'qu'long'ting
报国行赴难,bao'guo'xing'fu'nan
薄宦惭尸素,bao'huan'can'shi'su
薄宦夫何有,bao'huan'fu'he'you
薄宦忘机括,bao'huan'wang'ji'kuo
薄宦因时泰,bao'huan'yin'shi'tai
宝剑千金装,bao'jian'qian'jin'zhuang
宝剑晓霜霏,bao'jian'xiao'shuang'fei
宝剑中夜抚,bao'jian'zhong'ye'fu
宝剑茱萸匣,bao'jian'zhu'yu'xia
宝历自无穷,bao'li'zi'wu'qiong
宝马青丝辔,bao'ma'qing'si'pei
宝命上齐天,bao'ming'shang'qi'tian
抱明中不隐,bao'ming'zhong'bu'yin
宝契无为属圣人,bao'qi'wu'wei'shu'sheng'ren
抱琴好倚长松,bao'qin'hao'yi'chang'song
宝扇迎归九华帐,bao'shan'ying'gui'jiu'hua'zhang
饱食不须愁内热,bao'shi'bu'xu'chou'nei're
宝树谁攀折,bao'shu'shui'pan'zhe
薄霜澄夜月,bao'shuang'cheng'ye'yue
薄俗嗟嗟难重陈,bao'su'jie'jie'nan'zhong'chen
宝算鹤知年,bao'suan'he'zhi'nian
宝屋粘花絮,bao'wu'zhan'hua'xu
保釐固其任,bao'xi'gu'qi'ren
褒斜不容幰,bao'xie'bu'rong'xian
褒斜谷中不容幰,bao'xie'gu'zhong'bu'rong'xian
曝暄理新翳,bao'xuan'li'xin'yi
薄言向田墅,bao'yan'xiang'tian'shu
薄游出京邑,bao'you'chu'jing'yi
薄游何所愧,bao'you'he'suo'kui
宝玉频发掘,bao'yu'pin'fa'jue
宝钺专公辅,bao'yue'zhuan'gong'fu
保章望瑞气,bao'zhang'wang'rui'qi
宝座即披莲,bao'zuo'ji'pi'lian
北垞湖水北,bei'cha'hu'shui'bei
北垞淼难即,bei'cha'miao'nan'ji
北窗时讨论,bei'chuang'shi'tao'lun
北窗桃李下,bei'chuang'tao'li'xia
北窗卧簟连心花,bei'chuang'wo'dian'lian'xin'hua
悲吹坐萧萧,bei'chui'zuo'xiao'xiao
背春涉夏兮,bei'chun'she'xia'xi
北登汉家陵,bei'deng'han'jia'ling
北堤疲行舟,bei'di'pi'xing'zhou
北斗横天夜欲阑,bei'dou'heng'tian'ye'yu'lan
北斗近乡云,bei'dou'jin'xiang'yun
北斗临台座,bei'dou'lin'tai'zuo
北斗枢机任,bei'dou'shu'ji'ren
北伐昧天造,bei'fa'mei'tian'zao
北风吹五两,bei'feng'chui'wu'liang
北风何萧萧,bei'feng'he'xiao'xiao
北风切切吹衣冷,bei'feng'qie'qie'chui'yi'leng
北风闻楚歌,bei'feng'wen'chu'ge
被服长如春,bei'fu'chang'ru'chun
被服圣人教,bei'fu'sheng'ren'jiao
杯浮紫菊花,bei'fu'zi'ju'hua
悲歌聊自舞,bei'ge'liao'zi'wu
北宫甲第连紫宸,bei'gong'jia'di'lian'zi'chen
北固波涛险,bei'gu'bo'tao'xian
北海蓬根乱上天,bei'hai'peng'gen'luan'shang'tian
北河旄星陨,bei'he'mao'xing'yun
悲欢岂易寻,bei'huan'qi'yi'xun
悲急管兮思繁弦,bei'ji'guan'xi'si'fan'xian
北极回宸渥,bei'ji'hui'chen'wo
悲笳嘹唳垂舞衣,bei'jia'liao'li'chui'wu'yi
北涧隐寒晖,bei'jian'yin'han'hui
悲今已作秋时草,bei'jin'yi'zuo'qiu'shi'cao
北客真三公,bei'ke'zhen'san'gong
卑吏夙驱策,bei'li'su'qu'ce
北里召王侯,bei'li'zhao'wang'hou
背岭花未开,bei'ling'hua'wei'kai
北陵散寒鸟,bei'ling'san'han'niao
北洛反初路,bei'luo'fan'chu'lu
鞴马宿严霜,bei'ma'su'yan'shuang
卑栖却得性,bei'qi'que'de'xing
悲切蒹葭夕,bei'qie'jian'jia'xi
北阙承行幸,bei'que'cheng'xing'xing
北阙对明珠,bei'que'dui'ming'zhu
北阙临仙槛,bei'que'lin'xian'kan
北阙献书寝不报,bei'que'xian'shu'qin'bu'bao
北阙欣初见,bei'que'xin'chu'jian
北阙纡宸藻,bei'que'yu'chen'zao
北阙云中见,bei'que'yun'zhong'jian
杯如洛水流,bei'ru'luo'shui'liu
北山种松柏,bei'shan'zhong'song'bai
北上登蓟门,bei'shang'deng'ji'men
北上频伤阮,bei'shang'pin'shang'ruan
北上太行山,bei'shang'tai'hang'shan
北上途未半,bei'shang'tu'wei'ban
北首辞明主,bei'shou'ci'ming'zhu
北堂萱草不寄来,bei'tang'xuan'cao'bu'ji'lai
北土分尧俗,bei'tu'fen'yao'su
北望是他邦,bei'wang'shi'ta'bang
杯锡上尊馀,bei'xi'shang'zun'yu
杯香药味春,bei'xiang'yao'wei'chun
北谢苍龙去,bei'xie'cang'long'qu
北岩千馀仞,bei'yan'qian'yu'ren
贝叶经文手自书,bei'ye'jing'wen'shou'zi'shu
北有上年宫,bei'you'shang'nian'gong
北园新栽桃李枝,bei'yuan'xin'zai'tao'li'zhi
北云去吴越,bei'yun'qu'wu'yue
悲哉门弟子,bei'zai'men'di'zi
悲哉世上人,bei'zai'shi'shang'ren
备知经济道,bei'zhi'jing'ji'dao
北渚沉沉江汉流,bei'zhu'chen'chen'jiang'han'liu
北渚平明法驾来,bei'zhu'ping'ming'fa'jia'lai
北转入谿桥,bei'zhuan'ru'ji'qiao
北走少梁地,bei'zou'shao'liang'di
本家蓝田下,ben'jia'lan'tian'xia
本家清渭曲,ben'jia'qing'wei'qu
本拟报君恩,ben'ni'bao'jun'en
本期汉代金吾婿,ben'qi'han'dai'jin'wu'xu
本求三十侍中郎,ben'qiu'san'shi'shi'zhong'lang
奔兽莫敢息,ben'shou'mo'gan'xi
本自沧海来,ben'zi'cang'hai'lai
本自江海人,ben'zi'jiang'hai'ren
本自无萦妒,ben'zi'wu'ying'du
崩剥雨露幽,beng'bo'yu'lu'you
迸出依青嶂,beng'chu'yi'qing'zhang
迸泉飒飒飞木末,beng'quan'sa'sa'fei'mu'mo
迸水定侵香案湿,beng'shui'ding'qin'xiang'an'shi
绷子绣初成,beng'zi'xiu'chu'cheng
濞濞响寒流,bi'bi'xiang'han'liu
璧彩散池塘,bi'cai'san'chi'tang
璧池忝门子,bi'chi'tian'men'zi
彼此虽流盼,bi'ci'sui'liu'pan
璧带金釭皆翡翠,bi'dai'jin'gang'jie'fei'cui
比德迈前贤,bi'de'mai'qian'xian
避地歌三乐,bi'di'ge'san'le
碧峰出山后,bi'feng'chu'shan'hou
鄙夫念王程,bi'fu'nian'wang'cheng
鄙夫心所尚,bi'fu'xin'suo'shang
陛阁飞嘉声,bi'ge'fei'jia'sheng
弊革事无留,bi'ge'shi'wu'liu
闭户方垂帷,bi'hu'fang'chui'wei
闭户著书多岁月,bi'hu'zhu'shu'duo'sui'yue
壁画感灵迹,bi'hua'gan'ling'ji
碧涧翻从玉殿来,bi'jian'fan'cong'yu'dian'lai
碧涧尽清流,bi'jian'jin'qing'liu
毕竟归无形,bi'jing'gui'wu'xing
毕竟何者是,bi'jing'he'zhe'shi
蔽亏松外村,bi'kui'song'wai'cun
薜荔波中轻,bi'li'bo'zhong'qing
薜荔成帷晚霭多,bi'li'cheng'wei'wan'ai'duo
薜荔网我屋,bi'li'wang'wo'wu
敝庐既不远,bi'lu'ji'bu'yuan
碧落风烟外,bi'luo'feng'yan'wai
碧罗象天阁,bi'luo'xiang'tian'ge
薜萝亦自妍,bi'luo'yi'zi'yan
避马台中贵,bi'ma'tai'zhong'gui
彼美何壮哉,bi'mei'he'zhuang'zai
闭门成隐居,bi'men'cheng'yin'ju
闭门二室下,bi'men'er'shi'xia
闭门风雪时,bi'men'feng'xue'shi
闭门观玄化,bi'men'guan'xuan'hua
毕命无怨色,bi'ming'wu'yuan'se
臂上雕弓百战勋,bi'shang'diao'gong'bai'zhan'xun
避世长不仕,bi'shi'chang'bu'shi
闭室蓬蒿深,bi'shi'peng'hao'shen
比时遥望君,bi'shi'yao'wang'jun
碧潭宵见月,bi'tan'xiao'jian'yue
碧潭秀初月,bi'tan'xiu'chu'yue
比屋皆可封,bi'wu'jie'ke'feng
避贤初罢相,bi'xian'chu'ba'xiang
彼乡有令弟,bi'xiang'you'ling'di
比兴起孤绝,bi'xing'qi'gu'jue
笔砚忽然投,bi'yan'hu'ran'tou
必勇独横行,bi'yong'du'heng'xing
碧玉妆成一树高,bi'yu'zhuang'cheng'yi'shu'gao
碧云暗雨来,bi'yun'an'yu'lai
鄙哉楚襄王,bi'zai'chu'xiang'wang
鄙哉匹夫节,bi'zai'pi'fu'jie
弊宅倘因之,bi'zhai'tang'yin'zhi
比至狂夫还,bi'zhi'kuang'fu'hai
边草夏先秋,bian'cao'xia'xian'qiu
遍插茱萸少一人,bian'cha'zhu'yu'shao'yi'ren
边城闭常早,bian'cheng'bi'chang'zao
边城二月春,bian'cheng'er'yue'chun
边城落日见离居,bian'cheng'luo'ri'jian'li'ju
边吹引金钲,bian'chui'yin'jin'zheng
边村少四邻,bian'cun'shao'si'lin
便道出荆门,bian'dao'chu'jing'men
边地亦埋轮,bian'di'yi'mai'lun
边地莺花少,bian'di'ying'hua'shao
变调如闻杨柳春,bian'diao'ru'wen'yang'liu'chun
边风卷塞沙,bian'feng'juan'sai'sha
边功沙漠垂,bian'gong'sha'mo'chui
边吏静县道,bian'li'jing'xian'dao
便泣数行泪,bian'qi'shu'xing'lei
边裘夜更轻,bian'qiu'ye'geng'qing
边声乱朔马,bian'sheng'luan'shuo'ma
边声入鼓吹,bian'sheng'ru'gu'chui
边声摇白草,bian'sheng'yao'bai'cao
边声韵落梅,bian'sheng'yun'luo'mei
便是郎官应,bian'shi'lang'guan'ying
边事亦可大,bian'shi'yi'ke'da
便是昼游归,bian'shi'zhou'you'gui
边树萧萧不觉春,bian'shu'xiao'xiao'bu'jue'chun
汴水连谯沛,bian'shui'lian'qiao'pei
猵獭游渚隅,bian'ta'you'zhu'yu
边头何惨惨,bian'tou'he'can'can
便为独往客,bian'wei'du'wang'ke
边威鼓吹喧,bian'wei'gu'chui'xuan
遍野农桑起,bian'ye'nong'sang'qi
便以风雪暮,bian'yi'feng'xue'mu
彪炳烁晨霞,biao'bing'shuo'chen'xia
表圣自难逢,biao'sheng'zi'nan'feng
标随绿云动,biao'sui'lv'yun'dong
表微在营道,biao'wei'zai'ying'dao
别此最为难,bie'ci'zui'wei'nan
别访武陵花,bie'fang'wu'ling'hua
别妇留丹诀,bie'fu'liu'dan'jue
别馆春还淑气催,bie'guan'chun'hai'shu'qi'cui
别馆绕芳洲,bie'guan'rao'fang'zhou
别后如相问,bie'hou'ru'xiang'wen
别后同明月,bie'hou'tong'ming'yue
别君如昨日,bie'jun'ru'zuo'ri
别来几日今春风,bie'lai'ji'ri'jin'chun'feng
别离斗酒心相许,bie'li'dou'jiu'xin'xiang'xu
别离短景何萧索,bie'li'duan'jing'he'xiao'suo
别离方此受,bie'li'fang'ci'shou
别离方异域,bie'li'fang'yi'yu
别离旷南北,bie'li'kuang'nan'bei
别离能几许,bie'li'neng'ji'xu
别离岁岁如流水,bie'li'sui'sui'ru'liu'shui
别路经花县,bie'lu'jing'hua'xian
别情无远近,bie'qing'wu'yuan'jin
别时心草草,bie'shi'xin'cao'cao
别墅临都门,bie'shu'lin'dou'men
别思天边梦落花,bie'si'tian'bian'meng'luo'hua
别望杳如仙,bie'wang'yao'ru'xian
别业对南浦,bie'ye'dui'nan'pu
别业居幽处,bie'ye'ju'you'chu
别业在春山,bie'ye'zai'chun'shan
别有秋原藿,bie'you'qiu'yuan'huo
别有玉盘乘露冷,bie'you'yu'pan'cheng'lu'leng
别有中流采芰荷,bie'you'zhong'liu'cai'ji'he
别有中天月,bie'you'zhong'tian'yue
别雨乘春雷,bie'yu'cheng'chun'lei
别自有仙家,bie'zi'you'xian'jia
宾从回鞿羁,bin'cong'hui'ji'ji
宾从俨冠盖,bin'cong'yan'guan'gai
鬓发没情梳,bin'fa'mei'qing'shu
鬓发日已白,bin'fa'ri'yi'bai
鬓发颜容只如是,bin'fa'yan'rong'zhi'ru'shi
缤纷集寒枝,bin'fen'ji'han'zhi
宾鸿入听哀,bin'hong'ru'ting'ai
宾客填街复满座,bin'ke'tian'jie'fu'man'zuo
宾客无多少,bin'ke'wu'duo'shao
鬓眉皓白已衰朽,bin'mei'hao'bai'yi'shuai'xiu
宾门鹓鹭登,bin'men'yuan'lu'deng
宾仆复能贤,bin'pu'fu'neng'xian
宾欲散兮复相依,bin'yu'san'xi'fu'xiang'yi
并抽新笋色渐绿,bing'chou'xin'sun'se'jian'lv
并此助文雄,bing'ci'zhu'wen'xiong
兵动羽林儿,bing'dong'yu'lin'er
兵戈乱入建康城,bing'ge'luan'ru'jian'kang'cheng
兵戈示不忘,bing'ge'shi'bu'wang
鞞鼓朔风催,bing'gu'shuo'feng'cui
鞞鼓鼋鼍振,bing'gu'yuan'tuo'zhen
并将歌舞向前谿,bing'jiang'ge'wu'xiang'qian'ji
秉钧调造化,bing'jun'tiao'zao'hua
冰开黑水津,bing'kai'hei'shui'jin
兵粮如山积,bing'liang'ru'shan'ji
兵马亦寻分,bing'ma'yi'xun'fen
秉旄训我师,bing'mao'xun'wo'shi
炳其焕兮凝其洁,bing'qi'huan'xi'ning'qi'jie
兵气连朔塞,bing'qi'lian'shuo'sai
兵气已秋风,bing'qi'yi'qiu'feng
并向长安就尧日,bing'xiang'chang'an'jiu'yao'ri
秉心在岩薮,bing'xin'zai'yan'sou
并著采莲舟,bing'zhu'cai'lian'zhou
并著莲舟不畏风,bing'zhu'lian'zhou'bu'wei'feng
秉烛论往素,bing'zhu'lun'wang'su
秉烛向城闉,bing'zhu'xiang'cheng'yin
秉烛醉棠阴,bing'zhu'zui'tang'yin
薄地躬耕,bo'di'gong'geng
伯淮与季江,bo'huai'yu'ji'jiang
波将慈共深,bo'jiang'ci'gong'shen
波惊海若潜幽石,bo'jing'hai'ruo'qian'you'shi
伯舅吏淮泗,bo'jiu'li'huai'si
波澜动远空,bo'lan'dong'yuan'kong
波连珠兮文沓缝,bo'lian'zhu'xi'wen'ta'feng
伯鸾吟可叹,bo'luan'yin'ke'tan
伯鸾游太学,bo'luan'you'tai'xue
薄暮辞金马,bo'mu'ci'jin'ma
薄暮饭牛罢,bo'mu'fan'niu'ba
薄暮归去来,bo'mu'gui'qu'lai
薄暮空巢上,bo'mu'kong'chao'shang
薄暮空潭曲,bo'mu'kong'tan'qu
薄暮来投宿,bo'mu'lai'tou'su
薄暮起劳歌,bo'mu'qi'lao'ge
薄暮入空亭,bo'mu'ru'kong'ting
薄暮渔樵乘水入,bo'mu'yu'qiao'cheng'shui'ru
拨食与田乌,bo'shi'yu'tian'wu
博弈赋诗聊遣意,bo'yi'fu'shi'liao'qian'yi
卜茔占二室,bo'ying'zhan'er'shi
伯禹访未知,bo'yu'fang'wei'zhi
薄云生北阙,bo'yun'sheng'bei'que
播植资始,bo'zhi'zi'shi
泊舟借问西林寺,bo'zhou'jie'wen'xi'lin'si
泊舟伊川右,bo'zhou'yi'chuan'you
卜筑青岩里,bo'zhu'qing'yan'li
不爱承明庐,bu'ai'cheng'ming'lu
不辨仙源何处寻,bu'bian'xian'yuan'he'chu'xun
不曾妄与燕雀群,bu'ceng'wang'yu'yan'que'qun
不曾向城市,bu'ceng'xiang'cheng'shi
不察狱中书,bu'cha'yu'zhong'shu
步出城东门,bu'chu'cheng'dong'men
不出人境外,bu'chu'ren'jing'wai
不待河冰合,bu'dai'he'bing'he
不惮轩车远,bu'dan'xuan'che'yuan
不到东山向一年,bu'dao'dong'shan'xiang'yi'nian
不到莫相尤,bu'dao'mo'xiang'you
不道牧陂深,bu'dao'mu'bei'shen
不道使车遥,bu'dao'shi'che'yao
不道无家舍,bu'dao'wu'jia'she
不得顾采薇,bu'de'gu'cai'wei
布德言皆应,bu'de'yan'jie'ying
不得已,bu'de'yi
不得一日展,bu'de'yi'ri'zhan
不得展故人,bu'de'zhan'gu'ren
步登诸劫尽,bu'deng'zhu'jie'jin
不睹声明与文物,bu'du'sheng'ming'yu'wen'wu
不独有文强,bu'du'you'wen'qiang
不独支公住,bu'du'zhi'gong'zhu
不妨饮酒复垂钓,bu'fang'yin'jiu'fu'chui'diao
不费黄金资,bu'fei'huang'jin'zi
不分开襟悲楚奏,bu'fen'kai'jin'bei'chu'zou
不逢星汉使,bu'feng'xing'han'shi
不复到青门,bu'fu'dao'qing'men
不复得闲居,bu'fu'de'xian'ju
