阿一焖斋,a'yi'men'zhai
酸辣凤爪,suan'la'feng'zhao
酸辣狗肉,suan'la'gou'rou
酸辣海参锅巴,suan'la'hai'shen'guo'ba
酸辣鱿鱼丝,suan'la'you'yu'si
蒜味爽肚,suan'wei'shuang'du
笋丝百叶,sun'si'bai'ye
苔菜明虾,tai'cai'ming'xia
苔干羊肉丝,tai'gan'yang'rou'si
太极鱼翅,tai'ji'yu'chi
台式三杯鸡,tai'shi'san'bei'ji
太爷鸡,tai'ye'ji
坛子肉,tan'zi'rou
糖炒红薯泥,tang'chao'hong'shu'ni
糖醋咕噜肉,tang'cu'gu'lu'rou
糖醋鲤鱼,tang'cu'li'yu
糖醋软熘黄河鲤鱼,tang'cu'ruan'liu'huang'he'li'yu
糖醋软熘鲤鱼焙面,tang'cu'ruan'liu'li'yu'bei'mian
糖醋猪腰,tang'cu'zhu'yao
糖酱鱼,tang'jiang'yu
套四宝,tao'si'bao
铁扒仔鸡,tie'ba'zi'ji
铁板鱿鱼须,tie'ban'you'yu'xu
铁锅蛋,tie'guo'dan
桐蛋,tong'dan
氽脊脑,tun'ji'nao
屯溪醉蟹,tun'xi'zui'xie
蛙式黄鱼,wa'shi'huang'yu
外婆大品碗,wai'po'da'pin'wan
网包鳜鱼,wang'bao'gui'yu
文山鸡丁,wen'shan'ji'ding
莴笋叶子,wo'sun'ye'zi
芜爆里脊,wu'bao'li'ji
五彩炒蛇丝,wu'cai'chao'she'si
五丁鱼圆,wu'ding'yu'yuan
五夫醉鸡,wu'fu'zui'ji
五柳青鱼,wu'liu'qing'yu
五味煎蟹,wu'wei'jian'xie
无锡嫩子排,wu'xi'nen'zi'pai
无锡肉排,wu'xi'rou'pai
五香豆腐干丝,wu'xiang'dou'fu'gan'si
西湖醋鱼,xi'hu'cu'yu
虾米炒黄瓜,xia'mi'chao'huang'gua
虾肉鸳鸯菜,xia'rou'yuan'yang'cai
咸菜鸭,xian'cai'ya
仙鹤望金桥,xian'he'wang'jin'qiao
鲜溜鸡丁,xian'liu'ji'ding
鲜奶蘑菇,xian'nai'mo'gu
咸烧白,xian'shao'bai
鲜味大虾,xian'wei'da'xia
湘菜,xiang'cai
香肠芥兰,xiang'chang'jie'lan
乡村小炒鸡,xiang'cun'xiao'chao'ji
香菇烧菜心,xiang'gu'shao'cai'xin
香煎翘鱼,xiang'jian'qiao'yu
响铃肉圆,xiang'ling'rou'yuan
香酥凤腿,xiang'su'feng'tui
香酥鸡,xiang'su'ji
香酥素鸭块,xiang'su'su'ya'kuai
