阿罗式衬裤,a'luo'shi'chen'ku
古代服色,gu'dai'fu'se
衮服,gun'fu
衮冕,gun'mian
衮衣,gun'yi
海派服装,hai'pai'fu'zhuang
航海式时装,hang'hai'shi'shi'zhuang
胡服,hu'fu
胡服骑射,hu'fu'qi'she
护胸裙,hu'xiong'qun
华衮,hua'gun
花笼裙,hua'long'qun
黄袍,huang'pao
褘衣,hui'yi
祭服,ji'fu
济逊,ji'xun
荠制,ji'zhi
间隔裥裙,jian'ge'jian'qun
蕉衣,jiao'yi
具服,ju'fu
鞠衣,ju'yi
卷衣,juan'yi
袀袨,jun'xuan
袀玄,jun'xuan
开襟裙,kai'jin'qun
拷钮裙,kao'niu'qun
裤套,ku'tao
袴褶,ku'zhe
喇叭裤,la'ba'ku
喇叭裙,la'ba'qun
劳动防护服装,lao'dong'fang'hu'fu'zhuang
礼服,li'fu
礼仪服装,li'yi'fu'zhuang
莲蓬衣,lian'peng'yi
连衫裤,lian'shan'ku
连衫裙,lian'shan'qun
连袜裤,lian'wa'ku
连衣裤,lian'yi'ku
连衣裙,lian'yi'qun
六服,liu'fu
六冕,liu'mian
龙火衣,long'huo'yi
龙卷,long'juan
龙袍,long'pao
笼裙,long'qun
履袍,lv'pao
旅游服装,lv'you'fu'zhuang
马甲裙,ma'jia'qun
马裤,ma'ku
马面裙,ma'mian'qun
马尾裙,ma'wei'qun
麻衣,ma'yi
冕服,mian'fu
命服,ming'fu
牛仔裤,niu'zai'ku
藕覆,ou'fu
派对服装,pai'dui'fu'zhuang
配套服装,pei'tao'fu'zhuang
皮弁服,pi'bian'fu
披风,pi'feng
偏衣,pian'yi
品服,pin'fu
品色衣,pin'se'yi
瓶裆衬裤,ping'dang'chen'ku
平脚裤,ping'jiao'ku
旗袍裙,qi'pao'qun
旗袍裙衫,qi'pao'qun'shan
茜裙,qian'qun
蒨裙,qian'qun
茜衫,qian'shan
清代朝裙,qing'dai'chao'qun
青紫,qing'zi
穷袴,qiong'ku
阙狄,que'di
裙裤,qun'ku
裙掌,qun'zhang
日光裤,ri'guang'ku
三服官,san'fu'guan
三骨裤,san'gu'ku
三节裙,san'jie'qun
三翟,san'zhai
山冕,shan'mian
少彩,shao'cai
深衣,shen'yi
石榴裙,shi'liu'qun
时装,shi'zhuang
手绘服装,shou'hui'fu'zhuang
双裆衬裤,shuang'dang'chen'ku
宋代品官时服,song'dai'pin'guan'shi'fu
苏广成衣,su'guang'cheng'yi
绥组之裴,sui'zu'zhi'pei
塔式裙,ta'shi'qun
太阳裤,tai'yang'ku
弹墨裙,tan'mo'qun
襢衣,tan'yi
唐文官袍袄服,tang'wen'guan'pao'ao'fu
套裤,tao'ku
套装,tao'zhuang
特种服装,te'zhong'fu'zhuang
藤衣,teng'yi
田鸡裤,tian'ji'ku
筒裤,tong'ku
通裙,tong'qun
褖衣,tuan'yi
晚会服装,wan'hui'fu'zhuang
帷裳,wei'shang
五服,wu'fu
舞台时装,wu'tai'shi'zhuang
五章,wu'zhang
膝裤,xi'ku
西式服装,xi'shi'fu'zhuang
象服,xiang'fu
斜裙,xie'qun
休闲服装,xiu'xian'fu'zhuang
玄端,xuan'duan
玄冕,xuan'mian
旋裙,xuan'qun
讌服,yan'fu
洋裁,yang'cai
羊肠裙,yang'chang'qun
腰裙,yao'qun
衣被,yi'bei
衣工,yi'gong
一裹圆,yi'guo'yuan
一口钟,yi'kou'zhong
一色服,yi'se'fu
一色衣,yi'se'yi
蚁裳,yi'shang
衣裳,yi'shang
衣著,yi'zhu
褕狄,yu'di
育克裙,yu'ke'qun
鱼鳞百褶裙,yu'lin'bai'zhe'qun
褕翟,yu'zhai
缘衣,yuan'yi
月华裙,yue'hua'qun
运动式时装,yun'dong'shi'shi'zhuang
展衣,zhan'yi
章服,zhang'fu
章服制度,zhang'fu'zhi'du
折裥裙,zhe'jian'qun
柘袍,zhe'pao
赭衣,zhe'yi
针神,zhen'shen
针黹,zhen'zhi
直裙,zhi'qun
直身裙,zhi'shen'qun
只孙,zhi'sun
质孙服,zhi'sun'fu
直筒裤,zhi'tong'ku
中单,zhong'dan
中裤,zhong'ku
中式服装,zhong'shi'fu'zhuang
中西式服装,zhong'xi'shi'fu'zhuang
中性服装,zhong'xing'fu'zhuang
中腰节裙,zhong'yao'jie'qun
皱裥裙,zhou'jian'qun
朱绂,zhu'fu
朱衣,zhu'yi
紫绂,zi'fu
子衿,zi'jin
缁衣,zi'yi
组合服装,zu'he'fu'zhuang
作裙,zuo'qun
左衽,zuo'ren
