艾附暖宫丸,ai'fu'nuan'gong'wan
阿胶鸡子黄汤,e'jiao'ji'zi'huang'tang
二陈汤,er'chen'tang
二妙散,er'miao'san
防风通圣散,fang'feng'tong'sheng'san
防己茯苓丸,fang'ji'fu'ling'wan
防己黄芪汤,fang'ji'huang'qi'tang
肥儿丸,fei'er'wan
复方大柴胡汤,fu'fang'da'chai'hu'tang
复方大承气汤,fu'fang'da'cheng'qi'tang
茯苓丸,fu'ling'wan
复元活血汤,fu'yuan'huo'xue'tang
附子理中丸,fu'zi'li'zhong'wan
附子汤,fu'zi'tang
甘草干姜茯苓白术汤,gan'cao'gan'jiang'fu'ling'bai'zhu'tang
甘草泻心汤,gan'cao'xie'xin'tang
甘露消毒丹,gan'lu'xiao'du'dan
甘麦大枣汤,gan'mai'da'zao'tang
葛根黄芩黄连汤,ge'gen'huang'qin'huang'lian'tang
膈下逐瘀汤,ge'xia'zhu'yu'tang
宫外孕方,gong'wai'yun'fang
钩藤饮,gou'teng'yin
固冲汤,gu'chong'tang
固经丸,gu'jing'wan
瓜蒌散,gua'lou'san
瓜蒌薤白白酒汤,gua'lou'xie'bai'bai'jiu'tang
瓜蒌薤白半夏汤,gua'lou'xie'bai'ban'xia'tang
冠心苏合丸,guan'xin'su'he'wan
桂苓甘露饮,gui'ling'gan'lu'yin
鬼鹿二仙胶,gui'lu'er'xian'jiao
归脾汤,gui'pi'tang
归肾丸,gui'shen'wan
桂枝茯苓丸,gui'zhi'fu'ling'wan
桂枝加桂汤,gui'zhi'jia'gui'tang
桂枝加芍药汤,gui'zhi'jia'shao'yao'tang
桂枝汤,gui'zhi'tang
滚痰丸,gun'tan'wan
蒿芩清胆汤,hao'qin'qing'dan'tang
厚朴温中汤,hou'po'wen'zhong'tang
化虫丸,hua'chong'wan
华盖散,hua'gai'san
槐花散,huai'hua'san
黄连解毒汤,huang'lian'jie'du'tang
黄连汤,huang'lian'tang
黄苓滑石汤,huang'ling'hua'shi'tang
黄苓汤,huang'ling'tang
黄龙汤,huang'long'tang
黄芪桂枝五物汤,huang'qi'gui'zhi'wu'wu'tang
黄芪建中汤,huang'qi'jian'zhong'tang
黄土汤,huang'tu'tang
回阳救急汤,hui'yang'jiu'ji'tang
活络效灵汤,huo'luo'xiao'ling'tang
霍朴夏苓汤,huo'pu'xia'ling'tang
藿香正气散,huo'xiang'zheng'qi'san
济川煎,ji'chuan'jian
鸡苏散,ji'su'san
加减复脉汤,jia'jian'fu'mai'tang
加减葳蕤汤,jia'jian'wei'rui'tang
加味肾气丸,jia'wei'shen'qi'wan
加味乌药汤,jia'wei'wu'yao'tang
加味逍遥散,jia'wei'xiao'yao'san
建瓴汤,jian'ling'tang
健脾丸,jian'pi'wan
胶艾汤,jiao'ai'tang
金沸草散,jin'fei'cao'san
金铃子散,jin'ling'zi'san
金缩固精丸,jin'suo'gu'jing'wan
荆防败毒散,jing'fang'bai'du'san
救急稀涎散,jiu'ji'xi'xian'san
九味羌活汤,jiu'wei'qiang'huo'tang
九仙散,jiu'xian'san
橘核丸,ju'he'wan
菊花茶调散,ju'hua'cha'tiao'san
橘皮竹茹汤,ju'pi'zhu'ru'tang
举元煎,ju'yuan'jian
咳血方,ke'xue'fang
孔圣枕中丹,kong'sheng'zhen'zhong'dan
控涎丹,kong'xian'dan
阑尾化瘀汤,lan'wei'hua'yu'tang
阑尾清化汤,lan'wei'qing'hua'tang
阑尾清解汤,lan'wei'qing'jie'tang
冷哮丸,leng'xiao'wan
理中安蛔汤,li'zhong'an'hui'tang
理中丸,li'zhong'wan
连梅安蛔汤,lian'mei'an'hui'tang
连朴饮,lian'pu'yin
良附丸,liang'fu'wan
凉膈散,liang'ge'san
苓甘五味姜辛汤,ling'gan'wu'wei'jiang'xin'tang
苓桂术甘汤,ling'gui'shu'gan'tang
羚角钩藤饮,ling'jiao'gou'teng'yin
六和汤,liu'he'tang
六君子汤,liu'jun'zi'tang
六味地黄丸,liu'wei'di'huang'wan
六一散,liu'yi'san
龙胆泻肝汤,long'dan'xie'gan'tang
麻黄附子细辛汤,ma'huang'fu'zi'xi'xin'tang
麻黄加术汤,ma'huang'jia'shu'tang
麻黄汤,ma'huang'tang
麻黄杏仁甘草石膏汤,ma'huang'xing'ren'gan'cao'shi'gao'tang
麻杏苡甘汤,ma'xing'yi'gan'tang
麻子仁丸,ma'zi'ren'wan
麦门冬汤,mai'men'dong'tang
麦味地黄丸,mai'wei'di'huang'wan
牡蛎散,mu'li'san
木香槟榔丸,mu'xiang'bing'lang'wan
牛黄清心丸,niu'huang'qing'xin'wan
暖肝煎,nuan'gan'jian
平胃散,ping'wei'san
普济消毒饮,pu'ji'xiao'du'yin
七宝美髯丹,qi'bao'mei'ran'dan
杞菊地黄丸,qi'ju'di'huang'wan
七厘散,qi'li'san
牵正散,qian'zheng'san
羌活胜湿汤,qiang'huo'sheng'shi'tang
秦艽鳖甲散,qin'jiao'bie'jia'san
清带散,qing'dai'san
清骨散,qing'gu'san
青蒿鳖甲汤,qing'hao'bie'jia'tang
清金降火汤,qing'jin'jiang'huo'tang
清气化痰丸,qing'qi'hua'tan'wan
清暑益气汤,qing'shu'yi'qi'tang
清胃散,qing'wei'san
清瘟败毒饮,qing'wen'bai'du'yin
清心莲子饮,qing'xin'lian'zi'yin
清营汤,qing'ying'tang
清燥救肺汤,qing'zao'jiu'fei'tang
琼玉膏,qiong'yu'gao
人参蛤蚧散,ren'shen'ge'jie'san
人参胡桃汤,ren'shen'hu'tao'tang
三拗汤,san'ao'tang
三甲复脉汤,san'jia'fu'mai'tang
三妙丸,san'miao'wan
三仁汤,san'ren'tang
三物备急丸,san'wu'bei'ji'wan
三子养亲汤,san'zi'yang'qin'tang
桑菊饮,sang'ju'yin
桑螵蛸散,sang'piao'xiao'san
桑杏汤,sang'xing'tang
沙参麦冬汤,sha'shen'mai'dong'tang
少腹逐瘀汤,shao'fu'zhu'yu'tang
芍药汤,shao'yao'tang
射干麻黄汤,she'gan'ma'huang'tang
参附汤,shen'fu'tang
参苓白术散,shen'ling'bai'zhu'san
参芦饮,shen'lu'yin
肾气丸,shen'qi'wan
参苏饮,shen'su'yin
身痛逐瘀汤,shen'tong'zhu'yu'tang
神犀丹,shen'xi'dan
生化汤,sheng'hua'tang
生姜泻心汤,sheng'jiang'xie'xin'tang
升麻葛根汤,sheng'ma'ge'gen'tang
生脉散,sheng'mai'san
生铁落饮,sheng'tie'luo'yin
升陷汤,sheng'xian'tang
升阳益胃汤,sheng'yang'yi'wei'tang
十补丸,shi'bu'wan
十灰散,shi'hui'san
实脾散,shi'pi'san
十全大补汤,shi'quan'da'bu'tang
十味温胆汤,shi'wei'wen'dan'tang
失笑散,shi'xiao'san
十枣汤,shi'zao'tang
疏凿饮子,shu'zao'yin'zi
水陆二仙汤,shui'lu'er'xian'tang
四君子汤,si'jun'zi'tang
四苓散,si'ling'san
四妙丸,si'miao'wan
四妙勇安汤,si'miao'yong'an'tang
四磨汤,si'mo'tang
四逆加人参汤,si'ni'jia'ren'shen'tang
四逆散,si'ni'san
四逆汤,si'ni'tang
四神丸,si'shen'wan
四生丸,si'sheng'wan
四物汤,si'wu'tang
苏合香丸,su'he'xiang'wan
苏子降气汤,su'zi'jiang'qi'tang
酸枣仁汤,suan'zao'ren'tang
缩泉丸,suo'quan'wan
泰山磐石散,tai'shan'pan'shi'san
桃核承气汤,tao'he'cheng'qi'tang
桃红四物汤,tao'hong'si'wu'tang
桃花汤,tao'hua'tang
天麻钩藤饮,tian'ma'gou'teng'yin
天台乌药散,tian'tai'wu'yao'san
天王补心丹,tian'wang'bu'xin'dan
调胃承气汤,tiao'wei'cheng'qi'tang
葶苈大枣泻肺汤,ting'li'da'zao'xie'fei'tang
通脉四逆散,tong'mai'si'ni'san
通窍活血汤,tong'qiao'huo'xue'tang
痛泻药方,tong'xie'yao'fang
完带汤,wan'dai'tang
苇茎汤,wei'jing'tang
胃苓汤,wei'ling'tang
温胆汤,wen'dan'tang
温经汤,wen'jing'tang
温脾汤,wen'pi'tang
戊己丸,wu'ji'wan
五淋散,wu'lin'san
五苓散,wu'ling'san
乌梅丸,wu'mei'wan
五皮散,wu'pi'san
五仁丸,wu'ren'wan
乌头汤,wu'tou'tang
五味消毒饮,wu'wei'xiao'du'yin
吴茱萸汤,wu'zhu'yu'tang
犀黄丸,xi'huang'wan
犀角地黄汤,xi'jiao'di'huang'tang
下淤血汤,xia'yu'xue'tang
仙方活命饮,xian'fang'huo'ming'yin
香连丸,xiang'lian'wan
香薷散,xiang'ru'san
香砂六君子汤,xiang'sha'liu'jun'zi'tang
小半夏汤,xiao'ban'xia'tang
小柴胡汤,xiao'chai'hu'tang
小承气汤,xiao'cheng'qi'tang
消风散,xiao'feng'san
小活络丹,xiao'huo'luo'dan
小蓟饮子,xiao'ji'yin'zi
小建中汤,xiao'jian'zhong'tang
小金丹,xiao'jin'dan
小青龙汤,xiao'qing'long'tang
小陷胸汤,xiao'xian'xiong'tang
逍遥散,xiao'yao'san
泻白散,xie'bai'san
泻黄散,xie'huang'san
新加黄龙汤,xin'jia'huang'long'tang
新加香薷饮,xin'jia'xiang'ru'yin
新制橘皮竹茹汤,xin'zhi'ju'pi'zhu'ru'tang
行军散,xing'jun'san
杏苏散,xing'su'san
宣痹汤,xuan'bi'tang
旋覆代赭汤,xuan'fu'dai'zhe'tang
血府逐瘀汤,xue'fu'zhu'yu'tang
盐汤探吐方,yan'tang'tan'tu'fang
阳和汤,yang'he'tang
养阴清肺汤,yang'yin'qing'fei'tang
异功散,yi'gong'san
一贯煎,yi'guan'jian
易黄汤,yi'huang'tang
益胃汤,yi'wei'tang
益元散,yi'yuan'san
茵陈蒿汤,yin'chen'hao'tang
茵陈四逆散,yin'chen'si'ni'san
茵陈五苓散,yin'chen'wu'ling'san
银翘散,yin'qiao'san
右归丸,you'gui'wan
右归饮,you'gui'yin
禹功散,yu'gong'san
玉女煎,yu'nv'jian
玉屏风散,yu'ping'feng'san
玉液汤,yu'ye'tang
玉真散,yu'zhen'san
越婢汤,yue'bi'tang
越鞠丸,yue'ju'wan
再造散,zai'zao'san
增液承气汤,zeng'ye'cheng'qi'tang
增液汤,zeng'ye'tang
镇肝熄风汤,zhen'gan'xi'feng'tang
真人养脏汤,zhen'ren'yang'zang'tang
真武汤,zhen'wu'tang
正气天香散,zheng'qi'tian'xiang'san
知柏地黄丸,zhi'bai'di'huang'wan
至宝丹,zhi'bao'dan
炙甘草汤,zhi'gan'cao'tang
止痉散,zhi'jing'san
枳实导滞丸,zhi'shi'dao'zhi'wan
枳实消痞丸,zhi'shi'xiao'pi'wan
枳术汤,zhi'shu'tang
枳术丸,zhi'shu'wan
止嗽散,zhi'sou'san
栀子柏皮汤,zhi'zi'bai'pi'tang
猪苓汤,zhu'ling'tang
朱砂安神丸,zhu'sha'an'shen'wan
竹叶柳蒡汤,zhu'ye'liu'bang'tang
竹叶石膏汤,zhu'ye'shi'gao'tang
紫金锭,zi'jin'ding
资生丸,zi'sheng'wan
紫血,zi'xue
左归丸,zuo'gui'wan
左归饮,zuo'gui'yin
左金丸,zuo'jin'wan
