阿聋公拜年,a'long'gong'bai'nian
炖冬菇,dun'dong'gu
屙肚,e'du
恶鸡乸,e'ji'na
屙尿,e'niao
屙屁,e'pi
屙巧屎,e'qiao'shi
扼人,e'ren
呃神骗鬼,e'shen'pian'gui
屙屎,e'shi
屙屎冇出赖地硬,e'shi'mao'chu'lai'di'ying
屙须某浸鼻死,e'xu'mou'jin'bi'si
屙须突中叼,e'xu'tu'zhong'diao
厄阵间,e'zhen'jian
厄阵仔,e'zhen'zai
奀公,en'gong
二哥佬,er'ge'lao
二碌,er'lu
耳仔,er'zai
发白呃,fa'bai'e
发戳痒,fa'chuo'yang
发狗癫,fa'gou'dian
发花颠,fa'hua'dian
发鸡撬,fa'ji'qiao
发鸡忍,fa'ji'ren
发烂渣,fa'lan'zha
发閪姣,fa'se'jiao
发嗡风,fa'weng'feng
发猪癫,fa'zhu'dian
返工,fan'gong
反骨,fan'gu
反骨仔,fan'gu'zai
番鬼佬,fan'gui'lao
番薯大条,fan'shu'da'tiao
反水,fan'shui
番桃,fan'tao
番桃婆,fan'tao'po
翻渣,fan'zha
犯众恶,fan'zhong'e
反转猪肚就是屎,fan'zhuan'zhu'du'jiu'shi'shi
放水,fang'shui
防水,fang'shui
废戳,fei'chuo
飞法,fei'fa
废閪,fei'se
费事,fei'shi
飞鼠,fei'shu
粉肠,fen'chang
粪箕抽督,fen'ji'chou'du
粪基仔,fen'ji'zai
风枪,feng'qiang
福成,fu'cheng
符啡,fu'fei
符弗,fu'fu
咁戳,gan'chuo
咁撚,gan'nian
咁閪,gan'se
咁子,gan'zi
戆叱鸠,gang'chi'jiu
戆勼勼,gang'jiu'jiu
搞掂,gao'dian
高关,gao'guan
搞咩戳,gao'mie'chuo
搞咩符弗,gao'mie'fu'fu
搞屎棍,gao'shi'gun
搞头,gao'tou
睾遮,gao'zhe
个次,ge'ci
割禾,ge'he
个基,ge'ji
咯嘞,ge'le
隔笠姐,ge'li'jie
蛤乸,ge'na
跟尾,gen'wei
哽係,geng'xi
哽喺,geng'xi
公仔,gong'zai
公仔纸,gong'zai'zhi
公渣家婆,gong'zha'jia'po
贡子,gong'zi
公子纸,gong'zi'zhi
够戳布路咯,gou'chuo'bu'lu'ge
够担,gou'dan
够格,gou'ge
够喉,gou'hou
媾女,gou'nv
溝女,gou'nv
够閪,gou'se
狗閪出出你都摸摸,gou'se'chu'chu'ni'dou'mo'mo
够閪水咯,gou'se'shui'ge
古仔,gu'zai
姑子,gu'zi
寡公佬,gua'gong'lao
寡公衫,gua'gong'shan
呱鹤,gua'he
瓜佬趁,gua'lao'chen
关帝庙,guan'di'miao
冠岭山庄,guan'ling'shan'zhuang
关你戳事,guan'ni'chuo'shi
冠头领,guan'tou'ling
灌土狗,guan'tu'gou
攰戳稍,gui'chuo'shao
攰黑死欸,gui'hei'si'ai
攰閪死诶,gui'se'si'ei
鲑鱼,gui'yu
惃格,gun'ge
滚水,gun'shui
锅盖头,guo'gai'tou
含家产,han'jia'chan
好彩,hao'cai
好地地,hao'di'di
蚝蛎,hao'li
好耐,hao'nai
禾虾,he'xia
嘿呗,hei'bei
黑麻麻,hei'ma'ma
黑墨墨,hei'mo'mo
后生仔,hou'sheng'zai
花莎,hua'sha
火狗,huo'gou
火鸠,huo'jiu
火栳棍,huo'lao'gun
火水油,huo'shui'you
鸡乸,ji'na
几皮嘢,ji'pi'ye
几閪,ji'se
鸡屎藤,ji'shi'teng
鸡屎头边热,ji'shi'tou'bian're
架势,jia'shi
夹手夹脚,jia'shou'jia'jiao
家下,jia'xia
煎堆,jian'dui
讲鬼讲马,jiang'gui'jiang'ma
胶箍,jiao'gu
脚仔,jiao'zai
戒口,jie'kou
解裤,jie'ku
解裤屙屁,jie'ku'e'pi
惊丑,jing'chou
咔咧啡,ka'lie'fei
開估,kai'gu
堪废,kan'fei
冚家铲,kan'jia'chan
坎头,kan'tou
啃废,ken'fei
铿废,keng'fei
口淡,kou'dan
口痕,kou'hen
口花花,kou'hua'hua
苦莲树,ku'lian'shu
拉伤,la'shang
邋杂,la'za
赖尿,lai'niao
濑屎,lai'shi
赖须虼,lai'xu'ge
赖须虾,lai'xu'xia
烂命,lan'ming
烂閪,lan'se
褴衫,lan'shan
老戳水,lao'chuo'shui
老窦,lao'dou
老奀,lao'en
老嘿水,lao'hei'shui
老几婆,lao'ji'po
捞佬,lao'lao
老乸,lao'na
老涅,lao'nie
老派,lao'pai
老契,lao'qi
老閪,lao'se
老水,lao'shui
老水蟋蟀,lao'shui'xi'shuai
捞头,lao'tou
老丫,lao'ya
老嘢,lao'ye
勒磕,le'ke
叻马,le'ma
叻仔,le'zai
雷公狗,lei'gong'gou
楞档,leng'dang
冷挂,leng'gua
冷裤,leng'ku
棱礽,leng'reng
冷衫,leng'shan
黎崩,li'beng
笠衫,li'shan
俩偷狗,lia'tou'gou
咧啡,lie'fei
冧档,lin'dang
流下村,liu'xia'cun
龙王岩,long'wang'yan
渌生菜,lu'sheng'cai
卵泡,luan'pao
乱之来,luan'zhi'lai
乱猪来,luan'zhu'lai
论吉,lun'ji
轮吉,lun'ji
论吉佬,lun'ji'lao
轮閪阵,lun'se'zhen
轮阵,lun'zhen
攞命,luo'ming
落雨,luo'yu
孖鼻,ma'bi
孖夫,ma'fu
妈赖,ma'lai
马狼犺,ma'lang'kang
麻勒佬,ma'le'lao
马骝仔,ma'liu'zai
摩挲,ma'sa
孖生,ma'sheng
孖屎吃,ma'shi'chi
妈仔,ma'zai
妈仔翘,ma'zai'qiao
马札,ma'zha
埋单,mai'dan
唛开口,mai'kai'kou
买蔓,mai'man
蔓城,man'cheng
墁绳,man'sheng
芒街,mang'jie
冇戳,mao'chuo
冇到笋,mao'dao'sun
冇得,mao'de
冇怪之得,mao'guai'zhi'de
冇关我事,mao'guan'wo'shi
冇黒,mao'hei
冇嘿搞,mao'hei'gao
冇料到,mao'liao'dao
冇閪搞,mao'se'gao
冇使,mao'shi
冇识,mao'shi
冇识丑,mao'shi'chou
冇识得,mao'shi'de
猫閖流,mao'shui'liu
猫须流,mao'xu'liu
冇用,mao'yong
冇有,mao'you
冇知道,mao'zhi'dao
茂子村,mao'zi'cun
妹仔,mei'zai
扪屎,men'shi
掹扣,meng'kou
蜢鹛,meng'mei
掹虾,meng'xia
咪日,mi'ri
咪吱,mi'zhi
搣开,mie'kai
乜嘢,mie'ye
乜嘢戳,mie'ye'chuo
孭仔,mie'zai
咩猪罩,mie'zhu'zhao
摸盲虫,mo'mang'chong
踎街,mou'jie
某识丑,mou'shi'chou
恈头狗,mou'tou'gou
木夹,mu'jia
南康,nan'kang
娚竜,nan'long
南万,nan'wan
喃斎,nan'zhai
你哋,ni'di
你乃,ni'nai
泥砖屋,ni'zhuan'wu
年卅晚,nian'sa'wan
年卅晚偷黄瓜冇识头尾,nian'sa'wan'tou'huang'gua'mao'shi'tou'wei
年三十的狗,nian'san'shi'de'gou
秥子,nian'zi
嬲盲,niao'mang
聂三,nie'san
扭狗,niu'gou
扭狗材,niu'gou'cai
拗痕,niu'hen
牛尾岭,niu'wei'ling
挪诶仔,nuo'ei'zai
挪米冇落煲,nuo'mi'mao'luo'bao
挪死,nuo'si
喏子,nuo'zi
女人婆,nv'ren'po
哦嚄咯,o'huo'ge
哦啤佬,o'pi'lao
扒灰,pa'hui
爬灰,pa'hui
皮喼,pi'jie
潎人,pi'ren
扑街,pu'jie
契弟,qi'di
盵嘢,qi'ye
前世冇修,qian'shi'mao'xiu
撬墙角,qiao'qiang'jiao
倾大偈,qing'da'ji
倾偈,qing'ji
倾计,qing'ji
青脚,qing'jiao
求其,qiu'qi
佢哋,qu'di
屈火,qu'huo
雀仔,que'zi
热头,re'tou
人比人气死人,ren'bi'ren'qi'si'ren
人多手脚乱军事多打沉船,ren'duo'shou'jiao'luan'jun'shi'duo'da'chen'chuan
肉緊,rou'jin
肉酸,rou'suan
软脚蟹,ruan'jiao'xie
软蟹,ruan'xie
萨虫,sa'chong
嗮气,sai'qi
嘥气,sai'qi
塞时,sai'shi
塞头盖,sai'tou'gai
嘥咗,sai'zuo
三分命,san'fen'ming
三分纸鸭头,san'fen'zhi'ya'tou
三脚凳,san'jiao'deng
三轮斗,san'lun'dou
三婆庙,san'po'miao
潵熟狗头牙啱啱,san'shu'gou'tou'ya'yan'yan
閪呗,se'bei
沙胆,sha'dan
沙牯,sha'gu
沙枪,sha'qiang
沙事,sha'shi
沙蟹汁,sha'xie'zhi
山话,shan'hua
上高,shang'gao
烧炮仔,shao'pao'zai
梢叶糍,shao'ye'ci
社王公,she'wang'gong
谂到,shen'dao
深水港,shen'shui'gang
生懵懵,sheng'meng'meng
石埠村,shi'bu'cun
石步村,shi'bu'cun
石步海,shi'bu'hai
食朝,shi'chao
识戳破你,shi'chuo'po'ni
事旦,shi'dan
识得,shi'de
食得咸鱼抵得渴,shi'de'xian'yu'di'de'ke
屎忽,shi'hu
屎忽窿,shi'hu'long
屎忽豚,shi'hu'tun
屎忽痒,shi'hu'yang
屎坑,shi'keng
识米,shi'mi
识咩大戳,shi'mie'da'chuo
使乜讲,shi'mie'jiang
驶牛佬,shi'niu'lao
识閪崩你,shi'se'beng'ni
识閪破你,shi'se'po'ni
湿湿碎,shi'shi'sui
湿衰,shi'shuai
石湾,shi'wan
食晚,shi'wan
食碗面反碗底,shi'wan'mian'fan'wan'di
食晏,shi'yan
食烟仔,shi'yan'zai
十足十,shi'zu'shi
瘦鬼二妈,shou'gui'er'ma
瘦佬,shou'lao
瘦蜢蜢,shou'meng'meng
收米簿,shou'mi'bu
收你米簿,shou'ni'mi'bu
收皮,shou'pi
瘦蟹,shou'xie
输审头,shu'shen'tou
衰到贴地,shuai'dao'tie'di
闩门,shuan'men
水厄冇响,shui'e'mao'xiang
水工佬,shui'gong'lao
睡火车路,shui'huo'che'lu
水佬,shui'lao
水鱼炖鸡,shui'yu'dun'ji
死鸡撑硬颈,si'ji'cheng'ying'jing
死仔巴,si'zai'ba
四正,si'zheng
算戳数,suan'chuo'shu
特登,te'deng
腾公,teng'gong
腾笋,teng'sun
銻煲,ti'bao
锑桶,ti'tong
天井,tian'jing
天收打靶雷公劈脑膜炎扭紧紧,tian'shou'da'ba'lei'gong'pi'nao'mo'yan'niu'jin'jin
天收打罢阴公前世,tian'shou'da'ba'yin'gong'qian'shi
条女,tiao'nv
听日,ting'ri
同埋,tong'mai
通日,tong'ri
头边,tou'bian
头嘚嘚眼湿湿,tou'de'de'yan'shi'shi
头壳,tou'ke
头卯卯,tou'mao'mao
头先,tou'xian
土狗,tu'gou
推庄,tui'zhuang
托戳,tuo'chuo
拖马,tuo'ma
外父老,wai'fu'lao
外沙,wai'sha
外沙桥,wai'sha'qiao
碗柜,wan'gui
晚黑头,wan'hei'tou
未见过大蛇喔屎啊,wei'jian'guo'da'she'wo'shi'a
为乜嘢,wei'mie'ye
威水,wei'shui
蚊螆,wen'ci
搵路数,wen'lu'shu
揾食,wen'shi
搵死,wen'si
穩陣,wen'zhen
翁山,weng'shan
我哋,wo'di
五帘子,wu'lian'zi
屋企,wu'qi
唔使,wu'shi
屋子村,wu'zi'cun
喺边度,xi'bian'du
细佬哥,xi'lao'ge
係咩,xi'mie
係乜嚟架,xi'mie'li'jia
细蚊仔,xi'wen'zai
係我,xi'wo
细细只,xi'xi'zhi
下底,xia'di
下低街,xia'di'jie
咸湿,xian'shi
闲时,xian'shi
咸湿佬,xian'shi'lao
想吃黄鳝巴系冇,xiang'chi'huang'shan'ba'xi'mao
项鸡,xiang'ji
蟹仔,xie'zai
鞋踭,xie'zheng
心翻,xin'fan
心恈,xin'mou
心水,xin'shui
心思思,xin'si'si
心甜,xin'tian
行戳开,xing'chuo'kai
行街,xing'jie
喐佢,xu'qu
喐手,xu'shou
恤恤地,xu'xu'di
训觉,xun'jiao
牙齿当金使,ya'chi'dang'jin'shi
呀咋,ya'za
眼闭,yan'bi
眼鬼盲,yan'gui'mang
眼琼琼,yan'qiong'qiong
啱身,yan'shen
眼水,yan'shui
啱心水,yan'xin'shui
晏昼,yan'zhou
羊咩咩,yang'mie'mie
咬戳某入,yao'chuo'mou'ru
窑番薯,yao'fan'shu
腰佝佬,yao'gou'lao
腰扣佬,yao'kou'lao
腰扣佬落岭,yao'kou'lao'luo'ling
野仔,ye'zai
野种,ye'zhong
一部通书睇到老,yi'bu'tong'shu'di'dao'lao
一啲,yi'di
依家,yi'jia
姨乸,yi'na
姨婆,yi'po
一齐,yi'qi
翼稍,yi'shao
蚁虱佬,yi'shi'lao
咦呀,yi'ya
伊妖,yi'yao
阴功大过龙眼核,yin'gong'da'guo'long'yan'he
阴公节堕,yin'gong'jie'duo
阴閪公,yin'se'gong
银纸,yin'zhi
硬颈仔,ying'jing'zai
有排,you'pai
游水,you'shui
有尾狗跳冇尾狗又跳,you'wei'gou'tiao'mao'wei'gou'you'tiao
甴曱,you'yue
郁佢,yu'qu
雨遮,yu'zhe
早朝头,zao'chao'tou
択勒,ze'le
啫哩,ze'li
扎便马,zha'bian'ma
扎马,zha'ma
真系,zhen'xi
执死鸡,zhi'si'ji
仲冇,zhong'mao
仲使搵食某,zhong'shi'wen'shi'mou
周身牙齿痕,zhou'shen'ya'chi'hen
猪咧柄狗腿,zhu'lie'bing'gou'tui
猪孥孥,zhu'nu'nu
猪头丙,zhu'tou'bing
装盵,zhuang'qi
捉狗虱巅须,zhuo'gou'shi'dian'xu
捉你老乸我屌,zhuo'ni'lao'na'wo'diao
捉水蟹,zhuo'shui'xie
走佬,zou'lao
走棋,zou'qi
阻滞,zu'zhi
卒之来,zu'zhi'lai
咗手咗脚,zuo'shou'zuo'jiao
