嗄风,a'feng
钵落厕缸,bo'luo'ce'gang
波美,bo'mei
伯命,bo'ming
伯命伯债,bo'ming'bo'zhai
钵爿,bo'pan
伯唔起,bo'wu'qi
波溪,bo'xi
泊叶,bo'ye
伯债,bo'zhai
伯走起,bo'zou'qi
埠狗消,bu'gou'xiao
步狗消,bu'gou'xiao
捕螺,bu'luo
捕螺酷咔,bu'luo'ku'ka
卜叔,bu'shu
布田,bu'tian
蔡肥,cai'fei
蔡沟,cai'gou
菜脯,cai'pu
菜脯卵,cai'pu'luan
菜头,cai'tou
参深,can'shen
参深到放屁烫掉裤,can'shen'dao'fang'pi'tang'diao'ku
参无多,can'wu'duo
参详,can'xiang
草刀,cao'dao
草粿,cao'guo
曹过来,cao'guo'lai
曹过去,cao'guo'qu
草湖,cao'hu
草搛,cao'jian
草尾,cao'wei
草鱼,cao'yu
草鱼糜,cao'yu'mi
曹正路,cao'zheng'lu
测短领,ce'duan'ling
厕缸脚,ce'gang'jiao
测过来,ce'guo'lai
测过去,ce'guo'qu
测后,ce'hou
测后去,ce'hou'qu
测裤,ce'ku
测链,ce'lian
测前,ce'qian
测前来,ce'qian'lai
测堂领,ce'tang'ling
厕砑,ce'ya
叉到你哼哼去,cha'dao'ni'heng'heng'qu
查来查大,cha'lai'cha'da
查来查邋遢,cha'lai'cha'la'ta
查来查细,cha'lai'cha'xi
插吣,cha'qin
查物查大,cha'wu'cha'da
查物查细,cha'wu'cha'xi
柴裘,chai'qiu
缠脚兑手,chan'jiao'dui'shou
缠做一纠,chan'zuo'yi'jiu
昌苦命膣,chang'ku'ming'zhi
长陇,chang'long
鲳鱼,chang'yu
昌膣仔,chang'zhi'zai
潮东,chao'dong
潮港,chao'gang
朝来朝大,chao'lai'chao'da
朝来朝邋遢,chao'lai'chao'la'ta
朝来朝细,chao'lai'chao'xi
潮美,chao'mei
车白,che'bai
陈厝围,chen'cuo'wei
陈店,chen'dian
陈禾陂,chen'he'bei
陈库,chen'ku
城到涎绩滴,cheng'dao'xian'ji'di
秤糜,cheng'mi
城前,cheng'qian
成树,cheng'shu
秤水,cheng'shui
承叙,cheng'xu
撑鱼,cheng'yu
埕鱼脚,cheng'yu'jiao
蛏仔,cheng'zai
赤寮,chi'liao
赤坪,chi'ping
赤肉,chi'rou
斥头彩,chi'tou'cai
赤蟹,chi'xie
豉油,chi'you
铳死人,chong'si'ren
铳药,chong'yao
虫仔眤死人,chong'zai'ni'si'ren
铳籽,chong'zi
铳籽壳,chong'zi'ke
仇齿洗面,chou'chi'xi'mian
抽搐,chou'chu
抽搐仔,chou'chu'zai
抽到挨响,chou'dao'ai'xiang
臭到含个苦去,chou'dao'han'ge'ku'qu
臭到图唔上壁,chou'dao'tu'wu'shang'bi
臭脚唶,chou'jiao'ji
臭康课,chou'kang'ke
臭浪屎康课,chou'lang'shi'kang'ke
臭浪屎戏,chou'lang'shi'xi
臭想,chou'xiang
臭种,chou'zhong
臭嘴划,chou'zui'hua
楚理列,chu'li'lie
楚列有,chu'lie'you
除命,chu'ming
除命挨扱习,chu'ming'ai'xi'xi
除人,chu'ren
出日,chu'ri
初汤,chu'tang
除头,chu'tou
除仔,chu'zai
橱仔,chu'zai
初做一袋,chu'zuo'yi'dai
初做一下,chu'zuo'yi'xia
喘季,chuan'ji
窗井,chuang'jing
床仔,chuang'zai
吹食,chui'shi
吹事作,chui'shi'zuo
槌烫,chui'tang
慈花,ci'hua
刺甲,ci'jia
刺螺,ci'luo
葱饼,cong'bing
丛到耽耽,cong'dao'dan'dan
丛水,cong'shui
凑老若,cou'lao'ruo
粗堵,cu'du
促肉,cu'rou
翠竹园,cui'zhu'yuan
厝鞭头尾,cuo'bian'tou'wei
挫衰消,cuo'shuai'xiao
鹾衰消吓,cuo'shuai'xiao'xia
大陂,da'bei
哒补,da'bu
大布上,da'bu'shang
大布下,da'bu'xia
大布洋,da'bu'yang
搭车,da'che
大成树脚,da'cheng'shu'jiao
大虫食细虫,da'chong'shi'xi'chong
搭船,da'chuan
搭磁砖,da'ci'zhuan
搭对联,da'dui'lian
大妗,da'jin
大舅,da'jiu
大坑,da'keng
大浪事,da'lang'shi
大联,da'lian
大寮,da'liao
大箩,da'luo
打妈油,da'ma'you
大南,da'nan
大人个,da'ren'ge
大輋,da'she
大薯,da'shu
大溪坝,da'xi'ba
搭药,da'yao
大姨,da'yi
大宅,da'zhai
大肿浪帝,da'zhong'lang'di
呔膏,dai'gao
呔膏除死死除迷,dai'gao'chu'si'si'chu'mi
淡菜,dan'cai
耽柴近火烧,dan'chai'jin'huo'shao
耽臭,dan'chou
耽到渌渌,dan'dao'lu'lu
担鬼浪话,dan'gui'lang'hua
丹华花园,dan'hua'hua'yuan
淡甲,dan'jia
担块无个,dan'kuai'wu'ge
担了鬼哩烧尚,dan'le'gui'li'shao'shang
担耍笑,dan'shua'xiao
担唔北去,dan'wu'bei'qu
担唔北去哩着,dan'wu'bei'qu'li'zhe
担无歇,dan'wu'xie
担奓,dan'zha
耽汁耽汁,dan'zhi'dan'zhi
当到你头尾棚大,dang'dao'ni'tou'wei'peng'da
党死个,dang'si'ge
党下,dang'xia
岛鲳,dao'chang
岛内价,dao'nei'jia
岛枪,dao'qiang
到生好,dao'sheng'hao
到衰啊,dao'shuai'a
岛碎纸,dao'sui'zhi
到下在,dao'xia'zai
地豆,di'dou
地块有哪,di'kuai'you'na
籴米,di'mi
帝人帝症,di'ren'di'zheng
滴屎仔,di'shi'zai
蒂仔脉,di'zai'mai
地珍时绩担,di'zhen'shi'ji'dan
递症仔,di'zheng'zai
店后,dian'hou
店鸡掠斥,dian'ji'lue'chi
店铺碗,dian'pu'wan
店前,dian'qian
电视除,dian'shi'chu
电视橱,dian'shi'chu
殿鱼,dian'yu
店在瓮底,dian'zai'weng'di
吊暗,diao'an
吊丁,diao'ding
吊紧,diao'jin
吊猫尾,diao'mao'wei
叠楼,die'lou
叠石,die'shi
叠台,die'tai
定安,ding'an
定脚动手,ding'jiao'dong'shou
鼎溜,ding'liu
丁螺,ding'luo
鼎仔,ding'zai
定着,ding'zhe
东波,dong'bo
东潮,dong'chao
东凤,dong'feng
东浮山,dong'fu'shan
东沟,dong'gou
东鸿酒楼,dong'hong'jiu'lou
东湖,dong'hu
东华,dong'hua
东家宫,dong'jia'gong
东炕,dong'kang
东老,dong'lao
东陇,dong'long
东内,dong'nei
东爿,dong'pan
东盘,dong'pan
东山路口,dong'shan'lu'kou
董塘,dong'tang
东溪,dong'xi
东仙,dong'xian
东新,dong'xin
东盐,dong'yan
豆豉,dou'chi
豆豉粕,dou'chi'po
豆吽,dou'hong
豆仁,dou'ren
豆仁班,dou'ren'ban
豆砂饼,dou'sha'bing
豆示,dou'shi
豆示粕,dou'shi'po
豆条,dou'tiao
豆仔,dou'zai
肚大大,du'da'da
肚火,du'huo
督鸡,du'ji
肚困死,du'kun'si
独辇车,du'nian'che
厾食,du'shi
渡头,du'tou
堵唔兑,du'wu'dui
肚妖死,du'yao'si
堵砧,du'zhen
短到棚棚,duan'dao'peng'peng
短命短达,duan'ming'duan'da
对唔住,dui'wu'zhu
兑做一下,dui'zuo'yi'xia
敦灶,dun'zao
朵哏,duo'gen
惰过贼浪,duo'guo'zei'lang
惰甲力棚分,duo'jia'li'peng'fen
朵近,duo'jin
朵爬走唔例,duo'pa'zou'wu'li
朵恰已,duo'qia'yi
鹅地,e'di
鹅肝,e'gan
恶户,e'hu
鹅键,e'jian
鹅近,e'jin
呃湆,e'qi
鹅实,e'shi
恶水,e'shui
鹅习,e'xi
呃血,e'xue
恶汁,e'zhi
二角银,er'jiao'yin
发小,fa'xiao
饭床,fan'chuang
饭郭,fan'guo
饭势骨,fan'shi'gu
番薯沟,fan'shu'gou
番薯箍,fan'shu'gu
番薯粿,fan'shu'guo
番薯瓠,fan'shu'hu
番薯烙,fan'shu'lao
番薯糜,fan'shu'mi
番薯畦,fan'shu'qi
番薯汤,fan'shu'tang
范溪,fan'xi
反症,fan'zheng
芳讲,fang'jiang
放莲,fang'lian
放棚,fang'peng
肥到腻腻,fei'dao'ni'ni
肥鸡稚鹅老鸭补,fei'ji'zhi'e'lao'ya'bu
飞哳,fei'zha
粉肠,fen'chang
粪风胀水,fen'feng'zhang'shui
粪箕,fen'ji
坟康,fen'kang
坟康挨食,fen'kang'ai'shi
坟康仔,fen'kang'zai
坟拉做厝,fen'la'zuo'cuo
分人分尸,fen'ren'fen'shi
焚烧,fen'shao
焚烧水,fen'shao'shui
焚水,fen'shui
凤北,feng'bei
逢场做戏,feng'chang'zuo'xi
风吹寮,feng'chui'liao
丰厝,feng'cuo
凤东,feng'dong
缝缝英,feng'feng'ying
凤壶,feng'hu
风户无移,feng'hu'wu'yi
蜂讲,feng'jiang
凤南,feng'nan
风筛,feng'shai
凤山,feng'shan
丰衰消,feng'shuai'xiao
凤田,feng'tian
风滃,feng'weng
福仓,fu'cang
浮草,fu'cao
捊到直直,fu'dao'zhi'zhi
复合埕,fu'he'cheng
浮劳,fu'lao
福寿鱼,fu'shou'yu
罘索猪哥,fu'suo'zhu'ge
福潭,fu'tan
浮小,fu'xiao
父仔,fu'zai
父仔泉种,fu'zai'quan'zhong
捊直,fu'zhi
尜尜,ga'ga
肝安肝囝,gan'an'gan'jian
感埠仔,gan'bu'zai
肝存支死嘴,gan'cun'zhi'si'zui
甘到目无眤,gan'dao'mu'wu'ni
赶甲邪,gan'jia'xie
柑拿,gan'na
柑拿摸着佛哩大,gan'na'mo'zhe'fo'li'da
甘人,gan'ren
赶人在担,gan'ren'zai'dan
敢圣掠来捊,gan'sheng'lue'lai'fu
敢食敢担,gan'shi'gan'dan
甘锥,gan'zhui
港底,gang'di
戆过只鸭,gang'guo'zhi'ya
港后,gang'hou
港美,gang'mei
岗头,gang'tou
港头,gang'tou
戆仙,gang'xian
戆仔,gang'zai
戇仔,gang'zai
港洲,gang'zhou
高桂,gao'gui
膏粿,gao'guo
高美,gao'mei
高埔,gao'pu
高堂,gao'tang
膏仔,gao'zai
嗝吹,ge'chui
嗝担,ge'dan
哥掉,ge'diao
戈饭,ge'fan
嗝古,ge'gu
各局,ge'ju
阁浪样,ge'lang'yang
阁浪纵,ge'lang'zong
搿麻,ge'ma
个脉到雅,ge'mai'dao'ya
嗝人担肖,ge'ren'dan'xiao
嗝物,ge'wu
阁样,ge'yang
个银,ge'yin
割纣,ge'zhou
嗝嘴嗝舌,ge'zui'ge'she
鲠死去,geng'si'qu
鲠着支鱼骨,geng'zhe'zhi'yu'gu
贡铳铳,gong'chong'chong
工夫茶,gong'fu'cha
贡贡蜂,gong'gong'feng
慐过只鸭,gong'guo'zhi'ya
工青抽白喘,gong'qing'chou'bai'chuan
拱上,gong'shang
贡死人,gong'si'ren
公孙,gong'sun
共同粿,gong'tong'guo
慐仙,gong'xian
工鱼,gong'yu
慐仔,gong'zai
狗浮猪唔嘦书,gou'fu'zhu'wu'jiao'shu
沟湖,gou'hu
狗舌配,gou'she'pei
狗食糯米卖变,gou'shi'nuo'mi'mai'bian
沟头,gou'tou
狗种仔,gou'zhong'zai
古厝,gu'cuo
孤哒仔,gu'da'zai
孤担赤熟,gu'dan'chi'shu
咕分,gu'fen
咕分仔,gu'fen'zai
孤鬼,gu'gui
古帅,gu'shuai
古笋,gu'sun
古溪,gu'xi
孤蝇孤吼,gu'ying'gu'hou
蛊症仔,gu'zheng'zai
寡点钟,gua'dian'zhong
寡过,gua'guo
寡日,gua'ri
拐脚,guai'jiao
怪浪,guai'lang
怪浪生双支,guai'lang'sheng'shuang'zhi
乖鱼,guai'yu
关埠,guan'bu
灌脚仓花,guan'jiao'cang'hua
官母坑,guan'mu'keng
官山,guan'shan
官田,guan'tian
光星,guang'xing
龟怪,gui'guai
鬼甲马道吼,gui'jia'ma'dao'hou
鬼掠仔,gui'lue'zai
鬼马吼,gui'ma'hou
龟山,gui'shan
龟筒,gui'tong
贵屿,gui'yu
鬼在唔笑,gui'zai'wu'xiao
滚水,gun'shui
锅菜,guo'cai
郭蒂,guo'di
过脚哦,guo'jiao'o
过如,guo'ru
过山鲫,guo'shan'ji
粿条面,guo'tiao'mian
过鱼,guo'yu
锅仔,guo'zai
粿汁,guo'zhi
海门,hai'men
海墘,hai'qian
海沙漫,hai'sha'man
海蛇,hai'she
海是在不刹啊,hai'shi'zai'bu'sha'a
海田,hai'tian
海滃,hai'weng
蚶壳草,han'ke'cao
顸烧,han'shao
寒言甲烧,han'yan'jia'shao
顸烊,han'yang
杭鱼,hang'yu
杭重,hang'zhong
蚝鞭,hao'bian
蚝担,hao'dan
好康课,hao'kang'ke
蚝烙,hao'lao
好食,hao'shi
浩溪,hao'xi
豪籽,hao'zi
禾陂,he'bei
鹤丰,he'feng
和丰,he'feng
和和尼,he'he'ni
鹤联,he'lian
贺陇,he'long
河陇,he'long
荷芒豆,he'mang'dou
和平,he'ping
和铺,he'pu
河尾,he'wei
河溪,he'xi
合心事,he'xin'shi
河腰,he'yao
赫嘴,he'zui
龁嘴,he'zui
黑到绩抽,hei'dao'ji'chou
噷到头破希火,hen'dao'tou'po'xi'huo
噷二下齕你灵钟,hen'er'xia'he'ni'ling'zhong
噷拍,hen'pai
横山,heng'shan
哼耍,heng'shua
红场,hong'chang
哄倒社会,hong'dao'she'hui
红墩,hong'dun
红花桃,hong'hua'tao
红口划,hong'kou'hua
红卵,hong'luan
红螺,hong'luo
红螺壳,hong'luo'ke
红毛灰,hong'mao'hui
红柿仔,hong'shi'zai
洪洞,hong'tong
红遭,hong'zao
后安,hou'an
后彩眉,hou'cai'mei
后港仔,hou'gang'zai
鲎粿,hou'guo
厚合,hou'he
后闹,hou'nao
后坪,hou'ping
后埔,hou'pu
后日,hou'ri
候生无读册,hou'sheng'wu'du'ce
后双园,hou'shuang'yuan
后田,hou'tian
后洋,hou'yang
虎白坟,hu'bai'fen
湖东,hu'dong
瓠滚水,hu'gun'shui
虎康,hu'kang
瓠块糜,hu'kuai'mi
葫芦爿,hu'lu'pan
户落到嘎嘎叫,hu'luo'dao'ga'ga'jiao
瓠糜,hu'mi
湖南鲫,hu'nan'ji
虎舌,hu'she
瓠食,hu'shi
戽水,hu'shui
湖西,hu'xi
瓠靴,hu'xue
葫蝇,hu'ying
葫蝇屎,hu'ying'shi
葫蝇蚊莽,hu'ying'wen'mang
户在落哦,hu'zai'luo'o
花巴裂碌,hua'ba'lie'lu
花埕,hua'cheng
华岗,hua'gang
花蛤,hua'ha
华里西,hua'li'xi
华林,hua'lin
华岐,hua'qi
华桥,hua'qiao
花鲦,hua'tiao
花头运战大,hua'tou'yun'zhan'da
花仙,hua'xian
华阳,hua'yang
华瑶,hua'yao
花援,hua'yuan
花园村,hua'yuan'cun
划仔鱼,hua'zi'yu
黄螭,huang'chi
黄墙,huang'qiang
哕哕吐,hui'hui'tu
哕啦,hui'la
回箱烧拍攥头毛,hui'xiang'shao'pai'zuan'tou'mao
灰仔,hui'zai
火过在煲芋,huo'guo'zai'bao'yu
火择,huo'ze
乩杯,ji'bei
吉成对,ji'cheng'dui
鸡吹,ji'chui
鸡淡,ji'dan
集德,ji'de
敧东倚邪,ji'dong'yi'xie
鸡键,ji'jian
唧嘦唧嘦,ji'jiao'ji'jiao
鸡近,ji'jin
激了着腰龟,ji'le'zhe'yao'gui
鸡毛龙,ji'mao'long
鸡毛筅,ji'mao'xian
济美,ji'mei
鸡实,ji'shi
鸡屎丕,ji'shi'pi
鸡屎藤,ji'shi'teng
鸡翁寮,ji'weng'liao
鸡唔食粟,ji'wu'shi'su
鸡唔食蔗,ji'wu'shi'zhe
鸡习,ji'xi
激心,ji'xin
集星,ji'xing
鲫鱼,ji'yu
鸡仔错脚踏死鹅,ji'zai'cuo'jiao'ta'si'e
嫁安独独铳,jia'an'du'du'chong
家鬼会,jia'gui'hui
家话,jia'hua
佳鸡,jia'ji
假鸡假鸭,jia'ji'jia'ya
甲甲好,jia'jia'hao
甲甲下,jia'jia'xia
家困仔,jia'kun'zai
甲篮,jia'lan
甲浪胆棚大,jia'lang'dan'peng'da
甲浪棚样,jia'lang'peng'yang
架龙架势,jia'long'jia'shi
家美,jia'mei
甲人甲人相,jia'ren'jia'ren'xiang
甲人去死掉,jia'ren'qu'si'diao
甲烧,jia'shao
家下仔,jia'xia'zai
搛菜,jian'cai
尖峰,jian'feng
拣晶择白,jian'jing'ze'bai
搛块鱼,jian'kuai'yu
简拍,jian'pai
搛珀猪肉,jian'po'zhu'rou
搛起来食,jian'qi'lai'shi
搛去食,jian'qu'shi
囝肉,jian'rou
艰死人苦,jian'si'ren'ku
搛咸,jian'xian
囝婿,jian'xu
囝婿栽,jian'xu'zai
囝言去,jian'yan'qu
剑鱼,jian'yu
搛猪肉,jian'zhu'rou
犟浪,jiang'lang
桨亩卖大,jiang'mu'mai'da
桨食,jiang'shi
桨树林,jiang'shu'lin
桨水卖滚,jiang'shui'mai'gun
江线围,jiang'xian'wei
脚仓,jiao'cang
脚仓景景,jiao'cang'jing'jing
脚仓扲浮,jiao'cang'qian'fu
脚车破尼,jiao'che'po'ni
嘦担,jiao'dan
胶刀,jiao'dao
教到你挨,jiao'dao'ni'ai
胶刀仔,jiao'dao'zai
脚底,jiao'di
角掉,jiao'diao
酵粿,jiao'guo
侥过贼,jiao'guo'zei
胶回箱乞无点湆,jiao'hui'xiang'qi'wu'dian'qi
胶迹,jiao'ji
教囝氼孬教囝伯上树,jiao'jian'mei'nao'jiao'jian'bo'shang'shu
胶劳,jiao'lao
嘦理,jiao'li
胶理罗多,jiao'li'luo'duo
胶毛,jiao'mao
脚目,jiao'mu
脚盘,jiao'pan
脚同,jiao'tong
胶头,jiao'tou
脚头有,jiao'tou'you
脚腿,jiao'tui
窖洋,jiao'yang
角鱼,jiao'yu
叫宰,jiao'zai
脚宰头,jiao'zai'tou
胶枝知心,jiao'zhi'zhi'xin
姐夫,jie'fu
街市腊无,jie'shi'la'wu
金古,jin'gu
金湖园,jin'hu'yuan
斤年,jin'nian
斤年番薯唔比旧年芋,jin'nian'fan'shu'wu'bi'jiu'nian'yu
金埔,jin'pu
金浦,jin'pu
金钱鮸,jin'qian'mian
金灶,jin'zao
井都,jing'dou
井夫,jing'fu
经龟食蟞,jing'gui'shi'bie
景脚仓,jing'jiao'cang
丼丼下,jing'jing'xia
井美,jing'mei
惊日,jing'ri
晶肉,jing'rou
径头,jing'tou
丼下叫,jing'xia'jiao
惊伊无,jing'yi'wu
惊支浪齕你揭齿脚,jing'zhi'lang'he'ni'jie'chi'jiao
惊猪钟狗,jing'zhu'zhong'gou
扃到痛死,jiong'dao'tong'si
扃着只手,jiong'zhe'zhi'shou
鸠到底底,jiu'dao'di'di
酒壳绒,jiu'ke'rong
九龙吐珠,jiu'long'tu'zhu
九妮,jiu'ni
旧铜后铁,jiu'tong'hou'tie
就头担,jiu'tou'dan
舅仔,jiu'zai
剧墩箍,ju'dun'gu
锯冇弦,ju'mao'xian
锯弦,ju'xian
剧仔,ju'zai
军师虫,jun'shi'chong
咔内哦,ka'nei'o
勘额,kan'e
砍肩,kan'jian
堪阶,kan'jie
堪阶在衰哦,kan'jie'zai'shuai'o
堪阶在衰消,kan'jie'zai'shuai'xiao
堪阶在烟哦,kan'jie'zai'yan'o
看着火哩择,kan'zhe'huo'li'ze
堪值,kan'zhi
炕东,kang'dong
抗敧,kang'ji
康课,kang'ke
尻伯,kao'bo
尻菜头,kao'cai'tou
尻草,kao'cao
尻地豆,kao'di'dou
壳担,ke'dan
可楼,ke'lou
客情好过吊暗鬼,ke'qing'hao'guo'diao'an'gui
柯曲,ke'qu
课手,ke'shou
壳桃粿,ke'tao'guo
柯围,ke'wei
锞着个头,ke'zhe'ge'tou
坑尾,keng'wei
控番薯,kong'fan'shu
口美,kou'mei
苦埕,ku'cheng
苦初,ku'chu
哭鬼,ku'gui
哭鬼仔,ku'gui'zai
苦命苦达,ku'ming'ku'da
苦命膣,ku'ming'zhi
苦汀,ku'ting
苦嘴,ku'zui
咵活,kua'huo
咵康,kua'kang
咵食,kua'shi
咵套,kua'tao
咵相,kua'xiang
咵行,kua'xing
鲙鱼,kuai'yu
诳佬,kuang'lao
诳骗,kuang'pian
亏车,kui'che
亏刀仔,kui'dao'zai
亏去,kui'qu
亏嘴,kui'zui
亏嘴达着舌,kui'zui'da'zhe'she
困身,kun'shen
困头来一下,kun'tou'lai'yi'xia
困仔来一过,kun'zai'lai'yi'guo
阔目,kuo'mu
括砌勾,kuo'qi'gou
啦饼,la'bing
邋搭,la'da
啦泔,la'gan
腊街,la'jie
拉康拉屎,la'kang'la'shi
腊例罗,la'li'luo
啦铃,la'ling
啦楼,la'lou
啦楼枸,la'lou'gou
啦屎啦尿,la'shi'la'niao
腊唔着,la'wu'zhe
啦玡,la'ya
啦玡噀着尿,la'ya'xun'zhe'niao
来瓜,lai'gua
来咔内,lai'ka'nei
来咔哦,lai'ka'o
来螺,lai'luo
蓝丰,lan'feng
兰箭,lan'jian
兰脚里裸,lan'jiao'li'luo
兰裸,lan'luo
浪火肠到择个,lang'huo'chang'dao'ze'ge
浪筐,lang'kuang
浪毛草虱,lang'mao'cao'shi
浪毛好缚蟹,lang'mao'hao'fu'xie
浪毛稍须,lang'mao'shao'xu
浪脬,lang'pao
浪脬大过油佬,lang'pao'da'guo'you'lao
浪飒,lang'sa
浪事到下,lang'shi'dao'xia
浪事桶,lang'shi'tong
浪屎戏,lang'shi'xi
浪屎心幸,lang'shi'xin'xing
浪险,lang'xian
浪样张到然,lang'yang'zhang'dao'ran
老阿肝,lao'a'gan
老辈人,lao'bei'ren
老村,lao'cun
涝二会,lao'er'hui
老虎山,lao'hu'shan
老会仔,lao'hui'zai
老来着担奓,lao'lai'zhe'dan'zha
老婆亩囝,lao'po'mu'jian
老乞食,lao'qi'shi
老若,lao'ruo
老若到嘎嘎叫,lao'ruo'dao'ga'ga'jiao
涝屎,lao'shi
捞屎沟,lao'shi'gou
涝屎夏帝,lao'shi'xia'di
涝屎仔,lao'shi'zai
老五乡,lao'wu'xiang
老溪,lao'xi
老兄弟仔,lao'xiong'di'zai
老早死,lao'zao'si
老膣,lao'zhi
雷锞仔,lei'ke'zai
雷岭,lei'ling
利陂,li'bei
历格,li'ge
里美,li'mei
厉却,li'que
李围,li'wei
里溪,li'xi
李仙,li'xian
李者,li'zhe
粒籽散去,li'zi'san'qu
练北,lian'bei
敛掉块仔,lian'diao'kuai'zai
连丰,lian'feng
莲花峰,lian'hua'feng
莲花筋,lian'hua'jin
敛块出来,lian'kuai'chu'lai
敛块仔齕你,lian'kuai'zai'he'ni
练南,lian'nan
莲青,lian'qing
莲新,lian'xin
晾衫,liang'shan
两英,liang'ying
料嘦,liao'jiao
料诏,liao'zhao
咧假,lie'jia
裂目,lie'mu
临杯酒,lin'bei'jiu
林厝山,lin'cuo'shan
临急抱佛脚,lin'ji'bao'fo'jiao
临石,lin'shi
临死搐破三领草席,lin'si'chu'po'san'ling'cao'xi
鳞鱼,lin'yu
林招,lin'zhao
领哎,ling'ai
领爸,ling'ba
领公,ling'gong
领口尾,ling'kou'wei
领妈,ling'ma
领玛,ling'ma
领婆,ling'po
铃胜铃胜,ling'sheng'ling'sheng
领姨,ling'yi
领姨个膣,ling'yi'ge'zhi
领姨块唧,ling'yi'kuai'ji
柳厝园,liu'cuo'yuan
柳番薯,liu'fan'shu
柳岗,liu'gang
流罗,liu'luo
流溪,liu'xi
流仙,liu'xian
陇钵路,long'bo'lu
陇掉,long'diao
陇短,long'duan
陇短路,long'duan'lu
陇短去,long'duan'qu
龙港,long'gang
龙坑,long'keng
龙寮,long'liao
陇美,long'mei
龙舌,long'she
陇田,long'tian
陇尾,long'wei
卤到抗绝影,lu'dao'kang'jue'ying
卤到抗影,lu'dao'kang'ying
卤鹅,lu'e
胪岗,lu'gang
碌龙,lu'long
鲁鲁叫,lu'lu'jiao
路内,lu'nei
芦堂,lu'tang
卤汤,lu'tang
路头路尾,lu'tou'lu'wei
路外,lu'wai
路唔棚众人抨,lu'wu'peng'zhong'ren'peng
胪溪,lu'xi
胪新,lu'xin
卤鸭,lu'ya
炉鱼,lu'yu
炉仔,lu'zai
碌做一袋,lu'zuo'yi'dai
碌做一帕,lu'zuo'yi'pa
掠卢到青橙白橙,lue'lu'dao'qing'cheng'bai'cheng
略亩,lue'mu
掠去单掉,lue'qu'dan'diao
掠鱼,lue'yu
掠正,lue'zheng
落户,luo'hu
落链,luo'lian
螺撵,luo'nian
箩仔,luo'zai
褛做一下,lv'zuo'yi'xia
马鞍藤,ma'an'teng
马胶,ma'jiao
麻筋仔,ma'jin'zai
玛呕仔,ma'ou'zai
麻埔,ma'pu
孖起,ma'qi
麻鱼,ma'yu
麻鱼糜,ma'yu'mi
麻知,ma'zhi
玛祖,ma'zu
