爱民如子,ai'min'ru'zi
春来鸟语花香,chun'lai'niao'yu'hua'xiang
春来身入画图中,chun'lai'shen'ru'hua'tu'zhong
春联万户更新,chun'lian'wan'hu'geng'xin
春流时泛落花香,chun'liu'shi'fan'luo'hua'xiang
春满勤劳门第,chun'man'qin'lao'men'di
春满人间福满门,chun'man'ren'jian'fu'man'men
春暖风和日丽,chun'nuan'feng'he'ri'li
春情寄柳色,chun'qing'ji'liu'se
春色满人间,chun'se'man'ren'jian
春山浮翠桂月双圆,chun'shan'fu'cui'gui'yue'shuang'yuan
春桃秋菊费平章,chun'tao'qiu'ju'fei'ping'zhang
春夏秋冬,chun'xia'qiu'dong
春宵一刻值千金,chun'xiao'yi'ke'zhi'qian'jin
春雨洒来万象新,chun'yu'sa'lai'wan'xiang'xin
春逐鸟声来,chun'zhu'niao'sheng'lai
春妆祖国春不老,chun'zhuang'zu'guo'chun'bu'lao
春自寒梅唤起,chun'zi'han'mei'huan'qi
此地安能常住,ci'di'an'neng'chang'zhu
慈母手中丝丝织补,ci'mu'shou'zhong'si'si'zhi'bu
此木为柴,ci'mu'wei'chai
此木为柴山山出,ci'mu'wei'chai'shan'shan'chu
此曲吸应天上有,ci'qu'xi'ying'tian'shang'you
此是春华秋实事业,ci'shi'chun'hua'qiu'shi'shi'ye
从此前后不得兼顾,cong'ci'qian'hou'bu'de'jian'gu
粗毛野兽石先生,cu'mao'ye'shou'shi'xian'sheng
窜北方,cuan'bei'fang
翠翠红红处处莺莺燕燕,cui'cui'hong'hong'chu'chu'ying'ying'yan'yan
寸土为寺,cun'tu'wei'si
村幽鸟任歌,cun'you'niao'ren'ge
大材留作栋梁,da'cai'liu'zuo'dong'liang
大地春光好,da'di'chun'guang'hao
大地春回放面花,da'di'chun'hui'fang'mian'hua
大地山川生笔底,da'di'shan'chuan'sheng'bi'di
大礼重高冠,da'li'zhong'gao'guan
大小姐洗黑白菜,da'xiao'jie'xi'hei'bai'cai
大意失手,da'yi'shi'shou
戴夏帽,dai'xia'mao
单戈成战,dan'ge'cheng'zhan
单戈作战,dan'ge'zuo'zhan
淡浓均可如人意,dan'nong'jun'ke'ru'ren'yi
丹青古美留真迹,dan'qing'gu'mei'liu'zhen'ji
丹青饰山水,dan'qing'shi'shan'shui
淡妆浓抹调新色,dan'zhuang'nong'mo'tiao'xin'se
但资火食家家旺,dan'zi'huo'shi'jia'jia'wang
当兵服役满院增光,dang'bing'fu'yi'man'yuan'zeng'guang
当知天下本无弃物,dang'zhi'tian'xia'ben'wu'qi'wu
稻草扎秧父抱子,dao'cao'zha'yang'fu'bao'zi
到处山欢海笑,dao'chu'shan'huan'hai'xiao
盗者莫来道者来,dao'zhe'mo'lai'dao'zhe'lai
登登入室来,deng'deng'ru'shi'lai
灯笼笼灯,deng'long'long'deng
灯深村寺钟,deng'shen'cun'si'zhong
登锡山锡山无锡,deng'xi'shan'xi'shan'wu'xi
地肥五谷丰,di'fei'wu'gu'feng
第丰物阜民欢,di'feng'wu'fu'min'huan
笛弄梅花曲,di'nong'mei'hua'qu
地暖花长发,di'nuan'hua'chang'fa
地痞流氓地磨草光,di'pi'liu'mang'de'mo'cao'guang
笛清难比萧和,di'qing'nan'bi'xiao'he
地上薪,di'shang'xin
地上月半,di'shang'yue'ban
堤外波光万里碧,di'wai'bo'guang'wan'li'bi
弟子行路吃东西,di'zi'xing'lu'chi'dong'xi
点灯登阁各攻书,dian'deng'deng'ge'ge'gong'shu
点点轻舟腾巨浪,dian'dian'qing'zhou'teng'ju'lang
点石刊成五彩文,dian'shi'kan'cheng'wu'cai'wen
点缀些翠羽丹霞,dian'zhui'xie'cui'yu'dan'xia
蝶粉迷香栩栩入梦,die'fen'mi'xiang'xu'xu'ru'meng
叮叮咚咚泉,ding'ding'dong'dong'quan
丁香花,ding'xiang'hua
东壁图书府,dong'bi'tu'shu'fu
洞彻古今情,dong'che'gu'jin'qing
东川锦西川锦,dong'chuan'jin'xi'chuan'jin
东二点冻西三点洒,dong'er'dian'dong'xi'san'dian'sa
东风吹出千山绿,dong'feng'chui'chu'qian'shan'lv
东风吹暖英雄门第,dong'feng'chui'nuan'ying'xiong'men'di
东风迎新岁,dong'feng'ying'xin'sui
动来常伴有清风,dong'lai'chang'ban'you'qing'feng
冬去山明水秀,dong'qu'shan'ming'shui'xiu
冬去山青水秀,dong'qu'shan'qing'shui'xiu
冬去犹留诗意在,dong'qu'you'liu'shi'yi'zai
洞庭春色生涯日佳,dong'ting'chun'se'sheng'ya'ri'jia
东西南北,dong'xi'nan'bei
冬雪欲白千里草,dong'xue'yu'bai'qian'li'cao
冻雨洒窗,dong'yu'sa'chuang
都付与苍烟落照,dou'fu'yu'cang'yan'luo'zhao
豆角与豆角斗角,dou'jiao'yu'dou'jiao'dou'jiao
斗林间两蝶斗,dou'lin'jian'liang'die'dou
度得鸳针如此巧,du'de'yuan'zhen'ru'ci'qiao
短短量长,duan'duan'liang'chang
对对难,dui'dui'nan
多积肥五谷丰登,duo'ji'fei'wu'gu'feng'deng
多种多样别开生面,duo'zhong'duo'yang'bie'kai'sheng'mian
二点水,er'dian'shui
二三四五缺衣,er'san'si'wu'que'yi
二猿断木深山中,er'yuan'duan'mu'shen'shan'zhong
发长发长发发长,fa'chang'fa'chang'fa'fa'chang
法国荷兰比利时,fa'guo'he'lan'bi'li'shi
范长江到天长,fan'chang'jiang'dao'tian'chang
反反正正,fan'fan'zheng'zheng
饭香菜美,fan'xiang'cai'mei
反正一样,fan'zheng'yi'yang
纺出万机云,fang'chu'wan'ji'yun
放过客过关,fang'guo'ke'guo'guan
放行尺可随身带,fang'xing'chi'ke'sui'shen'dai
房幽无地不生香,fang'you'wu'di'bu'sheng'xiang
非非是是,fei'fei'shi'shi
费国民血汗已口亿,fei'guo'min'xue'han'yi'kou'yi
费尽移山心力,fei'jin'yi'shan'xin'li
非真我辈不青维新,fei'zhen'wo'bei'bu'qing'wei'xin
分开出路两重山,fen'kai'chu'lu'liang'chong'shan
分片切瓜,fen'pian'qie'gua
奋起还得读良书,fen'qi'hai'dei'du'liang'shu
粉添花气袭人来,fen'tian'hua'qi'xi'ren'lai
份外无求,fen'wai'wu'qiu
峰不动,feng'bu'dong
风吹豆角,feng'chui'dou'jiao
风吹蜂,feng'chui'feng
风吹枫动,feng'chui'feng'dong
风吹枫动峰不动,feng'chui'feng'dong'feng'bu'dong
风吹蜡烛,feng'chui'la'zhu
风吹荞动桥不动,feng'chui'qiao'dong'qiao'bu'dong
风吹杨柳千门绿,feng'chui'yang'liu'qian'men'lv
风帆暮载锦鳞归,feng'fan'mu'zai'jin'lin'gui
风风雨雨,feng'feng'yu'yu
风风雨雨年年暮暮朝朝,feng'feng'yu'yu'nian'nian'mu'mu'zhao'zhao
风景这边独好,feng'jing'zhe'bian'du'hao
凤九声,feng'jiu'sheng
蜂扑地,feng'pu'di
风扇扇风风出扇,feng'shan'shan'feng'feng'chu'shan
峰上枫,feng'shang'feng
峰上栽枫,feng'shang'zai'feng
风息蜂飞,feng'xi'feng'fei
烽销漠塞榆,feng'xiao'mo'sai'yu
风移兰气入,feng'yi'lan'qi'ru
佛脚清泉,fo'jiao'qing'quan
父父子子,fu'fu'zi'zi
父进士子进士,fu'jin'shi'zi'jin'shi
父进土子进土,fu'jin'tu'zi'jin'tu
福利万民,fu'li'wan'min
福满人间,fu'man'ren'jian
富水园林平泉花木,fu'shui'yuan'lin'ping'quan'hua'mu
父戊子,fu'wu'zi
浮云长长长长长长长消,fu'yun'zhang'chang'zhang'chang'zhang'chang'chang'xiao
福泽百姓方为好,fu'ze'bai'xing'fang'wei'hao
父子同进士,fu'zi'tong'jin'shi
父子同进土,fu'zi'tong'jin'tu
父子戊子,fu'zi'wu'zi
钢铁长城坚不可摧,gang'tie'chang'cheng'jian'bu'ke'cui
高矮子吃热凉粉,gao'ai'zi'chi're'liang'fen
高高下下树,gao'gao'xia'xia'shu
高朋雅会任选山珍,gao'peng'ya'hui'ren'xuan'shan'zhen
高人韵士,gao'ren'yun'shi
高天冬去苏万物,gao'tian'dong'qu'su'wan'wu
高崖古涧千年寿,gao'ya'gu'jian'qian'nian'shou
鸽飞阁不飞,ge'fei'ge'bu'fei
个个孔明诸葛亮,ge'ge'kong'ming'zhu'ge'liang
阁落鸽,ge'luo'ge
更频天苇地,geng'pin'tian'wei'di
耕田不用蓑衣着,geng'tian'bu'yong'suo'yi'zhe
更喜春风满面生,geng'xi'chun'feng'man'mian'sheng
弓长张又又双,gong'chang'zhang'you'you'shuang
功臣喜报门第生辉,gong'chen'xi'bao'men'di'sheng'hui
共对一樽酒,gong'dui'yi'zun'jiu
公门桃李争荣日,gong'men'tao'li'zheng'rong'ri
共庆春回大地,gong'qing'chun'hui'da'di
供应三餐我有功,gong'ying'san'can'wo'you'gong
公月旦评见闻悉备,gong'yue'dan'ping'jian'wen'xi'bei
工作浩繁步骤要分清,gong'zuo'hao'fan'bu'zhou'yao'fen'qing
狗啃河上骨,gou'ken'he'shang'gu
沟渠结网有水皆清,gou'qu'jie'wang'you'shui'jie'qing
鼓架架鼓,gu'jia'jia'gu
古涧凹中引长蔓,gu'jian'ao'zhong'yin'chang'man
顾客云集市声欢,gu'ke'yun'ji'shi'sheng'huan
谷乃国之宝,gu'nai'guo'zhi'bao
鼓乐庆升平,gu'yue'qing'sheng'ping
古纸硬黄临晋帖,gu'zhi'ying'huang'lin'jin'tie
挂弓扶桑,gua'gong'fu'sang
卦卦乾坤已定,gua'gua'qian'kun'yi'ding
关关迟,guan'guan'chi
光波利州,guang'bo'li'zhou
光华能照乘,guang'hua'neng'zhao'cheng
光辉大地春,guang'hui'da'di'chun
光明铸出千秋鉴,guang'ming'zhu'chu'qian'qiu'jian
光生朽木风雪难侵,guang'sheng'xiu'mu'feng'xue'nan'qin
光舞起自汉中,guang'wu'qi'zi'han'zhong
光照天边月,guang'zhao'tian'bian'yue
鬼鬼犯边,gui'gui'fan'bian
柜台内外张张笑脸迎春,gui'tai'nei'wai'zhang'zhang'xiao'lian'ying'chun
归舟破浪锦鳞满仓,gui'zhou'po'lang'jin'lin'man'cang
过淡泊年,guo'dan'bo'nian
国逢安定百事好,guo'feng'an'ding'bai'shi'hao
国强家富人寿,guo'qiang'jia'fu'ren'shou
国强民富年丰,guo'qiang'min'fu'nian'feng
果然一点不相干,guo'ran'yi'dian'bu'xiang'gan
国泰民安,guo'tai'min'an
国泰民安处处春,guo'tai'min'an'chu'chu'chun
国犹是也,guo'you'shi'ye
海上渔舟千担银,hai'shang'yu'zhou'qian'dan'yin
海水朝朝朝朝朝朝朝落,hai'shui'zhao'zhao'zhao'zhao'zhao'zhao'chao'luo
还有夜珠来,hai'you'ye'zhu'lai
海中仙树玉为林,hai'zhong'xian'shu'yu'wei'lin
寒冰作骨皓月同明,han'bing'zuo'gu'hao'yue'tong'ming
寒尽桃花嫩,han'jin'tao'hua'nen
翰墨因缘壮大观,han'mo'yin'yuan'zhuang'da'guan
寒凝涧底泉,han'ning'jian'di'quan
寒衣慰出春风暖,han'yi'wei'chu'chun'feng'nuan
好将玉手缕月裁云,hao'jiang'yu'shou'lv'yue'cai'yun
好山好水好景,hao'shan'hao'shui'hao'jing
何愁白日当头,he'chou'bai'ri'dang'tou
何妨选胜登临,he'fang'xuan'sheng'deng'lin
何分南北,he'fen'nan'bei
和风吹绿柳,he'feng'chui'lv'liu
鹤渴抢浆命仆响枪惊渴鹤,he'ke'qiang'jiang'ming'pu'xiang'qiang'jing'ke'he
和尚奔,he'shang'ben
河上崩,he'shang'beng
和尚法正,he'shang'fa'zheng
和尚立河上,he'shang'li'he'shang
和声鸣盛世,he'sheng'ming'sheng'shi
合手即拿,he'shou'ji'na
何水能如河水清,he'shui'neng'ru'he'shui'qing
荷塘抠藕,he'tang'kou'ou
和烟磨出紫溪云,he'yan'mo'chu'zi'xi'yun
恨关羽不得张飞,hen'guan'yu'bu'de'zhang'fei
红梅铮骨傲雪,hong'mei'zheng'gu'ao'xue
鸿是江边鸟,hong'shi'jiang'bian'niao
后顾自无忧,hou'gu'zi'wu'you
后生更比先生强,hou'sheng'geng'bi'xian'sheng'qiang
胡度春秋,hu'du'chun'qiu
户外风光翠欲流,hu'wai'feng'guang'cui'yu'liu
虎跃龙腾碧海,hu'yue'long'teng'bi'hai
壶中日月不老仙龄,hu'zhong'ri'yue'bu'lao'xian'ling
花承朝露千枝发,hua'cheng'zhao'lu'qian'zhi'fa
画栋前临杨柳岸,hua'dong'qian'lin'yang'liu'an
花多增艳水长流,hua'duo'zeng'yan'shui'chang'liu
花发锦城春,hua'fa'jin'cheng'chun
花好月圆年丰,hua'hao'yue'yuan'nian'feng
花花叶叶,hua'hua'ye'ye
花开彩槛呈春色,hua'kai'cai'kan'cheng'chun'se
华来士来华,hua'lai'shi'lai'hua
花落花开,hua'luo'hua'kai
画上荷花和尚画,hua'shang'he'hua'he'shang'hua
花香满院花觉趣,hua'xiang'man'yuan'hua'jue'qu
花样翻新人人温暖,hua'yang'fan'xin'ren'ren'wen'nuan
黄金谷里谷金黄,huang'jin'gu'li'gu'jin'huang
荒流剑阁,huang'liu'jian'ge
黄黍地中走黄鼠,huang'shu'di'zhong'zou'huang'shu
黄莺鸣翠柳,huang'ying'ming'cui'liu
挥毫列锦绣,hui'hao'lie'jin'xiu
挥毫又赋柳如烟,hui'hao'you'fu'liu'ru'yan
绘画店用联,hui'hua'dian'yong'lian
绘色绘香绘声绘影,hui'se'hui'xiang'hui'sheng'hui'ying
混帐东西,hun'zhang'dong'xi
货架上下朵朵红梅争艳,huo'jia'shang'xia'duo'duo'hong'mei'zheng'yan
几杵疏钟,ji'chu'shu'zhong
几点梅花添逸兴,ji'dian'mei'hua'tian'yi'xing
鸡饥吃食呼童拾石逐饥鸡,ji'ji'chi'shi'hu'tong'shi'shi'zhu'ji'ji
饥鸡盗稻童筒打,ji'ji'dao'dao'tong'tong'da
饥鸡拾食,ji'ji'shi'shi
积善人家庆有余,ji'shan'ren'jia'qing'you'yu
技术革新,ji'shu'ge'xin
寄宿客家,ji'su'ke'jia
集天下混蛋于一堂,ji'tian'xia'hun'dan'yu'yi'tang
几万里见闻考核颇费小才华,ji'wan'li'jian'wen'kao'he'po'fei'xiao'cai'hua
激扬文字彩笔生花,ji'yang'wen'zi'cai'bi'sheng'hua
积珍珠装成宝树,ji'zhen'zhu'zhuang'cheng'bao'shu
家藏万卷书,jia'cang'wan'juan'shu
家藏万卷书长,jia'cang'wan'juan'shu'chang
家藏万卷书长有,jia'cang'wan'juan'shu'zhang'you
贾岛醉来非假倒,jia'dao'zui'lai'fei'jia'dao
家和人和万事和,jia'he'ren'he'wan'shi'he
家和人寿年丰,jia'he'ren'shou'nian'feng
嫁家女,jia'jia'nv
家家气象新,jia'jia'qi'xiang'xin
佳节锣鼓庆功臣,jia'jie'luo'gu'qing'gong'chen
嘉名称博士,jia'ming'cheng'bo'shi
嘉名称火腿,jia'ming'cheng'huo'tui
佳木由来堪作器,jia'mu'you'lai'kan'zuo'qi
佳气满山川,jia'qi'man'shan'chuan
佳人灯畔细细穿针,jia'ren'deng'pan'xi'xi'chuan'zhen
假山真鹿走,jia'shan'zhen'lu'zou
架上丹丸长生妙药,jia'shang'dan'wan'chang'sheng'miao'yao
家旺国兴人和,jia'wang'guo'xing'ren'he
佳制金刀赛银超镍,jia'zhi'jin'dao'sai'yin'chao'nie
佳制快传乌玉块,jia'zhi'kuai'chuan'wu'yu'kuai
坚八刀分横七刀切,jian'ba'dao'fen'heng'qi'dao'qie
剪彩为歌袖,jian'cai'wei'ge'xiu
建成大厦高华宅,jian'cheng'da'sha'gao'hua'zhai
件件随心饥,jian'jian'sui'xin'ji
閒看门中月,jian'kan'men'zhong'yue
剪去千缕旧东西,jian'qu'qian'lv'jiu'dong'xi
煎霜煮雪品重调和,jian'shuang'zhu'xue'pin'zhong'tiao'he
建造集良工,jian'zao'ji'liang'gong
建筑业用联,jian'zhu'ye'yong'lian
将悲欢离合再叙从头,jiang'bei'huan'li'he'zai'xu'cong'tou
讲究科学祛病去灾,jiang'jiu'ke'xue'qu'bing'qu'zai
江流千古,jiang'liu'qian'gu
江楼千古,jiang'lou'qian'gu
江楼夜坐,jiang'lou'ye'zuo
江山处处皆春,jiang'shan'chu'chu'jie'chun
江山如此多娇,jiang'shan'ru'ci'duo'jiao
匠心独运,jiang'xin'du'yun
交梨大枣仙口同珍,jiao'li'da'zao'xian'kou'tong'zhen
娇梅傲雪烂漫,jiao'mei'ao'xue'lan'man
洁比梅花带雪磨,jie'bi'mei'hua'dai'xue'mo
节节太白,jie'jie'tai'bai
节流可聚万盘金,jie'liu'ke'ju'wan'pan'jin
阶前春色浓如许,jie'qian'chun'se'nong'ru'xu
节日人人共乐,jie'ri'ren'ren'gong'le
节省经常积累多,jie'sheng'jing'chang'ji'lei'duo
截竖开横成四束,jie'shu'kai'heng'cheng'si'shu
金碧丹青资色泽,jin'bi'dan'qing'zi'se'ze
金碧绘楼台,jin'bi'hui'lou'tai
金凤含珠贺新年,jin'feng'han'zhu'he'xin'nian
金鸡未唱汤先热,jin'ji'wei'chang'tang'xian're
金柳若摇莺欲语,jin'liu'ruo'yao'ying'yu'yu
锦上添花户户春,jin'shang'tian'hua'hu'hu'chun
紧握钢枪守卫大好河山,jin'wo'gang'qiang'shou'wei'da'hao'he'shan
今宵年尾,jin'xiao'nian'wei
锦绣聚千纯,jin'xiu'ju'qian'chun
锦秀山河美,jin'xiu'shan'he'mei
禁云斧斤以时入山林,jin'yun'fu'jin'yi'shi'ru'shan'lin
今朝喜气盈门,jin'zhao'xi'qi'ying'men
今朝杨柳半垂堤,jin'zhao'yang'liu'ban'chui'di
尽珠帘画栋,jin'zhu'lian'hua'dong
金子银子皆吾子也,jin'zi'yin'zi'jie'wu'zi'ye
劲节见奇才,jing'jie'jian'qi'cai
兢兢业业育桃李,jing'jing'ye'ye'yu'tao'li
经营有大志,jing'ying'you'da'zhi
九九八十一声,jiu'jiu'ba'shi'yi'sheng
旧谱曾传易水烟,jiu'pu'ceng'chuan'yi'shui'yan
九曲夷山采雀舌,jiu'qu'yi'shan'cai'que'she
九天日月开新运,jiu'tian'ri'yue'kai'xin'yun
就我生春色,jiu'wo'sheng'chun'se
九夏芙蓉,jiu'xia'fu'rong
九州人物出毫端,jiu'zhou'ren'wu'chu'hao'duan
菊部新妆梨园旧谱,ju'bu'xin'zhuang'li'yuan'jiu'pu
举动随时消酷暑,ju'dong'sui'shi'xiao'ku'shu
桔井泉香杏林春暖,ju'jing'quan'xiang'xing'lin'chun'nuan
聚来千亩雪,ju'lai'qian'mu'xue
聚美玉摆出银花,ju'mei'yu'bai'chu'yin'hua
居然天上客,ju'ran'tian'shang'ke
聚天地精华,ju'tian'di'jing'hua
桔袖及时登,ju'xiu'ji'shi'deng
聚蓄百药,ju'xu'bai'yao
卷不及暮雨朝云,juan'bu'ji'mu'yu'chao'yun
军爱民情似东海深,jun'ai'min'qing'si'dong'hai'shen
君恩深似海,jun'en'shen'si'hai
君君臣臣,jun'jun'chen'chen
军属门上光荣匾,jun'shu'men'shang'guang'rong'bian
开发财源为民致富,kai'fa'cai'yuan'wei'min'zhi'fu
开关早,kai'guan'zao
开源能引千泓水,kai'yuan'neng'yin'qian'hong'shui
看东骧神骏,kan'dong'xiang'shen'jun
看来毫发不参差,kan'lai'hao'fa'bu'can'cha
看巧匠无双手段,kan'qiao'jiang'wu'shuang'shou'duan
看世上花开花落,kan'shi'shang'hua'kai'hua'luo
看左传书往右翻,kan'zuo'zhuan'shu'wang'you'fan
刻刻催人资惊醒,ke'ke'cui'ren'zi'jing'xing
客来天然居,ke'lai'tian'ran'ju
客来醉,ke'lai'zui
客去睡,ke'qu'shui
可取以准,ke'qu'yi'zhun
客少主人多,ke'shao'zhu'ren'duo
科学有真谛有志者竟成,ke'xue'you'zhen'di'you'zhi'zhe'jing'cheng
空望天,kong'wang'tian
孔子生于舟未,kong'zi'sheng'yu'zhou'wei
口十心思,kou'shi'xin'si
口中津满快意提神,kou'zhong'jin'man'kuai'yi'ti'shen
跨越江河架宏桥,kua'yue'jiang'he'jia'hong'qiao
快读人间未见书,kuai'du'ren'jian'wei'jian'shu
坤八卦,kun'ba'gua
腊尽春回华厦美,la'jin'chun'hui'hua'sha'mei
腊梅吐芳迎红日,la'mei'tu'fang'ying'hong'ri
腊梅吐幽香,la'mei'tu'you'xiang
腊梅做雪迎春,la'mei'zuo'xue'ying'chun
来我室喜气将临,lai'wo'shi'xi'qi'jiang'lin
岚气似烟,lan'qi'si'yan
蓝天日暖玉生香,lan'tian'ri'nuan'yu'sheng'xiang
兰亭古本学海珍藏,lan'ting'gu'ben'xue'hai'zhen'cang
老畜生怎能出题,lao'chu'sheng'zen'neng'chu'ti
劳动门第春常在,lao'dong'men'di'chun'chang'zai
牢守寒窗空寂寞,lao'shou'han'chuang'kong'ji'mo
老无所事吁可愧,lao'wu'suo'shi'xu'ke'kui
乐乐乐乐乐乐乐,le'le'le'le'le'le'le
