靶场,ba'chang
南亚医院,nan'ya'yi'yuan
农贸市场,nong'mao'shi'chang
农业示范区,nong'ye'shi'fan'qu
诺林商城,nuo'lin'shang'cheng
泮宫口,pan'gong'kou
汽车城,qi'che'cheng
汽车东站,qi'che'dong'zhan
汽车西站,qi'che'xi'zhan
棋盘园,qi'pan'yuan
七星街,qi'xing'jie
启志桥,qi'zhi'qiao
前店,qian'dian
前埔,qian'pu
前头,qian'tou
千亿山庄,qian'yi'shan'zhuang
前园,qian'yuan
桥南,qiao'nan
侨乡旧货,qiao'xiang'jiu'huo
勤政楼,qin'zheng'lou
清濛,qing'meng
清濛长途车站,qing'meng'chang'tu'che'zhan
清濛长途汽车站,qing'meng'chang'tu'qi'che'zhan
清濛开发区,qing'meng'kai'fa'qu
清濛科技园,qing'meng'ke'ji'yuan
清濛唐厝,qing'meng'tang'cuo
清濛招商,qing'meng'zhao'shang
青少年宫,qing'shao'nian'gong
清源风景区,qing'yuan'feng'jing'qu
清源啤酒厂,qing'yuan'pi'jiu'chang
清源山风景区,qing'yuan'shan'feng'jing'qu
邱店,qiu'dian
泉安中路,quan'an'zhong'lu
泉海机械,quan'hai'ji'xie
泉秀办事处,quan'xiu'ban'shi'chu
泉秀花园,quan'xiu'hua'yuan
泉秀街口,quan'xiu'jie'kou
泉州大桥,quan'zhou'da'qiao
泉州建材市场,quan'zhou'jian'cai'shi'chang
泉州经贸学院,quan'zhou'jing'mao'xue'yuan
泉州四监,quan'zhou'si'jian
群峰村,qun'feng'cun
群山村,qun'shan'cun
群石小学,qun'shi'xiao'xue
人才大厦,ren'cai'da'sha
仁凤工业区,ren'feng'gong'ye'qu
人民保险,ren'min'bao'xian
人民日报记者站,ren'min'ri'bao'ji'zhe'zhan
榕桥,rong'qiao
瑞像岩,rui'xiang'yan
三千坛,san'qian'tan
三吴,san'wu
三兴集团,san'xing'ji'tuan
森利发,sen'li'fa
森林公园,sen'lin'gong'yuan
森隆电讯,sen'long'dian'xun
森美,sen'mei
山仔站,shan'zi'zhan
上埕,shang'cheng
上村,shang'cun
商务中心,shang'wu'zhong'xin
少林寺,shao'lin'si
少体校,shao'ti'xiao
盛达花园,sheng'da'hua'yuan
圣福花苑,sheng'fu'hua'yuan
圣福新村,sheng'fu'xin'cun
省经贸学校,sheng'jing'mao'xue'xiao
盛克鞋业,sheng'ke'xie'ye
圣墓,sheng'mu
省五建,sheng'wu'jian
市博物馆,shi'bo'wu'guan
石船,shi'chuan
仕公岭,shi'gong'ling
市国税局,shi'guo'shui'ju
市教委,shi'jiao'wei
师院,shi'yuan
师院新区,shi'yuan'xin'qu
市政府,shi'zheng'fu
首富商城,shou'fu'shang'cheng
蔬菜公司,shu'cai'gong'si
双阳镇,shuang'yang'zhen
水漈村口,shui'ji'cun'kou
水利大厦,shui'li'da'sha
水流坑,shui'liu'keng
水门巷口,shui'men'xiang'kou
水上乐园,shui'shang'le'yuan
顺济新桥,shun'ji'xin'qiao
四黄,si'huang
四甲,si'jia
送客亭,song'ke'ting
苏安,su'an
苏夫人姑庙,su'fu'ren'gu'miao
笋浯,sun'wu
泰和酒店,tai'he'jiu'dian
糖厂,tang'chang
糖房,tang'fang
糖房中路,tang'fang'zhong'lu
唐人制衣,tang'ren'zhi'yi
堂头,tang'tou
塘尾埔,tang'wei'pu
塘西,tang'xi
塘西工业区,tang'xi'gong'ye'qu
体育馆,ti'yu'guan
田边,tian'bian
天后宫,tian'hou'gong
天湖,tian'hu
田洋村,tian'yang'cun
田洋村口,tian'yang'cun'kou
土地后,tu'di'hou
涂门街口,tu'men'jie'kou
涂门街头,tu'men'jie'tou
万虹,wan'hong
万寿路,wan'shou'lu
万源花苑,wan'yuan'hua'yuan
王宫,wang'gong
微波站,wei'bo'zhan
文化宫,wen'hua'gong
温陵北,wen'ling'bei
温陵公交站,wen'ling'gong'jiao'zhan
武警边防支队,wu'jing'bian'fang'zhi'dui
乌石村口,wu'shi'cun'kou
西滨,xi'bin
西湖公园,xi'hu'gong'yuan
西湖小区,xi'hu'xiao'qu
西环城,xi'huan'cheng
西郊,xi'jiao
溪头,xi'tou
西苑,xi'yuan
下堡,xia'bao
吓厝,xia'cuo
霞淮新村,xia'huai'xin'cun
霞美,xia'mei
吓埔,xia'pu
霞洲,xia'zhou
现代广场,xian'dai'guang'chang
现代家具广场,xian'dai'jia'ju'guang'chang
仙公山公园,xian'gong'shan'gong'yuan
线务局,xian'wu'ju
祥业花苑,xiang'ye'hua'yuan
祥业花园,xiang'ye'hua'yuan
肖厝,xiao'cuo
新车站,xin'che'zhan
新府口,xin'fu'kou
新浮桥,xin'fu'qiao
信合站,xin'he'zhan
信和站,xin'he'zhan
新华南路尾,xin'hua'nan'lu'wei
新华桥,xin'hua'qiao
新华小区,xin'hua'xiao'qu
新华友,xin'hua'you
新黎大,xin'li'da
新码头,xin'ma'tou
新门菜市,xin'men'cai'shi
新门街头,xin'men'jie'tou
新农校,xin'nong'xiao
新埔,xin'pu
新前,xin'qian
新田,xin'tian
新宅,xin'zhai
幸福街口,xing'fu'jie'kou
杏后,xing'hou
杏田村口,xing'tian'cun'kou
杏田交服,xing'tian'jiao'fu
兴业银行,xing'ye'yin'hang
杏宅,xing'zhai
荀江路,xun'jiang'lu
荀江路西段,xun'jiang'lu'xi'duan
荀江路中段,xun'jiang'lu'zhong'duan
荀江桥,xun'jiang'qiao
浔美,xun'mei
浔美工业区,xun'mei'gong'ye'qu
洋尾,yang'wei
杨屿村口,yang'yu'cun'kou
义全大厦,yi'quan'da'sha
义全街口,yi'quan'jie'kou
义全新街,yi'quan'xin'jie
一院,yi'yuan
影剧院,ying'ju'yuan
邮电公寓,you'dian'gong'yu
游乐园,you'le'yuan
玉井村,yu'jing'cun
玉兰村,yu'lan'cun
玉犀巷口,yu'xi'xiang'kou
园坂,yuan'ban
远太苑,yuan'tai'yuan
云谷工业区,yun'gu'gong'ye'qu
云谷花苑,yun'gu'hua'yuan
云谷小区,yun'gu'xiao'qu
云鹿路,yun'lu'lu
寨仔,zhai'zi
展览城,zhan'lan'cheng
樟崎村口,zhang'qi'cun'kou
镇政府,zhen'zheng'fu
正骨医院,zheng'gu'yi'yuan
指挥巷口,zhi'hui'xiang'kou
钟楼,zhong'lou
中南酒店,zhong'nan'jiu'dian
中心客运站,zhong'xin'ke'yun'zhan
中医院,zhong'yi'yuan
中营学校,zhong'ying'xue'xiao
中营学院,zhong'ying'xue'yuan
