暧昧,ai'mei
桓侯再生,huan'hou'zai'sheng
幻世道,huan'shi'dao
幻世梵天,huan'shi'fan'tian
回到,hui'dao
回到明朝当王爷,hui'dao'ming'zhao'dang'wang'ye
混迹三国,hun'ji'san'guo
混在三国当军阀,hun'zai'san'guo'dang'jun'fa
活色生香,huo'se'sheng'xiang
机动风暴,ji'dong'feng'bao
极品处男,ji'pin'chu'nan
极品公子,ji'pin'gong'zi
极品家丁,ji'pin'jia'ding
基因物语,ji'yin'wu'yu
迦南之心,jia'nan'zhi'xin
家园,jia'yuan
江山美人志,jiang'shan'mei'ren'zhi
江山美色,jiang'shan'mei'se
江山如此多枭,jiang'shan'ru'ci'duo'xiao
僵尸医生,jiang'shi'yi'sheng
金钱美人,jin'qian'mei'ren
金属德鲁伊,jin'shu'de'lu'yi
金庸世界里的道士,jin'yong'shi'jie'li'de'dao'shi
近战法师,jin'zhan'fa'shi
狙击王,ju'ji'wang
绝世游戏,jue'shi'you'xi
俊龙百美缘,jun'long'bai'mei'yuan
卡徒,ka'tu
抗日烽火之烽火燎原,kang'ri'feng'huo'zhi'feng'huo'liao'yuan
抗日之血肉长城,kang'ri'zhi'xue'rou'chang'cheng
空速星痕,kong'su'xing'hen
骷髅精灵,ku'lou'jing'ling
旷世奇才,kuang'shi'qi'cai
困龙升天,kun'long'sheng'tian
篮球燃烧的岁月,lan'qiu'ran'shao'de'sui'yue
浪荡皇帝秘史,lang'dang'huang'di'mi'shi
狼群,lang'qun
狼人陈玄风,lang'ren'chen'xuan'feng
狼神,lang'shen
浪子江湖,lang'zi'jiang'hu
老婆爱上我,lao'po'ai'shang'wo
炼宝专家,lian'bao'zhuan'jia
莲花宝鉴,lian'hua'bao'jian
邻家有女初长成,lin'jia'you'nv'chu'zhang'cheng
流氓高手,liu'mang'gao'shou
流氓之风云再起,liu'mang'zhi'feng'yun'zai'qi
柳轻侯的故事,liu'qing'hou'de'gu'shi
龙鳞道,long'lin'dao
龙蛇演义,long'she'yan'yi
龙域,long'yu
龙战星野,long'zhan'xing'ye
蛮荒记,man'huang'ji
满愿石,man'yuan'shi
冒牌大英雄,mao'pai'da'ying'xiong
冒牌书生,mao'pai'shu'sheng
貌似纯洁,mao'si'chun'jie
美女班的男助教,mei'nv'ban'de'nan'zhu'jiao
梦回九七,meng'hui'jiu'qi
梦开始于篮球,meng'kai'shi'yu'lan'qiu
梦灵,meng'ling
猛龙过江,meng'long'guo'jiang
迷失在康熙末年,mi'shi'zai'kang'xi'mo'nian
乜视三国,mie'shi'san'guo
民国,min'guo
民国投机者,min'guo'tou'ji'zhe
名动河山,ming'dong'he'shan
命运的抉择,ming'yun'de'jue'ze
明朝四有新人,ming'zhao'si'you'xin'ren
魔法学徒,mo'fa'xue'tu
魔脑传奇,mo'nao'chuan'qi
魔王神官和勇者美少女,mo'wang'shen'guan'he'yong'zhe'mei'shao'nv
莫问天,mo'wen'tian
魔运苍茫,mo'yun'cang'mang
母皇,mu'huang
牧师传说,mu'shi'chuan'shuo
牧唐,mu'tang
逆唐,ni'tang
排行榜,pai'hang'bang
盘龙,pan'long
骗艳记,pian'yan'ji
漂流王,piao'liu'wang
飘邈之旅,piao'miao'zhi'lv
飘香风流,piao'xiang'feng'liu
普天之下,pu'tian'zhi'xia
起点,qi'dian
窃明,qie'ming
琴帝,qin'di
请叫我威廉三世,qing'jiao'wo'wei'lian'san'shi
庆余年,qing'yu'nian
求索,qiu'suo
权柄,quan'bing
饶天下英雄先,rao'tian'xia'ying'xiong'xian
人欲,ren'yu
赛场风云,sai'chang'feng'yun
三宫六院七十二妃,san'gong'liu'yuan'qi'shi'er'fei
三国厚黑传,san'guo'hou'hei'chuan
三眼艳情咒,san'yan'yan'qing'zhou
善良的死神,shan'liang'de'si'shen
商业三国,shang'ye'san'guo
神魔,shen'mo
神墓,shen'mu
神枪无敌,shen'qiang'wu'di
神仙职员,shen'xian'zhi'yuan
神游,shen'you
升龙道,sheng'long'dao
生肖守护神,sheng'xiao'shou'hu'shen
师花都猎人,shi'hua'du'lie'ren
尸虐,shi'nue
食色无双,shi'se'wu'shuang
师士传说,shi'shi'chuan'shuo
兽血沸腾,shou'xue'fei'teng
蜀山,shu'shan
数字生命,shu'zi'sheng'ming
宋风,song'feng
宋殇,song'shang
随波逐流之神龙传奇,sui'bo'zhu'liu'zhi'shen'long'chuan'qi
随波逐流之一代军师,sui'bo'zhu'liu'zhi'yi'dai'jun'shi
唐朝好男人,tang'chao'hao'nan'ren
天宝风流,tian'bao'feng'liu
天才,tian'cai
天魔神谭,tian'mo'shen'tan
天擎,tian'qing
天下,tian'xia
天下之弱者的反击,tian'xia'zhi'ruo'zhe'de'fan'ji
天心怒,tian'xin'nu
调教初唐,tiao'jiao'chu'tang
铁血大秦,tie'xue'da'qin
推荐榜,tui'jian'bang
纨绔霸王闯春秋,wan'ku'ba'wang'chuang'chun'qiu
纨绔才子,wan'ku'cai'zi
纨绔子弟,wan'ku'zi'di
绾青丝,wan'qing'si
宛若新衣,wan'ruo'xin'yi
网络重生,wang'luo'chong'sheng
网络人生,wang'luo'ren'sheng
王牌高手,wang'pai'gao'shou
网游梦幻世界,wang'you'meng'huan'shi'jie
网游梦幻现实,wang'you'meng'huan'xian'shi
网游三国之城市攻略,wang'you'san'guo'zhi'cheng'shi'gong'lue
网游审判,wang'you'shen'pan
网游屠龙巫师,wang'you'tu'long'wu'shi
网游之风流骑士,wang'you'zhi'feng'liu'qi'shi
网游之复活,wang'you'zhi'fu'huo
网游之格斗战无不胜,wang'you'zhi'ge'dou'zhan'wu'bu'sheng
网游之混迹在美女工作室,wang'you'zhi'hun'ji'zai'mei'nv'gong'zuo'shi
网游之近战法师,wang'you'zhi'jin'zhan'fa'shi
网游之模拟城市,wang'you'zhi'mo'ni'cheng'shi
网游之天地,wang'you'zhi'tian'di
网游之玩转宇宙,wang'you'zhi'wan'zhuan'yu'zhou
网游之亡命天涯,wang'you'zhi'wang'ming'tian'ya
网游之英俊的死灵法,wang'you'zhi'ying'jun'de'si'ling'fa
网游之职业人生,wang'you'zhi'zhi'ye'ren'sheng
惟我独仙,wei'wo'du'xian
我吃西红柿,wo'chi'xi'hong'shi
我的大小魔女,wo'de'da'xiao'mo'nv
我的美女大小姐,wo'de'mei'nv'da'xiao'jie
我的异能魔法,wo'de'yi'neng'mo'fa
我们是冠军,wo'men'shi'guan'jun
我欲成魔,wo'yu'cheng'mo
武当传人在异界,wu'dang'chuan'ren'zai'yi'jie
无敌幸运星,wu'di'xing'yun'xing
无极魔道,wu'ji'mo'dao
武林高手在校园,wu'lin'gao'shou'zai'xiao'yuan
无奈三国,wu'nai'san'guo
武唐攻略,wu'tang'gong'lue
无限恐怖,wu'xian'kong'bu
现代修真史,xian'dai'xiu'zhen'shi
仙凡道,xian'fan'dao
仙佛录,xian'fo'lu
仙界修仙,xian'jie'xiu'xian
仙路风云,xian'lu'feng'yun
仙路烟尘,xian'lu'yan'chen
仙之雇佣军,xian'zhi'gu'yong'jun
限制级特工,xian'zhi'ji'te'gong
小兵传奇,xiao'bing'chuan'qi
小楼传说,xiao'lou'chuan'shuo
逍遥大唐,xiao'yao'da'tang
校园篮球风云,xiao'yuan'lan'qiu'feng'yun
邪风曲,xie'feng'qu
邪气凛然,xie'qi'lin'ran
邪神传说,xie'shen'chuan'shuo
新警察故事,xin'jing'cha'gu'shi
新九灭重生躲艳记,xin'jiu'mie'chong'sheng'duo'yan'ji
心灵黑客,xin'ling'hei'ke
新蜀山传,xin'shu'shan'zhuan
新宋,xin'song
新中华,xin'zhong'hua
新中华再起,xin'zhong'hua'zai'qi
星辰变,xing'chen'bian
星际盗墓,xing'ji'dao'mu
星际猎手,xing'ji'lie'shou
星际农民,xing'ji'nong'min
星际农民紫金传说,xing'ji'nong'min'zi'jin'chuan'shuo
星际之亡灵帝国,xing'ji'zhi'wang'ling'di'guo
星耀幻世,xing'yao'huan'shi
虚空凝剑行,xu'kong'ning'jian'xing
血红,xue'hong
血色梦游,xue'se'meng'you
雪洗天下,xue'xi'tian'xia
艳遇编年史,yan'yu'bian'nian'shi
艳遇传说,yan'yu'chuan'shuo
艳遇谅解备忘录,yan'yu'liang'jie'bei'wang'lu
扬眉,yang'mei
异界苍龙,yi'jie'cang'long
异界矿工,yi'jie'kuang'gong
异界骗神,yi'jie'pian'shen
异界兽医,yi'jie'shou'yi
异界药师,yi'jie'yao'shi
异界之极品奶爸,yi'jie'zhi'ji'pin'nai'ba
一路彩虹,yi'lu'cai'hong
异人傲世录,yi'ren'ao'shi'lu
异世帝王行,yi'shi'di'wang'xing
异时空之风华游猎,yi'shi'kong'zhi'feng'hua'you'lie
异时空之抗日,yi'shi'kong'zhi'kang'ri
异时空中华再起,yi'shi'kong'zhong'hua'zai'qi
一世枭雄,yi'shi'xiao'xiong
异世之暗黑全职者,yi'shi'zhi'an'hei'quan'zhi'zhe
异世之风流大法师,yi'shi'zhi'feng'liu'da'fa'shi
异世之富甲天下,yi'shi'zhi'fu'jia'tian'xia
遗忘国度,yi'wang'guo'du
异侠,yi'xia
异域人生,yi'yu'ren'sheng
鹰隼展翼,ying'sun'zhan'yi
佣兵天下,yong'bing'tian'xia
诱惑学院之绝色物语,you'huo'xue'yuan'zhi'jue'se'wu'yu
游戏的世界,you'xi'de'shi'jie
游戏狂想曲,you'xi'kuang'xiang'qu
游游,you'you
御兽修仙,yu'shou'xiu'xian
驭兽斋,yu'shou'zhai
欲望腾飞,yu'wang'teng'fei
越境鬼医,yue'jing'gui'yi
再生传奇,zai'sheng'chuan'qi
再造神州,zai'zao'shen'zhou
贼难自禁,zei'nan'zi'jin
战国福星大事记,zhan'guo'fu'xing'da'shi'ji
张三丰弟子现代生活录,zhang'san'feng'di'zi'xian'dai'sheng'huo'lu
张三丰异界游,zhang'san'feng'yi'jie'you
召唤千军,zhao'huan'qian'jun
之王,zhi'wang
至尊无名,zhi'zun'wu'ming
中华仙魔录,zhong'hua'xian'mo'lu
重活,zhong'huo
重生成树,zhong'sheng'cheng'shu
终生制职业,zhong'sheng'zhi'zhi'ye
逐鹿纳妾记,zhu'lu'na'qie'ji
诸神的黄昏,zhu'shen'de'huang'hun
诛仙,zhu'xian
紫川,zi'chuan
紫气浩然,zi'qi'hao'ran
字数榜,zi'shu'bang
纵横志,zong'heng'zhi
总收藏榜,zong'shou'cang'bang
纵意花丛,zong'yi'hua'cong
最后的地球战神,zui'hou'de'di'qiu'zhan'shen
