艾思奇,ai'si'qi
崔适,cui'shi
崔寔,cui'shi
崔述,cui'shu
达摩,da'mo
大小戴,da'xiao'dai
大小夏侯,da'xiao'xia'hou
戴德,dai'de
戴东原,dai'dong'yuan
戴季陶,dai'ji'tao
戴逵,dai'kui
戴圣,dai'sheng
戴望,dai'wang
戴震,dai'zhen
道安,dao'an
道绰,dao'chuo
道生,dao'sheng
道宣,dao'xuan
道一,dao'yi
德清,de'qing
邓陵氏,deng'ling'shi
邓陵子,deng'ling'zi
邓牧,deng'mu
邓析,deng'xi
邓析子,deng'xi'zi
邓显鹤,deng'xian'he
邓演达,deng'yan'da
邓以蛰,deng'yi'zhe
丁福保,ding'fu'bao
丁文江,ding'wen'jiang
董无心,dong'wu'xin
董仲舒,dong'zhong'shu
杜弼,du'bi
杜光庭,du'guang'ting
杜国庠,du'guo'xiang
杜守素,du'shou'su
杜顺,du'shun
杜武库,du'wu'ku
端木赐,duan'mu'ci
兒说,er'shuo
法藏,fa'cang
法琳,fa'lin
法顺,fa'shun
法显,fa'xian
法演,fa'yan
樊迟,fan'chi
范蠡,fan'li
范寿康,fan'shou'kang
范文澜,fan'wen'lan
樊须,fan'xu
樊逊,fan'xun
范缜,fan'zhen
范仲淹,fan'zhong'yan
方苞,fang'bao
方东美,fang'dong'mei
方东树,fang'dong'shu
方会,fang'hui
方孝孺,fang'xiao'ru
方以智,fang'yi'zhi
方植之,fang'zhi'zhi
费密,fei'mi
费直,fei'zhi
冯定,feng'ding
冯桂芬,feng'gui'fen
冯契,feng'qi
冯文潜,feng'wen'qian
冯友兰,feng'you'lan
傅嘏,fu'gu
傅青主,fu'qing'zhu
傅山,fu'shan
伏胜,fu'sheng
伏生,fu'sheng
傅斯年,fu'si'nian
傅伟勋,fu'wei'xun
傅玄,fu'xuan
傅奕,fu'yi
盖公,gai'gong
干吉,gan'ji
干室,gan'shi
高拱,gao'gong
高亨,gao'heng
高攀龙,gao'pan'long
高清海,gao'qing'hai
高相,gao'xiang
高诱,gao'you
告子,gao'zi
葛洪,ge'hong
葛玄,ge'xuan
耿定向,geng'ding'xiang
龚定庵,gong'ding'an
公都子,gong'dou'zi
公孟子,gong'meng'zi
公输班,gong'shu'ban
公孙丑,gong'sun'chou
公孙弘,gong'sun'hong
公孙龙,gong'sun'long
公孙龙子,gong'sun'long'zi
公孙尼子,gong'sun'ni'zi
公孙侨,gong'sun'qiao
公孙鞅,gong'sun'yang
公西赤,gong'xi'chi
公羊高,gong'yang'gao
公冶长,gong'ye'chang
龚自珍,gong'zi'zhen
顾欢,gu'huan
顾恺之,gu'kai'zhi
穀梁赤,gu'liang'chi
顾亭林,gu'ting'lin
顾宪成,gu'xian'cheng
顾炎武,gu'yan'wu
贾谊,gu'yi
管敬仲,guan'jing'zhong
管夷吾,guan'yi'wu
关尹,guan'yin
关尹子,guan'yin'zi
管仲,guan'zhong
管子,guan'zi
鬼谷子,gui'gu'zi
郭沫若,guo'mo'ruo
郭璞,guo'pu
郭庆藩,guo'qing'fan
郭象,guo'xiang
郭子玄,guo'zi'xuan
韩昌黎,han'chang'li
韩非,han'fei
韩非子,han'fei'zi
韩康伯,han'kang'bo
韩檀,han'tan
韩退之,han'tui'zhi
韩婴,han'ying
韩愈,han'yu
郝大通,hao'da'tong
何伯斋,he'bo'zhai
何承天,he'cheng'tian
何干之,he'gan'zhi
鹖冠子,he'guan'zi
何基,he'ji
贺麟,he'lin
何启,he'qi
河上公,he'shang'gong
何绍基,he'shao'ji
何塘,he'tang
何廷仁,he'ting'ren
何心隐,he'xin'yin
何休,he'xiu
何晏,he'yan
洪北江,hong'bei'jiang
洪亮吉,hong'liang'ji
洪谦,hong'qian
弘忍,hong'ren
洪仁玕,hong'ren'gan
洪秀全,hong'xiu'quan
弘一,hong'yi
侯外庐,hou'wai'lu
胡安定,hu'an'ding
胡安国,hu'an'guo
胡承诺,hu'cheng'nuo
胡广,hu'guang
胡宏,hu'hong
胡居仁,hu'ju'ren
胡礼垣,hu'li'yuan
胡母辅之,hu'mu'fu'zhi
胡秋原,hu'qiu'yuan
胡绳,hu'sheng
胡适,hu'shi
胡文定,hu'wen'ding
胡五峰,hu'wu'feng
胡寅,hu'yin
胡瑗,hu'yuan
胡直,hu'zhi
华佗,hua'tuo
怀海,huai'hai
怀让,huai'rang
桓宽,huan'kuan
桓谭,huan'tan
桓团,huan'tuan
环渊,huan'yuan
黄道周,huang'dao'zhou
黄帝,huang'di
黄东发,huang'dong'fa
黄幹,huang'gan
皇侃,huang'kan
黄梨洲,huang'li'zhou
黄缭,huang'liao
黄凌霜,huang'ling'shuang
黄石龙,huang'shi'long
黄绾,huang'wan
黄枬森,huang'zhan'sen
黄震,huang'zhen
黄宗,huang'zong
黄宗羲,huang'zong'xi
惠栋,hui'dong
慧寂,hui'ji
慧皎,hui'jiao
慧琳,hui'lin
慧南,hui'nan
惠能,hui'neng
慧能,hui'neng
惠施,hui'shi
慧思,hui'si
慧文,hui'wen
慧远,hui'yuan
惠子,hui'zi
汲黯,ji'an
吉藏,ji'cang
姬旦,ji'dan
嵇康,ji'kang
季梁,ji'liang
季路,ji'lu
计然,ji'ran
嵇叔夜,ji'shu'ye
季真,ji'zhen
嵇中散,ji'zhong'san
贾逵,jia'kui
贾思勰,jia'si'xie
鉴真,jian'zhen
江藩,jiang'fan
蒋介石,jiang'jie'shi
江天骥,jiang'tian'ji
蒋维乔,jiang'wei'qiao
焦竑,jiao'hong
焦循,jiao'xun
桀溺,jie'ni
接舆,jie'yu
接子,jie'zi
金刚智,jin'gang'zhi
金履祥,jin'lv'xiang
金岳霖,jin'yue'lin
京房,jing'fang
鸠摩罗什,jiu'mo'luo'shen
康南海,kang'nan'hai
康僧会,kang'seng'hui
康有为,kang'you'wei
康与之,kang'yu'zhi
克勤,ke'qin
孔安国,kong'an'guo
孔穿,kong'chuan
孔鲋,kong'fu
孔伋,kong'ji
孔丘,kong'qiu
孔颖达,kong'ying'da
孔子,kong'zi
寇谦之,kou'qian'zhi
窥基,kui'ji
老聃,lao'dan
老莱子,lao'lai'zi
劳思光,lao'si'guang
老子,lao'zi
乐广,le'guang
乐巨公,le'ju'gong
李翱,li'ao
李达,li'da
李大钊,li'da'zhao
李侗,li'dong
李耳,li'er
李二曲,li'er'qu
李丰,li'feng
李复,li'fu
李塨,li'gong
李觏,li'gou
李光地,li'guang'di
李含光,li'han'guang
力黑,li'hei
李华,li'hua
李璜,li'huang
李季,li'ji
李克,li'ke
李悝,li'kui
力牧,li'mu
李筌,li'quan
李善兰,li'shan'lan
李石岑,li'shi'cen
李恕谷,li'shu'gu
李叔同,li'shu'tong
李斯,li'si
李通玄,li'tong'xuan
李旴江,li'xu'jiang
李延平,li'yan'ping
李颙,li'yong
李籲,li'yu
李泽厚,li'ze'hou
李贽,li'zhi
李之藻,li'zhi'zao
李卓吾,li'zhuo'wu
良价,liang'jia
梁启超,liang'qi'chao
梁启雄,liang'qi'xiong
梁丘贺,liang'qiu'he
梁任公,liang'ren'gong
梁汝元,liang'ru'yuan
梁漱溟,liang'shu'ming
廖平,liao'ping
列御寇,lie'yu'kou
列子,lie'zi
林同济,lin'tong'ji
林则徐,lin'ze'xu
凌曙,ling'shu
凌廷堪,ling'ting'kan
灵祐,ling'you
刘安,liu'an
刘宝楠,liu'bao'nan
刘宾客,liu'bin'ke
刘伯温,liu'bo'wen
刘敞,liu'chang
刘德仁,liu'de'ren
刘逢禄,liu'feng'lu
柳河东,liu'he'dong
刘基,liu'ji
刘蕺山,liu'ji'shan
刘峻,liu'jun
刘伶,liu'ling
刘梦得,liu'meng'de
刘劭,liu'shao
刘少奇,liu'shao'qi
刘申叔,liu'shen'shu
刘师培,liu'shi'pei
刘述先,liu'shu'xian
刘文敏,liu'wen'min
刘熙载,liu'xi'zai
柳下惠,liu'xia'hui
刘献廷,liu'xian'ting
刘向,liu'xiang
刘孝标,liu'xiao'biao
刘勰,liu'xie
刘歆,liu'xin
刘绚,liu'xuan
刘义庆,liu'yi'qing
刘因,liu'yin
刘毓松,liu'yu'song
刘禹锡,liu'yu'xi
刘知几,liu'zhi'ji
刘昼,liu'zhou
柳子厚,liu'zi'hou
柳宗元,liu'zong'yuan
刘宗周,liu'zong'zhou
鲁班,lu'ban
鲁褒,lu'bao
卢藏用,lu'cang'yong
陆德明,lu'de'ming
陆绩,lu'ji
陆贾,lu'jia
陆九龄,lu'jiu'ling
陆九韶,lu'jiu'shao
陆九渊,lu'jiu'yuan
陆陇其,lu'long'qi
鹿门子,lu'men'zi
鲁胜,lu'sheng
陆世仪,lu'shi'yi
陆象山,lu'xiang'shan
陆修静,lu'xiu'jing
鲁迅,lu'xun
鲁仲连,lu'zhong'lian
罗从彦,luo'cong'yan
罗光,luo'guang
罗含,luo'han
罗洪先,luo'hong'xian
罗克汀,luo'ke'ting
罗钦顺,luo'qin'shun
罗汝芳,luo'ru'fang
罗隐,luo'yin
罗整庵,luo'zheng'an
吕本中,lv'ben'zhong
吕不韦,lv'bu'wei
吕才,lv'cai
吕澂,lv'cheng
吕大临,lv'da'lin
吕大愚,lv'da'yu
吕东莱,lv'dong'lai
吕公著,lv'gong'zhu
吕坤,lv'kun
吕留良,lv'liu'liang
吕柟,lv'nan
吕晚村,lv'wan'cun
吕希哲,lv'xi'zhe
吕振羽,lv'zhen'yu
吕祖谦,lv'zu'qian
马丹阳,ma'dan'yang
马端临,ma'duan'lin
马浮,ma'fu
马建忠,ma'jian'zhong
马融,ma'rong
马祖道一,ma'zu'dao'yi
毛苌,mao'chang
毛公,mao'gong
毛亨,mao'heng
毛奇龄,mao'qi'ling
毛泽东,mao'ze'dong
梅文鼎,mei'wen'ding
孟轲,meng'ke
孟胜,meng'sheng
孟喜,meng'xi
蒙庄,meng'zhuang
孟子,meng'zi
闵损,min'sun
闵子骞,min'zi'qian
墨翟,mo'di
莫绍揆,mo'shao'kui
墨子,mo'zi
牟子,mou'zi
牟宗三,mou'zong'san
内史兴,nei'shi'xing
聂豹,nie'bao
牛僧孺,niu'seng'ru
欧阳德,ou'yang'de
欧阳建,ou'yang'jian
欧阳渐,ou'yang'jian
欧阳竟无,ou'yang'jing'wu
欧阳修,ou'yang'xiu
潘平格,pan'ping'ge
潘师正,pan'shi'zheng
潘用微,pan'yong'wei
潘梓年,pan'zi'nian
庞朴,pang'pu
裴徽,pei'hui
裴頠,pei'wei
彭定求,peng'ding'qiu
彭康,peng'kang
彭蒙,peng'meng
彭绍升,peng'shao'sheng
彭晓,peng'xiao
彭允初,peng'yun'chu
皮日休,pi'ri'xiu
皮锡瑞,pi'xi'rui
菩提达摩,pu'ti'da'mo
岐伯,qi'bo
漆雕开,qi'diao'kai
契嵩,qi'song
钱德洪,qian'de'hong
钱穆,qian'mu
禽滑釐,qin'hua'xi
邱处机,qiu'chu'ji
丘处机,qiu'chu'ji
邱汉生,qiu'han'sheng
邱濬,qiu'jun
屈平,qu'ping
瞿秋白,qu'qiu'bai
瞿世英,qu'shi'ying
屈原,qu'yuan
全增嘏,quan'zeng'gu
全祖望,quan'zu'wang
冉求,ran'qiu
冉雍,ran'yong
冉有,ran'you
饶鲁,rao'lu
任继愈,ren'ji'yu
任曙,ren'shu
任卓宣,ren'zhuo'xuan
容闳,rong'hong
容肇祖,rong'zhao'zu
阮德如,ruan'de'ru
阮籍,ruan'ji
阮嗣宗,ruan'si'zong
阮咸,ruan'xian
阮修,ruan'xiu
阮元,ruan'yuan
阮瞻,ruan'zhan
桑弘羊,sang'hong'yang
桑户,sang'hu
僧朗,seng'lang
僧诠,seng'quan
僧叡,seng'rui
僧祐,seng'you
僧肇,seng'zhao
善导,shan'dao
山巨源,shan'ju'yuan
山涛,shan'tao
善无畏,shan'wu'wei
商君,shang'jun
商鞅,shang'yang
邵伯温,shao'bo'wen
邵康节,shao'kang'jie
邵雍,shao'yong
少正卯,shao'zheng'mao
申不害,shen'bu'hai
慎到,shen'dao
沈国模,shen'guo'mo
申韩,shen'han
沈焕,shen'huan
神会,shen'hui
沈括,shen'kuo
沈善登,shen'shan'deng
神秀,shen'xiu
沈有鼎,shen'you'ding
沈志远,shen'zhi'yuan
慎子,shen'zi
申子,shen'zi
史伯,shi'bo
实叉难陀,shi'cha'nan'tuo
施雠,shi'chou
石徂徕,shi'cu'lai
施存统,shi'cun'tong
施肩吾,shi'jian'wu
尸佼,shi'jiao
石介,shi'jie
石峻,shi'jun
史墨,shi'mo
世硕,shi'shuo
释太虚,shi'tai'xu
石涛,shi'tao
史囂,shi'xiao
尸子,shi'zi
舒璘,shu'lin
叔孙通,shu'sun'tong
叔兴,shu'xing
司空图,si'kong'tu
司马彪,si'ma'biao
司马承祯,si'ma'cheng'zhen
司马光,si'ma'guang
司马迁,si'ma'qian
司马谈,si'ma'tan
宋,song
宋荣,song'rong
宋荣子,song'rong'zi
宋翔凤,song'xiang'feng
宋钘,song'xing
宋应星,song'ying'xing
苏东坡,su'dong'po
苏秦,su'qin
苏轼,su'shi
苏洵,su'xun
苏舆,su'yu
苏辙,su'zhe
孙膑,sun'bin
孙不二,sun'bu'er
孙绰,sun'chuo
孙复,sun'fu
孙奇逢,sun'qi'feng
孙卿,sun'qing
孙盛,sun'sheng
孙叔平,sun'shu'ping
孙文,sun'wen
孙武,sun'wu
孙夏峰,sun'xia'feng
孙星衍,sun'xing'yan
孙诒让,sun'yi'rang
孙逸仙,sun'yi'xian
孙中山,sun'zhong'shan
孙子,sun'zi
太史儋,tai'shi'dan
太虚,tai'xu
谭处端,tan'chu'duan
谭戒甫,tan'jie'fu
谭峭,tan'qiao
谭嗣同,tan'si'tong
澹台灭明,tan'tai'mie'ming
谈天衍,tan'tian'yan
汤斌,tang'bin
唐才常,tang'cai'chang
唐鹤征,tang'he'zheng
唐鉴,tang'jian
唐君毅,tang'jun'yi
唐僧,tang'seng
汤一介,tang'yi'jie
汤用彤,tang'yong'tong
唐甄,tang'zhen
唐仲友,tang'zhong'you
陶弘景,tao'hong'jing
陶潜,tao'qian
陶望龄,tao'wang'ling
陶希圣,tao'xi'sheng
陶行知,tao'xing'zhi
陶渊明,tao'yuan'ming
田巴,tian'ba
田何,tian'he
田鸠,tian'jiu
田骈,tian'pian
田俅子,tian'qiu'zi
田襄子,tian'xiang'zi
田仲,tian'zhong
万章,wan'zhang
王安石,wang'an'shi
王柏,wang'bai
王弼,wang'bi
王充,wang'chong
王重阳,wang'chong'yang
王处一,wang'chu'yi
王船山,wang'chuan'shan
王导,wang'dao
汪奠基,wang'dian'ji
王栋,wang'dong
王浮,wang'fu
王符,wang'fu
王辅嗣,wang'fu'si
王夫之,wang'fu'zhi
王艮,wang'gen
王国维,wang'guo'wei
王畿,wang'ji
王荆公,wang'jing'gong
王临川,wang'lin'chuan
王明,wang'ming
王雱,wang'pang
王清任,wang'qing'ren
王戎,wang'rong
汪容甫,wang'rong'fu
王若水,wang'ruo'shui
王士元,wang'shi'yuan
王守仁,wang'shou'ren
王肃,wang'su
王韬,wang'tao
王廷相,wang'ting'xiang
王通,wang'tong
王文公,wang'wen'gong
王宪钧,wang'xian'jun
王先谦,wang'xian'qian
王心斋,wang'xin'zhai
王星拱,wang'xing'gong
王玄览,wang'xuan'lan
王衍,wang'yan
王阳明,wang'yang'ming
汪应辰,wang'ying'chen
王应麟,wang'ying'lin
王源,wang'yuan
汪中,wang'zhong
汪子嵩,wang'zi'song
魏伯阳,wei'bo'yang
魏华存,wei'hua'cun
卫玠,wei'jie
魏了翁,wei'le'weng
魏良弼,wei'liang'bi
尉缭子,wei'liao'zi
魏默深,wei'mo'shen
魏牟,wei'mou
卫鞅,wei'yang
魏源,wei'yuan
温公颐,wen'gong'yi
文天祥,wen'tian'xiang
文偃,wen'yan
文益,wen'yi
吴澄,wu'cheng
吴筠,wu'jun
吴亮平,wu'liang'ping
吴起,wu'qi
吴廷翰,wu'ting'han
吴虞,wu'yu
吴与弼,wu'yu'bi
吴樾,wu'yue
吴稚晖,wu'zhi'hui
郗超,xi'chao
羲和,xi'he
西门豹,xi'men'bao
希迁,xi'qian
希运,xi'yun
夏侯建,xia'hou'jian
夏侯胜,xia'hou'sheng
夏侯玄,xia'hou'xuan
相夫氏,xiang'fu'shi
相里勤,xiang'li'qin
相里氏,xiang'li'shi
乡陵氏,xiang'ling'shi
向秀,xiang'xiu
向子期,xiang'zi'qi
萧抱珍,xiao'bao'zhen
萧琛,xiao'chen
萧楚女,xiao'chu'nv
肖前,xiao'qian
萧萐父,xiao'sha'fu
肖统,xiao'tong
萧衍,xiao'yan
萧子良,xiao'zi'liang
谢赫,xie'he
谢鲲,xie'kun
谢良佐,xie'liang'zuo
谢上蔡,xie'shang'cai
谢玄,xie'xuan
谢应芳,xie'ying'fang
信行,xin'xing
邢昺,xing'bing
邢邵,xing'shao
行秀,xing'xiu
熊伯龙,xiong'bo'long
熊赐履,xiong'ci'lv
熊十力,xiong'shi'li
熊钟陵,xiong'zhong'ling
徐爱,xu'ai
徐复观,xu'fu'guan
徐干,xu'gan
徐光启,xu'guang'qi
许衡,xu'heng
许谦,xu'qian
许慎,xu'shen
徐寿,xu'shou
徐谓,xu'wei
许行,xu'xing
玄奘,xuan'zang
薛福成,xue'fu'cheng
薛季宣,xue'ji'xuan
薛瑄,xue'xuan
荀粲,xun'can
荀况,xun'kuang
荀卿,xun'qing
荀融,xun'rong
荀爽,xun'shuang
荀彧,xun'yu
荀悦,xun'yue
荀子,xun'zi
牙含章,ya'han'zhang
严北溟,yan'bei'ming
彦琮,yan'cong
严复,yan'fu
颜回,yan'hui
严几道,yan'ji'dao
颜钧,yan'jun
严君平,yan'jun'ping
严灵峰,yan'ling'feng
晏平仲,yan'ping'zhong
阎若璩,yan'ruo'qu
颜师古,yan'shi'gu
延寿,yan'shou
颜习斋,yan'xi'zhai
言偃,yan'yan
颜延之,yan'yan'zhi
晏婴,yan'ying
严羽,yan'yu
颜元,yan'yuan
颜渊,yan'yuan
颜之推,yan'zhi'tui
晏子,yan'zi
严遵,yan'zun
杨诚斋,yang'cheng'zhai
杨慈湖,yang'ci'hu
杨东明,yang'dong'ming
杨龟山,yang'gui'shan
杨何,yang'he
杨简,yang'jian
杨柳桥,yang'liu'qiao
杨泉,yang'quan
杨荣国,yang'rong'guo
杨慎,yang'shen
杨升庵,yang'sheng'an
杨时,yang'shi
杨万里,yang'wan'li
杨王孙,yang'wang'sun
杨文会,yang'wen'hui
杨献珍,yang'xian'zhen
扬雄,yang'xiong
杨雄,yang'xiong
杨朱,yang'zhu
杨子,yang'zi
阳子居,yang'zi'ju
姚际恒,yao'ji'heng
叶德辉,ye'de'hui
叶青,ye'qing
叶适,ye'shi
叶水心,ye'shui'xin
叶燮,ye'xie
叶子奇,ye'zi'qi
易白沙,yi'bai'sha
义存,yi'cun
医和,yi'he
义净,yi'jing
易心莹,yi'xin'ying
一行,yi'xing
义玄,yi'xuan
殷海光,yin'hai'guang
殷浩,yin'hao
尹焞,yin'tui
尹文,yin'wen
尹文子,yin'wen'zi
有若,you'ruo
有子,you'zi
游酢,you'zuo
虞翻,yu'fan
于光远,yu'guang'yuan
于吉,yu'ji
余家菊,yu'jia'ju
余靖,yu'jing
俞曲园,yu'qu'yuan
余英时,yu'ying'shi
虞愚,yu'yu
俞樾,yu'yue
袁粲,yuan'can
辕固生,yuan'gu'sheng
元结,yuan'jie
袁枚,yuan'mei
袁燮,yuan'xie
元照,yuan'zhao
恽代英,yun'dai'ying
宰我,zai'wo
宰予,zai'yu
臧文仲,zang'wen'zhong
曾国藩,zeng'guo'fan
曾参,zeng'shen
曾子,zeng'zi
湛甘泉,zhan'gan'quan
詹何,zhan'he
湛然,zhan'ran
湛若水,zhan'ruo'shui
章炳麟,zhang'bing'lin
张伯端,zhang'bo'duan
张伯行,zhang'bo'xing
张岱年,zhang'dai'nian
张道陵,zhang'dao'ling
张东荪,zhang'dong'sun
张韩,zhang'han
张衡,zhang'heng
张横渠,zhang'heng'qu
张华,zhang'hua
张惠言,zhang'hui'yan
张讥,zhang'ji
张角,zhang'jiao
张九成,zhang'jiu'cheng
张居正,zhang'ju'zheng
张君房,zhang'jun'fang
张君劢,zhang'jun'mai
张陵,zhang'ling
张鲁,zhang'lu
张履祥,zhang'lv'xiang
张南轩,zhang'nan'xuan
张融,zhang'rong
张如心,zhang'ru'xin
张三丰,zhang'san'feng
张申府,zhang'shen'fu
张盛,zhang'sheng
张栻,zhang'shi
张世英,zhang'shi'ying
章实斋,zhang'shi'zhai
章士钊,zhang'shi'zhao
张崧年,zhang'song'nian
章太炎,zhang'tai'yan
张遐,zhang'xia
张修,zhang'xiu
章学诚,zhang'xue'cheng
张杨园,zhang'yang'yuan
张仪,zhang'yi
张元忭,zhang'yuan'bian
张载,zhang'zai
张湛,zhang'zhan
张之洞,zhang'zhi'dong
张仲景,zhang'zhong'jing
赵复,zhao'fu
赵归真,zhao'gui'zhen
赵纪彬,zhao'ji'bin
赵歧,zhao'qi
赵蕤,zhao'rui
真德秀,zhen'de'xiu
真谛,zhen'di
真可,zhen'ke
甄鸾,zhen'luan
郑观应,zheng'guan'ying
郑樵,zheng'qiao
郑鲜之,zheng'xian'zhi
郑昕,zheng'xin
郑兴,zheng'xing
郑玄,zheng'xuan
郑隐,zheng'yin
郑众,zheng'zhong
支谶,zhi'chen
支道林,zhi'dao'lin
支遁,zhi'dun
知礼,zhi'li
支娄迦谶,zhi'lou'jia'chen
支谦,zhi'qian
智旭,zhi'xu
智俨,zhi'yan
仲长敖,zhong'chang'ao
仲长统,zhong'chang'tong
种放,zhong'fang
仲弓,zhong'gong
钟会,zhong'hui
仲良,zhong'liang
仲尼,zhong'ni
钟嵘,zhong'rong
仲由,zhong'you
周惇颐,zhou'dun'yi
周敦颐,zhou'dun'yi
周公,zhou'gong
周濂溪,zhou'lian'xi
周汝登,zhou'ru'deng
周树人,zhou'shu'ren
周颙,zhou'yong
周予同,zhou'yu'tong
朱伯崑,zhu'bo'kun
朱次琦,zhu'ci'qi
竺道生,zhu'dao'sheng
竺法护,zhu'fa'hu
朱光潜,zhu'guang'qian
袾宏,zhu'hong
朱晦庵,zhu'hui'an
朱谦之,zhu'qian'zhi
朱世卿,zhu'shi'qing
朱士行,zhu'shi'xing
朱舜水,zhu'shun'shui
朱熹,zhu'xi
朱一新,zhu'yi'xin
朱泽云,zhu'ze'yun
朱震,zhu'zhen
朱执信,zhu'zhi'xin
朱之瑜,zhu'zhi'yu
颛孙师,zhuan'sun'shi
庄存与,zhuang'cun'yu
庄周,zhuang'zhou
庄子,zhuang'zi
子产,zi'chan
子贡,zi'gong
子罕,zi'han
子华子,zi'hua'zi
子路,zi'lu
子莫,zi'mo
梓慎,zi'shen
子思,zi'si
子夏,zi'xia
子游,zi'you
子羽,zi'yu
子张,zi'zhang
宗白华,zong'bai'hua
宗柄,zong'bing
宗杲,zong'gao
宗密,zong'mi
邹容,zou'rong
驺奭,zou'shi
邹守益,zou'shou'yi
邹衍,zou'yan
驺衍,zou'yan
左慈,zuo'ci
左丘明,zuo'qiu'ming
左舜生,zuo'shun'sheng
左雄,zuo'xiong
