矮生百慕大草,ai'sheng'bai'mu'da'cao
红花酢浆草,hong'hua'zuo'jiang'cao
红梅,hong'mei
红楠,hong'nan
红叶李,hong'ye'li
红叶石楠,hong'ye'shi'nan
红叶桃,hong'ye'tao
红玉兰,hong'yu'lan
厚皮香,hou'pi'xiang
蝴蝶花,hu'die'hua
胡颓子,hu'tui'zi
胡颓子球,hu'tui'zi'qiu
狐尾藻,hu'wei'zao
花柏,hua'bai
花柏球,hua'bai'qiu
花菖蒲,hua'chang'pu
花蔺,hua'lin
花石榴,hua'shi'liu
花叶芦苇,hua'ye'lu'wei
花叶水葱,hua'ye'shui'cong
花叶玉簪,hua'ye'yu'zan
花叶泽苔,hua'ye'ze'tai
华中木兰,hua'zhong'mu'lan
黄菖蒲,huang'chang'pu
黄花蔺,huang'hua'lin
黄连木,huang'lian'mu
黄山栾树,huang'shan'luan'shu
黄丝草,huang'si'cao
火棘,huo'ji
火棘球,huo'ji'qiu
鸡血藤,ji'xue'teng
鸡爪槭,ji'zhao'qi
夹竹桃,jia'zhu'tao
剪股颖草,jian'gu'ying'cao
剑麻,jian'ma
江南桤木,jiang'nan'qi'mu
结香,jie'xiang
金边黄杨,jin'bian'huang'yang
金边黄杨球,jin'bian'huang'yang'qiu
金桂,jin'gui
金合欢,jin'he'huan
金桔,jin'jie
金钱松,jin'qian'song
金山绣线菊,jin'shan'xiu'xian'ju
金丝垂柳,jin'si'chui'liu
金丝梅,jin'si'mei
金丝桃,jin'si'tao
金叶垂槐,jin'ye'chui'huai
金叶女贞,jin'ye'nv'zhen
金银花,jin'yin'hua
金鱼藻,jin'yu'zao
金钟,jin'zhong
韭兰,jiu'lan
聚草,ju'cao
榉树,ju'shu
桔子,ju'zi
苦草,ku'cao
苦楝,ku'lian
苦槠,ku'zhu
苦竹,ku'zhu
宽叶泽苔,kuan'ye'ze'tai
阔叶十大功劳,kuo'ye'shi'da'gong'lao
腊梅,la'mei
落羽杉,lao'yu'shan
乐昌含笑,le'chang'han'xiao
雷竹,lei'zhu
凌霄,ling'xiao
六道木,liu'dao'mu
六月雪,liu'yue'xue
龙柏,long'bai
龙柏球,long'bai'qiu
龙爪柳,long'zhao'liu
栾树,luan'shu
轮叶黑藻,lun'ye'hei'zao
罗汉松,luo'han'song
罗汉松球,luo'han'song'qiu
络石,luo'shi
绿梅,lv'mei
玛瑙石榴,ma'nao'shi'liu
马尼拉草,ma'ni'la'cao
马蹄筋草,ma'ti'jin'cao
麦冬草,mai'dong'cao
毛鹃,mao'juan
毛竹,mao'zhu
猕猴桃,mi'hou'tao
苗木名称,miao'mu'ming'cheng
木芙蓉,mu'fu'rong
木瓜,mu'gua
木荷,mu'he
木槿,mu'jin
木香,mu'xiang
南方红豆杉,nan'fang'hong'dou'shan
南天竺,nan'tian'zhu
女贞,nv'zhen
盘槐,pan'huai
泡桐,pao'tong
枇杷,pi'pa
萍蓬草,ping'peng'cao
铺地柏,pu'di'bai
葡萄,pu'tao
七姐妹,qi'jie'mei
七叶树,qi'ye'shu
千屈菜,qian'qu'cai
芡实,qian'shi
蔷薇,qiang'wei
青冈栎,qing'gang'li
青桐,qing'tong
琼花,qiong'hua
楸树,qiu'shu
雀舌黄杨球,que'she'huang'yang'qiu
日本地毯草,ri'ben'di'tan'cao
日本冷杉,ri'ben'leng'shan
日本柳杉,ri'ben'liu'shan
日本晚樱,ri'ben'wan'ying
日本樱花,ri'ben'ying'hua
箬竹,ruo'zhu
洒金柏球,sa'jin'bai'qiu
三白草,san'bai'cao
三角枫,san'jiao'feng
三台枸骨球,san'tai'gou'gu'qiu
三叶地锦,san'ye'di'jin
沙朴,sha'pu
珊瑚,shan'hu
珊瑚朴,shan'hu'pu
珊瑚球,shan'hu'qiu
山麻杆,shan'ma'gan
山玉兰,shan'yu'lan
深山含笑,shen'shan'han'xiao
石菖蒲,shi'chang'pu
湿地松,shi'di'song
石栎,shi'li
石楠,shi'nan
石楠球,shi'nan'qiu
柿树,shi'shu
石蒜,shi'suan
寿星桃,shou'xing'tao
蜀桧,shu'gui
蜀桧球,shu'gui'qiu
双荚决明,shuang'jia'jue'ming
水鳖,shui'bie
水车前,shui'che'qian
水葱,shui'cong
水禾,shui'he
水蜡,shui'la
睡莲,shui'lian
水杉,shui'shan
水松,shui'song
水罂粟,shui'ying'su
水芋,shui'yu
四季桂,si'ji'gui
四季竹,si'ji'zhu
四台枸骨球,si'tai'gou'gu'qiu
溲疏,sou'shu
苏铁,su'tie
素心腊梅,su'xin'la'mei
梭鱼草,suo'yu'cao
塔形罗汉松,ta'xing'luo'han'song
桃叶珊瑚,tao'ye'shan'hu
天目琼花,tian'mu'qiong'hua
贴梗海棠,tie'geng'hai'tang
铁线莲,tie'xian'lian
王莲,wang'lian
卫茅,wei'mao
蚊母,wen'mu
无刺枸骨,wu'ci'gou'gu
无刺枸骨球,wu'ci'gou'gu'qiu
无花果,wu'hua'guo
无患子,wu'huan'zi
乌桕,wu'jiu
五台枸骨球,wu'tai'gou'gu'qiu
五叶地锦,wu'ye'di'jin
五针松,wu'zhen'song
西府海棠,xi'fu'hai'tang
喜树,xi'shu
细叶莎草,xi'ye'suo'cao
夏鹃,xia'juan
狭叶十大功劳,xia'ye'shi'da'gong'lao
香柏,xiang'bai
香椿,xiang'chun
香花槐,xiang'hua'huai
香泡,xiang'pao
香蒲,xiang'pu
香樟,xiang'zhang
小叶女贞球,xiao'ye'nv'zhen'qiu
小叶栀子花,xiao'ye'zhi'zi'hua
荇菜,xing'cai
杏梅,xing'mei
绣线菊,xiu'xian'ju
萱草,xuan'cao
悬铃木,xuan'ling'mu
雪松,xue'song
眼子菜,yan'zi'cai
杨梅,yang'mei
杨梅球,yang'mei'qiu
野茭白,ye'jiao'bai
伊乐藻,yi'le'zao
意杨,yi'yang
银边黄杨球,yin'bian'huang'yang'qiu
银桂,yin'gui
银杏,yin'xing
樱花,ying'hua
樱桃,ying'tao
油麻藤,you'ma'teng
玉带草,yu'dai'cao
郁李,yu'li
羽毛枫,yu'mao'feng
玉簪,yu'zan
鸢尾,yuan'wei
园叶泽苔,yuan'ye'ze'tai
月季,yue'ji
云南黄馨,yun'nan'huang'xin
杂交鹃,za'jiao'juan
再力花,zai'li'hua
早熟禾草,zao'shu'he'cao
泽泻,ze'xie
栀子花,zhi'zi'hua
重瓣茶花,zhong'ban'cha'hua
竹柏,zhu'bai
紫荆,zi'jing
梓树,zi'shu
紫藤,zi'teng
紫薇,zi'wei
紫叶酢浆草,zi'ye'zuo'jiang'cao
紫玉兰,zi'yu'lan
紫竹,zi'zhu
棕榈,zong'lv
菹草,zu'cao
