阿达哈哈番,a'da'ha'ha'fan
承直郎,cheng'zhi'lang
成忠郎,cheng'zhong'lang
敕封,chi'feng
敕令所提举,chi'ling'suo'ti'ju
敕授,chi'shou
持书侍御史,chi'shu'shi'yu'shi
崇福司,chong'fu'si
充华,chong'hua
崇进,chong'jin
崇禄寺,chong'lu'si
崇文馆,chong'wen'guan
崇文门监督,chong'wen'men'jian'du
崇文院,chong'wen'yuan
崇祥总管府,chong'xiang'zong'guan'fu
崇玄署,chong'xuan'shu
崇掖卫,chong'ye'wei
充依,chong'yi
崇政殿说书,chong'zheng'dian'shuo'shu
储君,chu'jun
储粮局,chu'liang'ju
出纳使,chu'na'shi
储膳司,chu'shan'si
出使大臣,chu'shi'da'chen
储政院,chu'zheng'yuan
出职,chu'zhi
黜陟使,chu'zhi'shi
传法院,chuan'fa'yuan
传胪,chuan'lu
春坊,chun'fang
春官,chun'guan
春官尚书,chun'guan'shang'shu
春官正,chun'guan'zheng
纯和郎,chun'he'lang
春卿,chun'qing
春衣,chun'yi
祠部,ci'bu
祠祭清吏司,ci'ji'qing'li'si
刺奸,ci'jian
词林,ci'lin
祠禄官,ci'lu'guan
刺史,ci'shi
祠祀令,ci'si'ling
词垣,ci'yuan
次长,ci'zhang
赐紫,ci'zi
从事,cong'shi
从仕郎,cong'shi'lang
从义郎,cong'yi'lang
倅长,cui'chang
酂长,cuo'chang
大阿哥,da'a'ge
大宝法王,da'bao'fa'wang
大比,da'bi
大卜,da'bu
大长秋,da'chang'qiu
大乘法王,da'cheng'fa'wang
大慈法王,da'ci'fa'wang
大都城门尉,da'dou'cheng'men'wei
大都回回药物院,da'dou'hui'hui'yao'wu'yuan
大都惠民局,da'dou'hui'min'ju
大都留守司,da'dou'liu'shou'si
大都路都总管府,da'dou'lu'dou'zong'guan'fu
大都路管领诸色人匠提举司,da'dou'lu'guan'ling'zhu'se'ren'jiang'ti'ju'si
大都陆运提举司,da'dou'lu'yun'ti'ju'si
大都尉,da'dou'wei
大都宣课提举司,da'dou'xuan'ke'ti'ju'si
大都督府,da'du'du'fu
大府,da'fu
大抚军院,da'fu'jun'yuan
达干,da'gan
大公平,da'gong'ping
大官令,da'guan'ling
大国舅司,da'guo'jiu'si
大汉将军,da'han'jiang'jun
大横帐常衮司,da'heng'zhang'chang'gun'si
大鸿胪,da'hong'lu
大阍,da'hun
大计,da'ji
大家,da'jia
大监,da'jian
大将军,da'jiang'jun
大匠卿,da'jiang'qing
大九卿,da'jiu'qing
大军将,da'jun'jiang
大军校,da'jun'xiao
大考,da'kao
大理,da'li
大理丞,da'li'cheng
大理寺,da'li'si
大理院,da'li'yuan
大理正,da'li'zheng
大两省,da'liang'sheng
大良造,da'liang'zao
大林牙院,da'lin'ya'yuan
大令,da'ling
大龙,da'long
大禄,da'lu
达鲁花赤,da'lu'hua'chi
大论,da'lun
大庙守卫司百户,da'miao'shou'wei'si'bai'hu
大睦亲府,da'mu'qin'fu
大内相,da'nei'xiang
大仆,da'pu
大人,da'ren
大三法司,da'san'fa'si
大上造,da'shang'zao
大晟府,da'sheng'fu
大使,da'shi
大史,da'shi
大师,da'shi
大庶长,da'shu'chang
大司成,da'si'cheng
大司空,da'si'kong
大司乐,da'si'le
大司马,da'si'ma
大司农,da'si'nong
大司农司,da'si'nong'si
大司徒,da'si'tu
大司宪,da'si'xian
大惕隐司,da'ti'yin'si
大天,da'tian
大田,da'tian
大挑,da'tiao
大通桥监督,da'tong'qiao'jian'du
大王,da'wang
大王院,da'wang'yuan
大像使,da'xiang'shi
大行,da'xing
大行令,da'xing'ling
大行人,da'xing'ren
大胥,da'xu
大学士,da'xue'shi
大仪,da'yi
大尹,da'yin
答应,da'ying
大有司,da'you'si
大驭,da'yu
大予乐令,da'yu'le'ling
大元帅,da'yuan'shuai
大元帅大本营,da'yuan'shuai'da'ben'ying
大冢宰,da'zhong'zai
大中正,da'zhong'zheng
大舟卿,da'zhou'qing
大祝,da'zhu
大资,da'zi
大宗,da'zong
大宗伯,da'zong'bo
大总统,da'zong'tong
大宗正司,da'zong'zheng'si
戴琫,dai'beng
大夫,dai'fu
带御器械,dai'yu'qi'xie
待诏,dai'zhao
待制,dai'zhi
丹粉所,dan'fen'suo
弹子房,dan'zi'fang
当国,dang'guo
党正,dang'zheng
导官署,dao'guan'shu
道录司,dao'lu'si
道民君,dao'min'jun
道台,dao'tai
道尹,dao'yin
道员,dao'yuan
德妃,de'fei
德和大夫,de'he'da'fu
德仪,de'yi
登仕郎,deng'shi'lang
登仕佐郎,deng'shi'zuo'lang
登闻鼓院,deng'wen'gu'yuan
登闻检院,deng'wen'jian'yuan
第巴,di'ba
底本,di'ben
抵当免行所,di'dang'mian'xing'suo
地方检察厅,di'fang'jian'cha'ting
地方审判厅,di'fang'shen'pan'ting
迪功郎,di'gong'lang
地官,di'guan
地官尚书,di'guan'shang'shu
帝姬,di'ji
敌烈麻都司,di'lie'ma'du'si
鞮鞻氏,di'lou'shi
递运所,di'yun'suo
典簿,dian'bu
典簿厅,dian'bu'ting
典妇功,dian'fu'gong
典给署,dian'gei'shu
典籍,dian'ji
典厩署,dian'jiu'shu
典郡书佐,dian'jun'shu'zuo
典客,dian'ke
典乐,dian'le
典乐郎,dian'le'lang
典吏,dian'li
典礼院,dian'li'yuan
典命,dian'ming
典牧监,dian'mu'jian
典牧署,dian'mu'shu
殿内省,dian'nei'sheng
典农都尉,dian'nong'du'wei
典农中郎将,dian'nong'zhong'lang'jiang
典签,dian'qian
殿前都点检,dian'qian'dou'dian'jian
殿前都点检司,dian'qian'dou'dian'jian'si
殿前都指挥使司,dian'qian'du'zhi'hui'shi'si
殿前司,dian'qian'si
典戎卫,dian'rong'wei
典瑞,dian'rui
典瑞院,dian'rui'yuan
典设局,dian'she'ju
典史,dian'shi
殿试,dian'shi
甸师,dian'shi
典书坊,dian'shu'fang
典属国,dian'shu'guo
典属清吏司,dian'shu'qing'li'si
典祀,dian'si
典同,dian'tong
典幄署,dian'wo'shu
典饮局,dian'yin'ju
典用监,dian'yong'jian
典狱长,dian'yu'zhang
殿院,dian'yuan
殿元,dian'yuan
殿直,dian'zhi
殿中丞,dian'zhong'cheng
殿中监,dian'zhong'jian
殿中局,dian'zhong'ju
殿中省,dian'zhong'sheng
殿中侍御史,dian'zhong'shi'yu'shi
殿中司,dian'zhong'si
殿撰,dian'zhuan
调人,diao'ren
定本,ding'ben
顶戴,ding'dai
定国将军,ding'guo'jiang'jun
鼎元,ding'yuan
定远将军,ding'yuan'jiang'jun
丁字库,ding'zi'ku
东班,dong'ban
东厂,dong'chang
东府,dong'fu
东阁大学士,dong'ge'da'xue'shi
东宫,dong'gong
东宫典兵局,dong'gong'dian'bing'ju
东宫典乘局,dong'gong'dian'cheng'ju
东宫典服局,dong'gong'dian'fu'ju
东宫典膳局,dong'gong'dian'shan'ju
东宫典玺局,dong'gong'dian'xi'ju
东宫典药局,dong'gong'dian'yao'ju
冬官,dong'guan
冬官尚书,dong'guan'shang'shu
冬官正,dong'guan'zheng
冬卿,dong'qing
东上閤门使,dong'shang'ge'men'shi
东台,dong'tai
东台舍人,dong'tai'she'ren
东台侍郎,dong'tai'shi'lang
东园局,dong'yuan'ju
东园主章,dong'yuan'zhu'zhang
都部署,dou'bu'shu
都茶场,dou'cha'chang
都大夫,dou'da'fu
都大提举茶马司,dou'da'ti'ju'cha'ma'si
都点检,dou'dian'jian
都都知,dou'dou'zhi
都官郎中,dou'guan'lang'zhong
都候,dou'hou
都监,dou'jian
都令史,dou'ling'shi
都评事,dou'ping'shi
都曲院,dou'qu'yuan
都人,dou'ren
都商税务,dou'shang'shui'wu
都省,dou'sheng
都事,dou'shi
斗食,dou'shi
都事司,dou'shi'si
都水长,dou'shui'chang
都水监,dou'shui'jian
都水清吏司,dou'shui'qing'li'si
都水使者,dou'shui'shi'zhe
都水台,dou'shui'tai
都台,dou'tai
都堂,dou'tang
都提举市易司,dou'ti'ju'shi'yi'si
都提举万亿宝源库,dou'ti'ju'wan'yi'bao'yuan'ku
都提举万亿赋源库,dou'ti'ju'wan'yi'fu'yuan'ku
都提举万亿广源库,dou'ti'ju'wan'yi'guang'yuan'ku
都提举万亿绮源库,dou'ti'ju'wan'yi'qi'yuan'ku
都亭西驿,dou'ting'xi'yi
都头,dou'tou
都巡河官,dou'xun'he'guan
都虞司,dou'yu'si
都元帅府,dou'yuan'shuai'fu
都知,dou'zhi
都知监,dou'zhi'jian
都转,dou'zhuan
督办,du'ban
督办政务处,du'ban'zheng'wu'chu
督捕清吏司,du'bu'qing'li'si
都察院,du'cha'yuan
度牒库,du'die'ku
都督,du'du
都督行府,du'du'xing'fu
都督诸路军马,du'du'zhu'lu'jun'ma
督抚,du'fu
都护,du'hu
督军,du'jun
闍里必,du'li'bi
督理街道衙门,du'li'jie'dao'ya'men
督练公所,du'lian'gong'suo
督粮道,du'liang'dao
都司,du'si
都统,du'tong
都统制,du'tong'zhi
都尉,du'wei
督销局,du'xiao'ju
督邮,du'you
度支部,du'zhi'bu
都指挥使,du'zhi'hui'shi
都指挥使司,du'zhi'hui'shi'si
度支监,du'zhi'jian
度支尚书,du'zhi'shang'shu
度支使,du'zhi'shi
督作使,du'zuo'shi
断丞,duan'cheng
端公,duan'gong
端明殿学士,duan'ming'dian'xue'shi
断事官,duan'shi'guan
端尹府,duan'yin'fu
对策,dui'ce
对移,dui'yi
敦武郎,dun'wu'lang
敦武校尉,dun'wu'xiao'wei
多罗贝勒,duo'luo'bei'le
多罗郡王,duo'luo'jun'wang
夺情,duo'qing
额驸,e'fu
俄罗斯学,e'luo'si'xue
恩贡,en'gong
恩监,en'jian
恩科,en'ke
恩骑尉,en'qi'wei
恩荫,en'yin
二百石,er'bai'shi
二大,er'da
二府,er'fu
二公,er'gong
二千古曹,er'qian'gu'cao
二千石,er'qian'shi
二十等爵,er'shi'deng'jue
二十四长,er'shi'si'chang
二十四衙门,er'shi'si'ya'men
法部,fa'bu
法曹参军,fa'cao'can'jun
发敕司,fa'chi'si
法酒库,fa'jiu'ku
发审局,fa'shen'ju
发运使,fa'yun'shi
法直官,fa'zhi'guan
蕃部中大夫,fan'bu'zhong'da'fu
凡山采木提举司,fan'shan'cai'mu'ti'ju'si
藩司,fan'si
藩台,fan'tai
番役,fan'yi
翻译科,fan'yi'ke
蕃职,fan'zhi
番子,fan'zi
方伯,fang'bo
房考官,fang'kao'guan
方略馆,fang'lue'guan
房师,fang'shi
方士,fang'shi
防守尉,fang'shou'wei
防守御,fang'shou'yu
方相氏,fang'xiang'shi
防御,fang'yu
防御使,fang'yu'shi
坊主,fang'zhu
非常大总统,fei'chang'da'zong'tong
飞龙使,fei'long'shi
妃嫔,fei'pin
飞骑尉,fei'qi'wei
分司,fen'si
奋武尉,fen'wu'wei
奋武校尉,fen'wu'xiao'wei
奋武佐校尉,fen'wu'zuo'xiao'wei
封驳,feng'bo
奉常,feng'chang
奉常寺,feng'chang'si
奉朝请,feng'chao'qing
奉车都尉,feng'che'dou'wei
奉宸,feng'chen
奉宸库,feng'chen'ku
奉宸苑,feng'chen'yuan
奉诚尉,feng'cheng'wei
奉祠,feng'ci
封典,feng'dian
奉恩辅国公,feng'en'fu'guo'gong
奉恩将军,feng'en'jiang'jun
奉恩镇国公,feng'en'zhen'guo'gong
凤阁,feng'ge
凤阁侍郎,feng'ge'shi'lang
奉国将军,feng'guo'jiang'jun
奉国上将军,feng'guo'shang'jiang'jun
奉国中尉,feng'guo'zhong'wei
奉驾局,feng'jia'ju
封疆大吏,feng'jiang'da'li
奉礼郎,feng'li'lang
奉冕局,feng'mian'ju
封人,feng'ren
奉膳局,feng'shan'ju
奉祀官,feng'si'guan
冯相氏,feng'xiang'shi
奉训大夫,feng'xun'dai'fu
奉议大夫,feng'yi'dai'fu
奉医局,feng'yi'ju
奉扆局,feng'yi'ju
奉议郎,feng'yi'lang
奉御,feng'yu
奉舆局,feng'yu'ju
奉裕卫,feng'yu'wei
封赠,feng'zeng
奉政大夫,feng'zheng'da'fu
奉直大夫,feng'zhi'dai'fu
奉直郎,feng'zhi'lang
封桩库,feng'zhuang'ku
封奏,feng'zou
副榜,fu'bang
符宝郎,fu'bao'lang
副都御史,fu'dou'yu'shi
副都统,fu'du'tong
副端,fu'duan
抚幹,fu'gan
副贡,fu'gong
辅国大将军,fu'guo'da'jiang'jun
辅国公,fu'guo'gong
辅国侯,fu'guo'hou
辅国将军,fu'guo'jiang'jun
辅国上将军,fu'guo'shang'jiang'jun
辅国中尉,fu'guo'zhong'wei
副将,fu'jiang
辅教王,fu'jiao'wang
符节令,fu'jie'ling
符节御史,fu'jie'yu'shi
福晋,fu'jin
抚军,fu'jun
抚军长,fu'jun'chang
抚军将军,fu'jun'jiang'jun
副军校,fu'jun'xiao
浮梁磁局,fu'liang'ci'ju
驸马,fu'ma
负弩,fu'nu
夫人,fu'ren
附生,fu'sheng
副王,fu'wang
敷文阁学士,fu'wen'ge'xue'shi
附学生员,fu'xue'sheng'yuan
抚谕使,fu'yu'shi
抚院,fu'yuan
噶布伦,ga'bu'lun
噶伦,ga'lun
噶厦,ga'xia
噶杂拉齐伯克,ga'za'la'qi'bo'ke
丐祠,gai'ci
幹办,gan'ban
幹办公事,gan'ban'gong'shi
纲纪,gang'ji
稿案,gao'an
高等检察厅,gao'deng'jian'cha'ting
高等审判厅,gao'deng'shen'pan'ting
高等文官,gao'deng'wen'guan
诰封,gao'feng
告身,gao'shen
格格,ge'ge
阁老,ge'lao
閤门舍人,ge'men'she'ren
閤门司,ge'men'si
閤门通事舍人,ge'men'tong'shi'she'ren
閤门祗候,ge'men'zhi'hou
戈什哈,ge'shen'ha
阁校,ge'xiao
阁学,ge'xue
给谏,gei'jian
给事黄门,gei'shi'huang'men
给事黄门侍郎,gei'shi'huang'men'shi'lang
给事郎,gei'shi'lang
宫保,gong'bao
宫伯,gong'bo
工部,gong'bu
功曹,gong'cao
功曹参军,gong'cao'can'jun
功曹从事,gong'cao'cong'shi
功曹史,gong'cao'shi
功曹书佐,gong'cao'shu'zuo
功曹佐,gong'cao'zuo
公车司马令,gong'che'si'ma'ling
公乘,gong'cheng
公大夫,gong'dai'fu
宫殿监督领侍,gong'dian'jian'du'ling'shi
宫殿监副侍,gong'dian'jian'fu'shi
宫殿监正侍,gong'dian'jian'zheng'shi
供奉,gong'feng
供府令,gong'fu'ling
宫府寺,gong'fu'si
公孤,gong'gu
工关,gong'guan
工官,gong'guan
功过状,gong'guo'zhuang
共和,gong'he
贡监,gong'jian
宫教博士,gong'jiao'bo'shi
宫厩尹,gong'jiu'yin
贡举,gong'ju
宫门将,gong'men'jiang
宫门局,gong'men'ju
功牌,gong'pai
供人,gong'ren
恭人,gong'ren
工商部,gong'shang'bu
贡士,gong'shi
供事,gong'shi
公使,gong'shi
公士,gong'shi
宫使,gong'shi
工师,gong'shi
恭使宫人,gong'shi'gong'ren
公使钱,gong'shi'qian
拱卫大夫,gong'wei'dai'fu
宫闱局,gong'wei'ju
拱卫郎,gong'wei'lang
拱卫直都指挥使司,gong'wei'zhi'du'zhi'hui'shi'si
宫尹府,gong'yin'fu
公用钱,gong'yong'qian
宫苑司,gong'yuan'si
宫正,gong'zheng
工正,gong'zheng
公主,gong'zhu
公族,gong'zu
公族大夫,gong'zu'dai'fu
勾当,gou'dang
钩盾令,gou'dun'ling
勾检官,gou'jian'guan
鼓吹令,gu'chui'ling
固公昂邦,gu'gong'ang'bang
固伦,gu'lun
估马司,gu'ma'si
固山贝子,gu'shan'bei'zi
固山额真,gu'shan'e'zhen
鼓司,gu'si
挂牌,gua'pai
寡人,gua'ren
寡恤司,gua'xu'si
挂印将军,gua'yin'jiang'jun
馆伴使,guan'ban'shi
观察,guan'cha
观察处置使,guan'cha'chu'zhi'shi
观察使,guan'cha'shi
官车处,guan'che'chu
官大夫,guan'da'fu
管带,guan'dai
官等,guan'deng
关都尉,guan'dou'wei
关防,guan'fang
观风俗使,guan'feng'su'shi
官告,guan'gao
官告院,guan'gao'yuan
馆阁,guan'ge
馆阁校勘,guan'ge'jiao'kan
管勾北宅所,guan'gou'bei'zhai'suo
管河道,guan'he'dao
官家,guan'jia
冠军大将军,guan'jun'da'jiang'jun
冠军将军,guan'jun'jiang'jun
观军容使,guan'jun'rong'shi
管理三库六臣,guan'li'san'ku'liu'chen
管理直年火药局,guan'li'zhi'nian'huo'yao'ju
管理珠子民匠官,guan'li'zhu'zi'min'jiang'guan
管领打捕鹰房民匠达鲁花总管府,guan'ling'da'bu'ying'fang'min'jiang'da'lu'hua'zong'guan'fu
管领大都等处金玉民匠稻田提举,guan'ling'da'dou'deng'chu'jin'yu'min'jiang'dao'tian'ti'ju
管领大都蓟州等处打捕提举司,guan'ling'da'dou'ji'zhou'deng'chu'da'bu'ti'ju'si
管领诸路怯怜口民匠都总管府,guan'ling'zhu'lu'qie'lian'kou'min'jiang'dou'zong'guan'fu
关内侯,guan'nei'hou
官品,guan'pin
筦榷司,guan'que'si
卝人,guan'ren
官生,guan'sheng
关外侯,guan'wai'hou
观文殿学士,guan'wen'dian'xue'shi
官医提举司,guan'yi'ti'ju'si
关尹,guan'yin
馆职,guan'zhi
广储司,guang'chu'si
广惠库,guang'hui'ku
广惠司,guang'hui'si
广积库,guang'ji'ku
广教总管府,guang'jiao'zong'guan'fu
广乐库,guang'le'ku
光禄大夫,guang'lu'dai'fu
光禄卿,guang'lu'qing
光禄寺,guang'lu'si
光禄勋,guang'lu'xun
广威将军,guang'wei'jiang'jun
广文馆,guang'wen'guan
广盈库,guang'ying'ku
贵赤卫亲军都指挥使司,gui'chi'wei'qin'jun'du'zhi'hui'shi'si
归德大将军,gui'de'da'jiang'jun
归德将军,gui'de'jiang'jun
归德郎将,gui'de'lang'jiang
归德司戈,gui'de'si'ge
归德司阶,gui'de'si'jie
归德执戟长上,gui'de'zhi'ji'zhang'shang
归德中候,gui'de'zhong'hou
归德中郎将,gui'de'zhong'lang'jiang
桂坊,gui'fang
贵妃,gui'fei
贵姬,gui'ji
贵嫔,gui'pin
贵人,gui'ren
龟人,gui'ren
贵仪,gui'yi
过班,guo'ban
国夫人,guo'fu'ren
国公,guo'gong
国老,guo'lao
国师,guo'shi
国史馆,guo'shi'guan
国史院,guo'shi'yuan
国尉,guo'wei
国务卿,guo'wu'qing
国务院,guo'wu'yuan
国务员,guo'wu'yuan
国信使,guo'xin'shi
果毅都尉,guo'yi'du'wei
国用司,guo'yong'si
国子监,guo'zi'jian
国子监书库官,guo'zi'jian'shu'ku'guan
哈刺鲁万户府,ha'ci'lu'wan'hu'fu
哈资伯克,ha'zi'bo'ke
海道运粮万户府,hai'dao'yun'liang'wan'hu'fu
海军部,hai'jun'bu
翰林良医,han'lin'liang'yi
翰林书艺局,han'lin'shu'yi'ju
翰林司,han'lin'si
翰林天文院,han'lin'tian'wen'yuan
翰林图画院,han'lin'tu'hua'yuan
翰林学士,han'lin'xue'shi
翰林医官,han'lin'yi'guan
翰林医官院,han'lin'yi'guan'yuan
翰林医正,han'lin'yi'zheng
翰林御书院,han'lin'yu'shu'yuan
翰林院,han'lin'yuan
航空署,hang'kong'shu
杭州织造,hang'zhou'zhi'zao
和安大夫,he'an'dai'fu
河泊所,he'bo'suo
河道总督,he'dao'zong'du
合罕,he'han
合吉,he'ji
和剂局,he'ji'ju
