鹌鹑包路,an'chun'bao'lu
镇中巷,zhen'zhong'xiang
珍珠路,zhen'zhu'lu
正大路,zheng'da'lu
织布街,zhi'bu'jie
致德里,zhi'de'li
致祥路,zhi'xiang'lu
中南路,zhong'nan'lu
中山路,zhong'shan'lu
中书街,zhong'shu'jie
中现里,zhong'xian'li
珠海路,zhu'hai'lu
朱家二巷,zhu'jia'er'xiang
朱家一巷,zhu'jia'yi'xiang
自立路,zi'li'lu
紫阳路,zi'yang'lu
