阿爸,a'ba
番茄,fan'qie
房内,fang'nei
粉豆,fen'dou
粉鸟,fen'niao
凤山,feng'shan
凤山广场,feng'shan'guang'chang
凤山妈祖,feng'shan'ma'zu
风时雨,feng'shi'yu
风台,feng'tai
风尾雷,feng'wei'lei
凤翔中学,feng'xiang'zhong'xue
风涌,feng'yong
父二母仔,fu'er'mu'zai
浮风,fu'feng
附中,fu'zhong
嘎嘎输,ga'ga'shu
钢笔水,gang'bi'shui
膏笔,gao'bi
搞错卖,gao'cuo'mai
搞错未,gao'cuo'wei
高第街,gao'di'jie
格尺,ge'chi
个镜,ge'jing
蛤婆,ge'po
个是炸尼,ge'shi'zha'ni
个元两粒,ge'yuan'liang'li
割粙,ge'zhou
割猪肉,ge'zhu'rou
梗着,geng'zhe
弓蕉,gong'jiao
工课,gong'ke
够旰,gou'gan
勾挂,gou'gua
够日,gou'ri
狗蚁,gou'yi
够月,gou'yue
寡年,gua'nian
瓜棚,gua'peng
拐脚,guai'jiao
怪浪,guai'lang
棺柴,guan'chai
官着,guan'zhe
鬼日,gui'ri
滚水,gun'shui
粿板,guo'ban
过年,guo'nian
过如,guo'ru
粿条,guo'tiao
粿条面,guo'tiao'mian
粿条汤,guo'tiao'tang
过纸,guo'zhi
粿汁,guo'zhi
海边街,hai'bian'jie
海滨街,hai'bin'jie
海城,hai'cheng
海丰,hai'feng
海风中学,hai'feng'zhong'xue
海港,hai'gang
海陆丰公学,hai'lu'feng'gong'xue
海陆丰市,hai'lu'feng'shi
海珍,hai'zhen
海珍酒楼,hai'zhen'jiu'lou
函盖弄欣,han'gai'nong'xin
颔领,han'ling
蠔粿,hao'guo
好静呕,hao'jing'ou
蚝烙,hao'lao
浩生,hao'sheng
浩生影,hao'sheng'ying
好头好脸,hao'tou'hao'lian
好仔,hao'zai
荷包岭,he'bao'ling
荷兰豆,he'lan'dou
荷兰薯,he'lan'shu
河田,he'tian
哼鼻,heng'bi
红草,hong'cao
红灯,hong'deng
红海湾,hong'hai'wan
红花,hong'hua
红柿,hong'shi
红十字,hong'shi'zi
鲘门,hou'men
后日,hou'ri
后生仔,hou'sheng'zai
后做照生,hou'zuo'zhao'sheng
户来咯,hu'lai'lo
胡溜,hu'liu
礐石轮渡,hu'shi'lun'du
胡蝇,hu'ying
划鼠,hua'shu
欢喜,huan'xi
黄金海岸,huang'jin'hai'an
灰匙,hui'chi
灰转头,hui'zhuan'tou
活头,huo'tou
鸡安,ji'an
鸡鸣寺,ji'ming'si
鸡母,ji'mu
鸡母里去浮,ji'mu'li'qu'fu
鸡母皮,ji'mu'pi
鸡母皮青浮,ji'mu'pi'qing'fu
激心,ji'xin
激血,ji'xue
鸡仔,ji'zai
济肿肚,ji'zhong'du
甲浪磅,jia'lang'bang
甲人甲人尚,jia'ren'jia'ren'shang
家私,jia'si
甲西,jia'xi
甲仔,jia'zai
甲子,jia'zi
建茶,jian'cha
艰苦,jian'ku
剪哩罗,jian'li'luo
肩头,jian'tou
铰布,jiao'bu
脚仓,jiao'cang
脚车,jiao'che
脚村,jiao'cun
脚村堵椅嘴堵奔,jiao'cun'du'yi'zui'du'ben
胶刀,jiao'dao
胶弟,jiao'di
胶弟人,jiao'di'ren
角瓜,jiao'gua
胶罗死,jiao'luo'si
胶扫,jiao'sao
脚头,jiao'tou
角头,jiao'tou
脚鲜,jiao'xian
脚鱼,jiao'yu
胶只,jiao'zhi
截菜,jie'cai
街路,jie'lu
捷胜,jie'sheng
捷胜蓝图,jie'sheng'lan'tu
捷胜中学,jie'sheng'zhong'xue
碣石,jie'shi
金龙,jin'long
今日,jin'ri
今夜,jin'ye
惊死,jing'si
经心事,jing'xin'shi
靖月,jing'yue
就船鱼,jiu'chuan'yu
旧年,jiu'nian
锯帕弦,ju'pa'xian
锯弦,ju'xian
卡好,ka'hao
开胸,kai'xiong
看想,kan'xiang
看医生,kan'yi'sheng
康课,kang'ke
空过水蚊,kong'guo'shui'wen
空过血,kong'guo'xue
空过只鸭,kong'guo'zhi'ya
口壶,kou'hu
裤脚,ku'jiao
裤橛,ku'jue
奎山,kui'shan
奎山小学,kui'shan'xiao'xue
啦蹼哩奥,la'pu'li'ao
朗底裤,lang'di'ku
浪面,lang'mian
浪险,lang'xian
老公,lao'gong
老经虫,lao'jing'chong
老妈,lao'ma
老嬷,lao'mo
老热,lao're
乐酷,le'ku
乐毛,le'mao
雷公,lei'gong
礼拜日,li'bai'ri
笠过三弦,li'guo'san'xian
力落,li'luo
粒球,li'qiu
里去,li'qu
莲果,lian'guo
莲花,lian'hua
莲花山,lian'hua'shan
联兴街,lian'xing'jie
凉水,liang'shui
林埠,lin'bu
林檎,lin'qin
啉食酒,lin'shi'jiu
林伟华,lin'wei'hua
林伟华小学,lin'wei'hua'xiao'xue
林伟华中学,lin'wei'hua'zhong'xue
领被,ling'bei
灵精昵纳,ling'jing'ni'na
领姨个肚,ling'yi'ge'du
流鼻,liu'bi
漏屎,lou'shi
漏仔,lou'zai
陆丰,lu'feng
陆河,lu'he
路铃中,lu'ling'zhong
卤蛴,lu'qi
路仔,lu'zai
掠鱼,lue'yu
落班,luo'ban
落户,luo'hu
落户摆猪肚,luo'hu'bai'zhu'du
罗离,luo'li
落聘,luo'pin
落神婆,luo'shen'po
落霜,luo'shuang
落堂,luo'tang
落雪,luo'xue
落雨,luo'yu
落种,luo'zhong
马宫,ma'gong
嘛日,ma'ri
马思聪,ma'si'cong
嘛早,ma'zao
埋担,mai'dan
埋担这个,mai'dan'zhe'ge
迈去讲,mai'qu'jiang
卖史直,mai'shi'zhi
买咸,mai'xian
没哩,mei'li
梅陇,mei'long
没呐,mei'na
媒人,mei'ren
门第,men'di
门枪,men'qiang
门扇后,men'shan'hou
门早,men'zao
米萝,mi'luo
面布,mian'bu
眠床,mian'chuang
面个,mian'ge
面盆,mian'pen
眠起早,mian'qi'zao
眠起早顿,mian'qi'zao'dun
棉裘,mian'qiu
棉嘴边,mian'zui'bian
暝昏,ming'hun
暝日,ming'ri
墨斗,mo'dou
木工,mu'gong
目眉,mu'mei
目眯眯,mu'mi'mi
木棉,mu'mian
亩仔,mu'zai
木仔,mu'zai
那不动积,na'bu'dong'ji
奶瓜,nai'gua
孬看死,nao'kan'si
内衫,nei'shan
你爱做尼啊,ni'ai'zuo'ni'a
泥尔,ni'er
你裸讲笑,ni'luo'jiang'xiao
你裸做面个,ni'luo'zuo'mian'ge
你是爱做尼直啊,ni'shi'ai'zuo'ni'zhi'a
年脚,nian'jiao
廿九夜,nian'jiu'ye
年头,nian'tou
年尾,nian'wei
鸟铳,niao'chong
鸟叻,niao'le
凝天时,ning'tian'shi
牛肉粿条,niu'rou'guo'tiao
弄总,nong'zong
奴仔,nu'zai
啪拳头,pa'quan'tou
爬三领四,pa'san'ling'si
排年,pai'nian
拍死无相干,pai'si'wu'xiang'gan
拍粟,pai'su
拍铁,pai'tie
拍雾,pai'wu
彭湃,peng'pai
彭湃市,peng'pai'shi
彭湃中学,peng'pai'zhong'xue
偏枯,pian'ku
平担,ping'dan
平平样,ping'ping'yang
破家仔,po'jia'zai
铺路,pu'lu
埔尾,pu'wei
起厝,qi'cuo
妻舅,qi'jiu
乞食,qi'shi
岂是,qi'shi
妻姨,qi'yi
七月十五,qi'yue'shi'wu
钱葱,qian'cong
钱龙,qian'long
钱无人傻,qian'wu'ren'sha
钱无人傻行路倒退,qian'wu'ren'sha'xing'lu'dao'tui
挈定,qie'ding
青菜,qing'cai
请人,qing'ren
青夜,qing'ye
秋瓜,qiu'gua
求葡萄,qiu'pu'tao
秋天时,qiu'tian'shi
去读书,qu'du'shu
曲毛,qu'mao
娶牡,qu'mu
缺个,que'ge
瘸脚杖手,que'jiao'zhang'shou
热毒天时,re'du'tian'shi
热天时,re'tian'shi
人孬,ren'nao
仁荣中学,ren'rong'zhong'xue
日猛,ri'meng
日昼,ri'zhou
日昼顿,ri'zhou'dun
日昼后,ri'zhou'hou
肉脚尖,rou'jiao'jian
肉圆,rou'yuan
三甲,san'jia
散讲,san'jiang
三马路,san'ma'lu
扫帚星,sao'zhou'xing
傻风,sha'feng
沙母猴,sha'mu'hou
沙虾,sha'xia
杀仔,sha'zai
晒棚,shai'peng
衫袋,shan'dai
山顶,shan'ding
山东梨,shan'dong'li
山空,shan'kong
衫裤,shan'ku
汕尾碧桂园,shan'wei'bi'gui'yuan
汕尾超级群,shan'wei'chao'ji'qun
汕尾电大,shan'wei'dian'da
汕尾二胡自己顾自己,shan'wei'er'hu'zi'ji'gu'zi'ji
汕尾腾龙,shan'wei'teng'long
汕尾邮编群,shan'wei'you'bian'qun
汕尾职院,shan'wei'zhi'yuan
汕尾中学,shan'wei'zhong'xue
上堂,shang'tang
上语文,shang'yu'wen
烧好,shao'hao
烧可丝,shao'ke'si
烧骂,shao'ma
烧啪,shao'pa
烧透,shao'tou
身底衫,shen'di'shan
身顶,shen'ding
身肝头,shen'gan'tou
生鸡目,sheng'ji'mu
生目针,sheng'mu'zhen
生奴仔,sheng'nu'zai
生调,sheng'tiao
石部,shi'bu
食茶,shi'cha
食饭,shi'fan
石狗卵,shi'gou'luan
食教,shi'jiao
食凉水,shi'liang'shui
石米,shi'mi
虱母,shi'mu
时史,shi'shi
十外,shi'wai
是乡些,shi'xiang'xie
食药,shi'yao
石仔,shi'zai
食桌,shi'zhuo
手布,shou'bu
手底,shou'di
收冬,shou'dong
手环,shou'huan
书册,shu'ce
叔恶,shu'e
蜀日,shu'ri
蜀夜,shu'ye
衰仔,shuai'zi
税厝,shui'cuo
水弟,shui'di
水鸡,shui'ji
水可,shui'ke
水生,shui'sheng
水鞋,shui'xie
饲鸡,si'ji
四马路,si'ma'lu
四散,si'san
四散讲,si'san'jiang
饲鸭,si'ya
四直,si'zhi
饲猪,si'zhu
苏南卤鹅,su'nan'lu'e
穗香,sui'xiang
碎纸,sui'zhi
踏车,ta'che
抬哥佬,tai'ge'lao
糖葱薄饼,tang'cong'bao'bing
踢桃,ti'tao
剃头铺,ti'tou'pu
天顶,tian'ding
天光光,tian'guang'guang
甜粿,tian'guo
田料,tian'liao
天时,tian'shi
天时好,tian'shi'hao
田洋中,tian'yang'zhong
条题,tiao'ti
铜啊,tong'a
通港路,tong'gang'lu
通航路,tong'hang'lu
同门,tong'men
偷放尿,tou'fang'niao
透风,tou'feng
头家,tou'jia
头毛,tou'mao
头早,tou'zao
偷走书,tou'zou'shu
涂膏糜,tu'gao'mi
吐屎吐血,tu'shi'tu'xie
涂下,tu'xia
退货,tui'huo
瓦爱啊,wa'ai'a
瓦老你,wa'lao'ni
瓦住是,wa'zhu'shi
外衫,wai'shan
歪嘴裂目,wai'zui'lie'mu
挽草,wan'cao
碗橱,wan'chu
万盛,wan'sheng
万盛超市,wan'sheng'chao'shi
网光,wang'guang
微波楼,wei'bo'lou
畏凊,wei'qing
尾鱼,wei'yu
文昌中学,wen'chang'zhong'xue
沃水,wo'shui
沃雨,wo'yu
乌暗天,wu'an'tian
无变,wu'bian
勿除死人哪,wu'chu'si'ren'na
唔大浪事,wu'da'lang'shi
唔大事,wu'da'shi
唔颠对,wu'dian'dui
唔对头,wu'dui'tou
无法无着,wu'fa'wu'zhuo
勿好莫,wu'hao'mo
唔见,wu'jian
无哩歇,wu'li'xie
乌楼,wu'lou
五马路,wu'ma'lu
乌嘛时史,wu'ma'shi'shi
无乜个,wu'mie'ge
无目,wu'mu
无亩无仔,wu'mu'wu'zai
无你个变,wu'ni'ge'bian
物你叫唔敢,wu'ni'jiao'wu'gan
无日,wu'ri
午时花,wu'shi'hua
五十米,wu'shi'mi
五十米大道,wu'shi'mi'da'dao
乌天息暗,wu'tian'xi'an
乌洋咯,wu'yang'ge
无伊个变,wu'yi'ge'bian
无影浪迹,wu'ying'lang'ji
五月节,wu'yue'jie
无熨无帐,wu'yun'wu'zhang
唔知,wu'zhi
兮哺撒呐,xi'bu'sa'na
溪底,xi'di
喜顶,xi'ding
喜个,xi'ge
喜个时史,xi'ge'shi'shi
喜个型,xi'ge'xing
西门,xi'men
溪水,xi'shui
喜天时,xi'tian'shi
西鱼市,xi'yu'shi
细月,xi'yue
溪仔,xi'zai
喜珍时,xi'zhen'shi
下旰,xia'gan
下脚,xia'jiao
下洋,xia'yang
先摆,xian'bai
弦搭晤着咳,xian'da'wu'zhe'ke
显仔,xian'zai
响雷,xiang'lei
乡里,xiang'li
像烧,xiang'shao
巷仔,xiang'zai
小狗,xiao'gou
鞋底,xie'di
鞋拖,xie'tuo
鞋晓,xie'xiao
协兴,xie'xing
协兴广场,xie'xing'guang'chang
写字床,xie'zi'chuang
信诚,xin'cheng
信诚超市,xin'cheng'chao'shi
新城街,xin'cheng'jie
新城路,xin'cheng'lu
新城中学,xin'cheng'zhong'xue
新妇,xin'fu
信利,xin'li
信利超市,xin'li'chao'shi
新人,xin'ren
新人爹,xin'ren'die
醒姆,xing'mu
许个物,xu'ge'wu
许头,xu'tou
穴成,xue'cheng
穴成有瘾,xue'cheng'you'yin
穴迦,xue'jia
薰鬼,xun'gui
鸭母捻,ya'mu'nian
哑仔,ya'zai
央了,yang'le
杨桃,yang'tao
腰龟,yao'gui
腰龟倪鳍,yao'gui'ni'qi
摇头伴耳,yao'tou'ban'er
夜昏顿,ye'hun'dun
一点钟,yi'dian'zhong
一个字,yi'ge'zi
逸辉,yi'hui
一回照大支,yi'hui'zhao'da'zhi
椅头,yi'tou
应肥,ying'fei
永昌市场,yong'chang'shi'chang
有变,you'bian
有变咯无,you'bian'ge'wu
油柑椒莱,you'gan'jiao'lai
有架势,you'jia'shi
油麻,you'ma
有冇搞错,you'mao'gao'cuo
有面个冬瓜豆腐,you'mian'ge'dong'gua'dou'fu
有咩搞,you'mie'gao
有咩事,you'mie'shi
有排,you'pai
有声无影,you'sheng'wu'ying
有限,you'xian
有心,you'xin
有心冇神,you'xin'mao'shen
有心无神,you'xin'wu'shen
有行,you'xing
有型有款,you'xing'you'kuan
有血性,you'xue'xing
有嘢睇,you'ye'di
有影,you'ying
有影无,you'ying'wu
有影无声,you'ying'wu'sheng
有影有只,you'ying'you'zhi
有仔,you'zai
油炸粿,you'zha'guo
鱼春,yu'chun
浴房,yu'fang
雨淋头倒,yu'lin'tou'dao
雨微,yu'wei
雨歇,yu'xie
雨仔,yu'zai
鱼栽,yu'zai
雨仔送送,yu'zai'song'song
雨遮,yu'zhe
冤家,yuan'jia
园林,yuan'lin
园林东街,yuan'lin'dong'jie
园林西街,yuan'lin'xi'jie
冤屈死人,yuan'qu'si'ren
月光,yue'guang
月里,yue'li
月另中,yue'ling'zhong
月娘,yue'niang
月头,yue'tou
月尾,yue'wei
云海寺,yun'hai'si
仔婿,zai'xu
灶布,zao'bu
灶下,zao'xia
早粙,zao'zhou
贼仔,zei'zai
渣眠起,zha'mian'qi
炸尼,zha'ni
炸尼直啊,zha'ni'zhi'a
渣日,zha'ri
张到有影有迹,zhang'dao'you'ying'you'ji
丈姆,zhang'mu
丈人,zhang'ren
照尼讲,zhao'ni'jiang
着久,zhe'jiu
遮浪,zhe'lang
镇中,zhen'zhong
正十,zheng'shi
正手边,zheng'shou'bian
只陈,zhi'chen
支灯,zhi'deng
只飞机,zhi'fei'ji
只个,zhi'ge
只狗,zhi'gou
之娘,zhi'niang
之娘仔,zhi'niang'zai
只仔,zhi'zai
只阵,zhi'zhen
职中,zhi'zhong
纸字,zhi'zi
肿肚,zhong'du
猪电,zhu'dian
猪个,zhu'ge
猪头肥,zhu'tou'fei
竹蔗,zhu'zhe
专爱,zhuan'ai
缀钮,zhui'niu
姿娘,zi'niang
总草,zong'cao
粽球,zong'qiu
走仔,zou'zai
嘴阔阔,zui'kuo'kuo
做大水,zuo'da'shui
做公德,zuo'gong'de
做忌,zuo'ji
做节,zuo'jie
做面个,zuo'mian'ge
做呢,zuo'ne
做尼,zuo'ni
做人咯,zuo'ren'ge
做生理,zuo'sheng'li
