阿法地区,a'fa'di'qu
场地平整,chang'di'ping'zheng
场地清理,chang'di'qing'li
场地土,chang'di'tu
场地硬化,chang'di'ying'hua
长杆贯入仪,chang'gan'guan'ru'yi
长跨,chang'kua
长链,chang'lian
长石,chang'shi
长水准管,chang'shui'zhun'guan
长细比,chang'xi'bi
超爆,chao'bao
超标,chao'biao
超长,chao'chang
超长结构,chao'chang'jie'gou
超车车道,chao'che'che'dao
超车道,chao'che'dao
超车视距,chao'che'shi'ju
超二级,chao'er'ji
超二级公路,chao'er'ji'gong'lu
超高,chao'gao
超高缓和段,chao'gao'huan'he'duan
超高值,chao'gao'zhi
超筋,chao'jin
超筋超限,chao'jin'chao'xian
超筋梁,chao'jin'liang
超静定,chao'jing'ding
超静定结构,chao'jing'ding'jie'gou
超密,chao'mi
抄平,chao'ping
超前导坑,chao'qian'dao'keng
超前支护,chao'qian'zhi'hu
超声回弹法,chao'sheng'hui'dan'fa
超声回弹,chao'sheng'hui'tan
超声检测,chao'sheng'jian'ce
潮湿,chao'shi
超挖,chao'wa
超限,chao'xian
超一级,chao'yi'ji
超一级公路,chao'yi'ji'gong'lu
超载,chao'zai
超载预压,chao'zai'yu'ya
撤场,che'chang
车道,che'dao
车道宽度,che'dao'kuan'du
车道线,che'dao'xian
车间净距,che'jian'jing'ju
车距确认,che'ju'que'ren
撤离工作场所,che'li'gong'zuo'chang'suo
车辆间净距,che'liang'jian'jing'ju
车辆运输安全,che'liang'yun'shu'an'quan
车流,che'liu
扯皮,che'pi
车头时距,che'tou'shi'ju
车务段,che'wu'duan
车行道,che'xing'dao
车辙,che'zhe
车辙试验,che'zhe'shi'yan
车辙仪,che'zhe'yi
沉淀池,chen'dian'chi
沉淀厚度,chen'dian'hou'du
沉淀土,chen'dian'tu
沉淀土厚度,chen'dian'tu'hou'du
沉管,chen'guan
沉管法,chen'guan'fa
沉管灌注桩,chen'guan'guan'zhu'zhuang
沉管灌注桩基础,chen'guan'guan'zhu'zhuang'ji'chu
沉降,chen'jiang
沉降标,chen'jiang'biao
沉降差,chen'jiang'cha
沉降点,chen'jiang'dian
沉降缝,chen'jiang'feng
沉降观测,chen'jiang'guan'ce
沉降观测标,chen'jiang'guan'ce'biao
沉降观测点,chen'jiang'guan'ce'dian
沉降速率,chen'jiang'su'lv
沉降值,chen'jiang'zhi
沉井,chen'jing
沉井基础,chen'jing'ji'chu
沉埋法,chen'mai'fa
衬砌,chen'qi
衬砌拱,chen'qi'gong
衬砌混凝土,chen'qi'hun'ning'tu
沉沙池,chen'sha'chi
沉砂池,chen'sha'chi
沉陷,chen'xian
沉箱,chen'xiang
沉渣,chen'zha
沉渣厚度,chen'zha'hou'du
沉桩,chen'zhuang
承包,cheng'bao
承包方,cheng'bao'fang
承包人承担,cheng'bao'ren'cheng'dan
承包商,cheng'bao'shang
承包商承担,cheng'bao'shang'cheng'dan
成本测算,cheng'ben'ce'suan
成本分析,cheng'ben'fen'xi
成本核算,cheng'ben'he'suan
成本预测,cheng'ben'yu'ce
承插管,cheng'cha'guan
承担责任,cheng'dan'ze'ren
成都绕城高速,cheng'du'rao'cheng'gao'su
成果表,cheng'guo'biao
成孔,cheng'kong
成孔方法,cheng'kong'fang'fa
成孔工艺,cheng'kong'gong'yi
承口,cheng'kou
城市次干路,cheng'shi'ci'gan'lu
城市道路,cheng'shi'dao'lu
城市道路标线,cheng'shi'dao'lu'biao'xian
城市道路面积率,cheng'shi'dao'lu'mian'ji'lv
城市快速路,cheng'shi'kuai'su'lu
城市人均道路面积,cheng'shi'ren'jun'dao'lu'mian'ji
城市污水,cheng'shi'wu'shui
城市灾害救援,cheng'shi'zai'hai'jiu'yuan
城市噪声,cheng'shi'zao'sheng
城市支路,cheng'shi'zhi'lu
城市主干路,cheng'shi'zhu'gan'lu
承台,cheng'tai
承托层,cheng'tuo'ceng
城乡清洁,cheng'xiang'qing'jie
成型,cheng'xing
成渝,cheng'yu
承载,cheng'zai
承载板,cheng'zai'ban
承载板试验,cheng'zai'ban'shi'yan
承载比,cheng'zai'bi
承载力,cheng'zai'li
承载力设计值,cheng'zai'li'she'ji'zhi
承载能力,cheng'zai'neng'li
承重,cheng'zhong
承重层,cheng'zhong'ceng
成桩,cheng'zhuang
成桩工艺,cheng'zhuang'gong'yi
承租,cheng'zu
承租方,cheng'zu'fang
承租人,cheng'zu'ren
齿板,chi'ban
尺寸偏差,chi'cun'pian'cha
尺寸线,chi'cun'xian
持荷,chi'he
持荷时间,chi'he'shi'jian
持力层,chi'li'ceng
齿轮油,chi'lun'you
齿圈,chi'quan
持续改进,chi'xu'gai'jin
持证上岗,chi'zheng'shang'gang
冲沟,chong'gou
冲击,chong'ji
冲积土,chong'ji'tu
冲击系数,chong'ji'xi'shu
冲击钻,chong'ji'zuan
冲孔,chong'kong
冲切,chong'qie
冲切破坏,chong'qie'po'huai
冲蚀,chong'shi
冲刷,chong'shua
冲刷系数,chong'shua'xi'shu
重塑,chong'su
冲突点,chong'tu'dian
冲洗强度,chong'xi'qiang'du
冲压,chong'ya
稠度,chou'du
稠度界限,chou'du'jie'xian
抽检,chou'jian
抽提,chou'ti
抽提仪,chou'ti'yi
抽渣,chou'zha
初步勘察,chu'bu'kan'cha
初步设计,chu'bu'she'ji
初步设计概算,chu'bu'she'ji'gai'suan
初步设计文件,chu'bu'she'ji'wen'jian
初步设计文件审查,chu'bu'she'ji'wen'jian'shen'cha
初测,chu'ce
初检,chu'jian
出境交通,chu'jing'jiao'tong
初勘,chu'kan
畜力车道,chu'li'che'dao
处理裂缝,chu'li'lie'feng
出料,chu'liao
初凝,chu'ning
初凝时间,chu'ning'shi'jian
出盘,chu'pan
出气孔,chu'qi'kong
初期支护,chu'qi'zhi'hu
出勤,chu'qin
出勤率,chu'qin'lv
初设,chu'she
初始压力,chu'shi'ya'li
出水口,chu'shui'kou
除水器,chu'shui'qi
触探,chu'tan
触探试验,chu'tan'shi'yan
初填,chu'tian
初挖,chu'wa
出行,chu'xing
除锈,chu'xiu
除雪机,chu'xue'ji
初压,chu'ya
除渣,chu'zha
出渣,chu'zha
出租方,chu'zu'fang
出租人,chu'zu'ren
传递荷载,chuan'di'he'zai
传动,chuan'dong
传动螺丝,chuan'dong'luo'si
传动油,chuan'dong'you
传动轴,chuan'dong'zhou
串岗作业,chuan'gang'zuo'ye
穿管,chuan'guan
传力杆,chuan'li'gan
传力杆插入装置,chuan'li'gan'cha'ru'zhuang'zhi
穿束,chuan'shu
传送带,chuan'song'dai
串桶,chuan'tong
垂距,chui'ju
垂球,chui'qiu
锤头,chui'tou
垂直度,chui'zhi'du
垂直角,chui'zhi'jiao
垂直静荷载,chui'zhi'jing'he'zai
垂直静荷载试验,chui'zhi'jing'he'zai'shi'yan
垂直向固结系数,chui'zhi'xiang'gu'jie'xi'shu
锤子,chui'zi
纯受弯,chun'shou'wan
磁方位角,ci'fang'wei'jiao
伺服阻尼,ci'fu'zu'ni
次干路,ci'gan'lu
次高级路面,ci'gao'ji'lu'mian
次坚石,ci'jian'shi
磁偏角,ci'pian'jiao
刺丝,ci'si
刺铁丝,ci'tie'si
磁子午线,ci'zi'wu'xian
粗集料,cu'ji'liao
粗粒,cu'li
粗粒式,cu'li'shi
粗粒式土,cu'li'shi'tu
粗粒土,cu'li'tu
粗料石,cu'liao'shi
促凝剂,cu'ning'ji
粗平,cu'ping
粗砂,cu'sha
粗琢石,cu'zhuo'shi
窜岗,cuan'gang
窜岗作业,cuan'gang'zuo'ye
存水弯,cun'shui'wan
搓板,cuo'ban
错层,cuo'ceng
错车,cuo'che
错车道,cuo'che'dao
错开布置,cuo'kai'bu'zhi
错台,cuo'tai
错位,cuo'wei
错位交叉,cuo'wei'jiao'cha
打摆子,da'bai'zi
搭板,da'ban
大车,da'che
大地方位角,da'di'fang'wei'jiao
大底盘,da'di'pan
大地四边形,da'di'si'bian'xing
大地坐标,da'di'zuo'biao
大地坐标系,da'di'zuo'biao'xi
打滑,da'hua
打灰,da'hui
搭接,da'jie
搭接长度,da'jie'chang'du
大梁,da'liang
大偏拉,da'pian'la
大偏心,da'pian'xin
大偏压,da'pian'ya
大气改正,da'qi'gai'zheng
大气折光,da'qi'zhe'guang
大桥,da'qiao
打入桩,da'ru'zhuang
搭设临时便桥,da'she'lin'shi'bian'qiao
打台阶,da'tai'jie
大修,da'xiu
大样,da'yang
大样图,da'yang'tu
大应变,da'ying'bian
大于等于,da'yu'deng'yu
打桩,da'zhuang
打桩机,da'zhuang'ji
代表值,dai'biao'zhi
代工,dai'gong
待工,dai'gong
怠工,dai'gong
带肋,dai'lei
带肋钢筋,dai'lei'gang'jin
代理费,dai'li'fei
带枪警卫,dai'qiang'jing'wei
带式输送机安全规范,dai'shi'shu'song'ji'an'quan'gui'fan
袋装砂井,dai'zhuang'sha'jing
单班,dan'ban
单边合同,dan'bian'he'tong
单齿,dan'chi
单齿松动器,dan'chi'song'dong'qi
单代号,dan'dai'hao
单代号网络图,dan'dai'hao'wang'luo'tu
单独计量,dan'du'ji'liang
单级配,dan'ji'pei
单棱镜,dan'leng'jing
单面焊,dan'mian'han
单面坡,dan'mian'po
单面新泽西,dan'mian'xin'ze'xi
单实线,dan'shi'xian
单位工程,dan'wei'gong'cheng
单向,dan'xiang
单向板,dan'xiang'ban
单项工程,dan'xiang'gong'cheng
单向横坡,dan'xiang'heng'po
单向活动,dan'xiang'huo'dong
单向活动支座,dan'xiang'huo'dong'zhi'zuo
单向坡,dan'xiang'po
单向坡度,dan'xiang'po'du
单向推力墩,dan'xiang'tui'li'dun
单向匝道,dan'xiang'za'dao
单虚线,dan'xu'xian
单元划分,dan'yuan'hua'fen
单轴抗压强度,dan'zhou'kang'ya'qiang'du
挡板,dang'ban
挡车堆,dang'che'dui
当地币,dang'di'bi
当地雇员,dang'di'gu'yuan
当地员工,dang'di'yuan'gong
挡泥板,dang'ni'ban
挡墙,dang'qiang
挡热墙,dang're'qiang
挡土墙,dang'tu'qiang
当务之急,dang'wu'zhi'ji
宕渣,dang'zha
导爆管,dao'bao'guan
刀锉,dao'cuo
导洞,dao'dong
导风板,dao'feng'ban
导管,dao'guan
导管拆除,dao'guan'chai'chu
导管接头,dao'guan'jie'tou
导管进水,dao'guan'jin'shui
导管埋深,dao'guan'mai'shen
导航电文,dao'hang'dian'wen
导荷载,dao'he'zai
倒虹吸,dao'hong'xi
倒虹吸管,dao'hong'xi'guan
倒虹吸管涵,dao'hong'xi'guan'han
倒角,dao'jiao
倒镜,dao'jing
道口,dao'kou
道口铺面,dao'kou'pu'mian
道口限界架,dao'kou'xian'jie'jia
倒链,dao'lian
导链,dao'lian
倒料,dao'liao
导流岛,dao'liu'dao
导流堤,dao'liu'di
导流线,dao'liu'xian
道路,dao'lu
道路标线,dao'lu'biao'xian
道路标志,dao'lu'biao'zhi
道路服务设施,dao'lu'fu'wu'she'shi
道路服务水平,dao'lu'fu'wu'shui'ping
道路工程,dao'lu'gong'cheng
道路工程师,dao'lu'gong'cheng'shi
道路环境,dao'lu'huan'jing
道路技术标准,dao'lu'ji'shu'biao'zhun
道路建筑限界,dao'lu'jian'zhu'xian'jie
道路交叉,dao'lu'jiao'cha
道路交通安全,dao'lu'jiao'tong'an'quan
道路交通标线,dao'lu'jiao'tong'biao'xian
道路交通标志,dao'lu'jiao'tong'biao'zhi
道路交通规划,dao'lu'jiao'tong'gui'hua
道路交通事故,dao'lu'jiao'tong'shi'gu
道路景观,dao'lu'jing'guan
道路景观设计,dao'lu'jing'guan'she'ji
道路路线,dao'lu'lu'xian
道路绿化,dao'lu'lv'hua
道路美化设施,dao'lu'mei'hua'she'shi
道路密度,dao'lu'mi'du
道路面积率,dao'lu'mian'ji'lv
道路桥梁,dao'lu'qiao'liang
道路设施,dao'lu'she'shi
道路石油沥青,dao'lu'shi'you'li'qing
道路网,dao'lu'wang
道路网规划,dao'lu'wang'gui'hua
道路网密度,dao'lu'wang'mi'du
道路限界架,dao'lu'xian'jie'jia
道路线形,dao'lu'xian'xing
道路硬化,dao'lu'ying'hua
道路诱导设施,dao'lu'you'dao'she'shi
道路与桥梁,dao'lu'yu'qiao'liang
道路照明设施,dao'lu'zhao'ming'she'shi
道路中线,dao'lu'zhong'xian
道路轴线,dao'lu'zhou'xian
导墙,dao'qiang
导热油,dao're'you
导沙板,dao'sha'ban
导沙墙,dao'sha'qiang
倒塌,dao'ta
导线,dao'xian
导线边,dao'xian'bian
导线测量,dao'xian'ce'liang
导线点,dao'xian'dian
