安静点,an'jing'dian
不回了,bu'hui'le
不会吗,bu'hui'ma
不会哦,bu'hui'o
不回去了,bu'hui'qu'le
不会是真的吧,bu'hui'shi'zhen'de'ba
不会呀,bu'hui'ya
不记得了,bu'ji'de'le
不记得了吗,bu'ji'de'le'ma
不记前嫌,bu'ji'qian'xian
不见不散,bu'jian'bu'san
不见得,bu'jian'de
不见得呢,bu'jian'de'ne
不接啊,bu'jie'a
不接了,bu'jie'le
不看了,bu'kan'le
不可能,bu'ke'neng
不可能啊,bu'ke'neng'a
不可能吧,bu'ke'neng'ba
不客气,bu'ke'qi
不可以啊,bu'ke'yi'a
不可以的,bu'ke'yi'de
不可以吗,bu'ke'yi'ma
不可以呀,bu'ke'yi'ya
不啦,bu'la
不来了,bu'lai'le
不赖喔,bu'lai'wo
不劳无获,bu'lao'wu'huo
不了啊,bu'le'a
不累啊,bu'lei'a
不冷了,bu'leng'le
不理你,bu'li'ni
不理你了,bu'li'ni'le
不理我啊,bu'li'wo'a
不理我了,bu'li'wo'le
不忙啊,bu'mang'a
不忙了,bu'mang'le
不忙呀,bu'mang'ya
不明白,bu'ming'bai
不明白啊,bu'ming'bai'a
不难吃,bu'nan'chi
不能啊,bu'neng'a
不能吧,bu'neng'ba
不哦,bu'o
不怕啊,bu'pa'a
不怕不怕,bu'pa'bu'pa
不骗你,bu'pian'ni
不气,bu'qi
不清楚,bu'qing'chu
不清楚啊,bu'qing'chu'a
不去啊,bu'qu'a
不去了,bu'qu'le
不确定,bu'que'ding
不让看,bu'rang'kan
不惹你,bu're'ni
不认识啊,bu'ren'shi'a
不认识吧,bu'ren'shi'ba
不认识了,bu'ren'shi'le
不认识了吗,bu'ren'shi'le'ma
不认识吗,bu'ren'shi'ma
不认识你,bu'ren'shi'ni
不认识我了,bu'ren'shi'wo'le
不认识我了吗,bu'ren'shi'wo'le'ma
不认识呀,bu'ren'shi'ya
不容易啊,bu'rong'yi'a
不上啊,bu'shang'a
不上班,bu'shang'ban
不上班啊,bu'shang'ban'a
不上班吗,bu'shang'ban'ma
不上道,bu'shang'dao
不上了,bu'shang'le
不生气,bu'sheng'qi
不是吧你,bu'shi'ba'ni
不是本人啊,bu'shi'ben'ren'a
不是的啊,bu'shi'de'a
不是的吧,bu'shi'de'ba
不是的呀,bu'shi'de'ya
不是哈,bu'shi'ha
不是很好,bu'shi'hen'hao
不是很忙,bu'shi'hen'mang
不是很清楚,bu'shi'hen'qing'chu
不是啦,bu'shi'la
布什立即声明,bu'shi'li'ji'sheng'ming
不是么,bu'shi'me
不是哦,bu'shi'o
不是什么啊,bu'shi'shen'me'a
不是说了吗,bu'shi'shuo'le'ma
不识抬举,bu'shi'tai'ju
不是我啊,bu'shi'wo'a
不是我的,bu'shi'wo'de
不是呀,bu'shi'ya
不是这个,bu'shi'zhe'ge
不是这个意思,bu'shi'zhe'ge'yi'si
不说啊,bu'shuo'a
不说话啊,bu'shuo'hua'a
不说话了,bu'shuo'hua'le
不说就算了,bu'shuo'jiu'suan'le
不说啦,bu'shuo'la
不说拉倒,bu'shuo'la'dao
不说了啊,bu'shuo'le'a
不说这个了,bu'shuo'zhe'ge'le
不说这些了,bu'shuo'zhe'xie'le
不太清楚,bu'tai'qing'chu
不提了,bu'ti'le
不退了,bu'tui'le
不为什么,bu'wei'shen'me
不为什么啊,bu'wei'shen'me'a
不想吃,bu'xiang'chi
不想出去,bu'xiang'chu'qu
不想回家,bu'xiang'hui'jia
不想接,bu'xiang'jie
不想去,bu'xiang'qu
不想去啊,bu'xiang'qu'a
不想上,bu'xiang'shang
不想说,bu'xiang'shuo
不想说话,bu'xiang'shuo'hua
不想说了,bu'xiang'shuo'le
不想玩,bu'xiang'wan
不想玩了,bu'xiang'wan'le
不相信啊,bu'xiang'xin'a
不相信吗,bu'xiang'xin'ma
不想再错过,bu'xiang'zai'cuo'guo
不想再说了,bu'xiang'zai'shuo'le
不想再这样子,bu'xiang'zai'zhe'yang'zi
不晓得啊,bu'xiao'de'a
不小了,bu'xiao'le
不信啊,bu'xin'a
不信拉倒,bu'xin'la'dao
不信吗,bu'xin'ma
不信算了,bu'xin'suan'le
不行,bu'xing
不行啊,bu'xing'a
不行吗,bu'xing'ma
不行哦,bu'xing'o
不行呀,bu'xing'ya
不许动,bu'xu'dong
不许碰,bu'xu'peng
不呀,bu'ya
不要啊,bu'yao'a
不要吧,bu'yao'ba
不要变了,bu'yao'bian'le
不要发了,bu'yao'fa'le
不要后悔我说真的,bu'yao'hou'hui'wo'shuo'zhen'de
不要紧,bu'yao'jin
不要惊慌失措,bu'yao'jing'huang'shi'cuo
不要看了,bu'yao'kan'le
不要啦,bu'yao'la
不要脸的人,bu'yao'lian'de'ren
不要吗,bu'yao'ma
不要捏造事实,bu'yao'nie'zao'shi'shi
不要碰运气,bu'yao'peng'yun'qi
不要生气啊,bu'yao'sheng'qi'a
不要说了,bu'yao'shuo'le
不要退了,bu'yao'tui'le
不要呀,bu'yao'ya
不要这样,bu'yao'zhe'yang
不要这样啊,bu'yao'zhe'yang'a
不要这样嘛,bu'yao'zhe'yang'ma
不要这样说,bu'yao'zhe'yang'shuo
不要这样行吗,bu'yao'zhe'yang'xing'ma
不要这样子好不好,bu'yao'zhe'yang'zi'hao'bu'hao
不一定,bu'yi'ding
不一定啊,bu'yi'ding'a
不一定的,bu'yi'ding'de
不一定这样子啊,bu'yi'ding'zhe'yang'zi'a
不一样啊,bu'yi'yang'a
不用啊,bu'yong'a
不用吧,bu'yong'ba
不用客气,bu'yong'ke'qi
不用啦,bu'yong'la
不用了吧,bu'yong'le'ba
不用上班啊,bu'yong'shang'ban'a
不用上班吗,bu'yong'shang'ban'ma
不用提收,bu'yong'ti'shou
不远啊,bu'yuan'a
不在吗,bu'zai'ma
不再想了,bu'zai'xiang'le
不在呀,bu'zai'ya
不早说,bu'zao'shuo
不怎么啊,bu'zen'me'a
不怎么好,bu'zen'me'hao
不怎么样啊,bu'zen'me'yang'a
不知啊,bu'zhi'a
不知道啊,bu'zhi'dao'a
不知道了,bu'zhi'dao'le
不知道呢,bu'zhi'dao'ne
不知道哦,bu'zhi'dao'o
不知道说什么,bu'zhi'dao'shuo'shen'me
不知道算了,bu'zhi'dao'suan'le
不知道为什么,bu'zhi'dao'wei'shen'me
不知道呀,bu'zhi'dao'ya
不知道耶,bu'zhi'dao'ye
不知道怎么回事,bu'zhi'dao'zen'me'hui'shi
不知道怎么了,bu'zhi'dao'zen'me'le
不知道怎么说,bu'zhi'dao'zen'me'shuo
不至于吧,bu'zhi'yu'ba
不准偷看,bu'zhun'tou'kan
不做了,bu'zuo'le
才不呢,cai'bu'ne
才不是呢,cai'bu'shi'ne
猜猜看,cai'cai'kan
才怪,cai'guai
才怪呢,cai'guai'ne
才来啊,cai'lai'a
彩色的画面,cai'se'de'hua'mian
才知道啊,cai'zhi'dao'a
参加的活动,can'jia'de'huo'dong
差不多啊,cha'bu'duo'a
差不多吧,cha'bu'duo'ba
差不多啦,cha'bu'duo'la
差不多了,cha'bu'duo'le
查查看,cha'cha'kan
长话短说,chang'hua'duan'shuo
常有的事,chang'you'de'shi
吵死了,chao'si'le
超小气的,chao'xiao'qi'de
成交,cheng'jiao
吃啊,chi'a
吃饱了,chi'bao'le
吃的什么,chi'de'shen'me
迟点吧,chi'dian'ba
吃饭啊,chi'fan'a
吃饭了吧,chi'fan'le'ba
吃饭了吗,chi'fan'le'ma
吃饭了么,chi'fan'le'me
吃饭了没,chi'fan'le'mei
吃饭了没有,chi'fan'le'mei'you
吃饭了没有啊,chi'fan'le'mei'you'a
吃饭没,chi'fan'mei
吃饭没啊,chi'fan'mei'a
吃饭没有,chi'fan'mei'you
吃饭没有啊,chi'fan'mei'you'a
吃饭呢,chi'fan'ne
吃饭去,chi'fan'qu
吃饭去了,chi'fan'qu'le
吃过饭了吗,chi'guo'fan'le'ma
吃过了吗,chi'guo'le'ma
吃好了,chi'hao'le
吃啦,chi'la
吃了啊,chi'le'a
吃了吗,chi'le'ma
吃了没,chi'le'mei
吃了没有,chi'le'mei'you
吃了你呢,chi'le'ni'ne
吃晚饭了吗,chi'wan'fan'le'ma
丑死了,chou'si'le
愁死我了,chou'si'wo'le
出来啊,chu'lai'a
出来不,chu'lai'bu
出来呀,chu'lai'ya
出去玩了,chu'qu'wan'le
吹牛,chui'niu
纯属见鬼,chun'shu'jian'gui
此人已死,ci'ren'yi'si
错过了,cuo'guo'le
错过了就算了,cuo'guo'le'jiu'suan'le
打啊,da'a
答案是这样子的,da'an'shi'zhe'yang'zi'de
打吧,da'ba
打包袋,da'bao'dai
大便还是小便,da'bian'hai'shi'xiao'bian
打不开啊,da'bu'kai'a
打错字了,da'cuo'zi'le
达到目的,da'dao'mu'di
打工啊,da'gong'a
打工的,da'gong'de
大话精,da'hua'jing
打开了吗,da'kai'le'ma
打吗,da'ma
打牌啊,da'pai'a
打扰了,da'rao'le
打死你,da'si'ni
打完了,da'wan'le
打字啊,da'zi'a
打字吧,da'zi'ba
带耳机,dai'er'ji
呆会再看,dai'hui'zai'kan
呆会再聊,dai'hui'zai'liao
呆会再试,dai'hui'zai'shi
呆会再试一下,dai'hui'zai'shi'yi'xia
呆会再说,dai'hui'zai'shuo
呆着呢,dai'zhe'ne
胆小鬼,dan'xiao'gui
但愿吧,dan'yuan'ba
当然啊,dang'ran'a
当然咯,dang'ran'ge
当然了,dang'ran'le
到时再说吧,dao'shi'zai'shuo'ba
得很高兴,de'hen'gao'xing
得了吧,de'le'ba
等等啊,deng'deng'a
等会啊,deng'hui'a
等会吧,deng'hui'ba
等会聊,deng'hui'liao
等会再和你聊好吗,deng'hui'zai'he'ni'liao'hao'ma
等会再聊,deng'hui'zai'liao
等你啊,deng'ni'a
等你开启,deng'ni'kai'qi
等你呢,deng'ni'ne
等我啊,deng'wo'a
等我一会,deng'wo'yi'hui
等下啊,deng'xia'a
等下聊,deng'xia'liao
等下哦,deng'xia'o
等下再聊,deng'xia'zai'liao
邓欣,deng'xin
等一下啊,deng'yi'xia'a
等一下哦,deng'yi'xia'o
等着吧,deng'zhe'ba
等着瞧,deng'zhe'qiao
点错了,dian'cuo'le
电话啊,dian'hua'a
电话联系,dian'hua'lian'xi
点解啊,dian'jie'a
掉线了,diao'xian'le
懂不,dong'bu
东莞啊,dong'guan'a
都不理我,dou'bu'li'wo
斗地主啊,dou'di'zhu'a
兜风去,dou'feng'qu
都过去了,dou'guo'qu'le
都是我的错,dou'shi'wo'de'cuo
都一样啊,dou'yi'yang'a
读啊,du'a
读书啊,du'shu'a
对不起,dui'bu'qi
对不起啊,dui'bu'qi'a
对不起啦,dui'bu'qi'la
对不起了,dui'bu'qi'le
对不起哦,dui'bu'qi'o
对不起呀,dui'bu'qi'ya
对你的想念,dui'ni'de'xiang'nian
对你有好处吗,dui'ni'you'hao'chu'ma
对你有用吗,dui'ni'you'yong'ma
对哦,dui'o
对身体不好,dui'shen'ti'bu'hao
对天发誓,dui'tian'fa'shi
多此一举的,duo'ci'yi'ju'de
多大啊,duo'da'a
多打了,duo'da'le
多好啊,duo'hao'a
多少啊,duo'shao'a
多少级了,duo'shao'ji'le
多少钱,duo'shao'qian
多少钱啊,duo'shao'qian'a
多嘴驴,duo'zui'lv
发吧,fa'ba
发错了,fa'cuo'le
罚点啥,fa'dian'sha
发过来啊,fa'guo'lai'a
发来看看,fa'lai'kan'kan
发起攻击,fa'qi'gong'ji
发什么,fa'shen'me
发什么啊,fa'shen'me'a
发送失败,fa'song'shi'bai
发现,fa'xian
发呀,fa'ya
烦啊,fan'a
反反复复,fan'fan'fu'fu
烦什么,fan'shen'me
烦什么啊,fan'shen'me'a
方便吗,fang'bian'ma
方斌,fang'bin
放好啊,fang'hao'a
放假了,fang'jia'le
放开吧,fang'kai'ba
放开点,fang'kai'dian
放弃吧,fang'qi'ba
放手吧,fang'shou'ba
放心,fang'xin
放心吧,fang'xin'ba
放心啦,fang'xin'la
非常寂静,fei'chang'ji'jing
废话,fei'hua
非做不可吗,fei'zuo'bu'ke'ma
分手吧,fen'shou'ba
分手了,fen'shou'le
分摊吧,fen'tan'ba
负面太多了,fu'mian'tai'duo'le
服务器超时,fu'wu'qi'chao'shi
浮云,fu'yun
该死的,gai'si'de
改天吧,gai'tian'ba
改天聊,gai'tian'liao
改天再聊,gai'tian'zai'liao
干啊,gan'a
干杯,gan'bei
干脆点,gan'cui'dian
干得好,gan'de'hao
感觉怎么样,gan'jue'zen'me'yang
赶快,gan'kuai
干嘛,gan'ma
干吗啊,gan'ma'a
干嘛啊,gan'ma'a
干吗了,gan'ma'le
干嘛了,gan'ma'le
干吗那,gan'ma'na
干吗呢,gan'ma'ne
干嘛呢,gan'ma'ne
干吗去了,gan'ma'qu'le
干吗呀,gan'ma'ya
感冒了,gan'mao'le
干啥呢,gan'sha'ne
赶什么啊,gan'shen'me'a
干什么了,gan'shen'me'le
干什么那,gan'shen'me'na
干什么呢,gan'shen'me'ne
干什么去啊,gan'shen'me'qu'a
干什么去了,gan'shen'me'qu'le
干什么呀,gan'shen'me'ya
赶时间吗,gan'shi'jian'ma
甘又系,gan'you'xi
刚才掉线了,gang'cai'diao'xian'le
刚才死机了,gang'cai'si'ji'le
刚吃过,gang'chi'guo
刚吃了,gang'chi'le
刚吃完,gang'chi'wan
刚吃完饭,gang'chi'wan'fan
刚到家,gang'dao'jia
刚掉线了,gang'diao'xian'le
刚刚啊,gang'gang'a
刚刚回来,gang'gang'hui'lai
刚刚来,gang'gang'lai
刚回家,gang'hui'jia
刚来啊,gang'lai'a
刚来吗,gang'lai'ma
刚来呀,gang'lai'ya
刚上啊,gang'shang'a
刚上来,gang'shang'lai
刚洗完澡,gang'xi'wan'zao
刚下班,gang'xia'ban
搞错了,gao'cuo'le
搞什么啊,gao'shen'me'a
告诉我啊,gao'su'wo'a
告诉我吧,gao'su'wo'ba
告诉我好吗,gao'su'wo'hao'ma
高兴啊,gao'xing'a
哥哥好,ge'ge'hao
给你姐玩吖,gei'ni'jie'wan'a
给你看,gei'ni'kan
给你看看,gei'ni'kan'kan
给我啊,gei'wo'a
给我打电话,gei'wo'da'dian'hua
给我看看,gei'wo'kan'kan
给我看一下啊,gei'wo'kan'yi'xia'a
给我留言,gei'wo'liu'yan
跟你一样,gen'ni'yi'yang
跟谁啊,gen'shui'a
跟我来,gen'wo'lai
跟我一样,gen'wo'yi'yang
更不要透露密码,geng'bu'yao'tou'lu'mi'ma
恭喜啊,gong'xi'a
恭喜恭喜,gong'xi'gong'xi
工作啊,gong'zuo'a
工作了,gong'zuo'le
工作了吗,gong'zuo'le'ma
工作忙吗,gong'zuo'mang'ma
工作怎么样,gong'zuo'zen'me'yang
够了,gou'le
狗屎运,gou'shi'yun
挂啊,gua'a
挂机中,gua'ji'zhong
挂吗,gua'ma
怪吧,guai'ba
乖啦,guai'la
乖哦,guai'o
拐弯抹角,guai'wan'mo'jiao
关了啊,guan'le'a
关了吧,guan'le'ba
关了哦,guan'le'o
管他呢,guan'ta'ne
广东啊,guang'dong'a
广州啊,guang'zhou'a
滚出去,gun'chu'qu
过得好吗,guo'de'hao'ma
过的好吗,guo'de'hao'ma
过来啊,guo'lai'a
过去再说吧,guo'qu'zai'shuo'ba
哈哈哈哈哈,ha'ha'ha'ha'ha
哈哈哈哈哈哈哈,ha'ha'ha'ha'ha'ha'ha
还不错啊,hai'bu'cuo'a
还不是一样,hai'bu'shi'yi'yang
还不知道啊,hai'bu'zhi'dao'a
还不知道呢,hai'bu'zhi'dao'ne
还好啊,hai'hao'a
还好吧,hai'hao'ba
还好不,hai'hao'bu
还好的,hai'hao'de
还好啦,hai'hao'la
还好呀,hai'hao'ya
还记得吗,hai'ji'de'ma
还记得我不,hai'ji'de'wo'bu
还记得我吗,hai'ji'de'wo'ma
还可以啊,hai'ke'yi'a
还可以吧,hai'ke'yi'ba
还可以啦,hai'ke'yi'la
还可以了,hai'ke'yi'le
还可以吗,hai'ke'yi'ma
还可以呀,hai'ke'yi'ya
还没,hai'mei
还没啊,hai'mei'a
还没吃饭,hai'mei'chi'fan
还没吃饭呢,hai'mei'chi'fan'ne
还没好,hai'mei'hao
还没好啊,hai'mei'hao'a
还没回来,hai'mei'hui'lai
还没呢,hai'mei'ne
还没有啊,hai'mei'you'a
还没走啊,hai'mei'zou'a
还没做好,hai'mei'zuo'hao
害怕做某事,hai'pa'zuo'mou'shi
还认识我吗,hai'ren'shi'wo'ma
还上学吗,hai'shang'xue'ma
还是不行,hai'shi'bu'xing
还是老样子,hai'shi'lao'yang'zi
还是没有,hai'shi'mei'you
还是那样,hai'shi'na'yang
还说没有,hai'shuo'mei'you
还说呢,hai'shuo'ne
还说我,hai'shuo'wo
还行啊,hai'xing'a
还行吧,hai'xing'ba
还要别的吗,hai'yao'bie'de'ma
还要吗,hai'yao'ma
还有啊,hai'you'a
还有没有王法了,hai'you'mei'you'wang'fa'le
还有呢,hai'you'ne
还有什么,hai'you'shen'me
还有谁,hai'you'shui
还有谁啊,hai'you'shui'a
还有一个,hai'you'yi'ge
还在啊,hai'zai'a
还在不在啊,hai'zai'bu'zai'a
还在么,hai'zai'me
还在呢,hai'zai'ne
还在上班吗,hai'zai'shang'ban'ma
还在呀,hai'zai'ya
还早啊,hai'zao'a
还早呢,hai'zao'ne
孩子呢,hai'zi'ne
汗死,han'si
好吖,hao'a
好吧,hao'ba
好吧走吧,hao'ba'zou'ba
好饱,hao'bao
好不啊,hao'bu'a
好不好啊,hao'bu'hao'a
好不好嘛,hao'bu'hao'ma
好不好呀,hao'bu'hao'ya
好吃吗,hao'chi'ma
好的啊,hao'de'a
好的拜拜,hao'de'bai'bai
好得很,hao'de'hen
好的哦,hao'de'o
好的呀,hao'de'ya
好点了,hao'dian'le
好点了吗,hao'dian'le'ma
好多啊,hao'duo'a
好饿,hao'e
好恶心,hao'e'xin
好烦啊,hao'fan'a
好烦恼,hao'fan'nao
好烦哦,hao'fan'o
好狗不挡路,hao'gou'bu'dang'lu
好汉不挡路,hao'han'bu'dang'lu
好好啊,hao'hao'a
好好的,hao'hao'de
好好做吧,hao'hao'zuo'ba
好黑啊,hao'hei'a
好伙伴,hao'huo'ban
好家伙,hao'jia'huo
好姐姐,hao'jie'jie
好久不见,hao'jiu'bu'jian
好久不见啊,hao'jiu'bu'jian'a
好久不见了啊,hao'jiu'bu'jian'le'a
好久不见了哦,hao'jiu'bu'jian'le'o
好久不见你了,hao'jiu'bu'jian'ni'le
好久不见哦,hao'jiu'bu'jian'o
好久了,hao'jiu'le
好久没见了,hao'jiu'mei'jian'le
好久没见你了,hao'jiu'mei'jian'ni'le
好久没看到你了,hao'jiu'mei'kan'dao'ni'le
好久没联系了,hao'jiu'mei'lian'xi'le
好久没聊了,hao'jiu'mei'liao'le
好卡,hao'ka
好卡啊,hao'ka'a
好看啊,hao'kan'a
好看吧,hao'kan'ba
好看不,hao'kan'bu
好看么,hao'kan'me
好可爱啊,hao'ke'ai'a
好可爱哦,hao'ke'ai'o
好可怜,hao'ke'lian
好可怜啊,hao'ke'lian'a
好可怜哦,hao'ke'lian'o
好快啊,hao'kuai'a
好烂,hao'lan
好懒啊,hao'lan'a
好老婆,hao'lao'po
好了吧,hao'le'ba
好了不说了,hao'le'bu'shuo'le
好了么,hao'le'me
好了没啊,hao'le'mei'a
好了没有,hao'le'mei'you
好了没有啊,hao'le'mei'you'a
好累啊,hao'lei'a
好累了,hao'lei'le
好累哦,hao'lei'o
好冷啊,hao'leng'a
好咯,hao'lo
号码是,hao'ma'shi
好慢啊,hao'man'a
好忙啊,hao'mang'a
好哦,hao'o
好噢,hao'o
好漂亮,hao'piao'liang
好漂亮啊,hao'piao'liang'a
好漂亮哦,hao'piao'liang'o
好奇怪,hao'qi'guai
好热啊,hao're'a
好热哦,hao're'o
好什么,hao'shen'me
好什么啊,hao'shen'me'a
好什么呀,hao'shen'me'ya
好事当然成双了,hao'shi'dang'ran'cheng'shuang'le
好帅啊,hao'shuai'a
好爽啊,hao'shuang'a
好听啊,hao'ting'a
好听吧,hao'ting'ba
好听不,hao'ting'bu
好听吗,hao'ting'ma
好玩啊,hao'wan'a
好玩吧,hao'wan'ba
好玩不,hao'wan'bu
好玩吗,hao'wan'ma
好无聊,hao'wu'liao
好无聊啊,hao'wu'liao'a
好无聊哦,hao'wu'liao'o
好险,hao'xian
好想放弃,hao'xiang'fang'qi
好想回家,hao'xiang'hui'jia
好想看海,hao'xiang'kan'hai
好想快点做完,hao'xiang'kuai'dian'zuo'wan
好想离开,hao'xiang'li'kai
好想旅游,hao'xiang'lv'you
好想你啊,hao'xiang'ni'a
好想你哦,hao'xiang'ni'o
好想你呀,hao'xiang'ni'ya
好像是吧,hao'xiang'shi'ba
好想运动,hao'xiang'yun'dong
好想找人,hao'xiang'zhao'ren
好想走,hao'xiang'zou
好想走路,hao'xiang'zou'lu
好笑吗,hao'xiao'ma
薅羊毛,hao'yang'mao
好郁闷,hao'yu'men
好远啊,hao'yuan'a
好着呢,hao'zhe'ne
何必呢,he'bi'ne
何必这样子呢,he'bi'zhe'yang'zi'ne
喝多了,he'duo'le
呵呵是吗,he'he'shi'ma
河南的,he'nan'de
和你啊,he'ni'a
和你聊天,he'ni'liao'tian
和你聊天啊,he'ni'liao'tian'a
和你一样,he'ni'yi'yang
和你一样啊,he'ni'yi'yang'a
和谁啊,he'shui'a
和谁聊呢,he'shui'liao'ne
和谁呀,he'shui'ya
和我一样,he'wo'yi'yang
和我一样啊,he'wo'yi'yang'a
黑白之间,hei'bai'zhi'jian
嘿嘿嘿,hei'hei'hei
很不错吧,hen'bu'cuo'ba
很多啊,hen'duo'a
很恶心,hen'e'xin
很风情哦,hen'feng'qing'o
很高兴认识你,hen'gao'xing'ren'shi'ni
很好啊,hen'hao'a
很好吧,hen'hao'ba
很好看的,hen'hao'kan'de
很好听的,hen'hao'ting'de
很好玩,hen'hao'wan
很好玩的,hen'hao'wan'de
很好呀,hen'hao'ya
很吉利的号码哦,hen'ji'li'de'hao'ma'o
很久了,hen'jiu'le
很开心能认识你,hen'kai'xin'neng'ren'shi'ni
很累吧,hen'lei'ba
很累的,hen'lei'de
很难伺候,hen'nan'ci'hou
很难说,hen'nan'shuo
很漂亮啊,hen'piao'liang'a
很讨厌吧,hen'tao'yan'ba
很无聊,hen'wu'liao
很想见你,hen'xiang'jian'ni
很想你,hen'xiang'ni
很性感,hen'xing'gan
后天吧,hou'tian'ba
湖北的,hu'bei'de
胡扯,hu'che
湖南的,hu'nan'de
胡闹,hu'nao
呼吸的天空,hu'xi'de'tian'kong
话不可乱说,hua'bu'ke'luan'shuo
花痴,hua'chi
画蛇添足,hua'she'tian'zu
坏了啊,huai'le'a
黄昏恋,huang'hun'lian
会啊,hui'a
回啊,hui'a
回答啊,hui'da'a
回答我,hui'da'wo
回答我啊,hui'da'wo'a
会好的,hui'hao'de
回话啊,hui'hua'a
回家啊,hui'jia'a
回家吧,hui'jia'ba
回家干嘛,hui'jia'gan'ma
回家了啊,hui'jia'le'a
回家了吗,hui'jia'le'ma
回家去吧,hui'jia'qu'ba
回来啊,hui'lai'a
回来啦,hui'lai'la
回来了啊,hui'lai'le'a
回来了吗,hui'lai'le'ma
回来再聊,hui'lai'zai'liao
回来再说,hui'lai'zai'shuo
会吗,hui'ma
回去啊,hui'qu'a
回去吧,hui'qu'ba
回去了,hui'qu'le
回头再看,hui'tou'zai'kan
回微博,hui'wei'bo
会呀,hui'ya
回呀,hui'ya
