哎么,ai'me
宏宝莱,hong'bao'lai
红嘴子,hong'zui'zi
侯记,hou'ji
华宇城,hua'yu'cheng
怀德,huai'de
怀德镇,huai'de'zhen
回长春,hui'chang'chun
回梨树,hui'li'shu
回四平,hui'si'ping
回四平了,hui'si'ping'le
珲春街,hun'chun'jie
霍家店,huo'jia'dian
吉林财经,ji'lin'cai'jing
吉林公务员,ji'lin'gong'wu'yuan
吉林教育,ji'lin'jiao'yu
吉林省,ji'lin'sheng
吉林省四平市,ji'lin'sheng'si'ping'shi
吉林师大,ji'lin'shi'da
吉林师范,ji'lin'shi'fan
吉林师范大学,ji'lin'shi'fan'da'xue
吉林四平,ji'lin'si'ping
吉林一,ji'lin'yi
吉林移动,ji'lin'yi'dong
吉林银行,ji'lin'yin'hang
几马路,ji'ma'lu
吉平,ji'ping
吉师,ji'shi
间食,jian'shi
金家街,jin'jia'jie
紧邻铁道,jin'lin'tie'dao
金士百,jin'shi'bai
景台,jing'tai
景台镇,jing'tai'zhen
景台中心国土所,jing'tai'zhong'xin'guo'tu'suo
就得意,jiu'de'yi
九马路,jiu'ma'lu
考车票,kao'che'piao
考票,kao'piao
课后班,ke'hou'ban
空气滤,kong'qi'lv
喇嘛甸,la'ma'dian
来病了,lai'bing'le
来吉林,lai'ji'lin
来梨树,lai'li'shu
来四平,lai'si'ping
懒蛋子,lan'dan'zi
老犊子,lao'du'zi
老简单了,lao'jian'dan'le
老四平,lao'si'ping
乐乐城,le'le'cheng
累挺,lei'ting
累挺了,lei'ting'le
李连贵,li'lian'gui
梨树,li'shu
梨树的,li'shu'de
梨树县,li'shu'xian
梨树一中,li'shu'yi'zhong
梨树镇,li'shu'zhen
李学辉,li'xue'hui
联合化,lian'he'hua
联想售后,lian'xiang'shou'hou
两家子,liang'jia'zi
辽源,liao'yuan
辽源的,liao'yuan'de
烈士塔,lie'shi'ta
岭城,ling'cheng
岭东,ling'dong
刘房子,liu'fang'zi
刘家馆子,liu'jia'guan'zi
六马路,liu'ma'lu
乱造的,luan'zao'de
洛阳进组,luo'yang'jin'zu
洛阳西门,luo'yang'xi'men
旅地,lv'di
麻辣哈哈,ma'la'ha'ha
麦肯基,mai'ken'ji
毛家店,mao'jia'dian
茂林镇,mao'lin'zhen
毛岁,mao'sui
没炮,mei'pao
没在长春,mei'zai'chang'chun
孟家岭,meng'jia'ling
秘境进组,mi'jing'jin'zu
摩高,mo'gao
木须柿子,mu'xu'shi'zi
木子铁,mu'zi'tie
那才不是,na'cai'bu'shi
那才不是呢,na'cai'bu'shi'ne
那里朋友,na'li'peng'you
那能咋的,na'neng'za'de
南湖公园,nan'hu'gong'yuan
南崴子,nan'wai'zi
南一纬,nan'yi'wei
脑科医院,nao'ke'yi'yuan
你来四平,ni'lai'si'ping
你在长春,ni'zai'chang'chun
你在四平,ni'zai'si'ping
平西乡,ping'xi'xiang
普本,pu'ben
七道街,qi'dao'jie
七马路,qi'ma'lu
秦家屯,qin'jia'tun
清华苑,qing'hua'yuan
去长春,qu'chang'chun
去长春了,qu'chang'chun'le
去公主岭,qu'gong'zhu'ling
去梨树,qu'li'shu
去书馆,qu'shu'guan
去四平,qu'si'ping
人民剧场,ren'min'ju'chang
撒冷的,sa'leng'de
三道口,san'dao'kou
三家子,san'jia'zi
桑树台,sang'shu'tai
傻呵,sha'he
傻呵的,sha'he'de
山门,shan'men
山门镇,shan'men'zhen
上长春,shang'chang'chun
上四平,shang'si'ping
烧鸽子,shao'ge'zi
十八栋,shi'ba'dong
十家堡,shi'jia'bao
十教,shi'jiao
石岭,shi'ling
十屋,shi'wu
十一马路,shi'yi'ma'lu
师院的,shi'yuan'de
守望都市,shou'wang'du'shi
涮串,shuan'chuan
双城堡,shuang'cheng'bao
双辽,shuang'liao
双辽的,shuang'liao'de
双辽市,shuang'liao'shi
双山,shuang'shan
双榆树,shuang'yu'shu
死出,si'chu
死出吧,si'chu'ba
四合屯,si'he'tun
四棵树,si'ke'shu
四平,si'ping
四平啊,si'ping'a
四平吧,si'ping'ba
四平到,si'ping'dao
四平的,si'ping'de
四平地区,si'ping'di'qu
四平东,si'ping'dong
四平风采,si'ping'feng'cai
四平了,si'ping'le
四平吗,si'ping'ma
四平么,si'ping'me
四平呢,si'ping'ne
四平人,si'ping'ren
四平市,si'ping'shi
四平市铁东区,si'ping'shi'tie'dong'qu
四平师院,si'ping'shi'yuan
四平天气,si'ping'tian'qi
四平团,si'ping'tuan
四平一中,si'ping'yi'zhong
四平站,si'ping'zhan
他可真能说,ta'ke'zhen'neng'shuo
他没在家呀,ta'mei'zai'jia'ya
陶家,tao'jia
陶家屯,tao'jia'tun
洮南,tao'nan
替课,ti'ke
铁东,tie'dong
铁东区,tie'dong'qu
铁锅炖,tie'guo'dun
铁西区,tie'xi'qu
兔儿岭,tu'er'ling
退校,tui'xiao
王福军,wang'fu'jun
王金艳,wang'jin'yan
卫校路,wei'xiao'lu
温州城,wen'zhou'cheng
我不寻思,wo'bu'xun'si
我吉林,wo'ji'lin
我就得意,wo'jiu'de'yi
我去长春,wo'qu'chang'chun
我四平,wo'si'ping
我要查流量,wo'yao'cha'liu'liang
我在公主岭,wo'zai'gong'zhu'ling
我在吉林,wo'zai'ji'lin
我在梨树,wo'zai'li'shu
我在四平,wo'zai'si'ping
物化楼,wu'hua'lou
五棵树,wu'ke'shu
呜呜渣渣,wu'wu'zha'zha
下三台,xia'san'tai
祥康,xiang'kang
小城子,xiao'cheng'zi
小点声吧,xiao'dian'sheng'ba
小孤山,xiao'gu'shan
小乐园,xiao'le'yuan
小市场,xiao'shi'chang
信客,xin'ke
辛特兰,xin'te'lan
邢红波,xing'hong'bo
杏山,xing'shan
星缘圣府,xing'yuan'sheng'fu
修理部,xiu'li'bu
烟厂路,yan'chang'lu
阳光新城,yang'guang'xin'cheng
叶赫,ye'he
夜卖,ye'mai
一马路,yi'ma'lu
一商店,yi'shang'dian
伊通,yi'tong
伊通的,yi'tong'de
伊通满族自治县,yi'tong'man'zu'zi'zhi'xian
伊通县,yi'tong'xian
伊通一中,yi'tong'yi'zhong
溢香阁,yi'xiang'ge
一寻思,yi'xun'si
英城,ying'cheng
营城子,ying'cheng'zi
英图,ying'tu
英雄广场,ying'xiong'guang'chang
榆树台,yu'shu'tai
于台,yu'tai
毓文,yu'wen
御宴楼,yu'yan'lou
怨我啦,yuan'wo'la
咋的都行,za'de'dou'xing
咋寻思,za'xun'si
咋整的呀,za'zheng'de'ya
在长春,zai'chang'chun
在长春呢,zai'chang'chun'ne
在公主岭,zai'gong'zhu'ling
在梨树,zai'li'shu
在批评,zai'pi'ping
在师院,zai'shi'yuan
在书馆,zai'shu'guan
在双辽,zai'shuang'liao
在四平,zai'si'ping
在四平呢,zai'si'ping'ne
在伊通,zai'yi'tong
在中兴,zai'zhong'xing
朝阳坡,zhao'yang'po
这家伙的,zhe'jia'huo'de
镇赉县,zhen'lai'xian
真有闹,zhen'you'nao
郑家屯,zheng'jia'tun
直么,zhi'me
中华名城,zhong'hua'ming'cheng
中华人民共和,zhong'hua'ren'min'gong'he
周淑珍,zhou'shu'zhen
装屁,zhuang'pi
