阿宝,a'bao
百花大聚宗伯府,bai'hua'da'ju'zong'bo'fu
百花获谴降红尘,bai'hua'huo'qian'jiang'hong'chen
百花女锤打张达,bai'hua'nv'chui'da'zhang'da
百花仙即景露禅机,bai'hua'xian'ji'jing'lu'chan'ji
白乐山殷情留勇士,bai'le'shan'yin'qing'liu'yong'shi
白莲教,bai'lian'jiao
白龙带伍连遭擒,bai'long'dai'wu'lian'zao'qin
白龙庙英雄小聚义,bai'long'miao'ying'xiong'xiao'ju'yi
白门楼吕布殒命,bai'men'lou'lv'bu'yun'ming
白面判被捉蟠蛇岭,bai'mian'pan'bei'zhuo'pan'she'ling
白面判努力追喜凤,bai'mian'pan'nu'li'zhui'xi'feng
白娘子永镇雷峰塔,bai'niang'zi'yong'zhen'lei'feng'ta
拜请济公占卦寻夫,bai'qing'ji'gong'zhan'gua'xun'fu
白秋练,bai'qiu'lian
败戎兵郑忽辞婚,bai'rong'bing'zheng'hu'ci'hun
白孺人白嫁亲生女,bai'ru'ren'bai'jia'qin'sheng'nv
白氏还魂阳差阴错,bai'shi'huan'hun'yang'cha'yin'cuo
白蒁亭八女写春扇,bai'shu'ting'ba'nv'xie'chun'shan
白蒁亭董女谈诗,bai'shu'ting'dong'nv'tan'shi
白水湖丢失烈火剑,bai'shui'hu'diu'shi'lie'huo'jian
白水僧盗物丧双生,bai'shui'seng'dao'wu'sang'shuang'sheng
白雄打虎甥舅相逢,bai'xiong'da'hu'sheng'jiu'xiang'feng
白义士坠网亡身,bai'yi'shi'zhui'wang'wang'shen
白玉娘忍苦成夫,bai'yu'niang'ren'ku'cheng'fu
白玉堂气短拜双侠,bai'yu'tang'qi'duan'bai'shuang'xia
白玉堂失印追贼,bai'yu'tang'shi'yin'zhui'zei
白玉堂智偷三件宝,bai'yu'tang'zhi'tou'san'jian'bao
白于玉,bai'yu'yu
白昼用刑拷打朱二,bai'zhou'yong'xing'kao'da'zhu'er
颁官诰大封功臣,ban'guan'gao'da'feng'gong'chen
办海捕济公出都门,ban'hai'bu'ji'gong'chu'dou'men
扮化子勇士获贼人,ban'hua'zi'yong'shi'huo'zei'ren
搬家眷夫妇两团圆,ban'jia'juan'fu'fu'liang'tuan'yuan
办善会福善集金山,ban'shan'hui'fu'shan'ji'jin'shan
半山中八戒争先,ban'shan'zhong'ba'jie'zheng'xian
搬运法移钱济孝妇,ban'yun'fa'yi'qian'ji'xiao'fu
伴张华嫖客守空房,ban'zhang'hua'piao'ke'shou'kong'fang
邦昌假诏害忠良,bang'chang'jia'zhao'hai'zhong'liang
抱不平萧麻训妓女,bao'bu'ping'xiao'ma'xun'ji'nv
报仇沥血祭先灵,bao'chou'li'xue'ji'xian'ling
报德祠酬恩塑像,bao'de'ci'chou'en'su'xiang
报弟仇灵隐访济公,bao'di'chou'ling'yin'fang'ji'gong
鲍方祖赠宝破妖人,bao'fang'zu'zeng'bao'po'yao'ren
报父仇曹操兴师,bao'fu'chou'cao'cao'xing'shi
报国寺殿外霹妖蝎,bao'guo'si'dian'wai'pi'yao'xie
抱孩童瓶儿希宠,bao'hai'tong'ping'er'xi'chong
豹花岭胡列救主,bao'hua'ling'hu'lie'jiu'zhu
抱马桶苗秃受叱呼,bao'ma'tong'miao'tu'shou'chi'hu
褒人赎罪献美女,bao'ren'shu'zui'xian'mei'nv
雹神,bao'shen
报唐璧叔宝让刀,bao'tang'bi'shu'bao'rang'dao
鲍廷玺丧父娶妻,bao'ting'xi'sang'fu'qu'qi
报魏锜养叔献艺,bao'wei'qi'yang'shu'xian'yi
鲍文卿南京遇旧,bao'wen'qing'nan'jing'yu'jiu
鲍文卿整理旧生涯,bao'wen'qing'zheng'li'jiu'sheng'ya
包行恭大闹杏花村,bao'xing'gong'da'nao'xing'hua'cun
包行恭遵师下山,bao'xing'gong'zun'shi'xia'shan
保御驾英雄比武,bao'yu'jia'ying'xiong'bi'wu
保住,bao'zhu
豹子头误入白虎堂,bao'zi'tou'wu'ru'bai'hu'tang
备弓旌天子招贤,bei'gong'jing'tian'zi'zhao'xian
北汉主屏逐忠臣,bei'han'zhu'ping'zhu'zhong'chen
北汉主议守河东,bei'han'zhu'yi'shou'he'dong
北侠,bei'xia
北侠大众盗骨坛,bei'xia'da'zhong'dao'gu'tan
北侠请老道破网,bei'xia'qing'lao'dao'po'wang
北侠探奇毫无情趣,bei'xia'tan'qi'hao'wu'qing'qu
备御敌造奇法炮箭,bei'yu'di'zao'qi'fa'pao'jian
贲四嫂带水战情郎,ben'si'sao'dai'shui'zhan'qing'lang
奔邪归正独力锄强,ben'xie'gui'zheng'du'li'chu'qiang
避吵闹贡生投妹丈,bi'chao'nao'gong'sheng'tou'mei'zhang
避春雨巧逢袁太监,bi'chun'yu'qiao'feng'yuan'tai'jian
彼此商量备帖请沙龙,bi'ci'shang'liang'bei'tie'qing'sha'long
比剑术玄贞子对敌,bi'jian'shu'xuan'zhen'zi'dui'di
避近幸决计归田,bi'jin'xing'jue'ji'gui'tian
毕力遐方,bi'li'xia'fang
避马房侍女偷金,bi'ma'fang'shi'nv'tou'jin
避难巧救遇难人,bi'nan'qiao'jiu'yu'nan'ren
比丘怜子遣阴神,bi'qiu'lian'zi'qian'yin'shen
碧梧岭孔雀开屏,bi'wu'ling'kong'que'kai'ping
比武艺公子伤身,bi'wu'yi'gong'zi'shang'shen
比衙役解开就里情,bi'ya'yi'jie'kai'jiu'li'qing
碧眼儿坐领江东,bi'yan'er'zuo'ling'jiang'dong
避严亲牡丹投何令,bi'yan'qin'mu'dan'tou'he'ling
逼阳城三将斗力,bi'yang'cheng'san'jiang'dou'li
避冤仇四海远游,bi'yuan'chou'si'hai'yuan'you
汴堤上绿柳御题赐姓,bian'di'shang'lv'liu'yu'ti'ci'xing
辩古文字音讹叠韵,bian'gu'wen'zi'yin'e'die'yun
辩壶卢婢子具灵心,bian'hu'lu'bi'zi'ju'ling'xin
汴京城杨志卖刀,bian'jing'cheng'yang'zhi'mai'dao
贬九成秦桧弄权,bian'jiu'cheng'qin'hui'nong'quan
贬佞党真义士面君,bian'ning'dang'zhen'yi'shi'mian'jun
辨曲直济公救徒弟,bian'qu'zhi'ji'gong'jiu'tu'di
辨曲直忠良施侧隐,bian'qu'zhi'zhong'liang'shi'ce'yin
表精忠墓顶加封,biao'jing'zhong'mu'ding'jia'feng
表兄弟对面不相识,biao'xiong'di'dui'mian'bu'xiang'shi
别难友凤岭逢木女,bie'nan'you'feng'ling'feng'mu'nv
别怨女如玉下科场,bie'yuan'nv'ru'yu'xia'ke'chang
秉诚县令召甘霖华阴道独逢异客,bing'cheng'xian'ling'zhao'gan'lin'hua'yin'dao'du'feng'yi'ke
冰打琼花昏君扫兴,bing'da'qiong'hua'hun'jun'sao'xing
病服神怒打老道,bing'fu'shen'nu'da'lao'dao
病符神无故被摔,bing'fu'shen'wu'gu'bei'shuai
病关索长街遇石秀,bing'guan'suo'chang'jie'yu'shi'xiu
病关索大闹翠屏山,bing'guan'suo'da'nao'cui'ping'shan
病佳人青楼算命,bing'jia'ren'qing'lou'suan'ming
病蒋平指引陈起望,bing'jiang'ping'zhi'yin'chen'qi'wang
秉良心公堂释好汉,bing'liang'xin'gong'tang'shi'hao'han
兵围灵隐锁拿疯僧,bing'wei'ling'yin'suo'na'feng'seng
秉忠诚部下起雄兵,bing'zhong'cheng'bu'xia'qi'xiong'bing
伯当偷盗呼雷豹,bo'dang'tou'dao'hu'lei'bao
搏奇鸟壮士奋空拳,bo'qi'niao'zhuang'shi'fen'kong'quan
馎饦媪,bo'tuo'ao
博望坡军师初用兵,bo'wang'po'jun'shi'chu'yong'bing
博兴女,bo'xing'nv
伯邑考进贡赎罪,bo'yi'kao'jin'gong'shu'zui
卜大武初下说词,bu'da'wu'chu'xia'shuo'ci
卜大武矢志投诚,bu'da'wu'shi'zhi'tou'cheng
布客,bu'ke
布商,bu'shang
不忘旧德鸣皋遗书,bu'wang'jiu'de'ming'gao'yi'shu
步玉桥茂林观凤舞,bu'yu'qiao'mao'lin'guan'feng'wu
卜周易管辂知机,bu'zhou'yi'guan'lu'zhi'ji
猜灯谜姊妹陶情,cai'deng'mi'zi'mei'tao'qing
蔡夫人隔屏听密语,cai'fu'ren'ge'ping'ting'mi'yu
蔡夫人议献荆州,cai'fu'ren'yi'xian'jing'zhou
采和持板踏歌,cai'he'chi'ban'ta'ge
采苹妃全躯返故宫,cai'ping'fei'quan'qu'fan'gu'gong
蔡瑞虹忍辱报仇,cai'rui'hong'ren'ru'bao'chou
蔡太师擅恩锡爵,cai'tai'shi'shan'en'xi'jue
蔡太守随时行赏罚,cai'tai'shou'sui'shi'xing'shang'fa
采薇翁,cai'wei'weng
裁艳曲红豆掷相思,cai'yan'qu'hong'dou'zhi'xiang'si
蔡昭侯纳质乞吴师,cai'zhao'hou'na'zhi'qi'wu'shi
蔡状元留饮借盘缠,cai'zhuang'yuan'liu'yin'jie'pan'chan
才子词科登翰苑,cai'zi'ci'ke'deng'han'yuan
残梁外史,can'liang'wai'shi
参社火公子丧身,can'she'huo'gong'zi'sang'shen
藏虱,cang'shi
曹阿瞒兵退斜谷,cao'a'man'bing'tui'xie'gu
曹阿瞒割须弃袍,cao'a'man'ge'xu'qi'pao
曹阿瞒许田打围,cao'a'man'xu'tian'da'wei
曹彬部兵征大辽,cao'bin'bu'bing'zheng'da'liao
曹操仓亭破本初,cao'cao'cang'ting'po'ben'chu
曹操大宴铜雀台,cao'cao'da'yan'tong'que'tai
曹操抹书间韩遂,cao'cao'mo'shu'jian'han'sui
曹操平定汉中地,cao'cao'ping'ding'han'zhong'di
曹操冢,cao'cao'zhong
曹操煮酒论英雄,cao'cao'zhu'jiu'lun'ying'xiong
草弹章林润参逆党,cao'dan'zhang'lin'run'can'ni'dang
曹娥江雷陈赶贼船,cao'e'jiang'lei'chen'gan'zei'chuan
草里蛇逻打蒋竹山,cao'li'she'luo'da'jiang'zhu'shan
曹孟德大战吕布,cao'meng'de'da'zhan'lv'bu
曹孟德会合三将,cao'meng'de'hui'he'san'jiang
曹孟德移驾幸许都,cao'meng'de'yi'jia'xing'xu'dou
曹沫手剑劫齐侯,cao'mo'shou'jian'jie'qi'hou
曹丕乘乱纳甄氏,cao'pi'cheng'luan'na'zhen'shi
曹丕废帝篡炎刘,cao'pi'fei'di'cuan'yan'liu
曹仁大战东吴兵,cao'ren'da'zhan'dong'wu'bing
曹荣降贼献黄河,cao'rong'jiang'zei'xian'huang'he
草上飞斩符常谭闵,cao'shang'fei'zhan'fu'chang'tan'min
草上飞踪寻表弟,cao'shang'fei'zong'xun'biao'di
曾友于,ceng'you'yu
插翅虎枷打白秀英,cha'chi'hu'jia'da'bai'xiu'ying
查恶棍私访霸王庄,cha'e'gun'si'fang'ba'wang'zhuang
姹女还归本性,cha'nv'hai'gui'ben'xing
姹女求阳,cha'nv'qiu'yang
姹女育阳求配偶,cha'nv'yu'yang'qiu'pei'ou
查牙山洞,cha'ya'shan'dong
柴货厂捉拿李有能,chai'huo'chang'zhuo'na'li'you'neng
柴进门招天下客,chai'jin'men'zhao'tian'xia'ke
柴进失陷高唐州,chai'jin'shi'xian'gao'tang'zhou
柴进簪花入禁院,chai'jin'zan'hua'ru'jin'yuan
柴郡马大耍行头,chai'jun'ma'da'shua'xing'tou
柴郡马挟伴游灯市,chai'jun'ma'xie'ban'you'deng'shi
拆楼人,chai'lou'ren
柴娘娘恩义待仇,chai'niang'niang'en'yi'dai'chou
柴桑口卧龙吊丧,chai'sang'kou'wo'long'diao'sang
柴嗣昌请托浼赃官,chai'si'chang'qing'tuo'mei'zang'guan
柴太郡奏保杨业,chai'tai'jun'zou'bao'yang'ye
禅到玉华施法会,chan'dao'yu'hua'shi'fa'hui
产龙,chan'long
禅师坐化证菩提,chan'shi'zuo'hua'zheng'pu'ti
阐元机历述新诗,chan'yuan'ji'li'shu'xin'shi
禅真逸史,chan'zhen'yi'shi
禅主吞餐怀鬼孕,chan'zhu'tun'can'huai'gui'yun
长安士女观灯行乐,chang'an'shi'nv'guan'deng'xing'le
嫦娥,chang'e
长庚传报魔头狠,chang'geng'chuan'bao'mo'tou'hen
偿聘金韩秀才赎子,chang'pin'jin'han'xiu'cai'shu'zi
长清僧,chang'qing'seng
长沙府施俊遇丫环,chang'sha'fu'shi'jun'yu'ya'huan
常山县义士闹公堂,chang'shan'xian'yi'shi'nao'gong'tang
常山县周罗拿贼犯,chang'shan'xian'zhou'luo'na'zei'fan
长生殿半夜私盟,chang'sheng'dian'ban'ye'si'meng
常熟县真儒降生,chang'shu'xian'zhen'ru'jiang'sheng
长亭,chang'ting
唱小曲飞觞作乐,chang'xiao'qu'fei'shang'zuo'yue
长须女玩股垂情,chang'xu'nv'wan'gu'chui'qing
常峙节得钞傲妻儿,chang'zhi'jie'de'chao'ao'qi'er
长治女子,chang'zhi'nv'zi
常州府出斩妖道,chang'zhou'fu'chu'zhan'yao'dao
晁盖梁山小夺泊,chao'gai'liang'shan'xiao'duo'bo
晁田兵探西岐事,chao'tian'bing'tan'xi'qi'shi
晁天王曾头市中箭,chao'tian'wang'ceng'tou'shi'zhong'jian
晁天王认义东溪村,chao'tian'wang'ren'yi'dong'xi'cun
车迟国猴王显法,che'chi'guo'hou'wang'xian'fa
彻地鼠恩救二公差,che'di'shu'en'jiu'er'gong'cha
彻地鼠韩彰,che'di'shu'han'zhang
车夫,che'fu
彻水寨吊起独木桥,che'shui'zhai'diao'qi'du'mu'qiao
掣牙签指鹿为马,che'ya'qian'zhi'lu'wei'ma
陈从善梅岭失浑家,chen'cong'shan'mei'ling'shi'hun'jia
陈多寿生死夫妻,chen'duo'shou'sheng'si'fu'qi
陈观谏官升安抚,chen'guan'jian'guan'sheng'an'fu
陈观宋江同奏捷,chen'guan'song'jiang'tong'zou'jie
陈光蕊赴任逢灾,chen'guang'rui'fu'ren'feng'zai
陈广泰丹阳县遇害,chen'guang'tai'dan'yang'xian'yu'hai
陈敬济被陷严州府,chen'jing'ji'bei'xian'yan'zhou'fu
陈敬济感旧祭金莲,chen'jing'ji'gan'jiu'ji'jin'lian
陈敬济徼幸得金莲,chen'jing'ji'jiao'xing'de'jin'lian
陈敬济临清逢旧识,chen'jing'ji'lin'qing'feng'jiu'shi
陈敬济弄一得双,chen'jing'ji'nong'yi'de'shuang
陈敬济失钥罚唱,chen'jing'ji'shi'yao'fa'chang
陈可常端阳仙化,chen'ke'chang'duan'yang'xian'hua
趁空隙周琏娶蕙娘,chen'kong'xi'zhou'lian'qu'hui'niang
陈亮细问妇人供,chen'liang'xi'wen'fu'ren'gong
陈灵公衵服戏朝,chen'ling'gong'ri'fu'xi'chao
陈起望群雄设计,chen'qi'wang'qun'xiong'she'ji
陈起望众义服英雄,chen'qi'wang'zhong'yi'fu'ying'xiong
陈桥驿滴泪斩小卒,chen'qiao'yi'di'lei'zhan'xiao'zu
陈森,chen'sen
陈声远助拳惹气,chen'sheng'yuan'zhu'quan're'qi
陈隋两主说幽情,chen'sui'liang'zhu'shuo'you'qing
陈塘关哪吒出世,chen'tang'guan'ne'zha'chu'shi
陈锡九,chen'xi'jiu
陈希夷四辞朝命,chen'xi'yi'si'ci'chao'ming
陈玄亮捉妖铁佛寺,chen'xuan'liang'zhuo'yao'tie'fo'si
陈御史巧勘金钗钿,chen'yu'shi'qiao'kan'jin'chai'dian
陈云栖,chen'yun'qi
程朝奉单遇无头妇,cheng'chao'feng'dan'yu'wu'tou'fu
承恩八戒转山林,cheng'en'ba'jie'zhuan'shan'lin
逞风狂风姨泄旧忿,cheng'feng'kuang'feng'yi'xie'jiu'fen
逞风流高会莫愁湖,cheng'feng'liu'gao'hui'mo'chou'hu
承福寺唐公生儿,cheng'fu'si'tang'gong'sheng'er
逞豪华门前放烟火,cheng'hao'hua'men'qian'fang'yan'huo
逞豪兴朗吟妙句,cheng'hao'xing'lang'yin'miao'ju
成后志怨女出宫,cheng'hou'zhi'yuan'nv'chu'gong
城角陷吓坏痴情客,cheng'jiao'xian'xia'huai'chi'qing'ke
乘酒意醉诵凄凉句,cheng'jiu'yi'zui'song'qi'liang'ju
逞绝技女将破离宫,cheng'jue'ji'nv'jiang'po'li'gong
逞利口苗秃死金钟,cheng'li'kou'miao'tu'si'jin'zhong
逞弑逆扶王升御座,cheng'shi'ni'fu'wang'sheng'yu'zuo
澄俗,cheng'su
成仙,cheng'xian
逞雄心李靖诉西岳,cheng'xiong'xin'li'jing'su'xi'yue
逞雄心挑战无火关,cheng'xiong'xin'tiao'zhan'wu'huo'guan
程咬金抱病战王龙,cheng'yao'jin'bao'bing'zhan'wang'long
程咬金单身探地穴,cheng'yao'jin'dan'shen'tan'di'xue
程咬金逢赦回家,cheng'yao'jin'feng'she'hui'jia
程咬金喜纳裴翠云,cheng'yao'jin'xi'na'pei'cui'yun
程咬金戏战罗成,cheng'yao'jin'xi'zhan'luo'cheng
承运殿大醉因贪酒,cheng'yun'dian'da'zui'yin'tan'jiu
逞智慧妙语骗金箍,cheng'zhi'hui'miao'yu'pian'jin'gu
池大鬓枵腹敌二将,chi'da'bin'xiao'fu'di'er'jiang
赤发道法宝捉和尚,chi'fa'dao'fa'bao'zhuo'he'shang
赤发鬼醉卧灵官殿,chi'fa'gui'zui'wo'ling'guan'dian
痴公子狠使噪脾钱,chi'gong'zi'hen'shi'zao'pi'qian
迟衡山朋友议礼,chi'heng'shan'peng'you'yi'li
痴佳蕙遗失紫金坠,chi'jia'hui'yi'shi'zi'jin'zhui
驰令箭雄信传名,chi'ling'jian'xiong'xin'chuan'ming
迟取券毛烈赖原钱,chi'qu'quan'mao'lie'lai'yuan'qian
赤心儿欺主作威,chi'xin'er'qi'zhu'zuo'wei
赤字,chi'zi
痴子弟争锋毁花院,chi'zi'di'zheng'feng'hui'hua'yuan
赤子居心寻师觅父,chi'zi'ju'xin'xun'shi'mi'fu
驰奏章元帅报捷,chi'zou'zhang'yuan'shuai'bao'jie
宠虢公周郑交质,chong'guo'gong'zhou'zheng'jiao'zhi
充幕友身入宰相家,chong'mu'you'shen'ru'zai'xiang'jia
充小姐佳蕙拜邵公,chong'xiao'jie'jia'hui'bai'shao'gong
宠胥童晋国大乱,chong'xu'tong'jin'guo'da'luan
重阳女大闹幽州,chong'yang'nv'da'nao'you'zhou
抽肠,chou'chang
仇大娘,chou'da'niang
丑狐,chou'hu
丑虏悉平功臣受赏,chou'lu'xi'ping'gong'chen'shou'shang
臭腥风庙外追邪气,chou'xing'feng'miao'wai'zhui'xie'qi
仇游击暗地说前情,chou'you'ji'an'di'shuo'qian'qing
除暴凶吕布助司徒,chu'bao'xiong'lv'bu'zhu'si'tu
楚成王平乱相子文,chu'cheng'wang'ping'luan'xiang'zi'wen
锄反王杨林划策,chu'fan'wang'yang'lin'hua'ce
除黑店兄弟相逢,chu'hei'dian'xiong'di'xiang'feng
除奸淫错投大木场,chu'jian'yin'cuo'tou'da'mu'chang
除奸淫夜斩沈三郎,chu'jian'yin'ye'zhan'shen'san'lang
触旧事神在泣红亭,chu'jiu'shi'shen'zai'qi'hong'ting
楚灵王大合诸侯,chu'ling'wang'da'he'zhu'hou
楚灵王挟诈灭陈蔡,chu'ling'wang'xie'zha'mie'chen'cai
出囹圄英雄惨戮,chu'ling'yu'ying'xiong'can'lu
出陇上诸葛妆神,chu'long'shang'zhu'ge'zhuang'shen
出庙外四人平试艺,chu'miao'wai'si'ren'ping'shi'yi
初拍案惊奇,chu'pai'an'jing'qi
楚平王娶媳逐世子,chu'ping'wang'qu'xi'zhu'shi'zi
楚人伏兵劫盟主,chu'ren'fu'bing'jie'meng'zhu
楚商臣宫中弑父,chu'shang'chen'gong'zhong'shi'fu
褚生,chu'sheng
褚遂良,chu'sui'liang
出潼关秦琼赚令箭,chu'tong'guan'qin'qiong'zhuan'ling'jian
楚王杯酒虏息妫,chu'wang'bei'jiu'lu'xi'gui
出夏邑法败伪神师,chu'xia'yi'fa'bai'wei'shen'shi
除邪祟学士审虔婆,chu'xie'sui'xue'shi'shen'qian'po
楚熊通僭号称王,chu'xiong'tong'jian'hao'cheng'wang
除妖魁包文正联姻,chu'yao'kui'bao'wen'zheng'lian'yin
出狱僧巧完法会分,chu'yu'seng'qiao'wan'fa'hui'fen
楚昭王弃郢西奔,chu'zhao'wang'qi'ying'xi'ben
楚庄王纳谏复陈,chu'zhuang'wang'na'jian'fu'chen
出祖居文魁思寻弟,chu'zu'ju'wen'kui'si'xun'di
踹唐营雄信拼命,chuai'tang'ying'xiong'xin'pin'ming
传大宝中宗复位,chuan'da'bao'zhong'zong'fu'wei
传道术收认女门生,chuan'dao'shu'shou'ren'nv'men'sheng
船火儿夜闹浔阳江,chuan'huo'er'ye'nao'xun'yang'jiang
穿金户宝殿听鸾歌,chuan'jin'hu'bao'dian'ting'luan'ge
传奇方老翁济世,chuan'qi'fang'lao'weng'ji'shi
传情书帮闲学说客,chuan'qing'shu'bang'xian'xue'shuo'ke
穿山鼠小店摔酒盏,chuan'shan'shu'xiao'dian'shuai'jiu'zhan
穿山鼠徐庆,chuan'shan'shu'xu'qing
传圣旨张太监遇盗,chuan'sheng'zhi'zhang'tai'jian'yu'dao
穿梭镖明收虎将,chuan'suo'biao'ming'shou'hu'jiang
传题目私惠林公子,chuan'ti'mu'si'hui'lin'gong'zi
传遗命奸雄数终,chuan'yi'ming'jian'xiong'shu'zhong
穿云关四将被擒,chuan'yun'guan'si'jiang'bei'qin
闯宾筵小人怀肉,chuang'bin'yan'xiao'ren'huai'rou
闯大寨智化遭擒,chuang'da'zhai'zhi'hua'zao'qin
创帝业李渊举兵,chuang'di'ye'li'yuan'ju'bing
春花婢误泄风情,chun'hua'bi'wu'xie'feng'qing
春梅寄柬谐佳会,chun'mei'ji'jian'xie'jia'hui
春梅娇撒西门庆,chun'mei'jiao'sa'xi'men'qing
春梅姐不垂别泪,chun'mei'jie'bu'chui'bie'lei
春梅姐游旧家池馆,chun'mei'jie'you'jiu'jia'chi'guan
春梅姐正色闲邪,chun'mei'jie'zheng'se'xian'xie
春梦婆娑情长情短,chun'meng'po'suo'qing'chang'qing'duan
戳崔杼庆封独相,chuo'cui'zhu'qing'feng'du'xiang
辞鬼谷孙膑下山,ci'gui'gu'sun'bin'xia'shan
刺降贼夜入按察署,ci'jiang'zei'ye'ru'an'cha'shu
刺精忠岳母训子,ci'jing'zhong'yue'mu'xun'zi
辞绿鸭渔猎同合伙,ci'lv'ya'yu'lie'tong'he'huo
慈上皇难庇恶公主,ci'shang'huang'nan'bi'e'gong'zhu
赐书楼大醉高朋,ci'shu'lou'da'zui'gao'peng
刺先克五将乱晋,ci'xian'ke'wu'jiang'luan'jin
慈云观济公救难民,ci'yun'guan'ji'gong'jiu'nan'min
促织,cu'zhi
崔待诏生死冤家,cui'dai'zhao'sheng'si'yuan'jia
翠芳塘县官验醉鬼,cui'fang'tang'xian'guan'yan'zui'gui
崔龙崔豹双双逃命,cui'long'cui'bao'shuang'shuang'tao'ming
崔猛,cui'meng
崔衙内白鹞招妖,cui'ya'nei'bai'yao'zhao'yao
翠云峰英雄落草,cui'yun'feng'ying'xiong'luo'cao
崔总兵进衣传血诏,cui'zong'bing'jin'yi'chuan'xue'zhao
村店谈心遇异人,cun'dian'tan'xin'yu'yi'ren
错递呈权奸施毒计,cuo'di'cheng'quan'jian'shi'du'ji
错调情贾母詈女,cuo'tiao'qing'jia'mu'li'nv
打茶围幕友破财,da'cha'wei'mu'you'po'cai
达达国议举伐宋,da'da'guo'yi'ju'fa'song
打灯虎亭中赌画扇,da'deng'hu'ting'zhong'du'hua'shan
打盖郡智多星密筹,da'gai'jun'zhi'duo'xing'mi'chou
大海寺唐万仞徇义,da'hai'si'tang'wan'ren'xun'yi
打虎将有心结拜,da'hu'jiang'you'xin'jie'bai
妲己设计害比干,da'ji'she'ji'hai'bi'gan
大家分手官兵到,da'jia'fen'shou'guan'bing'dao
大奸已殛御驾班师,da'jian'yi'ji'yu'jia'ban'shi
大酒楼刘二撒泼,da'jiu'lou'liu'er'sa'po
打酒坛福将遇神仙,da'jiu'tan'fu'jiang'yu'shen'xian
