阿尔卑斯山,a'er'bei'si'shan
冰块,bing'kuai
兵马俑,bing'ma'yong
冰球鞋,bing'qiu'xie
病入膏肓,bing'ru'gao'huang
冰山,bing'shan
冰糖葫芦,bing'tang'hu'lu
冰箱,bing'xiang
波板糖,bo'ban'tang
菠菜,bo'cai
波浪线,bo'lang'xian
玻璃心,bo'li'xin
不羁之材,bu'ji'zhi'cai
布偶猫,bu'ou'mao
不三不四,bu'san'bu'si
不是因为寂寞才想你,bu'shi'yin'wei'ji'mo'cai'xiang'ni
捕鼠器,bu'shu'qi
菜刀,cai'dao
彩虹糖,cai'hong'tang
菜尖,cai'jian
彩票,cai'piao
采血针,cai'xue'zhen
残疾人奥运会,can'ji'ren'ao'yun'hui
苍耳,cang'er
藏羚,cang'ling
草果,cao'guo
草帽,cao'mao
草坪,cao'ping
草虾,cao'xia
厕所,ce'suo
叉车,cha'che
茶垢,cha'gou
叉子,cha'zi
柴犬,chai'quan
长鼻猴,chang'bi'hou
嫦娥,chang'e
长江,chang'jiang
长颈漏斗,chang'jing'lou'dou
长舌妇,chang'she'fu
长筒鞋,chang'tong'xie
超级雷暴,chao'ji'lei'bao
超级赛亚人,chao'ji'sai'ya'ren
超能陆战队,chao'neng'lu'zhan'dui
超市,chao'shi
车窗,che'chuang
车灯,che'deng
车门,che'men
车牌,che'pai
车片鱼,che'pian'yu
沉默的羔羊,chen'mo'de'gao'yang
衬衫,chen'shan
陈圆圆,chen'yuan'yuan
城管,cheng'guan
乘号,cheng'hao
乘黄,cheng'huang
城隍庙,cheng'huang'miao
程序员,cheng'xu'yuan
橙汁,cheng'zhi
乘舟侧畔千帆过,cheng'zhou'ce'pan'qian'fan'guo
橙子,cheng'zi
吃得了辛苦,chi'de'liao'xin'ku
吃葡萄不吐葡萄皮,chi'pu'tao'bu'tu'pu'tao'pi
抽签,chou'qian
抽屉,chou'ti
丑小鸭,chou'xiao'ya
出彩中国人,chu'cai'zhong'guo'ren
除号,chu'hao
储钱罐,chu'qian'guan
锄头,chu'tou
出租车,chu'zu'che
传递仪式,chuan'di'yi'shi
传送门,chuan'song'men
传真,chuan'zhen
穿针引线,chuan'zhen'yin'xian
床笫之私,chuang'zi'zhi'si
垂柳,chui'liu
垂涎三尺,chui'xian'san'chi
锤子,chui'zi
春风又绿江南岸,chun'feng'you'lv'jiang'nan'an
唇膏,chun'gao
春节,chun'jie
春来江水绿如蓝,chun'lai'jiang'shui'lv'ru'lan
糍饭糕,ci'fan'gao
慈菇,ci'gu
刺青,ci'qing
磁铁,ci'tie
慈禧太后,ci'xi'tai'hou
雌雄双剑,ci'xiong'shuang'jian
磁悬浮列车,ci'xuan'fu'lie'che
呲牙咧嘴,ci'ya'lie'zui
辞职,ci'zhi
从善如流,cong'shan'ru'liu
寸草春晖,cun'cao'chun'hui
错号,cuo'hao
大白兔奶糖,da'bai'tu'nai'tang
大笨钟,da'ben'zhong
大便罐头,da'bian'guan'tou
大饼,da'bing
达卜,da'bu
大葱,da'cong
大哥,da'ge
打嗝,da'ge
打火机,da'huo'ji
大卡车,da'ka'che
大哭,da'ku
打捞队,da'lao'dui
大门钥匙,da'men'yao'shi
大拇指,da'mu'zhi
大炮,da'pao
大树底下好乘凉,da'shu'di'xia'hao'cheng'liang
大蒜,da'suan
大头儿子小头爸爸,da'tou'er'zi'xiao'tou'ba'ba
大卫,da'wei
大卫科波菲尔,da'wei'ke'bo'fei'er
大象鼻子,da'xiang'bi'zi
大笑,da'xiao
大眼瞪小眼,da'yan'deng'xiao'yan
大于号,da'yu'hao
袋鼠,dai'shu
蛋饼,dan'bing
蛋糕,dan'gao
弹弓,dan'gong
蛋花汤,dan'hua'tang
担架,dan'jia
但你却拿我没办法,dan'ni'que'na'wo'mei'ban'fa
单人双桨,dan'ren'shuang'jiang
单眼皮,dan'yan'pi
档案袋,dang'an'dai
挡泥板,dang'ni'ban
导盲犬,dao'mang'quan
刀眉,dao'mei
盗墓,dao'mu
道士,dao'shi
刀削面,dao'xiao'mian
捣药罐,dao'yao'guan
灯泡,deng'pao
等于号,deng'yu'hao
迪奥,di'ao
迪士尼,di'shi'ni
迪斯尼,di'si'ni
地铁,di'tie
地图,di'tu
帝王节,di'wang'jie
地下城与勇士,di'xia'cheng'yu'yong'shi
地下河,di'xia'he
低音炮,di'yin'pao
地震,di'zhen
地中海,di'zhong'hai
笛子,di'zi
电茶壶,dian'cha'hu
电车,dian'che
电池,dian'chi
电灯,dian'deng
点读机,dian'du'ji
电棍,dian'gun
电话,dian'hua
电话机,dian'hua'ji
电吉它,dian'ji'ta
电鳗,dian'man
电梯,dian'ti
电线杆子,dian'xian'gan'zi
电源适配器,dian'yuan'shi'pei'qi
点赞,dian'zan
电子词典,dian'zi'ci'dian
电钻,dian'zuan
貂蝉学步,diao'chan'xue'bu
吊坠,diao'zhui
碟片,die'pian
鼎湖山,ding'hu'shan
丁俊晖,ding'jun'hui
订书机,ding'shu'ji
丢沙包,diu'sha'bao
丢色子,diu'shai'zi
丢手绢,diu'shou'juan
冬不拉,dong'bu'la
冬天,dong'tian
东洋刀,dong'yang'dao
豆瓣,dou'ban
窦娥,dou'e
逗号,dou'hao
豆浆,dou'jiang
杜宾犬,du'bin'quan
独木舟,du'mu'zhou
毒品,du'pin
毒伞枪,du'san'qiang
肚子,du'zi
短裤,duan'ku
短跑,duan'pao
短袖,duan'xiu
对号,dui'hao
多米诺骨牌,duo'mi'nuo'gu'pai
鹅卵石,e'luan'shi
鳄鱼的眼泪,e'yu'de'yan'lei
耳钉,er'ding
耳朵,er'duo
耳环,er'huan
二郎山,er'lang'shan
二郎神,er'lang'shen
二指禅,er'zhi'chan
法印,fa'yin
法院,fa'yuan
蕃茄酱,fan'qie'jiang
反手摸肚脐,fan'shou'mo'du'qi
反手炫腹,fan'shou'xuan'fu
反坦克导弹,fan'tan'ke'dao'dan
翻云覆雨,fan'yun'fu'yu
防暴警察,fang'bao'jing'cha
放长线钓大鱼,fang'chang'xian'diao'da'yu
方程式,fang'cheng'shi
放荡不羁,fang'dang'bu'ji
防狼喷雾,fang'lang'pen'wu
飞镖,fei'biao
飞叠杯,fei'die'bei
妃嫔媵嫱,fei'pin'ying'qiang
粉红顽皮豹,fen'hong'wan'pi'bao
分娩,fen'mian
愤怒的小鸟,fen'nu'de'xiao'niao
风车,feng'che
风马牛不相及,feng'ma'niu'bu'xiang'ji
风之宫殿,feng'zhi'gong'dian
佛诞节,fo'dan'jie
佛珠,fo'zhu
佛祖,fo'zu
福尔康,fu'er'kang
负荆请罪,fu'jing'qing'zui
父亲节,fu'qin'jie
丐帮,gai'bang
甘蓝,gan'lan
干妈,gan'ma
干柿鬼鲛,gan'shi'gui'jiao
感叹号,gan'tan'hao
赶鸭子上架,gan'ya'zi'shang'jia
钢管女郎,gang'guan'nv'lang
刚果河,gang'guo'he
钢琴键,gang'qin'jian
钢铁是怎样炼成的,gang'tie'shi'zen'yang'lian'cheng'de
高尔基,gao'er'ji
高铁,gao'tie
高兴,gao'xing
胳膊,ge'bo
格力,ge'li
工兵铲,gong'bing'chan
功夫熊猫,gong'fu'xiong'mao
公鸡,gong'ji
龚琳娜,gong'lin'na
公主,gong'zhu
狗粮,gou'liang
狗拿耗子多管闲事,gou'na'hao'zi'duo'guan'xian'shi
狗欠猪债,gou'qian'zhu'zhai
狗血,gou'xue
孤儿院,gu'er'yuan
古隆中,gu'long'zhong
故事会,gu'shi'hui
骨折,gu'zhe
刮皮刀,gua'pi'dao
挂羊头卖狗肉,gua'yang'tou'mai'gou'rou
拐杖,guai'zhang
关不上的窗,guan'bu'shang'de'chuang
冠军,guan'jun
罐头,guan'tou
管中窥豹可见一斑,guan'zhong'kui'bao'ke'jian'yi'ban
光机,guang'ji
光驱,guang'qu
光头,guang'tou
光头强,guang'tou'qiang
鬼屋,gui'wu
国际禁毒日,guo'ji'jin'du'ri
裹脚布,guo'jiao'bu
过街天桥,guo'jie'tian'qiao
过敏,guo'min
国旗,guo'qi
国字脸,guo'zi'lian
蛤蟆功,ha'ma'gong
哈密瓜,ha'mi'gua
海盗,hai'dao
海底捞,hai'di'lao
海龟,hai'gui
海节,hai'jie
海马,hai'ma
海王星,hai'wang'xing
海象,hai'xiang
海星,hai'xing
汉堡,han'bao
汉堡包,han'bao'bao
航空母舰,hang'kong'mu'jian
鹤氅,he'chang
河东狮吼,he'dong'shi'hou
荷花,he'hua
河马,he'ma
和尚,he'shang
核桃夹,he'tao'jia
涸泽之蛇,he'ze'zhi'she
黑白电视机,hei'bai'dian'shi'ji
黑板擦,hei'ban'ca
黑豆,hei'dou
黑龙江,hei'long'jiang
黑马,hei'ma
黑社会,hei'she'hui
黑夜,hei'ye
横眉怒目,heng'mei'nu'mu
红茶,hong'cha
红豆,hong'dou
红红火火,hong'hong'huo'huo
红酒,hong'jiu
红辣椒,hong'la'jiao
红莲教,hong'lian'jiao
红萝卜排骨汤,hong'luo'bo'pai'gu'tang
红牌,hong'pai
红日,hong'ri
红与黑,hong'yu'hei
红枣,hong'zao
红掌拨清波,hong'zhang'bo'qing'bo
后备箱,hou'bei'xiang
后发座,hou'fa'zuo
后母戊鼎,hou'mu'wu'ding
猴年马月,hou'nian'ma'yue
猴腮雷,hou'sai'lei
后视镜,hou'shi'jing
后羿,hou'yi
猴子,hou'zi
狐狸,hu'li
狐狸和山羊,hu'li'he'shan'yang
狐狸和乌鸦,hu'li'he'wu'ya
狐狸精,hu'li'jing
狐狸山,hu'li'shan
狐狸与葡萄,hu'li'yu'pu'tao
葫芦,hu'lu
胡萝卜汁,hu'luo'bo'zhi
湖泊,hu'po
护士,hu'shi
护士节,hu'shi'jie
画家,hua'jia
花露水,hua'lu'shui
花瓶,hua'ping
滑翔机,hua'xiang'ji
滑翔翼,hua'xiang'yi
化妆舞会,hua'zhuang'wu'hui
皇帝的新装,huang'di'de'xin'zhuang
黄瓜,huang'gua
黄河,huang'he
黄花菜,huang'hua'cai
黄金,huang'jin
黄玫瑰,huang'mei'gui
黄山,huang'shan
黄鳝,huang'shan
黄鼠狼给鸡拜年,huang'shu'lang'gei'ji'bai'nian
灰姑娘与水晶鞋,hui'gu'niang'yu'shui'jing'xie
茴香,hui'xiang
火柴,huo'chai
火车,huo'che
货车,huo'che
火狐,huo'hu
火箭,huo'jian
火尖枪,huo'jian'qiang
火箭筒,huo'jian'tong
霍金,huo'jin
火山,huo'shan
火星,huo'xing
火影忍者,huo'ying'ren'zhe
鸡蛋,ji'dan
鸡蛋里挑骨头,ji'dan'li'tiao'gu'tou
鸡蛋里找骨头,ji'dan'li'zhao'gu'tou
缉毒犬,ji'du'quan
饥饿,ji'e
计分牌,ji'fen'pai
鸡冠蛇,ji'guan'she
吉吉,ji'ji
击剑,ji'jian
寄居蟹,ji'ju'xie
季军,ji'jun
鸡毛菜,ji'mao'cai
吉他,ji'ta
吉它,ji'ta
鸡腿,ji'tui
纪晓岚,ji'xiao'lan
加号,jia'hao
嘉莉妹妹,jia'li'mei'mei
加特林机枪,jia'te'lin'ji'qiang
架子鼓,jia'zi'gu
煎饼果子,jian'bing'guo'zi
剑齿虎,jian'chi'hu
健次郎,jian'ci'lang
剪刀,jian'dao
剪刀手爱德华,jian'dao'shou'ai'de'hua
间谍,jian'die
箭毒蛙,jian'du'wa
减号,jian'hao
建军节,jian'jun'jie
剑龙,jian'long
键盘,jian'pan
箭头,jian'tou
监狱,jian'yu
尖嘴猴腮,jian'zui'hou'sai
僵尸符,jiang'shi'fu
姜子牙,jiang'zi'ya
搅拌车,jiao'ban'che
叫花子,jiao'hua'zi
胶卷,jiao'juan
教练,jiao'lian
脚链,jiao'lian
教室,jiao'shi
教师,jiao'shi
脚踏俩只船,jiao'ta'lia'zhi'chuan
脚趾,jiao'zhi
桔梗花,jie'geng'hua
结婚照,jie'hun'zhao
戒指,jie'zhi
金刚,jin'gang
金钱剑,jin'qian'jian
金三胖,jin'san'pang
金沙江,jin'sha'jiang
金丝猴,jin'si'hou
金丝楠,jin'si'nan
金丝鸟,jin'si'niao
金丝熊,jin'si'xiong
金鱼草,jin'yu'cao
警察,jing'cha
警车,jing'che
惊愕,jing'e
精武鸭,jing'wu'ya
鲸鱼,jing'yu
九百九十九朵玫瑰,jiu'bai'jiu'shi'jiu'duo'mei'gui
酒精瓶,jiu'jing'ping
九牛二虎之力,jiu'niu'er'hu'zhi'li
酒瓶,jiu'ping
酒吞童子,jiu'tun'tong'zi
狙击镜,ju'ji'jing
巨蛇偷蛋,ju'she'tou'dan
举头望明月,ju'tou'wang'ming'yue
桔子,ju'zi
橘子,ju'zi
卷桥,juan'qiao
爵士帽,jue'shi'mao
军帽,jun'mao
卡牌,ka'pai
开膛手杰克,kai'tang'shou'jie'ke
康加鼓,kang'jia'gu
拷鬼棒,kao'gui'bang
可口可乐,ke'kou'ke'le
可乐,ke'le
咳嗽,ke'sou
空格键,kong'ge'jian
空姐,kong'jie
空军,kong'jun
恐龙,kong'long
孔明灯,kong'ming'deng
空气净化器,kong'qi'jing'hua'qi
空调遥控器,kong'tiao'yao'kong'qi
空中玻璃长廊,kong'zhong'bo'li'chang'lang
空中玻璃走廊,kong'zhong'bo'li'zou'lang
空中之镜,kong'zhong'zhi'jing
口吃,kou'chi
蔻驰,kou'chi
口服液,kou'fu'ye
口腔,kou'qiang
口琴,kou'qin
苦瓜,ku'gua
酷企鹅,ku'qi'e
跨栏跑,kua'lan'pao
会计,kuai'ji
快乐女生,kuai'le'nv'sheng
筷筒,kuai'tong
筷子兄弟,kuai'zi'xiong'di
葵花,kui'hua
傀儡,kui'lei
窥一斑而知全豹,kui'yi'ban'er'zhi'quan'bao
括号,kuo'hao
喇叭,la'ba
垃圾,la'ji
拉链,la'lian
澜江,lan'jiang
狼人,lang'ren
狼牙山五壮士,lang'ya'shan'wu'zhuang'shi
老虎,lao'hu
劳力士,lao'li'shi
老人与海,lao'ren'yu'hai
老师,lao'shi
老鼠,lao'shu
老鼠学猫叫,lao'shu'xue'mao'jiao
老鼠药,lao'shu'yao
老鹰捉小鸡,lao'ying'zhuo'xiao'ji
乐口福,le'kou'fu
雷锋,lei'feng
雷蛇,lei'she
蕾丝,lei'si
狸花猫,li'hua'mao
离婚证,li'hun'zheng
李靖,li'jing
骊山,li'shan
李咏,li'yong
鲤鱼跳龙门,li'yu'tiao'long'men
镰刀,lian'dao
练颈帽,lian'jing'mao
连连看,lian'lian'kan
莲藕,lian'ou
链球,lian'qiu
恋人,lian'ren
晾衣杆,liang'yi'gan
两只蝴蝶,liang'zhi'hu'die
猎户座,lie'hu'zuo
淋巴瘤,lin'ba'liu
林丹,lin'dan
邻居,lin'ju
林书豪,lin'shu'hao
林则徐,lin'ze'xu
灵虫,ling'chong
领带,ling'dai
凌渡,ling'du
灵符,ling'fu
领结,ling'jie
玲珑宝塔,ling'long'bao'ta
菱形,ling'xing
六边形,liu'bian'xing
溜冰,liu'bing
溜冰鞋,liu'bing'xie
刘海,liu'hai
流汗,liu'han
流泪,liu'lei
榴莲,liu'lian
流氓,liu'mang
刘循子墨,liu'xun'zi'mo
龙笛,long'di
龙生九子,long'sheng'jiu'zi
龙抬头节,long'tai'tou'jie
龙虾,long'xia
龙椅,long'yi
楼梯,lou'ti
轮船,lun'chuan
轮胎,lun'tai
轮椅,lun'yi
萝卜青菜各有所爱,luo'bo'qing'cai'ge'you'suo'ai
罗德岛太阳神巨像,luo'de'dao'tai'yang'shen'ju'xiang
落地灯,luo'di'deng
罗马角斗场,luo'ma'jue'dou'chang
骆驼,luo'tuo
罗志祥,luo'zhi'xiang
绿地,lv'di
蚂蟥,ma'huang
马拉松,ma'la'song
玛丽莲梦露,ma'li'lian'meng'lu
马路,ma'lu
妈妈,ma'ma
蚂蚱,ma'zha
麦当劳叔叔,mai'dang'lao'shu'shu
卖火柴的小女孩,mai'huo'chai'de'xiao'nv'hai
迈克尔杰克逊,mai'ke'er'jie'ke'xun
迈克杰克逊,mai'ke'jie'ke'xun
麦太太,mai'tai'tai
芒果,mang'guo
毛笔,mao'bi
毛豆,mao'dou
冒号,mao'hao
毛巾,mao'jin
猫粮,mao'liang
毛衣,mao'yi
眉笔,mei'bi
美的,mei'di
美杜莎,mei'du'sha
美国,mei'guo
美女与野兽,mei'nv'yu'ye'shou
美人计,mei'ren'ji
美容院,mei'rong'yuan
没头没脑,mei'tou'mei'nao
美元,mei'yuan
孟姜女哭长城,meng'jiang'nv'ku'chang'cheng
梦游症,meng'you'zheng
蜜蜂,mi'feng
猕猴桃,mi'hou'tao
米兰大教堂,mi'lan'da'jiao'tang
麋鹿,mi'lu
密码盒,mi'ma'he
密码盘,mi'ma'pan
迷你健步机,mi'ni'jian'bu'ji
密西西比河,mi'xi'xi'bi'he
面积,mian'ji
民族歌曲,min'zu'ge'qu
命理师,ming'li'shi
魔法值,mo'fa'zhi
莫高窟,mo'gao'ku
摩羯座,mo'jie'zuo
魔羯座,mo'jie'zuo
磨砂玻璃,mo'sha'bo'li
莫须有,mo'xu'you
木兰拳,mu'lan'quan
木牛流马,mu'niu'liu'ma
目无全牛,mu'wu'quan'niu
拇指猴,mu'zhi'hou
纳粹万字符,na'cui'wan'zi'fu
奶妈,nai'ma
奶奶,nai'nai
奶牛,nai'niu
奶瓶,nai'ping
男人哭吧不是罪,nan'ren'ku'ba'bu'shi'zui
脑袋被驴踢了,nao'dai'bei'lv'ti'le
脑筋急转弯,nao'jin'ji'zhuan'wan
脑震荡,nao'zhen'dang
内裤,nei'ku
内马尔,nei'ma'er
你是我的眼,ni'shi'wo'de'yan
逆十字,ni'shi'zi
碾船,nian'chuan
念经,nian'jing
年轮,nian'lun
柠檬,ning'meng
柠檬水,ning'meng'shui
牛顿,niu'dun
钮扣,niu'kou
牛郎,niu'lang
牛排,niu'pai
牛蛙,niu'wa
浓眉大眼,nong'mei'da'yan
农民,nong'min
怒目横视,nu'mu'heng'shi
女神经,nv'shen'jing
女娲,nv'wa
女娲造人补天,nv'wa'zao'ren'bu'tian
女王,nv'wang
藕断丝连,ou'duan'si'lian
帕特神农庙,pa'te'shen'nong'miao
帕提农神庙,pa'ti'nong'shen'miao
排骨,pai'gu
排骨年糕,pai'gu'nian'gao
排笙,pai'sheng
拍手称快,pai'shou'cheng'kuai
盘古开天,pan'gu'kai'tian
螃蟹,pang'xie
炮兵,pao'bing
跑步,pao'bu
泡沫红茶,pao'mo'hong'cha
盆地,pen'di
喷浆机,pen'jiang'ji
皮带,pi'dai
皮诺曹,pi'nuo'cao
皮鞋,pi'xie
披着羊皮的狼,pi'zhe'yang'pi'de'lang
拼车达人,pin'che'da'ren
拼图,pin'tu
平方根号,ping'fang'gen'hao
屏风,ping'feng
瓶盖,ping'gai
平菇,ping'gu
苹果,ping'guo
平衡车,ping'heng'che
平角内裤,ping'jiao'nei'ku
破窗笔,po'chuang'bi
破蛋而出,po'dan'er'chu
婆罗浮屠,po'luo'fu'tu
瀑布,pu'bu
普罗旺斯,pu'luo'wang'si
齐逼小短裙,qi'bi'xiao'duan'qun
气歩枪,qi'bu'qiang
汽车,qi'che
七个小矮人,qi'ge'xiao'ai'ren
麒麟,qi'lin
麒麟座,qi'lin'zuo
七色花,qi'se'hua
七喜,qi'xi
七夕,qi'xi
七夕情人节,qi'xi'qing'ren'jie
七星瓢虫,qi'xing'piao'chong
汽油,qi'you
千鸟,qian'niao
牵手,qian'shou
潜艇兵,qian'ting'bing
墙倒众人推,qiang'dao'zhong'ren'tui
枪鱼,qiang'yu
乔巴,qiao'ba
茄子,qie'zi
禽流感,qin'liu'gan
亲嘴,qin'zui
青菜,qing'cai
轻功,qing'gong
清洁员,qing'jie'yuan
青龙,qing'long
清明上河图,qing'ming'shang'he'tu
情人草,qing'ren'cao
青蛇,qing'she
蜻蜓,qing'ting
蜻蜓点水,qing'ting'dian'shui
青铜神树,qing'tong'shen'shu
青蛙汉堡,qing'wa'han'bao
清扬,qing'yang
秋裤,qiu'ku
球鞋,qiu'xie
球衣,qiu'yi
球状闪电,qiu'zhuang'shan'dian
圈套,quan'tao
拳套,quan'tao
却一直被人踩在脚下一无所有,que'yi'zhi'bei'ren'cai'zai'jiao'xia'yi'wu'suo'you
裙子,qun'zi
让我们荡起双桨,rang'wo'men'dang'qi'shuang'jiang
让子弹飞,rang'zi'dan'fei
热翔,re'xiang
人民大会堂,ren'min'da'hui'tang
人生若只如初见,ren'sheng'ruo'zhi'ru'chu'jian
人心不足蛇吞象,ren'xin'bu'zu'she'tun'xiang
日本柴犬,ri'ben'chai'quan
日环食,ri'huan'shi
日历,ri'li
榕树,rong'shu
如坐针毡,ru'zuo'zhen'zhan
锐澳鸡尾酒,rui'ao'ji'wei'jiu
萨玛拉大清真寺,sa'ma'la'da'qing'zhen'si
萨马拉大清真寺,sa'ma'la'da'qing'zhen'si
三打白骨精,san'da'bai'gu'jing
三个和尚,san'ge'he'shang
三个和尚没水吃,san'ge'he'shang'mei'shui'chi
三节棍,san'jie'gun
三清铃,san'qing'ling
三人行必有我师,san'ren'xing'bi'you'wo'shi
三头蛇,san'tou'she
三叶草,san'ye'cao
三叶虫,san'ye'chong
三只小猪盖房子,san'zhi'xiao'zhu'gai'fang'zi
扫把,sao'ba
扫帚眉,sao'zhou'mei
色狼,se'lang
森林,sen'lin
僧鞋,seng'xie
僧衣,seng'yi
沙丁鱼罐头,sha'ding'yu'guan'tou
杀鸡取卵,sha'ji'qu'luan
沙滩,sha'tan
沙特阿拉伯,sha'te'a'la'bo
鲨鱼,sha'yu
色子,shai'zi
闪电,shan'dian
山峰,shan'feng
闪光弹,shan'guang'dan
山核桃,shan'he'tao
扇子,shan'zi
上吊,shang'diao
上海滩,shang'hai'tan
上开桥,shang'kai'qiao
上课,shang'ke
伤心,shang'xin
烧烤,shao'kao
烧卖,shao'mai
少年派的奇幻漂流,shao'nian'pai'de'qi'huan'piao'liu
少女节,shao'nv'jie
烧香,shao'xiang
勺子,shao'zi
蛇胆,she'dan
射灯,she'deng
蛇夫座,she'fu'zuo
射箭,she'jian
蛇精脸,she'jing'lian
舌头,she'tou
摄影师,she'ying'shi
身高,shen'gao
深海鱼,shen'hai'yu
绳操,sheng'cao
圣诞彩带,sheng'dan'cai'dai
圣诞屋,sheng'dan'wu
声调,sheng'diao
圣斗士,sheng'dou'shi
圣米歇尔山修道院,sheng'mi'xie'er'shan'xiu'dao'yuan
生命值,sheng'ming'zhi
升旗,sheng'qi
生气,sheng'qi
生死簿,sheng'si'bu
盛夏的果实,sheng'xia'de'guo'shi
生鱼片,sheng'yu'pian
士兵,shi'bing
柿饼,shi'bing
石貂,shi'diao
十个太阳,shi'ge'tai'yang
嗜痂之癖,shi'jia'zhi'pi
时间都去哪了,shi'jian'dou'qu'na'le
诗经,shi'jing
石林,shi'lin
十七岁的雨季,shi'qi'sui'de'yu'ji
石狮子,shi'shi'zi
十万个为什么,shi'wan'ge'wei'shen'me
食盐,shi'yan
实验室,shi'yan'shi
食油,shi'you
食指,shi'zhi
柿子,shi'zi
狮子座,shi'zi'zuo
手表,shou'biao
手柄,shou'bing
手电筒,shou'dian'tong
手机,shou'ji
手机链,shou'ji'lian
手铐,shou'kao
手里剑,shou'li'jian
手帕纸,shou'pa'zhi
收尸,shou'shi
手心,shou'xin
手指饼干,shou'zhi'bing'gan
手镯,shou'zhuo
书报亭,shu'bao'ting
树袋熊,shu'dai'xiong
书架,shu'jia
薯条,shu'tiao
树蛙,shu'wa
输液吊杆,shu'ye'diao'gan
输液贴,shu'ye'tie
甩葱歌,shuai'cong'ge
摔跤护垫,shuai'jiao'hu'dian
双胞胎,shuang'bao'tai
双杠,shuang'gang
双黄蛋,shuang'huang'dan
双节棍,shuang'jie'gun
双枪,shuang'qiang
双人划艇,shuang'ren'hua'ting
双人跳板,shuang'ren'tiao'ban
双人跳台,shuang'ren'tiao'tai
双色龙虾,shuang'se'long'xia
双头蛇,shuang'tou'she
双子座,shuang'zi'zuo
水箭龟,shui'jian'gui
水窖,shui'jiao
睡觉,shui'jiao
水晶,shui'jing
睡莲,shui'lian
水母,shui'mu
水母漂,shui'mu'piao
水上芭蕾,shui'shang'ba'lei
水仙花,shui'xian'hua
水银灯,shui'yin'deng
水煮蛋,shui'zhu'dan
斯巴达勇士,si'ba'da'yong'shi
丝瓜,si'gua
司机,si'ji
死机,si'ji
寺庙,si'miao
死神,si'shen
丝袜控,si'wa'kong
死鸭子嘴硬,si'ya'zi'zui'ying
四叶草,si'ye'cao
四翼鸟,si'yi'niao
寺院,si'yuan
松花江,song'hua'jiang
松狮犬,song'shi'quan
松树,song'shu
松鼠,song'shu
松下,song'xia
送鲜花,song'xian'hua
隧道,sui'dao
随身听,sui'shen'ting
锁骨放硬币,suo'gu'fang'ying'bi
唢呐,suo'na
台秤,tai'cheng
太监,tai'jian
台阶,tai'jie
台球,tai'qiu
太师椅,tai'shi'yi
泰坦尼克号,tai'tan'ni'ke'hao
太阳鸟,tai'yang'niao
太阳穴,tai'yang'xue
唐宫仕女图,tang'gong'shi'nv'tu
螳螂,tang'lang
唐僧,tang'seng
桃花依旧笑春风,tao'hua'yi'jiu'xiao'chun'feng
桃李满天下,tao'li'man'tian'xia
桃木梳,tao'mu'shu
桃园结义,tao'yuan'jie'yi
桃子,tao'zi
桃子树,tao'zi'shu
特洛伊战争,te'luo'yi'zhan'zheng
藤球,teng'qiu
藤椅,teng'yi
体操棒,ti'cao'bang
剃须刀,ti'xu'dao
体重,ti'zhong
天安门广场,tian'an'men'guang'chang
天鹅,tian'e
天亮了,tian'liang'le
天门山,tian'men'shan
天蓬尺,tian'peng'chi
天下第一武道会,tian'xia'di'yi'wu'dao'hui
跳板,tiao'ban
跳伞,tiao'san
跳水,tiao'shui
跳远,tiao'yuan
