暗动,an'dong
亥卯未,hai'mao'wei
亥日,hai'ri
亥时,hai'shi
亥水,hai'shui
亥水父母,hai'shui'fu'mu
亥水父母持世,hai'shui'fu'mu'chi'shi
亥水官鬼,hai'shui'guan'gui
亥水官鬼持世,hai'shui'guan'gui'chi'shi
亥水妻财,hai'shui'qi'cai
亥水妻财持世,hai'shui'qi'cai'chi'shi
亥水兄弟,hai'shui'xiong'di
亥水兄弟持世,hai'shui'xiong'di'chi'shi
亥水子孙,hai'shui'zi'sun
亥水子孙持世,hai'shui'zi'sun'chi'shi
亥月,hai'yue
海中金,hai'zhong'jin
亥子丑,hai'zi'chou
合绊,he'ban
合火局,he'huo'ju
合金局,he'jin'ju
合木局,he'mu'ju
合起,he'qi
合水局,he'shui'ju
互卦,hu'gua
互刑,hu'xing
化绊,hua'ban
化冲,hua'chong
华盖,hua'gai
化合,hua'he
化回头克,hua'hui'tou'ke
化回头生,hua'hui'tou'sheng
化进,hua'jin
化克,hua'ke
化空,hua'kong
化墓,hua'mu
化破,hua'po
化生,hua'sheng
化退,hua'tui
黄金策,huang'jin'ce
回头克,hui'tou'ke
回头生,hui'tou'sheng
浑天甲子,hun'tian'jia'zi
火地晋,huo'di'jin
火风鼎,huo'feng'ding
火局,huo'ju
火克金,huo'ke'jin
火雷噬嗑,huo'lei'shi'ke
火山旅,huo'shan'lv
火生土,huo'sheng'tu
火水未济,huo'shui'wei'ji
火天大有,huo'tian'da'you
火爻,huo'yao
火泽睽,huo'ze'kui
己丑,ji'chou
己亥,ji'hai
己卯,ji'mao
忌神,ji'shen
己巳,ji'si
己未,ji'wei
吉凶,ji'xiong
己酉,ji'you
甲辰,jia'chen
甲申,jia'shen
甲午,jia'wu
甲戌,jia'xu
甲寅,jia'yin
甲子,jia'zi
剑锋金,jian'feng'jin
涧下水,jian'xia'shui
将星,jiang'xing
劫煞,jie'sha
金箔金,jin'bo'jin
金局,jin'ju
金克木,jin'ke'mu
金生水,jin'sheng'shui
金爻,jin'yao
静卦,jing'gua
静爻,jing'yao
九二,jiu'er
九三,jiu'san
九四,jiu'si
九五,jiu'wu
坎宫八卦,kan'gong'ba'gua
坎卦,kan'gua
坎六,kan'liu
坎为水,kan'wei'shui
坎中满,kan'zhong'man
坤八,kun'ba
坤宫八卦,kun'gong'ba'gua
坤卦,kun'gua
坤六断,kun'liu'duan
坤为地,kun'wei'di
老阳,lao'yang
老阴,lao'yin
雷地豫,lei'di'yu
雷风恒,lei'feng'heng
雷火丰,lei'huo'feng
雷山小过,lei'shan'xiao'guo
雷水解,lei'shui'jie
雷天大壮,lei'tian'da'zhuang
雷泽归妹,lei'ze'gui'mei
离宫八卦,li'gong'ba'gua
离卦,li'gua
离三,li'san
离为火,li'wei'huo
离中虚,li'zhong'xu
两仪,liang'yi
临官,lin'guan
六冲,liu'chong
六冲卦,liu'chong'gua
六二,liu'er
六害,liu'hai
六三,liu'san
六神,liu'shen
六十甲子,liu'shi'jia'zi
六十四卦,liu'shi'si'gua
六兽,liu'shou
六四,liu'si
六爻,liu'yao
六一,liu'yi
路傍土,lu'bang'tu
六合,lu'he
六合卦,lu'he'gua
禄神,lu'shen
炉中火,lu'zhong'huo
卯辰,mao'chen
卯辰害,mao'chen'hai
卯木,mao'mu
卯木父母,mao'mu'fu'mu
卯木父母持世,mao'mu'fu'mu'chi'shi
卯木官鬼,mao'mu'guan'gui
卯木官鬼持世,mao'mu'guan'gui'chi'shi
卯木妻财,mao'mu'qi'cai
卯木妻财持世,mao'mu'qi'cai'chi'shi
卯木兄弟,mao'mu'xiong'di
卯木兄弟持世,mao'mu'xiong'di'chi'shi
卯木子孙,mao'mu'zi'sun
卯木子孙持世,mao'mu'zi'sun'chi'shi
卯日,mao'ri
卯时,mao'shi
卯戌,mao'xu
卯酉,mao'you
卯月,mao'yue
明动,ming'dong
谋星,mou'xing
木局,mu'ju
木克土,mu'ke'tu
木生火,mu'sheng'huo
木爻,mu'yao
纳音,na'yin
南方火,nan'fang'huo
内卦,nei'gua
排卦,pai'gua
抛钱,pao'qian
霹雳火,pi'li'huo
平土木,ping'tu'mu
妻财,qi'cai
妻财辰土,qi'cai'chen'tu
妻财辰土持世,qi'cai'chen'tu'chi'shi
妻财持世,qi'cai'chi'shi
妻财丑土,qi'cai'chou'tu
妻财丑土持世,qi'cai'chou'tu'chi'shi
妻财亥水,qi'cai'hai'shui
妻财亥水持世,qi'cai'hai'shui'chi'shi
妻财卯木,qi'cai'mao'mu
妻财卯木持世,qi'cai'mao'mu'chi'shi
妻财申金,qi'cai'shen'jin
妻财申金持世,qi'cai'shen'jin'chi'shi
妻财巳火,qi'cai'si'huo
妻财巳火持世,qi'cai'si'huo'chi'shi
妻财未土,qi'cai'wei'tu
妻财未土持世,qi'cai'wei'tu'chi'shi
妻财午火,qi'cai'wu'huo
妻财午火持世,qi'cai'wu'huo'chi'shi
妻财戌土,qi'cai'xu'tu
妻财戌土持世,qi'cai'xu'tu'chi'shi
妻财寅木,qi'cai'yin'mu
妻财寅木持世,qi'cai'yin'mu'chi'shi
妻财酉金,qi'cai'you'jin
妻财酉金持世,qi'cai'you'jin'chi'shi
妻财子水,qi'cai'zi'shui
妻财子水持世,qi'cai'zi'shui'chi'shi
起卦,qi'gua
乾宫八卦,qian'gong'ba'gua
乾卦,qian'gua
乾三连,qian'san'lian
乾为天,qian'wei'tian
乾一,qian'yi
青龙,qing'long
取用,qu'yong
泉中水,quan'zhong'shui
壬辰,ren'chen
壬申,ren'shen
壬午,ren'wu
壬戌,ren'xu
壬寅,ren'yin
壬子,ren'zi
日辰,ri'chen
日冲,ri'chong
日扶,ri'fu
日合,ri'he
日克,ri'ke
日令,ri'ling
日墓,ri'mu
日破,ri'po
日生,ri'sheng
入墓,ru'mu
三合,san'he
三会,san'hui
三刑,san'xing
三爻,san'yao
桑柘木,sang'zhe'mu
沙中金,sha'zhong'jin
沙中土,sha'zhong'tu
山地剥,shan'di'bo
山风蛊,shan'feng'gu
山火贲,shan'huo'ben
山雷颐,shan'lei'yi
山水蒙,shan'shui'meng
山天大畜,shan'tian'da'chu
山头火,shan'tou'huo
山下火,shan'xia'huo
山泽损,shan'ze'sun
上九,shang'jiu
上六,shang'liu
少阳,shao'yang
少阴,shao'yin
申亥,shen'hai
申亥害,shen'hai'hai
申金,shen'jin
申金父母,shen'jin'fu'mu
申金父母持世,shen'jin'fu'mu'chi'shi
申金官鬼,shen'jin'guan'gui
申金官鬼持世,shen'jin'guan'gui'chi'shi
申金妻财,shen'jin'qi'cai
申金妻财持世,shen'jin'qi'cai'chi'shi
申金兄弟,shen'jin'xiong'di
申金兄弟持世,shen'jin'xiong'di'chi'shi
申金子孙,shen'jin'zi'sun
申金子孙持世,shen'jin'zi'sun'chi'shi
申日,shen'ri
申时,shen'shi
申酉,shen'you
申酉戌,shen'you'xu
申月,shen'yue
申子辰,shen'zi'chen
生旺墓绝,sheng'wang'mu'jue
世持,shi'chi
世空,shi'kong
石榴木,shi'liu'mu
世爻,shi'yao
世应,shi'ying
属火,shu'huo
属金,shu'jin
属木,shu'mu
属水,shu'shui
属土,shu'tu
水地比,shui'di'bi
水风井,shui'feng'jing
水火既济,shui'huo'ji'ji
水局,shui'ju
水克火,shui'ke'huo
水雷屯,shui'lei'tun
水山蹇,shui'shan'jian
水生木,shui'sheng'mu
水天需,shui'tian'xu
水爻,shui'yao
水泽节,shui'ze'jie
巳亥,si'hai
巳亥冲,si'hai'chong
巳火,si'huo
巳火父母,si'huo'fu'mu
巳火父母持世,si'huo'fu'mu'chi'shi
巳火官鬼,si'huo'guan'gui
巳火官鬼持世,si'huo'guan'gui'chi'shi
巳火妻财,si'huo'qi'cai
巳火妻财持世,si'huo'qi'cai'chi'shi
巳火兄弟,si'huo'xiong'di
巳火兄弟持世,si'huo'xiong'di'chi'shi
巳火子孙,si'huo'zi'sun
巳火子孙持世,si'huo'zi'sun'chi'shi
巳日,si'ri
巳申,si'shen
巳申合,si'shen'he
巳时,si'shi
巳午未,si'wu'wei
四象,si'xiang
四爻,si'yao
巳酉丑,si'you'chou
巳月,si'yue
松柏木,song'bai'mu
太极,tai'ji
贪合忘生,tan'he'wang'sheng
贪生忘克,tan'sheng'wang'ke
桃花,tao'hua
腾蛇,teng'she
天地否,tian'di'fou
天风姤,tian'feng'gou
天干,tian'gan
天河水,tian'he'shui
天火同人,tian'huo'tong'ren
天雷无妄,tian'lei'wu'wang
天山遁,tian'shan'dun
天上火,tian'shang'huo
天水讼,tian'shui'song
天喜,tian'xi
天医,tian'yi
天泽履,tian'ze'lv
土克水,tu'ke'shui
土生金,tu'sheng'jin
土爻,tu'yao
外卦,wai'gua
旺衰,wang'shuai
旺相,wang'xiang
旺相休囚,wang'xiang'xiu'qiu
位高权轻,wei'gao'quan'qing
为害,wei'hai
未日,wei'ri
未时,wei'shi
未土,wei'tu
未土父母,wei'tu'fu'mu
未土父母持世,wei'tu'fu'mu'chi'shi
未土官鬼,wei'tu'guan'gui
未土官鬼持世,wei'tu'guan'gui'chi'shi
未土妻财,wei'tu'qi'cai
未土妻财持世,wei'tu'qi'cai'chi'shi
未土兄弟,wei'tu'xiong'di
未土兄弟持世,wei'tu'xiong'di'chi'shi
未土子孙,wei'tu'zi'sun
未土子孙持世,wei'tu'zi'sun'chi'shi
未月,wei'yue
文昌,wen'chang
戊辰,wu'chen
午火,wu'huo
午火父母,wu'huo'fu'mu
午火父母持世,wu'huo'fu'mu'chi'shi
午火官鬼,wu'huo'guan'gui
午火官鬼持世,wu'huo'guan'gui'chi'shi
午火妻财,wu'huo'qi'cai
午火妻财持世,wu'huo'qi'cai'chi'shi
午火兄弟,wu'huo'xiong'di
午火兄弟持世,wu'huo'xiong'di'chi'shi
午火子孙,wu'huo'zi'sun
午火子孙持世,wu'huo'zi'sun'chi'shi
午日,wu'ri
屋上土,wu'shang'tu
戊申,wu'shen
午时,wu'shi
午未,wu'wei
午未合,wu'wei'he
戊午,wu'wu
戊戌,wu'xu
五爻,wu'yao
戊寅,wu'yin
午月,wu'yue
戊子,wu'zi
西方金,xi'fang'jin
咸池,xian'chi
相害,xiang'hai
相克,xiang'ke
相生,xiang'sheng
相刑,xiang'xing
辛丑,xin'chou
辛亥,xin'hai
辛卯,xin'mao
辛巳,xin'si
辛未,xin'wei
辛酉,xin'you
兄弟,xiong'di
兄弟辰土,xiong'di'chen'tu
兄弟辰土持世,xiong'di'chen'tu'chi'shi
兄弟持世,xiong'di'chi'shi
兄弟丑土,xiong'di'chou'tu
兄弟丑土持世,xiong'di'chou'tu'chi'shi
兄弟亥水,xiong'di'hai'shui
兄弟亥水持世,xiong'di'hai'shui'chi'shi
兄弟卯木,xiong'di'mao'mu
兄弟卯木持世,xiong'di'mao'mu'chi'shi
兄弟申金,xiong'di'shen'jin
兄弟申金持世,xiong'di'shen'jin'chi'shi
兄弟巳火,xiong'di'si'huo
兄弟巳火持世,xiong'di'si'huo'chi'shi
兄弟未土,xiong'di'wei'tu
兄弟未土持世,xiong'di'wei'tu'chi'shi
兄弟午火,xiong'di'wu'huo
兄弟午火持世,xiong'di'wu'huo'chi'shi
兄弟戌土,xiong'di'xu'tu
兄弟戌土持世,xiong'di'xu'tu'chi'shi
兄弟寅木,xiong'di'yin'mu
兄弟寅木持世,xiong'di'yin'mu'chi'shi
兄弟酉金,xiong'di'you'jin
兄弟酉金持世,xiong'di'you'jin'chi'shi
兄弟子水,xiong'di'zi'shui
兄弟子水持世,xiong'di'zi'shui'chi'shi
休囚,xiu'qiu
戌亥,xu'hai
戌日,xu'ri
戌时,xu'shi
戌土,xu'tu
戌土父母,xu'tu'fu'mu
戌土父母持世,xu'tu'fu'mu'chi'shi
戌土官鬼,xu'tu'guan'gui
戌土官鬼持世,xu'tu'guan'gui'chi'shi
戌土妻财,xu'tu'qi'cai
戌土妻财持世,xu'tu'qi'cai'chi'shi
戌土兄弟,xu'tu'xiong'di
戌土兄弟持世,xu'tu'xiong'di'chi'shi
戌土子孙,xu'tu'zi'sun
戌土子孙持世,xu'tu'zi'sun'chi'shi
戌月,xu'yue
玄武,xuan'wu
巽宫八卦,xun'gong'ba'gua
巽卦,xun'gua
旬空,xun'kong
巽为风,xun'wei'feng
巽五,xun'wu
巽下断,xun'xia'duan
阳动,yang'dong
杨柳木,yang'liu'mu
羊刃,yang'ren
摇卦,yao'gua
爻位,yao'wei
爻象,yao'xiang
野鹤秘传,ye'he'mi'chuan
乙丑,yi'chou
乙亥,yi'hai
驿马,yi'ma
乙卯,yi'mao
易冒,yi'mao
乙未,yi'wei
易隐,yi'yin
阴动,yin'dong
寅亥,yin'hai
寅亥合,yin'hai'he
寅卯,yin'mao
寅卯辰,yin'mao'chen
寅木,yin'mu
寅木父母,yin'mu'fu'mu
寅木父母持世,yin'mu'fu'mu'chi'shi
寅木官鬼,yin'mu'guan'gui
寅木官鬼持世,yin'mu'guan'gui'chi'shi
寅木妻财,yin'mu'qi'cai
寅木妻财持世,yin'mu'qi'cai'chi'shi
寅木兄弟,yin'mu'xiong'di
寅木兄弟持世,yin'mu'xiong'di'chi'shi
寅木子孙,yin'mu'zi'sun
寅木子孙持世,yin'mu'zi'sun'chi'shi
寅日,yin'ri
寅申,yin'shen
寅申冲,yin'shen'chong
寅时,yin'shi
寅巳,yin'si
寅巳害,yin'si'hai
寅巳申,yin'si'shen
寅午戌,yin'wu'xu
寅月,yin'yue
应持,ying'chi
应空,ying'kong
应期,ying'qi
应爻,ying'yao
用九,yong'jiu
用六,yong'liu
用神,yong'shen
用神克世,yong'shen'ke'shi
用神生世,yong'shen'sheng'shi
用神衰败,yong'shen'shuai'bai
用旺世兴,yong'wang'shi'xing
用爻,yong'yao
游魂,you'hun
酉金,you'jin
酉金父母,you'jin'fu'mu
酉金父母持世,you'jin'fu'mu'chi'shi
酉金官鬼,you'jin'guan'gui
酉金官鬼持世,you'jin'guan'gui'chi'shi
酉金妻财,you'jin'qi'cai
酉金妻财持世,you'jin'qi'cai'chi'shi
酉金兄弟,you'jin'xiong'di
酉金兄弟持世,you'jin'xiong'di'chi'shi
酉金子孙,you'jin'zi'sun
酉金子孙持世,you'jin'zi'sun'chi'shi
酉日,you'ri
酉时,you'shi
酉戌,you'xu
酉戌害,you'xu'hai
酉月,you'yue
原神,yuan'shen
月合,yue'he
月建,yue'jian
月克,yue'ke
月令,yue'ling
月墓,yue'mu
月破,yue'po
月生,yue'sheng
灾煞,zai'sha
泽地萃,ze'di'cui
泽风大过,ze'feng'da'guo
泽火革,ze'huo'ge
泽雷随,ze'lei'sui
泽山咸,ze'shan'xian
泽水困,ze'shui'kun
泽天夬,ze'tian'jue
增删卜易,zeng'shan'bu'yi
震宫八卦,zhen'gong'ba'gua
震卦,zhen'gua
震四,zhen'si
震为雷,zhen'wei'lei
震仰盂,zhen'yang'yu
主卦,zhu'gua
朱雀,zhu'que
装卦,zhuang'gua
子丑,zi'chou
子丑合,zi'chou'he
子卯,zi'mao
子日,zi'ri
子时,zi'shi
子水,zi'shui
子水父母,zi'shui'fu'mu
子水父母持世,zi'shui'fu'mu'chi'shi
子水官鬼,zi'shui'guan'gui
子水官鬼持世,zi'shui'guan'gui'chi'shi
子水妻财,zi'shui'qi'cai
子水妻财持世,zi'shui'qi'cai'chi'shi
子水兄弟,zi'shui'xiong'di
子水兄弟持世,zi'shui'xiong'di'chi'shi
子水子孙,zi'shui'zi'sun
子水子孙持世,zi'shui'zi'sun'chi'shi
子孙,zi'sun
子孙辰土,zi'sun'chen'tu
子孙辰土持世,zi'sun'chen'tu'chi'shi
子孙持世,zi'sun'chi'shi
子孙丑土,zi'sun'chou'tu
子孙丑土持世,zi'sun'chou'tu'chi'shi
子孙亥水,zi'sun'hai'shui
子孙亥水持世,zi'sun'hai'shui'chi'shi
子孙卯木,zi'sun'mao'mu
子孙卯木持世,zi'sun'mao'mu'chi'shi
子孙申金,zi'sun'shen'jin
子孙申金持世,zi'sun'shen'jin'chi'shi
子孙巳火,zi'sun'si'huo
子孙巳火持世,zi'sun'si'huo'chi'shi
子孙未土,zi'sun'wei'tu
子孙未土持世,zi'sun'wei'tu'chi'shi
子孙午火,zi'sun'wu'huo
子孙午火持世,zi'sun'wu'huo'chi'shi
子孙戌土,zi'sun'xu'tu
子孙戌土持世,zi'sun'xu'tu'chi'shi
子孙寅木,zi'sun'yin'mu
子孙寅木持世,zi'sun'yin'mu'chi'shi
子孙酉金,zi'sun'you'jin
子孙酉金持世,zi'sun'you'jin'chi'shi
子孙子水,zi'sun'zi'shui
子孙子水持世,zi'sun'zi'shui'chi'shi
子未,zi'wei
子未害,zi'wei'hai
子午,zi'wu
子午冲,zi'wu'chong
自刑,zi'xing
子月,zi'yue
自占,zi'zhan
