安都乡,an'dou'xiang
新乡医学院,xin'xiang'yi'xue'yuan
新乡幼儿师范学校,xin'xiang'you'er'shi'fan'xue'xiao
辛庄村,xin'zhuang'cun
新庄村,xin'zhuang'cun
辛庄街,xin'zhuang'jie
邢李庄村,xing'li'zhuang'cun
徐堤村,xu'di'cun
许漫流村,xu'man'liu'cun
徐世昌家祠,xu'shi'chang'jia'ci
许屯村,xu'tun'cun
徐庄,xu'zhuang
雪白庄村,xue'bai'zhuang'cun
薛屯村,xue'tun'cun
彦村,yan'cun
沿淀街,yan'dian'jie
闫屯村,yan'tun'cun
杨大屯村,yang'da'tun'cun
杨井村,yang'jing'cun
杨湾村,yang'wan'cun
杨庄村,yang'zhuang'cun
姚庄村,yao'zhuang'cun
一附院,yi'fu'yuan
医专,yi'zhuan
饮马庄村,yin'ma'zhuang'cun
余连庄村,yu'lian'zhuang'cun
榆林庄村,yu'lin'zhuang'cun
原板桥村,yuan'ban'qiao'cun
猿猴沟村,yuan'hou'gou'cun
原种场,yuan'zhong'chang
枣林村,zao'lin'cun
战国古长城,zhan'guo'gu'chang'cheng
战国古墓群,zhan'guo'gu'mu'qun
张家庄村,zhang'jia'zhuang'cun
张王屯村,zhang'wang'tun'cun
张武店村,zhang'wu'dian'cun
张庄村,zhang'zhuang'cun
赵村,zhao'cun
赵庄村,zhao'zhuang'cun
政府广场,zheng'fu'guang'chang
正面村,zheng'mian'cun
纸坊村,zhi'fang'cun
周湾村,zhou'wan'cun
朱毛庄村,zhu'mao'zhuang'cun
蛛窑村,zhu'yao'cun
朱庄村,zhu'zhuang'cun
庄和村,zhuang'he'cun
庄里村,zhuang'li'cun
庄严村,zhuang'yan'cun
庄严寺村,zhuang'yan'si'cun
左庄村,zuo'zhuang'cun
