八座,ba'zuo
金箔金,jin'bo'jin
进马忌,jin'ma'ji
金四局,jin'si'ju
进退马,jin'tui'ma
纠缠忌,jiu'chan'ji
巨门,ju'men
绝命忌,jue'ming'ji
科入,ke'ru
空亡,kong'wang
廉贞,lian'zhen
两仪,liang'yi
临官,lin'guan
铃星,ling'xing
六八为足,liu'ba'wei'zu
流财,liu'cai
流父,liu'fu
流福,liu'fu
流官,liu'guan
流疾,liu'ji
流命,liu'ming
流仆,liu'pu
流妻,liu'qi
流迁,liu'qian
流田,liu'tian
流兄,liu'xiong
流子,liu'zi
龙池,long'chi
禄存,lu'cun
禄忌交战,lu'ji'jiao'zhan
路旁土,lu'pang'tu
禄入,lu'ru
禄随忌走,lu'sui'ji'zou
炉中火,lu'zhong'huo
命宫,ming'gong
木三局,mu'san'ju
沐浴,mu'yu
纳甲,na'jia
逆水忌,ni'shui'ji
霹雷火,pi'lei'huo
平地木,ping'di'mu
破军,po'jun
破碎,po'sui
仆役,pu'yi
七杀,qi'sha
迁移,qian'yi
钦天门,qin'tian'men
擎羊,qing'yang
权忌交战,quan'ji'jiao'zhan
权入,quan'ru
泉中水,quan'zhong'shui
壬辰,ren'chen
壬年,ren'nian
人盘,ren'pan
壬申,ren'shen
壬午,ren'wu
壬戌,ren'xu
壬寅,ren'yin
壬子,ren'zi
入库忌,ru'ku'ji
三八为木,san'ba'wei'mu
三方四正,san'fang'si'zheng
三台,san'tai
丧门,sang'men
桑松木,sang'song'mu
煞曜,sha'yao
沙中金,sha'zhong'jin
沙中土,sha'zhong'tu
山头火,shan'tou'huo
山下火,shan'xia'huo
射出忌,she'chu'ji
身宫,shen'gong
生年,sheng'nian
生日,sheng'ri
生时,sheng'shi
生月,sheng'yue
是非忌,shi'fei'ji
石榴木,shi'liu'mu
水二局,shui'er'ju
四九为金,si'jiu'wei'jin
四象,si'xiang
松柏木,song'bai'mu
他宫,ta'gong
太岁,tai'sui
太岁入卦,tai'sui'ru'gua
太阳,tai'yang
太阴,tai'yin
贪狼,tan'lang
天德,tian'de
天府,tian'fu
天福,tian'fu
天狗,tian'gou
天官,tian'guan
天贵,tian'gui
天河水,tian'he'shui
天机,tian'ji
天魁,tian'kui
天梁,tian'liang
天马,tian'ma
天盘,tian'pan
天伤,tian'shang
天上火,tian'shang'huo
天使,tian'shi
天同,tian'tong
天巫,tian'wu
天喜,tian'xi
天相,tian'xiang
天刑,tian'xing
天姚,tian'yao
天钺,tian'yue
田宅,tian'zhai
同步断诀,tong'bu'duan'jue
土五局,tu'wu'ju
退马忌,tui'ma'ji
陀罗,tuo'luo
文昌,wen'chang
文曲,wen'qu
我宫,wo'gong
戊辰,wu'chen
五鬼,wu'gui
五虎遁,wu'hu'dun
五居中央,wu'ju'zhong'yang
戊年,wu'nian
武曲,wu'qu
屋上土,wu'shang'tu
戊申,wu'shen
五十为土,wu'shi'wei'tu
五鼠遁,wu'shu'dun
戊午,wu'wu
戊戌,wu'xu
戊寅,wu'yin
戊子,wu'zi
象数,xiang'shu
小限,xiao'xian
辛丑,xin'chou
辛亥,xin'hai
辛卯,xin'mao
辛年,xin'nian
辛巳,xin'si
辛未,xin'wei
辛酉,xin'you
刑克,xing'ke
刑伤,xing'shang
星耀,xing'yao
兄弟,xiong'di
循环忌,xun'huan'ji
杨柳木,yang'liu'mu
阳男,yang'nan
阳女,yang'nv
乙丑,yi'chou
易卦,yi'gua
乙亥,yi'hai
一六为水,yi'liu'wei'shui
乙卯,yi'mao
乙年,yi'nian
乙巳,yi'si
一四四诀,yi'si'si'jue
乙未,yi'wei
乙酉,yi'you
阴男,yin'nan
阴女,yin'nv
阴煞,yin'sha
右弼,you'bi
月德,yue'de
掌诀,zhang'jue
徵验,zheng'yan
竹罗三限,zhu'luo'san'xian
自化忌,zi'hua'ji
自化科,zi'hua'ke
自化禄,zi'hua'lu
自化权,zi'hua'quan
子女,zi'nv
紫微,zi'wei
紫微斗数,zi'wei'dou'shu
左辅,zuo'fu
左三右七,zuo'san'you'qi
