阿尔尼,a'er'ni
封缘银城,feng'yuan'yin'cheng
风云三使,feng'yun'san'shi
冯振武,feng'zhen'wu
佛域,fo'yu
佛宗特使,fo'zong'te'shi
傅嫦雪,fu'chang'xue
拂尘拂法,fu'chen'fu'fa
伏虎掌,fu'hu'zhang
伏魔剑,fu'mo'jian
伏魔杖法,fu'mo'zhang'fa
伏牛派,fu'niu'pai
夫妻刀法,fu'qi'dao'fa
抚琴按箫,fu'qin'an'xiao
抚琴式,fu'qin'shi
浮丘挹袖,fu'qiu'yi'xiu
芙蓉剑法,fu'rong'jian'fa
芙蓉金针,fu'rong'jin'zhen
伏狮胜象,fu'shi'sheng'xiang
负手,fu'shou
扶摇子,fu'yao'zi
福缘深厚,fu'yuan'shen'hou
负子渡河,fu'zi'du'he
盖运聪,gai'yun'cong
罡风撼荡,gang'feng'han'dang
罡风扫叶,gang'feng'sao'ye
刚相,gang'xiang
高管家,gao'guan'jia
高冠勇,gao'guan'yong
高冠忠,gao'guan'zhong
高渐飞,gao'jian'fei
高克新,gao'ke'xin
高老大,gao'lao'da
高老者,gao'lao'zhe
高里津,gao'li'jin
高明根,gao'ming'gen
高三娘子,gao'san'niang'zi
高师弟,gao'shi'di
高太君,gao'tai'jun
高探马,gao'tan'ma
高亚南,gao'ya'nan
高颜超,gao'yan'chao
葛尔丹,ge'er'dan
葛通,ge'tong
葛长老,ge'zhang'lao
庚金天君,geng'jin'tian'jun
耿天霜,geng'tian'shuang
耿万钟,geng'wan'zhong
宫九,gong'jiu
宫九佳,gong'jiu'jia
宫南频,gong'nan'pin
宫南萍,gong'nan'ping
宫南燕,gong'nan'yan
公输瑾,gong'shu'jin
公输门,gong'shu'men
宫素素,gong'su'su
公孙兰,gong'sun'lan
公孙绿萼,gong'sun'lv'e
宫艳红,gong'yan'hong
公子羽,gong'zi'yu
狗头陀,gou'tou'tuo
钩弋握拳,gou'yi'wo'quan
古半仙,gu'ban'xian
古笃诚,gu'du'cheng
顾金标,gu'jin'biao
古木丛青霭,gu'mu'cong'qing'ai
孤萍对月,gu'ping'dui'yue
贾人达,gu'ren'da
古若般,gu'ruo'ban
鼓瑟式,gu'se'shi
古士庸,gu'shi'yong
孤松,gu'song
姑苏慕容,gu'su'mu'rong
古仙人,gu'xian'ren
关安基,guan'an'ji
关冲剑,guan'chong'jian
关明梅,guan'ming'mei
龟慈王妃,gui'ci'wang'fei
归二娘,gui'er'niang
贵妃回眸,gui'fei'hui'mou
硅晶,gui'jing
鬼算盘,gui'suan'pan
归辛树,gui'xin'shu
归钟,gui'zhong
郭大路,guo'da'lu
郭破虏,guo'po'lu
过三拳,guo'san'quan
郭嵩阳,guo'song'yang
郭啸天,guo'xiao'tian
郭玉堂,guo'yu'tang
国主,guo'zhu
哈赤大师,ha'chi'da'shi
哈合台,ha'he'tai
蛤蟆功,ha'ma'gong
哈总管,ha'zong'guan
海兰弼,hai'lan'bi
韩宝驹,han'bao'ju
寒冰绵掌,han'bing'mian'zhang
寒冰神掌,han'bing'shen'zhang
韩春霖,han'chun'lin
韩老丐,han'lao'gai
寒梅剑阵,han'mei'jian'zhen
韩千叶,han'qian'ye
寒霜枫,han'shuang'feng
罕贴摩,han'tie'mo
韩文冲,han'wen'chong
韩无垢,han'wu'gou
韩小莹,han'xiao'ying
寒字家族,han'zi'jia'zu
郝密,hao'mi
郝太监,hao'tai'jian
昊星真人,hao'xing'zhen'ren
鹤笔翁,he'bi'weng
赫大通,he'da'tong
和尔大,he'er'da
鹤飞九天,he'fei'jiu'tian
何红药,he'hong'yao
合卺酒,he'jin'jiu
贺老三,he'lao'san
和里布,he'li'bu
何三七,he'san'qi
贺尚书,he'shang'shu
鹤蛇八打,he'she'ba'da
河朔立威,he'shuo'li'wei
何思豪,he'si'hao
何太冲,he'tai'chong
何惕守,he'ti'shou
何铁手,he'tie'shou
何望海,he'wang'hai
鹤翔紫盖,he'xiang'zi'gai
黑白子,hei'bai'zi
黑风双煞,hei'feng'shuang'sha
黑砂掌,hei'sha'zhang
横拜观音,heng'bai'guan'yin
恒河入海,heng'he'ru'hai
横江飞渡,heng'jiang'fei'du
恒山剑法,heng'shan'jian'fa
恒山剑阵,heng'shan'jian'zhen
衡山五神剑,heng'shan'wu'shen'jian
横云断峰,heng'yun'duan'feng
恒云悯天,heng'yun'min'tian
洪安通,hong'an'tong
洪朝,hong'chao
红电,hong'dian
洪凌波,hong'ling'bo
虹魔嗜血剑,hong'mo'shi'xue'jian
红娘子,hong'niang'zi
洪七公,hong'qi'gong
洪人雄,hong'ren'xiong
洪胜海,hong'sheng'hai
洪武星云霄殿,hong'wu'xing'yun'xiao'dian
洪崖拍肩,hong'ya'pai'jian
红云老祖,hong'yun'lao'zu
红云器斋,hong'yun'qi'zhai
侯飞文,hou'fei'wen
侯人英,hou'ren'ying
后山三绝招,hou'shan'san'jue'zhao
侯通海,hou'tong'hai
胡安屏,hu'an'ping
呼巴音,hu'ba'yin
湖北阮家,hu'bei'ruan'jia
胡不愁,hu'bu'chou
胡德第,hu'de'di
忽都虎,hu'dou'hu
胡桂南,hu'gui'nan
胡家刀法,hu'jia'dao'fa
胡老七,hu'lao'qi
忽伦大虎,hu'lun'da'hu
忽伦二虎,hu'lun'er'hu
忽伦三虎,hu'lun'san'hu
忽伦四虎,hu'lun'si'hu
胡马越岭,hu'ma'yue'ling
胡青羊,hu'qing'yang
胡铁花,hu'tie'hua
呼延十八鞭,hu'yan'shi'ba'bian
呼延万善,hu'yan'wan'shan
胡逸之,hu'yi'zhi
呼音克,hu'yin'ke
虎爪绝户手,hu'zhao'jue'hu'shou
虎爪手,hu'zhao'shou
华伯斯基,hua'bo'si'ji
化功大法,hua'gong'da'fa
花海飘香,hua'hai'piao'xiang
华华凤,hua'hua'feng
花开见佛,hua'kai'jian'fo
花满楼,hua'man'lou
华拳门,hua'quan'men
花容云鬓,hua'rong'yun'bin
华山剑法,hua'shan'jian'fa
花铁干,hua'tie'gan
花万紫,hua'wan'zi
花月楼,hua'yue'lou
花云,hua'yun
华真真,hua'zhen'zhen
幻剑式,huan'jian'shi
幻魔星力,huan'mo'xing'li
幻魔星阵,huan'mo'xing'zhen
幻千寻,huan'qian'xun
幻小复,huan'xiao'fu
幻星门人,huan'xing'men'ren
幻星上人,huan'xing'shang'ren
幻阴指,huan'yin'zhi
幻阵,huan'zhen
黄伯流,huang'bo'liu
黄二毛子,huang'er'mao'zi
黄甫,huang'fu
皇甫阁,huang'fu'ge
黄国柏,huang'guo'bai
黄金魁,huang'jin'kui
黄龙剑宗,huang'long'jian'zong
黄龙子,huang'long'zi
黄眉和尚,huang'mei'he'shang
黄面道人,huang'mian'dao'ren
黄泉逆流,huang'quan'ni'liu
黄沙万里鞭法,huang'sha'wan'li'bian'fa
黄希节,huang'xi'jie
黄须人,huang'xu'ren
皇扬震首,huang'yang'zhen'shou
黄钟公,huang'zhong'gong
黄锺公,huang'zhong'gong
晦聪禅师,hui'cong'chan'shi
回打软鞭十三式,hui'da'ruan'bian'shi'san'shi
回风拂柳刀,hui'feng'fu'liu'dao
回风拂柳拳,hui'feng'fu'liu'quan
回风落雁剑,hui'feng'luo'yan'jian
回风落雁剑法,hui'feng'luo'yan'jian'fa
回风掌,hui'feng'zhang
慧观,hui'guan
回梦通幽,hui'meng'tong'you
彗星飞堕,hui'xing'fei'duo
回雁三决,hui'yan'san'jue
辉月使,hui'yue'shi
慧真,hui'zhen
混沌一破,hun'dun'yi'po
混天功,hun'tian'gong
混元剑,hun'yuan'jian
混元气,hun'yuan'qi
霍阿伊,huo'a'yi
火系道术,huo'xi'dao'shu
火焰刀,huo'yan'dao
霍元龙,huo'yuan'long
季镖头,ji'biao'tou
姬冰雁,ji'bing'yan
寂灭爪,ji'mie'zhao
姬清玄,ji'qing'xuan
吉人通,ji'ren'tong
姬无非,ji'wu'fei
计无施,ji'wu'shi
姬晓峰,ji'xiao'feng
急雨打萍,ji'yu'da'ping
姬战天,ji'zhan'tian
季长老,ji'zhang'lao
挤字诀,ji'zi'jue
贾布,jia'bu
家传剑法,jia'chuan'jian'fa
假东方不败,jia'dong'fang'bu'bai
贾老六,jia'lao'liu
贾老者,jia'lao'zhe
贾乐山,jia'le'shan
迦业和尚,jia'ye'he'shang
剪补自如,jian'bu'zi'ru
建除,jian'chu
简管家,jian'guan'jia
剑落双雁,jian'luo'shuang'yan
剑气长江,jian'qi'chang'jiang
见人伸手,jian'ren'shen'shou
简长老,jian'zhang'lao
江百胜,jiang'bai'sheng
江湖闲话,jiang'hu'xian'hua
江南史家,jiang'nan'shi'jia
江轻霞,jiang'qing'xia
江上弄笛,jiang'shang'nong'di
僵尸拳,jiang'shi'quan
姜师叔,jiang'shi'shu
蒋四根,jiang'si'gen
蒋天寿,jiang'tian'shou
蒋调侯,jiang'tiao'hou
姜小铁,jiang'xiao'tie
江重威,jiang'zhong'wei
焦公礼,jiao'gong'li
焦木和尚,jiao'mu'he'shang
焦宛儿,jiao'wan'er
焦文期,jiao'wen'qi
娇无那,jiao'wu'na
解风,jie'feng
截教,jie'jiao
截手九式,jie'shou'jiu'shi
解文豹,jie'wen'bao
解穴秘诀,jie'xue'mi'jue
锦笔生花,jin'bi'sheng'hua
进步搬拦锤,jin'bu'ban'lan'chui
金刚般若掌,jin'gang'bo're'zhang
金刚禅狮子吼,jin'gang'chan'shi'zi'hou
金刚掣尾,jin'gang'che'wei
金刚伏虎,jin'gang'fu'hu
金刚伏虎刀法,jin'gang'fu'hu'dao'fa
金刚护体神功,jin'gang'hu'ti'shen'gong
金刚门,jin'gang'men
金刚指,jin'gang'zhi
金龙鞭法,jin'long'bian'fa
金轮度劫,jin'lun'du'jie
紧罗那王棍,jin'luo'na'wang'gun
金蛇缠丝式,jin'she'chan'si'shi
金蛇盘身式,jin'she'pan'shen'shi
金蛇擒鹤拳,jin'she'qin'he'quan
金蛇升天式,jin'she'sheng'tian'shi
金蛇吐信式,jin'she'tu'xin'shi
金蛇游身式,jin'she'you'shen'shi
金蛇游身掌,jin'she'you'shen'zhang
金蛇锥,jin'she'zhui
金乌刀法,jin'wu'dao'fa
金乌派,jin'wu'pai
金无望,jin'wu'wang
金血,jin'xue
金雁功,jin'yan'gong
金雁横空,jin'yan'heng'kong
金鹰掌柜,jin'ying'zhang'gui
静慧,jing'hui
净济,jing'ji
静迦,jing'jia
静空,jing'kong
敬捧宝经,jing'peng'bao'jing
净清,jing'qing
静虚师太,jing'xu'shi'tai
静玄师太,jing'xuan'shi'tai
静因,jing'yin
静音师太,jing'yin'shi'tai
静照,jing'zhao
静智大师,jing'zhi'da'shi
九龙鞭法,jiu'long'bian'fa
九龙派,jiu'long'pai
鸠摩智,jiu'mo'zhi
九品连台,jiu'pin'lian'tai
九死生,jiu'si'sheng
九天落雷,jiu'tian'luo'lei
九玄星箭,jiu'xuan'xing'jian
九玄星力天网,jiu'xuan'xing'li'tian'wang
九玄星雨,jiu'xuan'xing'yu
九翼道人,jiu'yi'dao'ren
九阴白骨爪,jiu'yin'bai'gu'zhao
九阴真经,jiu'yin'zhen'jing
九幽离水诀,jiu'you'li'shui'jue
救赵挥金锤,jiu'zhao'hui'jin'chui
举火撩天,ju'huo'liao'tian
举火燎天,ju'huo'liao'tian
俱明宝树王,ju'ming'bao'shu'wang
巨瞑星,ju'ming'xing
拘神术,ju'shen'shu
俱通,ju'tong
聚星化虚,ju'xing'hua'xu
菊友,ju'you
绝对不要惹我,jue'dui'bu'yao're'wo
绝剑,jue'jian
觉远,jue'yuan
觉远大师,jue'yuan'da'shi
觉月,jue'yue
峻岭横空,jun'ling'heng'kong
喀丝丽,ka'si'li
凯别兴,kai'bie'xing
开山掌,kai'shan'zhang
柯万钧,ke'wan'jun
柯镇恶,ke'zhen'e
控鹤功,kong'he'gong
空击苍鹰,kong'ji'cang'ying
空间地行之术,kong'jian'di'xing'zhi'shu
空明拳,kong'ming'quan
空闻,kong'wen
空智,kong'zhi
苦禅大师,ku'chan'da'shi
苦嗔大师,ku'chen'da'shi
苦瓜大师,ku'gua'da'shi
骷髅画,ku'lou'hua
苦恼拳,ku'nao'quan
枯荣禅功,ku'rong'chan'gong
枯荣长老,ku'rong'zhang'lao
枯荣真人,ku'rong'zhen'ren
快活三十掌,kuai'huo'san'shi'zhang
邝宝官,kuang'bao'guan
狂风快剑,kuang'feng'kuai'jian
邝天雄,kuang'tian'xiong
葵花宝典,kui'hua'bao'dian
傀儡术,kui'lei'shu
昆仑剑法,kun'lun'jian'fa
昆仑剑宗,kun'lun'jian'zong
来福儿,lai'fu'er
来鹤清泉,lai'he'qing'quan
蓝秦,lan'qin
蓝天和,lan'tian'he
郎师傅,lang'shi'fu
朗月无云,lang'yue'wu'yun
劳德诺,lao'de'nuo
老实和尚,lao'shi'he'shang
劳太监,lao'tai'jian
捞月式,lao'yue'shi
老枝横斜,lao'zhi'heng'xie
乐厚,le'hou
雷猛,lei'meng
雷系道术,lei'xi'dao'shu
雷一啸,lei'yi'xiao
冷秋魂,leng'qiu'hun
李大元,li'da'yuan
李观鱼,li'guan'yu
李红袖,li'hong'xiu
李坏,li'huai
李可秀,li'ke'xiu
李力世,li'li'shi
力劈三关,li'pi'san'guan
李绮,li'qi
李三,li'san
黎生,li'sheng
李式开,li'shi'kai
李四摧,li'si'cui
李天恒,li'tian'heng
李廷豹,li'ting'bao
李万山,li'wan'shan
李西华,li'xi'hua
李玉涵,li'yu'han
李沅芷,li'yuan'zhi
连城璧,lian'cheng'bi
连诚诀,lian'cheng'jue
怜花研姿,lian'hua'yan'zi
莲花掌,lian'hua'zhang
连环迷踪腿,lian'huan'mi'zong'tui
潋霓裳,lian'ni'chang
炼神,lian'shen
炼神期,lian'shen'qi
炼神士,lian'shen'shi
连世昌,lian'shi'chang
炼体,lian'ti
炼体士,lian'ti'shi
炼狱使,lian'yu'shi
两广豪杰,liang'guang'hao'jie
两回玛法,liang'hui'ma'fa
两仪剑法,liang'yi'jian'fa
梁长老,liang'zhang'lao
梁自进,liang'zi'jin
梁子翁,liang'zi'weng
廖自砺,liao'zi'li
猎户令者,lie'hu'ling'zhe
林太平,lin'tai'ping
林兴珠,lin'xing'zhu
林永超,lin'yong'chao
林远图,lin'yuan'tu
灵鳌步,ling'ao'bu
羚豹,ling'bao
凌波微步,ling'bo'wei'bu
令狐云烟,ling'hu'yun'yan
灵寂期,ling'ji'qi
灵鹫听经,ling'jiu'ting'jing
灵山礼佛,ling'shan'li'fo
岭上双梅,ling'shang'shuang'mei
灵蛇拳,ling'she'quan
凌霜华,ling'shuang'hua
凌素娥,ling'su'e
凌退思,ling'tui'si
凌源星,ling'yuan'xing
灵智上人,ling'zhi'shang'ren
刘敖,liu'ao
柳长街,liu'chang'jie
刘乘风,liu'cheng'feng
柳大洪,liu'da'hong
刘芳亮,liu'fang'liang
刘鹤真,liu'he'zhen
六脉神剑,liu'mai'shen'jian
刘培生,liu'pei'sheng
流泉下山,liu'quan'xia'shan
流殇阵,liu'shang'zhen
柳无眉,liu'wu'mei
流星飞堕,liu'xing'fei'duo
流星灌顶,liu'xing'guan'ding
柳絮剑法,liu'xu'jian'fa
刘玄处,liu'xuan'chu
刘一舟,liu'yi'zhou
柳荫联句,liu'yin'lian'ju
刘瑛姑,liu'ying'gu
刘於义,liu'yu'yi
刘元鹤,liu'yuan'he
流云叠影,liu'yun'die'ying
流云居士,liu'yun'ju'shi
流云使,liu'yun'shi
刘之余,liu'zhi'yu
龙岛主,long'dao'zhu
龙德邻,long'de'lin
龙骏,long'jun
