霭霭桑柘墟,ai'ai'sang'zhe'xu
抱瓮复道愁蹒跚,bao'weng'fu'dao'chou'pan'shan
抱瓮区区老此身,bao'weng'qu'qu'lao'ci'shen
宝应二三进士见送乞诗,bao'ying'er'san'jin'shi'jian'song'qi'shi
爆竹声中一岁除,bao'zhu'sheng'zhong'yi'sui'chu
杯案若平生,bei'an'ruo'ping'sheng
北陂杏花,bei'bei'xing'hua
背城野色云边尽,bei'cheng'ye'se'yun'bian'jin
悲虫亦好音,bei'chong'yi'hao'yin
悲传挽者歌,bei'chuan'wan'zhe'ge
北窗,bei'chuang
北窗枕簟风泠泠,bei'chuang'zhen'dian'feng'ling'ling
北窗枕上春风暖,bei'chuang'zhen'shang'chun'feng'nuan
悲风吹平原,bei'feng'chui'ping'yuan
北风吹人不可出,bei'feng'chui'ren'bu'ke'chu
北风阁雨去不下,bei'feng'ge'yu'qu'bu'xia
北风卷寒漪,bei'feng'juan'han'yi
北风散作花,bei'feng'san'zuo'hua
北风萧萧寒到骨,bei'feng'xiao'xiao'han'dao'gu
悲歌不为鲈,bei'ge'bu'wei'lu
北郭疑有适,bei'guo'yi'you'shi
悲恨相绪,bei'hen'xiang'xu
悲恨相续,bei'hen'xiang'xu
悲欢邂逅笑言同,bei'huan'xie'hou'xiao'yan'tong
杯酒邂逅今良时,bei'jiu'xie'hou'jin'liang'shi
北客不到此,bei'ke'bu'dao'ci
北客置酒,bei'ke'zhi'jiu
陂麦,bei'mai
陂麦连云惨淡黄,bei'mai'lian'yun'can'dan'huang
陂梅弄影争先舞,bei'mei'nong'ying'zheng'xian'wu
北去还闻困索居,bei'qu'hai'wen'kun'suo'ju
北山,bei'shan
北山洊亭,bei'shan'cun'ting
北山道人曰,bei'shan'dao'ren'yue
北山道人栽松,bei'shan'dao'ren'zai'song
北山暮归示道人,bei'shan'mu'gui'shi'dao'ren
北山三咏其二,bei'shan'san'yong'qi'er
北山三咏其三,bei'shan'san'yong'qi'san
北山三咏其一,bei'shan'san'yong'qi'yi
北山输绿涨横陂,bei'shan'shu'lv'zhang'heng'bei
北山输绿涨横池,bei'shan'shu'lv'zhang'heng'chi
北望,bei'wang
北望太行山,bei'wang'tai'hang'shan
背西风,bei'xi'feng
背西风酒旗斜矗,bei'xi'feng'jiu'qi'xie'chu
悲喜孰优劣,bei'xi'shu'you'lie
北寻五作故未慭,bei'xun'wu'zuo'gu'wei'yin
悲哉孔子没,bei'zai'kong'zi'mei
悲哉世所珍,bei'zai'shi'suo'zhen
悲哉四明山,bei'zai'si'ming'shan
悲哉作劳亦已久,bei'zai'zuo'lao'yi'yi'jiu
悲咤失食饮,bei'zha'shi'shi'yin
被召作,bei'zhao'zuo
本待山河如带砺,ben'dai'shan'he'ru'dai'li
本怀深闭蓄,ben'huai'shen'bi'xu
本源自性天真佛,ben'yuan'zi'xing'tian'zhen'fo
奔走风云四面来,ben'zou'feng'yun'si'mian'lai
迸月,beng'yue
迸月川鱼跃,beng'yue'chuan'yu'yue
彼昏方怡然,bi'hun'fang'yi'ran
彼昏何为者,bi'hun'he'wei'zhe
毕竟论心异恭显,bi'jing'lun'xin'yi'gong'xian
毕景谢噂嗒,bi'jing'xie'zun'da
蔽亏尘雾间,bi'kui'chen'wu'jian
碧落仙翁好作诗,bi'luo'xian'weng'hao'zuo'shi
笔墨尚光辉,bi'mo'shang'guang'hui
蔽匿以为谦,bi'ni'yi'wei'qian
避俗聊须噤,bi'su'liao'xu'jin
避卧甘闲冗,bi'wo'gan'xian'rong
碧芜,bi'wu
碧芜平野旷,bi'wu'ping'ye'kuang
比兴难工漫百车,bi'xing'nan'gong'man'bai'che
碧云举翮千里,bi'yun'ju'he'qian'li
彼职乃无忧,bi'zhi'nai'wu'you
便参东阁寄南邦,bian'can'dong'ge'ji'nan'bang
鞭策要路驰,bian'ce'yao'lu'chi
便当买宅归偃休,bian'dang'mai'zhai'gui'yan'xiu
遍地落花浑不扫,bian'di'luo'hua'hun'bu'sao
便恐漂零作红雨,bian'kong'piao'ling'zuo'hong'yu
便释形骸累,bian'shi'xing'hai'lei
汴水,bian'shui
汴水无情日夜流,bian'shui'wu'qing'ri'ye'liu
变态不可穷,bian'tai'bu'ke'qiong
变态生倏忽,bian'tai'sheng'shu'hu
便脱巾屐相谐嬉,bian'tuo'jin'ji'xiang'xie'xi
便忘还,bian'wang'hai
便许当时作圣人,bian'xu'dang'shi'zuo'sheng'ren
便应鶗鴂损年芳,bian'ying'ti'jue'sun'nian'fang
飚发齐如巨象豗,biao'fa'qi'ru'ju'xiang'hui
别方劭秘校,bie'fang'shao'mi'xiao
别葛使君,bie'ge'shi'jun
别馆寒砧,bie'guan'han'zhen
别和甫赴南除,bie'he'fu'fu'nan'chu
别后应相忆,bie'hou'ying'xiang'yi
别雷国辅之皖山,bie'lei'guo'fu'zhi'wan'shan
别离宽后悲,bie'li'kuan'hou'bei
别马秘丞,bie'ma'mi'cheng
别灊阁,bie'qian'ge
别灊皖二山,bie'qian'wan'er'shan
别孙莘老,bie'sun'xin'lao
别皖口,bie'wan'kou
别谢师宰,bie'xie'shi'zai
别鄞女,bie'yin'nv
宾客常满合,bin'ke'chang'man'he
豳诗自宜录,bin'shi'zi'yi'lu
冰残玉甃泉初动,bing'can'yu'zhou'quan'chu'dong
病得一官随太守,bing'de'yi'guan'sui'tai'shou
冰房玉节漫自好,bing'fang'yu'jie'man'zi'hao
并汾诸子何为者,bing'fen'zhu'zi'he'wei'zhe
病骸今似沈休文,bing'hai'jin'si'shen'xiu'wen
并见两年春,bing'jian'liang'nian'chun
病来气弱归宜早,bing'lai'qi'ruo'gui'yi'zao
并辔尘沙眼亦明,bing'pei'chen'sha'yan'yi'ming
病起,bing'qi
病起过宝觉,bing'qi'guo'bao'jue
丙申八月作,bing'shen'ba'yue'zuo
病身最觉风露早,bing'shen'zui'jue'feng'lu'zao
冰霜尚涵淹,bing'shuang'shang'han'yan
冰纨生涩画难亲,bing'wan'sheng'se'hua'nan'qin
丙戌五日京师作二首,bing'xu'wu'ri'jing'shi'zuo'er'shou
病眼先春已见花,bing'yan'xian'chun'yi'jian'hua
病羽长年欲退飞,bing'yu'chang'nian'yu'tui'fei
病与衰期每强扶,bing'yu'shuai'qi'mei'qiang'fu
病中睡起折杏花数枝二首,bing'zhong'shui'qi'zhe'xing'hua'shu'zhi'er'shou
并州天下望,bing'zhou'tian'xia'wang
泊船瓜洲,bo'chuan'gua'zhou
波工龟手咤今样,bo'gong'gui'shou'zha'jin'yang
剥烂有终极,bo'lan'you'zhong'ji
薄茅以为友,bo'mao'yi'wei'you
波涛信柂工,bo'tao'xin'duo'gong
泊无悯世意,bo'wu'min'shi'yi
伯牙,bo'ya
泊雁,bo'yan
泊雁鸣深渚,bo'yan'ming'shen'zhu
泊姚江,bo'yao'jiang
伯夷不辱身,bo'yi'bu'ru'shen
伯夷恶一世,bo'yi'e'yi'shi
泊舟姑苏,bo'zhou'gu'su
不必故山归,bu'bi'gu'shan'gui
不必生皆厚,bu'bi'sheng'jie'hou
不持方帽御风寒,bu'chi'fang'mao'yu'feng'han
不出呜咽声,bu'chu'wu'ye'sheng
不待歌成韵已消,bu'dai'ge'cheng'yun'yi'xiao
不带锦书回,bu'dai'jin'shu'hui
不道春将暮,bu'dao'chun'jiang'mu
不独镵诗尚未泯,bu'du'chan'shi'shang'wei'min
不多霜雪上颠毛,bu'duo'shuang'xue'shang'dian'mao
不妨迷国略相同,bu'fang'mi'guo'lue'xiang'tong
不妨云水助风骚,bu'fang'yun'shui'zhu'feng'sao
不废朝廷忧,bu'fei'chao'ting'you
不改山河旧,bu'gai'shan'he'jiu
不敢乐饮酒,bu'gan'le'yin'jiu
不敢微启唇,bu'gan'wei'qi'chun
不恨玉盘冰未赐,bu'hen'yu'pan'bing'wei'ci
不见南山根,bu'jian'nan'shan'gen
不见野王居,bu'jian'ye'wang'ju
不借乡人力,bu'jie'xiang'ren'li
不诘自明,bu'jie'zi'ming
不觉连营列汉旗,bu'jue'lian'ying'lie'han'qi
不堪频唱鹧鸪辞,bu'kan'pin'chang'zhe'gu'ci
不可尘土杂,bu'ke'chen'tu'za
不可他味比,bu'ke'ta'wei'bi
不肯饵金丹,bu'ken'er'jin'dan
不肯画堂朱户,bu'ken'hua'tang'zhu'hu
不肯为我少淹留,bu'ken'wei'wo'shao'yan'liu
不肯下儿童,bu'ken'xia'er'tong
簿领纷纷惜此时,bu'ling'fen'fen'xi'ci'shi
不论壳之功,bu'lun'ke'zhi'gong
不默而见忌,bu'mo'er'jian'ji
不奈神仙品,bu'nai'shen'xian'pin
不然航江外,bu'ran'hang'jiang'wai
不然名山副史本,bu'ran'ming'shan'fu'shi'ben
不忍独醒孤尔去,bu'ren'du'xing'gu'er'qu
不忍四海寒飕飕,bu'ren'si'hai'han'sou'sou
不如鹤与猿,bu'ru'he'yu'yuan
不如弃之完,bu'ru'qi'zhi'wan
不如山野早知春,bu'ru'shan'ye'zao'zhi'chun
卜商今日更修文,bu'shang'jin'ri'geng'xiu'wen
不是摄心除妄想,bu'shi'she'xin'chu'wang'xiang
簿书期会老纷纷,bu'shu'qi'hui'lao'fen'fen
不似湖阴有早梅,bu'si'hu'yin'you'zao'mei
不似人间古锺磬,bu'si'ren'jian'gu'zhong'qing
不似人间足畏涂,bu'si'ren'jian'zu'wei'tu
不晚朝廷相弱翁,bu'wan'chao'ting'xiang'ruo'weng
不忘君惠常加首,bu'wang'jun'hui'chang'jia'shou
不畏浮云遮望眼,bu'wei'fu'yun'zhe'wang'yan
不唯诗句似阴何,bu'wei'shi'ju'si'yin'he
不谓因人役,bu'wei'yin'ren'yi
不问闵与颜,bu'wen'min'yu'yan
不惜年年粪壤培,bu'xi'nian'nian'fen'rang'pei
不笑谋生万事疏,bu'xiao'mou'sheng'wan'shi'shu
不朽在名德,bu'xiu'zai'ming'de
不恤我躬瘁,bu'xu'wo'gong'cui
不应急务世人传,bu'ying'ji'wu'shi'ren'chuan
不应全为拙倡优,bu'ying'quan'wei'zhuo'chang'you
不应无意引陶潜,bu'ying'wu'yi'yin'tao'qian
不有仁智兼,bu'you'ren'zhi'jian
不欲登昏憸,bu'yu'deng'hun'xian
不与龟鱼作主人,bu'yu'gui'yu'zuo'zhu'ren
不与物违真道广,bu'yu'wu'wei'zhen'dao'guang
步月影同孤,bu'yue'ying'tong'gu
不知篝火定何人,bu'zhi'gou'huo'ding'he'ren
不知何用牧羊儿,bu'zhi'he'yong'mu'yang'er
不知今日到何州,bu'zhi'jin'ri'dao'he'zhou
不知乌石冈边路,bu'zhi'wu'shi'gang'bian'lu
不知羽翼青冥上,bu'zhi'yu'yi'qing'ming'shang
卜筑兼无市井嚣,bu'zhu'jian'wu'shi'jing'xiao
不住旧时无相貌,bu'zhu'jiu'shi'wu'xiang'mao
彩笔遒遒独胜江,cai'bi'qiu'qiu'du'sheng'jiang
彩笔知书几叶花,cai'bi'zhi'shu'ji'ye'hua
采采霜露下,cai'cai'shuang'lu'xia
才成霖雨便归山,cai'cheng'lin'yu'bian'gui'shan
材多不可数,cai'duo'bu'ke'shu
彩舫笙箫吹落日,cai'fang'sheng'xiao'chui'luo'ri
材非当世用,cai'fei'dang'shi'yong
才高意大方用世,cai'gao'yi'da'fang'yong'shi
采石偶耕垂百日,cai'shi'ou'geng'chui'bai'ri
才业如君岂久穷,cai'ye'ru'jun'qi'jiu'qiong
采芝天门山,cai'zhi'tian'men'shan
彩舟云淡,cai'zhou'yun'dan
惨惨寒云压旧楼,can'can'han'yun'ya'jiu'lou
惨惨野云生陇底,can'can'ye'yun'sheng'long'di
残点着垣衣,can'dian'zhe'yuan'yi
残红已落香犹在,can'hong'yi'luo'xiang'you'zai
残菊,can'ju
残菊飘零满地金,can'ju'piao'ling'man'di'jin
惭君将比洛阳人,can'jun'jiang'bi'luo'yang'ren
惭君俊少今知我,can'jun'jun'shao'jin'zhi'wo
惭君枉盖如平昔,can'jun'wang'gai'ru'ping'xi
惭君许我论边锁,can'jun'xu'wo'lun'bian'suo
残溜细鸣琴,can'liu'xi'ming'qin
残年苦局束,can'nian'ku'ju'shu
残月堕冥茫,can'yue'duo'ming'mang
残樽同向月边倾,can'zun'tong'xiang'yue'bian'qing
苍苍柏与松,cang'cang'bai'yu'song
苍苍江日低,cang'cang'jiang'ri'di
藏春花木望中迷,cang'chun'hua'mu'wang'zhong'mi
藏春坞诗献刁十四丈学士,cang'chun'wu'shi'xian'diao'shi'si'zhang'xue'shi
苍官受命与舜同,cang'guan'shou'ming'yu'shun'tong
沧海恐值到,cang'hai'kong'zhi'dao
仓颉,cang'jie
仓颉造书,cang'jie'zao'shu
苍墓垂成我丧亲,cang'mu'chui'cheng'wo'sang'qin
藏室亡三箧,cang'shi'wang'san'qie
苍烟寥寥池水漫,cang'yan'liao'liao'chi'shui'man
曹参,cao'can
草端无华滋,cao'duan'wu'hua'zi
草根长见水交流,cao'gen'chang'jian'shui'jiao'liu
操金喜取走蹁跹,cao'jin'xi'qu'zou'pian'xian
草庐有客歌梁甫,cao'lu'you'ke'ge'liang'fu
草蔓已多露,cao'man'yi'duo'lu
草木吹竽籁,cao'mu'chui'yu'lai
草木萧萧数尺坟,cao'mu'xiao'xiao'shu'chi'fen
草木犹疑夏郁葱,cao'mu'you'yi'xia'yu'cong
草木韵沉高下外,cao'mu'yun'chen'gao'xia'wai
草暖沙晴正好渡,cao'nuan'sha'qing'zheng'hao'du
草树露颠顶,cao'shu'lu'dian'ding
草树萋已绿,cao'shu'qi'yi'lv
草堂,cao'tang
草堂今寂寞,cao'tang'jin'ji'mo
草堂一上人,cao'tang'yi'shang'ren
草倚朝阳绿更生,cao'yi'zhao'yang'lv'geng'sheng
草长流翠碧,cao'zhang'liu'cui'bi
侧身勇前瞻,ce'shen'yong'qian'zhan
侧行苍崖烟,ce'xing'cang'ya'yan
曾和郢中歌白雪,ceng'he'ying'zhong'ge'bai'xue
曾见桃花净初吐,ceng'jian'tao'hua'jing'chu'tu
曾侍土阶知帝力,ceng'shi'tu'jie'zhi'di'li
曾咏常州送主人,ceng'yong'chang'zhou'song'zhu'ren
茶法盖其首,cha'fa'gai'qi'shou
柴荆掩春梦,chai'jing'yan'chun'meng
柴门照水见青苔,chai'men'zhao'shui'jian'qing'tai
柴桑今日思元亮,chai'sang'jin'ri'si'yuan'liang
潺潺嫩水生幽谷,chan'chan'nen'shui'sheng'you'gu
蝉娟一色明千里,chan'juan'yi'se'ming'qian'li
禅客翛然感此辰,chan'ke'xiao'ran'gan'ci'chen
澶漫写真意,chan'man'xie'zhen'yi
长被花牵不自胜,chang'bei'hua'qian'bu'zi'sheng
唱残白雪值阳春,chang'can'bai'xue'zhi'yang'chun
长此赏怀甘独卧,chang'ci'shang'huai'gan'du'wo
常娥攀桂枝,chang'e'pan'gui'zhi
长干释普济坐化,chang'gan'shi'pu'ji'zuo'hua
长干寺,chang'gan'si
阊阖城西地如水,chang'he'cheng'xi'di'ru'shui
阊阖与风生气势,chang'he'yu'feng'sheng'qi'shi
常恨春归人未归,chang'hen'chun'gui'ren'wei'gui
长恨玉颜春不久,chang'hen'yu'yan'chun'bu'jiu
长患被九州岛,chang'huan'bei'jiu'zhou'dao
长临锻龟真自苦,chang'lin'duan'gui'zhen'zi'ku
长留万国欢,chang'liu'wan'guo'huan
唱篇每起予,chang'pian'mei'qi'yu
长孺向来真强予,chang'ru'xiang'lai'zhen'qiang'yu
昌射河鼓没,chang'she'he'gu'mei
常时黄色见眉间,chang'shi'huang'se'jian'mei'jian
常使秀色当檐边,chang'shi'xiu'se'dang'yan'bian
长树老阴欺夏日,chang'shu'lao'yin'qi'xia'ri
长松受秽死,chang'song'shou'hui'si
常托亦云健,chang'tuo'yi'yun'jian
肠胃坐来清似洗,chang'wei'zuo'lai'qing'si'xi
尝闻太丘长,chang'wen'tai'qiu'chang
场屋声名看出群,chang'wu'sheng'ming'kan'chu'qun
偿薛肇明秀才桤木,chang'xue'zhao'ming'xiu'cai'qi'mu
长以声音为佛事,chang'yi'sheng'yin'wei'fo'shi
长淫舒永怀,chang'yin'shu'yong'huai
常萦辇路漂花去,chang'ying'nian'lu'piao'hua'qu
长垣北,chang'yuan'bei
常愿天子圣,chang'yuan'tian'zi'sheng
嘲白发,chao'bai'fa
怊怅老年尘世累,chao'chang'lao'nian'chen'shi'lei
怊怅难求别时迹,chao'chang'nan'qiu'bie'shi'ji
朝出在人手,chao'chu'zai'ren'shou
朝分不知数,chao'fen'bu'zhi'shu
朝耕草茫茫,chao'geng'cao'mang'mang
朝耕及露下,chao'geng'ji'lu'xia
朝寒瑟瑟树声悲,chao'han'se'se'shu'sheng'bei
朝红一片堕窗尘,chao'hong'yi'pian'duo'chuang'chen
朝来看雪咏君诗,chao'lai'kan'xue'yong'jun'shi
潮来蒲稗深,chao'lai'pu'bai'shen
朝来已贺丰年瑞,chao'lai'yi'he'feng'nian'rui
朝伦孰与君材似,chao'lun'shu'yu'jun'cai'si
超然便欲遗荣去,chao'ran'bian'yu'yi'rong'qu
超然京洛谅难双,chao'ran'jing'luo'liang'nan'shuang
超然往不返,chao'ran'wang'bu'fan
超然只有江湖上,chao'ran'zhi'you'jiang'hu'shang
超然子有意,chao'ran'zi'you'yi
鄛人七十漫多奇,chao'ren'qi'shi'man'duo'qi
嘲叔孙通,chao'shu'sun'tong
朝廷称庆具新仪,chao'ting'cheng'qing'ju'xin'yi
朝廷今日四夷功,chao'ting'jin'ri'si'yi'gong
朝廷每若此,chao'ting'mei'ruo'ci
朝廷昨日锺鼓县,chao'ting'zuo'ri'zhong'gu'xian
巢危鹤更阴,chao'wei'he'geng'yin
潮汐自东西,chao'xi'zi'dong'xi
超遥送逸响,chao'yao'song'yi'xiang
朝游盘门东,chao'you'pan'men'dong
车螯,che'ao
车螯二首,che'ao'er'shou
车螯肉甚美,che'ao'rou'shen'mei
车螯肉之羽,che'ao'rou'zhi'yu
车螯亦其一,che'ao'yi'qi'yi
车轮与马迹,che'lun'yu'ma'ji
车马喧喧走尘土,che'ma'xuan'xuan'zou'chen'tu
车泉土梗久蔽塞,che'quan'tu'geng'jiu'bi'se
车输动盈箱,che'shu'dong'ying'xiang
车音墙外去辚辚,che'yin'qiang'wai'qu'lin'lin
车载板二首,che'zai'ban'er'shou
尘埃波浪此生浮,chen'ai'bo'lang'ci'sheng'fu
尘不到,chen'bu'dao
陈动之秘丞挽辞二首,chen'dong'zhi'mi'cheng'wan'ci'er'shou
尘昏金像雨昏碑,chen'hun'jin'xiang'yu'hun'bei
陈迹非无胜事寻,chen'ji'fei'wu'sheng'shi'xun
陈迹今埋杳霭间,chen'ji'jin'mai'yao'ai'jian
陈迹难寻天柱源,chen'ji'nan'xun'tian'zhu'yuan
陈迹是非今草莽,chen'ji'shi'fei'jin'cao'mang
陈迹欲寻无复日,chen'ji'yu'xun'wu'fu'ri
陈迹与子陪,chen'ji'yu'zi'pei
陈君式大夫恭轩,chen'jun'shi'dai'fu'gong'xuan
陈桥,chen'qiao
尘沙浂漠凋双鬓,chen'sha'yi'mo'diao'shuang'bin
陈师道宰乌程县,chen'shi'dao'zai'wu'cheng'xian
尘土病催老,chen'tu'bing'cui'lao
尘土波澜不自期,chen'tu'bo'lan'bu'zi'qi
尘土轻扬不自持,chen'tu'qing'yang'bu'zi'chi
尘土随车辙,chen'tu'sui'che'zhe
晨兴望南山,chen'xing'wang'nan'shan
晨兴坐其上,chen'xing'zuo'qi'shang
称意人间宁易得,chen'yi'ren'jian'ning'yi'de
尘涨原头野火烟,chen'zhang'yuan'tou'ye'huo'yan
尘滓归掩拥,chen'zi'gui'yan'yong
尘自扰,chen'zi'rao
城北,cheng'bei
呈陈和叔,cheng'chen'he'shu
呈陈和叔二首,cheng'chen'he'shu'er'shou
城东寺菊,cheng'dong'si'ju
乘光服暗无留阻,cheng'guang'fu'an'wu'liu'zu
城郭春风二月花,cheng'guo'chun'feng'er'yue'hua
城郭名王据两陲,cheng'guo'ming'wang'ju'liang'chui
呈柳子玉同年,cheng'liu'zi'yu'tong'nian
乘日,cheng'ri
乘日塞垣入,cheng'ri'sai'yuan'ru
称觞别殿传新曲,cheng'shang'bie'dian'chuan'xin'qu
城市少美蔬,cheng'shi'shao'mei'shu
塍水翻沟隔垄分,cheng'shui'fan'gou'ge'long'fen
乘田圣所勉,cheng'tian'sheng'suo'mian
乘田有秩难逃责,cheng'tian'you'zhi'nan'tao'ze
乘兴弄溟渤,cheng'xing'nong'ming'bo
乘兴吾庐知未厌,cheng'xing'wu'lu'zhi'wei'yan
乘兴舟舆无不可,cheng'xing'zhou'yu'wu'bu'ke
城云漏日晚,cheng'yun'lou'ri'wan
城云如梦柳僛僛,cheng'yun'ru'meng'liu'qi'qi
城中灯火照青春,cheng'zhong'deng'huo'zhao'qing'chun
池北池南春水生,chi'bei'chi'nan'chun'shui'sheng
持杯能喜两三家,chi'bei'neng'xi'liang'san'jia
赤车非古行,chi'che'fei'gu'xing
蚩蚩尽鉏商,chi'chi'jin'chu'shang
摛辞甚有理,chi'ci'shen'you'li
尺寸果谁长,chi'cun'guo'shui'chang
赤枫青栎生满谷,chi'feng'qing'li'sheng'man'gu
持归市上求百钱,chi'gui'shi'shang'qiu'bai'qian
迟回故地却逢君,chi'hui'gu'di'que'feng'jun
