阿贝尔群,a'bei'er'qun
黎曼几何学,li'man'ji'he'xue
李群,li'qun
离散型随机变量分布列,li'san'xing'sui'ji'bian'liang'fen'bu'lie
离心率,li'xin'lv
连续问题离散化方法,lian'xu'wen'ti'li'san'hua'fang'fa
孪生素数猜想,luan'sheng'su'shu'cai'xiang
逻辑推理,luo'ji'tui'li
逻辑性,luo'ji'xing
逻辑学,luo'ji'xue
马尔可夫过程,ma'er'ke'fu'guo'cheng
模糊数学,mo'hu'shu'xue
模论,mo'lun
模型论,mo'xing'lun
逆否命题,ni'fou'ming'ti
偶函数,ou'han'shu
欧几里德,ou'ji'li'de
欧氏几何学,ou'shi'ji'he'xue
偶数,ou'shu
排队论,pai'dui'lun
排列,pai'lie
判别法,pan'bie'fa
抛物线,pao'wu'xian
抛物型偏微分方程,pao'wu'xing'pian'wei'fen'fang'cheng
偏微分方程,pian'wei'fen'fang'cheng
偏微分方程其他学科,pian'wei'fen'fang'cheng'qi'ta'xue'ke
偏微分方程数值解,pian'wei'fen'fang'cheng'shu'zhi'jie
平面的法向量,ping'mian'de'fa'xiang'liang
平稳,ping'wen
奇点理论,qi'dian'li'lun
期望,qi'wang
切线方程,qie'xian'fang'cheng
球面几何学,qiu'mian'ji'he'xue
区间,qu'jian
群论,qun'lun
三垂线定理,san'chui'xian'ding'li
射影,she'ying
实变函数论,shi'bian'han'shu'lun
实际运算,shi'ji'yun'suan
时间序列分析,shi'jian'xu'lie'fen'xi
实数,shi'shu
实数的取值范围,shi'shu'de'qu'zhi'fan'wei
试验设计,shi'yan'she'ji
适用性,shi'yong'xing
数理逻辑,shu'li'luo'ji
数理统计,shu'li'tong'ji
数理统计学,shu'li'tong'ji'xue
数理统计学其他学科,shu'li'tong'ji'xue'qi'ta'xue'ke
数量关系,shu'liang'guan'xi
数论,shu'lun
数系,shu'xi
数学的,shu'xue'de
数学分析,shu'xue'fen'xi
数学分析其他学科,shu'xue'fen'xi'qi'ta'xue'ke
数学归纳法,shu'xue'gui'na'fa
数学核心,shu'xue'he'xin
数学基础,shu'xue'ji'chu
数学家,shu'xue'jia
数学史,shu'xue'shi
数值代数,shu'zhi'dai'shu
双曲线,shuang'qu'xian
双曲型偏微分方程,shuang'qu'xing'pian'wei'fen'fang'cheng
四元数,si'yuan'shu
搜索论,sou'suo'lun
算术,suan'shu
算术运算,suan'shu'yun'suan
算子代数,suan'zi'dai'shu
随机分析,sui'ji'fen'xi
随机规划,sui'ji'gui'hua
随机过程,sui'ji'guo'cheng
随机数值实验,sui'ji'shu'zhi'shi'yan
特殊函数论,te'shu'han'shu'lun
天文学,tian'wen'xue
调和分析,tiao'he'fen'xi
统筹论,tong'chou'lun
同调论,tong'diao'lun
统计模拟,tong'ji'mo'ni
统计判决理论,tong'ji'pan'jue'li'lun
统计推断,tong'ji'tui'duan
统计质量控制,tong'ji'zhi'liang'kong'zhi
同角三角函数的基本关系式,tong'jiao'san'jiao'han'shu'de'ji'ben'guan'xi'shi
同伦论,tong'lun'lun
同调代数,tong'tiao'dai'shu
通项公式,tong'xiang'gong'shi
图论,tu'lun
图象关于原点对称,tu'xiang'guan'yu'yuan'dian'dui'chen
凸性,tu'xing
拓扑动力系统,tuo'pu'dong'li'xi'tong
拓扑结构,tuo'pu'jie'gou
拓扑线性空间,tuo'pu'xian'xing'kong'jian
拓扑学,tuo'pu'xue
拓扑学其他学科,tuo'pu'xue'qi'ta'xue'ke
椭圆,tuo'yuan
椭圆型偏微分方程,tuo'yuan'xing'pian'wei'fen'fang'cheng
微分,wei'fen
微分代数,wei'fen'dai'shu
微分动力系统,wei'fen'dong'li'xi'tong
微分方程,wei'fen'fang'cheng
微分几何,wei'fen'ji'he
微分拓扑学,wei'fen'tuo'pu'xue
微分学,wei'fen'xue
未解问题,wei'jie'wen'ti
维数论,wei'shu'lun
未知数,wei'zhi'shu
稳定性理论,wen'ding'xing'li'lun
误差分析,wu'cha'fen'xi
无理数,wu'li'shu
无限集合,wu'xian'ji'he
希尔伯特空间,xi'er'bo'te'kong'jian
系统抽样,xi'tong'chou'yang
现代数学,xian'dai'shu'xue
纤维丛论,xian'wei'cong'lun
线性,xian'xing
线性规划,xian'xing'gui'hua
线性算子理论,xian'xing'suan'zi'li'lun
相关回归分析,xiang'guan'hui'gui'fen'xi
相互独立事件,xiang'hu'du'li'shi'jian
向量,xiang'liang
演绎,yan'yi
鞅论,yang'lun
异面直线,yi'mian'zhi'xian
应用概率论具体应用入有关学科,ying'yong'gai'lv'lun'ju'ti'ying'yong'ru'you'guan'xue'ke
应用数学,ying'yong'shu'xue
应用统计数学,ying'yong'tong'ji'shu'xue
应用统计数学其他学科,ying'yong'tong'ji'shu'xue'qi'ta'xue'ke
诱导公式,you'dao'gong'shi
有理数,you'li'shu
域论,yu'lun
余弦定理,yu'xian'ding'li
元数学,yuan'shu'xue
元素,yuan'su
运筹学,yun'chou'xue
增函数,zeng'han'shu
张量,zhang'liang
这一概念,zhe'yi'gai'nian
真子集,zhen'zi'ji
正交基,zheng'jiao'ji
证明论,zheng'ming'lun
整数规划,zheng'shu'gui'hua
正态,zheng'tai
正弦定理,zheng'xian'ding'li
指数,zhi'shu
直线与平面所成的角,zhi'xian'yu'ping'mian'suo'cheng'de'jiao
周期函数,zhou'qi'han'shu
准线,zhun'xian
子领域,zi'ling'yu
自然数,zi'ran'shu
组合,zu'he
组合数学,zu'he'shu'xue
组合最优化,zu'he'zui'you'hua
最大值,zui'da'zhi
最小正周期,zui'xiao'zheng'zhou'qi
最小值,zui'xiao'zhi
最优化,zui'you'hua
