阿含桐山杯,a'han'tong'shan'bei
岑乾,cen'qian
曾炳权,ceng'bing'quan
曾启德,ceng'qi'de
差一气,cha'yi'qi
察元,cha'yuan
拆边,chai'bian
拆二,chai'er
拆二单关,chai'er'dan'guan
拆二立三,chai'er'li'san
拆二斜飞,chai'er'xie'fei
拆兼夹,chai'jian'jia
拆棋,chai'qi
拆三,chai'san
拆三立四,chai'san'li'si
拆一,chai'yi
缠绕攻击,chan'rao'gong'ji
缠绕战术,chan'rao'zhan'shu
长城建设杯,chang'cheng'jian'she'bei
长刀无痕,chang'dao'wu'hen
场分,chang'fen
昌镐流,chang'gao'liu
长谷川直,chang'gu'chuan'zhi
常昊,chang'hao
场合定式,chang'he'ding'shi
长考,chang'kao
常面面,chang'mian'mian
长棋,chang'qi
长气,chang'qi
倡棋杯,chang'qi'bei
长期打挂,chang'qi'da'gua
长气杀有眼,chang'qi'sha'you'yan
长崎裕二,chang'qi'yu'er
长生,chang'sheng
长生劫,chang'sheng'jie
常套,chang'tao
常先,chang'xian
常型,chang'xing
常一挖,chang'yi'wa
常振明,chang'zhen'ming
超高目,chao'gao'mu
超级争霸战,chao'ji'zheng'ba'zhan
超时罚点,chao'shi'fa'dian
超时负,chao'shi'fu
超时胜,chao'shi'sheng
超一流,chao'yi'liu
超一流棋手,chao'yi'liu'qi'shou
车轮战,che'lun'zhan
车敏洙,che'min'zhu
车修权,che'xiu'quan
车泽武,che'ze'wu
陈博雅,chen'bo'ya
陈长清,chen'chang'qing
陈方七局,chen'fang'qi'ju
陈国兴,chen'guo'xing
陈慧芳,chen'hui'fang
陈惠民,chen'hui'min
陈佳,chen'jia
陈嘉锐,chen'jia'rui
陈临新,chen'lin'xin
陈明川,chen'ming'chuan
陈明进,chen'ming'jin
陈瑞,chen'rui
陈润韬,chen'run'tao
陈士,chen'shi
陈时瑛,chen'shi'ying
陈诗渊,chen'shi'yuan
陈思奇,chen'si'qi
陈吴时代,chen'wu'shi'dai
陈潇楠,chen'xiao'nan
陈笑天,chen'xiao'tian
陈阳,chen'yang
陈耀烨,chen'yao'ye
陈毅,chen'yi
陈一鸣,chen'yi'ming
陈盈,chen'ying
陈永安,chen'yong'an
陈永奇,chen'yong'qi
陈藻藩,chen'zao'fan
陈兆峰,chen'zhao'feng
陈志刚,chen'zhi'gang
陈子灿,chen'zi'can
陈子俊,chen'zi'jun
陈祖德,chen'zu'de
程白水遗局,cheng'bai'shui'yi'ju
程兰如,cheng'lan'ru
程汝亮,cheng'ru'liang
秤砣,cheng'tuo
程晓流,cheng'xiao'liu
持棋,chi'qi
赤星因彻,chi'xing'yin'che
吃子,chi'zi
冲断,chong'duan
冲段,chong'duan
冲甲,chong'jia
重庆冷酸灵,chong'qing'leng'suan'ling
冲天,chong'tian
冲天剑侠,chong'tian'jian'xia
重下,chong'xia
冲岩军团,chong'yan'jun'tuan
仇丹云,chou'dan'yun
臭棋,chou'qi
初段,chu'duan
初段风暴,chu'duan'feng'bao
初段台风,chu'duan'tai'feng
出局,chu'ju
出目,chu'mu
初盘,chu'pan
出棋,chu'qi
初棋无劫,chu'qi'wu'jie
出入计算法,chu'ru'ji'suan'fa
出勺,chu'shao
出头,chu'tou
楚阳春,chu'yang'chun
初疑磊落曙天星,chu'yi'lei'luo'shu'tian'xing
川端康成,chuan'duan'kang'cheng
穿象眼,chuan'xiang'yan
春兰杯,chun'lan'bei
刺断,ci'duan
次见搏击三秋兵,ci'jian'bo'ji'san'qiu'bing
此局,ci'ju
磁石棋子,ci'shi'qi'zi
次序,ci'xu
崔丙焕,cui'bing'huan
崔灿,cui'can
崔毒,cui'du
崔圭丙,cui'gui'bing
崔基标,cui'ji'biao
崔基勋,cui'ji'xun
崔老汉,cui'lao'han
崔明勋,cui'ming'xun
崔宁,cui'ning
崔寿福,cui'shou'fu
崔云趾,cui'yun'zhi
崔哲瀚,cui'zhe'han
村冈茂行,cun'gang'mao'xing
村濑秀甫,cun'lai'xiu'fu
错向山中立看棋,cuo'xiang'shan'zhong'li'kan'qi
错小目,cuo'xiao'mu
错小目布局,cuo'xiao'mu'bu'ju
错着,cuo'zhe
打拔,da'ba
大仓赏,da'cang'shang
大拆,da'chai
大场,da'chang
打吃,da'chi
打单不打双,da'dan'bu'da'shuang
打二还一,da'er'hai'yi
大飞,da'fei
大飞缔角,da'fei'di'jiao
大飞挂,da'fei'gua
大飞挂角,da'fei'gua'jiao
大飞角,da'fei'jiao
大分,da'fen
大富豪,da'fu'hao
大高目,da'gao'mu
打挂,da'gua
大关,da'guan
大国手,da'guo'shou
大和证券杯,da'he'zheng'quan'bei
打将,da'jiang
大角图,da'jiao'tu
打劫活,da'jie'huo
打劫杀,da'jie'sha
大局感,da'ju'gan
大局观,da'ju'guan
大理杯,da'li'bei
大理旅游杯,da'li'lv'you'bei
大理石盒,da'li'shi'he
大脸猫,da'lian'mao
大龙,da'long
大陆流,da'lu'liu
大目外,da'mu'wai
大模样,da'mu'yang
大盘,da'pan
打谱,da'pu
打谱软件,da'pu'ruan'jian
大棋,da'qi
打棋,da'qi
大棋士,da'qi'shi
大倾斜型,da'qing'xie'xing
大邱岭南日报队,da'qiu'ling'nan'ri'bao'dui
打入,da'ru
大三冠,da'san'guan
打三还一,da'san'hai'yi
打勺,da'shao
大伸腿,da'shen'tui
大胜负,da'sheng'fu
大师杯,da'shi'bei
大跳,da'tiao
大贴目,da'tie'mu
大铁网,da'tie'wang
大头鬼,da'tou'gui
大香林杯,da'xiang'lin'bei
大斜,da'xie
大斜定式,da'xie'ding'shi
大斜飞,da'xie'fei
大形势,da'xing'shi
大雪崩,da'xue'beng
大雪崩型,da'xue'beng'xing
大循环制,da'xun'huan'zhi
大压梁,da'ya'liang
大眼,da'yan
大眼杀小眼,da'yan'sha'xiao'yan
大着,da'zhe
大枝雄介,da'zhi'xiong'jie
大竹英雄,da'zhu'ying'xiong
大猪嘴,da'zhu'zui
带钩,dai'gou
代号谱,dai'hao'pu
戴嘉伸,dai'jia'shen
戴恋莎,dai'lian'sha
代目,dai'mu
带响,dai'xiang
单方胜,dan'fang'sheng
单方先手,dan'fang'xian'shou
单关,dan'guan
单官,dan'guan
单关缔角,dan'guan'di'jiao
单关角,dan'guan'jiao
单关无恶手,dan'guan'wu'e'shou
单劫,dan'jie
单接,dan'jie
淡路修三,dan'lu'xiu'san
单双棋,dan'shuang'qi
单淘汰制,dan'tao'tai'zhi
单退,dan'tui
单行道,dan'xing'dao
单子腾,dan'zi'teng
当断不断,dang'duan'bu'duan
当湖十局,dang'hu'shi'ju
党毅飞,dang'yi'fei
刀把五,dao'ba'wu
刀板五,dao'ban'wu
刀柄五,dao'bing'wu
道策,dao'ce
道策流,dao'ce'liu
道场,dao'chang
倒垂莲,dao'chui'lian
岛村导弘,dao'cun'dao'hong
道的,dao'de
倒虎,dao'hu
道节,dao'jie
倒扑,dao'pu
倒贴目,dao'tie'mu
倒脱靴,dao'tuo'xue
刀五,dao'wu
道玄,dao'xuan
祷阳子,dao'yang'zi
道悦,dao'yue
德川四家,de'chuan'si'jia
得势不得分,de'shi'bu'de'fen
邓艾开蜀势,deng'ai'kai'shu'shi
地堡形,di'bao'xing
低拆,di'chai
低段,di'duan
第二利益,di'er'li'yi
地方段位,di'fang'duan'wei
敌方要点即我方要点,di'fang'yao'dian'ji'wo'fang'yao'dian
低挂,di'gua
缔角,di'jiao
地雷传说,di'lei'chuan'shuo
低手,di'shou
敌手,di'shou
低位,di'wei
第一感,di'yi'gan
第一攻击手,di'yi'gong'ji'shou
第一世本因坊,di'yi'shi'ben'yin'fang
敌之好点即我之好点,di'zhi'hao'dian'ji'wo'zhi'hao'dian
敌之要点我之要点,di'zhi'yao'dian'wo'zhi'yao'dian
电报棋,dian'bao'qi
巅峰对决,dian'feng'dui'jue
巅峰弈境,dian'feng'yi'jing
电话棋,dian'hua'qi
点角,dian'jiao
点空,dian'kong
点目,dian'mu
点目法,dian'mu'fa
点入,dian'ru
点杀,dian'sha
点数制,dian'shu'zhi
点眼,dian'yan
电子兰德杯,dian'zi'lan'de'bei
电子棋盘,dian'zi'qi'pan
碉堡形,diao'bao'xing
钓金龟,diao'jin'gui
雕刻好时光,diao'ke'hao'shi'guang
雕漆盒,diao'qi'he
丁波,ding'bo
顶断,ding'duan
定段,ding'duan
定段赛,ding'duan'sai
丁礼民,ding'li'min
丁烈,ding'lie
丁明,ding'ming
定式,ding'shi
定石,ding'shi
钉四,ding'si
丁四,ding'si
丁伟,ding'wei
定先,ding'xian
定型,ding'xing
东北棋牌学校,dong'bei'qi'pai'xue'xiao
东湖棋友会,dong'hu'qi'you'hui
东坡棋,dong'po'qi
董勤,dong'qin
董文渊,dong'wen'yuan
动须相应,dong'xu'xiang'ying
董彦,dong'yan
董彦围棋会所,dong'yan'wei'qi'hui'suo
东洋生命杯,dong'yang'sheng'ming'bei
东洋证券杯,dong'yang'zheng'quan'bei
东野弘昭,dong'ye'hong'zhao
东弈,dong'yi
斗方,dou'fang
斗力,dou'li
斗笠四,dou'li'si
斗笠形,dou'li'xing
渡边英夫,du'bian'ying'fu
读秒,du'miao
杜牧,du'mu
赌棋,du'qi
杜阳,du'yang
独自凌丹虹,du'zi'ling'dan'hong
断吃,duan'chi
断打,duan'da
断点,duan'dian
断掉,duan'diao
断活棋,duan'huo'qi
断哪边吃哪边,duan'na'bian'chi'na'bian
段祺瑞,duan'qi'rui
段嵘,duan'rong
断入,duan'ru
断头斗方,duan'tou'dou'fang
断头六,duan'tou'liu
断头曲四,duan'tou'qu'si
段位,duan'wei
段位制,duan'wei'zhi
断下,duan'xia
对攻,dui'gong
对角型布局,dui'jiao'xing'bu'ju
对角星布局,dui'jiao'xing'bu'ju
对局,dui'ju
对局谱,dui'ju'pu
对局者,dui'ju'zhe
对决,dui'jue
对面千里势,dui'mian'qian'li'shi
对掐,dui'qia
对杀,dui'sha
对手分,dui'shou'fen
对围,dui'wei
对弈,dui'yi
对应官子,dui'ying'guan'zi
对子棋,dui'zi'qi
敦煌棋经,dun'huang'qi'jing
多白,duo'bai
多黑,duo'hei
柁嘉熹,duo'jia'xi
多局决胜制,duo'ju'jue'sheng'zhi
柁老,duo'lao
多胜,duo'sheng
多元劫,duo'yuan'jie
恶人帮,e'ren'bang
恶手,e'shou
扼要而据,e'yao'er'ju
摁钟,en'zhong
耳赤的一手,er'chi'de'yi'shou
耳赤之妙手,er'chi'zhi'miao'shou
二段,er'duan
二间低挂,er'jian'di'gua
二间低夹,er'jian'di'jia
二间反夹,er'jian'fan'jia
二间高挂,er'jian'gao'gua
二间高夹,er'jian'gao'jia
二间夹,er'jian'jia
二李,er'li
二连星,er'lian'xing
二连星布局,er'lian'xing'bu'ju
二路,er'lu
二枚腰,er'mei'yao
二品,er'pin
二世,er'shi
二手,er'shou
二手劫,er'shou'jie
二五侵分,er'wu'qin'fen
二子头必扳,er'zi'tou'bi'ban
反扳,fan'ban
反吃,fan'chi
范楚卿,fan'chu'qing
反打,fan'da
反夹,fan'jia
翻盘,fan'pan
番棋,fan'qi
反提,fan'ti
范廷钰,fan'ting'yu
范蔚菁,fan'wei'jing
范西屏,fan'xi'ping
范希钰,fan'xi'yu
凡遇要处总诀,fan'yu'yao'chu'zong'jue
范蕴若,fan'yun'ruo
反则负,fan'ze'fu
反征,fan'zheng
方捷,fang'jie
方聚四,fang'ju'si
坊门黎黎,fang'men'li'li
方四,fang'si
方四倒脱靴,fang'si'dao'tuo'xue
方四形,fang'si'xing
方天丰,fang'tian'feng
方天刚,fang'tian'gang
方新,fang'xin
方阳功,fang'yang'gong
方杨功,fang'yang'gong
仿玉云子,fang'yu'yun'zi
方圆,fang'yuan
方圆社,fang'yuan'she
方圆世界泪皆凝,fang'yuan'shi'jie'lei'jie'ning
方子谦,fang'zi'qian
飞补,fei'bu
飞刀联盟,fei'dao'lian'meng
飞封,fei'feng
飞攻,fei'gong
飞枷,fei'jia
榧木盘,fei'mu'pan
飞起,fei'qi
废棋,fei'qi
飞压,fei'ya
飞扬棋友会,fei'yang'qi'you'hui
飞罩,fei'zhao
废着,fei'zhe
飞镇,fei'zhen
废子,fei'zi
分断,fen'duan
分投,fen'tou
分先,fen'xian
分组循环制,fen'zu'xun'huan'zhi
凤池图,feng'chi'tu
逢方必点,feng'fang'bi'dian
枫海会,feng'hai'hui
封号,feng'hao
封角,feng'jiao
封局,feng'ju
疯狂围棋,feng'kuang'wei'qi
冯魁,feng'kui
风流秦公子,feng'liu'qin'gong'zi
封盘,feng'pan
封棋,feng'qi
逢棋难处用小尖,feng'qi'nan'chu'yong'xiao'jian
封棋制,feng'qi'zhi
封神会,feng'shen'hui
封手,feng'shou
丰田杯,feng'tian'bei
冯伟,feng'wei
逢危须弃,feng'wei'xu'qi
冯毅,feng'yi
冯涌,feng'yong
风雨会,feng'yu'hui
丰云,feng'yun
风云围棋会所,feng'yun'wei'qi'hui'suo
风中的旅人,feng'zhong'de'lv'ren
服部因淑,fu'bu'yin'shu
付冲,fu'chong
富红梅,fu'hong'mei
复局,fu'ju
斧柯烂从风,fu'ke'lan'cong'feng
付利,fu'li
复盘,fu'pan
浮棋,fu'qi
富士通杯,fu'shi'tong'bei
斧头帮,fu'tou'bang
丐帮,gai'bang
感觉型,gan'jue'xing
甘思阳,gan'si'yang
冈田结美子,gang'tian'jie'mei'zi
高部道平,gao'bu'dao'ping
高拆,gao'chai
高川流,gao'chuan'liu
高段,gao'duan
高挂,gao'gua
高目,gao'mu
高启,gao'qi
高恬亮,gao'tian'liang
高位,gao'wei
高尾绅路,gao'wei'shen'lu
高校围棋联盟,gao'xiao'wei'qi'lian'meng
高咏梅,gao'yong'mei
高在熙,gao'zai'xi
高者在腹,gao'zhe'zai'fu
高中国流,gao'zhong'guo'liu
隔二关,ge'er'guan
个人比赛,ge'ren'bi'sai
隔虚提劫,ge'xu'ti'jie
耿文彬,geng'wen'bin
宫本义久,gong'ben'yi'jiu
宫本直毅,gong'ben'zhi'yi
攻逼,gong'bi
攻彼顾我,gong'bi'gu'wo
公活,gong'huo
共活,gong'huo
公活烂包皮,gong'huo'lan'bao'pi
攻击,gong'ji
攻击用飞,gong'ji'yong'fei
龚锦华,gong'jin'hua
公气,gong'qi
龚世运,gong'shi'yun
攻守同盟,gong'shou'tong'meng
工藤纪夫,gong'teng'ji'fu
共弈,gong'yi
苟棋,gou'qi
古大力,gu'da'li
咕得不行,gu'de'bu'xing
古风,gu'feng
古巨山,gu'ju'shan
古力,gu'li
古灵益,gu'ling'yi
古棋,gu'qi
孤棋,gu'qi
孤势,gu'shi
顾师言,gu'shi'yan
顾水如,gu'shui'ru
古一轮,gu'yi'lun
孤字头,gu'zi'tou
挂角,gua'jiao
拐打,guai'da
怪刀,guai'dao
拐三,guai'san
怪腕,guai'wan
冠军俱乐部,guan'jun'ju'le'bu
冠军战,guan'jun'zhan
关连,guan'lian
关门吃,guan'men'chi
观棋歌,guan'qi'ge
关山仙太夫,guan'shan'xian'tai'fu
关无恶手,guan'wu'e'shou
关西棋院,guan'xi'qi'yuan
观弈图,guan'yi'tu
官子,guan'zi
官子皇帝,guan'zi'huang'di
官子价值,guan'zi'jia'zhi
官子谱,guan'zi'pu
官子指要,guan'zi'zhi'yao
广岛铝制杯,guang'dao'lv'zhi'bei
光华棋友会,guang'hua'qi'you'hui
光明寺,guang'ming'si
广西华蓝,guang'xi'hua'lan
归本数,gui'ben'shu
归本子数,gui'ben'zi'shu
龟盾阵,gui'dun'zhen
龟甲,gui'jia
贵咳,gui'ke
鬼手,gui'shou
鬼头淳夫,gui'tou'chun'fu
桂文波,gui'wen'bo
鬼舞者,gui'wu'zhe
鬼因彻,gui'yin'che
鬼斩,gui'zhan
刽子手,gui'zi'shou
滚包,gun'bao
滚打,gun'da
滚打包收,gun'da'bao'shou
过百龄,guo'bai'ling
郭北雅,guo'bei'ya
国工,guo'gong
国际绅士,guo'ji'shen'shi
国家体育总局,guo'jia'ti'yu'zong'ju
郭鹃,guo'juan
郭明鑫,guo'ming'xin
国棋,guo'qi
过强,guo'qiang
国手,guo'shou
过惕生,guo'ti'sheng
郭天瑞,guo'tian'rui
国务总理杯,guo'wu'zong'li'bei
国弈,guo'yi
国弈初刊,guo'yi'chu'kan
国弈围棋道场,guo'yi'wei'qi'dao'chang
国宇征,guo'yu'zheng
过周十局,guo'zhou'shi'ju
海昌二妙集,hai'chang'er'miao'ji
海淀棋院,hai'dian'qi'yuan
还夹,hai'jia
还块子,hai'kuai'zi
还棋头,hai'qi'tou
还提,hai'ti
韩风,han'feng
憾负,han'fu
韩刚,han'gang
韩国国内联赛,han'guo'guo'nei'lian'sai
韩国流,han'guo'liu
韩海苑,han'hai'yuan
韩晗,han'han
韩流,han'liu
韩尚勋,han'shang'xun
韩相烈,han'xiang'lie
韩恂,han'xun
韩晔,han'ye
韩钟镇,han'zhong'zhen
杭天鹏,hang'tian'peng
杭州棋院,hang'zhou'qi'yuan
杭州棋院队,hang'zhou'qi'yuan'dui
好猫杯,hao'mao'bei
豪门杯,hao'men'bei
好棋,hao'qi
何必手谈国家事,he'bi'shou'tan'guo'jia'shi
河灿锡,he'can'xi
河成奉,he'cheng'feng
何处仙人爱手谈,he'chu'xian'ren'ai'shou'tan
河好贞,he'hao'zhen
和局,he'ju
河洛,he'luo
河洛千条待整治,he'luo'qian'tiao'dai'zheng'zhi
和棋,he'qi
鹤山淳志,he'shan'chun'zhi
何鑫,he'xin
河勋熙,he'xun'xi
河野临,he'ye'lin
黑白道,hei'bai'dao
黑白之间,hei'bai'zhi'jian
黑方,hei'fang
黑国手,hei'guo'shou
黑火丁,hei'huo'ding
黑嘉嘉,hei'jia'jia
黑先,hei'xian
恨空,hen'kong
横田茂昭,heng'tian'mao'zhao
洪彩霞,hong'cai'xia
红花会,hong'hua'hui
洪旼杓,hong'min'biao
洪清泉,hong'qing'quan
洪太善,hong'tai'shan
洪艳,hong'yan
洪章植,hong'zhang'zhi
洪钟贤,hong'zhong'xian
厚壁,hou'bi
猴脸形,hou'lian'xing
厚势,hou'shi
后手,hou'shou
后手官子,hou'shou'guan'zi
后手劫,hou'shou'jie
后手死,hou'shou'si
后手眼,hou'shou'yan
后藤俊午,hou'teng'jun'wu
后推车,hou'tui'che
猴王,hou'wang
后中先,hou'zhong'xian
猴子脸,hou'zi'lian
虎次郎,hu'ci'lang
蝴蝶步,hu'die'bu
蝴蝶公主,hu'die'gong'zhu
蝴蝶谷,hu'die'gu
护断,hu'duan
胡狗,hu'gou
互挂型布局,hu'gua'xing'bu'ju
虎口,hu'kou
狐狸,hu'li
狐狸之美,hu'li'zhi'mei
胡沛泉,hu'pei'quan
胡帅,hu'shuai
互提二子,hu'ti'er'zi
胡田,hu'tian
互围,hu'wei
胡惟健,hu'wei'jian
虎穴得子人皆惊,hu'xue'de'zi'ren'jie'jing
胡延楣,hu'yan'mei
胡耀宇,hu'yao'yu
胡煜清,hu'yu'qing
胡跃峰,hu'yue'feng
胡兆麟,hu'zhao'lin
胡子真,hu'zi'zhen
花都开好了,hua'dou'kai'hao'le
花幡六,hua'fan'liu
花卉基地,hua'hui'ji'di
花聚六,hua'ju'liu
花聚四,hua'ju'si
花聚五,hua'ju'wu
花六,hua'liu
华山论道,hua'shan'lun'dao
花四,hua'si
华伟荣,hua'wei'rong
花五,hua'wu
华夏育苗会,hua'xia'yu'miao'hui
华学明,hua'xue'ming
华以刚,hua'yi'gang
坏棋,huai'qi
幻庵,huan'an
幻庵因硕,huan'an'yin'shuo
缓急,huan'ji
缓两气劫,huan'liang'qi'jie
缓气劫,huan'qi'jie
缓三气不是劫,huan'san'qi'bu'shi'jie
缓三气劫,huan'san'qi'jie
缓一气劫,huan'yi'qi'jie
幻影之国,huan'ying'zhi'guo
缓着,huan'zhe
缓着应知心路远,huan'zhe'ying'zhi'xin'lu'yuan
黄晨,huang'chen
黄德勋,huang'de'xun
皇甫伟,huang'fu'wei
黄庚,huang'geng
黄河杯,huang'he'bei
黄佳,huang'jia
黄进先,huang'jin'xian
黄良玉,huang'liang'yu
黄龙士,huang'long'shi
黄龙周虎,huang'long'zhou'hu
黄梅时节家家雨,huang'mei'shi'jie'jia'jia'yu
黄希文,huang'xi'wen
黄星灿,huang'xing'can
黄焰,huang'yan
黄奕昀,huang'yi'yun
黄奕中,huang'yi'zhong
黄翊祖,huang'yi'zu
黄莺扑蝶,huang'ying'pu'die
黄永吉,huang'yong'ji
黄元俊,huang'yuan'jun
徽帮棋友会,hui'bang'qi'you'hui
回夹,hui'jia
回敬辰,hui'jing'chen
回龙征,hui'long'zheng
悔棋,hui'qi
绘声园弈谱,hui'sheng'yuan'yi'pu
回提,hui'ti
回纹征,hui'wen'zheng
昏着,hun'zhe
活路,huo'lu
活棋,huo'qi
活三三,huo'san'san
吉备真备,ji'bei'zhen'bei
基本线,ji'ben'xian
基本形,ji'ben'xing
记得要忘记,ji'de'yao'wang'ji
几度午窗惊梦残,ji'du'wu'chuang'jing'meng'can
记分,ji'fen
积分编排淘汰制,ji'fen'bian'pai'tao'tai'zhi
积分编排制,ji'fen'bian'pai'zhi
积分循环制,ji'fen'xun'huan'zhi
记分制,ji'fen'zhi
疾风之谱,ji'feng'zhi'pu
鸡公,ji'gong
寂光寺,ji'guang'si
寂寂空亭石几寒,ji'ji'kong'ting'shi'ji'han
记录纸,ji'lu'zhi
机论,ji'lun
迹目,ji'mu
寄青霞馆弈选,ji'qing'xia'guan'yi'xuan
计时,ji'shi
计时钟,ji'shi'zhong
计算力,ji'suan'li
计算胜负,ji'suan'sheng'fu
计算型,ji'suan'xing
急所,ji'suo
吉田美香,ji'tian'mei'xiang
吉田晴美,ji'tian'qing'mei
级位,ji'wei
急围不忘耳根闲,ji'wei'bu'wang'er'gen'xian
级位制,ji'wei'zhi
鸡鸭乌鹭玉楸枰,ji'ya'wu'lu'yu'qiu'ping
急战,ji'zhan
枷吃,jia'chi
加德士杯,jia'de'shi'bei
夹攻,jia'gong
加纳嘉德,jia'na'jia'de
假棋,jia'qi
贾倩,jia'qian
家人日暮待薪炊,jia'ren'ri'mu'dai'xin'chui
加赛,jia'sai
假生,jia'sheng
枷死,jia'si
加藤朋子,jia'teng'peng'zi
加藤启子,jia'teng'qi'zi
加藤信,jia'teng'xin
加藤正夫,jia'teng'zheng'fu
贾玄,jia'xuan
贾玄七着,jia'xuan'qi'zhe
加压棋,jia'ya'qi
假眼,jia'yan
贾知若,jia'zhi'ruo
涧草山花一刹那,jian'cao'shan'hua'yi'cha'na
肩冲,jian'chong
尖冲,jian'chong
尖出,jian'chu
尖顶,jian'ding
尖断,jian'duan
尖封,jian'feng
见合,jian'he
简明,jian'ming
建桥杯,jian'qiao'bei
兼山堂弈谱,jian'shan'tang'yi'pu
坚实,jian'shi
见损,jian'sun
尖无恶手,jian'wu'e'shou
简莹,jian'ying
姜昌培,jiang'chang'pei
蒋辰中,jiang'chen'zhong
姜东润,jiang'dong'run
降段,jiang'duan
江湖二老,jiang'hu'er'lao
降级,jiang'ji
绛节五,jiang'jie'wu
姜磊,jiang'lei
江霖,jiang'lin
江铃杯,jiang'ling'bei
姜鸣皋,jiang'ming'gao
江鸣久,jiang'ming'jiu
江南第一剑,jiang'nan'di'yi'jian
姜儒泽,jiang'ru'ze
僵尸流,jiang'shi'liu
江苏棋院,jiang'su'qi'yuan
姜晩寓,jiang'wan'yu
蒋蔚,jiang'wei
江维杰,jiang'wei'jie
姜勋,jiang'xun
江用卿,jiang'yong'qing
江原大世界,jiang'yuan'da'shi'jie
姜至省,jiang'zhi'sheng
江铸久,jiang'zhu'jiu
交叉点,jiao'cha'dian
叫吃,jiao'chi
