阿初,a'chu
克莉丝特,ke'li'si'te
可怜天下父母心,ke'lian'tian'xia'fu'mu'xin
恐怖的变质美味,kong'bu'de'bian'zhi'mei'wei
孔雀姬,kong'que'ji
孔雀姬华佗,kong'que'ji'hua'tuo
空知,kong'zhi
空知猩猩,kong'zhi'xing'xing
空知英秋,kong'zhi'ying'qiu
堀江,ku'jiang
堀江由衣,ku'jiang'you'yi
快援队,kuai'yuan'dui
狂乱的贵公子,kuang'luan'de'gui'gong'zi
狂乱贵公子,kuang'luan'gui'gong'zi
狂热分子要有三个,kuang're'fen'zi'yao'you'san'ge
狂死郎,kuang'si'lang
拉链要慢慢地拉上去,la'lian'yao'man'man'de'la'shang'qu
辣仙贝,la'xian'bei
来岛,lai'dao
来岛又子,lai'dao'you'zi
老而弥坚,lao'er'mi'jian
牢骚屋,lao'sao'wu
立木,li'mu
立木文彦,li'mu'wen'yan
料理靠毅力,liao'li'kao'yi'li
林藏于木,lin'cang'yu'mu
铃村,ling'cun
铃村健一,ling'cun'jian'yi
绫乃,ling'nai
流山,liu'shan
流山博士,liu'shan'bo'shi
柳生,liu'sheng
柳生九兵卫,liu'sheng'jiu'bing'wei
柳生敏木斋,liu'sheng'min'mu'zhai
柳生篇,liu'sheng'pian
柳生十兵卫,liu'sheng'shi'bing'wei
柳生四天王,liu'sheng'si'tian'wang
柳生与矩,liu'sheng'yu'ju
龙宫篇,long'gong'pian
陆奥,lu'ao
露利英,lu'li'ying
萝莉控,luo'li'kong
绿川,lv'chuan
绿川光,lv'chuan'guang
满月催人狂,man'yue'cui'ren'kuang
蔓子,man'zi
猫耳大婶,mao'er'da'shen
猫耳老太婆,mao'er'lao'tai'po
猫耳萌娘,mao'er'meng'niang
猫狗篇,mao'gou'pian
茂吉,mao'ji
茂茂,mao'mao
毛毛头,mao'mao'tou
猫派和狗派无法相容,mao'pai'he'gou'pai'wu'fa'xiang'rong
猫眼大叔,mao'yan'da'shu
妹控,mei'kong
美丽的蔷薇是带刺的,mei'li'de'qiang'wei'shi'dai'ci'de
美丽宛如夏日果实,mei'li'wan'ru'xia'ri'guo'shi
美乃滋,mei'nai'zi
美乃滋控,mei'nai'zi'kong
美乃滋星人,mei'nai'zi'xing'ren
眉尸,mei'shi
眯眯眼,mi'mi'yan
面包德莫妮翁,mian'bao'de'mo'ni'weng
面包德莫妮翁同学,mian'bao'de'mo'ni'weng'tong'xue
妙姐,miao'jie
妙九,miao'jiu
敏木斋,min'mu'zhai
魔鬼副长,mo'gui'fu'chang
墨镜男,mo'jing'nan
貘军,mo'jun
摩利支天,mo'li'zhi'tian
魔破典子,mo'po'dian'zi
魔死吕威下愚藏,mo'si'lv'wei'xia'yu'cang
魔死吕威郁藏,mo'si'lv'wei'yu'cang
木村忠太郎,mu'cun'zhong'tai'lang
母猪女,mu'zhu'nv
纳豆女,na'dou'nv
拿走的碟子不会回来,na'zou'de'die'zi'bu'hui'hui'lai
南户,nan'hu
南户粹,nan'hu'cui
男人真是麻烦,nan'ren'zhen'shi'ma'fan
南央美,nan'yang'mei
男子汉的浪漫,nan'zi'han'de'lang'man
脑残,nao'can
内裤保卫战,nei'ku'bao'wei'zhan
能登,neng'deng
能登麻美子,neng'deng'ma'mei'zi
能睡的孩子长得好,neng'shui'de'hai'zi'zhang'de'hao
泥方,ni'fang
牛奶要暖至人体温度,niu'nai'yao'nuan'zhi'ren'ti'wen'du
女权主义者,nv'quan'zhu'yi'zhe
牌鬼,pai'gui
牌鬼阿良,pai'gui'a'liang
潘蒂莫尼姆,pan'di'mo'ni'mu
屁怒络,pi'nu'luo
屁怒吕,pi'nu'lv
屁怒絽,pi'nu'lv
片栗虎,pian'li'hu
平次,ping'ci
平贺,ping'he
平贺三郎,ping'he'san'lang
平贺源外,ping'he'yuan'wai
破坏神,po'huai'shen
破牙,po'ya
破牙检察官,po'ya'jian'cha'guan
浦岛,pu'dao
浦岛太郎,pu'dao'tai'lang
奇兵队,qi'bing'dui
企鹅怪,qi'e'guai
齐藤,qi'teng
齐藤优,qi'teng'you
旗鱼子,qi'yu'zi
钱封机,qian'feng'ji
千叶,qian'ye
千叶进步,qian'ye'jin'bu
浅野麻由美,qian'ye'ma'you'mei
欠债还钱天经地义,qian'zhai'huan'qian'tian'jing'di'yi
巧克力巴菲,qiao'ke'li'ba'fei
亲卫队队长,qin'wei'dui'dui'zhang
禽夜,qin'ye
芹泽鸭,qin'ze'ya
清藏,qing'cang
青葱,qing'cong
晴明,qing'ming
青山穣,qing'shan'rang
晴太,qing'tai
丘三十郎,qiu'san'shi'lang
秋元羊介,qiu'yuan'yang'jie
犬神,quan'shen
攘夷浪士,rang'yi'lang'shi
攘夷志士,rang'yi'zhi'shi
人的身体是个小宇宙,ren'de'shen'ti'shi'ge'xiao'yu'zhou
人人都是圣诞老人,ren'ren'dou'shi'sheng'dan'lao'ren
人生就是考试,ren'sheng'jiu'shi'kao'shi
人生没有存档点,ren'sheng'mei'you'cun'dang'dian
人斩,ren'zhan
日轮,ri'lun
日升,ri'sheng
日野,ri'ye
日野聪,ri'ye'cong
若本,ruo'ben
若本规夫,ruo'ben'gui'fu
三代目乌贼藏,san'dai'mu'wu'zei'cang
三郎,san'lang
三木,san'mu
三木叔,san'mu'shu
三木真一郎,san'mu'zhen'yi'lang
三瓶由布子,san'ping'you'bu'zi
三神,san'shen
三味线,san'wei'xian
三叶,san'ye
三叶姐姐,san'ye'jie'jie
三叶篇,san'ye'pian
三叶小姐,san'ye'xiao'jie
莎白,sha'bai
杀手龟,sha'shou'gui
杀手总悟十三号,sha'shou'zong'wu'shi'san'hao
杉本优,shan'ben'you
山冲,shan'chong
善后屋,shan'hou'wu
山崎,shan'qi
山崎君,shan'qi'jun
山崎巧,shan'qi'qiao
山崎退,shan'qi'tui
山崎卓实,shan'qi'zhuo'shi
山寺,shan'si
山寺宏一,shan'si'hong'yi
杉田,shan'tian
杉田孩子,shan'tian'hai'zi
杉田君,shan'tian'jun
杉田智和,shan'tian'zhi'he
山土,shan'tu
杉原忠司,shan'yuan'zhong'si
少主,shao'zhu
少主控,shao'zhu'kong
神乐,shen'le
神秘魔法使,shen'mi'mo'fa'shi
神山,shen'shan
神威,shen'wei
神威君,shen'wei'jun
神楽,shen'yue
声优,sheng'you
十郎太,shi'lang'tai
是男人就别放弃,shi'nan'ren'jiu'bie'fang'qi
十四,shi'si
十四郎,shi'si'lang
石田,shi'tian
石田彰,shi'tian'zhang
石头殿,shi'tou'dian
失忆篇,shi'yi'pian
柿子皮吃多了可不成,shi'zi'pi'chi'duo'le'ke'bu'cheng
手伸得越长够的越远,shou'shen'de'yue'zhang'gou'de'yue'yuan
双神,shuang'shen
似藏,si'cang
巳厘野,si'li'ye
巳厘野道满,si'li'ye'dao'man
寺门,si'men
寺门通,si'men'tong
寺门通亲卫队队长,si'men'tong'qin'wei'dui'dui'zhang
寺田,si'tian
寺田绫乃,si'tian'ling'nai
死鱼眼,si'yu'yan
松本,song'ben
松本和香子,song'ben'he'xiang'zi
松近,song'jin
松平,song'ping
松平大叔,song'ping'da'shu
松平老爹,song'ping'lao'die
松平栗子,song'ping'li'zi
松平片栗虎,song'ping'pian'li'hu
松阳,song'yang
松阳老师,song'yang'lao'shi
松原松子,song'yuan'song'zi
速水奖,su'shui'jiang
泰三,tai'san
太田哲治,tai'tian'zhe'zhi
糖分控,tang'fen'kong
糖糖君,tang'tang'jun
藤堂凹助,teng'tang'ao'zhu
藤原,teng'yuan
藤原启治,teng'yuan'qi'zhi
田村由加莉,tian'cun'you'jia'li
天然呆,tian'ran'dai
天然卷,tian'ran'juan
天下的娘亲一般亲,tian'xia'de'niang'qin'yi'ban'qin
天知,tian'zhi
天知猩猩,tian'zhi'xing'xing
铁矢,tie'shi
铁子,tie'zi
桐岛,tong'dao
桐岛香绘,tong'dao'xiang'hui
桐岛直子,tong'dao'zhi'zi
吐槽八,tu'cao'ba
吐槽专业户,tu'cao'zhuan'ye'hu
土冲,tu'chong
土方,tu'fang
土方君,tu'fang'jun
土方十四郎,tu'fang'shi'si'lang
土方岁三,tu'fang'sui'san
土方特制饭,tu'fang'te'zhi'fan
土桂,tu'gui
土近,tu'jin
土三,tu'san
土山,tu'shan
土神,tu'shen
兔叔,tu'shu
土新,tu'xin
土银,tu'yin
土银土,tu'yin'tu
秃子坊主,tu'zi'fang'zhu
团子头,tuan'zi'tou
退君,tui'jun
陀络,tuo'luo
外道丸,wai'dao'wan
万岛,wan'dao
万高,wan'gao
万奇,wan'qi
万齐,wan'qi
万事都看拍子和时机,wan'shi'dou'kan'pai'zi'he'shi'ji
万事屋,wan'shi'wu
万事屋阿银,wan'shi'wu'a'yin
万事屋老板,wan'shi'wu'lao'ban
万斋,wan'zhai
威冲,wei'chong
威神,wei'shen
隈无,wei'wu
隈无清藏,wei'wu'qing'cang
威银,wei'yin
温泉篇,wen'quan'pian
屋良有作,wu'liang'you'zuo
武市半平太,wu'shi'ban'ping'tai
武市变,wu'shi'bian
武市变平太,wu'shi'bian'ping'tai
武市变态,wu'shi'bian'tai
武市大叔,wu'shi'da'shu
武市前辈,wu'shi'qian'bei
武士王,wu'shi'wang
物似主人形,wu'si'zhu'ren'xing
武田观念斋,wu'tian'guan'nian'zhai
伍丸贰号,wu'wan'er'hao
无用男,wu'yong'nan
夕树,xi'shu
夕树良,xi'shu'liang
夕树香织,xi'shu'xiang'zhi
西乡,xi'xiang
西乡殿,xi'xiang'dian
西乡特盛,xi'xiang'te'sheng
西乡照彦,xi'xiang'zhao'yan
西野,xi'ye
西野掴,xi'ye'guai
侠客之锁,xia'ke'zhi'suo
香绘,xiang'hui
想减肥就不许吃,xiang'jian'fei'jiu'bu'xu'chi
想减肥就给我动起来,xiang'jian'fei'jiu'gei'wo'dong'qi'lai
香织,xiang'zhi
小葱,xiao'cong
小九,xiao'jiu
小卷子,xiao'juan'zi
小栗,xiao'li
小栗旬之助,xiao'li'xun'zhi'zhu
小林,xiao'lin
小林优,xiao'lin'you
小妙,xiao'miao
小屁孩儿才玩雪,xiao'pi'hai'er'cai'wan'xue
小钱形,xiao'qian'xing
小钱形平次,xiao'qian'xing'ping'ci
小莎,xiao'sha
小太郎,xiao'tai'lang
小万,xiao'wan
小西,xiao'xi
小西恒平,xiao'xi'heng'ping
小银,xiao'yin
小玉,xiao'yu
小猿,xiao'yuan
筱原,xiao'yuan
筱原进之进,xiao'yuan'jin'zhi'jin
小月,xiao'yue
小照彦,xiao'zhao'yan
小直,xiao'zhi
小直小姐,xiao'zhi'xiao'jie
小总,xiao'zong
新八,xin'ba
新八几,xin'ba'ji
新八唧,xin'ba'ji
新八姬,xin'ba'ji
新吧唧,xin'ba'ji
新七,xin'qi
新神,xin'shen
新通,xin'tong
新选组,xin'xuan'zu
新译红樱篇,xin'yi'hong'ying'pian
星海坊主,xing'hai'fang'zhu
醒来工作的幸福人群,xing'lai'gong'zuo'de'xing'fu'ren'qun
星人,xing'ren
猩猩局长,xing'xing'ju'zhang
修罗,xiu'luo
朽木生花,xiu'mu'sheng'hua
修行篇,xiu'xing'pian
雪乃五月,xue'nai'wu'yue
雪野五月,xue'ye'wu'yue
鸭太郎,ya'tai'lang
眼不见心不烦,yan'bu'jian'xin'bu'fan
眼镜娘,yan'jing'niang
眼镜女忍,yan'jing'nv'ren
眼睛桑,yan'jing'sang
眼镜吐槽男,yan'jing'tu'cao'nan
炎上篇,yan'shang'pian
要好好听人讲话,yao'hao'hao'ting'ren'jiang'hua
夜兔,ye'tu
夜兔神威,ye'tu'shen'wei
夜兔族,ye'tu'zu
夜晚的蜘蛛是凶兆,ye'wan'de'zhi'zhu'shi'xiong'zhao
夜晚再长也终有黎明,ye'wan'zai'chang'ye'zhong'you'li'ming
夜王,ye'wang
夜王凤仙,ye'wang'feng'xian
伊定,yi'ding
伊东,yi'dong
伊东甲子太郎,yi'dong'jia'zi'tai'lang
伊东鸭太郎,yi'dong'ya'tai'lang
一番队长,yi'fan'dui'zhang
伊桂,yi'gui
乙姬,yi'ji
伊丽,yi'li
伊丽莎白,yi'li'sha'bai
伊叔,yi'shu
一丝线成祝融之源,yi'si'xian'cheng'zhu'rong'zhi'yuan
伊藤美纪,yi'teng'mei'ji
异形猎人,yi'xing'lie'ren
银八,yin'ba
银八老师,yin'ba'lao'shi
银白,yin'bai
银冲,yin'chong
银发,yin'fa
银高,yin'gao
银桂,yin'gui
银河万丈,yin'he'wan'zhang
银酱,yin'jiang
银妙,yin'miao
银桑,yin'sang
银神,yin'shen
银时,yin'shi
银他妈,yin'ta'ma
银太,yin'tai
银土,yin'tu
银威,yin'wei
银新,yin'xin
银与阁下的捶米棒,yin'yu'ge'xia'de'chui'mi'bang
银猿,yin'yuan
银月,yin'yue
硬鸡蛋打不破,ying'ji'dan'da'bu'po
樱井智,ying'jing'zhi
英秋,ying'qiu
英雄也有烦恼时,ying'xiong'ye'you'fan'nao'shi
永仓,yong'cang
永仓新七,yong'cang'xin'qi
用拳头抓住梦,yong'quan'tou'zhua'zhu'meng
有二必有三,you'er'bi'you'san
友情努力胜利,you'qing'nu'li'sheng'li
有些事不说为好,you'xie'shi'bu'shuo'wei'hao
由衣,you'yi
右之,you'zhi
又子,you'zi
游佐,you'zuo
游佐浩二,you'zuo'hao'er
郁藏,yu'cang
御登势,yu'deng'shi
与矩,yu'ju
羽毛球王子,yu'mao'qiu'wang'zi
御门,yu'men
与其赏花不如吃粉团,yu'qi'shang'hua'bu'ru'chi'fen'tuan
宇治银时饭,yu'zhi'yin'shi'fan
宇宙海盗船长,yu'zhou'hai'dao'chuan'zhang
宇宙蟑螂,yu'zhou'zhang'lang
猿飞,yuan'fei
猿飞菖浦,yuan'fei'chang'pu
猿飞菖蒲,yuan'fei'chang'pu
猿飞佐助,yuan'fei'zuo'zhu
原田,yuan'tian
原田右之助,yuan'tian'you'zhi'zhu
源外,yuan'wai
源外老头,yuan'wai'lao'tou
越不招人喜欢越可爱,yue'bu'zhao'ren'xi'huan'yue'ke'ai
越坏的家伙越会睡,yue'huai'de'jia'huo'yue'hui'shui
月咏,yue'yong
云母,yun'mu
运气和身份没有关系,yun'qi'he'shen'fen'mei'you'guan'xi
云业,yun'ye
哉叔,zai'shu
早水理沙,zao'shui'li'sha
炸死他喂,zha'si'ta'wei
宅十四,zhai'shi'si
宅十四篇,zhai'shi'si'pian
斋藤,zhai'teng
斋藤千和,zhai'teng'qian'he
斋藤优,zhai'teng'you
斋藤终,zhai'teng'zhong
彰彰,zhang'zhang
照彦,zhao'yan
折笠富美子,zhe'li'fu'mei'zi
枕边话不可信,zhen'bian'hua'bu'ke'xin
真殿光昭,zhen'dian'guang'zhao
真选组,zhen'xuan'zu
真选组十番队队长,zhen'xuan'zu'shi'fan'dui'dui'zhang
征夷大将军,zheng'yi'da'jiang'jun
志村,zhi'cun
志村妙,zhi'cun'miao
志村新八,zhi'cun'xin'ba
制服增加二成,zhi'fu'zeng'jia'er'cheng
智和,zhi'he
智和君,zhi'he'jun
蜘蛛手,zhi'zhu'shou
直子,zhi'zi
中村,zhong'cun
中村京次郎,zhong'cun'jing'ci'lang
中井,zhong'jing
中井和哉,zhong'jing'he'zai
中年女性向,zhong'nian'nv'xing'xiang
主役,zhu'yi
子安,zi'an
子安殿,zi'an'dian
子安桑,zi'an'sang
子安武人,zi'an'wu'ren
字开脚,zi'kai'jiao
总悟,zong'wu
总悟眼罩,zong'wu'yan'zhao
做幽灵题材时要慎重,zuo'you'ling'ti'cai'shi'yao'shen'zhong
