阿道,a'dao
奥俱啰那陀,ao'ju'luo'na'tuo
巴查巴,ba'cha'ba
巴察贡巴,ba'cha'gong'ba
拔队得胜,ba'dui'de'sheng
巴壶天居士,ba'hu'tian'ju'shi
巴拿哈,ba'na'ha
巴戎巴达玛旺秀,ba'rong'ba'da'ma'wang'xiu
巴赛囊,ba'sai'nang
巴桑希译师,ba'sang'xi'yi'shi
八十八祖道影传赞,ba'shi'ba'zu'dao'ying'chuan'zan
八思巴,ba'si'ba
八思巴洛哲坚赞,ba'si'ba'luo'zhe'jian'zan
跋陀罗尊者,ba'tuo'luo'zun'zhe
巴哇希,ba'wa'xi
巴札力巴,ba'zha'li'ba
巴支汪朱,ba'zhi'wang'zhu
巴支星叽,ba'zhi'xing'ji
巴支移喜,ba'zhi'yi'xi
巴珠仁波且,ba'zhu'ren'bo'qie
八祖佛陀密多尊者,ba'zu'fo'tuo'mi'duo'zun'zhe
八祖佛陀难提传法伏驮蜜多,ba'zu'fo'tuo'nan'ti'chuan'fa'fu'tuo'mi'duo
八祖佛陀难提尊者,ba'zu'fo'tuo'nan'ti'zun'zhe
八祖左溪尊者玄朗,ba'zu'zuo'xi'zun'zhe'xuan'lang
白庵金禅师,bai'an'jin'chan'shi
白居易,bai'ju'yi
白居易居士,bai'ju'yi'ju'shi
白乐天,bai'le'tian
白马,bai'ma
白玛曲英乔达尔尊者,bai'ma'qu'ying'qiao'da'er'zun'zhe
白马寺,bai'ma'si
白少傅,bai'shao'fu
白圣法师,bai'sheng'fa'shi
百松,bai'song
柏万安之母曹氏,bai'wan'an'zhi'mu'cao'shi
百屋禅师清珙,bai'wu'chan'shi'qing'gong
白崖宝生,bai'ya'bao'sheng
白崖山无住禅师,bai'ya'shan'wu'zhu'chan'shi
柏岩禅师,bai'yan'chan'shi
白杨法顺禅师,bai'yang'fa'shun'chan'shi
白杨顺禅师,bai'yang'shun'chan'shi
白隐慧鹤,bai'yin'hui'he
白云禅师智度,bai'yun'chan'shi'zhi'du
白云度公,bai'yun'du'gong
白云端禅师,bai'yun'duan'chan'shi
白云慧晓,bai'yun'hui'xiao
白云寂照明首座,bai'yun'ji'zhao'ming'shou'zuo
白云孔清觉,bai'yun'kong'qing'jue
白云守端禅师,bai'yun'shou'duan'chan'shi
白云子祥,bai'yun'zi'xiang
百丈,bai'zhang
百丈道恒,bai'zhang'dao'heng
百丈海禅师,bai'zhang'hai'chan'shi
百丈怀海禅师,bai'zhang'huai'hai'chan'shi
百丈山怀海禅师,bai'zhang'shan'huai'hai'chan'shi
百丈珍禅师,bai'zhang'zhen'chan'shi
百丈政,bai'zhang'zheng
班德巴,ban'de'ba
班钦索南札巴,ban'qin'suo'nan'zha'ba
半托迦尊者,ban'tuo'jia'zun'zhe
宝安,bao'an
报本元禅师,bao'ben'yuan'chan'shi
宝唱,bao'chang
宝称律师,bao'cheng'lv'shi
报慈,bao'ci
宝达,bao'da
报恩,bao'en
报恩禅师论三教大要,bao'en'chan'shi'lun'san'jiao'da'yao
宝峰,bao'feng
宝峰阐提照禅师,bao'feng'chan'ti'zhao'chan'shi
宝峰清禅师,bao'feng'qing'chan'shi
宝峰祥禅师,bao'feng'xiang'chan'shi
宝峰英禅师,bao'feng'ying'chan'shi
宝峰湛堂准禅师,bao'feng'zhan'tang'zhun'chan'shi
宝峰准禅师,bao'feng'zhun'chan'shi
保福,bao'fu
宝盖,bao'gai
保恭,bao'gong
宝公,bao'gong
宝公大士,bao'gong'da'shi
宝公慧洪,bao'gong'hui'hong
宝海,bao'hai
宝积,bao'ji
宝积禅师,bao'ji'chan'shi
宝金禅师,bao'jin'chan'shi
宝觉道法师,bao'jue'dao'fa'shi
宝亮,bao'liang
宝亮法师,bao'liang'fa'shi
宝林迦陵,bao'lin'jia'ling
保宁玑禅师,bao'ning'ji'chan'shi
保宁玑道,bao'ning'ji'dao
宝庆寂圆,bao'qing'ji'yuan
宝琼,bao'qiong
宝儒,bao'ru
宝山浮玉,bao'shan'fu'yu
宝寿,bao'shou
宝思惟,bao'si'wei
宝通,bao'tong
宝通禅师,bao'tong'chan'shi
宝彖,bao'tuan
宝袭,bao'xi
宝贤,bao'xian
宝宪,bao'xian
保贤法师,bao'xian'fa'shi
宝相,bao'xiang
鲍性泉,bao'xing'quan
宝严,bao'yan
宝岩,bao'yan
宝一老人行实,bao'yi'lao'ren'hang'shi
宝印,bao'yin
宝印禅师,bao'yin'chan'shi
宝印法师,bao'yin'fa'shi
抱玉,bao'yu
宝渊,bao'yuan
宝云,bao'yun
宝藏禅师,bao'zang'chan'shi
保志,bao'zhi
宝志,bao'zhi
宝志大士,bao'zhi'da'shi
宝志公禅师,bao'zhi'gong'chan'shi
宝洲沙门觉岸,bao'zhou'sha'men'jue'an
北禅贤禅师,bei'chan'xian'chan'shi
杯度,bei'du
杯渡,bei'du
杯度比丘,bei'du'bi'qiu
杯渡尊者,bei'du'zun'zhe
北涧简禅师,bei'jian'jian'chan'shi
北涧居简禅师,bei'jian'ju'jian'chan'shi
北凉三藏昙无谶,bei'liang'san'zang'tan'wu'chen
卑摩罗叉,bei'mo'luo'cha
贝诺法王二世,bei'nuo'fa'wang'er'shi
贝诺法王三世,bei'nuo'fa'wang'san'shi
贝诺法王一世,bei'nuo'fa'wang'yi'shi
北平庆寿简禅师禅师,bei'ping'qing'shou'jian'chan'shi'chan'shi
北齐道凭,bei'qi'dao'ping
北齐慧光,bei'qi'hui'guang
北印度佛陀波利尊者,bei'yin'du'fo'tuo'bo'li'zun'zhe
北周慧命,bei'zhou'hui'ming
北周静蔼,bei'zhou'jing'ai
北宗神秀禅师,bei'zong'shen'xiu'chan'shi
本道法师,ben'dao'fa'shi
本光法师,ben'guang'fa'shi
本焕法师,ben'huan'fa'shi
本慧法师,ben'hui'fa'shi
本济,ben'ji
本寂禅师,ben'ji'chan'shi
本际法师,ben'ji'fa'shi
本寂法师,ben'ji'fa'shi
本寂三,ben'ji'san
本净,ben'jing
本净禅师,ben'jing'chan'shi
本空,ben'kong
本空照禅师,ben'kong'zhao'chan'shi
本明,ben'ming
本仁,ben'ren
本如,ben'ru
本无,ben'wu
本无法师,ben'wu'fa'shi
本先禅师,ben'xian'chan'shi
本逸禅师,ben'yi'chan'shi
本圆法师,ben'yuan'fa'shi
彼岸,bi'an
必才,bi'cai
必才法师,bi'cai'fa'shi
璧峰禅师宝金,bi'feng'chan'shi'bao'jin
璧峰金禅师,bi'feng'jin'chan'shi
毕俊辉居士,bi'jun'hui'ju'shi
必兰纳识理,bi'lan'na'shi'li
毕鲁巴,bi'lu'ba
闭门婆,bi'men'po
毕夏拿,bi'xia'na
毕紫岚,bi'zi'lan
辩才,bian'cai
辩才法师,bian'cai'fa'shi
辩光,bian'guang
辩寂,bian'ji
遍能法师,bian'neng'fa'shi
辨融禅师,bian'rong'chan'shi
遍融师,bian'rong'shi
辩相,bian'xiang
辩秀,bian'xiu
辩义,bian'yi
表自,biao'zi
别峰禅师大同,bie'feng'chan'shi'da'tong
别峰大殊,bie'feng'da'shu
别峰印禅师,bie'feng'yin'chan'shi
别山祖智禅师,bie'shan'zu'zhi'chan'shi
别传老人,bie'zhuan'lao'ren
宾度罗跋罗堕尊者,bin'du'luo'ba'luo'duo'zun'zhe
斌宗法师,bin'zong'fa'shi
博多瓦仁钦赛,bo'duo'wa'ren'qin'sai
帛法桥,bo'fa'qiao
博陵县君崔氏,bo'ling'xian'jun'cui'shi
波罗芬多,bo'luo'fen'duo
波罗颇迦罗蜜多罗,bo'luo'po'jia'luo'mi'duo'luo
般若,bo're
般若多罗,bo're'duo'luo
波若,bo'ruo
帛僧光,bo'seng'guang
帛尸梨密多罗,bo'shi'li'mi'duo'luo
帛远,bo'yuan
布达力巴,bu'da'li'ba
布袋和尚,bu'dai'he'shang
布敦仁钦朱,bu'dun'ren'qin'zhu
不二,bu'er
不空,bu'kong
不空三藏,bu'kong'san'zang
不空三藏法师,bu'kong'san'zang'fa'shi
布毛侍者,bu'mao'shi'zhe
布衲效常,bu'na'xiao'chang
不如密多,bu'ru'mi'duo
布苏固巴,bu'su'gu'ba
不语通,bu'yu'tong
采巴耿噶多杰,cai'ba'geng'ga'duo'jie
采巴祥尊哲札巴,cai'ba'xiang'zun'zhe'zha'ba
蔡槐庭,cai'huai'ting
蔡念生居士,cai'nian'sheng'ju'shi
蔡维立,cai'wei'li
蔡子应,cai'zi'ying
参寥子,can'liao'zi
藏巴嘉热益西多杰,cang'ba'jia're'yi'xi'duo'jie
藏巴嘉热益喜多杰,cang'ba'jia're'yi'xi'duo'jie
藏奂,cang'huan
藏奂禅师,cang'huan'chan'shi
藏山顺空,cang'shan'shun'kong
藏叟朗誉,cang'sou'lang'yu
藏叟珍公,cang'sou'zhen'gong
仓央嘉措,cang'yang'jia'cuo
藏廙,cang'yi
藏用,cang'yong
草庵法师,cao'an'fa'shi
漕朗祗波,cao'lang'zhi'bo
曹山,cao'shan
曹山本寂禅师,cao'shan'ben'ji'chan'shi
草堂,cao'tang
草堂清禅师,cao'tang'qing'chan'shi
草堂善清,cao'tang'shan'qing
曹溪大师,cao'xi'da'shi
曹溪大师别传,cao'xi'da'shi'bie'zhuan
曹溪憨山大师,cao'xi'han'shan'da'shi
草衣禅师,cao'yi'chan'shi
曹子建,cao'zi'jian
岑阇黎,cen'du'li
岑阇梨,cen'du'li
岑和尚,cen'he'shang
岑学吕居士,cen'xue'lv'ju'shi
曾端甫,ceng'duan'fu
曾会,ceng'hui
曾开,ceng'kai
曾运使,ceng'yun'shi
插田婆,cha'tian'po
查湛然,cha'zhan'ran
禅惠,chan'hui
禅师般若,chan'shi'bo're
禅师大慧,chan'shi'da'hui
禅师大善,chan'shi'da'shan
禅师大义,chan'shi'da'yi
禅师大志,chan'shi'da'zhi
禅师道势,chan'shi'dao'shi
禅师道源,chan'shi'dao'yuan
禅师道悦,chan'shi'dao'yue
禅师道遵,chan'shi'dao'zun
禅师德抱,chan'shi'de'bao
禅师等观,chan'shi'deng'guan
禅师法俊,chan'shi'fa'jun
禅师法论,chan'shi'fa'lun
禅师法善,chan'shi'fa'shan
禅师法慎,chan'shi'fa'shen
禅师法盛,chan'shi'fa'sheng
禅师法喜,chan'shi'fa'xi
禅师法响,chan'shi'fa'xiang
禅师法彦,chan'shi'fa'yan
禅师法仪,chan'shi'fa'yi
禅师法源,chan'shi'fa'yuan
禅师慧辩,chan'shi'hui'bian
禅师慧超,chan'shi'hui'chao
禅师慧成,chan'shi'hui'cheng
禅师慧稠,chan'shi'hui'chou
禅师慧奖,chan'shi'hui'jiang
禅师慧宽,chan'shi'hui'kuan
禅师慧旻,chan'shi'hui'min
禅师慧命,chan'shi'hui'ming
禅师慧普,chan'shi'hui'pu
禅师慧瑫,chan'shi'hui'tao
禅师慧威,chan'shi'hui'wei
禅师慧耀,chan'shi'hui'yao
禅师慧涌,chan'shi'hui'yong
禅师吉藏,chan'shi'ji'cang
禅师径山无准,chan'shi'jing'shan'wu'zhun
禅师敬韶,chan'shi'jing'shao
禅师礼宗,chan'shi'li'zong
禅师明旷,chan'shi'ming'kuang
禅师普门,chan'shi'pu'men
禅师普明,chan'shi'pu'ming
禅师僧稠,chan'shi'seng'chou
禅师僧实,chan'shi'seng'shi
禅师僧照,chan'shi'seng'zhao
禅师僧珍,chan'shi'seng'zhen
禅师善伏,chan'shi'shan'fu
禅师神邕,chan'shi'shen'yong
禅师昙兰,chan'shi'tan'lan
禅师行简,chan'shi'xing'jian
禅师行满,chan'shi'xing'man
禅师玄高,chan'shi'xuan'gao
禅师玄光,chan'shi'xuan'guang
禅师玄觉,chan'shi'xuan'jue
禅师义福,chan'shi'yi'fu
禅师元高,chan'shi'yuan'gao
禅师元浩,chan'shi'yuan'hao
禅师元皓,chan'shi'yuan'hao
禅师元宗,chan'shi'yuan'zong
禅师真观,chan'shi'zhen'guan
禅师智拔,chan'shi'zhi'ba
禅师智瓘,chan'shi'zhi'guan
禅师智锴,chan'shi'zhi'kai
禅师智晞,chan'shi'zhi'xi
禅师智越,chan'shi'zhi'yue
禅师智璪,chan'shi'zhi'zao
阐提惟照,chan'ti'wei'zhao
禅月大师贯休,chan'yue'da'shi'guan'xiu
禅者无著,chan'zhe'wu'zhu
忏主思永,chan'zhu'si'yong
忏主遵式,chan'zhu'zun'shi
长安普光寺僧明解,chang'an'pu'guang'si'seng'ming'jie
常聪法师,chang'cong'fa'shi
常达,chang'da
长泾僧,chang'jing'seng
常觉,chang'jue
常觉禅师,chang'jue'chan'shi
常凯法师,chang'kai'fa'shi
长芦赜禅师,chang'lu'ze'chan'shi
常罗汉,chang'luo'han
常愍,chang'min
昌明法师,chang'ming'fa'shi
长庆,chang'qing
长庆惠棱禅师,chang'qing'hui'leng'chan'shi
长庆棱禅师,chang'qing'leng'chan'shi
常润,chang'run
长生,chang'sheng
长生山皎然,chang'sheng'shan'jiao'ran
常氏女,chang'shi'nv
常熟陈妪,chang'shu'chen'yu
常熟陆寡妇,chang'shu'lu'gua'fu
长水法师,chang'shui'fa'shi
长水法师子璇,chang'shui'fa'shi'zi'xuan
常通禅师,chang'tong'chan'shi
长兴,chang'xing
常遇,chang'yu
长髭,chang'zi
常总,chang'zong
超岸,chao'an
朝庵颜禅师,chao'an'yan'chan'shi
超辩,chao'bian
晁补之居士,chao'bu'zhi'ju'shi
超达,chao'da
超化大师,chao'hua'da'shi
超进,chao'jin
晁迥,chao'jiong
超觉大师,chao'jue'da'shi
超明,chao'ming
晁明远,chao'ming'yuan
晁明远居士,chao'ming'yuan'ju'shi
晁木格阿柔祖古,chao'mu'ge'a'rou'zu'gu
潮山,chao'shan
潮山黄婆,chao'shan'huang'po
晁说之,chao'shuo'zhi
晁文元,chao'wen'yuan
晁无咎,chao'wu'jiu
晁以道,chao'yi'dao
超一子,chao'yi'zi
潮音道海,chao'yin'dao'hai
潮音通旭禅师,chao'yin'tong'xu'chan'shi
彻通义介,che'tong'yi'jie
彻翁义亨,che'weng'yi'heng
陈媪,chen'ao
陈参军,chen'can'jun
陈操,chen'cao
陈操尚书,chen'cao'shang'shu
陈禅师,chen'chan'shi
陈琡,chen'chu
陈道婆,chen'dao'po
陈法师慧布,chen'fa'shi'hui'bu
陈瓘,chen'guan
陈瓘居士,chen'guan'ju'shi
陈海量居士,chen'hai'liang'ju'shi
陈和尚,chen'he'shang
陈慧剑居士,chen'hui'jian'ju'shi
陈健民居士,chen'jian'min'ju'shi
陈君璋,chen'jun'zhang
尘空法师,chen'kong'fa'shi
陈铭枢居士,chen'ming'shu'ju'shi
陈如尊者,chen'ru'zun'zhe
陈师道居士,chen'shi'dao'ju'shi
陈体常,chen'ti'chang
陈田寺元寂,chen'tian'si'yuan'ji
陈延裸,chen'yan'luo
陈莹中,chen'ying'zhong
陈用拙,chen'yong'zhuo
陈忠肃,chen'zhong'su
澄楚,cheng'chu
成都范县君,cheng'du'fan'xian'jun
成都府世奇首座,cheng'du'fu'shi'qi'shou'zuo
乘恩,cheng'en
诚法归,cheng'fa'gui
乘方禅师,cheng'fang'chan'shi
成佛法师,cheng'fo'fa'shi
承古,cheng'gu
澄观,cheng'guan
澄观法师,cheng'guan'fa'shi
澄观国师,cheng'guan'guo'shi
承皓禅师,cheng'hao'chan'shi
诚慧,cheng'hui
程季清,cheng'ji'qing
成觉,cheng'jue
程列嘉措,cheng'lie'jia'cuo
程明道,cheng'ming'dao
乘如,cheng'ru
称天,cheng'tian
诚祥,cheng'xiang
丞相张无尽,cheng'xiang'zhang'wu'jin
澄心,cheng'xin
乘义法师,cheng'yi'fa'shi
澄远禅师,cheng'yuan'chan'shi
澄照觉先,cheng'zhao'jue'xian
诚拙周樗,cheng'zhuo'zhou'chu
持定禅师,chi'ding'chan'shi
痴钝空性,chi'dun'kong'xing
敕法师元琬,chi'fa'shi'yuan'wan
痴绝禅师,chi'jue'chan'shi
痴绝冲,chi'jue'chong
痴绝冲禅师,chi'jue'chong'chan'shi
叱利国三祖商那和修尊者,chi'li'guo'san'zu'shang'na'he'xiu'zun'zhe
赤松德真,chi'song'de'zhen
持松法师,chi'song'fa'shi
痴兀大慧,chi'wu'da'hui
祇园法师,chi'yuan'fa'shi
宠法师,chong'fa'shi
崇圭,chong'gui
崇惠,chong'hui
崇慧,chong'hui
崇慧禅师,chong'hui'chan'shi
崇矩,chong'ju
崇寿,chong'shou
崇信,chong'xin
崇信禅师,chong'xin'chan'shi
崇信法师,chong'xin'fa'shi
崇演,chong'yan
崇业四,chong'ye'si
冲益,chong'yi
崇裕禅师,chong'yu'chan'shi
崇岳,chong'yue
崇岳禅师,chong'yue'chan'shi
崇政,chong'zheng
稠禅师,chou'chan'shi
楚臣嘉措,chu'chen'jia'cuo
处寂,chu'ji
楚金,chu'jin
处廉,chu'lian
楚明禅师,chu'ming'chan'shi
楚南,chu'nan
楚南禅师,chu'nan'chan'shi
初朴多洛仁波切,chu'pu'duo'luo'ren'bo'qie
处谦,chu'qian
楚山禅师,chu'shan'chan'shi
楚山禅师绍琦,chu'shan'chan'shi'shao'qi
楚山琦,chu'shan'qi
楚山琦禅师,chu'shan'qi'chan'shi
楚石禅师,chu'shi'chan'shi
楚石禅师梵琦,chu'shi'chan'shi'fan'qi
楚师明律,chu'shi'ming'lv
楚石琦禅师,chu'shi'qi'chan'shi
处微,chu'wei
处咸,chu'xian
楚圆,chu'yuan
楚圆法师,chu'yuan'fa'shi
初祖大迦叶传法阿难,chu'zu'da'jia'ye'chuan'fa'a'nan
初祖迦叶尊者,chu'zu'jia'ye'zun'zhe
初祖菩提达磨,chu'zu'pu'ti'da'mo
初祖菩提达磨传法慧可,chu'zu'pu'ti'da'mo'chuan'fa'hui'ke
初祖菩提达磨大师,chu'zu'pu'ti'da'mo'da'shi
传禅法师,chuan'chan'fa'shi
传大士,chuan'da'shi
传贯法师,chuan'guan'fa'shi
船子德成,chuan'zi'de'cheng
纯白,chun'bai
淳藏主,chun'cang'zhu
纯果法师,chun'guo'fa'shi
春浦宗熙,chun'pu'zong'xi
纯陀,chun'tuo
春屋妙葩,chun'wu'miao'pa
春屋宗园,chun'wu'zong'yuan
春岩祖东,chun'yan'zu'dong
绰摩格西仁波切,chuo'mo'ge'xi'ren'bo'qie
绰普次程喜饶,chuo'pu'ci'cheng'xi'rao
绰普仁波且贾察,chuo'pu'ren'bo'qie'jia'cha
慈藏,ci'cang
慈恩法师窥基,ci'en'fa'shi'kui'ji
慈恩窥基法师,ci'en'kui'ji'fa'shi
慈恩玄奘法师,ci'en'xuan'zang'fa'shi
慈航法师,ci'hang'fa'shi
慈济,ci'ji
慈觉禅师宗赜,ci'jue'chan'shi'zong'ze
慈明禅师,ci'ming'chan'shi
慈明楚圆禅师,ci'ming'chu'yuan'chan'shi
慈明圆禅师,ci'ming'yuan'chan'shi
慈忍灵济大师,ci'ren'ling'ji'da'shi
赐佘给,ci'she'gei
刺史白居易,ci'shi'bai'ju'yi
刺史柳宗元,ci'shi'liu'zong'yuan
慈受深禅师,ci'shou'shen'chan'shi
慈云忏主遵式,ci'yun'chan'zhu'zun'shi
慈云大师善因,ci'yun'da'shi'shan'yin
慈云妙意,ci'yun'miao'yi
慈照禅师,ci'zhao'chan'shi
慈舟大师,ci'zhou'da'shi
慈舟法师,ci'zhou'fa'shi
从登,cong'deng
琮法师,cong'fa'shi
从谏,cong'jian
从廓,cong'kuo
从礼,cong'li
从伦,cong'lun
从谂,cong'shen
从审,cong'shen
从谂禅师,cong'shen'chan'shi
从谂法师,cong'shen'fa'shi
从雅,cong'ya
从彦,cong'yan
从义,cong'yi
从隐,cong'yin
从悦禅师,cong'yue'chan'shi
从悦法师,cong'yue'fa'shi
从展,cong'zhan
崔常敏夫妇,cui'chang'min'fu'fu
翠峰山公,cui'feng'shan'gong
崔练师,cui'lian'shi
崔群,cui'qun
翠微,cui'wei
翠岩,cui'yan
翠岩芝禅师,cui'yan'zhi'chan'shi
翠岩宗民,cui'yan'zong'min
毳衣师,cui'yi'shi
崔义猷,cui'yi'you
崔应魁,cui'ying'kui
崔子约,cui'zi'yue
存奖禅师,cun'jiang'chan'shi
存寿三,cun'shou'san
大阿阇黎佛智足,da'a'du'li'fo'zhi'zu
大阿阇黎马胜,da'a'du'li'ma'sheng
大阿阇黎婆罗门罗睺罗,da'a'du'li'po'luo'men'luo'hou'luo
大安,da'an
大安禅师,da'an'chan'shi
大悲法师,da'bei'fa'shi
大阐禅师,da'chan'chan'shi
大彻宗令,da'che'zong'ling
大乘灯,da'cheng'deng
大成就者寂密,da'cheng'jiu'zhe'ji'mi
大成就者龙朵加参,da'cheng'jiu'zhe'long'duo'jia'can
大持明伏魔金刚仁珍登督多杰,da'chi'ming'fu'mo'jin'gang'ren'zhen'deng'du'duo'jie
大川,da'chuan
大川济禅师,da'chuan'ji'chan'shi
大川普济禅师,da'chuan'pu'ji'chan'shi
大慈,da'ci
大慈法王释迦益西,da'ci'fa'wang'shi'jia'yi'xi
大达禅师,da'da'chan'shi
大达法师,da'da'fa'shi
大达法师端甫,da'da'fa'shi'duan'fu
大道一以,da'dao'yi'yi
大颠,da'dian
大颠禅师,da'dian'chan'shi
大典显常,da'dian'xian'chang
大度禅师,da'du'chan'shi
大都妙善寺比丘尼舍蓝蓝八哈石,da'du'miao'shan'si'bi'qiu'ni'she'lan'lan'ba'ha'shi
达观昙颖禅师,da'guan'tan'ying'chan'shi
达观颖禅师,da'guan'ying'chan'shi
达观真可禅师,da'guan'zhen'ke'chan'shi
大光,da'guang
大广智三藏不空,da'guang'zhi'san'zang'bu'kong
大圭,da'gui
大汉僧录,da'han'seng'lu
大洪恩禅师,da'hong'en'chan'shi
达忽力,da'hu'li
大慧法王释迦益西,da'hui'fa'wang'shi'jia'yi'xi
大慧宗杲禅师,da'hui'zong'gao'chan'shi
大吉上师,da'ji'shang'shi
大基行丕禅师,da'ji'xing'pi'chan'shi
大迦叶,da'jia'ye
大荐福寺弘辩禅师,da'jian'fu'si'hong'bian'chan'shi
大觉禅师,da'jiao'chan'shi
大觉禅师怀琏,da'jiao'chan'shi'huai'lian
大觉怀琏禅师,da'jiao'huai'lian'chan'shi
大觉琏禅师,da'jiao'lian'chan'shi
大津,da'jin
大金刚座,da'jin'gang'zuo
大静,da'jing
达卡那巴,da'ka'na'ba
达力嘎巴,da'li'ga'ba
大莲花金刚,da'lian'hua'jin'gang
大林宗套,da'lin'zong'tao
达隆塘巴扎西华,da'long'tang'ba'zha'xi'hua
达隆札西华哲,da'long'zha'xi'hua'zhe
达马巴,da'ma'ba
大满大禅师,da'man'da'chan'shi
大梅,da'mei
大梅常禅师,da'mei'chang'chan'shi
大眉性善,da'mei'xing'shan
大明毒峰本善禅师,da'ming'du'feng'ben'shan'chan'shi
大明梵石梵琦禅师,da'ming'fan'shi'fan'qi'chan'shi
大明空谷景隆禅师,da'ming'kong'gu'jing'long'chan'shi
大明律师,da'ming'lv'shi
大明性原慧朗禅师,da'ming'xing'yuan'hui'lang'chan'shi
大明雪庭某禅师,da'ming'xue'ting'mou'chan'shi
达摩,da'mo
达磨,da'mo
达摩波罗居士,da'mo'bo'luo'ju'shi
达摩般若,da'mo'bo're
达摩笈多,da'mo'ji'duo
大目犍连,da'mu'jian'lian
大普,da'pu
大千禅师,da'qian'chan'shi
大千慧照禅师,da'qian'hui'zhao'chan'shi
大千照公,da'qian'zhao'gong
大善禅师,da'shan'chan'shi
大山法师,da'shan'fa'shi
大善国师,da'shan'guo'shi
大士宝志,da'shi'bao'zhi
大势至菩萨,da'shi'zhi'pu'sa
大随,da'sui
大随禅师,da'sui'chan'shi
大随法真,da'sui'fa'zhen
大同,da'tong
大通本禅师,da'tong'ben'chan'shi
大同禅师,da'tong'chan'shi
大通禅师善本,da'tong'chan'shi'shan'ben
大同师,da'tong'shi
大沩果禅师,da'wei'guo'chan'shi
大沩真如喆禅师,da'wei'zhen'ru'zhe'chan'shi
大沩智禅师,da'wei'zhi'chan'shi
大信和尚,da'xin'he'shang
大欣住天竺,da'xin'zhu'tian'zhu
大行,da'xing
大醒法师,da'xing'fa'shi
大兴法师,da'xing'fa'shi
大休禅师,da'xiu'chan'shi
大休善育,da'xiu'shan'yu
大休悟由,da'xiu'wu'you
大休正念,da'xiu'zheng'nian
大阳禅师,da'yang'chan'shi
大阳玄禅师,da'yang'xuan'chan'shi
大阳延禅师,da'yang'yan'chan'shi
大义,da'yi
达益巴,da'yi'ba
大义禅师,da'yi'chan'shi
大用才法师,da'yong'cai'fa'shi
大勇法师,da'yong'fa'shi
大用法师必才,da'yong'fa'shi'bi'cai
大佑法师,da'you'fa'shi
