俺到,an'dao
豁他的,huo'ta'de
豁我的,huo'wo'de
豁我哦,huo'wo'o
火窑裤,huo'yao'ku
鸡巴,ji'ba
鸡巴毛,ji'ba'mao
记倒,ji'dao
鸡儿,ji'er
几副颜色,ji'fu'yan'shai
鸡公,ji'gong
几哈,ji'ha
几爷子,ji'ye'zi
假巴意思,jia'ba'yi'si
夹包,jia'bao
假打,jia'da
家搭子,jia'da'zi
假得很,jia'de'hen
甲甲,jia'jia
家里头,jia'li'tou
夹毛拘,jia'mao'ju
夹色子,jia'shai'zi
家头,jia'tou
捡耙和,jian'ba'he
尖老壳,jian'lao'ke
尖脑壳,jian'nao'ke
脚耙手软,jiao'ba'shou'ruan
脚板,jiao'ban
脚板心,jiao'ban'xin
脚肚子,jiao'du'zi
脚杆,jiao'gan
脚脚,jiao'jiao
脚入老,jiao'ru'lao
焦湿,jiao'shi
脚弯弯,jiao'wan'wan
解大手,jie'da'shou
解手,jie'shou
解小手,jie'xiao'shou
金啊子,jin'a'zi
金包卵,jin'bao'luan
金宝卵,jin'bao'luan
紧到费,jin'dao'fei
紧防,jin'fang
惊叫唤,jing'jiao'huan
经事,jing'shi
惊爪爪,jing'zhao'zhao
惊抓抓的,jing'zhua'zhua'de
舅子娃儿,jiu'zi'wa'er
卡二条,ka'er'tiao
喀过来,ka'guo'lai
卡卡各各,ka'ka'ge'ge
开黄腔,kai'huang'qiang
开腔,kai'qiang
砍老壳的,kan'lao'ke'de
砍脑壳的,kan'nao'ke'de
考科科儿,kao'ke'ke'er
客膝头儿,ke'xi'tou'er
壳纂,ke'zuan
啃得,ken'de
空搞灯儿,kong'gao'deng'er
空老吹,kong'lao'chui
空了吹,kong'le'chui
扣脚板心,kou'jiao'ban'xin
口水嘀嗒,kou'shui'di'da
款到,kuan'dao
款到老,kuan'dao'lao
旷的,kuang'de
匡睡着,kuang'shui'zhao
筐歪歪,kuang'wai'wai
旷西西的,kuang'xi'xi'de
拉爆,la'bao
拉稀摆带,la'xi'bai'dai
癞疙宝,lai'ge'bao
癞疙宝吃豇豆,lai'ge'bao'chi'jiang'dou
啷吧儿,lang'ba'er
啷吧颈儿,lang'ba'jing'er
啷个,lang'ge
啷个嘛,lang'ge'ma
郎个呦台哦,lang'ge'you'tai'o
老板凳,lao'ban'deng
老坎,lao'kan
老壳,lao'ke
醪糟,lao'zao
老子,lao'zi
勒里,le'li
肋巴骨,lei'ba'gu
楞个,leng'ge
理麻,li'ma
连巴啷,lian'ba'lang
连二杆,lian'er'gan
两皮砣,liang'pi'tuo
亮瓦瓦,liang'wa'wa
撩起,liao'qi
箩兜,luo'dou
络耳胡,luo'er'hu
落教,luo'jiao
螺丝骨,luo'si'gu
马股,ma'gu
麻广广,ma'guang'guang
麻哈儿,ma'ha'er
麻哈儿所,ma'ha'er'suo
马老壳,ma'lao'ke
麻麻鱼,ma'ma'yu
麻麻杂杂,ma'ma'za'za
马脑壳,ma'nao'ke
麻批,ma'pi
马起脸,ma'qi'lian
麻汤,ma'tang
麻糖,ma'tang
麻杂杂,ma'za'za
卖批,mai'pi
莽进去,mang'jin'qu
莽娃儿,mang'wa'er
毛鸡巴,mao'ji'ba
毛焦火辣,mao'jiao'huo'la
冒皮皮,mao'pi'pi
猫起,mao'qi
猫煞,mao'sha
茅斯,mao'si
猫司机,mao'si'ji
毛血旺,mao'xue'wang
没得,mei'de
妹儿,mei'er
没球得,mei'qiu'de
闷墩儿,men'dun'er
梦脚,meng'jiao
瞄到,miao'dao
蔑到,mie'dao
摸包包,mo'bao'bao
摸包贼,mo'bao'zei
默到,mo'dao
默到起,mo'dao'qi
莫搞豪,mo'gao'hao
莫愣个,mo'leng'ge
磨皮擦痒,mo'pi'ca'yang
那才怪,na'cai'guai
哪们,na'men
奶娃儿,nai'wa'er
男娃儿,nan'wa'er
脑壳,nao'ke
脑壳有包,nao'ke'you'bao
脑壳有乒乓,nao'ke'you'ping'pang
闹麻了,nao'ma'le
闹热,nao're
嫩个,nen'ge
恁个,nen'ge
恁个撇,nen'ge'pie
你娃,ni'wa
拈菜,nian'cai
黏咚咚,nian'dong'dong
拈起来,nian'qi'lai
孃孃,niang'niang
扭到费,niu'dao'fei
弄死当睡着,nong'si'dang'shui'zhao
女娃儿,nv'wa'er
女娃子家家的,nv'wa'zi'jia'jia'de
哦粑粑,o'ba'ba
哦嗬,o'he
哦货,o'huo
哦尿,o'niao
哦尿尿,o'niao'niao
哦屎,o'shi
怄人,ou'ren
怕个毛,pa'ge'mao
怕毛,pa'mao
爬哦,pa'o
排轮子,pai'lun'zi
跑得脱,pao'de'tuo
跑得脱马老壳,pao'de'tuo'ma'lao'ke
跑得脱马脑壳,pao'de'tuo'ma'nao'ke
批话,pi'hua
批话多,pi'hua'duo
批贱人,pi'jian'ren
批垮卵垮,pi'kua'luan'kua
批烂人,pi'lan'ren
批人,pi'ren
批酸壳掉,pi'suan'ke'diao
批酸尿酸,pi'suan'niao'suan
皮子发痒,pi'zi'fa'yang
皮子痒,pi'zi'yang
皮子遭痒,pi'zi'zao'yang
撇火药,pie'huo'yao
撇脱,pie'tuo
凭哪点,ping'na'dian
铺盖,pu'gai
扑爬,pu'pa
扑爬连天,pu'pa'lian'tian
千翻,qian'fan
悄悄咪咪,qiao'qiao'mi'mi
清后,qing'hou
秋得很,qiu'de'hen
丘二,qiu'er
丘儿,qiu'er
球经不懂,qiu'jing'bu'dong
球莫名堂,qiu'mo'ming'tang
秋人得很,qiu'ren'de'hen
区麻黑,qu'ma'hei
曲算儿,qu'suan'er
确到,que'dao
确到起,que'dao'qi
雀雀儿,que'que'er
雀湿,que'shi
惹毛,re'mao
惹毛老,re'mao'lao
热天热势,re'tian're'shi
认黄,ren'huang
日白,ri'bai
日不拢耸,ri'bu'long'song
日不珑悚,ri'bu'long'song
日批,ri'pi
撒子,sa'zi
丧德,sang'de
臊皮,sao'pi
色了,se'le
杀过了,sha'guo'le
杀家搭子,sha'jia'da'zi
杀铁,sha'tie
刹一脚,sha'yi'jiao
啥子,sha'zi
赏午,shang'wu
烧棒,shao'bang
烧公鸡,shao'gong'ji
少豁我,shao'huo'wo
烧鸡公,shao'ji'gong
少来豁我,shao'lai'huo'wo
少批垮,shao'pi'kua
少幺爸,shao'yao'ba
舌老,she'lao
神戳戳,shen'chuo'chuo
伸过来,shen'guo'lai
伸过去,shen'guo'qu
屎粑粑,shi'ba'ba
收秤,shou'cheng
手倒拐,shou'dao'guai
手指拇,shou'zhi'mu
耍板眼,shua'ban'yan
耍浑,shua'hun
耍朋友,shua'peng'you
甩都不甩,shuai'dou'bu'shuai
甩都不甩你,shuai'dou'bu'shuai'ni
甩你两皮砣,shuai'ni'liang'pi'tuo
涮坛子,shuan'tan'zi
水凼凼,shui'dang'dang
睡告告,shui'gao'gao
睡觉觉,shui'jiao'jiao
水垮垮,shui'kua'kua
说锤子,shuo'chui'zi
说得俗,shuo'de'su
说个铲铲,shuo'ge'chan'chan
说个锤子,shuo'ge'chui'zi
死胆胆,si'dan'dan
斯皮,si'pi
松活,song'huo
俗得很,su'de'hen
俗杂杂的,su'za'za'de
酸批壳掉,suan'pi'ke'diao
算球,suan'qiu
梭梭板,suo'suo'ban
梭梭滩儿,suo'suo'tan'er
梭叶子,suo'ye'zi
胎神,tai'shen
摊摊,tan'tan
堂客,tang'ke
藤藤菜,teng'teng'cai
蹄花,ti'hua
蹄花汤,ti'hua'tang
提劲打靶,ti'jin'da'ba
天棒,tian'bang
偷二贼,tou'er'zei
偷油婆,tou'you'po
推屎爬,tui'shi'pa
娃儿书,wa'er'shu
娃娃书,wa'wa'shu
哇爪,wa'zhao
哇爪得很,wa'zhao'de'hen
歪货,wai'huo
豌豆颠,wan'dou'dian
弯脚杆,wan'jiao'gan
弯酸,wan'suan
王欻欻,wang'chua'chua
旺实,wang'shi
稳得起,wen'de'qi
稳得住,wen'de'zhu
稳起,wen'qi
瘟伤,wen'shang
瓮倒起,weng'dao'qi
瓮起,weng'qi
窝耙尿,wo'ba'niao
窝耙屎,wo'ba'shi
窝尿,wo'niao
窝屎,wo'shi
窝稀,wo'xi
勿读读,wu'du'du
屋里头,wu'li'tou
乌猫灶狗,wu'mao'zao'gou
屋头,wu'tou
呜嘘呐喊,wu'xu'na'han
稀粑粑,xi'ba'ba
稀巴烂,xi'ba'lan
洗白,xi'bai
洗白老,xi'bai'lao
嘻得好,xi'de'hao
稀得好,xi'de'hao
嘻得好哟,xi'de'hao'yo
稀客,xi'ke
洗老壳,xi'lao'ke
洗脑壳,xi'nao'ke
稀撇,xi'pie
下教,xia'jiao
瞎孔脚,xia'kong'jiao
瞎块儿,xia'kuai'er
下烂药,xia'lan'yao
瞎迷日眼,xia'mi'ri'yan
虾爬,xia'pa
仙人板板,xian'ren'ban'ban
先人板板,xian'ren'ban'ban
想精想怪,xiang'jing'xiang'guai
相因,xiang'yin
晓得,xiao'de
笑得稀烂,xiao'de'xi'lan
小壳纂,xiao'ke'zuan
晓球不得,xiao'qiu'bu'de
小崽儿,xiao'zai'er
嚡子蹬蹬儿,xie'zi'deng'deng'er
醒或,xing'huo
醒瞌睡,xing'ke'shui
醒老壳,xing'lao'ke
醒脑壳,xing'nao'ke
行事,xing'shi
雄起,xiong'qi
虚哥,xu'ge
虚你,xu'ni
悬吊吊,xuan'diao'diao
悬吊吊的,xuan'diao'diao'de
血旺,xue'wang
洵白,xun'bai
牙巴,ya'ba
牙巴屎,ya'ba'shi
鸭儿,ya'er
牙刷儿,ya'shua'er
烟锅巴,yan'guo'ba
堰塘,yan'tang
眼眨毛,yan'zha'mao
言子,yan'zi
言子儿,yan'zi'er
羊儿疯,yang'er'feng
洋气,yang'qi
幺爸,yao'ba
吆不倒台,yao'bu'dao'tai
要得,yao'de
窑裤,yao'ku
要球不得,yao'qiu'bu'de
吆台,yao'tai
吆沿,yao'yan
一耙屎,yi'ba'shi
一哈,yi'ha
一哈儿,yi'ha'er
阴到,yin'dao
阴悄悄,yin'qiao'qiao
硬是,ying'shi
硬是遇得到,ying'shi'yu'de'dao
油迹迹,you'ji'ji
有盐有味,you'yan'you'wei
游运儿,you'yun'er
遇得到,yu'de'dao
院坝子,yuan'ba'zi
咋个,za'ge
扎起,za'qi
扎起撒,za'qi'sa
崽儿,zai'er
再起,zai'qi
在爪子,zai'zhua'zi
脏班子,zang'ban'zi
遭惨老,zao'can'lao
灶鸡儿,zao'ji'er
遭老,zao'lao
造孽,zao'nie
遭球,zao'qiu
遭球老,zao'qiu'lao
遭烧老,zao'shao'lao
遭烧了,zao'shao'le
贼娃子,zei'wa'zi
扎复,zha'fu
渣渣,zha'zha
长得乖,zhang'de'guai
爪瞌睡,zhao'ke'shui
爪母儿,zhao'mu'er
爪球,zhao'qiu
找些话来说,zhao'xie'hua'lai'shuo
找些空话来扯,zhao'xie'kong'hua'lai'che
找些龙门阵来扯,zhao'xie'long'men'zhen'lai'che
折耳根,zhe'er'gen
整得旺实,zheng'de'wang'shi
正南其北,zheng'nan'qi'bei
整旺实,zheng'wang'shi
周武郑王,zhou'wu'zheng'wang
爪子,zhua'zi
拽实,zhuai'shi
装舅子,zhuang'jiu'zi
装莽,zhuang'mang
状起,zhuang'qi
啄梦脚,zhuo'meng'jiao
走狗屎运,zou'gou'shi'yun
走人户,zou'ren'hu
座墩,zuo'dun
座墩儿,zuo'dun'er
左拐拐,zuo'guai'guai
