爱氏丽翁,ai'shi'li'weng
四角鸾凤玉,si'jiao'luan'feng'yu
松露玉,song'lu'yu
松露玉属,song'lu'yu'shu
昙花,tan'hua
桃美人,tao'mei'ren
天轮柱,tian'lun'zhu
天轮柱属,tian'lun'zhu'shu
天司丸,tian'si'wan
筒叶不死鸟,tong'ye'bu'si'niao
筒叶花月,tong'ye'hua'yue
透窗玉露,tou'chuang'yu'lu
瓦苇,wa'wei
王玉珠帘,wang'yu'zhu'lian
翁丸,weng'wan
翁柱,weng'zhu
翁柱属,weng'zhu'shu
五十铃玉,wu'shi'ling'yu
吸财树,xi'cai'shu
虾之玉,xia'zhi'yu
象牙丸,xiang'ya'wan
小合锦,xiao'he'jin
小人祭,xiao'ren'ji
小天狗,xiao'tian'gou
蟹爪钳,xie'zhua'qian
新玉缀,xin'yu'zhui
星球,xing'qiu
星球属,xing'qiu'shu
猩猩冠柱,xing'xing'guan'zhu
猩猩冠柱属,xing'xing'guan'zhu'shu
熊童子锦,xiong'tong'zi'jin
雪光,xue'guang
雪光属,xue'guang'shu
熏大将,xun'da'jiang
熏大将属,xun'da'jiang'shu
岩牡丹,yan'mu'dan
岩牡丹属,yan'mu'dan'shu
岩石狮子,yan'shi'shi'zi
乙姬牡丹,yi'ji'mu'dan
银剑,yin'jian
隐柱昙花,yin'zhu'tan'hua
隐柱昙花属,yin'zhu'tan'hua'shu
银装龙,yin'zhuang'long
银装龙属,yin'zhuang'long'shu
有刺萼,you'ci'e
有刺萼属,you'ci'e'shu
有星大凤玉,you'xing'da'feng'yu
玉吊钟,yu'diao'zhong
玉蝶,yu'die
鱼鳞玉,yu'lin'yu
玉翁,yu'weng
圆盘玉,yuan'pan'yu
圆盘玉属,yuan'pan'yu'shu
圆筒仙人掌,yuan'tong'xian'ren'zhang
圆筒仙人掌属,yuan'tong'xian'ren'zhang'shu
枝干番杏,zhi'gan'fan'xing
蜘蛛丸,zhi'zhu'wan
钟花柱,zhong'hua'zhu
钟花柱属,zhong'hua'zhu'shu
皱棱球,zhou'leng'qiu
蛛丝卷绢,zhu'si'juan'juan
子持莲华,zi'chi'lian'hua
紫娟卷,zi'juan'juan
紫牡丹,zi'mu'dan
紫纽伦堡紫珍,zi'niu'lun'bao'zi'zhen
紫弦月,zi'xian'yue
