艾伟,ai'wei
李梅树,li'mei'shu
李弥,li'mi
李品仙,li'pin'xian
李石曾,li'shi'ceng
李嗣聪,li'si'cong
李万居,li'wan'ju
李文范,li'wen'fan
李仙得,li'xian'de
李向荣,li'xiang'rong
李振清,li'zhen'qing
李中襄,li'zhong'xiang
李宗黄,li'zong'huang
连横,lian'heng
连震东,lian'zhen'dong
梁寒操,liang'han'cao
梁实秋,liang'shi'qiu
梁序昭,liang'xu'zhao
廖汉臣,liao'han'chen
林朝栋,lin'chao'dong
林朝炭,lin'chao'tan
林大北,lin'da'bei
林顶立,lin'ding'li
林凤,lin'feng
林豪,lin'hao
林崑冈,lin'kun'gang
林李成,lin'li'cheng
林默娘,lin'mo'niang
林启桢,lin'qi'zhen
林少猫,lin'shao'mao
林爽文,lin'shuang'wen
林蔚,lin'wei
林维源,lin'wei'yuan
林文察,lin'wen'cha
林献堂,lin'xian'tang
林熊祥,lin'xiong'xiang
林熊徵,lin'xiong'zheng
林一民,lin'yi'min
林幼春,lin'you'chun
林占梅,lin'zhan'mei
林祖密,lin'zu'mi
凌纯声,ling'chun'sheng
凌鸿勋,ling'hong'xun
刘璈,liu'ao
刘德杓,liu'de'biao
刘国轩,liu'guo'xuan
刘纪文,liu'ji'wen
刘健群,liu'jian'qun
刘铭传,liu'ming'chuan
刘迺仁,liu'nai'ren
刘启光,liu'qi'guang
刘乾,liu'qian
刘士毅,liu'shi'yi
刘宜良,liu'yi'liang
刘永福,liu'yong'fu
刘雨卿,liu'yu'qing
刘玉章,liu'yu'zhang
刘云瀚,liu'yun'han
刘振东,liu'zhen'dong
刘峙,liu'zhi
刘仲荻,liu'zhong'di
卢光舜,lu'guang'shun
卢元骏,lu'yuan'jun
卢致德,lu'zhi'de
罗阿头,luo'a'tou
罗大佑,luo'da'you
罗福星,luo'fu'xing
罗家伦,luo'jia'lun
罗俊,luo'jun
罗列,luo'lie
罗奇,luo'qi
罗万体,luo'wan'ti
罗扬鞭,luo'yang'bian
罗卓英,luo'zhuo'ying
吕赫若,lv'he'ruo
律鸿起,lv'hong'qi
马璧,ma'bi
马步芳,ma'bu'fang
马步青,ma'bu'qing
马超俊,ma'chao'jun
马寿华,ma'shou'hua
马偕,ma'xie
马信,ma'xin
马雅谷,ma'ya'gu
麦尔,mai'er
麦士威,mai'shi'wei
毛人凤,mao'ren'feng
毛子水,mao'zi'shui
梅贻琦,mei'yi'qi
明石元二郎,ming'shi'yuan'er'lang
莫德惠,mo'de'hui
摩那罗达奥,mo'na'luo'da'ao
纳茨,na'ci
乃木希典,nai'mu'xi'dian
南弘,nan'hong
内田嘉吉,nei'tian'jia'ji
聂士成,nie'shi'cheng
钮永建,niu'yong'jian
欧剑窗,ou'jian'chuang
欧清石,ou'qing'shi
欧震,ou'zhen
潘贯,pan'guan
彭战存,peng'zhan'cun
皮以书,pi'yi'shu
皮宗敢,pi'zong'gan
浦大邦,pu'da'bang
普吉保,pu'ji'bao
普特曼斯,pu'te'man'si
齐如山,qi'ru'shan
齐世英,qi'shi'ying
钱大钧,qian'da'jun
钱公来,qian'gong'lai
钱纳水,qian'na'shui
钱思亮,qian'si'liang
秦德纯,qin'de'chun
丘逢甲,qiu'feng'jia
邱辉,qiu'hui
丘念台,qiu'nian'tai
屈万里,qu'wan'li
阙汉骞,que'han'qian
容有略,rong'you'lue
阮振,ruan'zhen
萨孟武,sa'meng'wu
赛冲阿,sai'chong'a
上山满之进,shang'shan'man'zhi'jin
邵友濂,shao'you'lian
沈葆桢,shen'bao'zhen
沈发藻,shen'fa'zao
沈光文,shen'guang'wen
沈鸿烈,shen'hong'lie
沈家铭,shen'jia'ming
沈向奎,shen'xiang'kui
沈有容,shen'you'rong
沈宗翰,shen'zong'han
盛世才,sheng'shi'cai
施北衡,shi'bei'heng
石超庸,shi'chao'yong
石敬亭,shi'jing'ting
石觉,shi'jue
施琅,shi'lang
释善慧,shi'shan'hui
史尚宽,shi'shang'kuan
石塚英藏,shi'zhong'ying'cang
寺内寿一,si'nei'shou'yi
宋邦荣,song'bang'rong
宋达,song'da
宋克,song'ke
苏新,su'xin
孙开华,sun'kai'hua
孙科,sun'ke
孙震,sun'zhen
太田政弘,tai'tian'zheng'hong
谭伯羽,tan'bo'yu
覃子豪,tan'zi'hao
汤恩伯,tang'en'bo
汤惠荪,tang'hui'sun
唐景崧,tang'jing'song
唐守治,tang'shou'zhi
唐纵,tang'zong
陶声洋,tao'sheng'yang
陶希圣,tao'xi'sheng
特罗登纽斯,te'luo'deng'niu'si
田耕萃,tian'geng'cui
田健治郎,tian'jian'zhi'lang
田炯锦,tian'jiong'jin
仝卜年,tong'bo'nian
万耀煌,wan'yao'huang
王秉钧,wang'bing'jun
王宠惠,wang'chong'hui
王崇植,wang'chong'zhi
王德标,wang'de'biao
王得禄,wang'de'lu
王凤喈,wang'feng'jie
王奉瑞,wang'feng'rui
王抚洲,wang'fu'zhou
王光逖,wang'guang'ti
汪光尧,wang'guang'yao
王国华,wang'guo'hua
王锦江,wang'jin'jiang
王郡,wang'jun
王况裴,wang'kuang'pei
王懋功,wang'mao'gong
王敏川,wang'min'chuan
王世杰,wang'shi'jie
王添灯,wang'tian'deng
王唯农,wang'wei'nong
王云五,wang'yun'wu
王宗山,wang'zong'shan
魏道明,wei'dao'ming
韦特,wei'te
翁俊明,weng'jun'ming
翁泽生,weng'ze'sheng
吴德福,wu'de'fu
吴国桢,wu'guo'zhen
吴辉生,wu'hui'sheng
吴火狮,wu'huo'shi
吴经熊,wu'jing'xiong
武隆阿,wu'long'a
吴彭年,wu'peng'nian
吴钦烈,wu'qin'lie
吴三连,wu'san'lian
吴沙,wu'sha
吴汤兴,wu'tang'xing
吴铁城,wu'tie'cheng
吴兆棠,wu'zhao'tang
吴稚晖,wu'zhi'hui
吴忠信,wu'zhong'xin
吴浊流,wu'zhuo'liu
吴子瑜,wu'zi'yu
夏光宇,xia'guang'yu
夏季屏,xia'ji'ping
萧吉珊,xiao'ji'shan
小林跻造,xiao'lin'ji'zao
萧三发,xiao'san'fa
萧同兹,xiao'tong'zi
萧一山,xiao'yi'shan
萧毅肃,xiao'yi'su
谢耿民,xie'geng'min
谢冠生,xie'guan'sheng
谢贯一,xie'guan'yi
谢国城,xie'guo'cheng
谢雪红,xie'xue'hong
徐柏园,xu'bai'yuan
徐傅霖,xu'fu'lin
徐焕升,xu'huan'sheng
许季珂,xu'ji'ke
许恪士,xu'ke'shi
许克祥,xu'ke'xiang
许南英,xu'nan'ying
许世英,xu'shi'ying
许寿裳,xu'shou'shang
徐庭瑶,xu'ting'yao
徐骧,xu'xiang
徐永昌,xu'yong'chang
徐宗干,xu'zong'gan
严锄非,yan'chu'fei
严复,yan'fu
颜国年,yan'guo'nian
严庆龄,yan'qing'ling
颜思齐,yan'si'qi
阎锡山,yan'xi'shan
颜云年,yan'yun'nian
杨克煌,yang'ke'huang
杨逵,yang'kui
杨森,yang'sen
杨守愚,yang'shou'yu
杨泗洪,yang'si'hong
杨廷理,yang'ting'li
杨文魁,yang'wen'kui
杨英,yang'ying
杨紫云,yang'zi'yun
姚琮,yao'cong
姚从吾,yao'cong'wu
尧乐博士,yao'le'bo'shi
姚启圣,yao'qi'sheng
姚堂,yao'tang
姚莹,yao'ying
叶公超,ye'gong'chao
叶会西,ye'hui'xi
叶王,ye'wang
伊能嘉矩,yi'neng'jia'ju
伊藤博文,yi'teng'bo'wen
伊泽多喜男,yi'ze'duo'xi'nan
殷化行,yin'hua'xing
尹俊,yin'jun
尹仲容,yin'zhong'rong
应祥,ying'xiang
游弥坚,you'mi'jian
祐纽斯,you'niu'si
于斌,yu'bin
余伯泉,yu'bo'quan
俞飞鹏,yu'fei'peng
余汉谋,yu'han'mou
俞鸿钧,yu'hong'jun
余清芳,yu'qing'fang
郁永和,yu'yong'he
于右任,yu'you'ren
袁锦清,yuan'jin'qing
袁闻析,yuan'wen'xi
詹阿瑞,zhan'a'rui
张丙,zhang'bing
张纯,zhang'chun
张大千,zhang'da'qian
张道藩,zhang'dao'fan
张火炉,zhang'huo'lu
章桀,zhang'jie
张镜影,zhang'jing'ying
张炯,zhang'jiong
张厉生,zhang'li'sheng
张明炜,zhang'ming'wei
张其昀,zhang'qi'yun
张深切,zhang'shen'qie
张天骏,zhang'tian'jun
张维翰,zhang'wei'han
张文环,zhang'wen'huan
张知本,zhang'zhi'ben
张兹闿,zhang'zi'kai
张子柱,zhang'zi'zhu
赵恒惕,zhao'heng'ti
赵家骧,zhao'jia'xiang
赵聚钰,zhao'ju'yu
赵君豪,zhao'jun'hao
赵连芳,zhao'lian'fang
赵龙文,zhao'long'wen
郑成功,zheng'cheng'gong
郑介民,zheng'jie'min
郑经,zheng'jing
郑克,zheng'ke
郑克塽,zheng'ke'shuang
郑品聪,zheng'pin'cong
郑通和,zheng'tong'he
郑芝龙,zheng'zhi'long
中川健藏,zhong'chuan'jian'cang
钟发春,zhong'fa'chun
钟贡勋,zhong'gong'xun
钟理和,zhong'li'he
周鸿经,zhou'hong'jing
周异斌,zhou'yi'bin
周至柔,zhou'zhi'rou
朱点人,zhu'dian'ren
朱怀冰,zhu'huai'bing
朱霁青,zhu'ji'qing
朱家骅,zhu'jia'hua
朱绍良,zhu'shao'liang
祝绍周,zhu'shao'zhou
朱术桂,zhu'shu'gui
祝秀侠,zhu'xiu'xia
邹鲁,zou'lu
邹志奋,zou'zhi'fen
邹作华,zou'zuo'hua
佐久间左马太,zuo'jiu'jian'zuo'ma'tai
左曙萍,zuo'shu'ping
左舜生,zuo'shun'sheng
左宗棠,zuo'zong'tang
