安得广厦千万间,an'de'guang'sha'qian'wan'jian
不亦说乎,bu'yi'yue'hu
不应有恨,bu'ying'you'hen
不与秦塞通人烟,bu'yu'qin'sai'tong'ren'yan
不知天上宫阙,bu'zhi'tian'shang'gong'que
不知为不知,bu'zhi'wei'bu'zhi
采菊东篱下,cai'ju'dong'li'xia
蚕丛及鱼凫,can'cong'ji'yu'fu
沧海月明珠有泪,cang'hai'yue'ming'zhu'you'lei
嘈嘈切切错杂弹,cao'cao'qie'qie'cuo'za'dan
草色遥看近却无,cao'se'yao'kan'jin'que'wu
侧身西望长咨嗟,ce'shen'xi'wang'chang'zi'jie
曾不事农桑,ceng'bu'shi'nong'sang
曾记否,ceng'ji'fou
层林尽染,ceng'lin'jin'ran
长风破浪会有时,chang'feng'po'lang'hui'you'shi
长河落日圆,chang'he'luo'ri'yuan
怅寥廓,chang'liao'kuo
长烟落日孤城闭,chang'yan'luo'ri'gu'cheng'bi
长夜沾湿何由彻,chang'ye'zhan'shi'he'you'che
朝避猛虎,chao'bi'meng'hu
潮平两岸阔,chao'ping'liang'an'kuo
沉吟放拨插弦中,chen'yin'fang'bo'cha'xian'zhong
沉舟侧畔千帆过,chen'zhou'ce'pan'qian'fan'guo
乘彼垝垣,cheng'bi'gui'yuan
城春草木深,cheng'chun'cao'mu'shen
城阙辅三秦,cheng'que'fu'san'qin
持节云中,chi'jie'yun'zhong
愁空山,chou'kong'shan
愁云惨淡万里凝,chou'yun'can'dan'wan'li'ning
初为霓裳后六么,chu'wei'ni'chang'hou'liu'me
床头屋漏无干处,chuang'tou'wu'lou'wu'gan'chu
春蚕到死丝方尽,chun'can'dao'si'si'fang'jin
春花秋月何时了,chun'hua'qiu'yue'he'shi'liao
春江花朝秋月夜,chun'jiang'hua'zhao'qiu'yue'ye
唇焦口燥呼不得,chun'jiao'kou'zao'hu'bu'de
此情可待成追忆,ci'qing'ke'dai'cheng'zhui'yi
此事古难全,ci'shi'gu'nan'quan
此时无声胜有声,ci'shi'wu'sheng'sheng'you'sheng
此中有真意,ci'zhong'you'zhen'yi
从今若许闲乘月,cong'jin'ruo'xu'xian'cheng'yue
大庇天下寒士俱欢颜,da'bi'tian'xia'han'shi'ju'huan'yan
大江东去,da'jiang'dong'qu
大漠孤烟直,da'mo'gu'yan'zhi
大弦嘈嘈如急雨,da'xian'cao'cao'ru'ji'yu
大珠小珠落玉盘,da'zhu'xiao'zhu'luo'yu'pan
岱宗夫如何,dai'zong'fu'ru'he
单车欲问边,dan'che'yu'wen'bian
但见悲鸟号古木,dan'jian'bei'niao'hao'gu'mu
但少闲人如吾两人耳,dan'shao'xian'ren'ru'wu'liang'ren'er
但惜夏日长,dan'xi'xia'ri'chang
但愿人长久,dan'yuan'ren'chang'jiu
荡胸生层云,dang'xiong'sheng'ceng'yun
到乡翻似烂柯人,dao'xiang'fan'si'lan'ke'ren
到中流击水,dao'zhong'liu'ji'shui
道阻且长,dao'zu'qie'chang
道阻且跻,dao'zu'qie'ji
道阻且右,dao'zu'qie'you
地崩山摧壮士死,di'beng'shan'cui'zhuang'shi'si
低眉信手续续弹,di'mei'xin'shou'xu'xu'dan
低绮户,di'qi'hu
弟走从军阿姨死,di'zou'cong'jun'a'yi'si
钿头银篦击节碎,dian'tou'yin'bi'ji'jie'sui
雕栏玉砌应犹在,diao'lan'yu'qi'ying'you'zai
丁壮在南冈,ding'zhuang'zai'nan'gang
东船西舫悄无言,dong'chuan'xi'fang'qiao'wu'yan
东风不与周郎便,dong'feng'bu'yu'zhou'lang'bian
东风无力百花残,dong'feng'wu'li'bai'hua'can
东临碣石,dong'lin'jie'shi
都护铁衣冷难着,du'hu'tie'yi'leng'nan'zhe
都护在燕然,du'hu'zai'yan'ran
杜鹃啼血猿哀鸣,du'juan'ti'xue'yuan'ai'ming
独立寒秋,du'li'han'qiu
断肠人在天涯,duan'chang'ren'zai'tian'ya
多歧路,duo'qi'lu
多情应笑我,duo'qing'ying'xiao'wo
俄顷风定云墨色,e'qing'feng'ding'yun'mo'se
尔卜尔筮,er'bu'er'shi
尔来四万八千岁,er'lai'si'wan'ba'qian'sui
儿女共沾巾,er'nv'gong'zhan'jin
二三其德,er'san'qi'de
二十三年弃置身,er'shi'san'nian'qi'zhi'shen
而无车马喧,er'wu'che'ma'xuan
反是不思,fan'shi'bu'si
飞来峰上千寻塔,fei'lai'feng'shang'qian'xun'ta
匪来贸丝,fei'lai'mao'si
飞鸟相与还,fei'niao'xiang'yu'huan
飞湍瀑流争喧豗,fei'tuan'pu'liu'zheng'xuan'hui
匪我愆期,fei'wo'qian'qi
纷纷暮雪下辕门,fen'fen'mu'xue'xia'yuan'men
粪土当年万户侯,fen'tu'dang'nian'wan'hu'hou
风掣红旗冻不翻,feng'che'hong'qi'dong'bu'fan
风华正茂,feng'hua'zheng'mao
烽火连三月,feng'huo'lian'san'yue
烽火扬州路,feng'huo'yang'zhou'lu
风急天高猿啸哀,feng'ji'tian'gao'yuan'xiao'ai
封狼居胥,feng'lang'ju'xu
风流总被雨打风吹去,feng'liu'zong'bei'yu'da'feng'chui'qu
峰峦如聚,feng'luan'ru'ju
丰年留客足鸡豚,feng'nian'liu'ke'zu'ji'tun
风烟望五津,feng'yan'wang'wu'jin
枫叶荻花秋瑟瑟,feng'ye'di'hua'qiu'se'se
风雨不动安如山,feng'yu'bu'dong'an'ru'shan
风正一帆悬,feng'zheng'yi'fan'xuan
佛狸祠下,fo'li'ci'xia
妇姑荷箪食,fu'gu'he'dan'si
复有贫妇人,fu'you'pin'fu'ren
盖竹柏影也,gai'zhu'bai'ying'ye
干戈寥落四周星,gan'ge'liao'luo'si'zhou'xing
感时花溅泪,gan'shi'hua'jian'lei
感我此言良久立,gan'wo'ci'yan'liang'jiu'li
高处不胜寒,gao'chu'bu'sheng'han
高者挂罥长林梢,gao'zhe'gua'juan'chang'lin'shao
隔江犹唱后庭花,ge'jiang'you'chang'hou'ting'hua
歌以咏志,ge'yi'yong'zhi
宫阙万间都做了土,gong'que'wan'jian'dou'zuo'le'tu
公然抱茅入竹去,gong'ran'bao'mao'ru'zhu'qu
弓如霹雳弦惊,gong'ru'pi'li'xian'jing
躬自悼矣,gong'zi'dao'yi
古道西风瘦马,gu'dao'xi'feng'shou'ma
故国不堪回首月明中,gu'guo'bu'kan'hui'shou'yue'ming'zhong
故国神游,gu'guo'shen'you
故垒西边,gu'lei'xi'bian
孤山寺北贾亭西,gu'shan'si'bei'jia'ting'xi
归来倚杖自叹息,gui'lai'yi'zhang'zi'tan'xi
归雁洛阳边,gui'yan'luo'yang'bian
归雁入胡天,gui'yan'ru'hu'tian
国破山河在,guo'po'shan'he'zai
海内存知己,hai'nei'cun'zhi'ji
海日生残夜,hai'ri'sheng'can'ye
瀚海阑干百丈冰,han'hai'lan'gan'bai'zhang'bing
浩荡离愁白日斜,hao'dang'li'chou'bai'ri'xie
好之者不如乐之者,hao'zhi'zhe'bu'ru'le'zhi'zhe
何处无竹柏,he'chu'wu'zhu'bai
何当共剪西窗烛,he'dang'gong'jian'xi'chuang'zhu
何日遣冯唐,he'ri'qian'feng'tang
何事偏向别时圆,he'shi'pian'xiang'bie'shi'yuan
何时眼前突兀见此屋,he'shi'yan'qian'tu'wu'jian'ci'wu
何似在人间,he'si'zai'ren'jian
何夜无月,he'ye'wu'yue
何有于我哉,he'you'yu'wo'zai
黑云压城城欲摧,hei'yun'ya'cheng'cheng'yu'cui
恨别鸟惊心,hen'bie'niao'jing'xin
衡阳雁去无留意,heng'yang'yan'qu'wu'liu'yi
洪波涌起,hong'bo'yong'qi
忽复乘舟梦日边,hu'fu'cheng'zhou'meng'ri'bian
胡琴琵琶与羌笛,hu'qin'pi'pa'yu'qiang'di
狐裘不暖锦衾薄,hu'qiu'bu'nuan'jin'qin'bo
忽如一夜春风来,hu'ru'yi'ye'chun'feng'lai
胡天八月即飞雪,hu'tian'ba'yue'ji'fei'xue
忽闻水上琵琶声,hu'wen'shui'shang'pi'pa'sheng
化为狼与豺,hua'wei'lang'yu'chai
化作春泥更护花,hua'zuo'chun'ni'geng'hu'hua
怀旧空吟闻笛赋,huai'jiu'kong'yin'wen'di'fu
黄鹤之飞尚不得过,huang'he'zhi'fei'shang'bu'de'guo
惶恐滩头说惶恐,huang'kong'tan'tou'shuo'huang'kong
黄芦苦竹绕宅生,huang'lu'ku'zhu'rao'zhai'sheng
挥斥方遒,hui'chi'fang'qiu
会当凌绝顶,hui'dang'ling'jue'ding
诲人不倦,hui'ren'bu'juan
会挽雕弓如满月,hui'wan'diao'gong'ru'man'yue
浑欲不胜簪,hun'yu'bu'sheng'zan
几处早莺争暖树,ji'chu'zao'ying'zheng'nuan'shu
及尔偕老,ji'er'xie'lao
既见复关,ji'jian'fu'guan
寂寞梧桐深院锁清秋,ji'mo'wu'tong'shen'yuan'suo'qing'qiu
激扬文字,ji'yang'wen'zi
甲光向日金鳞开,jia'guang'xiang'ri'jin'lin'kai
家书抵万金,jia'shu'di'wan'jin
家在虾蟆陵下住,jia'zai'ha'ma'ling'xia'zhu
剪不断,jian'bu'duan
渐车帏裳,jian'che'wei'shang
剑阁峥嵘而崔嵬,jian'ge'zheng'rong'er'cui'wei
间关莺语花底滑,jian'guan'ying'yu'hua'di'hua
蒹葭采采,jian'jia'cai'cai
蒹葭苍苍,jian'jia'cang'cang
蒹葭萋萋,jian'jia'qi'qi
艰难苦恨繁霜鬓,jian'nan'ku'hen'fan'shuang'bin
江春入旧年,jiang'chun'ru'jiu'nian
将登太行雪满山,jiang'deng'tai'hang'xue'man'shan
将军白发征夫泪,jiang'jun'bai'fa'zheng'fu'lei
将军角弓不得控,jiang'jun'jiao'gong'bu'de'kong
江山如画,jiang'shan'ru'hua
江州司马青衫湿,jiang'zhou'si'ma'qing'shan'shi
将子无怒,jiang'zi'wu'nu
娇儿恶卧踏里裂,jiao'er'e'wo'ta'li'lie
角声满天秋色里,jiao'sheng'man'tian'qiu'se'li
嗟尔远道之人胡为乎来哉,jie'er'yuan'dao'zhi'ren'hu'wei'hu'lai'zai
结庐在人境,jie'lu'zai'ren'jing
今安在,jin'an'zai
锦城虽云乐,jin'cheng'sui'yun'le
金戈铁马,jin'ge'tie'ma
锦帽貂裘,jin'mao'diao'qiu
今年欢笑复明年,jin'nian'huan'xiao'fu'ming'nian
尽日不能忘,jin'ri'bu'neng'wang
今日听君歌一曲,jin'ri'ting'jun'ge'yi'qu
锦瑟无端五十弦,jin'se'wu'duan'wu'shi'xian
今我何功德,jin'wo'he'gong'de
今夕是何年,jin'xi'shi'he'nian
今夜闻君琵琶语,jin'ye'wen'jun'pi'pa'yu
金樽清酒斗十千,jin'zun'qing'jiu'dou'shi'qian
惊涛拍岸,jing'tao'pai'an
静言思之,jing'yan'si'zhi
酒酣胸胆尚开张,jiu'han'xiong'dan'shang'kai'zhang
举酒欲饮无管弦,ju'jiu'yu'yin'wu'guan'xian
橘子洲头,ju'zi'zhou'tou
卷起千堆雪,juan'qi'qian'dui'xue
卷我屋上三重茅,juan'wo'wu'shang'san'chong'mao
绝胜烟柳满皇都,jue'sheng'yan'liu'man'huang'du
决眦入归鸟,jue'zi'ru'gui'niao
君问归期未有期,jun'wen'gui'qi'wei'you'qi
开国何茫然,kai'guo'he'mang'ran
看孙郎,kan'sun'lang
看万山红遍,kan'wan'shan'hong'bian
可堪回首,ke'kan'hui'shou
可怜白发生,ke'lian'bai'fa'sheng
客路青山下,ke'lu'qing'shan'xia
可以横绝峨嵋巅,ke'yi'heng'jue'e'mei'dian
可以为师矣,ke'yi'wei'shi'yi
枯松倒挂倚绝壁,ku'song'dao'gua'yi'jue'bi
枯藤老树昏鸦,ku'teng'lao'shu'hun'ya
蜡炬成灰泪始干,la'ju'cheng'hui'lei'shi'gan
来即我谋,lai'ji'wo'mou
蓝田日暖玉生烟,lan'tian'ri'nuan'yu'sheng'yan
浪遏飞舟,lang'e'fei'zhou
浪淘尽,lang'tao'jin
老大嫁作商人妇,lao'da'jia'zuo'shang'ren'fu
老夫聊发少年狂,lao'fu'liao'fa'shao'nian'kuang
老使我怨,lao'shi'wo'yuan
理还乱,li'hai'luan
力尽不知热,li'jin'bu'zhi're
吏禄三百石,li'lu'san'bai'dan
连峰去天不盈尺,lian'feng'qu'tian'bu'ying'chi
廉颇老矣,lian'po'lao'yi
潦倒新停浊酒杯,liao'dao'xin'ting'zhuo'jiu'bei
了却君王天下事,liao'que'jun'wang'tian'xia'shi
零丁洋里叹零丁,ling'ding'yang'li'tan'ling'ding
柳暗花明又一村,liu'an'hua'ming'you'yi'cun
留取丹心照汗青,liu'qu'dan'xin'zhao'han'qing
乱花渐欲迷人眼,luan'hua'jian'yu'mi'ren'yan
乱石穿空,luan'shi'chuan'kong
轮台东门送君去,lun'tai'dong'men'song'jun'qu
落红不是无情物,luo'hong'bu'shi'wu'qing'wu
绿杨阴里白沙堤,lv'yang'yin'li'bai'sha'di
马作的卢飞快,ma'zuo'di'lu'fei'kuai
漫江碧透,man'jiang'bi'tou
满座重闻皆掩泣,man'zuo'zhong'wen'jie'yan'qi
氓之蚩蚩,mang'zhi'chi'chi
茅飞渡江洒江郊,mao'fei'du'jiang'sa'jiang'jiao
门前冷落鞍马稀,men'qian'leng'luo'an'ma'xi
扪参历井仰胁息,men'shen'li'jing'yang'xie'xi
梦回吹角连营,meng'hui'chui'jiao'lian'ying
梦啼妆泪红阑干,meng'ti'zhuang'lei'hong'lan'gan
靡室劳矣,mi'shi'lao'yi
靡有朝矣,mi'you'chao'yi
敏而好学,min'er'hao'xue
名属教坊第一部,ming'shu'jiao'fang'di'yi'bu
明月几时有,ming'yue'ji'shi'you
莫辞更坐弹一曲,mo'ci'geng'zuo'dan'yi'qu
莫笑农家腊酒浑,mo'xiao'nong'jia'la'jiu'hun
磨牙吮血,mo'ya'shun'xue
暮去朝来颜色故,mu'qu'zhao'lai'yan'se'gu
南村群童欺我老无力,nan'cun'qun'tong'qi'wo'lao'wu'li
难于上青天,nan'yu'shang'qing'tian
念此私自愧,nian'ci'si'zi'kui
凝绝不通声暂歇,ning'jue'bu'tong'sheng'zan'xie
女也不爽,nv'ye'bu'shuang
女之耽兮,nv'zhi'dan'xi
呕哑嘲哳难为听,ou'ya'zhao'zha'nan'wei'ting
蓬山此去无多路,peng'shan'ci'qu'wu'duo'lu
琵琶声停欲语迟,pi'pa'sheng'ting'yu'yu'chi
凭谁问,ping'shui'wen
砯崖转石万壑雷,ping'ya'zhuan'shi'wan'he'lei
其不善者而改之,qi'bu'shan'zhe'er'gai'zhi
其黄而陨,qi'huang'er'yun
其间旦暮闻何物,qi'jian'dan'mu'wen'he'wu
齐鲁青未了,qi'lu'qing'wei'liao
凄凄不似向前声,qi'qi'bu'si'xiang'qian'sheng
淇水汤汤,qi'shui'shang'shang
泣涕涟涟,qi'ti'lian'lian
气吞万里如虎,qi'tun'wan'li'ru'hu
起舞弄清影,qi'wu'nong'qing'ying
岂无山歌与村笛,qi'wu'shan'ge'yu'cun'di
其险也如此,qi'xian'ye'ru'ci
其叶沃若,qi'ye'wo'ruo
淇则有岸,qi'ze'you'an
恰似一江春水向东流,qia'si'yi'jiang'chun'shui'xiang'dong'liu
恰同学少年,qia'tong'xue'shao'nian
浅草才能没马蹄,qian'cao'cai'neng'mo'ma'ti
千古风流人物,qian'gu'feng'liu'ren'wu
千古江山,qian'gu'jiang'shan
千呼万唤始出来,qian'hu'wan'huan'shi'chu'lai
千里共婵娟,qian'li'gong'chan'juan
千骑卷平冈,qian'qi'juan'ping'gang
千树万树梨花开,qian'shu'wan'shu'li'hua'kai
前月浮梁买茶去,qian'yue'fu'liang'mai'cha'qu
千嶂里,qian'zhang'li
羌管悠悠霜满地,qiang'guan'you'you'shuang'man'di
樯橹灰飞烟灭,qiang'lu'hui'fei'yan'mie
亲射虎,qin'she'hu
轻拢慢捻抹复挑,qing'long'man'nian'mo'fu'tiao
青泥何盘盘,qing'ni'he'pan'pan
青鸟殷勤为探看,qing'niao'yin'qin'wei'tan'kan
秋风萧瑟,qiu'feng'xiao'se
秋天漠漠向昏黑,qiu'tian'mo'mo'xiang'hun'hei
秋以为期,qiu'yi'wei'qi
秋月春风等闲度,qiu'yue'chun'feng'deng'xian'du
曲罢曾教善才服,qu'ba'ceng'jiao'shan'cai'fu
去来江口守空船,qu'lai'jiang'kou'shou'kong'chuan
去年天气旧亭台,qu'nian'tian'qi'jiu'ting'tai
去时雪满天山路,qu'shi'xue'man'tian'shan'lu
曲终收拨当心画,qu'zhong'shou'bo'dang'xin'hua
却话巴山夜雨时,que'hua'ba'shan'ye'yu'shi
却坐促弦弦转急,que'zuo'cu'xian'xian'zhuan'ji
然后天梯石栈相钩连,ran'hou'tian'ti'shi'zhan'xiang'gou'lian
绕船月明江水寒,rao'chuan'yue'ming'jiang'shui'han
人不寐,ren'bu'mei
人不知而不愠,ren'bu'zhi'er'bu'yun
人道寄奴曾住,ren'dao'ji'nu'ceng'zhu
人道是,ren'dao'shi
忍能对面为盗贼,ren'neng'dui'mian'wei'dao'zei
人生如梦,ren'sheng'ru'meng
人生自古谁无死,ren'sheng'zi'gu'shui'wu'si
人有悲欢离合,ren'you'bei'huan'li'he
日月之行,ri'yue'zhi'xing
如听仙乐耳暂明,ru'ting'xian'yue'er'zan'ming
若出其里,ruo'chu'qi'li
若出其中,ruo'chu'qi'zhong
塞上燕脂凝夜紫,sai'shang'yan'zhi'ning'ye'zi
塞下秋来风景异,sai'xia'qiu'lai'feng'jing'yi
三国周郎赤壁,san'guo'zhou'lang'chi'bi
三人行,san'ren'xing
散入珠帘湿罗幕,san'ru'zhu'lian'shi'luo'mu
三岁食贫,san'sui'shi'pin
三岁为妇,san'sui'wei'fu
桑之落矣,sang'zhi'luo'yi
桑之未落,sang'zhi'wei'luo
沙场秋点兵,sha'chang'qiu'dian'bing
杀人如麻,sha'ren'ru'ma
山重水复疑无路,shan'chong'shui'fu'yi'wu'lu
山岛竦峙,shan'dao'song'zhi
山河表里潼关路,shan'he'biao'li'tong'guan'lu
山河破碎风抛絮,shan'he'po'sui'feng'pao'xu
山回路转不见君,shan'hui'lu'zhuan'bu'jian'jun
山气日夕佳,shan'qi'ri'xi'jia
尚能饭否,shang'neng'fan'fou
商女不知亡国恨,shang'nv'bu'zhi'wang'guo'hen
商人重利轻别离,shang'ren'zhong'li'qing'bie'li
伤心秦汉经行处,shang'xin'qin'han'jing'xing'chu
上有六龙回日之高标,shang'you'liu'long'hui'ri'zhi'gao'biao
射天狼,she'tian'lang
身世飘摇雨打萍,shen'shi'piao'yao'yu'da'ping
拾此充饥肠,shi'ci'chong'ji'chang
士贰其行,shi'er'qi'xing
是离愁,shi'li'chou
使人听此凋朱颜,shi'ren'ting'ci'diao'zhu'yan
十三学得琵琶成,shi'san'xue'de'pi'pa'cheng
士也罔极,shi'ye'wang'ji
是以谓之文也,shi'yi'wei'zhi'wen'ye
逝者如斯夫,shi'zhe'ru'si'fu
士之耽兮,shi'zhi'dan'xi
蜀道之难,shu'dao'zhi'nan
属国过居延,shu'guo'guo'ju'yan
树木丛生,shu'mu'cong'sheng
书生意气,shu'sheng'yi'qi
霜重鼓寒声不起,shuang'zhong'gu'han'sheng'bu'qi
水何澹澹,shui'he'dan'dan
谁家新燕啄春泥,shui'jia'xin'yan'zhuo'chun'ni
水面初平云脚低,shui'mian'chu'ping'yun'jiao'di
水中藻荇交横,shui'zhong'zao'xing'jiao'heng
谁主沉浮,shui'zhu'chen'fu
说尽心中无限事,shuo'jin'xin'zhong'wu'xian'shi
似曾相识燕归来,si'ceng'xiang'shi'yan'gui'lai
思而不学则殆,si'er'bu'xue'ze'dai
四面边声连角起,si'mian'bian'sheng'lian'jiao'qi
四十三年,si'shi'san'nian
似诉平生不得志,si'su'ping'sheng'bu'de'zhi
四弦一声如裂帛,si'xian'yi'sheng'ru'lie'bo
送子涉淇,song'zi'she'qi
溯洄从之,su'hui'cong'zhi
夙兴夜寐,su'xing'ye'mei
溯游从之,su'you'cong'zhi
随君直到夜郎西,sui'jun'zhi'dao'ye'lang'xi
岁晏有余粮,sui'yan'you'yu'liang
孙仲谋处,sun'zhong'mou'chu
所守或匪亲,suo'shou'huo'fei'qin
所谓伊人,suo'wei'yi'ren
谈笑间,tan'xiao'jian
体无咎言,ti'wu'jiu'yan
提携玉龙为君死,ti'xie'yu'long'wei'jun'si
田家少闲月,tian'jia'shao'xian'yue
田家输税尽,tian'jia'shu'shui'jin
天街小雨润如酥,tian'jie'xiao'yu'run'ru'su
添酒回灯重开宴,tian'jiu'hui'deng'chong'kai'yan
天涯若比邻,tian'ya'ruo'bi'lin
铁骑突出刀枪鸣,tie'qi'tu'chu'dao'qiang'ming
停杯投箸不能食,ting'bei'tou'zhu'bu'neng'shi
听其相顾言,ting'qi'xiang'gu'yan
庭下如积水空明,ting'xia'ru'ji'shui'kong'ming
铜雀春深锁二乔,tong'que'chun'shen'suo'er'qiao
同是宦游人,tong'shi'huan'you'ren
同是天涯沦落人,tong'shi'tian'ya'lun'luo'ren
童稚携壶浆,tong'zhi'xie'hu'jiang
万夫莫开,wan'fu'mo'kai
万类霜天竞自由,wan'lei'shuang'tian'jing'zi'you
万里悲秋常作客,wan'li'bei'qiu'chang'zuo'ke
宛在水中坻,wan'zai'shui'zhong'di
宛在水中央,wan'zai'shui'zhong'yang
宛在水中沚,wan'zai'shui'zhong'zhi
亡百姓苦,wang'bai'xing'ku
望帝春心托杜鹃,wang'di'chun'xin'tuo'du'juan
往事知多少,wang'shi'zhi'duo'shao
往往取酒还独倾,wang'wang'qu'jiu'hai'du'qing
望西都,wang'xi'du
望中犹记,wang'zhong'you'ji
为报倾城随太守,wei'bao'qing'cheng'sui'tai'shou
未成曲调先有情,wei'cheng'qu'diao'xian'you'qing
危乎高哉,wei'hu'gao'zai
唯见江心秋月白,wei'jian'jiang'xin'qiu'yue'bai
为君翻作琵琶行,wei'jun'fan'zuo'pi'pa'xing
畏途巉岩不可攀,wei'tu'chan'yan'bu'ke'pan
问苍茫大地,wen'cang'mang'da'di
闻道龙标过五溪,wen'dao'long'biao'guo'wu'xi
温故而知新,wen'gu'er'zhi'xin
问君何能尔,wen'jun'he'neng'er
问君能有几多愁,wen'jun'neng'you'ji'duo'chou
问君西游何时还,wen'jun'xi'you'he'shi'hai
闻说鸡鸣见日升,wen'shuo'ji'ming'jian'ri'sheng
闻者为悲伤,wen'zhe'wei'bei'shang
我从去年辞帝京,wo'cong'qu'nian'ci'di'jing
我寄愁心与明月,wo'ji'chou'xin'yu'ming'yue
我闻琵琶已叹息,wo'wen'pi'pa'yi'tan'xi
我欲乘风归去,wo'yu'cheng'feng'gui'qu
无边落木萧萧下,wu'bian'luo'mu'xiao'xiao'xia
吾尝终日不食,wu'chang'zhong'ri'bu'shi
无可奈何花落去,wu'ke'nai'he'hua'luo'qu
五陵年少争缠头,wu'ling'nian'shao'zheng'chan'tou
吾庐独破受冻死亦足,wu'lu'du'po'shou'dong'si'yi'zu
无食桑葚,wu'shi'sang'shen
五十弦翻塞外声,wu'shi'xian'fan'sai'wai'sheng
无为在歧路,wu'wei'zai'qi'lu
舞榭歌台,wu'xie'ge'tai
无言独上西楼,wu'yan'du'shang'xi'lou
无与士耽,wu'yu'shi'dan
五月人倍忙,wu'yue'ren'bei'mang
西北望,xi'bei'wang
夕避长蛇,xi'bi'chang'she
西当太白有鸟道,xi'dang'tai'bai'you'niao'dao
咥其笑矣,xi'qi'xiao'yi
夕阳西下,xi'yang'xi'xia
夕阳西下几时回,xi'yang'xi'xia'ji'shi'hui
隰则有泮,xi'ze'you'pan
下有冲波逆折之回川,xia'you'chong'bo'ni'zhe'zhi'hui'chuan
下者飘转沉塘坳,xia'zhe'piao'zhuan'chen'tang'ao
闲来垂钓碧溪上,xian'lai'chui'diao'bi'xi'shang
弦弦掩抑声声思,xian'xian'yan'yi'sheng'sheng'si
想当年,xiang'dang'nian
相逢何必曾相识,xiang'feng'he'bi'ceng'xiang'shi
相见时难别亦难,xiang'jian'shi'nan'bie'yi'nan
湘江北去,xiang'jiang'bei'qu
乡书何处达,xiang'shu'he'chu'da
相随饷田去,xiang'sui'xiang'tian'qu
萧鼓追随春社近,xiao'gu'zhui'sui'chun'she'jin
萧关逢候骑,xiao'guan'feng'hou'ji
晓镜但愁云鬓改,xiao'jing'dan'chou'yun'bin'gai
小楼昨夜又东风,xiao'lou'zuo'ye'you'dong'feng
小麦覆陇黄,xiao'mai'fu'long'huang
小乔初嫁了,xiao'qiao'chu'jia'le
小桥流水人家,xiao'qiao'liu'shui'ren'jia
小弦切切如私语,xiao'xian'qie'qie'ru'si'yu
小园香径独徘徊,xiao'yuan'xiang'jing'du'pai'huai
携来百侣曾游,xie'lai'bai'lv'ceng'you
斜阳草树,xie'yang'cao'shu
辛苦遭逢起一经,xin'ku'zao'feng'qi'yi'jing
信誓旦旦,xin'shi'dan'dan
心远地自偏,xin'yuan'di'zi'pian
兴百姓苦,xing'bai'xing'ku
星汉灿烂,xing'han'can'lan
行路难行路难,xing'lu'nan'xing'lu'nan
幸甚至哉,xing'shen'zhi'zai
行舟绿水前,xing'zhou'lv'shui'qian
兄弟不知,xiong'di'bu'zhi
雄飞雌从绕林间,xiong'fei'ci'cong'rao'lin'jian
雄姿英发,xiong'zi'ying'fa
学而不思则罔,xue'er'bu'si'ze'wang
学而不厌,xue'er'bu'yan
学而时习之,xue'er'shi'xi'zhi
血色罗裙翻酒污,xue'se'luo'qun'fan'jiu'wu
雪上空留马行处,xue'shang'kong'liu'ma'xing'chu
寻常巷陌,xun'chang'xiang'mo
寻声暗问弹者谁,xun'sheng'an'wen'dan'zhe'shui
