爱课程,ai'ke'cheng
国家体育总局体质评价,guo'jia'ti'yu'zong'ju'ti'zhi'ping'jia
国家重点实验室,guo'jia'zhong'dian'shi'yan'shi
国家资源共享课程,guo'jia'zi'yuan'gong'xiang'ke'cheng
国有资产管理处,guo'you'zi'chan'guan'li'chu
害虫控制工程,hai'chong'kong'zhi'gong'cheng
含弘杯,han'hong'bei
含弘在线,han'hong'zai'xian
汉语言文献研究所,han'yu'yan'wen'xian'yan'jiu'suo
行业培训,hang'ye'pei'xun
好新闻大赛,hao'xin'wen'da'sai
何光华,he'guang'hua
何宁佳,he'ning'jia
何文俊,he'wen'jun
何宗美,he'zong'mei
后勤集团,hou'qin'ji'tuan
花卉工程技术研究中心,hua'hui'gong'cheng'ji'shu'yan'jiu'zhong'xin
华鹏,hua'peng
化学化工学院,hua'xue'hua'gong'xue'yuan
黄承志,huang'cheng'zhi
黄蓉生,huang'rong'sheng
黄希庭,huang'xi'ting
黄玉明,huang'yu'ming
活动文化,huo'dong'wen'hua
基本建设管理处,ji'ben'jian'she'guan'li'chu
基础教育教学案例库,ji'chu'jiao'yu'jiao'xue'an'li'ku
基础教育投资管理有限公司,ji'chu'jiao'yu'tou'zi'guan'li'you'xian'gong'si
基础教育研究中心,ji'chu'jiao'yu'yan'jiu'zhong'xin
机构部门,ji'gou'bu'men
机关党委,ji'guan'dang'wei
计算机与信息科学学院,ji'suan'ji'yu'xin'xi'ke'xue'xue'yuan
纪委办公室,ji'wei'ban'gong'shi
家蚕基因组生物学,jia'can'ji'yin'zu'sheng'wu'xue
家蚕系统生物学创新引智基地,jia'can'xi'tong'sheng'wu'xue'chuang'xin'yin'zhi'ji'di
监察处,jian'cha'chu
简要介绍,jian'yao'jie'shao
教代会,jiao'dai'hui
教工活动视频,jiao'gong'huo'dong'shi'pin
教工生活,jiao'gong'sheng'huo
教师教学发展中心,jiao'shi'jiao'xue'fa'zhan'zhong'xin
教师教育学院,jiao'shi'jiao'yu'xue'yuan
教师教育资源,jiao'shi'jiao'yu'zi'yuan
教务处,jiao'wu'chu
教学单位,jiao'xue'dan'wei
教学辅助资源库,jiao'xue'fu'zhu'zi'yuan'ku
教学素材资源库,jiao'xue'su'cai'zi'yuan'ku
教学资源,jiao'xue'zi'yuan
教育部,jiao'yu'bu
教育部重点实验室,jiao'yu'bu'zhong'dian'shi'yan'shi
教育学部,jiao'yu'xue'bu
教职工慰问,jiao'zhi'gong'wei'wen
洁净能源材料与技术,jie'jing'neng'yuan'cai'liao'yu'ji'shu
洁净能源与先进材料研究院,jie'jing'neng'yuan'yu'xian'jin'cai'liao'yan'jiu'yuan
靳玉乐,jin'yu'le
经济管理学院,jing'ji'guan'li'xue'yuan
精品开放课程,jing'pin'kai'fang'ke'cheng
精神文化,jing'shen'wen'hua
阚建全,kan'jian'quan
康跃军,kang'yue'jun
课程,ke'cheng
课程试题资源库,ke'cheng'shi'ti'zi'yuan'ku
课外学术科技作品竞赛,ke'wai'xue'shu'ke'ji'zuo'pin'jing'sai
科学技术处,ke'xue'ji'shu'chu
科学教育研究中心,ke'xue'jiao'yu'yan'jiu'zhong'xin
科学研究,ke'xue'yan'jiu
科研平台,ke'yan'ping'tai
昆虫学及害虫控制工程,kun'chong'xue'ji'hai'chong'kong'zhi'gong'cheng
蓝勇,lan'yong
李传东,li'chuan'dong
李航,li'hang
李洪军,li'hong'jun
李洪涛,li'hong'tao
李华,li'hua
李加纳,li'jia'na
李兰,li'lan
李明,li'ming
李念兵,li'nian'bing
历任领导,li'ren'ling'dao
李森,li'sen
李世俊,li'shi'jun
历史文化学院,li'shi'wen'hua'xue'yuan
历史文化研究中心,li'shi'wen'hua'yan'jiu'zhong'xin
历史沿革,li'shi'yan'ge
离退休党委,li'tui'xiu'dang'wei
离退休工作处,li'tui'xiu'gong'zuo'chu
梁国鲁,liang'guo'lu
廖伯琴,liao'bo'qin
廖晓峰,liao'xiao'feng
刘光远,liu'guang'yuan
刘鸿仁,liu'hong'ren
刘明钊,liu'ming'zhao
鲁成,lu'cheng
鲁冠,lu'guan
逻辑与智能研究中心,luo'ji'yu'zhi'neng'yan'jiu'zhong'xin
罗凌飞,luo'ling'fei
马克思主义理论研究中心,ma'ke'si'zhu'yi'li'lun'yan'jiu'zhong'xin
马克思主义学院,ma'ke'si'zhu'yi'xue'yuan
马铃薯工程技术研究中心,ma'ling'shu'gong'cheng'ji'shu'yan'jiu'zhong'xin
毛远明,mao'yuan'ming
美术学院,mei'shu'xue'yuan
民族学院,min'zu'xue'yuan
名师风采,ming'shi'feng'cai
南方山地园艺学,nan'fang'shan'di'yuan'yi'xue
南区图书馆,nan'qu'tu'shu'guan
能源生物资源开发,neng'yuan'sheng'wu'zi'yuan'kai'fa
农产品贮藏保鲜质量,nong'chan'pin'zhu'cang'bao'xian'zhi'liang
农村经济与管理研究中心,nong'cun'jing'ji'yu'guan'li'yan'jiu'zhong'xin
农学与生物科技学院,nong'xue'yu'sheng'wu'ke'ji'xue'yuan
农业部魔芋研究中心,nong'ye'bu'mo'yu'yan'jiu'zhong'xin
农业技术创新方法,nong'ye'ji'shu'chuang'xin'fang'fa
农业教育发展研究中心,nong'ye'jiao'yu'fa'zhan'yan'jiu'zhong'xin
农业农村信息化,nong'ye'nong'cun'xin'xi'hua
农业生物工程技术研究中心,nong'ye'sheng'wu'gong'cheng'ji'shu'yan'jiu'zhong'xin
培训学院,pei'xun'xue'yuan
裴炎,pei'yan
彭云贵,peng'yun'gui
品牌活动,pin'pai'huo'dong
期刊社,qi'kan'she
其他研究平台,qi'ta'yan'jiu'ping'tai
企业单位,qi'ye'dan'wei
青春派,qing'chun'pai
青年联谊,qing'nian'lian'yi
邱江,qiu'jiang
邱玉辉,qiu'yu'hui
人才培养,ren'cai'pei'yang
人事处,ren'shi'chu
人文社科,ren'wen'she'ke
人文社科类平台,ren'wen'she'ke'lei'ping'tai
人文社科重点研究基地,ren'wen'she'ke'zhong'dian'yan'jiu'ji'di
认知与人格,ren'zhi'yu'ren'ge
荣昌校区,rong'chang'xiao'qu
软件学院,ruan'jian'xue'yuan
三峡库区,san'xia'ku'qu
三峡库区经济社会发展研究中心,san'xia'ku'qu'jing'ji'she'hui'fa'zhan'yan'jiu'zhong'xin
三峡库区农业面源污染控制,san'xia'ku'qu'nong'ye'mian'yuan'wu'ran'kong'zhi
三峡库区生态环境,san'xia'ku'qu'sheng'tai'huan'jing
三峡库区中药产业协同创新中心,san'xia'ku'qu'zhong'yao'chan'ye'xie'tong'chuang'xin'zhong'xin
三下乡,san'xia'xiang
社会科学处,she'hui'ke'xue'chu
社会实践,she'hui'shi'jian
社团文化节,she'tuan'wen'hua'jie
审计处,shen'ji'chu
省部级其他平台,sheng'bu'ji'qi'ta'ping'tai
生化医学分析,sheng'hua'yi'xue'fen'xi
省级重点实验室,sheng'ji'zhong'dian'shi'yan'shi
生命科学学院,sheng'ming'ke'xue'xue'yuan
生态环境,sheng'tai'huan'jing
生物技术学院,sheng'wu'ji'shu'xue'yuan
生物技术中心,sheng'wu'ji'shu'zhong'xin
生物资源,sheng'wu'zi'yuan
食品科学学院,shi'pin'ke'xue'xue'yuan
实时分析化学,shi'shi'fen'xi'hua'xue
实验农场,shi'yan'nong'chang
实验室与设备管理处,shi'yan'shi'yu'she'bei'guan'li'chu
实验幼儿园,shi'yan'you'er'yuan
师元网络课程平台,shi'yuan'wang'luo'ke'cheng'ping'tai
兽药工程技术研究中心,shou'yao'gong'cheng'ji'shu'yan'jiu'zhong'xin
数学与统计学院,shu'xue'yu'tong'ji'xue'yuan
水产科学,shui'chan'ke'xue
水鱼类资源,shui'yu'lei'zi'yuan
宋乃庆,song'nai'qing
孙泱,sun'yang
唐春雷,tang'chun'lei
特色食品工程技术研究中心,te'se'shi'pin'gong'cheng'ji'shu'yan'jiu'zhong'xin
体育学院,ti'yu'xue'yuan
体质评价,ti'zhi'ping'jia
统筹城乡发展研究院,tong'chou'cheng'xiang'fa'zhan'yan'jiu'yuan
统筹城乡教育发展研究中心,tong'chou'cheng'xiang'jiao'yu'fa'zhan'yan'jiu'zhong'xin
土壤多尺度界面过程与调控,tu'rang'duo'chi'du'jie'mian'guo'cheng'yu'tiao'kong
图书馆,tu'shu'guan
团干部成长成才沙龙,tuan'gan'bu'cheng'zhang'cheng'cai'sha'long
团委,tuan'wei
团学干部媒介素养提升工程,tuan'xue'gan'bu'mei'jie'su'yang'ti'sheng'gong'cheng
团支部活力提升工程,tuan'zhi'bu'huo'li'ti'sheng'gong'cheng
外国语学院,wai'guo'yu'xue'yuan
外国语言学与外语教育研究中心,wai'guo'yu'yan'xue'yu'wai'yu'jiao'yu'yan'jiu'zhong'xin
外文国外高校多媒体教学资源,wai'wen'guo'wai'gao'xiao'duo'mei'ti'jiao'xue'zi'yuan
王本朝,wang'ben'chao
王长楷,wang'chang'kai
王德寿,wang'de'shou
王进军,wang'jin'jun
网络与继续教育,wang'luo'yu'ji'xu'jiao'yu
网络与继续教育学院,wang'luo'yu'ji'xu'jiao'yu'xue'yuan
网上报告厅,wang'shang'bao'gao'ting
王稳地,wang'wen'di
王小佳,wang'xiao'jia
王永才,wang'yong'cai
王钊,wang'zhao
魏世强,wei'shi'qiang
文化部公共文化研究基地,wen'hua'bu'gong'gong'wen'hua'yan'jiu'ji'di
文化与社会发展学院,wen'hua'yu'she'hui'fa'zhan'xue'yuan
温涛,wen'tao
文体活动,wen'ti'huo'dong
文旭,wen'xu
文学院,wen'xue'yuan
吴春明,wu'chun'ming
物理科学与技术学院,wu'li'ke'xue'yu'ji'shu'xue'yuan
伍胜,wu'sheng
吴正茂,wu'zheng'mao
武装部,wu'zhuang'bu
西大记忆,xi'da'ji'yi
西大视频课程,xi'da'shi'pin'ke'cheng
西大玉兰赋,xi'da'yu'lan'fu
西南大学分中心,xi'nan'da'xue'fen'zhong'xin
西南大学赋,xi'nan'da'xue'fu
西南大学视频公开课程,xi'nan'da'xue'shi'pin'gong'kai'ke'cheng
西南大学资源共享课程,xi'nan'da'xue'zi'yuan'gong'xiang'ke'cheng
西南地区教师教育数据库,xi'nan'di'qu'jiao'shi'jiao'yu'shu'ju'ku
西南耕地保育,xi'nan'geng'di'bao'yu
西南历史地理研究中心,xi'nan'li'shi'di'li'yan'jiu'zhong'xin
西南民族教育,xi'nan'min'zu'jiao'yu
西南民族教育与心理研究中心,xi'nan'min'zu'jiao'yu'yu'xin'li'yan'jiu'zhong'xin
西南作物,xi'nan'zuo'wu
西塔学院,xi'ta'xue'yuan
夏庆友,xia'qing'you
现任领导,xian'ren'ling'dao
向仲怀,xiang'zhong'huai
校地合作处,xiao'de'he'zuo'chu
校歌,xiao'ge
校管科研机构,xiao'guan'ke'yan'ji'gou
校管研究机构,xiao'guan'yan'jiu'ji'gou
校花,xiao'hua
校史回眸,xiao'shi'hui'mou
校史文化,xiao'shi'wen'hua
校树,xiao'shu
校训,xiao'xun
校医院,xiao'yi'yuan
校园地图,xiao'yuan'di'tu
校园风光,xiao'yuan'feng'guang
校园歌手大赛,xiao'yuan'ge'shou'da'sai
校园文化,xiao'yuan'wen'hua
校长办公室,xiao'zhang'ban'gong'shi
谢德体,xie'de'ti
谢立惠,xie'li'hui
协同创新,xie'tong'chuang'xin
新东方多媒体学习库,xin'dong'fang'duo'mei'ti'xue'xi'ku
新课程多媒体教学案例库,xin'ke'cheng'duo'mei'ti'jiao'xue'an'li'ku
心理健康教育研究中心,xin'li'jian'kang'jiao'yu'yan'jiu'zhong'xin
心理学部,xin'li'xue'bu
心理学与社会管理研究中心,xin'li'xue'yu'she'hui'guan'li'yan'jiu'zhong'xin
心理研究中心,xin'li'yan'jiu'zhong'xin
新农村发展研究院,xin'nong'cun'fa'zhan'yan'jiu'yuan
新生才艺大赛,xin'sheng'cai'yi'da'sai
新闻传媒学院,xin'wen'chuan'mei'xue'yuan
信息中心,xin'xi'zhong'xin
行政部门,xing'zheng'bu'men
熊祖洪,xiong'zu'hong
徐方庭,xu'fang'ting
徐晓黎,xu'xiao'li
徐晓玉,xu'xiao'yu
学生工作处,xue'sheng'gong'zuo'chu
学生活动,xue'sheng'huo'dong
学术风气,xue'shu'feng'qi
学术机构,xue'shu'ji'gou
学术委员会办公室,xue'shu'wei'yuan'hui'ban'gong'shi
学术文化,xue'shu'wen'hua
学校概览,xue'xiao'gai'lan
研究生教育,yan'jiu'sheng'jiao'yu
研究生院,yan'jiu'sheng'yuan
研究中心,yan'jiu'zhong'xin
姚大非,yao'da'fei
药物过程与质量控制,yao'wu'guo'cheng'yu'zhi'liang'kong'zhi
药效评价,yao'xiao'ping'jia
药学院,yao'xue'yuan
叶明,ye'ming
音乐学院,yin'yue'xue'yuan
应用技术学院,ying'yong'ji'shu'xue'yuan
油菜工程技术研究中心,you'cai'gong'cheng'ji'shu'yan'jiu'zhong'xin
玉兰赋,yu'lan'fu
于显平,yu'xian'ping
院部标识,yuan'bu'biao'zhi
袁若,yuan'ruo
园艺园林学院,yuan'yi'yuan'lin'xue'yuan
运动机能监控重点实验室,yun'dong'ji'neng'jian'kong'zhong'dian'shi'yan'shi
在线课程,zai'xian'ke'cheng
张大均,zhang'da'jun
张凤山,zhang'feng'shan
章乐,zhang'le
张诗亚,zhang'shi'ya
张卫国,zhang'wei'guo
张一夫,zhang'yi'fu
张永清,zhang'yong'qing
张郁,zhang'yu
张跃光,zhang'yue'guang
张自力,zhang'zi'li
赵伶俐,zhao'ling'li
招生就业处,zhao'sheng'jiu'ye'chu
政治与公共管理学院,zheng'zhi'yu'gong'gong'guan'li'xue'yuan
直附属单位,zhi'fu'shu'dan'wei
智慧树,zhi'hui'shu
智能传动和控制,zhi'neng'chuan'dong'he'kong'zhi
智能仪表及控制装备,zhi'neng'yi'biao'ji'kong'zhi'zhuang'bei
植物保护学院,zhi'wu'bao'hu'xue'yuan
志愿服务嘉年华,zhi'yuan'fu'wu'jia'nian'hua
志愿者活动,zhi'yuan'zhe'huo'dong
重点实验室,zhong'dian'shi'yan'shi
中国基础教育期刊全文数据库,zhong'guo'ji'chu'jiao'yu'qi'kan'quan'wen'shu'ju'ku
中国基础教育质量监测,zhong'guo'ji'chu'jiao'yu'zhi'liang'jian'ce
中国抗战大后方,zhong'guo'kang'zhan'da'hou'fang
中国农科院柑桔研究所,zhong'guo'nong'ke'yuan'gan'ju'yan'jiu'suo
中国诗学研究中心,zhong'guo'shi'xue'yan'jiu'zhong'xin
中国乡村建设学院,zhong'guo'xiang'cun'jian'she'xue'yuan
中国新诗研究所,zhong'guo'xin'shi'yan'jiu'suo
中国艺术节,zhong'guo'yi'shu'jie
中小学电子教材库,zhong'xiao'xue'dian'zi'jiao'cai'ku
中心图书馆,zhong'xin'tu'shu'guan
中央电化教育馆教学资源库,zhong'yang'dian'hua'jiao'yu'guan'jiao'xue'zi'yuan'ku
中央电化教育馆智能题库系统,zhong'yang'dian'hua'jiao'yu'guan'zhi'neng'ti'ku'xi'tong
中央其他部委研究基地,zhong'yang'qi'ta'bu'wei'yan'jiu'ji'di
中医药学院,zhong'yi'yao'xue'yuan
钟章成,zhong'zhang'cheng
周常勇,zhou'chang'yong
周泽扬,zhou'ze'yang
周志钦,zhou'zhi'qin
朱德全,zhu'de'quan
转基因植物与安全控制,zhuan'ji'yin'zhi'wu'yu'an'quan'kong'zhi
资产经营有限公司,zi'chan'jing'ying'you'xian'gong'si
自然科学,zi'ran'ke'xue
自然科学类平台,zi'ran'ke'xue'lei'ping'tai
资源环境学院,zi'yuan'huan'jing'xue'yuan
综合类,zong'he'lei
组织机构,zu'zhi'ji'gou
作物种质资源利用创新引智基地,zuo'wu'zhong'zhi'zi'yuan'li'yong'chuang'xin'yin'zhi'ji'di
