暗盒,an'he
顺序变焦拍摄,shun'xu'bian'jiao'pai'she
顺序拍摄,shun'xu'pai'she
伺服自动聚焦,si'fu'zi'dong'ju'jiao
体育运动,ti'yu'yun'dong
填充式,tian'chong'shi
天光滤光镜,tian'guang'lv'guang'jing
条形码系统,tiao'xing'ma'xi'tong
调制传递函数,tiao'zhi'chuan'di'han'shu
同步,tong'bu
通过镜头镜后,tong'guo'jing'tou'jing'hou
桶形畸变,tong'xing'ji'bian
透视的,tou'shi'de
透视控制,tou'shi'kong'zhi
退卷,tui'juan
外测光,wai'ce'guang
弯角取景器,wan'jiao'qu'jing'qi
微距巨像,wei'ju'ju'xiang
微棱,wei'leng
雾化滤光镜,wu'hua'lv'guang'jing
五棱镜,wu'leng'jing
无线圈,wu'xian'quan
无线遥控,wu'xian'yao'kong
无限远无穷远,wu'xian'yuan'wu'qiong'yuan
陷阱聚焦,xian'jing'ju'jiao
显示,xian'shi
像差,xiang'cha
像场弯曲,xiang'chang'wan'qu
相机抖动,xiang'ji'dou'dong
像散,xiang'san
相位检测,xiang'wei'jian'ce
消色差的,xiao'se'cha'de
星光镜,xing'guang'jing
袖珍相机,xiu'zhen'xiang'ji
眩光,xuan'guang
选择,xuan'ze
旋转式变焦镜头,xuan'zhuan'shi'bian'jiao'jing'tou
延迟延时,yan'chi'yan'shi
眼平固定,yan'ping'gu'ding
眼启动,yan'qi'dong
耀斑眩光,yao'ban'xuan'guang
遥控线快门线,yao'kong'xian'kuai'men'xian
摇拍,yao'pai
液晶显示,ye'jing'xian'shi
野生动物,ye'sheng'dong'wu
艺术创作软件卡,yi'shu'chuang'zuo'ruan'jian'ka
阴影暗位,yin'ying'an'wei
阴影控制,yin'ying'kong'zhi
影像放大倍率锁定,ying'xiang'fang'da'bei'lv'suo'ding
影像控制,ying'xiang'kong'zhi
用户自选功能,yong'hu'zi'xuan'gong'neng
预测,yu'ce
预测焦点控制,yu'ce'jiao'dian'kong'zhi
预闪,yu'shan
鱼眼镜头,yu'yan'jing'tou
远视点高眼点,yuan'shi'dian'gao'yan'dian
增距镜望远变换器,zeng'ju'jing'wang'yuan'bian'huan'qi
张数帧,zhang'shu'zhen
照明角度,zhao'ming'jiao'du
照明器,zhao'ming'qi
照相机,zhao'xiang'ji
折反射镜头,zhe'fan'she'jing'tou
枕形畸变,zhen'xing'ji'bian
只读存储器,zhi'du'cun'chu'qi
智能化,zhi'neng'hua
智能化电动变焦,zhi'neng'hua'dian'dong'bian'jiao
中灰密度滤光镜,zhong'hui'mi'du'lv'guang'jing
中空滤光镜,zhong'kong'lv'guang'jing
中性,zhong'xing
中央处理器,zhong'yang'chu'li'qi
中央重点加权平均,zhong'yang'zhong'dian'jia'quan'ping'jun
主动的有源的,zhu'dong'de'you'yuan'de
主开关,zhu'kai'guan
转换器,zhuan'huan'qi
专家专业,zhuan'jia'zhuan'ye
专业的,zhuan'ye'de
专用闪光灯,zhuan'yong'shan'guang'deng
自动曝光,zi'dong'bao'guang
自动曝光锁定,zi'dong'bao'guang'suo'ding
自动包围,zi'dong'bao'wei
自动包围曝光,zi'dong'bao'wei'bao'guang
自动变焦,zi'dong'bian'jiao
自动多程序,zi'dong'duo'cheng'xu
自动构图,zi'dong'gou'tu
自动化,zi'dong'hua
自动进片,zi'dong'jin'pian
自动聚焦,zi'dong'ju'jiao
自动卷片,zi'dong'juan'pian
自动闪光,zi'dong'shan'guang
自动退片,zi'dong'tui'pian
自动装片,zi'dong'zhuang'pian
自拍机,zi'pai'ji
紫外线,zi'wai'xian
综合评价测光,zong'he'ping'jia'ce'guang
纵走式,zong'zou'shi
最大,zui'da
最小,zui'xiao
