按敷法,an'fu'fa
压榨法,ya'zha'fa
眼部明眸修护疗程,yan'bu'ming'mou'xiu'hu'liao'cheng
岩兰草,yan'lan'cao
芫荽,yan'sui
洋茴香,yang'hui'xiang
依兰,yi'lan
一周香薰减压法,yi'zhou'xiang'xun'jian'ya'fa
银合欢,yin'he'huan
愈创木,yu'chuang'mu
月桂,yue'gui
蒸馏法,zheng'liu'fa
脂肪族化合物,zhi'fang'zu'hua'he'wu
中国芳香疗法,zhong'guo'fang'xiang'liao'fa
中世纪芳香疗法,zhong'shi'ji'fang'xiang'liao'fa
中药芳香香袋,zhong'yao'fang'xiang'xiang'dai
中药芳香香囊,zhong'yao'fang'xiang'xiang'nang
中药香薰,zhong'yao'xiang'xun
紫罗兰,zi'luo'lan
紫松果菊,zi'song'guo'ju
