阿尼空讲,a'ni'kong'jiang
河岙新村,he'ao'xin'cun
河滨南路,he'bin'nan'lu
河岱,he'dai
河口,he'kou
河泥荡公园,he'ni'dang'gong'yuan
和尚田,he'shang'tian
河社桥,he'she'qiao
和事佬,he'shi'lao
河头,he'tou
河头龙,he'tou'long
河西,he'xi
河庄,he'zhuang
横彪,heng'biao
横渎,heng'du
横港头,heng'gang'tou
横浃,heng'jia
横街,heng'jie
横坑村,heng'keng'cun
横山,heng'shan
横山路口,heng'shan'lu'kou
横塘,heng'tang
洪殿,hong'dian
红岩,hong'yan
后陈,hou'chen
后京,hou'jing
厚佬,hou'lao
后里,hou'li
后马,hou'ma
后爿,hou'pan
后垟,hou'yang
后支,hou'zhi
护国寺,hu'guo'si
湖海,hu'hai
胡可可,hu'ke'ke
糊烂熟,hu'lan'shu
胡佬,hu'lao
胡乔量,hu'qiao'liang
糊溏粕浆,hu'tang'po'jiang
胡彤彤,hu'tong'tong
华表,hua'biao
花病,hua'bing
花池,hua'chi
花癫,hua'dian
花里班烂,hua'li'ban'lan
划龙桥,hua'long'qiao
华侨新村,hua'qiao'xin'cun
华侨中学,hua'qiao'zhong'xue
花台,hua'tai
花坦头,hua'tan'tou
环城东路,huan'cheng'dong'lu
环城路口,huan'cheng'lu'kou
奂堆,huan'dui
皇岙,huang'ao
黄逗逗,huang'dou'dou
黄嘉维,huang'jia'wei
黄龙,huang'long
黄龙宾馆,huang'long'bin'guan
黄龙六区,huang'long'liu'qu
黄龙山,huang'long'shan
黄龙商贸城,huang'long'shang'mao'cheng
黄龙四区,huang'long'si'qu
黄龙住宅区,huang'long'zhu'zhai'qu
黄牛山,huang'niu'shan
凰桥,huang'qiao
黄山,huang'shan
黄诗茗,huang'shi'ming
黄天街,huang'tian'jie
黄田医院,huang'tian'yi'yuan
黄田镇,huang'tian'zhen
黄逸豪,huang'yi'hao
黄屿,huang'yu
黄宅,huang'zhai
黄兆鸽,huang'zhao'ge
会翻,hui'fan
辉煌路口,hui'huang'lu'kou
灰桥,hui'qiao
汇头,hui'tou
灰灶,hui'zao
会展中心,hui'zhan'zhong'xin
火车站广场,huo'che'zhan'guang'chang
火萤光光,huo'ying'guang'guang
货运市场,huo'yun'shi'chang
基安山,ji'an'shan
鸡笼屿,ji'long'yu
嵇师,ji'shi
嵇师新街,ji'shi'xin'jie
基田,ji'tian
集香居,ji'xiang'ju
浃底,jia'di
夹活詈,jia'huo'li
甲里桥,jia'li'qiao
浃尾巴,jia'wei'ba
见大勿怪,jian'da'wu'guai
建丰,jian'feng
剪绺,jian'liu
见人怪,jian'ren'guai
江北大街,jiang'bei'da'jie
讲大来,jiang'da'lai
讲古,jiang'gu
姜嘉锋,jiang'jia'feng
蒋家桥,jiang'jia'qiao
将军桥,jiang'jun'qiao
江南,jiang'nan
江前,jiang'qian
蒋青颖,jiang'qing'ying
江上,jiang'shang
姜思仰,jiang'si'yang
江蟹,jiang'xie
江心码头,jiang'xin'ma'tou
江心田,jiang'xin'tian
蒋云峰,jiang'yun'feng
姜宅,jiang'zhai
脚绊,jiao'ban
教场头,jiao'chang'tou
教场新路,jiao'chang'xin'lu
交行广场,jiao'hang'guang'chang
焦湾,jiao'wan
蛟尾堡,jiao'wei'bao
焦下,jiao'xia
礁下,jiao'xia
蛟翔巷,jiao'xiang'xiang
蛟翔巷口,jiao'xiang'xiang'kou
教育新村,jiao'yu'xin'cun
解板,jie'ban
疥橱,jie'chu
结煞,jie'sha
界溪上,jie'xi'shang
界占上,jie'zhan'shang
金安村,jin'an'cun
金岙,jin'ao
金堡,jin'bao
金蟾大道,jin'chan'da'dao
金蟾乡,jin'chan'xiang
紧固件市场,jin'gu'jian'shi'chang
金聚德,jin'ju'de
金丽温高速,jin'li'wen'gao'su
金良维,jin'liang'wei
金台乡,jin'tai'xiang
金恬伊,jin'tian'yi
金田一村,jin'tian'yi'cun
金灶,jin'zao
金灶村,jin'zao'cun
金竹村,jin'zhu'cun
景山东门,jing'shan'dong'men
景山动物园,jing'shan'dong'wu'yuan
景山街道,jing'shan'jie'dao
景山植物园,jing'shan'zhi'wu'yuan
九峰山路口,jiu'feng'shan'lu'kou
九间,jiu'jian
九降,jiu'jiang
九山北路,jiu'shan'bei'lu
九山河,jiu'shan'he
炬光园,ju'guang'yuan
炬光园管委会,ju'guang'yuan'guan'wei'hui
局门,ju'men
巨溪,ju'xi
炬新路,ju'xin'lu
开太商场,kai'tai'shang'chang
坎上,kan'shang
康乐坊,kang'le'fang
靠造化,kao'zao'hua
科技馆,ke'ji'guan
空讲,kong'jiang
空壳大号老,kong'ke'da'hao'lao
空手饭人,kong'shou'fan'ren
孔昱乔,kong'yu'qiao
苦极,ku'ji
快活仙儿,kuai'huo'xian'er
矿山,kuang'shan
括苍东路口,kuo'cang'dong'lu'kou
拉屙猫儿,la'e'mao'er
拉塌精光,la'ta'jing'guang
邋遢仙,la'ta'xian
来福门,lai'fu'men
赖哭猫儿,lai'ku'mao'er
烂粒,lan'li
烂仑,lan'lun
蓝田,lan'tian
朗曝,lang'bao
老殿后,lao'dian'hou
老方坦,lao'fang'tan
老宁客,lao'ning'ke
老牌,lao'pai
老人亭,lao'ren'ting
老上堡,lao'shang'bao
老鼠皮翼,lao'shu'pi'yi
劳务市场,lao'wu'shi'chang
老蟹,lao'xie
雷锋,lei'feng
丽岙镇,li'ao'zhen
立墩,li'dun
李慧敏子,li'hui'min'zi
李吉祥,li'ji'xiang
李家泽,li'jia'ze
李坚瑞,li'jian'rui
李姜慧,li'jiang'hui
李可,li'ke
黎明,li'ming
黎明立交桥,li'ming'li'jiao'qiao
黎明侨村,li'ming'qiao'cun
黎明西路,li'ming'xi'lu
黎明新村,li'ming'xin'cun
丽塘,li'tang
丽田,li'tian
李田,li'tian
里垟殿,li'yang'dian
李颖,li'ying
李宅,li'zhai
莲池,lian'chi
连墩,lian'dun
练墩,lian'dun
两来船,liang'lai'chuan
梁玺钊,liang'xi'zhao
粮站路口,liang'zhan'lu'kou
了得过堂,liao'de'guo'tang
了了滞滞,liao'liao'zhi'zhi
寮巷,liao'xiang
林岙,lin'ao
林里,lin'li
林李,lin'li
邻舍家边,lin'she'jia'bian
林小添,lin'xiao'tian
林依晨,lin'yi'chen
林宅,lin'zhai
林政,lin'zheng
岭根,ling'gen
灵昆,ling'kun
灵昆大桥北,ling'kun'da'qiao'bei
灵昆镇,ling'kun'zhen
零碎伯伯,ling'sui'bo'bo
岭头,ling'tou
岭下,ling'xia
凌云山路,ling'yun'shan'lu
六岙,liu'ao
六村,liu'cun
刘基庙,liu'ji'miao
刘思琪,liu'si'qi
笼底,long'di
龙东,long'dong
龙方,long'fang
龙峰山庄,long'feng'shan'zhuang
龙井,long'jing
龙桥,long'qiao
龙泉巷,long'quan'xiang
隆山路,long'shan'lu
龙水,long'shui
龙水医院,long'shui'yi'yuan
龙水邮电,long'shui'you'dian
龙水朱宅,long'shui'zhu'zhai
龙湾,long'wan
龙湾区,long'wan'qu
龙湾上塘,long'wan'shang'tang
龙湾下塘,long'wan'xia'tang
龙湾甬江路,long'wan'yong'jiang'lu
龙霞南路,long'xia'nan'lu
龙霞中路,long'xia'zhong'lu
龙霞住宅区,long'xia'zhu'zhai'qu
龙巷,long'xiang
龙星,long'xing
龙野花园,long'ye'hua'yuan
娄桥街道,lou'qiao'jie'dao
娄桥路口,lou'qiao'lu'kou
娄桥汽校,lou'qiao'qi'xiao
镂丝扒缝,lou'si'ba'feng
鹿城工业区,lu'cheng'gong'ye'qu
鹿城后巷,lu'cheng'hou'xiang
鹿城路,lu'cheng'lu
露礁,lu'jiao
芦桥,lu'qiao
炉田,lu'tian
路头,lu'tou
罗浮三角,luo'fu'san'jiao
落力,luo'li
落马桥,luo'ma'qiao
落事,luo'shi
罗湾锦苑,luo'wan'jin'yuan
洛溪,luo'xi
吕家村,lv'jia'cun
吕家降,lv'jia'jiang
吕浦八区,lv'pu'ba'qu
马鞍池,ma'an'chi
马鞍池西路,ma'an'chi'xi'lu
马鞍池新村,ma'an'chi'xin'cun
马达卡,ma'da'ka
马坑,ma'keng
马桥北路,ma'qiao'bei'lu
马桥头,ma'qiao'tou
麻行码头,ma'xing'ma'tou
麻芝川,ma'zhi'chuan
麦里鹁鸪,mai'li'bo'gu
卖麻桥,mai'ma'qiao
馒头驻,man'tou'zhu
毛尔涓,mao'er'juan
毛滚蔫刺,mao'gun'nian'ci
冇解,mao'jie
猫相,mao'xiang
毛睁头,mao'zheng'tou
茅竹岭,mao'zhu'ling
梅岙,mei'ao
梅岙收费管理所,mei'ao'shou'fei'guan'li'suo
美人台新村,mei'ren'tai'xin'cun
媒头,mei'tou
梅头,mei'tou
梅屿,mei'yu
门前牌,men'qian'pai
懵讲,meng'jiang
猛烹热头,meng'peng're'tou
密鼓,mi'gu
密密,mi'mi
弥齐,mi'qi
弥丝断儿,mi'si'duan'er
妙果寺,miao'guo'si
庙后,miao'hou
岷岗,min'gang
岷岗风景区,min'gang'feng'jing'qu
民康医院,min'kang'yi'yuan
明朝后日,ming'zhao'hou'ri
墨池坊,mo'chi'fang
牡丹村,mu'dan'cun
木头娜儿,mu'tou'na'er
木西岙,mu'xi'ao
耐宝路,nai'bao'lu
南白象,nan'bai'xiang
南白象街道,nan'bai'xiang'jie'dao
南郊,nan'jiao
难看兮,nan'kan'xi
南片工业区,nan'pian'gong'ye'qu
南浦,nan'pu
南浦八区,nan'pu'ba'qu
南浦二区,nan'pu'er'qu
南浦九区,nan'pu'jiu'qu
南浦农贸,nan'pu'nong'mao
南浦桥,nan'pu'qiao
南山,nan'shan
南雅,nan'ya
南雁,nan'yan
南朱宅,nan'zhu'zhai
难妆爷,nan'zhuang'ye
泥昏滥醉,ni'hun'lan'zui
泥捏恁,ni'nie'nen
宁村路口,ning'cun'lu'kou
拗撑八撑,niu'cheng'ba'cheng
牛劲马力,niu'jin'ma'li
牛岭底村,niu'ling'di'cun
牛桥底,niu'qiao'di
牛山,niu'shan
牛山北路,niu'shan'bei'lu
农业开发区,nong'ye'kai'fa'qu
瓯北陡门头,ou'bei'dou'men'tou
瓯北五中,ou'bei'wu'zhong
瓯北新桥,ou'bei'xin'qiao
藕池头,ou'chi'tou
瓯海区府,ou'hai'qu'fu
瓯海中学,ou'hai'zhong'xue
瓯江大桥,ou'jiang'da'qiao
瓯江大厦,ou'jiang'da'sha
欧伦花园,ou'lun'hua'yuan
瓯浦垟,ou'pu'yang
牌楼,pai'lou
派头浪,pai'tou'lang
派园,pai'yuan
潘岙,pan'ao
蟠凤,pan'feng
潘锦辉,pan'jin'hui
潘坑,pan'keng
潘茜茜,pan'qian'qian
潘桥,pan'qiao
潘桥路口,pan'qiao'lu'kou
潘桥镇,pan'qiao'zhen
潘一,pan'yi
潘昭原,pan'zhao'yuan
旁耽,pang'dan
旁头,pang'tou
脬扎下鬼儿,pao'zha'xia'gui'er
彭宅,peng'zhai
皮坊巷,pi'fang'xiang
婆大,po'da
破篷,po'peng
粕脂粘胶,po'zhi'nian'jiao
浦东新街,pu'dong'xin'jie
葡萄棚,pu'tao'peng
浦西,pu'xi
蒲鞋市,pu'xie'shi
蒲州街道,pu'zhou'jie'dao
蒲州路口,pu'zhou'lu'kou
蒲州镇,pu'zhou'zhen
祁宸宸,qi'chen'chen
七搭八搭,qi'da'ba'da
七甲,qi'jia
麒麟赶龙,qi'lin'gan'long
七零三八零四,qi'ling'san'ba'ling'si
七七八八,qi'qi'ba'ba
七三村,qi'san'cun
七十八老,qi'shi'ba'lao
洽桥,qia'qiao
前陈,qian'chen
前冯,qian'feng
前花,qian'hua
前黄,qian'huang
钱江路,qian'jiang'lu
前进公社,qian'jin'gong'she
前进街道,qian'jin'jie'dao
前进中学,qian'jin'zhong'xue
前京,qian'jing
前林,qian'lin
前爿,qian'pan
千石,qian'shi
千丝百藤,qian'si'bai'teng
前网,qian'wang
千晓,qian'xiao
前岩,qian'yan
前垟,qian'yang
前州,qian'zhou
前庄,qian'zhuang
强强集团,qiang'qiang'ji'tuan
桥北村,qiao'bei'cun
桥埠,qiao'bu
巧克力,qiao'ke'li
桥前,qiao'qian
桥上,qiao'shang
桥头,qiao'tou
桥头工业区,qiao'tou'gong'ye'qu
桥头建行,qiao'tou'jian'hang
桥头收费管理所,qiao'tou'shou'fei'guan'li'suo
桥下,qiao'xia
敲鱼,qiao'yu
沁春园,qin'chun'yuan
勤力,qin'li
青莲寺,qing'lian'si
清明桥,qing'ming'qiao
清明桥新村,qing'ming'qiao'xin'cun
青山,qing'shan
青少年活动中心,qing'shao'nian'huo'dong'zhong'xin
穷苦灠滴,qiong'ku'lan'di
秋霖,qiu'lin
丘山,qiu'shan
丘山坳头,qiu'shan'ao'tou
邱淑涵,qiu'shu'han
求真路,qiu'zhen'lu
瞿溪,qu'xi
瞿溪车站,qu'xi'che'zhan
瞿溪镇,qu'xi'zhen
泉塘,quan'tang
雀跃娜儿,que'yue'na'er
染店,ran'dian
热头气,re'tou'qi
人本超市,ren'ben'chao'shi
人民路,ren'min'lu
任桥路口,ren'qiao'lu'kou
人抬人,ren'tai'ren
壬田,ren'tian
人头不,ren'tou'bu
日昼,ri'zhou
瑞安门,rui'an'men
箬笠岙,ruo'li'ao
若申大桥,ruo'shen'da'qiao
三村,san'cun
三都,san'du
三房头,san'fang'tou
三股一,san'gu'yi
三甲,san'jia
散讲,san'jiang
三江码头,san'jiang'ma'tou
三角门,san'jiao'men
三角巷,san'jiao'xiang
三九年夜,san'jiu'nian'ye
三郎桥,san'lang'qiao
三面见同,san'mian'jian'tong
三桥收费处,san'qiao'shou'fei'chu
三拳两脚,san'quan'liang'jiao
三十六村,san'shi'liu'cun
三十亩,san'shi'mu
三堂,san'tang
三维桥,san'wei'qiao
三垟街道,san'yang'jie'dao
沙岙儿,sha'ao'er
沙城镇,sha'cheng'zhen
沙门,sha'men
沙南,sha'nan
沙塘桥头,sha'tang'qiao'tou
沙园,sha'yuan
山岸,shan'an
山北,shan'bei
山根,shan'gen
山后,shan'hou
山垄,shan'long
山姆士大世界,shan'mu'shi'da'shi'jie
山头岙窟,shan'tou'ao'ku
山头峡,shan'tou'xia
山西岙,shan'xi'ao
山下,shan'xia
山洲岭,shan'zhou'ling
上庵,shang'an
上岙,shang'ao
上堡,shang'bao
上埠头,shang'bu'tou
上蔡村,shang'cai'cun
上蔡村北,shang'cai'cun'bei
上蔡村南,shang'cai'cun'nan
上陈,shang'chen
上成中心小学,shang'cheng'zhong'xin'xiao'xue
上村,shang'cun
上村新村,shang'cun'xin'cun
上陡门,shang'dou'men
上河,shang'he
上河滨,shang'he'bin
上河头,shang'he'tou
上横青,shang'heng'qing
上璜,shang'huang
上江,shang'jiang
上京,shang'jing
上净水,shang'jing'shui
上坑,shang'keng
上吕浦,shang'lv'pu
上南山,shang'nan'shan
上桥,shang'qiao
上山根,shang'shan'gen
上山田,shang'shan'tian
上山湾,shang'shan'wan
上滩头,shang'tan'tou
上塘,shang'tang
上涂,shang'tu
上新桥,shang'xin'qiao
上岩儿,shang'yan'er
上岩头村,shang'yan'tou'cun
上叶,shang'ye
上伊,shang'yi
上庄,shang'zhuang
莦箕涂,shao'ji'tu
邵拉拉,shao'la'la
邵宅,shao'zhai
舍利大,she'li'da
慎江路口,shen'jiang'lu'kou
深山,shen'shan
莘田,shen'tian
沈宅,shen'zhai
省径,sheng'jing
胜利分社,sheng'li'fen'she
十八家,shi'ba'jia
十八家上涂,shi'ba'jia'shang'tu
十八家下涂,shi'ba'jia'xia'tu
十八家支路,shi'ba'jia'zhi'lu
石板卵卵,shi'ban'luan'luan
时代广场,shi'dai'guang'chang
十二忙月,shi'er'mang'yue
十二田,shi'er'tian
师姑娘寮,shi'gu'niang'liao
市机械技校,shi'ji'xie'ji'xiao
石坑,shi'keng
十里,shi'li
十里亭,shi'li'ting
石桥,shi'qiao
石坦北岸,shi'tan'bei'an
石坦村,shi'tan'cun
石坦南岸,shi'tan'nan'an
史宅,shi'zhai
市政大桥,shi'zheng'da'qiao
市中,shi'zhong
市中公社,shi'zhong'gong'she
十足便利店,shi'zu'bian'li'dian
授儿,shou'er
书阁,shu'ge
双潮乡,shuang'chao'xiang
双车头,shuang'che'tou
双井头,shuang'jing'tou
双昆村,shuang'kun'cun
双乐农贸市场,shuang'le'nong'mao'shi'chang
双乐住宅区,shuang'le'zhu'zhai'qu
双岭,shuang'ling
双门,shuang'men
双南公社,shuang'nan'gong'she
双桥小学,shuang'qiao'xiao'xue
双桥鞋业,shuang'qiao'xie'ye
双溪,shuang'xi
双屿,shuang'yu
双屿山,shuang'yu'shan
水门头,shui'men'tou
水推排,shui'tui'pai
水心,shui'xin
水心菜场,shui'xin'cai'chang
水心汇昌,shui'xin'hui'chang
水心邮电,shui'xin'you'dian
水心竹组团,shui'xin'zhu'zu'tuan
水闸头,shui'zha'tou
顺境,shun'jing
朔门,shuo'men
朔门分社,shuo'men'fen'she
四柏桥头,si'bai'qiao'tou
思芳路,si'fang'lu
四号横街口,si'hao'heng'jie'kou
私伙银,si'huo'yin
四明山路,si'ming'shan'lu
司南,si'nan
死人好,si'ren'hao
四十亩,si'shi'mu
死执,si'zhi
松台,song'tai
松台分社,song'tai'fen'she
苏晨慧,su'chen'hui
苏家浃,su'jia'jia
苏妞妞,su'niu'niu
穗丰,sui'feng
穗新街,sui'xin'jie
孙若豪,sun'ruo'hao
娑姹,suo'cha
塌拉方,ta'la'fang
塔山,ta'shan
阘阘动,ta'ta'dong
塔下,ta'xia
汰浪,tai'lang
太山,tai'shan
泰山,tai'shan
台上,tai'shang
泰新街,tai'xin'jie
弹弹石巴,tan'dan'shi'ba
坦前,tan'qian
坦头,tan'tou
汤堡,tang'bao
汤东,tang'dong
汤家桥,tang'jia'qiao
汤莉莎,tang'li'sha
塘头,tang'tou
汤西,tang'xi
塘下,tang'xia
塘下老街,tang'xia'lao'jie
陶时梅,tao'shi'mei
掏掏动,tao'tao'dong
桃湾,tao'wan
桃源居,tao'yuan'ju
特警桥,te'jing'qiao
藤桥,teng'qiao
剃光头,ti'guang'tou
体育中心,ti'yu'zhong'xin
田岙,tian'ao
天长村,tian'chang'cun
天光,tian'guang
天河镇,tian'he'zhen
天暑热道,tian'shu're'dao
田梧,tian'wu
天柱寺,tian'zhu'si
条直,tiao'zhi
眺舟桥,tiao'zhou'qiao
铁店,tie'dian
汀田,ting'tian
桐汇乡,tong'hui'xiang
桐岭,tong'ling
统落,tong'luo
桐桥头路,tong'qiao'tou'lu
桐树,tong'shu
桐溪水库,tong'xi'shui'ku
童子痨,tong'zi'lao
透大气,tou'da'qi
头粒珠儿,tou'li'zhu'er
透气呼力,tou'qi'hu'li
头跳尾跳,tou'tiao'wei'tiao
涂上,tu'shang
涂田工业区,tu'tian'gong'ye'qu
团堆,tuan'dui
团团圈圈,tuan'tuan'quan'quan
陀头寺,tuo'tou'si
瓦砾爿锋,wa'li'pan'feng
瓦窑夅,wa'yao'jiang
外岙,wai'ao
