阿谁买与猪肝食,a'shui'mai'yu'zhu'gan'shi
各自保平安,ge'zi'bao'ping'an
根并荷花一茎香,gen'bing'he'hua'yi'jing'xiang
更爱赤栏桥上望,geng'ai'chi'lan'qiao'shang'wang
庚辰本,geng'chen'ben
更兼着,geng'jian'zhe
更那堪梦里功名,geng'na'kan'meng'li'gong'ming
羹调未羡青莲宠,geng'tiao'wei'xian'qing'lian'chong
更有情痴抱恨长,geng'you'qing'chi'bao'hen'chang
公府千金似下流,gong'fu'qian'jin'si'xia'liu
功名升黜无时,gong'ming'sheng'chu'wu'shi
恭亲王奕訢,gong'qin'wang'yi'xin
供人之目,gong'ren'zhi'mu
狗儿,gou'er
狗彘奴欺天招伙盗,gou'zhi'nu'qi'tian'zhao'huo'dao
古代传说雁能传递书信,gu'dai'chuan'shuo'yan'neng'chuan'di'shu'xin
骨董琐记,gu'dong'suo'ji
孤儿渺漠魂应逐,gu'er'miao'mo'hun'ying'zhu
故繁华声色,gu'fan'hua'sheng'se
辜负了,gu'fu'le
骨格不凡,gu'ge'bu'fan
故藉此遮目耳,gu'ji'ci'zhe'mu'er
故交零落散如云,gu'jiao'ling'luo'san'ru'yun
顾颉刚,gu'jie'gang
古今不肖无双,gu'jin'bu'xiao'wu'shuang
古今将相在何方,gu'jin'jiang'xiang'zai'he'fang
古今一梦尽荒唐,gu'jin'yi'meng'jin'huang'tang
故君子之于学也,gu'jun'zi'zhi'yu'xue'ye
故人欲有生刍吊,gu'ren'yu'you'sheng'chu'diao
故向爹娘梦里相寻告,gu'xiang'die'niang'meng'li'xiang'xun'gao
故有啼血之喻,gu'you'ti'xue'zhi'yu
灌愁海,guan'chou'hai
观花修竹,guan'hua'xiu'zhu
官累通政,guan'lei'tong'zheng
管世铭,guan'shi'ming
观玩不辍,guan'wan'bu'chuo
惯养娇生笑你痴,guan'yang'jiao'sheng'xiao'ni'chi
光灿灿腰悬金印,guang'can'can'yao'xuan'jin'yin
鬼方,gui'fang
闺阁立传,gui'ge'li'zhuan
闺阁琐事,gui'ge'suo'shi
闺阁增光,gui'ge'zeng'guang
果何人哉,guo'he'ren'zai
过洁世同嫌,guo'jie'shi'tong'xian
过午不食,guo'wu'bu'shi
国中属而和者,guo'zhong'shu'er'he'zhe
哈其大姓,ha'qi'da'xing
还把风流夺绮罗,hai'ba'feng'liu'duo'qi'luo
还孽债迎女返真元,hai'nie'zhai'ying'nv'fan'zhen'yuan
含耻辱情烈死金钏,han'chi'ru'qing'lie'si'jin'chuan
寒地无人洒麦饭,han'di'wu'ren'sa'mai'fan
含芳阁,han'fang'ge
汉桓帝时刘褒画云汉图,han'huan'di'shi'liu'bao'hua'yun'han'tu
汉军也,han'jun'ye
寒林萧寺暮鸦飞,han'lin'xiao'si'mu'ya'fei
汉寝唐陵无麦饭,han'qin'tang'ling'wu'mai'fan
罕然厉色,han'ran'li'se
憨湘云醉眠芍药茵,han'xiang'yun'zui'mian'shao'yao'yin
好便是了,hao'bian'shi'le
好防佳节元宵后,hao'fang'jia'jie'yuan'xiao'hou
好货寻愁,hao'huo'xun'chou
好了歌,hao'le'ge
号楝亭,hao'lian'ting
好色即淫,hao'se'ji'yin
好事多魔,hao'shi'duo'mo
好事终,hao'shi'zhong
好枉故人驾,hao'wang'gu'ren'jia
好一似,hao'yi'si
好一似食尽鸟投林,hao'yi'si'shi'jin'niao'tou'lin
好饮,hao'yin
何必觅闲愁,he'bi'mi'xian'chou
何必枉悲伤,he'bi'wang'bei'shang
和曹雪芹西郊信步憩废寺原韵,he'cao'xue'qin'xi'jiao'xin'bu'qi'fei'si'yuan'yun
何尝造孽,he'chang'zao'nie
何处招魂赋楚蘅,he'chu'zhao'hun'fu'chu'heng
何当常聚会,he'dang'chang'ju'hui
何妨黛玉泪淋淋,he'fang'dai'yu'lei'lin'lin
河干集饮题壁兼吊雪芹,he'gan'ji'yin'ti'bi'jian'diao'xue'qin
河干万木飘残雪,he'gan'wan'mu'piao'can'xue
何是风流,he'shi'feng'liu
何为雨,he'wei'yu
何为云,he'wei'yun
荷衣欲动兮,he'yi'yu'dong'xi
恨无常,hen'wu'chang
恨无常又到,hen'wu'chang'you'dao
衡门僻巷愁今雨,heng'men'pi'xiang'chou'jin'yu
蘅芜君,heng'wu'jun
蘅芜君兰言解疑癖,heng'wu'jun'lan'yan'jie'yi'pi
蘅芜苑,heng'wu'yuan
蘅芜院设言传蜜语,heng'wu'yuan'she'yan'chuan'mi'yu
蘅芜苑夜拟菊花题,heng'wu'yuan'ye'ni'ju'hua'ti
蘅芷清芬,heng'zhi'qing'fen
红出夭桃销处薄,hong'chu'yao'tao'xiao'chu'bo
红粉佳人未破瓜,hong'fen'jia'ren'wei'po'gua
红粉朱楼春色阑,hong'fen'zhu'lou'chun'se'lan
红楼春梦好模糊,hong'lou'chun'meng'hao'mo'hu
红楼梦,hong'lou'meng
红楼梦考证,hong'lou'meng'kao'zheng
红楼梦始出,hong'lou'meng'shi'chu
红楼梦十二支,hong'lou'meng'shi'er'zhi
红楼梦通灵遇双真,hong'lou'meng'tong'ling'yu'shuang'zhen
红楼梦引子,hong'lou'meng'yin'zi
红罗绣缬束纤腰,hong'luo'xiu'xie'shu'xian'yao
红娘小玉,hong'niang'xiao'yu
红颜黄土梦凄切,hong'yan'huang'tu'meng'qi'qie
红玉,hong'yu
红云裹作凤雏缠,hong'yun'guo'zuo'feng'chu'chan
烘云托月,hong'yun'tuo'yue
厚地高天,hou'di'gao'tian
候芳魂五儿承错爱,hou'fang'hun'wu'er'cheng'cuo'ai
