阿谁买与猪肝食,a'shui'mai'yu'zhu'gan'shi
忽向内房闻语笑,hu'xiang'nei'fang'wen'yu'xiao
忽新忽败,hu'xin'hu'bai
胡庸医乱用虎狼药,hu'yong'yi'luan'yong'hu'lang'yao
忽遇恩人,hu'yu'en'ren
画船载乐洲边来,hua'chuan'zai'le'zhou'bian'lai
画家三染法,hua'jia'san'ran'fa
画家烟云模糊处,hua'jia'yan'yun'mo'hu'chu
画桨临风当板敲,hua'jiang'lin'feng'dang'ban'qiao
花径不曾缘客扫,hua'jing'bu'ceng'yuan'ke'sao
花开花落年年春,hua'kai'hua'luo'nian'nian'chun
花郎道,hua'lang'dao
画梁春尽落香尘,hua'liang'chun'jin'luo'xiang'chen
花柳繁华地,hua'liu'fan'hua'di
花明两岸柳霏微,hua'ming'liang'an'liu'fei'wei
花容月貌为谁妍,hua'rong'yue'mao'wei'shui'yan
花袭人,hua'xi'ren
桦叶述闻,hua'ye'shu'wen
怀曹芹溪,huai'cao'qin'xi
怀人不见泪成行,huai'ren'bu'jian'lei'cheng'xing
怀人空有梦,huai'ren'kong'you'meng
鬟婢开口,huan'bi'kai'kou
浣葛山庄,huan'ge'shan'zhuang
幻境传来石也愁,huan'jing'chuan'lai'shi'ye'chou
幻境生时即是真,huan'jing'sheng'shi'ji'shi'zhen
幻形入世,huan'xing'ru'shi
幻中不幻,huan'zhong'bu'huan
皇恩重元妃省父母,huang'en'zhong'yuan'fei'sheng'fu'mu
黄金莺巧结梅花络,huang'jin'ying'qiao'jie'mei'hua'luo
黄鼠狼变猫越变越缩,huang'shu'lang'bian'mao'yue'bian'yue'suo
恍随仙子别红尘,huang'sui'xian'zi'bie'hong'chen
黄莺儿,huang'ying'er
荒冢一堆草没了,huang'zhong'yi'dui'cao'mei'le
会芳园,hui'fang'yuan
会芳园试才题对额,hui'fang'yuan'shi'cai'ti'dui'e
回风舞雪,hui'feng'wu'xue
回来即告诫他的儿子说,hui'lai'ji'gao'jie'ta'de'er'zi'shuo
慧紫鹃,hui'zi'juan
慧紫鹃情辞试忙玉,hui'zi'juan'qing'ci'shi'mang'yu
昏惨惨黄泉路近,hun'can'can'huang'quan'lu'jin
昏惨惨似灯将尽,hun'can'can'si'deng'jiang'jin
混沌一时七窍凿,hun'dun'yi'shi'qi'qiao'zao
或贬人妻女,huo'bian'ren'qi'nv
惑奸谗抄检大观园,huo'jian'chan'chao'jian'da'guan'yuan
惑偏私惜春矢素志,huo'pian'si'xi'chun'shi'su'zhi
或情或痴,huo'qing'huo'chi
或小才微善,huo'xiao'cai'wei'shan
活冤孽妙尼遭大劫,huo'yuan'nie'miao'ni'zao'da'jie
机变言谈,ji'bian'yan'tan
及陈获罪,ji'chen'huo'zui
及到多时眼闭了,ji'dao'duo'shi'yan'bi'le
积得阴功,ji'de'yin'gong
机关算尽太聪明,ji'guan'suan'jin'tai'cong'ming
畸笏叟,ji'hu'sou
寄怀曹雪芹沾,ji'huai'cao'xue'qin'zhan
几回掩卷哭曹侯,ji'hui'yan'juan'ku'cao'hou
几几乎,ji'ji'hu
即今随园故址,ji'jin'sui'yuan'gu'zhi
急就相访,ji'jiu'xiang'fang
济困扶穷,ji'kun'fu'qiong
寂寥时试遣愚衷,ji'liao'shi'shi'qian'yu'zhong
鹡鸰香串,ji'ling'xiang'chuan
鹡鸰之悲,ji'ling'zhi'bei
蓟门落日松亭樽,ji'men'luo'ri'song'ting'zun
寂寞难耐,ji'mo'nan'nai
寂寞西郊人到罕,ji'mo'xi'jiao'ren'dao'han
箕裘颓堕皆从敬,ji'qiu'tui'duo'jie'cong'jing
几世几劫,ji'shi'ji'jie
击石作歌声琅琅,ji'shi'zuo'ge'sheng'lang'lang
记微嫌舅兄欺弱女,ji'wei'xian'jiu'xiong'qi'ruo'nv
寄闲情淑女解琴书,ji'xian'qing'shu'nv'jie'qin'shu
寄言纨袴与膏粱,ji'yan'wan'ku'yu'gao'liang
寄言众儿女,ji'yan'zhong'er'nv
霁月光风耀玉堂,ji'yue'guang'feng'yao'yu'tang
霁月难逢,ji'yue'nan'feng
即者也之乎,ji'zhe'ye'zhi'hu
几拙笔学书,ji'zhuo'bi'xue'shu
夹岸芙蓉照眼鲜,jia'an'fu'rong'zhao'yan'xian
贾宝玉,jia'bao'yu
贾宝玉逞醉绛芸轩,jia'bao'yu'cheng'zui'jiang'yun'xuan
贾宝玉初会秦鲸卿,jia'bao'yu'chu'hui'qin'jing'qing
贾宝玉初试云雨情,jia'bao'yu'chu'shi'yun'yu'qing
贾宝玉大醉绛芸轩,jia'bao'yu'da'zui'jiang'yun'xuan
贾宝玉机敏动诸宾,jia'bao'yu'ji'min'dong'zhu'bin
贾宝玉路谒北静王,jia'bao'yu'lu'ye'bei'jing'wang
贾宝玉品茶栊翠庵,jia'bao'yu'pin'cha'long'cui'an
贾宝玉奇缘识金锁,jia'bao'yu'qi'yuan'shi'jin'suo
贾宝玉神游太虚境,jia'bao'yu'shen'you'tai'xu'jing
贾不假,jia'bu'jia
甲侧,jia'ce
贾菖,jia'chang
贾琛,jia'chen
甲辰本,jia'chen'ben
贾敕,jia'chi
贾琮,jia'cong
贾存周报升郎中任,jia'cun'zhou'bao'sheng'lang'zhong'ren
贾代化,jia'dai'hua
贾代儒,jia'dai'ru
贾代善,jia'dai'shan
贾敦,jia'dun
贾二舍偷娶尤二姨,jia'er'she'tou'qu'you'er'yi
贾芳,jia'fang
贾芬,jia'fen
家富人宁,jia'fu'ren'ning
贾夫人仙逝扬州城,jia'fu'ren'xian'shi'yang'zhou'cheng
斝干瓮涩何可当,jia'gan'weng'se'he'ke'dang
贾珖,jia'guang
贾蘅,jia'heng
贾珩,jia'heng
贾环,jia'huan
甲夹,jia'jia
贾菌,jia'jun
贾兰,jia'lan
贾琏,jia'lian
贾璘,jia'lin
贾菱,jia'ling
甲眉,jia'mei
贾敏,jia'min
贾母,jia'mu
嘉纳治五郎,jia'na'zhi'wu'lang
贾萍,jia'ping
贾蔷,jia'qiang
贾芹,jia'qin
贾琼,jia'qiong
贾蓉,jia'rong
贾瑞,jia'rui
贾赦,jia'she
家事消亡首罪宁,jia'shi'xiao'wang'shou'zui'ning
贾太君祷天消祸患,jia'tai'jun'dao'tian'xiao'huo'huan
贾探春,jia'tan'chun
贾天祥正照风月鉴,jia'tian'xiang'zheng'zhao'feng'yue'jian
家亡莫论亲,jia'wang'mo'lun'qin
贾惜春,jia'xi'chun
贾效,jia'xiao
甲戌本,jia'xu'ben
贾演,jia'yan
家业凋零,jia'ye'diao'ling
贾迎春,jia'ying'chun
贾迎春误嫁中山狼,jia'ying'chun'wu'jia'zhong'shan'lang
贾雨村,jia'yu'cun
贾雨村风尘怀闺秀,jia'yu'cun'feng'chen'huai'gui'xiu
贾雨村归结红楼梦,jia'yu'cun'gui'jie'hong'lou'meng
假语村言,jia'yu'cun'yan
贾雨村夤缘复旧职,jia'yu'cun'yin'yuan'fu'jiu'zhi
贾雨村中秋诗,jia'yu'cun'zhong'qiu'shi
贾源,jia'yuan
贾元春,jia'yuan'chun
贾元春才选凤藻宫,jia'yuan'chun'cai'xuan'feng'zao'gong
佳园结构类天成,jia'yuan'jie'gou'lei'tian'cheng
贾芸,jia'yun
贾藻,jia'zao
贾蓁,jia'zhen
贾珍,jia'zhen
贾政,jia'zheng
贾芝,jia'zhi
家置一编,jia'zhi'yi'bian
贾珠,jia'zhu
假作真时真亦假,jia'zuo'zhen'shi'zhen'yi'jia
剑横破匣影铓铓,jian'heng'po'xia'ying'mang'mang
见面尚无期,jian'mian'shang'wu'qi
见弃于世道,jian'qi'yu'shi'dao
见秦淮壁上题云,jian'qin'huai'bi'shang'ti'yun
见土仪颦卿思故里,jian'tu'yi'pin'qing'si'gu'li
见熙凤贾瑞起淫心,jian'xi'feng'jia'rui'qi'yin'xin
见者觉寒,jian'zhe'jue'han
见者觉热,jian'zhe'jue're
将笔墨逞风流,jiang'bi'mo'cheng'feng'liu
将到时,jiang'dao'shi
绛洞花王,jiang'dong'hua'wang
将发之机,jiang'fa'zhi'ji
将那三春看破,jiang'na'san'chun'kan'po
将言而未语,jiang'yan'er'wei'yu
蒋玉菡,jiang'yu'han
蒋玉菡情赠茜香罗,jiang'yu'han'qing'zeng'qian'xiang'luo
绛云轩,jiang'yun'xuan
绛云轩里召将飞符,jiang'yun'xuan'li'zhao'jiang'fei'fu
绛珠仙草,jiang'zhu'xian'cao
绛珠仙子,jiang'zhu'xian'zi
焦大,jiao'da
交给大雁,jiao'gei'da'yan
鹪鹩庵笔廛,jiao'liao'an'bi'chan
鹪鹩庵笔麈,jiao'liao'an'bi'zhu
鹪鹩庵杂记,jiao'liao'an'za'ji
鹪鹩庵杂记抄本,jiao'liao'an'za'ji'chao'ben
角门,jiao'men
姣怯香菱病入膏肓,jiao'qie'xiang'ling'bing'ru'gao'huang
蕉下客,jiao'xia'ke
娇杏,jiao'xing
嗟彼胜骨肉,jie'bi'sheng'gu'rou
借贷亲疏触眼酸,jie'dai'qin'shu'chu'yan'suan
嗟悼,jie'dao
皆蹈一辙,jie'dao'yi'zhe
借的衣服难合体,jie'de'yi'fu'nan'he'ti
皆古人清明,jie'gu'ren'qing'ming
借幻说法,jie'huan'shuo'fa
接罹倒着容君傲,jie'li'dao'zhe'rong'jun'ao
阶柳庭花,jie'liu'ting'hua
接履于云霓之上,jie'lv'yu'yun'ni'zhi'shang
劫生世危,jie'sheng'shi'wei
接外孙贾母惜孤女,jie'wai'sun'jia'mu'xi'gu'nv
解味道人,jie'wei'dao'ren
借问古来谁得似,jie'wen'gu'lai'shui'de'si
皆野人农夫之食耳,jie'ye'ren'nong'fu'zhi'shi'er
嗟余本非二子狂,jie'yu'ben'fei'er'zi'kuang
结怨司,jie'yuan'si
皆曰此曹雪芹书,jie'yue'ci'cao'xue'qin'shu
劫终之日,jie'zhong'zhi'ri
金钏,jin'chuan
金寡妇贪利权受辱,jin'gua'fu'tan'li'quan'shou'ru
金闺花柳质,jin'gui'hua'liu'zhi
襟怀笔墨,jin'huai'bi'mo
金兰契互剖金兰语,jin'lan'qi'hu'pou'jin'lan'yu
尽力一头还两把,jin'li'yi'tou'hai'liang'ba
金陵城起复贾雨村,jin'ling'cheng'qi'fu'jia'yu'cun
金陵十二钗,jin'ling'shi'er'chai
金陵十二钗副册,jin'ling'shi'er'chai'fu'ce
金陵十二钗又副册,jin'ling'shi'er'chai'you'fu'ce
金陵十二钗正册,jin'ling'shi'er'chai'zheng'ce
金满箱,jin'man'xiang
今生偏又遇着他,jin'sheng'pian'you'yu'zhe'ta
今嫌紫蟒长,jin'xian'zi'mang'chang
今宵红灯帐底卧鸳鸯,jin'xiao'hong'deng'zhang'di'wo'yuan'yang
锦衣公子茁兰芽,jin'yi'gong'zi'zhuo'lan'ya
锦衣军查抄宁国府,jin'yi'jun'cha'chao'ning'guo'fu
锦衣纨绔之时,jin'yi'wan'ku'zhi'shi
金银散尽,jin'yin'san'jin
金玉其外败絮其中者,jin'yu'qi'wai'bai'xu'qi'zhong'zhe
金鸳鸯,jin'yuan'yang
金鸳鸯三宣牙牌令,jin'yuan'yang'san'xuan'ya'pai'ling
金簪雪里埋,jin'zan'xue'li'mai
警拔之句,jing'ba'zhi'ju
警幻多情密垂淫训,jing'huan'duo'qing'mi'chui'yin'xun
警幻歌,jing'huan'ge
警幻仙姑,jing'huan'xian'gu
警幻仙姑赋,jing'huan'xian'gu'fu
警幻仙居对联,jing'huan'xian'ju'dui'lian
警幻仙曲演红楼梦,jing'huan'xian'qu'yan'hong'lou'meng
静极思动,jing'ji'si'dong
竟坎坷以终,jing'kan'ke'yi'zhong
镜里恩情,jing'li'en'qing
惊谜语妻妾谏痴人,jing'mi'yu'qi'qie'jian'chi'ren
敬亭诗,jing'ting'shi
敬亭与雪芹善,jing'ting'yu'xue'qin'shan
惊喜意外,jing'xi'yi'wai
警以妙曲,jing'yi'miao'qu
镜中看花,jing'zhong'kan'hua
旧事凄凉不可闻,jiu'shi'qi'liang'bu'ke'wen
旧唐书阎立本传,jiu'tang'shu'yan'li'ben'chuan
久延岁月,jiu'yan'sui'yue
酒盏愧陈遵,jiu'zhan'kui'chen'zun
举家食粥酒常赊,ju'jia'shi'zhou'jiu'chang'she
举目亲人尽不亲,ju'mu'qin'ren'jin'bu'qin
聚如春梦散如烟,ju'ru'chun'meng'san'ru'yan
巨眼英雄,ju'yan'ying'xiong
卷八引,juan'ba'yin
卷二第二三条,juan'er'di'er'san'tiao
眷眷无穷,juan'juan'wu'qiong
捐躯报君恩,juan'qu'bao'jun'en
卷一六第一七条,juan'yi'liu'di'yi'qi'tiao
觉大限吞生金自逝,jue'da'xian'tun'sheng'jin'zi'shi
觉得惭愧,jue'de'can'kui
君才抑塞倘欲拔,jun'cai'yi'sai'tang'yu'ba
君恩诚可待,jun'en'cheng'ke'dai
君家著笔描风月,jun'jia'zhu'bi'miao'feng'yue
君仁臣良,jun'ren'chen'liang
君生日日说恩情,jun'sheng'ri'ri'shuo'en'qing
君诗曾未等闲吟,jun'shi'ceng'wei'deng'xian'yin
君死又随人去了,jun'si'you'sui'ren'qu'le
君又无乃将军后,jun'you'wu'nai'jiang'jun'hou
君子可欺其方,jun'zi'ke'qi'qi'fang
开辟鸿蒙,kai'pi'hong'meng
开箧犹存冰雪文,kai'qie'you'cun'bing'xue'wen
开生面梦演红楼梦,kai'sheng'mian'meng'yan'hong'lou'meng
开夜宴异兆发悲音,kai'ye'yan'yi'zhao'fa'bei'yin
看看座客,kan'kan'zuo'ke
看破的,kan'po'de
堪破三春景不长,kan'po'san'chun'jing'bu'chang
堪叹古今情不尽,kan'tan'gu'jin'qing'bu'jin
堪叹咏絮才,kan'tan'yong'xu'cai
堪叹优伶有福,kan'tan'you'ling'you'fu
堪与刀颖交寒光,kan'yu'dao'ying'jiao'han'guang
康熙间,kang'xi'jian
康熙间名士,kang'xi'jian'ming'shi
可恨同时不相识,ke'hen'tong'shi'bu'xiang'shi
可堪磨折几多宵,ke'kan'mo'zhe'ji'duo'xiao
可怜风月债难偿,ke'lian'feng'yue'zhai'nan'chang
可怜辜负好韶光,ke'lian'gu'fu'hao'shao'guang
可怜金玉质,ke'lian'jin'yu'zhi
可怜绣户侯门女,ke'lian'xiu'hu'hou'men'nv
可奈金残玉正愁,ke'nai'jin'can'yu'zheng'chou
可卿判词,ke'qing'pan'ci
可适趣解闷,ke'shi'qu'jie'men
可叹停机德,ke'tan'ting'ji'de
可叹这,ke'tan'zhe
可意方舒心眼,ke'yi'fang'shu'xin'yan
可意偏长遇喜嗔,ke'yi'pian'chang'yu'xi'chen
可以与他作伴,ke'yi'yu'ta'zuo'ban
可与雪芹公子前后辉映,ke'yu'xue'qin'gong'zi'qian'hou'hui'ying
客至,ke'zhi
可知野鹤在鸡群,ke'zhi'ye'he'zai'ji'qun
空对着,kong'dui'zhe
空谷传声,kong'gu'chuan'sheng
空空大士,kong'kong'da'shi
恐哭损残年告爹娘,kong'ku'sun'can'nian'gao'die'niang
空云似桂如兰,kong'yun'si'gui'ru'lan
苦绛珠,ku'jiang'zhu
苦绛珠魂归离恨天,ku'jiang'zhu'hun'gui'li'hen'tian
哭孙季蕃,ku'sun'ji'fan
哭向金陵事更哀,ku'xiang'jin'ling'shi'geng'ai
苦尤娘赚入大观园,ku'you'niang'zhuan'ru'da'guan'yuan
快绿怡红别样名,kuai'lv'yi'hong'bie'yang'ming
诳驾之罪,kuang'jia'zhi'zui
葵官,kui'guan
馈土物颦卿念故里,kui'tu'wu'pin'qing'nian'gu'li
困龙也有上天时,kun'long'ye'you'shang'tian'shi
赖大,lai'da
赖大家的,lai'da'jia'de
来看小院春,lai'kan'xiao'yuan'chun
癞头和尚,lai'tou'he'shang
来旺妇倚势霸成亲,lai'wang'fu'yi'shi'ba'cheng'qin
来旺家的,lai'wang'jia'de
来喜家的,lai'xi'jia'de
来自何方,lai'zi'he'fang
拦酒兴李奶母讨恹,lan'jiu'xing'li'nai'mu'tao'yan
蓝翎,lan'ling
滥情人情误思游艺,lan'qing'ren'qing'wu'si'you'yi
兰台寺大夫,lan'tai'si'dai'fu
浪荡子情遗九龙佩,lang'dang'zi'qing'yi'jiu'long'pei
老君眉,lao'jun'mei
老来富贵也真侥幸,lao'lai'fu'gui'ye'zhen'jiao'xing
老学究讲义警顽心,lao'xue'jiu'jiang'yi'jing'wan'xin
老学士闲征姽婳词,lao'xue'shi'xian'zheng'gui'hua'ci
了便是好,le'bian'shi'hao
乐极悲生,le'ji'bei'sheng
乐中悲,le'zhong'bei
泪迸荒天寡妇声,lei'beng'huang'tian'gua'fu'sheng
泪痕无尽笑何由,lei'hen'wu'jin'xiao'he'you
累及爹娘,lei'ji'die'niang
泪未全收笑又开,lei'wei'quan'shou'xiao'you'kai
泪已尽,lei'yi'jin
冷二郎一冷入空门,leng'er'lang'yi'leng'ru'kong'men
冷郎君惧祸走他乡,leng'lang'jun'ju'huo'zou'ta'xiang
冷暖世情,leng'nuan'shi'qing
冷中出热,leng'zhong'chu're
冷子兴,leng'zi'xing
冷子兴演说荣国府,leng'zi'xing'yan'shuo'rong'guo'fu
李白号青莲居士,li'bai'hao'qing'lian'ju'shi
理朝廷治风俗,li'chao'ting'zhi'feng'su
李贵,li'gui
离合岂无缘,li'he'qi'wu'yuan
离恨天,li'hen'tian
梨花春雨,li'hua'chun'yu
历尽风月波澜,li'jin'feng'yue'bo'lan
李绮,li'qi
李纨,li'wan
李纨判词,li'wan'pan'ci
李纹,li'wen
李希凡,li'xi'fan
梨香院,li'xiang'yuan
立新场情传幻境情,li'xin'chang'qing'chuan'huan'jing'qing
李阳冰,li'yang'bing
理治之书,li'zhi'zhi'shu
莲步乍移兮,lian'bu'zha'yi'xi
恋风流情友入家塾,lian'feng'liu'qing'you'ru'jia'shu
恋风流情友入学堂,lian'feng'liu'qing'you'ru'xue'tang
帘栊悄悄控金钩,lian'long'qiao'qiao'kong'jin'gou
炼石补天,lian'shi'bu'tian
连天衰草遮坟墓,lian'tian'shuai'cao'zhe'fen'mu
两山对峙,liang'shan'dui'zhi
两诗画出雪芹矣,liang'shi'hua'chu'xue'qin'yi
潦倒不通世务,liao'dao'bu'tong'shi'wu
蓼风轩,liao'feng'xuan
列藏本,lie'cang'ben
林黛玉,lin'dai'yu
林黛玉重建桃花社,lin'dai'yu'chong'jian'tao'hua'she
林黛玉焚稿断痴情,lin'dai'yu'fen'gao'duan'chi'qing
林黛玉抛父进京都,lin'dai'yu'pao'fu'jin'jing'dou
林黛玉俏语谑娇音,lin'dai'yu'qiao'yu'xue'jiao'yin
林黛玉误剪香袋囊,lin'dai'yu'wu'jian'xiang'dai'nang
林如海,lin'ru'hai
林如海捐馆扬州城,lin'ru'hai'juan'guan'yang'zhou'cheng
麟髓之醅,lin'sui'zhi'pei
林潇湘魁夺菊花诗,lin'xiao'xiang'kui'duo'ju'hua'shi
嶙峋更见此支离,lin'xun'geng'jian'ci'zhi'li
林之孝,lin'zhi'xiao
林之孝家的,lin'zhi'xiao'jia'de
令此肝肺生角芒,ling'ci'gan'fei'sheng'jue'mang
龄官,ling'guan
灵河岸,ling'he'an
菱花空对雪澌澌,ling'hua'kong'dui'xue'si'si
灵石迷性难解仙机,ling'shi'mi'xing'nan'jie'xian'ji
六朝妙句,liu'chao'miao'ju
榴齿含香,liu'chi'han'xiang
留得小红独坐在,liu'de'xiao'hong'du'zuo'zai
榴花开处照宫闱,liu'hua'kai'chu'zhao'gong'wei
刘姥姥,liu'lao'lao
刘姥姥一进荣国府,liu'lao'lao'yi'jin'rong'guo'fu
刘姥姥醉卧怡红院,liu'lao'lao'zui'wo'yi'hong'yuan
琉璃世界白雪红梅,liu'li'shi'jie'bai'xue'hong'mei
六桥南北带沙提,liu'qiao'nan'bei'dai'sha'ti
六桥烟柳,liu'qiao'yan'liu
柳五儿,liu'wu'er
柳湘莲,liu'xiang'lian
柳叶渚边嗔莺咤燕,liu'ye'zhu'bian'chen'ying'zha'yan
留余庆,liu'yu'qing
栊翠庵,long'cui'an
栊翠庵茶品梅花雪,long'cui'an'cha'pin'mei'hua'xue
隆恩盛德,long'en'sheng'de
龙王来请金陵王,long'wang'lai'qing'jin'ling'wang
龙游曲沼,long'you'qu'zhao
陋室空堂,lou'shi'kong'tang
六安茶,lu'an'cha
鹿车荷锸葬刘伶,lu'che'he'cha'zang'liu'ling
庐结西郊别样幽,lu'jie'xi'jiao'bie'yang'you
陆嵩,lu'song
芦雪庵争联即景诗,lu'xue'an'zheng'lian'ji'jing'shi
芦雪亭,lu'xue'ting
鸾刀昨夜磨秋霜,luan'dao'zuo'ye'mo'qiu'shuang
乱分雌霓连蜷卧,luan'fen'ci'ni'lian'quan'wo
乱烘烘你方唱罢我登场,luan'hong'hong'ni'fang'chang'ba'wo'deng'chang
落了片白茫茫大地真干净,luo'le'pian'bai'mang'mang'da'di'zhen'gan'jing
绿窗风月,lv'chuang'feng'yue
绿纱今又糊在蓬窗上,lv'sha'jin'you'hu'zai'peng'chuang'shang
绿烟锁窗集,lv'yan'suo'chuang'ji
麻屣鹑衣,ma'xi'chun'yi
麦饭,mai'fan
麦饭豆羹,mai'fan'dou'geng
麦饭啼鹃认故丘,mai'fan'ti'juan'ren'gu'qiu
卖画钱来付酒家,mai'hua'qian'lai'fu'jiu'jia
埋香冢飞燕泣残红,mai'xiang'zhong'fei'yan'qi'can'hong
满把晴光护玉栏,man'ba'qing'guang'hu'yu'lan
满额鹅黄,man'e'e'huang
满径蓬蒿老不华,man'jing'peng'hao'lao'bu'hua
馒头庵,man'tou'an
瞒消息凤姐设奇谋,man'xiao'xi'feng'jie'she'qi'mou
漫言不肖皆荣出,man'yan'bu'xiao'jie'rong'chu
谩言红袖啼痕重,man'yan'hong'xiu'ti'hen'zhong
满园榆柳飞苍黄,man'yuan'yu'liu'fei'cang'huang
满纸,man'zhi
满纸荒唐言,man'zhi'huang'tang'yan
满纸喁喁语不休,man'zhi'yu'yu'yu'bu'xiu
鋩鋩,mang'mang
茅椽蓬牖,mao'chuan'peng'you
懋斋诗,mao'zhai'shi
懋斋诗钞,mao'zhai'shi'chao
美彼之态度兮,mei'bi'zhi'tai'du'xi
每出,mei'chu
每多将种,mei'duo'jiang'zhong
玫瑰花,mei'gui'hua
玫瑰露,mei'gui'lu
玫瑰露引来茯苓霜,mei'gui'lu'yin'lai'fu'ling'shuang
妹头,mei'tou
妹坨,mei'tuo
美香菱屈受贪夫棒,mei'xiang'ling'qu'shou'tan'fu'bang
美优伶斩情归水月,mei'you'ling'zhan'qing'gui'shui'yue
昧真禅雨村空遇旧,mei'zhen'chan'yu'cun'kong'yu'jiu
美中不足,mei'zhong'bu'zu
美中不足今方信,mei'zhong'bu'zu'jin'fang'xin
闷来时敛额,men'lai'shi'lian'e
门外山川供绘画,men'wai'shan'chuan'gong'hui'hua
门子,men'zi
蒙侧,meng'ce
蒙府本,meng'fu'ben
梦稿本,meng'gao'ben
梦魂多个帐儿纱,meng'hun'duo'ge'zhang'er'sha
蒙茫茫大士,meng'mang'mang'da'shi
蒙挑外差实可怕,meng'tiao'wai'cha'shi'ke'pa
梦序本,meng'xu'ben
米颠,mi'dian
觅那情淡天和,mi'na'qing'dan'tian'he
蜜青果,mi'qing'guo
觅情果,mi'qing'guo
妙笔妙人,miao'bi'miao'ren
渺渺真人,miao'miao'zhen'ren
妙心妙口,miao'xin'miao'kou
妙玉,miao'yu
妙玉判词,miao'yu'pan'ci
敏探春兴利除宿弊,min'tan'chun'xing'li'chu'su'bi
明代即已废,ming'dai'ji'yi'fei
明日相看笑不休,ming'ri'xiang'kan'xiao'bu'xiu
明我斋,ming'wo'zhai
明我斋读而羡之,ming'wo'zhai'du'er'xian'zhi
明修栈道,ming'xiu'zhan'dao
茗烟,ming'yan
名延福,ming'yan'fu
命已还,ming'yi'huan
明义字我斋,ming'yi'zi'wo'zhai
名霑,ming'zhan
茉莉粉,mo'li'fen
茉莉粉替去蔷薇硝,mo'li'fen'ti'qu'qiang'wei'xiao
磨麦合皮而炊之,mo'mai'he'pi'er'chui'zhi
莫牵连,mo'qian'lian
莫问金姻与玉缘,mo'wen'jin'yin'yu'yu'yuan
莫效此儿形状,mo'xiao'ci'er'xing'zhuang
墨雨,mo'yu
谋虚逐妄,mou'xu'zhu'wang
牡丹亭艳曲警芳心,mu'dan'ting'yan'qu'jing'fang'xin
沐皇恩贾家延世泽,mu'huang'en'jia'jia'yan'shi'ze
木石因果,mu'shi'yin'guo
慕雅女雅集苦吟诗,mu'ya'nv'ya'ji'ku'yin'shi
那管世人诽谤,na'guan'shi'ren'fei'bang
那美韶华去之何迅,na'mei'shao'hua'qu'zhi'he'xun
那知自己归来丧,na'zhi'zi'ji'gui'lai'sang
乃密疏荐陈,nai'mi'shu'jian'chen
乃织造成公之子啸崖所作,nai'zhi'zao'cheng'gong'zhi'zi'xiao'ya'suo'zuo
南北九宫,nan'bei'jiu'gong
南朝诗人谢灵运有,nan'chao'shi'ren'xie'ling'yun'you
难得双兼,nan'de'shuang'jian
男人是泥作的骨肉,nan'ren'shi'ni'zuo'de'gu'rou
闹闺阃薛宝钗吞声,nao'gui'kun'xue'bao'chai'tun'sheng
内圣外王,nei'sheng'wai'wang
嫩寒锁梦因春冷,nen'han'suo'meng'yin'chun'leng
你道是啖肉食腥膻,ni'dao'shi'dan'rou'shi'xing'shan
年来聚散感浮云,nian'lai'ju'san'gan'fu'yun
年年风雨荒台畔,nian'nian'feng'yu'huang'tai'pan
粘皮带骨之气相,nian'pi'dai'gu'zhi'qi'xiang
年未五旬而卒,nian'wei'wu'xun'er'zu
念咒书符,nian'zhou'shu'fu
鸟惊庭树,niao'jing'ting'shu
孽海情天对联,nie'hai'qing'tian'dui'lian
宁府对联,ning'fu'dui'lian
宁国府,ning'guo'fu
宁国府除夕祭宗祠,ning'guo'fu'chu'xi'ji'zong'ci
宁国府骨肉病灾襟,ning'guo'fu'gu'rou'bing'zai'jin
牛鬼遗文悲李贺,niu'gui'yi'wen'bei'li'he
农家粗食,nong'jia'cu'shi
弄小巧用借剑杀人,nong'xiao'qiao'yong'jie'jian'sha'ren
奴去也,nu'qu'ye
暖香坞,nuan'xiang'wu
暖香坞雅制春灯谜,nuan'xiang'wu'ya'zhi'chun'deng'mi
懦弱迎春肠回九曲,nuo'ruo'ying'chun'chang'hui'jiu'qu
搦湘管姊弟裁题咏,nuo'xiang'guan'zi'di'cai'ti'yong
懦小姐不问累金凤,nuo'xiao'jie'bu'wen'lei'jin'feng
女儿是水作的骨肉,nv'er'shi'shui'zuo'de'gu'rou
女娲,nv'wa
藕官,ou'guan
偶过明君琳养石轩,ou'guo'ming'jun'lin'yang'shi'xuan
偶录锦帆泾,ou'lu'jin'fan'jing
偶录于抗风轩之南,ou'lu'yu'kang'feng'xuan'zhi'nan
藕香榭,ou'xiang'xie
偶因济刘氏,ou'yin'ji'liu'shi
偶因一着错,ou'yin'yi'zhao'cuo
怕见春归人易老,pa'jian'chun'gui'ren'yi'lao
徘徊池上兮,pai'huai'chi'shang'xi
判冤决狱平儿情权,pan'yuan'jue'yu'ping'er'qing'quan
判冤决狱平儿行权,pan'yuan'jue'yu'ping'er'xing'quan
佩刀质酒饮,pei'dao'zhi'jiu'yin
蓬门今始为君开,peng'men'jin'shi'wei'jun'kai
披凤袄,pi'feng'ao
琵琶记传奇,pi'pa'ji'chuan'qi
披阅十载,pi'yue'shi'zai
贫贱骨肉亦途人,pin'jian'gu'rou'yi'tu'ren
颦颦宝玉两情痴,pin'pin'bao'yu'liang'qing'chi
贫穷难耐凄凉,pin'qiong'nan'nai'qi'liang
频添一段愁,pin'tian'yi'duan'chou
凭吊无端频怅望,ping'diao'wu'duan'pin'chang'wang
平儿,ping'er
