阿布里内斯,a'bu'li'nei'si
保罗,bao'luo
保罗皮尔斯,bao'luo'pi'er'si
保罗齐普泽,bao'luo'qi'pu'ze
保罗乔治,bao'luo'qiao'zhi
鲍威尔,bao'wei'er
贝尔坦斯,bei'er'tan'si
贝弗利,bei'fu'li
贝勒斯,bei'le'si
贝里内利,bei'li'nei'li
本布里,ben'bu'li
本德尔,ben'de'er
本诺,ben'nuo
本西蒙斯,ben'xi'meng'si
比斯利,bi'si'li
俾斯麦比永博,bi'si'mai'bi'yong'bo
别利察,bie'li'cha
博班,bo'ban
波蒂斯,bo'di'si
波尔津吉斯,bo'er'jin'ji'si
伯克斯,bo'ke'si
波普,bo'pu
波什,bo'shen
波士顿,bo'shi'dun
波特兰开拓者,bo'te'lan'kai'tuo'zhe
博扬,bo'yang
波伊思雷斯,bo'yi'si'lei'si
布拉德利,bu'la'de'li
布莱恩罗伯茨,bu'lai'en'luo'bo'ci
布莱斯,bu'lai'si
布赖斯,bu'lai'si
布莱索,bu'lai'suo
布兰登,bu'lan'deng
布兰登巴斯,bu'lan'deng'ba'si
布兰登拉什,bu'lan'deng'la'shi
布兰登莱特,bu'lan'deng'lai'te
布兰登詹宁斯,bu'lan'deng'zhan'ning'si
布兰顿,bu'lan'dun
布兰顿奈特,bu'lan'dun'nai'te
布兰顿詹宁斯,bu'lan'dun'zhan'ning'si
布雷克,bu'lei'ke
布里安特,bu'li'an'te
布林福布斯,bu'lin'fu'bu'si
布鲁克,bu'lu'ke
布鲁克林,bu'lu'ke'lin
布鲁克林篮网,bu'lu'ke'lin'lan'wang
布鲁克斯,bu'lu'ke'si
布鲁西诺,bu'lu'xi'nuo
布罗格登,bu'luo'ge'deng
步行者,bu'xing'zhe
慈世平,ci'shi'ping
达德利,da'de'li
大加索尔,da'jia'suo'er
达拉斯小牛,da'la'si'xiao'niu
达雷尔亚瑟,da'lei'er'ya'se
达伦希尔拉德,da'lun'xi'er'la'de
达米安琼斯,da'mi'an'qiong'si
达米恩,da'mi'en
大鸟伯德,da'niao'bo'de
大卫李,da'wei'li
大卫努瓦巴,da'wei'nu'wa'ba
大卫韦斯特,da'wei'wei'si'te
戴德蒙,dai'de'meng
戴蒙德斯通,dai'meng'de'si'tong
戴维斯,dai'wei'si
丹佛掘金队,dan'fo'jue'jin'dui
丹尼尔奥谢富,dan'ni'er'ao'xie'fu
丹尼尔斯,dan'ni'er'si
丹尼格林,dan'ni'ge'lin
道格,dao'ge
德安德烈乔丹,de'an'de'lie'qiao'dan
德安德鲁,de'an'de'lu
德安吉洛,de'an'ji'luo
德怀特,de'huai'te
德怀特霍华德,de'huai'te'huo'hua'de
德克,de'ke
德克尔,de'ke'er
德拉,de'la
德拉蒙德,de'la'meng'de
德拉维多瓦,de'la'wei'duo'wa
德莱尼,de'lai'ni
德雷蒙德,de'lei'meng'de
德里克,de'li'ke
德里克罗斯,de'li'ke'luo'si
德隆,de'long
德隆莱特,de'long'lai'te
德罗赞,de'luo'zan
德马雷卡罗尔,de'ma'lei'ka'luo'er
德米特里厄斯,de'mi'te'li'e'si
德文布克,de'wen'bu'ke
德文哈里斯,de'wen'ha'li'si
德扬泰,de'yang'tai
德章泰,de'zhang'tai
邓恩,deng'en
邓台琼斯,deng'tai'qiong'si
迪昂,di'ang
迪昂维特斯,di'ang'wei'te'si
迪奥,di'ao
蒂姆弗雷泽,di'mu'fu'lei'ze
蒂姆哈达威,di'mu'ha'da'wei
蒂姆夸特曼,di'mu'kua'te'man
帝师,di'shi
底特律,di'te'lv
底特律活塞,di'te'lv'huo'sai
丁维迪,ding'wei'di
多伦多猛龙,duo'lun'duo'meng'long
多纳塔斯,duo'na'ta'si
俄克拉荷马城,e'ke'la'he'ma'cheng
恩比德,en'bi'de
恩尼斯,en'ni'si
法里德,fa'li'de
范弗利特,fan'fu'li'te
费尔顿,fei'er'dun
费利西奥,fei'li'xi'ao
菲尼克斯,fei'ni'ke'si
费斯图斯,fei'si'tu'si
费沃斯,fei'wo'si
菲兹戴尔,fei'zi'dai'er
芬尼史密斯,fen'ni'shi'mi'si
弗雷德,fu'lei'de
盖伊,gai'yi
戈贝尔,ge'bei'er
戈登,ge'deng
戈尔吉,ge'er'ji
格拉汉姆,ge'la'han'mu
戈兰德拉季奇,ge'lan'de'la'ji'qi
格兰特,ge'lan'te
格里芬,ge'li'fen
格林,ge'lin
戈塔特,ge'ta'te
古德温,gu'de'wen
国王,guo'wang
国王队,guo'wang'dui
哈登,ha'deng
哈克利斯,ha'ke'li'si
哈雷尔,ha'lei'er
哈里森,ha'li'sen
哈蒙斯,ha'meng'si
哈斯勒姆,ha'si'le'mu
海沃德,hai'wo'de
海佐尼亚,hai'zuo'ni'ya
汉密尔顿,han'mi'er'dun
赫佐尼亚,he'zuo'ni'ya
亨弗里斯,heng'fu'li'si
亨利埃伦森,heng'li'ai'lun'sen
胡德,hu'de
湖人,hu'ren
胡斯蒂斯,hu'si'di'si
华盛顿奇才,hua'sheng'dun'qi'cai
怀特海德,huai'te'hai'de
怀特塞德,huai'te'sai'de
黄蜂,huang'feng
灰熊,hui'xiong
霍华德,huo'hua'de
霍勒迪,huo'le'di
活塞,huo'sai
霍伊斯,huo'yi'si
吉布森,ji'bu'sen
基尔帕特里克,ji'er'pa'te'li'ke
吉列尔莫,ji'lie'er'mo
吉诺比利,ji'nuo'bi'li
贾巴尔,jia'ba'er
贾巴里,jia'ba'li
加莱特,jia'lai'te
贾雷尔马丁,jia'lei'er'ma'ding
加里哈里斯,jia'li'ha'li'si
加里纳利,jia'li'na'li
加里诺,jia'li'nuo
加里佩顿二世,jia'li'pei'dun'er'shi
贾罗德,jia'luo'de
加洛韦,jia'luo'wei
贾马尔,jia'ma'er
贾马尔穆雷,jia'ma'er'mu'lei
贾马尔尼尔森,jia'ma'er'ni'er'sen
贾森史密斯,jia'sen'shi'mi'si
贾森特里,jia'sen'te'li
贾斯汀安德森,jia'si'ting'an'de'sen
加索尔,jia'suo'er
贾伊克劳德,jia'yi'ke'lao'de
杰夫蒂格,jie'fu'di'ge
杰夫格林,jie'fu'ge'lin
杰弗森,jie'fu'sen
杰夫维希,jie'fu'wei'xi
杰克莱曼,jie'ke'lai'man
杰拉德,jie'la'de
杰拉德格林,jie'la'de'ge'lin
杰拉米,jie'la'mi
杰雷布科,jie'lei'bu'ke
杰里安,jie'li'an
杰林布朗,jie'lin'bu'lang
杰迈克尔格林,jie'mai'ke'er'ge'lin
金州勇士队,jin'zhou'yong'shi'dui
爵士,jue'shi
卡波科洛,ka'bo'ke'luo
卡尔德隆,ka'er'de'long
卡里斯,ka'li'si
喀麦隆王子,ka'mai'long'wang'zi
卡明斯基,ka'ming'si'ji
卡佩拉,ka'pei'la
卡斯比,ka'si'bi
卡特威廉姆斯,ka'te'wei'lian'mu'si
卡温顿,ka'wen'dun
凯尔安德森,kai'er'an'de'sen
凯尔奥奎因,kai'er'ao'kui'yin
凯尔科沃尔,kai'er'ke'wo'er
凯尔洛瑞,kai'er'luo'rui
凯尔欧文,kai'er'ou'wen
凯尔特人,kai'er'te'ren
凯尔维尔彻,kai'er'wei'er'che
凯尔辛格勒,kai'er'xin'ge'le
凯菲尔德,kai'fei'er'de
凯文杜兰特,kai'wen'du'lan'te
凯文乐福,kai'wen'le'fu
凯文卢尼,kai'wen'lu'ni
坎特,kan'te
康宁汉姆,kang'ning'han'mu
康特尼李,kang'te'ni'li
考利斯坦,kao'li'si'tan
考辛斯,kao'xin'si
科比,ke'bi
科比布莱恩特,ke'bi'bu'lai'en'te
科迪泽勒,ke'di'ze'le
科尔,ke'er
科怀,ke'huai
科怀伦纳德,ke'huai'lun'na'de
克莱汤普森,ke'lai'tang'pu'sen
克劳福德,ke'lao'fu'de
科里布鲁尔,ke'li'bu'lu'er
克利夫兰,ke'li'fu'lan
科里森,ke'li'sen
克里斯,ke'li'si
克里斯保罗,ke'li'si'bao'luo
克里斯邓恩,ke'li'si'deng'en
克里斯蒂亚诺,ke'li'si'di'ya'nuo
克里斯顿,ke'li'si'dun
克里斯马斯,ke'li'si'ma'si
科里约瑟夫,ke'li'yue'se'fu
肯巴沃克,ken'ba'wo'ke
肯特贝兹莫尔,ken'te'bei'zi'mo'er
库佛斯,ku'fo'si
库兹明斯卡斯,ku'zi'ming'si'ka'si
快船,kuai'chuan
奎因库克,kui'yin'ku'ke
昆西阿希,kun'xi'a'xi
拉比西埃,la'bi'xi'ai
拉基姆,la'ji'mu
拉马库斯,la'ma'ku'si
拉塞尔,la'sai'er
拉沙德沃恩,la'sha'de'wo'en
拉沃伊,la'wo'yi
莱恩,lai'en
莱恩安德森,lai'en'an'de'sen
莱恩凯利,lai'en'kai'li
莱尔斯,lai'er'si
兰德尔,lan'de'er
兰登马绍尔,lan'deng'ma'shao'er
兰迪弗耶,lan'di'fu'ye
兰姆,lan'mu
兰斯顿,lan'si'dun
兰斯托马斯,lan'si'tuo'ma'si
篮网,lan'wang
朗戴,lang'dai
劳尔内托,lao'er'nei'tuo
老鹰队,lao'ying'dui
勒布朗,le'bu'lang
勒夫特,le'fu'te
雷阿伦,lei'a'lun
雷迪克,lei'di'ke
雷吉布洛克,lei'ji'bu'luo'ke
雷吉杰克逊,lei'ji'jie'ke'xun
雷蒙塞申斯,lei'meng'sai'shen'si
雷霆,lei'ting
理查德森,li'cha'de'sen
理查恩霍姆斯,li'cha'en'huo'mu'si
里弗斯,li'fu'si
里基卢比奥,li'ji'lu'bi'ao
利金斯,li'jin'si
利拉德,li'la'de
利文斯顿,li'wen'si'dun
林来疯,lin'lai'feng
林书豪,lin'shu'hao
隆多,long'duo
鲁德兹,lu'de'zi
鲁迪,lu'di
卢克巴比特,lu'ke'ba'bi'te
卢克巴莫特,lu'ke'ba'mo'te
鲁瓦乌,lu'wa'wu
路威廉姆斯,lu'wei'lian'mu'si
伦纳德,lun'na'de
罗宾洛佩兹,luo'bin'luo'pei'zi
罗德里格斯,luo'de'li'ge'si
罗恩贝克,luo'en'bei'ke
罗尔邓,luo'er'deng
罗尼普莱斯,luo'ni'pu'lai'si
洛佩斯,luo'pei'si
洛杉矶湖人,luo'shan'ji'hu'ren
洛杉矶快船,luo'shan'ji'kuai'chuan
罗伊希伯特,luo'yi'xi'bo'te
马刺,ma'ci
马刺队,ma'ci'dui
马尔科姆,ma'er'ke'mu
马基夫,ma'ji'fu
马克加索尔,ma'ke'jia'suo'er
马库斯,ma'ku'si
马奎斯,ma'kui'si
马拉奇,ma'la'qi
马努,ma'nu
马绍尔,ma'shao'er
马特巴恩斯,ma'te'ba'en'si
马文,ma'wen
马辛米,ma'xin'mi
马修斯,ma'xiu'si
马扬诺维奇,ma'yang'nuo'wei'qi
迈阿密热火,mai'a'mi're'huo
迈尔斯,mai'er'si
迈尔斯特纳,mai'er'si'te'na
麦格鲁德,mai'ge'lu'de
麦基,mai'ji
麦卡杜,mai'ka'du
麦卡洛,mai'ka'luo
麦康奈尔,mai'kang'nai'er
麦考,mai'kao
迈克德莫特,mai'ke'de'mo'te
迈克邓利维,mai'ke'deng'li'wei
迈克尔贝纳杰,mai'ke'er'bei'na'jie
迈克尔基德,mai'ke'er'ji'de
迈克康利,mai'ke'kang'li
麦克莱伦,mai'ke'lai'lun
麦克莱默,mai'ke'lai'mo
迈克勒姆,mai'ke'le'mu
麦克罗伯茨,mai'ke'luo'bo'ci
迈克米勒,mai'ke'mi'le
曼巴精神,man'ba'jing'shen
曼尼哈里斯,man'ni'ha'li'si
梅森普拉姆利,mei'sen'pu'la'mu'li
梅耶斯,mei'ye'si
门罗,men'luo
孟菲斯灰熊,meng'fei'si'hui'xiong
猛龙,meng'long
蒙塔埃利斯,meng'ta'ai'li'si
米德尔顿,mi'de'er'dun
米尔萨普,mi'er'sa'pu
米尔斯,mi'er'si
密尔沃基,mi'er'wo'ji
米罗蒂奇,mi'luo'di'qi
明尼苏达,ming'ni'su'da
默里,mo'li
莫里斯,mo'li'si
莫里斯恩多尔,mo'li'si'en'duo'er
莫罗,mo'luo
魔术,mo'shu
魔术师约翰逊,mo'shu'shi'yue'han'xun
莫泰,mo'tai
莫兹戈夫,mo'zi'ge'fu
穆迪埃,mu'di'ai
穆斯卡拉,mu'si'ka'la
内内,nei'nei
内皮尔,nei'pi'er
内托,nei'tuo
尼克尔森,ni'ke'er'sen
尼克斯,ni'ke'si
尼克杨,ni'ke'yang
纽约尼克斯队,niu'yue'ni'ke'si'dui
浓眉哥,nong'mei'ge
努尔基奇,nu'er'ji'qi
诺阿冯莱,nuo'a'feng'lai
诺尔,nuo'er
诺奎拉,nuo'kui'la
诺里斯,nuo'li'si
诺维茨基,nuo'wei'ci'ji
欧努阿库,ou'nu'a'ku
欧文,ou'wen
帕楚里亚,pa'chu'li'ya
帕克,pa'ke
帕帕扬尼斯,pa'pa'yang'ni'si
帕特康诺顿,pa'te'kang'nuo'dun
帕特森,pa'te'sen
潘大福,pan'da'fu
庞德塞特,pang'de'sai'te
佩顿,pei'dun
佩恩,pei'en
佩科维奇,pei'ke'wei'qi
珀尔特尔,po'er'te'er
普拉姆利,pu'la'mu'li
普林斯,pu'lin'si
奇才,qi'cai
齐默尔曼,qi'mo'er'man
骑士,qi'shi
钱德勒,qian'de'le
钱德勒帕森斯,qian'de'le'pa'sen'si
钱宁弗莱,qian'ning'fu'lai
乔丹,qiao'dan
乔丹克拉克森,qiao'dan'ke'la'ke'sen
乔丹米奇,qiao'dan'mi'qi
乔丹希尔,qiao'dan'xi'er
乔恩洛伊尔,qiao'en'luo'yi'er
乔尔安东尼,qiao'er'an'dong'ni
乔尔博伦博伊,qiao'er'bo'lun'bo'yi
乔弗里洛韦尔,qiao'fu'li'luo'wei'er
乔哈里斯,qiao'ha'li'si
乔金诺阿,qiao'jin'nuo'a
乔纳森,qiao'na'sen
乔杨,qiao'yang
乔约翰逊,qiao'yue'han'xun
乔治亨特,qiao'zhi'heng'te
乔治尼昂,qiao'zhi'ni'ang
乔治斯,qiao'zhi'si
乔治希尔,qiao'zhi'xi'er
热火,re'huo
萨博尼斯,sa'bo'ni'si
萨克拉门托,sa'ke'la'men'tuo
萨拉梅吉里,sa'la'mei'ji'li
赛迪斯杨,sai'di'si'yang
塞弗罗萨,sai'fu'luo'sa
塞拉芬,sai'la'fen
塞斯库里,sai'si'ku'li
森林狼,sen'lin'lang
沙巴兹,sha'ba'zi
沙里奇,sha'li'qi
沙松兰德尔,sha'song'lan'de'er
圣安东尼奥,sheng'an'dong'ni'ao
史蒂芬森,shi'di'fen'sen
史蒂文亚当斯,shi'di'wen'ya'dang'si
施罗德,shi'luo'de
史密斯,shi'mi'si
斯贝茨,si'bei'ci
斯宾塞,si'bin'sai
斯蒂芬库里,si'di'fen'ku'li
斯玛特,si'ma'te
斯内尔,si'nei'er
斯普利特,si'pu'li'te
斯坦利,si'tan'li
斯陶斯卡斯,si'tao'si'ka'si
索恩马克,suo'en'ma'ke
所罗门希尔,suo'luo'men'xi'er
塔克,ta'ke
塔里克布莱克,ta'li'ke'bu'lai'ke
塔瓦雷斯,ta'wa'lei'si
泰尔斯琼斯,tai'er'si'qiong'si
泰劳森,tai'lao'sen
泰勒,tai'le
泰勒恩尼斯,tai'le'en'ni'si
泰勒托维奇,tai'le'tuo'wei'qi
泰勒尤利斯,tai'le'you'li'si
泰勒约翰逊,tai'le'yue'han'xun
泰勒泽勒,tai'le'ze'le
泰森,tai'sen
太阳,tai'yang
太阳队,tai'yang'dui
坦普尔,tan'pu'er
弹跳之王,tan'tiao'zhi'wang
唐佩恩,tang'pei'en
汤普森,tang'pu'sen
唐斯,tang'si
特雷伯克,te'lei'bo'ke
特雷沃布克,te'lei'wo'bu'ke
特雷沃恩,te'lei'wo'en
特里洛奇尔,te'li'luo'qi'er
特里沃,te'li'wo
特伦斯罗斯,te'lun'si'luo'si
特洛伊,te'luo'yi
鹈鹕,ti'hu
天勾,tian'gou
甜瓜安东尼,tian'gua'an'dong'ni
托拜厄斯,tuo'bai'e'si
托马什,tuo'ma'shen
托马斯罗宾逊,tuo'ma'si'luo'bin'xun
托尼艾伦,tuo'ni'ai'lun
托尼帕克,tuo'ni'pa'ke
瓦兰丘纳斯,wa'lan'qiu'na'si
瓦伦丁,wa'lun'ding
韦德,wei'de
维恩艾灵顿,wei'en'ai'ling'dun
韦恩塞尔登,wei'en'sai'er'deng
威尔巴顿,wei'er'ba'dun
威尔森钱德勒,wei'er'sen'qian'de'le
威金斯,wei'jin'si
威利里德,wei'li'li'de
威廉姆斯,wei'lian'mu'si
威少,wei'shao
韦少,wei'shao
威斯布鲁克,wei'si'bu'lu'ke
韦斯利约翰逊,wei'si'li'yue'han'xun
韦斯特,wei'si'te
维特斯,wei'te'si
文斯卡特,wen'si'ka'te
温斯洛,wen'si'luo
沃伦,wo'lun
沃特森,wo'te'sen
乌布雷,wu'bu'lei
伍德,wu'de
武贾西奇,wu'jia'xi'qi
武切维奇,wu'qie'wei'qi
希尔,xi'er
西蒙斯,xi'meng'si
西亚卡姆,xi'ya'ka'mu
夏洛特黄蜂,xia'luo'te'huang'feng
小德里克琼斯,xiao'de'li'ke'qiong'si
小杜兰特,xiao'du'lan'te
肖恩朗,xiao'en'lang
小狗罗宾逊,xiao'gou'luo'bin'xun
小拉里南斯,xiao'la'li'nan'si
小里弗斯,xiao'li'fu'si
小隆多,xiao'long'duo
效率狂魔,xiao'lv'kuang'mo
小南斯,xiao'nan'si
小牛,xiao'niu
小佩顿,xiao'pei'dun
小托马斯,xiao'tuo'ma'si
谢尔登,xie'er'deng
谢尔登麦克,xie'er'deng'mai'ke
谢尔文,xie'er'wen
谢赫迪亚洛,xie'he'di'ya'luo
新奥尔良,xin'ao'er'liang
雄鹿,xiong'lu
熊猫之友,xiong'mao'zhi'you
休斯顿火箭,xiu'si'dun'huo'jian
亚历克,ya'li'ke
亚历克斯,ya'li'ke'si
亚特兰大,ya'te'lan'da
亚特兰大老鹰队,ya'te'lan'da'lao'ying'dui
扬尼斯,yang'ni'si
野兽,ye'shou
伊安马辛米,yi'an'ma'xin'mi
伊巴卡,yi'ba'ka
伊恩克拉克,yi'en'ke'la'ke
伊戈达拉,yi'ge'da'la
伊利亚索瓦,yi'li'ya'suo'wa
伊曼香珀特,yi'man'xiang'po'te
伊内斯,yi'nei'si
以赛亚迦南,yi'sai'ya'jia'nan
以赛亚泰勒,yi'sai'ya'tai'le
伊斯梅尔,yi'si'mei'er
伊托万,yi'tuo'wan
伊泽利,yi'ze'li
印第安纳,yin'di'an'na
英格尔斯,ying'ge'er'si
英格拉姆,ying'ge'la'mu
尤德里,you'de'li
尤吉费雷尔,you'ji'fei'lei'er
犹他爵士队,you'ta'jue'shi'dui
约迪米克斯,yue'di'mi'ke'si
约翰汉森,yue'han'han'sen
约翰沃尔,yue'han'wo'er
约翰逊,yue'han'xun
约基奇,yue'ji'qi
约什,yue'shi
约什理查德森,yue'shi'li'cha'de'sen
扎克拉文,zha'ke'la'wen
扎克兰多夫,zha'ke'lan'duo'fu
扎扎,zha'zha
詹皇,zhan'huang
詹姆斯,zhan'mu'si
詹姆斯哈登,zhan'mu'si'ha'deng
詹姆斯琼斯,zhan'mu'si'qiong'si
詹姆斯杨,zhan'mu'si'yang
詹姆斯约翰逊,zhan'mu'si'yue'han'xun
詹宁斯,zhan'ning'si
芝加哥公牛,zhi'jia'ge'gong'niu
中国弩,zhong'guo'nu
状元西蒙斯,zhuang'yuan'xi'meng'si
祖巴茨,zu'ba'ci
