暗撑,an'cheng
单桩承载力特征值,dan'zhuang'cheng'zai'li'te'zheng'zhi
档板式遮阳,dang'ban'shi'zhe'yang
档距,dang'ju
挡墙,dang'qiang
挡数,dang'shu
挡水墙,dang'shui'qiang
挡土墙,dang'tu'qiang
倒槽式拱,dao'cao'shi'gong
导电材料,dao'dian'cai'liao
导管,dao'guan
导轨,dao'gui
导荷载,dao'he'zai
导流墙,dao'liu'qiang
倒楼盖,dao'lou'gai
倒楼盖模型,dao'lou'gai'mo'xing
导墙,dao'qiang
导温系数,dao'wen'xi'shu
导线,dao'xian
灯槽,deng'cao
等电位,deng'dian'wei
等电位联结安装,deng'dian'wei'lian'jie'an'zhuang
等高线,deng'gao'xian
灯光渡桥,deng'guang'du'qiao
灯光系统,deng'guang'xi'tong
灯光信号,deng'guang'xin'hao
灯光指示器,deng'guang'zhi'shi'qi
等候室,deng'hou'shi
等截面,deng'jie'mian
灯具亮度限制曲线,deng'ju'liang'du'xian'zhi'qu'xian
灯盘,deng'pan
灯塔,deng'ta
灯箱片,deng'xiang'pian
等效吸声面积,deng'xiao'xi'sheng'mian'ji
灯罩,deng'zhao
等照度曲线,deng'zhao'du'qu'xian
灯柱,deng'zhu
灯座,deng'zuo
底板,di'ban
底标高,di'biao'gao
底部加强,di'bu'jia'qiang
底部加强部位,di'bu'jia'qiang'bu'wei
底部加强区,di'bu'jia'qiang'qu
底层,di'ceng
底层平面,di'ceng'ping'mian
地袱,di'fu
地基,di'ji
地基承载力特征值,di'ji'cheng'zai'li'te'zheng'zhi
地基梁,di'ji'liang
地基应力,di'ji'ying'li
地脚,di'jiao
底脚螺栓,di'jiao'luo'shuan
地堪,di'kan
底框,di'kuang
地梁,di'liang
地梁平面布置图,di'liang'ping'mian'bu'zhi'tu
地梁图,di'liang'tu
地垄墙,di'long'qiang
涤纶无纺布,di'lun'wu'fang'bu
地貌,di'mao
地面暗管道,di'mian'an'guan'dao
地面标高,di'mian'biao'gao
地面波化,di'mian'bo'hua
地面插座,di'mian'cha'zuo
地面出线盒,di'mian'chu'xian'he
地面粗糙度,di'mian'cu'cao'du
地面地砖铺砌,di'mian'di'zhuan'pu'qi
地面工程,di'mian'gong'cheng
地面专用插座,di'mian'zhuan'yong'cha'zuo
低频,di'pin
低频变压器,di'pin'bian'ya'qi
低频扬声器,di'pin'yang'sheng'qi
地坪,di'ping
地圈梁,di'quan'liang
滴水,di'shui
滴水兽,di'shui'shou
低水位,di'shui'wei
低水位报警器,di'shui'wei'bao'jing'qi
低水位保险装置,di'shui'wei'bao'xian'zhuang'zhi
滴水线,di'shui'xian
地弹簧,di'tan'huang
地铁规,di'tie'gui
地下防空洞,di'xia'fang'kong'dong
地下辐射,di'xia'fu'she
地下工程,di'xia'gong'cheng
地下工程防水技术规范,di'xia'gong'cheng'fang'shui'ji'shu'gui'fan
地下管道,di'xia'guan'dao
地下管道工程,di'xia'guan'dao'gong'cheng
地下管网,di'xia'guan'wang
地下室,di'xia'shi
地下通道,di'xia'tong'dao
地下通风道,di'xia'tong'feng'dao
地形地貌修正系数,di'xing'di'mao'xiu'zheng'xi'shu
低压保护,di'ya'bao'hu
低压电缆,di'ya'dian'lan
低压电器设备,di'ya'dian'qi'she'bei
低压开关,di'ya'kai'guan
低压开关柜,di'ya'kai'guan'gui
低压钠灯,di'ya'na'deng
低压配电盘,di'ya'pei'dian'pan
地役权,di'yi'quan
地震组合,di'zhen'zu'he
地质资料,di'zhi'zi'liao
地砖,di'zhuan
垫板,dian'ban
电刨,dian'bao
电报局,dian'bao'ju
电表,dian'biao
垫层,dian'ceng
电除尘器,dian'chu'chen'qi
电锤,dian'chui
电磁场控制自动门,dian'ci'chang'kong'zhi'zi'dong'men
电磁定门器,dian'ci'ding'men'qi
电磁铁,dian'ci'tie
电动泵,dian'dong'beng
电动传送机,dian'dong'chuan'song'ji
电动发电机组,dian'dong'fa'dian'ji'zu
电动葫芦,dian'dong'hu'lu
电动卷扬机,dian'dong'juan'yang'ji
电动开门器,dian'dong'kai'men'qi
电动缆车,dian'dong'lan'che
电镀,dian'du
电感器,dian'gan'qi
电工仪表,dian'gong'yi'biao
点光源,dian'guang'yuan
电焊工,dian'han'gong
电焊机,dian'han'ji
电弧焊,dian'hu'han
电话出线口,dian'hua'chu'xian'kou
电话电缆,dian'hua'dian'lan
电话分机,dian'hua'fen'ji
电话分线盒,dian'hua'fen'xian'he
电话组线箱,dian'hua'zu'xian'xiang
电剪刀,dian'jian'dao
电锯,dian'ju
电缆,dian'lan
电缆吊架,dian'lan'diao'jia
电缆敷设,dian'lan'fu'she
电缆沟,dian'lan'gou
电缆管道,dian'lan'guan'dao
电缆架,dian'lan'jia
电缆井,dian'lan'jing
电缆排管,dian'lan'pai'guan
电缆竖井,dian'lan'shu'jing
电缆隧道,dian'lan'sui'dao
电缆箱,dian'lan'xiang
电力变压器,dian'li'bian'ya'qi
电力电缆,dian'li'dian'lan
电力负荷,dian'li'fu'he
电力配电盘,dian'li'pei'dian'pan
电力系统,dian'li'xi'tong
电铃,dian'ling
电铃按钮,dian'ling'an'niu
电铃变压器,dian'ling'bian'ya'qi
电流计,dian'liu'ji
电路图,dian'lu'tu
电路转换开关,dian'lu'zhuan'huan'kai'guan
电能表,dian'neng'biao
电气安装,dian'qi'an'zhuang
电气除尘器,dian'qi'chu'chen'qi
电气出线口,dian'qi'chu'xian'kou
电气工程,dian'qi'gong'cheng
电气化,dian'qi'hua
电气配关,dian'qi'pei'guan
电气设备,dian'qi'she'bei
电气设计,dian'qi'she'ji
电气师,dian'qi'shi
电气竖井,dian'qi'shu'jing
电气图纸,dian'qi'tu'zhi
电气系统,dian'qi'xi'tong
电气照明,dian'qi'zhao'ming
垫铅垫,dian'qian'dian
电热风炉,dian're'feng'lu
电热水器,dian're'shui'qi
电热装置,dian're'zhuang'zhi
电容器,dian'rong'qi
电熔丝,dian'rong'si
电声系统,dian'sheng'xi'tong
电梯安全装置,dian'ti'an'quan'zhuang'zhi
电梯机房,dian'ti'ji'fang
电梯井,dian'ti'jing
电梯井坑,dian'ti'jing'keng
电梯平台,dian'ti'ping'tai
电梯厅,dian'ti'ting
电梯组,dian'ti'zu
电线槽,dian'xian'cao
电线穿管,dian'xian'chuan'guan
电线管,dian'xian'guan
典型,dian'xing
电压,dian'ya
电压表,dian'ya'biao
电源变压器,dian'yuan'bian'ya'qi
电源插座,dian'yuan'cha'zuo
电源点,dian'yuan'dian
电源接地,dian'yuan'jie'di
电源进线柜,dian'yuan'jin'xian'gui
点载,dian'zai
电钟,dian'zhong
电钟插座,dian'zhong'cha'zuo
电钟系统,dian'zhong'xi'tong
电子计算机房,dian'zi'ji'suan'ji'fang
电子吸声器,dian'zi'xi'sheng'qi
电钻,dian'zuan
吊车,diao'che
吊车梁,diao'che'liang
吊灯,diao'deng
吊顶,diao'ding
吊顶面板,diao'ding'mian'ban
吊杆,diao'gan
吊钩,diao'gou
吊钩梁,diao'gou'liang
吊挂,diao'gua
吊挂件,diao'gua'jian
吊管架,diao'guan'jia
吊轨,diao'gui
吊架,diao'jia
掉角,diao'jiao
吊筋,diao'jin
吊幕,diao'mu
吊扇,diao'shan
吊索,diao'suo
吊装,diao'zhuang
吊装夹具,diao'zhuang'jia'ju
叠合池,die'he'chi
叠合式,die'he'shi
叠级造型,die'ji'zao'xing
跌级造型,die'ji'zao'xing
叠石,die'shi
顶板,ding'ban
顶层,ding'ceng
顶椽,ding'chuan
顶灯,ding'deng
定时开关,ding'shi'kai'guan
丁顺隔皮砌式,ding'shun'ge'pi'qi'shi
定向天线,ding'xiang'tian'xian
定向照明,ding'xiang'zhao'ming
定型产品,ding'xing'chan'pin
定型设计,ding'xing'she'ji
定型图,ding'xing'tu
定型详图,ding'xing'xiang'tu
鼎峙铝板,ding'zhi'lv'ban
丁字街,ding'zi'jie
洞边,dong'bian
洞边加筋,dong'bian'jia'jin
洞底,dong'di
洞顶,dong'ding
洞口尺寸,dong'kou'chi'cun
东立面,dong'li'mian
动力时程,dong'li'shi'cheng
动力系数,dong'li'xi'shu
动力吸振器,dong'li'xi'zhen'qi
动力钻,dong'li'zuan
冻深,dong'shen
动态漫游,dong'tai'man'you
冻土,dong'tu
斗底,dou'di
斗耳,dou'er
斗拱,dou'gong
斗口,dou'kou
斗腰,dou'yao
镀铬,du'ge
镀镉,du'ge
镀铬龙头,du'ge'long'tou
独基,du'ji
镀金,du'jin
镀克罗米,du'ke'luo'mi
镀铝,du'lv
镀膜,du'mo
镀镍,du'nie
毒气柜,du'qi'gui
毒气警报,du'qi'jing'bao
镀铅铁板,du'qian'tie'ban
镀铜,du'tong
镀锡,du'xi
镀锡线,du'xi'xian
镀锌扁钢,du'xin'bian'gang
镀锌钢,du'xin'gang
镀锌钢板,du'xin'gang'ban
镀锌钢管,du'xin'gang'guan
镀锌钢筋网,du'xin'gang'jin'wang
镀锌钢丝,du'xin'gang'si
镀锌管,du'xin'guan
都柱,du'zhu
断接卡,duan'jie'ka
短跨,duan'kua
断裂,duan'lie
断路,duan'lu
短路,duan'lu
短路保护,duan'lu'bao'hu
断路器,duan'lu'qi
断面,duan'mian
断面号,duan'mian'hao
断面图,duan'mian'tu
短期刚度,duan'qi'gang'du
短肢,duan'zhi
短肢剪力墙,duan'zhi'jian'li'qiang
短肢墙,duan'zhi'qiang
端支座,duan'zhi'zuo
短柱,duan'zhu
端柱,duan'zhu
端子,duan'zi
端子板,duan'zi'ban
端子排,duan'zi'pai
端子箱,duan'zi'xiang
对称配光型灯具,dui'chen'pei'guang'xing'deng'ju
对接焊缝,dui'jie'han'feng
对景,dui'jing
对流,dui'liu
对流环路,dui'liu'huan'lu
对重,dui'zhong
蹲式大便器,dun'shi'da'bian'qi
多层建筑,duo'ceng'jian'zhu
多点地震,duo'dian'di'zhen
多点多维,duo'dian'duo'wei
柁墩,duo'dun
剁斧石做法,duo'fu'shi'zuo'fa
多孔吸声材料,duo'kong'xi'sheng'cai'liao
多立克柱式,duo'li'ke'zhu'shi
多区域系统,duo'qu'yu'xi'tong
多塔,duo'ta
多维地震,duo'wei'di'zhen
额垫板,e'dian'ban
额定功率,e'ding'gong'lv
额定容量,e'ding'rong'liang
额枋,e'fang
鹅颈椅,e'jing'yi
二泵房,er'beng'fang
二层,er'ceng
二层平面,er'ceng'ping'mian
二沉池,er'chen'chi
二次回路,er'ci'hui'lu
二次原理图,er'ci'yuan'li'tu
二级负荷,er'ji'fu'he
二级钢,er'ji'gang
二阶效应,er'jie'xiao'ying
二类,er'lei
二类场地,er'lei'chang'di
二类环境,er'lei'huan'jing
二四墙,er'si'qiang
二氧化碳,er'yang'hua'tan
二氧化碳灭火器,er'yang'hua'tan'mie'huo'qi
筏板,fa'ban
筏板图,fa'ban'tu
发电机,fa'dian'ji
发电机房,fa'dian'ji'fang
发电机容量,fa'dian'ji'rong'liang
发电机组,fa'dian'ji'zu
发光顶棚,fa'guang'ding'peng
发光开关,fa'guang'kai'guan
发光信号系统,fa'guang'xin'hao'xi'tong
筏基,fa'ji
法兰接头,fa'lan'jie'tou
法兰连接,fa'lan'lian'jie
法兰盘,fa'lan'pan
阀门安装,fa'men'an'zhuang
阀门井,fa'men'jing
法向入射吸声系数,fa'xiang'ru'she'xi'sheng'xi'shu
筏形,fa'xing
泛白,fan'bai
反冲洗,fan'chong'xi
翻窗,fan'chuang
翻斗车,fan'dou'che
帆拱,fan'gong
反光灯,fan'guang'deng
泛光灯,fan'guang'deng
泛光照明,fan'guang'zhao'ming
泛黄发花,fan'huang'fa'hua
范立礎,fan'li'chu
反梁,fan'liang
泛水,fan'shui
反水弯,fan'shui'wan
反弯点,fan'wan'dian
方案设计,fang'an'she'ji
方案图,fang'an'tu
防爆,fang'bao
防爆灯,fang'bao'deng
防爆系统,fang'bao'xi'tong
防爆装甲门,fang'bao'zhuang'jia'men
防潮层,fang'chao'ceng
防潮地下室,fang'chao'di'xia'shi
防潮基础,fang'chao'ji'chu
放大器箱,fang'da'qi'xiang
放大图,fang'da'tu
防盗警报系统,fang'dao'jing'bao'xi'tong
防盗警铃,fang'dao'jing'ling
防盗门,fang'dao'men
防盗设备,fang'dao'she'bei
防冻剂,fang'dong'ji
防腐,fang'fu
防高电位引入,fang'gao'dian'wei'yin'ru
防核尘地下室,fang'he'chen'di'xia'shi
防护密闭门,fang'hu'mi'bi'men
防护设备,fang'hu'she'bei
防护式开关,fang'hu'shi'kai'guan
防护式照明,fang'hu'shi'zhao'ming
防护套,fang'hu'tao
防滑条,fang'hua'tiao
防滑砖,fang'hua'zhuan
放火标准,fang'huo'biao'zhun
防火材料,fang'huo'cai'liao
防火等级,fang'huo'deng'ji
防火分区,fang'huo'fen'qu
防火隔断,fang'huo'ge'duan
防火规范,fang'huo'gui'fan
防火间距,fang'huo'jian'ju
防火建筑,fang'huo'jian'zhu
防火卷帘门,fang'huo'juan'lian'men
方尖碑,fang'jian'bei
房间常数,fang'jian'chang'shu
房间吊顶,fang'jian'diao'ding
防溅型,fang'jian'xing
防静电地面,fang'jing'dian'di'mian
方框图,fang'kuang'tu
防雷,fang'lei
防雷措施,fang'lei'cuo'shi
防雷电感应,fang'lei'dian'gan'ying
防雷击电磁脉冲,fang'lei'ji'dian'ci'mai'chong
防雷类别,fang'lei'lei'bie
方穹顶,fang'qiong'ding
放射式,fang'she'shi
防渗墙,fang'shen'qiang
防水材料,fang'shui'cai'liao
防水层,fang'shui'ceng
防水插座,fang'shui'cha'zuo
防水电气设备,fang'shui'dian'qi'she'bei
防水剂,fang'shui'ji
防水砂浆,fang'shui'sha'jiang
防水涂层,fang'shui'tu'ceng
防水做法,fang'shui'zuo'fa
防松螺栓,fang'song'luo'shuan
枋头,fang'tou
防雾车边境,fang'wu'che'bian'jing
房屋高度,fang'wu'gao'du
房屋建筑,fang'wu'jian'zhu
枋心,fang'xin
防锈处理,fang'xiu'chu'li
防锈漆,fang'xiu'qi
防烟挡板,fang'yan'dang'ban
防烟楼梯,fang'yan'lou'ti
防烟门,fang'yan'men
放样,fang'yang
防雨开关,fang'yu'kai'guan
仿云石,fang'yun'shi
防灾减灾,fang'zai'jian'zai
防直击雷,fang'zhi'ji'lei
方桩,fang'zhuang
