阿达婆吠陀,a'da'po'fei'tuo
乐道歌,le'dao'ge
了凡四训,le'fan'si'xun
了堂惟一禅师语录,le'tang'wei'yi'chan'shi'yu'lu
勒修百丈清规,le'xiu'bai'zhang'qing'gui
了义般若波罗蜜多经,le'yi'bo're'bo'luo'mi'duo'jing
了元歌,le'yuan'ge
楞伽经,leng'jia'jing
楞伽师资记,leng'jia'shi'zi'ji
楞严经,leng'yan'jing
历朝释氏资鉴,li'chao'shi'shi'zi'jian
历代法宝记,li'dai'fa'bao'ji
历代三宝纪,li'dai'san'bao'ji
梨俱吠陀,li'ju'fei'tuo
离六堂集,li'liu'tang'ji
理趣般若经,li'qu'bo're'jing
理趣经,li'qu'jing
立世阿毗昙论,li'shi'a'pi'tan'lun
立正安国论,li'zheng'an'guo'lun
联灯会要,lian'deng'hui'yao
两部大法相承师资付法记,liang'bu'da'fa'xiang'cheng'shi'zi'fu'fa'ji
临济录,lin'ji'lu
林间录,lin'jian'lu
六本宗书,liu'ben'zong'shu
六度集经,liu'du'ji'jing
六经十一论,liu'jing'shi'yi'lun
琉璃宫大史,liu'li'gong'da'shi
六门教授习定论,liu'men'jiao'shou'xi'ding'lun
六妙法门,liu'miao'fa'men
柳塘外集,liu'tang'wai'ji
六学僧传,liu'xue'seng'chuan
六足论,liu'zu'lun
六祖坛经,liu'zu'tan'jing
龙藏,long'cang
龙龛手鉴,long'kan'shou'jian
龙舒净土文,long'shu'jing'tu'wen
龙树菩萨劝诫王颂,long'shu'pu'sa'quan'jie'wang'song
龙喜记,long'xi'ji
隆兴佛教编年通论,long'xing'fo'jiao'bian'nian'tong'lun
庐山莲宗宝鉴,lu'shan'lian'zong'bao'jian
略论安乐净土义,lue'lun'an'le'jing'tu'yi
略释新华严经修行次第决疑论,lue'shi'xin'hua'yan'jing'xiu'xing'ci'di'jue'yi'lun
论事,lun'shi
罗湖野录,luo'hu'ye'lu
罗摩功行录,luo'mo'gong'xing'lu
罗摩衍那,luo'mo'yan'na
洛阳伽蓝记,luo'yang'qie'lan'ji
律藏,lv'cang
律二十二明了论,lv'er'shi'er'ming'liao'lun
律经,lv'jing
曼殊迦佉耶颂,man'shu'jia'qu'ye'song
满州语译大藏经,man'zhou'yu'yi'da'zang'jing
门叶记,men'ye'ji
蒙古源流,meng'gu'yuan'liu
祕藏宝钥,mi'cang'bao'yao
弥勒菩萨所问本愿经,mi'le'pu'sa'suo'wen'ben'yuan'jing
弥勒三经,mi'le'san'jing
祕密集会怛特罗,mi'mi'ji'hui'da'te'luo
弥沙塞部和酰五分律,mi'sha'sai'bu'he'xian'wu'fen'lv
