阿基米德巧计,a'ji'mi'de'qiao'ji
投饵钓鱼,tou'er'diao'yu
偷梁换柱,tou'liang'huan'zhu
退避三舍,tui'bi'san'she
托病取胜,tuo'bing'qu'sheng
望梅止渴,wang'mei'zhi'ke
围城打援,wei'cheng'da'yuan
围师必阙,wei'shi'bi'que
围魏救赵,wei'wei'jiu'zhao
唯圆善转,wei'yuan'shan'zhuan
勿众而轻,wu'zhong'er'qing
无中生有,wu'zhong'sheng'you
先从后图,xian'cong'hou'tu
弦高犒敌,xian'gao'kao'di
陷阱战,xian'jing'zhan
先声夺人,xian'sheng'duo'ren
先声后实,xian'sheng'hou'shi
先斩后奏,xian'zhan'hou'zou
笑里藏刀,xiao'li'cang'dao
信则不欺,xin'ze'bu'qi
袖手旁观,xiu'shou'pang'guan
虚而示实,xu'er'shi'shi
虚而示虚,xu'er'shi'xu
虚晃一枪,xu'huang'yi'qiang
虚实相乱,xu'shi'xiang'luan
虚虚实实,xu'xu'shi'shi
蓄盈待竭,xu'ying'dai'jie
虚张声势,xu'zhang'sheng'shi
悬羊击鼓,xuan'yang'ji'gu
循环浴马,xun'huan'yu'ma
寻机布饵,xun'ji'bu'er
巡游杀将,xun'you'sha'jiang
掩人耳目,yan'ren'er'mu
延误敌时,yan'wu'di'shi
佯败勿从,yang'bai'wu'cong
佯败诱敌,yang'bai'you'di
扬尘惑敌,yang'chen'huo'di
佯动欺敌,yang'dong'qi'di
扬短抑长,yang'duan'yi'chang
阳奉阴违,yang'feng'yin'wei
佯为互市,yang'wei'hu'shi
夜壶阵,ye'hu'zhen
以饱待饥,yi'bao'dai'ji
疑兵退敌,yi'bing'tui'di
以敌借敌,yi'di'jie'di
以攻为守,yi'gong'wei'shou
以攻隐退,yi'gong'yin'tui
以攻制攻,yi'gong'zhi'gong
一鼓作气,yi'gu'zuo'qi
以击解围,yi'ji'jie'wei
以假乱真,yi'jia'luan'zhen
以假致敌,yi'jia'zhi'di
一箭双雕,yi'jian'shuang'diao
以近待远,yi'jin'dai'yuan
以静镇乱,yi'jing'zhen'luan
以利诱敌,yi'li'you'di
逸能劳之,yi'neng'lao'zhi
以怒致敌,yi'nu'zhi'di
以牝诱牡,yi'pin'you'mu
以怯制敌,yi'qie'zhi'di
以弱示强,yi'ruo'shi'qiang
以弱为弱,yi'ruo'wei'ruo
以狮制象,yi'shi'zhi'xiang
以守待攻,yi'shou'dai'gong
异为己用,yi'wei'ji'yong
以威示和,yi'wei'shi'he
以逸待劳,yi'yi'dai'lao
以夷制夷,yi'yi'zhi'yi
以迂为直,yi'yu'wei'zhi
以战代守,yi'zhan'dai'shou
以治待乱,yi'zhi'dai'luan
移帜破敌,yi'zhi'po'di
以重待轻,yi'zhong'dai'qing
易装破敌,yi'zhuang'po'di
因败为胜,yin'bai'wei'sheng
隐兵诱敌,yin'bing'you'di
因地用兵,yin'di'yong'bing
因敌用兵,yin'di'yong'bing
因己用兵,yin'ji'yong'bing
因利间斗,yin'li'jian'dou
引蛇出动,yin'she'chu'dong
因时用兵,yin'shi'yong'bing
因隙间亲,yin'xi'jian'qin
因形用兵,yin'xing'yong'bing
用而示之不用,yong'er'shi'zhi'bu'yong
用鱼退敌,yong'yu'tui'di
有备无患,you'bei'wu'huan
有地不争,you'di'bu'zheng
诱敌深入,you'di'shen'ru
诱敌退军,you'di'tui'jun
欲救故打,yu'jiu'gu'da
浴马于津,yu'ma'yu'jin
鱼目混珠,yu'mu'hun'zhu
欲退先攻,yu'tui'xian'gong
远而示之近,yuan'er'shi'zhi'jin
远交近攻,yuan'jiao'jin'gong
约军愚敌,yue'jun'yu'di
凿凌埋车,zao'ling'mai'che
诈败诱敌,zha'bai'you'di
诈降懈敌,zha'xiang'xie'di
诈降真迎,zha'xiang'zhen'ying
扎寨泄军机,zha'zhai'xie'jun'ji
张冠李戴,zhang'guan'li'dai
张机设阱,zhang'ji'she'jing
招降纳叛,zhao'xiang'na'pan
钲声破敌,zheng'sheng'po'di
掷宝突围,zhi'bao'tu'wei
致而掩之,zhi'er'yan'zhi
知难而退,zhi'nan'er'tui
智破伏兵,zhi'po'fu'bing
致人而不致于人,zhi'ren'er'bu'zhi'yu'ren
知人选将,zhi'ren'xuan'jiang
智勇兼备,zhi'yong'jian'bei
置之死地而后生,zhi'zhi'si'di'er'hou'sheng
众而形似寡,zhong'er'xing'si'gua
筑城骗敌,zhu'cheng'pian'di
诛大赏小,zhu'da'shang'xiao
自伤诱敌,zi'shang'you'di
走为上,zou'wei'shang
罪人死士,zui'ren'si'shi
坐享其利,zuo'xiang'qi'li
左右开弓,zuo'you'kai'gong
左右掩击,zuo'you'yan'ji
