艾蒿,ai'hao
浮球藻,fu'qiu'zao
扶桑,fu'sang
腹水草,fu'shui'cao
杠板归,gang'ban'gui
钢柱,gang'zhu
高节竹,gao'jie'zhu
高梁泡,gao'liang'pao
葛藟,ge'lei
构骨,gou'gu
狗脊蕨,gou'ji'jue
构橘,gou'ju
钩距虾脊兰,gou'ju'xia'ji'lan
构栲,gou'kao
枸杞,gou'qi
构树,gou'shu
钩藤,gou'teng
狗尾草,gou'wei'cao
狗牙根,gou'ya'gen
牯岑藜芦,gu'cen'li'lu
谷精草,gu'jing'cao
谷精草科,gu'jing'cao'ke
牯岭勾儿茶,gu'ling'gou'er'cha
牯岭野豌豆,gu'ling'ye'wan'dou
鼓藻,gu'zao
挂金灯,gua'jin'deng
瓜叶菊,gua'ye'ju
瓜子金,gua'zi'jin
冠盖藤,guan'gai'teng
贯众,guan'zhong
广布野豌豆,guang'bu'ye'wan'dou
光头稗子,guang'tou'bai'zi
广玉兰,guang'yu'lan
桧柏园柏,gui'bai'yuan'bai
鬼面角,gui'mian'jiao
鬼针草,gui'zhen'cao
桂竹,gui'zhu
过路黄,guo'lu'huang
海金沙,hai'jin'sha
还亮草,hai'liang'cao
海桐,hai'tong
海桐花科,hai'tong'hua'ke
海州常山,hai'zhou'chang'shan
蔊菜,han'cai
寒兰,han'lan
寒莓,han'mei
旱芹,han'qin
含笑,han'xiao
含羞草,han'xiu'cao
含羞草决明,han'xiu'cao'jue'ming
杭菊,hang'ju
禾本科,he'ben'ke
何首乌,he'shou'wu
盒子草,he'zi'cao
黑根霉,hei'gen'mei
黑三棱科,hei'san'leng'ke
黑松,hei'song
黑藻,hei'zao
红碧桃,hong'bi'tao
荭草,hong'cao
红豆杉,hong'dou'shan
红枫,hong'feng
红根草,hong'gen'cao
红花,hong'hua
红壳井冈竹,hong'ke'jing'gang'zhu
红楠,hong'nan
厚皮香,hou'pi'xiang
厚朴,hou'pu
猴头,hou'tou
厚叶双盖蕨,hou'ye'shuang'gai'jue
虎刺,hu'ci
蝴蝶花,hu'die'hua
虎耳草,hu'er'cao
虎耳草科,hu'er'cao'ke
胡椒,hu'jiao
槲蕨,hu'jue
葫芦科,hu'lu'ke
胡麻,hu'ma
胡麻科,hu'ma'ke
胡桃科,hu'tao'ke
胡颓子,hu'tui'zi
胡颓子科,hu'tui'zi'ke
虎杖,hu'zhang
华东磨芋,hua'dong'mo'yu
华东水杨梅,hua'dong'shui'yang'mei
华东蹄盖蕨,hua'dong'ti'gai'jue
花红,hua'hong
画眉草,hua'mei'cao
桦木科,hua'mu'ke
华南十大功劳,hua'nan'shi'da'gong'lao
华南五针松,hua'nan'wu'zhen'song
华山矾,hua'shan'fan
华鼠尾草,hua'shu'wei'cao
华双蝴蝶,hua'shuang'hu'die
化香,hua'xiang
华紫珠,hua'zi'zhu
槐叶蘋,huai'ye'pin
黄背草,huang'bei'cao
黄独,huang'du
黄海棠,huang'hai'tang
黄花菜,huang'hua'cai
黄花蒿,huang'hua'hao
黄蜡果,huang'la'guo
黄连木,huang'lian'mu
黄麻,huang'ma
黄毛耳茸,huang'mao'er'rong
黄青霉,huang'qing'mei
黄曲霉,huang'qu'mei
黄瑞木,huang'rui'mu
黄丝藻,huang'si'zao
黄檀,huang'tan
黄瓦韦,huang'wa'wei
黄香草木樨,huang'xiang'cao'mu'xi
黄杨,huang'yang
黄杨科,huang'yang'ke
黄药子,huang'yao'zi
黄醉蝶花,huang'zui'die'hua
蕙兰,hui'lan
火棘,huo'ji
藿香,huo'xiang
活血丹,huo'xue'dan
荠菜,ji'cai
鸡儿肠,ji'er'chang
鸡冠花,ji'guan'hua
及己,ji'ji
檵木,ji'mu
鸡桑,ji'sang
鸡屎藤,ji'shi'teng
吉祥草,ji'xiang'cao
积雪草,ji'xue'cao
鸡血藤,ji'xue'teng
鸡眼草,ji'yan'cao
戟叶堇菜,ji'ye'jin'cai
鸡爪槭,ji'zhua'qi
假稻,jia'dao
假地豆,jia'di'dou
假地蓝,jia'di'lan
假蹄盖蕨,jia'ti'gai'jue
夹竹桃,jia'zhu'tao
夹竹桃科,jia'zhu'tao'ke
渐尖毛蕨,jian'jian'mao'jue
建兰,jian'lan
尖头藻,jian'tou'zao
剪夏罗,jian'xia'luo
剑叶金鸡菊,jian'ye'jin'ji'ju
尖叶山蚂蝗,jian'ye'shan'ma'huang
箭叶淫羊藿,jian'ye'yin'yang'huo
姜科,jiang'ke
江南卷柏,jiang'nan'juan'bai
江南星蕨,jiang'nan'xing'jue
江南越桔,jiang'nan'yue'ju
绛桃,jiang'tao
绞股蓝,jiao'gu'lan
藠头,jiao'tou
桔梗,jie'geng
桔梗科,jie'geng'ke
檞寄生,jie'ji'sheng
节节草,jie'jie'cao
结香,jie'xiang
堇菜科,jin'cai'ke
荩草,jin'cao
金灯藤,jin'deng'teng
金柑,jin'gan
筋骨草,jin'gu'cao
锦鸡儿,jin'ji'er
金鸡脚,jin'ji'jiao
金颗藻,jin'ke'zao
锦葵科,jin'kui'ke
金缕梅科,jin'lv'mei'ke
金钱松,jin'qian'song
金丝海棠,jin'si'hai'tang
金丝桃,jin'si'tao
金丝桃科,jin'si'tao'ke
金粟兰科,jin'su'lan'ke
金线草,jin'xian'cao
金樱子,jin'ying'zi
金盏菊,jin'zhan'ju
金枝千头柏,jin'zhi'qian'tou'bai
井栏边草,jing'lan'bian'cao
荆三梭,jing'san'suo
景天科,jing'tian'ke
景天三七,jing'tian'san'qi
韭莲,jiu'lian
九头狮子草,jiu'tou'shi'zi'cao
菊科,ju'ke
榉树,ju'shu
矩形叶鼠刺,ju'xing'ye'shu'ci
菊叶三七,ju'ye'san'qi
卷柏,juan'bai
爵床,jue'chuang
爵床科,jue'chuang'ke
君子兰,jun'zi'lan
卡德藻,ka'de'zao
看麦娘,kan'mai'niang
柯氏藻,ke'shi'zao
刻叶紫堇,ke'ye'zi'jin
孔雀草,kong'que'cao
苦瓜,ku'gua
苦苣菜,ku'ju'cai
苦苣苔科,ku'ju'tai'ke
苦楝,ku'lian
苦木科,ku'mu'ke
苦参,ku'shen
苦槠,ku'zhu
苦竹,ku'zhu
阔鳞鳞毛蕨,kuo'lin'lin'mao'jue
括楼,kuo'lou
阔叶箬竹,kuo'ye'ruo'zhu
阔叶十大功劳,kuo'ye'shi'da'gong'lao
腊莲绣球,la'lian'xiu'qiu
腊梅,la'mei
腊梅科,la'mei'ke
蓝果树科,lan'guo'shu'ke
兰科,lan'ke
兰香草,lan'xiang'cao
蓝隐藻,lan'yin'zao
狼尾草,lang'wei'cao
廊茵,lang'yin
榔榆,lang'yu
老鸦瓣,lao'ya'ban
老鸦柿,lao'ya'shi
雷公鹅耳枥,lei'gong'e'er'li
雷公藤,lei'gong'teng
雷竹,lei'zhu
鳢肠,li'chang
丽春花,li'chun'hua
藜科,li'ke
隶棠,li'tang
梨头尖,li'tou'jian
荔枝草,li'zhi'cao
楝科,lian'ke
两色金鸡菊,liang'se'jin'ji'ju
亮叶桦,liang'ye'hua
蓼科,liao'ke
裂叶荆芥,lie'ye'jing'jie
菱科,ling'ke
凌霄,ling'xiao
菱形藻,ling'xing'zao
灵芝,ling'zhi
柳叶白前,liu'ye'bai'qian
柳叶菜科,liu'ye'cai'ke
柳叶腊梅,liu'ye'la'mei
六月雪,liu'yue'xue
龙胆,long'dan
龙胆科,long'dan'ke
龙葵,long'kui
龙舌兰,long'she'lan
龙芽草,long'ya'cao
龙珠,long'zhu
陆地锦,lu'di'jin
芦荟,lu'hui
鹿霍,lu'huo
鹿茸草,lu'rong'cao
庐山楼梯草,lu'shan'lou'ti'cao
鹿蹄草,lu'ti'cao
鹿蹄草科,lu'ti'cao'ke
芦苇,lu'wei
芦竹,lu'zhu
卵囊藻,luan'nang'zao
轮叶景天,lun'ye'jing'tian
落地生根,luo'di'sheng'gen
罗浮,luo'fu
罗浮柿,luo'fu'shi
罗汉松,luo'han'song
落花生,luo'hua'sheng
裸甲藻,luo'jia'zao
罗勒,luo'le
萝摩,luo'mo
萝摩科,luo'mo'ke
络石,luo'shi
落羽杉,luo'yu'shan
裸藻,luo'zao
葎草,lv'cao
马鞭草,ma'bian'cao
马鞭草科,ma'bian'cao'ke
马勃,ma'bo
马齿苋科,ma'chi'xian'ke
马兜铃,ma'dou'ling
马兜铃科,ma'dou'ling'ke
马棘,ma'ji
麻栎,ma'li
麻梨,ma'li
马钱科,ma'qian'ke
马蹄金,ma'ti'jin
马尾松,ma'wei'song
马银花,ma'yin'hua
马醉木,ma'zui'mu
麦冬,mai'dong
蔓赤车,man'chi'che
满江红,man'jiang'hong
蔓茎堇菜,man'jing'jin'cai
曼陀罗,man'tuo'luo
牻牛儿苗,mang'niu'er'miao
芒萁,mang'qi
毛白前,mao'bai'qian
毛臂形草,mao'bi'xing'cao
毛地黄,mao'di'huang
茅膏菜,mao'gao'cai
茅膏菜科,mao'gao'cai'ke
毛茛,mao'gen
毛茛科,mao'gen'ke
毛花点草,mao'hua'dian'cao
毛花连蕊茶,mao'hua'lian'rui'cha
毛黄栌,mao'huang'lu
茅莓,mao'mei
毛泡桐,mao'pao'tong
毛野扁豆,mao'ye'bian'dou
毛枝卷柏,mao'zhi'juan'bai
毛竹,mao'zhu
玫瑰,mei'gui
美人蕉,mei'ren'jiao
美人蕉科,mei'ren'jiao'ke
梅叶冬青,mei'ye'dong'qing
莓叶委陵菜,mei'ye'wei'ling'cai
美洲商陆,mei'zhou'shang'lu
猕猴桃,mi'hou'tao
猕猴桃科,mi'hou'tao'ke
米槠,mi'zhu
绵萆薢,mian'bi'xie
闽浙马尾杉,min'zhe'ma'wei'shan
明党参,ming'dang'shen
膜荚黄芪,mo'jia'huang'qi
墨兰,mo'lan
茉莉花,mo'li'hua
陌上菜,mo'shang'cai
母草,mu'cao
牡丹,mu'dan
木防己,mu'fang'ji
木芙蓉,mu'fu'rong
牡蒿,mu'hao
木荷,mu'he
木槿,mu'jin
牡荆,mu'jing
木蜡树,mu'la'shu
木兰科,mu'lan'ke
木莲,mu'lian
木通科,mu'tong'ke
木犀科,mu'xi'ke
木犀亦称桂花,mu'xi'yi'cheng'gui'hua
南川柳,nan'chuan'liu
南丹参,nan'dan'shen
南方泡桐,nan'fang'pao'tong
南京椴,nan'jing'duan
南岭荛花,nan'ling'rao'hua
南蛇藤,nan'she'teng
南酸枣,nan'suan'zao
南天竺,nan'tian'zhu
闹羊花,nao'yang'hua
拟赤杨,ni'chi'yang
泥湖菜,ni'hu'cai
拟新月藻,ni'xin'yue'zao
酿酒酵母,niang'jiu'jiao'mu
茑萝,niao'luo
镊合猕猴桃,nie'he'mi'hou'tao
宁波溲疏,ning'bo'sou'shu
牛蒡,niu'bang
牛鼻栓,niu'bi'shuan
牛繁缕,niu'fan'lv
牛筋草,niu'jin'cao
牛毛毡,niu'mao'zhan
牛奶莓,niu'nai'mei
牛奶子,niu'nai'zi
牛茄子,niu'qie'zi
牛膝,niu'xi
糯米,nuo'mi
女萎,nv'wei
女贞,nv'zhen
瓯柑,ou'gan
爬山虎,pa'shan'hu
攀枝花苏铁,pan'zhi'hua'su'tie
佩兰,pei'lan
喷雪花,pen'xue'hua
蓬蘽,peng'lei
枇杷,pi'pa
平板藻,ping'ban'zao
平裂藻,ping'lie'zao
铺地柏,pu'di'bai
蒲公英,pu'gong'ying
蒲葵,pu'kui
匍蟠,pu'pan
葡萄科,pu'tao'ke
普通鹿蹄草,pu'tong'lu'ti'cao
漆姑草,qi'gu'cao
奇蒿,qi'hao
漆树,qi'shu
槭树科,qi'shu'ke
漆树科,qi'shu'ke
七叶树,qi'ye'shu
七叶树科,qi'ye'shu'ke
七叶一枝花,qi'ye'yi'zhi'hua
茜草,qian'cao
茜草科,qian'cao'ke
千金子,qian'jin'zi
千里光,qian'li'guang
荨麻科,qian'ma'ke
牵牛,qian'niu
千屈菜,qian'qu'cai
千屈菜科,qian'qu'cai'ke
千日白,qian'ri'bai
千日红,qian'ri'hong
芡实,qian'shi
蔷薇科,qiang'wei'ke
桥穹藻,qiao'qiong'zao
鞘丝藻,qiao'si'zao
茄科,qie'ke
青岗,qing'gang
青蒿,qing'hao
青灰叶下珠,qing'hui'ye'xia'zhu
青栲,qing'kao
青龙滕,qing'long'teng
苘麻,qing'ma
青皮木,qing'pi'mu
青箱,qing'xiang
秋海棠,qiu'hai'tang
秋海棠科,qiu'hai'tang'ke
球序卷耳,qiu'xu'juan'er
球子草,qiu'zi'cao
瞿麦,qu'mai
曲轴黑三棱,qu'zhou'hei'san'leng
雀麦,que'mai
忍冬,ren'dong
忍冬科,ren'dong'ke
日本扁柏,ri'ben'bian'bai
日本花柏,ri'ben'hua'bai
日本樱花,ri'ben'ying'hua
日照飘狒草,ri'zhao'piao'fei'cao
绒柏,rong'bai
绒毛石楠,rong'mao'shi'nan
乳源木莲,ru'yuan'mu'lian
瑞香科,rui'xiang'ke
三白草,san'bai'cao
三尖杉,san'jian'shan
三脉叶紫菀,san'mai'ye'zi'wan
伞形草科,san'xing'cao'ke
伞形绣球,san'xing'xiu'qiu
三叶赤楠,san'ye'chi'nan
三叶青,san'ye'qing
三籽两型豆,san'zi'liang'xing'dou
桑寄生科,sang'ji'sheng'ke
桑科,sang'ke
色球藻,se'qiu'zao
沙梨,sha'li
沙朴,sha'pu
沙参,sha'shen
山萆薢,shan'bi'xie
山茶科,shan'cha'ke
山矾,shan'fan
山矾科,shan'fan'ke
山合欢,shan'he'huan
山核桃,shan'he'tao
山荷叶,shan'he'ye
山胡椒,shan'hu'jiao
山鸡椒,shan'ji'jiao
山姜,shan'jiang
山橿,shan'jiang
山椒草,shan'jiao'cao
山橘,shan'ju
山蒟,shan'ju
栅列藻,shan'lie'zao
山毛榉科,shan'mao'ju'ke
山莓,shan'mei
山桐子,shan'tong'zi
山油麻,shan'you'ma
山楂,shan'zha
山茱萸,shan'zhu'yu
山茱萸科,shan'zhu'yu'ke
商陆,shang'lu
商陆科,shang'lu'ke
芍药,shao'yao
蛇床,she'chuang
射干,she'gan
蛇含,she'han
蛇莓,she'mei
蛇葡萄,she'pu'tao
蛇苔,she'tai
肾形藻,shen'xing'zao
省沽油科,sheng'gu'you'ke
石蟾蜍,shi'chan'chu
石菖蒲,shi'chang'pu
矢车菊,shi'che'ju
石吊兰,shi'diao'lan
石荠宁,shi'ji'ning
石蕨,shi'jue
石榴,shi'liu
莳萝,shi'luo
石楠,shi'nan
柿树科,shi'shu'ke
石松,shi'song
石蒜,shi'suan
石蒜科,shi'suan'ke
石韦,shi'wei
石血,shi'xue
石岩枫,shi'yan'feng
石竹,shi'zhu
石竹科,shi'zhu'ke
十字花科,shi'zi'hua'ke
十字藻,shi'zi'zao
薯茛,shu'gen
蜀葵,shu'kui
鼠李科,shu'li'ke
鼠曲草,shu'qu'cao
薯蓣,shu'yu
薯蓣科,shu'yu'ke
双菱藻,shuang'ling'zao
双穗雀稗,shuang'sui'que'bai
水鳖,shui'bie
水鳖科,shui'bie'ke
水蕨,shui'jue
水苦荬,shui'ku'mai
睡莲,shui'lian
睡莲科,shui'lian'ke
水蓼,shui'liao
水龙,shui'long
水龙骨,shui'long'gu
水芹,shui'qin
水杉,shui'shan
水衰衣,shui'shuai'yi
水苏,shui'su
水团花,shui'tuan'hua
水蜈蚣,shui'wu'gong
水仙,shui'xian
水栀花,shui'zhi'hua
水烛,shui'zhu
水竹,shui'zhu
水竹叶,shui'zhu'ye
四季海棠,si'ji'hai'tang
四角菱,si'jiao'ling
四角藻,si'jiao'zao
丝兰,si'lan
丝棉木,si'mian'mu
丝穗金粟兰,si'sui'jin'su'lan
四叶葎,si'ye'lv
四籽野豌豆,si'zi'ye'wan'dou
松蒿,song'hao
松蓝,song'lan
松萝,song'luo
檧木,song'mu
溲疏,sou'shu
粟米草,su'mi'cao
苏铁,su'tie
素心腊梅,su'xin'la'mei
酸橙,suan'cheng
酸模,suan'mo
算盘子,suan'pan'zi
酸枣,suan'zao
穗花狐尾藻,sui'hua'hu'wei'zao
莎草,suo'cao
莎草科,suo'cao'ke
太平莓,tai'ping'mei
台湾翅果菊丁罗卜,tai'wan'chi'guo'ju'ding'luo'bu
探春,tan'chun
昙花,tan'hua
檀香科,tan'xiang'ke
唐菖蒲,tang'chang'pu
桃金娘科,tao'jin'niang'ke
天胡荽,tian'hu'sui
田菁,tian'jing
天葵,tian'kui
天蓝苜蓿,tian'lan'mu'xu
田麻,tian'ma
天门冬,tian'men'dong
天名精,tian'ming'jing
天南星,tian'nan'xing
天南星科,tian'nan'xing'ke
天仙果,tian'xian'guo
甜叶菊,tian'ye'ju
田皂角,tian'zao'jiao
天竺葵,tian'zhu'kui
铁灯兔耳风,tie'deng'tu'er'feng
铁角蕨,tie'jiao'jue
铁马鞭,tie'ma'bian
铁青树科,tie'qing'shu'ke
铁头梨,tie'tou'li
铁苋菜,tie'xian'cai
铁线蕨,tie'xian'jue
庭藤,ting'teng
透骨草,tou'gu'cao
透骨草科,tou'gu'cao'ke
头花千金藤,tou'hua'qian'jin'teng
土儿,tu'er
兔儿伞,tu'er'san
土茯苓,tu'fu'ling
土荆芥,tu'jing'jie
土人参,tu'ren'shen
娃儿藤,wa'er'teng
晚红瓦松,wan'hong'wa'song
万年青,wan'nian'qing
万寿菊,wan'shou'ju
晚香玉,wan'xiang'yu
王不留行,wang'bu'liu'xing
王瓜,wang'gua
望江南,wang'jiang'nan
威灵仙,wei'ling'xian
卫矛,wei'mao
卫矛科,wei'mao'ke
畏芝,wei'zhi
文冠果,wen'guan'guo
问荆,wen'jing
蚊母草,wen'mu'cao
蚊母树,wen'mu'shu
文竹,wen'zhu
蕹菜,weng'cai
乌哺鸡竹,wu'bu'ji'zhu
五彩茄,wu'cai'qie
乌饭树,wu'fan'shu
无花果,wu'hua'guo
无患子,wu'huan'zi
无患子科,wu'huan'zi'ke
五加,wu'jia
五加科,wu'jia'ke
乌桕,wu'jiu
乌韭,wu'jiu
乌蔹莓,wu'lian'mei
乌菱,wu'ling
五岭龙胆,wu'ling'long'dan
梧桐,wu'tong
梧桐科,wu'tong'ke
乌头,wu'tou
五味子,wu'wei'zi
乌药,wu'yao
细柄薯蓣,xi'bing'shu'yu
西府海棠,xi'fu'hai'tang
喜旱莲子草,xi'han'lian'zi'cao
菥蓂,xi'mi
喜树,xi'shu
豨莶,xi'xian
西洋梨茄梨,xi'yang'li'qie'li
细叶长柏,xi'ye'chang'bai
细叶香桂,xi'ye'xiang'gui
虾脊兰,xia'ji'lan
夏枯草,xia'ku'cao
苋科,xian'ke
仙茅,xian'mao
仙人山,xian'ren'shan
仙人掌,xian'ren'zhang
仙人掌科,xian'ren'zhang'ke
纤维藻,xian'wei'zao
纤细薯蓣,xian'xi'shu'yu
显子草,xian'zi'cao
香茶菜,xiang'cha'cai
香椿,xiang'chun
香榧,xiang'fei
香蒲科,xiang'pu'ke
香青,xiang'qing
香薷,xiang'ru
响叶杨,xiang'ye'yang
香圆,xiang'yuan
小檗科,xiao'bo'ke
小二仙草,xiao'er'xian'cao
小二仙草科,xiao'er'xian'cao'ke
小果蔷薇,xiao'guo'qiang'wei
小花黄堇,xiao'hua'huang'jin
小槐花,xiao'huai'hua
小环藻,xiao'huan'zao
小蓟,xiao'ji
小蜡,xiao'la
小连翘,xiao'lian'qiao
小毛茛,xiao'mao'gen
小球藻,xiao'qiu'zao
小眼子菜,xiao'yan'zi'cai
笑靥花,xiao'ye'hua
小叶栎,xiao'ye'li
小叶三点金,xiao'ye'san'dian'jin
小叶野决明,xiao'ye'ye'jue'ming
薤白,xie'bai
斜方复叶耳蕨,xie'fang'fu'ye'er'jue
蟹爪,xie'zhua
馨口腊梅,xin'kou'la'mei
辛夷,xin'yi
杏菜,xing'cai
杏香兔耳风,xing'xiang'tu'er'feng
星宿菜,xing'xiu'cai
秀丽槭,xiu'li'qi
锈毛莓,xiu'mao'mei
绣球荚蒾,xiu'qiu'jia'mi
绣线菊,xiu'xian'ju
徐长卿,xu'chang'qing
萱草,xuan'cao
旋覆花,xuan'fu'hua
旋花科,xuan'hua'ke
悬铃木,xuan'ling'mu
悬铃木科,xuan'ling'mu'ke
玄参科,xuan'shen'ke
血见愁,xue'jian'chou
雪松,xue'song
鸭舌草,ya'she'cao
鸭跖草,ya'zhi'cao
鸭跖草科,ya'zhi'cao'ke
亚洲苦草,ya'zhou'ku'cao
烟草,yan'cao
盐肤木,yan'fu'mu
延胡索,yan'hu'suo
芫荽,yan'sui
堰五针松,yan'wu'zhen'song
延羽卵果蕨,yan'yu'luan'guo'jue
眼子菜,yan'zi'cai
眼子菜科,yan'zi'cai'ke
杨柳科,yang'liu'ke
杨梅,yang'mei
杨梅科,yang'mei'ke
羊乳,yang'ru
羊蹄,yang'ti
野艾,ye'ai
野艾蒿,ye'ai'hao
野百合,ye'bai'he
野大豆,ye'da'dou
野灯心草,ye'deng'xin'cao
野葛,ye'ge
野海棠,ye'hai'tang
野胡萝卜,ye'hu'luo'bo
野鸡尾,ye'ji'wei
野菊,ye'ju
夜来香,ye'lai'xiang
野老鹳草,ye'lao'guan'cao
野茉莉,ye'mo'li
野茉莉科,ye'mo'li'ke
野牡丹科,ye'mu'dan'ke
野漆树,ye'qi'shu
野蔷薇,ye'qiang'wei
野荞麦,ye'qiao'mai
野山药,ye'shan'yao
野山楂,ye'shan'zha
野柿,ye'shi
野蚊子草,ye'wen'zi'cao
野鸦椿,ye'ya'chun
野燕麦,ye'yan'mai
野芝麻,ye'zhi'ma
一把伞南星,yi'ba'san'nan'xing
一串红,yi'chuan'hong
一点红,yi'dian'hong
异端藻,yi'duan'zao
益母草,yi'mu'cao
一叶萩,yi'ye'qiu
薏苡,yi'yi
衣藻,yi'zao
一枝黄花,yi'zhi'huang'hua
银边万年青,yin'bian'wan'nian'qing
茵陈蒿,yin'chen'hao
阴地蕨,yin'di'jue
印度黄岑,yin'du'huang'cen
银木,yin'mu
银杏,yin'xing
阴行草,yin'xing'cao
隐藻,yin'zao
迎春,ying'chun
硬毛地瓜儿苗,ying'mao'di'gua'er'miao
硬毛野豌豆,ying'mao'ye'wan'dou
映山红,ying'shan'hong
罂粟科,ying'su'ke
樱桃,ying'tao
油茶,you'cha
油柿,you'shi
油桐,you'tong
玉荷花,yu'he'hua
郁金香,yu'jin'xiang
雨久花科,yu'jiu'hua'ke
榆科,yu'ke
玉兰,yu'lan
