阿拔斯一世,a'ba'si'yi'shi
伯罗奔尼撒,bo'luo'ben'ni'sa
伯罗奔尼撒同盟,bo'luo'ben'ni'sa'tong'meng
伯罗奔尼撒战争,bo'luo'ben'ni'sa'zhan'zheng
波旁王朝,bo'pang'wang'chao
波士顿倾茶事件,bo'shi'dun'qing'cha'shi'jian
波斯湾,bo'si'wan
波斯鱼鳞阵,bo'si'yu'lin'zhen
博学鸿词科,bo'xue'hong'ci'ke
波兹南事件,bo'zi'nan'shi'jian
布哈林,bu'ha'lin
布列斯特和约,bu'lie'si'te'he'yue
布鲁诺,bu'lu'nuo
布匿战争,bu'ni'zhan'zheng
蔡特金,cai'te'jin
采邑,cai'yi
察举制,cha'ju'zhi
查理曼帝国,cha'li'man'di'guo
查士丁尼,cha'shi'ding'ni
查田运动,cha'tian'yun'dong
柴明达,chai'ming'da
常捷军,chang'jie'jun
长沙会战,chang'sha'hui'zhan
朝鲜人民革命军,chao'xian'ren'min'ge'ming'jun
朝鲜三国时代,chao'xian'san'guo'shi'dai
朝鲜三一运动,chao'xian'san'yi'yun'dong
车底,che'di
承宣布政使司,cheng'xuan'bu'zheng'shi'si
筹办夷务始末,chou'ban'yi'wu'shi'mo
春秋三传,chun'qiu'san'chuan
嵯峨野,cuo'e'ye
大宝律令,da'bao'lv'ling
大德寺,da'de'si
大东亚共荣圈,da'dong'ya'gong'rong'quan
大和国家,da'he'guo'jia
大化革新,da'hua'ge'xin
达拉第,da'la'di
大流士,da'liu'shi
大陆会议,da'lu'hui'yi
大明宫含元殿遗址,da'ming'gong'han'yuan'dian'yi'zhi
大日本帝国宪法,da'ri'ben'di'guo'xian'fa
大食,da'shi
大卫李嘉图,da'wei'li'jia'tu
大西洋宪章,da'xi'yang'xian'zhang
大政翼赞会,da'zheng'yi'zan'hui
戴季陶主义,dai'ji'tao'zhu'yi
戴克里先,dai'ke'li'xian
但丁,dan'ding
党卫军,dang'wei'jun
道格拉斯,dao'ge'la'si
道威斯计划,dao'wei'si'ji'hua
德奥合并,de'ao'he'bing
德川幕府,de'chuan'mu'fu
德国独立社会民主党,de'guo'du'li'she'hui'min'zhu'dang
德国社会民主党,de'guo'she'hui'min'zhu'dang
德黑兰会议,de'hei'lan'hui'yi
的建立,de'jian'li
德雷福斯案件,de'lei'fu'si'an'jian
德先生,de'xian'sheng
邸店,di'dian
第二国际,di'er'guo'ji
第二战场,di'er'zhan'chang
狄克西,di'ke'xi
狄克西使团,di'ke'xi'shi'tuan
蒂拉克,di'la'ke
第四点计划,di'si'dian'ji'hua
第五纵队,di'wu'zong'dui
第一国际,di'yi'guo'ji
奠边府,dian'bian'fu
奠边府战役,dian'bian'fu'zhan'yi
点石斋画报,dian'shi'zhai'hua'bao
丁村文化,ding'cun'wen'hua
东大寺,dong'da'si
东方杂志,dong'fang'za'zhi
东京审判,dong'jing'shen'pan
东山文化,dong'shan'wen'hua
东条英机,dong'tiao'ying'ji
东西本愿寺,dong'xi'ben'yuan'si
东学道起义,dong'xue'dao'qi'yi
东印度公司,dong'yin'du'gong'si
督办政务处,du'ban'zheng'wu'chu
都铎王朝,du'duo'wang'chao
独立战争,du'li'zhan'zheng
杜桑卢维杜尔,du'sang'lu'wei'du'er
度田,du'tian
读通鉴论,du'tong'jian'lun
敦刻尔克撤退,dun'ke'er'ke'che'tui
多国部队,duo'guo'bu'dui
多国联盟,duo'guo'lian'meng
堕民,duo'min
多研究些问题少谈些主义,duo'yan'jiu'xie'wen'ti'shao'tan'xie'zhu'yi
俄国立宪民主党,e'guo'li'xian'min'zhu'dang
俄国社会革命党,e'guo'she'hui'ge'ming'dang
俄罗斯帝国法令全集,e'luo'si'di'guo'fa'ling'quan'ji
俄美公司,e'mei'gong'si
遏制战略,e'zhi'zhan'lue
恩科,en'ke
二七惨案,er'qi'can'an
二条城,er'tiao'cheng
二月革命,er'yue'ge'ming
法国共和历,fa'guo'gong'he'li
法国人民阵线,fa'guo'ren'min'zhen'xian
法兰西第二帝国,fa'lan'xi'di'er'di'guo
法兰西第一帝国,fa'lan'xi'di'yi'di'guo
法隆寺,fa'long'si
法西斯党,fa'xi'si'dang
凡尔登条约,fan'er'deng'tiao'yue
凡尔登战役,fan'er'deng'zhan'yi
凡尔赛和约,fan'er'sai'he'yue
凡尔赛华盛顿体系,fan'er'sai'hua'sheng'dun'ti'xi
反法西斯人民阵线运动,fan'fa'xi'si'ren'min'zhen'xian'yun'dong
方志,fang'zhi
非暴力不合作运动,fei'bao'li'bu'he'zuo'yun'dong
费边社,fei'bian'she
费尔巴哈,fei'er'ba'ha
废藩置县,fei'fan'zhi'xian
非国大,fei'guo'da
飞脚屋,fei'jiao'wu
腓尼基,fei'ni'ji
飞鸟文化,fei'niao'wen'hua
废奴运动,fei'nu'yun'dong
飞钱,fei'qian
吠舍,fei'she
腓特烈大帝,fei'te'lie'da'di
斐扬俱乐部,fei'yang'ju'le'bu
丰臣秀吉,feng'chen'xiu'ji
封泥,feng'ni
冯诺伊曼,feng'nuo'yi'man
佛本生经,fo'ben'sheng'jing
佛朗哥,fo'lang'ge
府兵制度,fu'bing'zhi'du
伏见城,fu'jian'cheng
弗朗西斯培根,fu'lang'xi'si'pei'gen
府院之争,fu'yuan'zhi'zheng
盖得,gai'de
盖世太保,gai'shi'tai'bao
甘地欧文协定,gan'di'ou'wen'xie'ding
甘蒲闍,gan'pu'du
甘石星经,gan'shi'xing'jing
冈比西,gang'bi'xi
冈比西斯,gang'bi'xi'si
高技术条件,gao'ji'shu'tiao'jian
高墨达,gao'mo'da
高墨达暴动,gao'mo'da'bao'dong
哥白尼,ge'bai'ni
格拉古兄弟改革,ge'la'gu'xiong'di'gai'ge
葛兰西,ge'lan'xi
戈培尔,ge'pei'er
哥萨克,ge'sa'ke
蛤御门之变,ge'yu'men'zhi'bian
共产主义义务星期六,gong'chan'zhu'yi'yi'wu'xing'qi'liu
共产主义者同盟,gong'chan'zhu'yi'zhe'tong'meng
工联主义,gong'lian'zhu'yi
公社田,gong'she'tian
古巴比伦王国,gu'ba'bi'lun'wang'guo
瓜分波兰,gua'fen'bo'lan
寡头政治,gua'tou'zheng'zhi
关白,guan'bai
关东军,guan'dong'jun
关之原会战,guan'zhi'yuan'hui'zhan
光荣革命,guang'rong'ge'ming
广田弘毅,guang'tian'hong'yi
广田三原则,guang'tian'san'yuan'ze
光绪朝东华录,guang'xu'chao'dong'hua'lu
桂离宫,gui'li'gong
贵霜帝国,gui'shuang'di'guo
国大党,guo'da'dang
国会纵火案,guo'hui'zong'huo'an
国际裁军会议,guo'ji'cai'jun'hui'yi
国际反法西斯同盟,guo'ji'fan'fa'xi'si'tong'meng
国际新秩序,guo'ji'xin'zhi'xu
哈德良长城,ha'de'liang'chang'cheng
哈拉巴文化,ha'la'ba'wen'hua
哈里发,ha'li'fa
海地革命,hai'di'ge'ming
海护王,hai'hu'wang
海兰泡,hai'lan'pao
海兰泡惨案,hai'lan'pao'can'an
海兽葡萄镜,hai'shou'pu'tao'jing
海湾战争,hai'wan'zhan'zheng
海湾战争爆发,hai'wan'zhan'zheng'bao'fa
汉堡工人起义,han'bao'gong'ren'qi'yi
好人政府,hao'ren'zheng'fu
赫尔岑,he'er'cen
和同开弥,he'tong'kai'mi
洪堡,hong'bao
洪门,hong'men
红衫军,hong'shan'jun
胡佛,hu'fo
胡格诺战争,hu'ge'nuo'zhan'zheng
胡司战争,hu'si'zhan'zheng
互助论,hu'zhu'lun
华俄道胜银行,hua'e'dao'sheng'yin'hang
华夫脱,hua'fu'tuo
华沙条约组织,hua'sha'tiao'yue'zu'zhi
华盛顿会议,hua'sheng'dun'hui'yi
华氏城,hua'shi'cheng
滑铁卢,hua'tie'lu
淮军,huai'jun
黄肠题凑,huang'chang'ti'cou
黄帝内经,huang'di'nei'jing
黄金诏书,huang'jin'zhao'shu
辉格党,hui'ge'dang
霍梅尼,huo'mei'ni
笈多王朝,ji'duo'wang'chao
基辅国,ji'fu'guo
姬路城,ji'lu'cheng
吉伦特派,ji'lun'te'pai
基洛夫,ji'luo'fu
基马尔革命,ji'ma'er'ge'ming
季米特洛夫,ji'mi'te'luo'fu
季诺维也夫,ji'nuo'wei'ye'fu
吉斯林,ji'si'lin
基佐,ji'zuo
加尔文教,jia'er'wen'jiao
加富尔,jia'fu'er
加里波第,jia'li'bo'di
加洛林王朝,jia'luo'lin'wang'chao
加茂川,jia'mao'chuan
加米涅夫,jia'mi'nie'fu
迦腻色迦,jia'ni'se'jia
迦尸,jia'shi
迦太基,jia'tai'ji
健驮罗,jian'tuo'luo
建州女真,jian'zhou'nv'zhen
江北大营,jiang'bei'da'ying
江南大营,jiang'nan'da'ying
教阶制,jiao'jie'zhi
焦土抗战,jiao'tu'kang'zhan
解放黑人奴隶的宣言,jie'fang'hei'ren'nu'li'de'xuan'yan
解负令,jie'fu'ling
金奔巴,jin'ben'ba
金阁寺,jin'ge'si
近卫文麿,jin'wei'wen'mi
晋作爰田,jin'zuo'yuan'tian
京都偶人,jing'du'ou'ren
京都御所,jing'du'yu'suo
经济特科,jing'ji'te'ke
净瑠璃,jing'liu'li
京师大学堂,jing'shi'da'xue'tang
经义,jing'yi
经院哲学,jing'yuan'zhe'xue
九国公约,jiu'guo'gong'yue
旧金山体制,jiu'jin'shan'ti'zhi
九章算术,jiu'zhang'suan'shu
局部战争,ju'bu'zhan'zheng
聚乐第,ju'le'di
俱卢,ju'lu
居鲁士,ju'lu'shi
居延汉简,ju'yan'han'jian
菊与刀,ju'yu'dao
掘土派运动,jue'tu'pai'yun'dong
军队建设,jun'dui'jian'she
君士坦丁,jun'shi'tan'ding
君士坦丁的赠与,jun'shi'tan'ding'de'zeng'yu
军事战略,jun'shi'zhan'lue
卡德纳斯,ka'de'na'si
卡叠石之战,ka'die'shi'zhi'zhan
卡芬雅克,ka'fen'ya'ke
卡诺萨觐见,ka'nuo'sa'jin'jian
卡普暴动,ka'pu'bao'dong
卡廷森林,ka'ting'sen'lin
开罗宣言,kai'luo'xuan'yan
凯末尔,kai'mo'er
恺撒军事独裁,kai'sa'jun'shi'du'cai
戡乱总动员,kan'luan'zong'dong'yuan
考茨基,kao'ci'ji
克莱武,ke'lai'wu
克里蒙梭,ke'li'meng'suo
克里木战争,ke'li'mu'zhan'zheng
科林斯会议,ke'lin'si'hui'yi
科伦共产党人审判案,ke'lun'gong'chan'dang'ren'shen'pan'an
克洛维,ke'luo'wei
克努特大帝,ke'nu'te'da'di
克孜尔石窟,ke'zi'er'shi'ku
孔雀王朝,kong'que'wang'chao
口分田,kou'fen'tian
寇松线,kou'song'xian
拉丁帝国,la'ding'di'guo
拉吉舍夫,la'ji'she'fu
喇家遗址,la'jia'yi'zhi
拉齐斯,la'qi'si
拉萨尔,la'sa'er
来库古改革,lai'ku'gu'gai'ge
莱茵非武装区,lai'yin'fei'wu'zhuang'qu
岚山,lan'shan
兰斯受洗,lan'si'shou'xi
劳合乔治,lao'he'qiao'zhi
老种经略相公,lao'zhong'jing'lue'xiang'gong
雷必达,lei'bi'da
冷战后,leng'zhan'hou
里昂工人起义,li'ang'gong'ren'qi'yi
利奥波德二世,li'ao'bo'de'er'shi
李奥尼达,li'ao'ni'da
李顿调查团,li'dun'diao'cha'tuan
里夫共和国,li'fu'gong'he'guo
利簋,li'gui
李奇微,li'qi'wei
李锡尼,li'xi'ni
李之龙,li'zhi'long
联合国安理会,lian'he'guo'an'li'hui
列霞白利法,lie'xia'bai'li'fa
临时约法,lin'shi'yue'fa
领事裁判权,ling'shi'cai'pan'quan
领土完整,ling'tu'wan'zheng
六三政变,liu'san'zheng'bian
流血星期日,liu'xue'xing'qi'ri
六月起义,liu'yue'qi'yi
龙安寺,long'an'si
鲁初税亩,lu'chu'shui'mu
路德教派,lu'de'jiao'pai
卢德运动,lu'de'yun'dong
鲁登道夫,lu'deng'dao'fu
卢梭,lu'suo
路易勃朗,lu'yi'bo'lang
路易波拿巴,lu'yi'bo'na'ba
鹿苑寺,lu'yuan'si
罗伯斯庇尔,luo'bo'si'bi'er
罗得斯,luo'de'si
逻各斯,luo'ge'si
洛迦诺公约,luo'jia'nuo'gong'yue
罗马帝国,luo'ma'di'guo
罗马教皇,luo'ma'jiao'huang
罗曼诺夫王朝,luo'man'nuo'fu'wang'chao
罗蒙诺索夫,luo'meng'nuo'suo'fu
罗摩衍那,luo'mo'yan'na
洛桑条约,luo'sang'tiao'yue
罗斯福新政,luo'si'fu'xin'zheng
绿衣大食,lv'yi'da'shi
闾左,lv'zuo
马丁路德,ma'ding'lu'de
马恩河会战,ma'en'he'hui'zhan
马尔托夫,ma'er'tuo'fu
马赫迪起义,ma'he'di'qi'yi
马基雅维利,ma'ji'ya'wei'li
马拉松战役,ma'la'song'zhan'yi
马其顿,ma'qi'dun
马其顿方阵,ma'qi'dun'fang'zhen
马其诺防线,ma'qi'nuo'fang'xian
马斯塔巴,ma'si'ta'ba
马王堆汉墓,ma'wang'dui'han'mu
马王堆汉墓帛书,ma'wang'dui'han'mu'bo'shu
马志尼,ma'zhi'ni
麦卡瑟船长,mai'ka'se'chuan'zhang
莽牯朱蛤,mang'gu'zhu'ge
玫瑰园敕令,mei'gui'yuan'chi'ling
玫瑰战争,mei'gui'zhan'zheng
美国军队,mei'guo'jun'dui
美国社会主义工党,mei'guo'she'hui'zhu'yi'gong'dang
美国中立法,mei'guo'zhong'li'fa
梅什科一世,mei'shen'ke'yi'shi
梅特涅,mei'te'nie
美西战争,mei'xi'zhan'zheng
每周评论,mei'zhou'ping'lun
门罗宣言,men'luo'xuan'yan
猛安谋克,meng'an'mou'ke
蒙巴顿方案,meng'ba'dun'fang'an
梦溪笔谈,meng'xi'bi'tan
米底王国,mi'di'wang'guo
米勒兰,mi'le'lan
米骚动,mi'sao'dong
弥生式陶器,mi'sheng'shi'tao'qi
缅甸远征军,mian'dian'yuan'zheng'jun
民报,min'bao
闵采尔,min'cai'er
民粹派,min'cui'pai
明治维新,ming'zhi'wei'xin
摩差,mo'cha
摩尔根,mo'er'gen
摩诃婆罗多,mo'he'po'luo'duo
摩亨佐达罗,mo'heng'zuo'da'luo
摩揭陀,mo'jie'tuo
末罗,mo'luo
莫洛托夫计划,mo'luo'tuo'fu'ji'hua
末日审判书,mo'ri'shen'pan'shu
莫斯科公国,mo'si'ke'gong'guo
莫斯科会战,mo'si'ke'hui'zhan
墨索里尼,mo'suo'li'ni
莫卧儿帝国,mo'wo'er'di'guo
穆阿维叶,mu'a'wei'ye
幕藩体制,mu'fan'ti'zhi
穆罕默德,mu'han'mo'de
穆罕默德阿里,mu'han'mo'de'a'li
慕尼黑协定,mu'ni'hei'xie'ding
纳粹党,na'cui'dang
拿破仑波拿巴,na'po'lun'bo'na'ba
拿破仑法典,na'po'lun'fa'dian
南北战争,nan'bei'zhan'zheng
南洋大臣,nan'yang'da'chen
尼布甲尼撒二世,ni'bu'jia'ni'sa'er'shi
尼德兰革命,ni'de'lan'ge'ming
尼尼微,ni'ni'wei
鸟羽伏见,niao'yu'fu'jian
鸟羽伏见之战,niao'yu'fu'jian'zhi'zhan
涅木虎,nie'mu'hu
牛津条例,niu'jin'tiao'li
纽伦堡审判,niu'lun'bao'shen'pan
农产品义务交售制,nong'chan'pin'yi'wu'jiao'shou'zhi
农奴制,nong'nu'zhi
农桑辑要,nong'sang'ji'yao
农政全书,nong'zheng'quan'shu
诺曼底登陆,nuo'man'di'deng'lu
诺曼征服,nuo'man'zheng'fu
诺姆,nuo'mu
欧麦尔一世,ou'mai'er'yi'shi
欧文,ou'wen
庞贝,pang'bei
裴多斐,pei'duo'fei
片面最惠国待遇,pian'mian'zui'hui'guo'dai'yu
片山潜,pian'shan'qian
平安神宫,ping'an'shen'gong
平城京,ping'cheng'jing
平等派,ping'deng'pai
婆罗门教,po'luo'men'jiao
普法战争,pu'fa'zhan'zheng
蒲甘王朝,pu'gan'wang'chao
普加乔夫起义,pu'jia'qiao'fu'qi'yi
普列汉诺夫,pu'lie'han'nuo'fu
蒲鲁东,pu'lu'dong
普鲁士三月革命,pu'lu'shi'san'yue'ge'ming
奇怪的战争,qi'guai'de'zhan'zheng
契卡,qi'ka
齐卢战争,qi'lu'zhan'zheng
齐民要术,qi'min'yao'shu
耆那教,qi'na'jiao
七年战争,qi'nian'zhan'zheng
七十七国集团,qi'shi'qi'guo'ji'tuan
骑士文学,qi'shi'wen'xue
祺祥政变,qi'xiang'zheng'bian
七一五反革命政变,qi'yi'wu'fan'ge'ming'zheng'bian
七月王朝,qi'yue'wang'chao
浅草寺,qian'cao'si
遣隋使,qian'sui'shi
遣唐使,qian'tang'shi
钱引,qian'yin
钦察汗国,qin'cha'han'guo
清季外交史料,qing'ji'wai'jiao'shi'liao
清教,qing'jiao
清水陶瓷,qing'shui'tao'ci
圈地运动,quan'di'yun'dong
权力法案,quan'li'fa'an
劝世良言,quan'shi'liang'yan
榷场,que'chang
热月政变,re'yue'zheng'bian
仁安羌大捷,ren'an'qiang'da'jie
仁安羌战役,ren'an'qiang'zhan'yi
壬辰卫国战争,ren'chen'wei'guo'zhan'zheng
人民宪章,ren'min'xian'zhang
人文初祖,ren'wen'chu'zu
人殉,ren'xun
日本军部,ri'ben'jun'bu
日俄战争,ri'e'zhan'zheng
日苏中立条约,ri'su'zhong'li'tiao'yue
容克地主,rong'ke'di'zhu
儒略历,ru'lue'li
若昂大帝,ruo'ang'da'di
萨尔贡,sa'er'gong
萨拉丁,sa'la'ding
萨拉米海战,sa'la'mi'hai'zhan
萨拉热窝事件,sa'la're'wo'shi'jian
萨拉托加大捷,sa'la'tuo'jia'da'jie
萨利克法典,sa'li'ke'fa'dian
萨珊王朝,sa'shan'wang'chao
塞尔维乌斯,sai'er'wei'wu'si
塞尔维乌斯改革,sai'er'wei'wu'si'gai'ge
塞万提斯,sai'wan'ti'si
赛先生,sai'xian'sheng
三国同盟,san'guo'tong'meng
三国协约,san'guo'xie'yue
三级会议,san'ji'hui'yi
三角航程,san'jiao'hang'cheng
三角缘神兽镜,san'jiao'yuan'shen'shou'jing
三井财阀,san'jing'cai'fa
三菱财阀,san'ling'cai'fa
三十年战争,san'shi'nian'zhan'zheng
三体石经,san'ti'shi'jing
三饷,san'xiang
桑地诺,sang'di'nuo
色当,se'dang
色佛尔和约,se'fo'er'he'yue
刹帝利,sha'di'li
沙井文化,sha'jing'wen'hua
沙普尔二世,sha'pu'er'er'shi
闪电貂,shan'dian'diao
闪击战,shan'ji'zhan
山名宗全,shan'ming'zong'quan
商凭,shang'ping
社会主义工人国际,she'hui'zhu'yi'gong'ren'guo'ji
神庙经济,shen'miao'jing'ji
神圣罗马帝国,shen'sheng'luo'ma'di'guo
神圣同盟,shen'sheng'tong'meng
省港大罢工,sheng'gang'da'ba'gong
圣库制度,sheng'ku'zhi'du
绳文文化,sheng'wen'wen'hua
绳纹文化,sheng'wen'wen'hua
食菜事魔教,shi'cai'shi'mo'jiao
室町,shi'ding
室町幕府,shi'ding'mu'fu
十二铜表法,shi'er'tong'biao'fa
十二月党人起义,shi'er'yue'dang'ren'qi'yi
世界石油主产区,shi'jie'shi'you'zhu'chan'qu
失蜡法,shi'la'fa
史里芬计划,shi'li'fen'ji'hua
十七史商榷,shi'qi'shi'shang'que
史汀生主义,shi'ting'sheng'zhu'yi
十通,shi'tong
史通,shi'tong
时务报,shi'wu'bao
世袭领地,shi'xi'ling'di
施洋,shi'yang
十一抽杀令,shi'yi'chou'sha'ling
石油问题,shi'you'wen'ti
十月革命,shi'yue'ge'ming
十字军东侵,shi'zi'jun'dong'qin
手斧,shou'fu
授权法,shou'quan'fa
授权下,shou'quan'xia
守土抗战,shou'tu'kang'zhan
守土乡官,shou'tu'xiang'guan
首陀罗,shou'tuo'luo
输籍法,shu'ji'fa
舒曼计划,shu'man'ji'hua
税务司,shui'wu'si
斯巴达,si'ba'da
斯巴达克起义,si'ba'da'ke'qi'yi
斯巴达克同盟,si'ba'da'ke'tong'meng
四百人议事会,si'bai'ren'yi'shi'hui
斯达汉诺夫运动,si'da'han'nuo'fu'yun'dong
斯大林格勒会战,si'da'lin'ge'le'hui'zhan
斯多葛学派,si'duo'ge'xue'pai
四季捺钵,si'ji'na'bo
斯拉夫派,si'la'fu'pai
司礼监,si'li'jian
司母戊鼎,si'mu'wu'ding
斯图亚特王朝,si'tu'ya'te'wang'chao
斯托雷平土地改革,si'tuo'lei'ping'tu'di'gai'ge
死亡集中营,si'wang'ji'zhong'ying
斯维尔德洛夫,si'wei'er'de'luo'fu
四一二反革命政变,si'yi'er'fan'ge'ming'zheng'bian
四月提纲,si'yue'ti'gang
苏德互不侵犯条约,su'de'hu'bu'qin'fan'tiao'yue
窣堵波,su'du'bo
苏芬战争,su'fen'zhan'zheng
苏福省,su'fu'sheng
苏格拉底,su'ge'la'di
苏莱曼,su'lai'man
苏莱曼大帝,su'lai'man'da'di
苏黎世三人团,su'li'shi'san'ren'tuan
苏联农业全盘集体化运动,su'lian'nong'ye'quan'pan'ji'ti'hua'yun'dong
苏联社会主义工业化方针,su'lian'she'hui'zhu'yi'gong'ye'hua'fang'zhen
苏罗婆,su'luo'po
苏台德,su'tai'de
苏我稻目,su'wo'dao'mu
绥靖政策,sui'jing'zheng'ce
孙膑兵法,sun'bin'bing'fa
孙子兵法,sun'zi'bing'fa
梭伦改革,suo'lun'gai'ge
琐罗亚斯德教,suo'luo'ya'si'de'jiao
琐罗亚斯特教,suo'luo'ya'si'te'jiao
索姆河战役,suo'mu'he'zhan'yi
塔西坨,ta'xi'tuo
台尔曼,tai'er'man
太平军,tai'ping'jun
太平洋战争,tai'ping'yang'zhan'zheng
太阳田,tai'yang'tian
摊丁入亩,tan'ding'ru'mu
唐律疏议,tang'lv'shu'yi
陶片放逐,tao'pian'fang'zhu
桃山文化,tao'shan'wen'hua
提洛同盟,ti'luo'tong'meng
提刑按察使司,ti'xing'an'cha'shi'si
梯也尔,ti'ye'er
天朝田亩制度,tian'chao'tian'mu'zhi'du
田里不鬻,tian'li'bu'yu
田凭,tian'ping
天守阁,tian'shou'ge
田中奏折,tian'zhong'zou'zhe
贴经,tie'jing
铁列平,tie'lie'ping
铁列平改革,tie'lie'ping'gai'ge
帖木儿,tie'mu'er
铁托,tie'tuo
通道会议,tong'dao'hui'yi
通典,tong'dian
同平章事,tong'ping'zhang'shi
通事,tong'shi
通史,tong'shi
同文馆,tong'wen'guan
通志,tong'zhi
同中书门下三品,tong'zhong'shu'men'xia'san'pin
土墩墓,tu'dun'mu
图拉真,tu'la'zhen
图特摩斯三世,tu'te'mo'si'san'shi
土一揆,tu'yi'kui
团关政策,tuan'guan'zheng'ce
托勒密,tuo'le'mi
托利党,tuo'li'dang
托洛茨基,tuo'luo'ci'ji
托洛茨基主义,tuo'luo'ci'ji'zhu'yi
托马斯阿奎那,tuo'ma'si'a'kui'na
瓦尔密战役,wa'er'mi'zhan'yi
瓦尔那,wa'er'na
瓦特泰勒起义,wa'te'tai'le'qi'yi
望厦条约,wang'xia'tiao'yue
魏德迈,wei'de'mai
卫国战争,wei'guo'zhan'zheng
为恢复,wei'hui'fu
威廉二世,wei'lian'er'shi
威廉李卜克内西,wei'lian'li'bu'ke'nei'xi
魏玛共和国,wei'ma'gong'he'guo
威尼斯共和国,wei'ni'si'gong'he'guo
委任统治,wei'ren'tong'zhi
为首的,wei'shou'de
魏特林,wei'te'lin
维希政府,wei'xi'zheng'fu
维也纳会议,wei'ye'na'hui'yi
温泉关战役,wen'quan'guan'zhan'yi
文史通义,wen'shi'tong'yi
问题与主义之争,wen'ti'yu'zhu'yi'zhi'zheng
文献通考,wen'xian'tong'kao
文艺复兴,wen'yi'fu'xing
沃姆斯宗教协定,wo'mu'si'zong'jiao'xie'ding
屋大维,wu'da'wei
伍德罗威尔逊,wu'de'luo'wei'er'xun
无敌舰队,wu'di'jian'dui
武丁,wu'ding
乌尔班二世,wu'er'ban'er'shi
吴哥王朝,wu'ge'wang'chao
武官村大墓,wu'guan'cun'da'mu
武科,wu'ke
雾月政变,wu'yue'zheng'bian
西班牙内战,xi'ban'ya'nei'zhan
西本愿寺,xi'ben'yuan'si
希波克拉底,xi'bo'ke'la'di
希伯来王国,xi'bo'lai'wang'guo
希波战争,xi'bo'zhan'zheng
细川胜元,xi'chuan'sheng'yuan
西芳寺,xi'fang'si
喜克索斯,xi'ke'suo'si
希腊化时代,xi'la'hua'shi'dai
希拉克略,xi'la'ke'lue
锡兰岛,xi'lan'dao
