保卫部,bao'wei'bu
首都网络文明研究基地,shou'du'wang'luo'wen'ming'yan'jiu'ji'di
数学科学系,shu'xue'ke'xue'xi
数字电视国家工程实验室北京,shu'zi'dian'shi'guo'jia'gong'cheng'shi'yan'shi'bei'jing
水电设计,shui'dian'she'ji
水利水电工程系,shui'li'shui'dian'gong'cheng'xi
水利水电设计研究院,shui'li'shui'dian'she'ji'yan'jiu'yuan
水利系水文水资源所,shui'li'xi'shui'wen'shui'zi'yuan'suo
思想文化研究所,si'xiang'wen'hua'yan'jiu'suo
体育部,ti'yu'bu
体育教研部,ti'yu'jiao'yan'bu
同方公司,tong'fang'gong'si
通力公司,tong'li'gong'si
统战部,tong'zhan'bu
土木工程系,tu'mu'gong'cheng'xi
土木水利学院,tu'mu'shui'li'xue'yuan
图书馆,tu'shu'guan
土水学院,tu'shui'xue'yuan
土水学院建筑材料实验室,tu'shui'xue'yuan'jian'zhu'cai'liao'shi'yan'shi
团委,tuan'wei
团委会,tuan'wei'hui
外国留学生工作办公室,wai'guo'liu'xue'sheng'gong'zuo'ban'gong'shi
外语系,wai'yu'xi
网络多媒体北京市重点实验室,wang'luo'duo'mei'ti'bei'jing'shi'zhong'dian'shi'yan'shi
网络中心,wang'luo'zhong'xin
微电子所,wei'dian'zi'suo
微电子学研究所,wei'dian'zi'xue'yan'jiu'suo
微电子与纳电子学系,wei'dian'zi'yu'na'dian'zi'xue'xi
文化产业研究中心,wen'hua'chan'ye'yan'jiu'zhong'xin
文科处,wen'ke'chu
文科建设处,wen'ke'jian'she'chu
文研所,wen'yan'suo
五道口金融学院,wu'dao'kou'jin'rong'xue'yuan
物理系,wu'li'xi
物业中心,wu'ye'zhong'xin
武装部,wu'zhuang'bu
现代管理研究中心,xian'dai'guan'li'yan'jiu'zhong'xin
先进材料教育部重点实验室,xian'jin'cai'liao'jiao'yu'bu'zhong'dian'shi'yan'shi
先进成形制造教育部重点实验室,xian'jin'cheng'xing'zhi'zao'jiao'yu'bu'zhong'dian'shi'yan'shi
校办,xiao'ban
校团委,xiao'tuan'wei
校研团委,xiao'yan'tuan'wei
校医院,xiao'yi'yuan
校友会,xiao'you'hui
校友联络总会,xiao'you'lian'luo'zong'hui
校长办公室,xiao'zhang'ban'gong'shi
新材料国际研发中心,xin'cai'liao'guo'ji'yan'fa'zhong'xin
新能源与环境国际研发中心,xin'neng'yuan'yu'huan'jing'guo'ji'yan'fa'zhong'xin
新闻学院,xin'wen'xue'yuan
新闻与传播学院,xin'wen'yu'chuan'bo'xue'yuan
新闻中心,xin'wen'zhong'xin
信息化工作办公室,xin'xi'hua'gong'zuo'ban'gong'shi
信息化技术中心,xin'xi'hua'ji'shu'zhong'xin
信息科学技术学院,xin'xi'ke'xue'ji'shu'xue'yuan
信息科学与技术国家实验室筹,xin'xi'ke'xue'yu'ji'shu'guo'jia'shi'yan'shi'chou
信息网络工程研究中心,xin'xi'wang'luo'gong'cheng'yan'jiu'zhong'xin
信息系统安全教育部重点实验室,xin'xi'xi'tong'an'quan'jiao'yu'bu'zhong'dian'shi'yan'shi
信息中心,xin'xi'zhong'xin
信研院,xin'yan'yuan
修缮校园管理中心,xiu'shan'xiao'yuan'guan'li'zhong'xin
修缮中心,xiu'shan'zhong'xin
宣传部,xuan'chuan'bu
学报编辑部,xue'bao'bian'ji'bu
学报部,xue'bao'bu
学生部,xue'sheng'bu
学生处,xue'sheng'chu
学生社区服务中心,xue'sheng'she'qu'fu'wu'zhong'xin
学堂班,xue'tang'ban
学位办,xue'wei'ban
学习发展指导中心,xue'xi'fa'zhan'zhi'dao'zhong'xin
训练中心,xun'lian'zhong'xin
研究生院,yan'jiu'sheng'yuan
研团委,yan'tuan'wei
药学系,yao'xue'xi
艺教中心,yi'jiao'zhong'xin
艺术教育中心,yi'shu'jiao'yu'zhong'xin
医学系,yi'xue'xi
医学院,yi'xue'yuan
医研院,yi'yan'yuan
饮食中心,yin'shi'zhong'xin
应急管理研究基地,ying'ji'guan'li'yan'jiu'ji'di
营销系,ying'xiao'xi
应用技术学院,ying'yong'ji'shu'xue'yuan
应用力学教育部重点实验室,ying'yong'li'xue'jiao'yu'bu'zhong'dian'shi'yan'shi
幼儿园,you'er'yuan
宇航技术研究中心,yu'hang'ji'shu'yan'jiu'zhong'xin
宇航中心,yu'hang'zhong'xin
浙江研究院,zhe'jiang'yan'jiu'yuan
哲学系,zhe'xue'xi
哲学与社会学系,zhe'xue'yu'she'hui'xue'xi
正大公司,zheng'da'gong'si
治安派出所,zhi'an'pai'chu'suo
智能技术与系统国家重点实验室,zhi'neng'ji'shu'yu'xi'tong'guo'jia'zhong'dian'shi'yan'shi
中俄战略合作研究所,zhong'e'zhan'lue'he'zuo'yan'jiu'suo
中国语言文学系,zhong'guo'yu'yan'wen'xue'xi
中文系,zhong'wen'xi
中药化学实验室,zhong'yao'hua'xue'shi'yan'shi
周培源应用数学研究中心,zhou'pei'yuan'ying'yong'shu'xue'yan'jiu'zhong'xin
资产管理处,zi'chan'guan'li'chu
自动化系,zi'dong'hua'xi
紫光集团,zi'guang'ji'tuan
总办,zong'ban
总务长办公室,zong'wu'zhang'ban'gong'shi
组织部,zu'zhi'bu
