半自动步枪,ban'zi'dong'bu'qiang
枪口动能,qiang'kou'dong'neng
枪口活力,qiang'kou'huo'li
枪榴弹,qiang'liu'dan
侵彻,qin'che
侵彻力,qin'che'li
轻机枪,qing'ji'qiang
轻弹,qing'tan
轻武器,qing'wu'qi
轻型火炮,qing'xing'huo'pao
轻型装甲目标,qing'xing'zhuang'jia'mu'biao
轻重两用机枪,qing'zhong'liang'yong'ji'qiang
燃烧弹,ran'shao'dan
人形系数,ren'xing'xi'shu
弱风,ruo'feng
散布密集界,san'bu'mi'ji'jie
散布面,san'bu'mian
散布中心,san'bu'zhong'xin
散布轴线,san'bu'zhou'xian
扫清射界,sao'qing'she'jie
杀伤力,sha'shang'li
山地射击,shan'di'she'ji
闪光目标,shan'guang'mu'biao
射表,she'biao
射程,she'cheng
射弹,she'dan
射弹方向,she'dan'fang'xiang
射弹距离,she'dan'ju'li
射弹散布,she'dan'san'bu
射击,she'ji
射击方法,she'ji'fang'fa
射击精度,she'ji'jing'du
射击目标,she'ji'mu'biao
射击频率,she'ji'pin'lv
射击武器,she'ji'wu'qi
射击效果,she'ji'xiao'guo
射击学,she'ji'xue
射击学理,she'ji'xue'li
射击准备,she'ji'zhun'bei
射角,she'jiao
射界,she'jie
射面,she'mian
射手,she'shou
射速,she'su
射线,she'xian
射效矫正,she'xiao'jiao'zheng
升弧,sheng'hu
实弹射击,shi'dan'she'ji
实地危险界,shi'di'wei'xian'jie
实际射击距离,shi'ji'she'ji'ju'li
实际射速,shi'ji'she'su
手榴弹,shou'liu'dan
手枪,shou'qiang
死角,si'jiao
送弹,song'tan
膛内弹道学,tang'nei'dan'dao'xue
膛外弹道学,tang'wai'dan'dao'xue
膛线,tang'xian
膛压,tang'ya
特种弹,te'zhong'tan
提前量,ti'qian'liang
跳眼法,tiao'yan'fa
退壳,tui'ke
脱靶,tuo'ba
外弹道,wai'dan'dao
外弹道学,wai'dan'dao'xue
弯曲弹道,wan'qu'dan'dao
微口径步枪,wei'kou'jing'bu'qiang
微声冲锋枪,wei'sheng'chong'feng'qiang
危险界,wei'xian'jie
误差,wu'cha
狭窄目标,xia'zhai'mu'biao
小口径步枪,xiao'kou'jing'bu'qiang
斜风,xie'feng
斜射,xie'she
信号弹,xin'hao'dan
信号内容,xin'hao'nei'rong
信号枪,xin'hao'qiang
行进间射击,xing'jin'jian'she'ji
验枪,yan'qiang
曳光弹,ye'guang'dan
夜间射击,ye'jian'she'ji
翼后射,yi'hou'she
翼后射击,yi'hou'she'ji
隐显目标,yin'xian'mu'biao
应用射击,ying'yong'she'ji
有效射程,you'xiao'she'cheng
有效射击距离,you'xiao'she'ji'ju'li
预期命中点,yu'qi'ming'zhong'dian
月夜射击,yue'ye'she'ji
运动目标,yun'dong'mu'biao
战斗射击,zhan'dou'she'ji
战斗射速,zhan'dou'she'su
战斗性能,zhan'dou'xing'neng
战术性能,zhan'shu'xing'neng
遮蔽角,zhe'bi'jiao
遮蔽界,zhe'bi'jie
遮蔽物,zhe'bi'wu
真空中弹道,zhen'kong'zhong'dan'dao
正面散布射,zheng'mian'san'bu'she
正面射,zheng'mian'she
正面纵深散布射,zheng'mian'zong'shen'san'bu'she
指幅,zhi'fu
直射,zhi'she
直射距离,zhi'she'ju'li
直射武器,zhi'she'wu'qi
重机枪,zhong'ji'qiang
专用枪,zhuan'yong'qiang
装弹,zhuang'dan
装药,zhuang'yao
装药温度,zhuang'yao'wen'du
追随射击,zhui'sui'she'ji
准星测距法,zhun'xing'ce'ju'fa
子弹,zi'dan
自动步枪,zi'dong'bu'qiang
自动武器,zi'dong'wu'qi
纵长目标,zong'chang'mu'biao
纵风,zong'feng
纵深散布射,zong'shen'san'bu'she
最大弹道高,zui'da'dan'dao'gao
最大射程角,zui'da'she'cheng'jiao
