白切牛百叶,bai'qie'niu'bai'ye
凉拌猪耳,liang'ban'zhu'er
凉瓜炒蛋,liang'gua'chao'dan
凉瓜牛肉,liang'gua'niu'rou
卤水拼盘,lu'shui'pin'pan
萝卜,luo'bo
萝卜丝鲫鱼汤,luo'bo'si'ji'yu'tang
麻辣肚丝,ma'la'du'si
麻辣火锅底,ma'la'huo'guo'di
麻辣鸡火锅,ma'la'ji'huo'guo
麻辣牛肉,ma'la'niu'rou
麻辣兔火锅,ma'la'tu'huo'guo
麻婆豆腐,ma'po'dou'fu
毛肚,mao'du
梅菜扣肉,mei'cai'kou'rou
美极虾,mei'ji'xia
魔芋烧鸭,mo'yu'shao'ya
木耳,mu'er
牛百叶,niu'bai'ye
牛肉片,niu'rou'pian
农家白切鸡,nong'jia'bai'qie'ji
农家小炒肉,nong'jia'xiao'chao'rou
拍黄瓜,pai'huang'gua
泡椒肥肠,pao'jiao'fei'chang
泡椒牛肉,pao'jiao'niu'rou
泡椒田鸡,pao'jiao'tian'ji
泡椒猪肝,pao'jiao'zhu'gan
啤酒鸭火锅,pi'jiu'ya'huo'guo
平菇,ping'gu
奇味手撕鸡,qi'wei'shou'si'ji
千张,qian'zhang
炝炒包菜,qiang'chao'bao'cai
青菜,qing'cai
清炒莲藕,qing'chao'lian'ou
清炒莴笋丝,qing'chao'wo'sun'si
青瓜皮蛋汤,qing'gua'pi'dan'tang
青椒炒蛋,qing'jiao'chao'dan
青椒回锅肉,qing'jiao'hui'guo'rou
青椒煎蛋,qing'jiao'jian'dan
青椒皮蛋,qing'jiao'pi'dan
青椒肉丝,qing'jiao'rou'si
青椒玉米,qing'jiao'yu'mi
清汤火锅底,qing'tang'huo'guo'di
清蒸福寿鱼,qing'zheng'fu'shou'yu
清蒸鲩鱼,qing'zheng'huan'yu
清蒸排骨,qing'zheng'pai'gu
日本豆腐煲,ri'ben'dou'fu'bao
三鲜汤,san'xian'tang
砂锅肥肠,sha'guo'fei'chang
砂锅狗肉,sha'guo'gou'rou
砂锅啤酒鸭,sha'guo'pi'jiu'ya
砂锅羊肉,sha'guo'yang'rou
砂锅鱼头,sha'guo'yu'tou
上汤煲淋大白菜,shang'tang'bao'lin'da'bai'cai
生炒菜心,sheng'chao'cai'xin
手撕包菜,shou'si'bao'cai
水煮肉片,shui'zhu'rou'pian
水煮鳝鱼,shui'zhu'shan'yu
水煮田鸡,shui'zhu'tian'ji
水煮鱼头,shui'zhu'yu'tou
松仁松鼠鱼,song'ren'song'shu'yu
松仁玉米,song'ren'yu'mi
酥肉,su'rou
酥肉汤,su'rou'tang
酸菜粉丝汤,suan'cai'fen'si'tang
酸菜水煮活鱼,suan'cai'shui'zhu'huo'yu
酸菜鱼,suan'cai'yu
酸豆角肉沫,suan'dou'jiao'rou'mo
酸辣大白菜,suan'la'da'bai'cai
酸辣带皮狗肉,suan'la'dai'pi'gou'rou
酸辣肥肠,suan'la'fei'chang
酸辣羹,suan'la'geng
酸辣鸡杂,suan'la'ji'za
酸辣藕丁,suan'la'ou'ding
酸辣三丝,suan'la'san'si
酸辣土豆丝,suan'la'tu'dou'si
酸辣猪肚,suan'la'zhu'du
酸萝卜老鸭汤,suan'luo'bo'lao'ya'tang
蒜泥白肉,suan'ni'bai'rou
碎肉粉条,sui'rou'fen'tiao
糖醋包菜,tang'cu'bao'cai
糖醋脆皮鱼,tang'cu'cui'pi'yu
糖醋里脊,tang'cu'li'ji
糖醋排骨,tang'cu'pai'gu
天府毛血旺,tian'fu'mao'xue'wang
甜品玉米羹,tian'pin'yu'mi'geng
跳水田鸡,tiao'shui'tian'ji
铁板肥肠,tie'ban'fei'chang
铁板鸡杂,tie'ban'ji'za
铁板牛肉,tie'ban'niu'rou
铁板茄子,tie'ban'qie'zi
铁板日本豆腐,tie'ban'ri'ben'dou'fu
铁板鳝鱼,tie'ban'shan'yu
铁板田鸡,tie'ban'tian'ji
铁板腰花,tie'ban'yao'hua
铁板猪肚,tie'ban'zhu'du
铁板猪杂,tie'ban'zhu'za
土豆,tu'dou
莴笋,wo'sun
莴笋肚条,wo'sun'du'tiao
莴笋肉丝,wo'sun'rou'si
乌江活水鱼,wu'jiang'huo'shui'yu
西红柿炒蛋,xi'hong'shi'chao'dan
西红柿煎蛋汤,xi'hong'shi'jian'dan'tang
咸鱼茄瓜煲,xian'yu'qie'gua'bao
香菜,xiang'cai
香菇,xiang'gu
香菇肉丝,xiang'gu'rou'si
香菇烧鸡煲,xiang'gu'shao'ji'bao
香辣霸王肘,xiang'la'ba'wang'zhou
香辣卤猪脚,xiang'la'lu'zhu'jiao
香辣盆盆虾,xiang'la'pen'pen'xia
香辣田鸡,xiang'la'tian'ji
香辣虾,xiang'la'xia
湘西外婆菜,xiang'xi'wai'po'cai
小葱拌豆腐,xiao'cong'ban'dou'fu
雪里红肉沫,xue'li'hong'rou'mo
盐煎肉,yan'jian'rou
盐水菜心,yan'shui'cai'xin
羊肉,yang'rou
羊肉火锅,yang'rou'huo'guo
腰片,yao'pian
野山椒牛肉丝,ye'shan'jiao'niu'rou'si
一品毛肚,yi'pin'mao'du
芋儿鸡火锅,yu'er'ji'huo'guo
芋儿烧鸡,yu'er'shao'ji
芋儿烧排骨,yu'er'shao'pai'gu
玉米排骨汤,yu'mi'pai'gu'tang
鱼头,yu'tou
鱼头豆腐煲,yu'tou'dou'fu'bao
鱼头豆腐汤,yu'tou'dou'fu'tang
鱼头粉丝煲,yu'tou'fen'si'bao
鱼香茄瓜煲,yu'xiang'qie'gua'bao
鱼香肉丝,yu'xiang'rou'si
鸳鸯火锅底,yuan'yang'huo'guo'di
杂菇煲,za'gu'bao
仔姜牛肉,zai'jiang'niu'rou
炸支竹,zha'zhi'zhu
蒸水蛋,zheng'shui'dan
支竹焖狗肉,zhi'zhu'men'gou'rou
猪肝,zhu'gan
猪肝平菇汤,zhu'gan'ping'gu'tang
猪血,zhu'xue
滋补全鸡汤,zi'bu'quan'ji'tang
滋补水鱼汤预订,zi'bu'shui'yu'tang'yu'ding
紫菜蛋花汤,zi'cai'dan'hua'tang
孜然牛肉,zi'ran'niu'rou
孜然排骨,zi'ran'pai'gu
