爱政,ai'zheng
塘东,tang'dong
塘坑,tang'keng
塘面,tang'mian
塘坪山,tang'ping'shan
塘山,tang'shan
塘田,tang'tian
田兰,tian'lan
天培岭,tian'pei'ling
田心,tian'xin
天心坝,tian'xin'ba
天子印,tian'zi'yin
铜锣湾,tong'luo'wan
土湖洞,tu'hu'dong
土头围,tu'tou'wei
瓦窑岗,wa'yao'gang
网岭下,wang'ling'xia
汪汤,wang'tang
围背,wei'bei
围背水库,wei'bei'shui'ku
围角头,wei'jiao'tou
围仂,wei'le
窝塘,wo'tang
五渡港水库,wu'du'gang'shui'ku
乌迳,wu'jing
午坑,wu'keng
武岭,wu'ling
武台岗,wu'tai'gang
午田,wu'tian
五洲,wu'zhou
西岸,xi'an
西洞,xi'dong
西坑,xi'keng
溪口,xi'kou
西泷,xi'long
溪塘,xi'tang
溪头,xi'tou
惜字塔,xi'zi'ta
下坝,xia'ba
下陂山,xia'bei'shan
下茶田,xia'cha'tian
下村,xia'cun
下洞,xia'dong
下汾,xia'fen
下高陂,xia'gao'bei
下黄岭,xia'huang'ling
下濑洞,xia'lai'dong
下兰田,xia'lan'tian
下楼,xia'lou
下坪,xia'ping
下赵岭,xia'zhao'ling
鲜地,xian'di
小陂,xiao'bei
小陂头,xiao'bei'tou
小东坑,xiao'dong'keng
小官田,xiao'guan'tian
小坑,xiao'keng
小泷头,xiao'long'tou
小梅洞,xiao'mei'dong
小石,xiao'shi
小水,xiao'shui
小水口,xiao'shui'kou
小水面,xiao'shui'mian
小塘,xiao'tang
小竹,xiao'zhu
谢皮,xie'pi
新长坑,xin'chang'keng
新村,xin'cun
新地,xin'di
新湖,xin'hu
新迳,xin'jing
新莲塘,xin'lian'tang
新龙,xin'long
新田,xin'tian
新围,xin'wei
新屋场,xin'wu'chang
雄州,xiong'zhou
修仁,xiu'ren
许村,xu'cun
勋口,xun'kou
牙狮寨,ya'shi'zhai
洋背,yang'bei
洋背坑,yang'bei'keng
洋地,yang'di
洋汾,yang'fen
洋湖,yang'hu
羊角岭,yang'jiao'ling
杨沥,yang'li
杨梅坑,yang'mei'keng
杨梅山,yang'mei'shan
洋西,yang'xi
窑合洞,yao'he'dong
窑头,yao'tou
窑灶口,yao'zao'kou
耶流,ye'liu
耶溪,ye'xi
逸汤,yi'tang
益田,yi'tian
用溪,yong'xi
油槽岭,you'cao'ling
油山,you'shan
鱼王石,yu'wang'shi
鱼鲜,yu'xian
鱼仙,yu'xian
元岭,yuan'ling
云西,yun'xi
寨背,zhai'bei
寨地,zhai'di
寨湾,zhai'wan
寨子背,zhai'zi'bei
樟地背,zhang'di'bei
丈古坵,zhang'gu'qiu
樟岭,zhang'ling
赵屋,zhao'wu
浈江,zhen'jiang
中洞,zhong'dong
钟鼓岩,zhong'gu'yan
中寺,zhong'si
忠心坑,zhong'xin'keng
中站,zhong'zhan
周地排,zhou'di'pai
朱安,zhu'an
朱安塘,zhu'an'tang
珠玑,zhu'ji
珠坑,zhu'keng
主田,zhu'tian
猪头岭,zhu'tou'ling
竹头坪,zhu'tou'ping
紫岭,zi'ling
