八儒,ba'ru
五行家,wu'hang'jia
五家七宗,wu'jia'qi'zong
婺学,wu'xue
西学,xi'xue
西藏佛教,xi'zang'fo'jiao
现代新儒家,xian'dai'xin'ru'jia
贤首宗,xian'shou'zong
先天学,xian'tian'xue
象山学派,xiang'shan'xue'pai
象数学,xiang'shu'xue
小乘,xiao'cheng
新程朱派,xin'cheng'zhu'pai
新理学,xin'li'xue
新陆王派,xin'lu'wang'pai
新青年派,xin'qing'nian'pai
新儒学,xin'ru'xue
新生命派,xin'sheng'ming'pai
新宋学,xin'song'xue
心无宗,xin'wu'zong
新心学,xin'xin'xue
心学,xin'xue
新学,xin'xue
性理学,xing'li'xue
刑名法术之学,xing'ming'fa'shu'zhi'xue
刑名家,xing'ming'jia
形名家,xing'ming'jia
性命义理之学,xing'ming'yi'li'zhi'xue
刑名之学,xing'ming'zhi'xue
醒狮派,xing'shi'pai
玄道,xuan'dao
玄学,xuan'xue
玄学派,xuan'xue'pai
学衡派,xue'heng'pai
颜李学派,yan'li'xue'pai
阳明学派,yang'ming'xue'pai
杨岐派,yang'qi'pai
洋务派,yang'wu'pai
姚江学派,yao'jiang'xue'pai
疑古派,yi'gu'pai
伊洛学派,yi'luo'xue'pai
阴阳家,yin'yang'jia
阴阳五行学派,yin'yang'wu'xing'xue'pai
永嘉学派,yong'jia'xue'pai
永康学派,yong'kang'xue'pai
甬上四先生,yong'shang'si'xian'sheng
有宗,you'zong
瑜伽行派,yu'jia'xing'pai
缘会宗,yuan'hui'zong
粤闽王门,yue'min'wang'men
云门宗,yun'men'zong
杂家,za'jia
早期改良主义者,zao'qi'gai'liang'zhu'yi'zhe
战国策派,zhan'guo'ce'pai
浙东学派,zhe'dong'xue'pai
浙中王门,zhe'zhong'wang'men
正始之音,zheng'shi'zhi'yin
正一,zheng'yi
正一道,zheng'yi'dao
支那内学院,zhi'na'nei'xue'yuan
廌山学派,zhi'shan'xue'pai
中观学派,zhong'guan'xue'pai
中国佛教,zhong'guo'fo'jiao
中间路线,zhong'jian'lu'xian
中学,zhong'xue
竹林七贤,zhu'lin'qi'xian
朱陆异同,zhu'lu'yi'tong
诸子百家,zhu'zi'bai'jia
诸子学,zhu'zi'xue
朱子学派,zhu'zi'xue'pai
庄子后学,zhuang'zi'hou'xue
资产阶级改良派,zi'chan'jie'ji'gai'liang'pai
资产阶级革命派,zi'chan'jie'ji'ge'ming'pai
子学,zi'xue
纵横家,zong'heng'jia
