阿兰若,a'lan're
桐华寺,tong'hua'si
同泰寺,tong'tai'si
托林寺,tuo'lin'si
瓦官寺,wa'guan'si
万佛寺,wan'fo'si
万福寺,wan'fu'si
万年寺,wan'nian'si
万寿寺,wan'shou'si
文成公主庙,wen'cheng'gong'zhu'miao
文殊院,wen'shu'yuan
卧佛寺,wo'fo'si
卧龙寺,wo'long'si
五当召,wu'dang'zhao
五精舍十塔,wu'jing'she'shi'ta
五轮塔,wu'lun'ta
乌素图召,wu'su'tu'zhao
五塔寺,wu'ta'si
五屯寺,wu'tun'si
无畏山寺,wu'wei'shan'si
乌尤寺,wu'you'si
悟真寺,wu'zhen'si
西禅寺,xi'chan'si
西大寺,xi'da'si
西芳寺,xi'fang'si
西教寺,xi'jiao'si
西来寺,xi'lai'si
席力图召,xi'li'tu'zhao
西明寺,xi'ming'si
西念寺,xi'nian'si
西寺,xi'si
西园寺,xi'yuan'si
夏鲁寺,xia'lu'si
显通寺,xian'tong'si
仙巖寺,xian'yan'si
相国寺,xiang'guo'si
香积寺,xiang'ji'si
香界寺,xiang'jie'si
香山寺,xiang'shan'si
香山昭庙,xiang'shan'zhao'miao
香巖寺,xiang'yan'si
向原寺,xiang'yuan'si
小雁塔,xiao'yan'ta
小昭寺,xiao'zhao'si
新超峰寺,xin'chao'feng'si
新胜寺,xin'sheng'si
兴福寺,xing'fu'si
兴国寺,xing'guo'si
兴化寺,xing'hua'si
兴皇寺,xing'huang'si
兴教寺,xing'jiao'si
兴隆净寺,xing'long'jing'si
兴隆寺,xing'long'si
兴轮寺,xing'lun'si
修德寺,xiu'de'si
须弥福寿之庙,xu'mi'fu'shou'zhi'miao
悬空寺,xuan'kong'si
玄中寺,xuan'zhong'si
雪窦寺,xue'dou'si
雪峰寺,xue'feng'si
延福寺,yan'fu'si
延历寺,yan'li'si
延寿堂,yan'shou'tang
药师寺,yao'shi'si
一乘戒坛院,yi'cheng'jie'tan'yuan
一乘院,yi'cheng'yuan
银阁寺,yin'ge'si
因陀罗窟,yin'tuo'luo'ku
迎江寺,ying'jiang'si
应县木塔,ying'xian'mu'ta
雍和宫,yong'he'gong
永宁寺,yong'ning'si
永平寺,yong'ping'si
涌泉禅寺,yong'quan'chan'si
涌泉寺,yong'quan'si
祐国寺,you'guo'si
佑宁寺,you'ning'si
佑顺寺,you'shun'si
玉佛寺,yu'fo'si
玉华寺,yu'hua'si
玉泉寺,yu'quan'si
园城寺,yuan'cheng'si
圆光寺,yuan'guang'si
元亨寺,yuan'heng'si
圆觉寺,yuan'jue'si
缘切寺,yuan'qie'si
圆通寺,yuan'tong'si
元兴寺,yuan'xing'si
月精寺,yue'jing'si
岳林寺,yue'lin'si
云居寺,yun'ju'si
云门寺,yun'men'si
云巖寺,yun'yan'si
增上寺,zeng'shang'si
札仓,zha'cang
札什伦布寺,zha'shen'lun'bu'si
湛山寺,zhan'shan'si
昭觉寺,zhao'jue'si
昭庆律寺,zhao'qing'lv'si
招提,zhao'ti
真慧寺,zhen'hui'si
志度寺,zhi'du'si
知恩寺,zhi'en'si
知恩院,zhi'en'yuan
止贡寺,zhi'gong'si
陟岵寺,zhi'hu'si
智化寺,zhi'hua'si
智积院,zhi'ji'yuan
支提,zhi'ti
支提寺,zhi'ti'si
直指寺,zhi'zhi'si
中宫寺,zhong'gong'si
中尊寺,zhong'zun'si
竹林寺,zhu'lin'si
祝圣寺,zhu'sheng'si
竹溪寺,zhu'xi'si
庄严寺,zhuang'yan'si
卓尼寺,zhuo'ni'si
子孙庙,zi'sun'miao
紫云寺,zi'yun'si
总持寺,zong'chi'si
祖庭,zu'ting
佐钦寺,zuo'qin'si
