安彩妍,an'cai'yan
金英云,jin'ying'yun
金有谦,jin'you'qian
金有权,jin'you'quan
金宥真,jin'you'zhen
金元植,jin'yuan'zhi
金栽经,jin'zai'jing
金在中,jin'zai'zhong
金振焕,jin'zhen'huan
金珍熙,jin'zhen'xi
金振宇,jin'zhen'yu
金正雅,jin'zheng'ya
金智淑,jin'zhi'shu
金智妍,jin'zhi'yan
金智烨,jin'zhi'ye
金知元,jin'zhi'yuan
金钟大,jin'zhong'da
金钟仁,jin'zhong'ren
金钟炫,jin'zhong'xuan
金钟铉,jin'zhong'xuan
金钟云,jin'zhong'yun
具荷拉,ju'he'la
具俊会,ju'jun'hui
孔敏智,kong'min'zhi
李秉乔,li'bing'qiao
李彩麟,li'cai'lin
李昶旻,li'chang'min
李昌燮,li'chang'xie
李成烈,li'cheng'lie
李成钟,li'cheng'zhong
李东海,li'dong'hai
李海丽,li'hai'li
李浩沅,li'hao'yuan
李赫宰,li'he'zai
李弘彬,li'hong'bin
李洪基,li'hong'ji
李惠利,li'hui'li
李惠敏,li'hui'min
李金祚,li'jin'zuo
李居丽,li'ju'li
李俊昊,li'jun'hao
李美珠,li'mei'zhu
李敏赫,li'min'he
李旼赫,li'min'he
李起光,li'qi'guang
李晟敏,li'sheng'min
李胜贤,li'sheng'xian
李胜勋,li'sheng'xun
李顺圭,li'shun'gui
李泰民,li'tai'min
李泰一,li'tai'yi
李玟暎,li'wen'ying
李玟雨,li'wen'yu
李先镐,li'xian'gao
李孝恩,li'xiao'en
李秀晶,li'xiu'jing
李艺智,li'yi'zhi
李瑜瑛,li'yu'ying
李宰焕,li'zai'huan
李在真,li'zai'zhen
李赞熙,li'zan'xi
李珍基,li'zhen'ji
李政敏,li'zheng'min
李正信,li'zheng'xin
李珠妍,li'zhu'yan
李准,li'zhun
李宗泫,li'zong'xuan
梁耀燮,liang'yao'xie
林敏智,lin'min'zhi
林时完,lin'shi'wan
林英俊,lin'ying'jun
林允儿,lin'yun'er
林在范,lin'zai'fan
林珍娜,lin'zhen'na
刘昌贤,liu'chang'xian
柳秀静,liu'xiu'jing
刘逸云,liu'yi'yun
刘永才,liu'yong'cai
刘智嫒,liu'zhi'ai
龙俊亨,long'jun'heng
卢珉宇,lu'min'yu
陆星材,lu'xing'cai
卢乙,lu'yi
罗海灵,luo'hai'ling
孟佳,meng'jia
闵玧其,min'men'qi
南泰铉,nan'tai'xuan
南优铉,nan'you'xuan
南智贤,nan'zhi'xian
尼坤,ni'kun
诺依英,nuo'yi'ying
裴秀智,pei'xiu'zhi
裴佑熙,pei'you'xi
裴珠泫,pei'zhu'xuan
朴嘉熙,piao'jia'xi
朴有天,piao'you'tian
朴灿烈,pu'can'lie
朴草娥,pu'cao'e
朴初珑,pu'chu'long
朴春,pu'chun
朴惠京,pu'hui'jing
朴经,pu'jing
朴景丽,pu'jing'li
朴炯植,pu'jiong'zhi
朴奎利,pu'kui'li
朴美妍,pu'mei'yan
朴敏荷,pu'min'he
朴明恩,pu'ming'en
朴娜莱,pu'na'lai
朴山多拉,pu'shan'duo'la
朴善怜,pu'shan'lian
朴素珍,pu'su'zhen
朴相铉,pu'xiang'xuan
朴孝敏,pu'xiao'min
朴秀彬,pu'xiu'bin
朴秀荣,pu'xiu'rong
朴秀英,pu'xiu'ying
朴昭妍,pu'zhao'yan
朴珍荣,pu'zhen'rong
朴正花,pu'zheng'hua
朴正洙,pu'zheng'zhu
朴智旻,pu'zhi'min
朴智妍,pu'zhi'yan
朴忠载,pu'zhong'zai
朴珠贤,pu'zhu'xian
全宝蓝,quan'bao'lan
权珉阿,quan'min'a
权娜拉,quan'na'la
全孝盛,quan'xiao'sheng
全侑莉,quan'you'li
权俞利,quan'yu'li
权昭贤,quan'zhao'xian
权志龙,quan'zhi'long
全智允,quan'zhi'yun
任瑟雍,ren'se'yong
任炫植,ren'xuan'zhi
沈昌珉,shen'chang'min
申东熙,shen'dong'xi
申东佑,shen'dong'you
申惠晶,shen'hui'jing
申彗星,shen'hui'xing
沈贤星,shen'xian'xing
申智珉,shen'zhi'min
宋承炫,song'cheng'xuan
宋多寭,song'duo'hui
宋闵浩,song'min'hao
宋茜,song'qian
宋允亨,song'yun'heng
宋智恩,song'zhi'en
宋珠熙,song'zhu'xi
孙承欢,sun'cheng'huan
孙成雅,sun'cheng'ya
孙东云,sun'dong'yun
孙娜恩,sun'na'en
田正国,tian'zheng'guo
王霏霏,wang'fei'fei
王嘉尔,wang'jia'er
文俊英,wen'jun'ying
文玄雅,wen'xuan'ya
文晸赫,wen'zheng'he
文钟业,wen'zhong'ye
吴承姬,wu'cheng'ji
吴胜雅,wu'sheng'ya
吴世勋,wu'shi'xun
吴夏荣,wu'xia'rong
吴艺琳,wu'yi'lin
咸慇晶,xian'yin'jing
徐恩光,xu'en'guang
徐惠璘,xu'hui'lin
许嘉允,xu'jia'yun
许率智,xu'lv'zhi
许敏善,xu'min'shan
许敏真,xu'min'zhen
序英,xu'ying
许英智,xu'ying'zhi
徐酉奈,xu'you'nai
徐有庆,xu'you'qing
徐智秀,xu'zhi'xiu
徐珠贤,xu'zhu'xian
杨升昊,yang'sheng'hao
杨智媛,yang'zhi'yuan
尹宝拉,yin'bao'la
尹斗俊,yin'dou'jun
尹普美,yin'pu'mei
玉泽演,yu'ze'yan
禹智皓,yu'zhi'hao
张丞延,zhang'cheng'yan
张东雨,zhang'dong'yu
张睿恩,zhang'rui'en
张贤胜,zhang'xian'sheng
张艺兴,zhang'yi'xing
张佑荣,zhang'you'rong
赵光旻,zhao'guang'min
赵佳恩,zhao'jia'en
赵权,zhao'quan
赵荣旻,zhao'rong'min
赵素珍,zhao'su'zhen
赵贤荣,zhao'xian'rong
赵雅英,zhao'ya'ying
昭宥,zhao'you
郑丙熙,zheng'bing'xi
郑粲右,zheng'can'you
郑大贤,zheng'da'xian
郑恩地,zheng'en'di
郑号锡,zheng'hao'xi
郑荷娜,zheng'he'na
郑容和,zheng'rong'he
郑熹哲,zheng'xi'zhe
郑秀晶,zheng'xiu'jing
郑艺仁,zheng'yi'ren
郑镒勋,zheng'yi'xun
郑宥智,zheng'you'zhi
郑允浩,zheng'yun'hao
郑允惠,zheng'yun'hui
郑泽运,zheng'ze'yun
郑真英,zheng'zhen'ying
郑珍云,zheng'zhen'yun
智律,zhi'lv
朱敏希,zhu'min'xi
