安邦保险,an'bang'bao'xian
汇隆商城,hui'long'shang'cheng
火车站,huo'che'zhan
驾驶员培训中心,jia'shi'yuan'pei'xun'zhong'xin
建委宿舍,jian'wei'su'she
焦化厂,jiao'hua'chang
交警大队,jiao'jing'da'dui
交警二中队,jiao'jing'er'zhong'dui
交警支队,jiao'jing'zhi'dui
交通学校,jiao'tong'xue'xiao
交通学院,jiao'tong'xue'yuan
洁珲珠宝名店,jie'hui'zhu'bao'ming'dian
晋华医院,jin'hua'yi'yuan
晋华中学,jin'hua'zhong'xue
锦纶东路口,jin'lun'dong'lu'kou
锦纶五区,jin'lun'wu'qu
金融大厦,jin'rong'da'sha
金三角,jin'san'jiao
金世阳光小区,jin'shi'yang'guang'xiao'qu
晋中丰亿机械有限公司,jin'zhong'feng'yi'ji'xie'you'xian'gong'si
晋中晋华站,jin'zhong'jin'hua'zhan
晋中农发行,jin'zhong'nong'fa'hang
晋中市公安局,jin'zhong'shi'gong'an'ju
晋中市客运办,jin'zhong'shi'ke'yun'ban
晋中师院,jin'zhong'shi'yuan
晋中市中级法院,jin'zhong'shi'zhong'ji'fa'yuan
晋中新大宇不锈钢制品有限公司,jin'zhong'xin'da'yu'bu'xiu'gang'zhi'pin'you'xian'gong'si
晋中学院,jin'zhong'xue'yuan
晋中学院西门,jin'zhong'xue'yuan'xi'men
晋中学院西校区,jin'zhong'xue'yuan'xi'xiao'qu
晋中血站,jin'zhong'xue'zhan
晋中眼科医院仁信医院,jin'zhong'yan'ke'yi'yuan'ren'xin'yi'yuan
晋中一院,jin'zhong'yi'yuan
晋中职业技术学院,jin'zhong'zhi'ye'ji'shu'xue'yuan
经纬八区,jing'wei'ba'qu
经纬宾馆,jing'wei'bin'guan
经纬厂门口,jing'wei'chang'men'kou
经纬二生活区,jing'wei'er'sheng'huo'qu
经纬九区,jing'wei'jiu'qu
九龙滑雪场,jiu'long'hua'xue'chang
开白,kai'bai
李坊,li'fang
李墕,li'yan
粮建宿舍,liang'jian'su'she
辽源马术俱乐部,liao'yuan'ma'shu'ju'le'bu
蔺郊,lin'jiao
岭东小区,ling'dong'xiao'qu
领秀铭筑,ling'xiu'ming'zhu
六堡,liu'bao
流村,liu'cun
柳东街北口,liu'dong'jie'bei'kou
龙湖国际,long'hu'guo'ji
逯村,lu'cun
路招呼站,lu'zhao'hu'zhan
绿豆湾,lv'dou'wan
马村,ma'cun
马兰,ma'lan
煤气公司,mei'qi'gong'si
鸣李,ming'li
明亮集团,ming'liang'ji'tuan
鸣谦镇,ming'qian'zhen
南关村委,nan'guan'cun'wei
南合流,nan'he'liu
南校区,nan'xiao'qu
南要村口,nan'yao'cun'kou
南张村,nan'zhang'cun
南砖井村口,nan'zhuan'jing'cun'kou
聂村,nie'cun
聂村南口,nie'cun'nan'kou
牛村,niu'cun
霈霖,pei'lin
汽车站,qi'che'zhan
汽修厂,qi'xiu'chang
桥东街东口,qiao'dong'jie'dong'kou
庆城,qing'cheng
秋村,qiu'cun
区医院,qu'yi'yuan
区政府,qu'zheng'fu
日化厂口,ri'hua'chang'kou
荣军疗养院宿舍,rong'jun'liao'yang'yuan'su'she
三水,san'shui
山西宝泰药业有限责任公司,shan'xi'bao'tai'yao'ye'you'xian'ze'ren'gong'si
山西成信油肪有限公司,shan'xi'cheng'xin'you'fang'you'xian'gong'si
山西传媒艺术学院西门,shan'xi'chuan'mei'yi'shu'xue'yuan'xi'men
山西鼎正钢结构有限公司,shan'xi'ding'zheng'gang'jie'gou'you'xian'gong'si
山西海锐五金工业有限公司,shan'xi'hai'rui'wu'jin'gong'ye'you'xian'gong'si
山西鸿基实业有限公司,shan'xi'hong'ji'shi'ye'you'xian'gong'si
山西沪晋纺织机械有限公司,shan'xi'hu'jin'fang'zhi'ji'xie'you'xian'gong'si
山西经纬合力机械有限公司三厂,shan'xi'jing'wei'he'li'ji'xie'you'xian'gong'si'san'chang
山西孟氏集团,shan'xi'meng'shi'ji'tuan
山西三明重工机械制造有限公司,shan'xi'san'ming'zhong'gong'ji'xie'zhi'zao'you'xian'gong'si
山西医科大学,shan'xi'yi'ke'da'xue
山西医科大学西门,shan'xi'yi'ke'da'xue'xi'men
山西医学院晋中学院,shan'xi'yi'xue'yuan'jin'zhong'xue'yuan
山西证券,shan'xi'zheng'quan
山西中捷钢结构彩板有限公司,shan'xi'zhong'jie'gang'jie'gou'cai'ban'you'xian'gong'si
山西中医学院,shan'xi'zhong'yi'xue'yuan
山西综合职业技术学校,shan'xi'zong'he'zhi'ye'ji'shu'xue'xiao
山庄头,shan'zhuang'tou
上东庭院,shang'dong'ting'yuan
上戈,shang'ge
商贸城,shang'mao'cheng
神堂沟,shen'tang'gou
什贴,shen'tie
省高校新区,sheng'gao'xiao'xin'qu
省看守所,sheng'kan'shou'suo
圣许村,sheng'xu'cun
石槽头,shi'cao'tou
石圪塔,shi'ge'ta
市委党校,shi'wei'dang'xiao
市委宿舍,shi'wei'su'she
石油公司,shi'you'gong'si
石油公司宿舍,shi'you'gong'si'su'she
师院路口,shi'yuan'lu'kou
使张村,shi'zhang'cun
使张村口,shi'zhang'cun'kou
使赵,shi'zhao
市政府,shi'zheng'fu
述巴,shu'ba
水泥厂,shui'ni'chang
水总建筑工程公司,shui'zong'jian'zhu'gong'cheng'gong'si
水总宿舍,shui'zong'su'she
顺泰电器,shun'tai'dian'qi
思凤街,si'feng'jie
苏村,su'cun
苏家庄,su'jia'zhuang
蒜峪,suan'yu
太行小学,tai'hang'xiao'xue
泰山庙小学,tai'shan'miao'xiao'xue
泰鑫商务楼,tai'xin'shang'wu'lou
太原理工大学,tai'yuan'li'gong'da'xue
体委宿舍,ti'wei'su'she
体校,ti'xiao
体育公园南门,ti'yu'gong'yuan'nan'men
天河娱乐城,tian'he'yu'le'cheng
田家湾,tian'jia'wan
田乔,tian'qiao
天意商城,tian'yi'shang'cheng
铁华大厦,tie'hua'da'sha
铁三局宿舍,tie'san'ju'su'she
万博数码港,wan'bo'shu'ma'gang
万辉灯饰,wan'hui'deng'shi
万客隆家俬城,wan'ke'long'jia'si'cheng
万客隆家私城,wan'ke'long'jia'si'cheng
王村,wang'cun
王杜,wang'du
王都,wang'du
王湖北口,wang'hu'bei'kou
王湖南口,wang'hu'nan'kou
网通大厦,wang'tong'da'sha
纬四街口,wei'si'jie'kou
魏榆饭店,wei'yu'fan'dian
文教城,wen'jiao'cheng
文教城招呼站,wen'jiao'cheng'zhao'hu'zhan
文苑街口,wen'yuan'jie'kou
五二五库,wu'er'wu'ku
武警支队,wu'jing'zhi'dui
五龙沟,wu'long'gou
西长凝,xi'chang'ning
西长寿,xi'chang'shou
西胡乔,xi'hu'qiao
西洛,xi'luo
西祁,xi'qi
西荣,xi'rong
西双村口,xi'shuang'cun'kou
西墕,xi'yan
西苑小区,xi'yuan'xiao'qu
下黄彩,xia'huang'cai
线材厂,xian'cai'chang
相立,xiang'li
潇河湾小区,xiao'he'wan'xiao'qu
小王湖,xiao'wang'hu
小峪口,xiao'yu'kou
新华街,xin'hua'jie
新华书店,xin'hua'shu'dian
新建北路北口,xin'jian'bei'lu'bei'kou
新建路北口,xin'jian'lu'bei'kou
新建路南口,xin'jian'lu'nan'kou
新建路小区,xin'jian'lu'xiao'qu
新兴国际文教城,xin'xing'guo'ji'wen'jiao'cheng
新兴学校,xin'xing'xue'xiao
鑫窑煤矿,xin'yao'mei'kuang
鑫源家居,xin'yuan'jia'ju
兴隆庄,xing'long'zhuang
兴治,xing'zhi
修文村委,xiu'wen'cun'wei
许曲,xu'qu
演武,yan'wu
杨壁,yang'bi
杨村,yang'cun
杨坊,yang'fang
杨梁,yang'liang
窑新街口,yao'xin'jie'kou
宜家家居,yi'jia'jia'ju
义井,yi'jing
颐景国际大酒店,yi'jing'guo'ji'da'jiu'dian
一职中,yi'zhi'zhong
迎宾不锈钢公司,ying'bin'bu'xiu'gang'gong'si
永康,yong'kang
峪壁,yu'bi
榆次八中,yu'ci'ba'zhong
榆次二中,yu'ci'er'zhong
榆次老城,yu'ci'lao'cheng
榆次六中,yu'ci'liu'zhong
榆次区中医院,yu'ci'qu'zhong'yi'yuan
榆次生华工业用布纺织有限公司,yu'ci'sheng'hua'gong'ye'yong'bu'fang'zhi'you'xian'gong'si
榆次十中,yu'ci'shi'zhong
玉湖公园,yu'hu'gong'yuan
御璟小区,yu'jing'xiao'qu
源涡,yuan'wo
源涡村委,yuan'wo'cun'wei
源涡小学,yuan'wo'xiao'xue
蕴华街口,yun'hua'jie'kou
运输处中学,yun'shu'chu'zhong'xue
造纸厂,zao'zhi'chang
张超,zhang'chao
张庆,zhang'qing
兆龙吊装,zhao'long'diao'zhuang
证券公司,zheng'quan'gong'si
正太饭店,zheng'tai'fan'dian
中百货二级站,zhong'bai'huo'er'ji'zhan
中都酒楼,zhong'du'jiu'lou
中国银行,zhong'guo'yin'hang
种子公司,zhong'zi'gong'si
庄子,zhuang'zi
紫坑,zi'keng
自来水公司,zi'lai'shui'gong'si
钻井,zuan'jing
左付,zuo'fu
