安全性,an'quan'xing
实物财产信托,shi'wu'cai'chan'xin'tuo
私益信托,si'yi'xin'tuo
他益信托,ta'yi'xin'tuo
特约信托,te'yue'xin'tuo
特种甲类外汇贷款,te'zhong'jia'lei'wai'hui'dai'kuan
特种乙类外汇贷款,te'zhong'yi'lei'wai'hui'dai'kuan
贴水储蓄,tie'shui'chu'xu
贴息贷款,tie'xi'dai'kuan
贴现,tie'xian
贴现率,tie'xian'lv
统存统贷,tong'cun'tong'dai
同业拆借,tong'ye'chai'jie
头寸,tou'cun
外汇贷款,wai'hui'dai'kuan
外汇信托业务,wai'hui'xin'tuo'ye'wu
外贸贷款,wai'mao'dai'kuan
委托贷款,wei'tuo'dai'kuan
委托投资,wei'tuo'tou'zi
五小企业贷款,wu'xiao'qi'ye'dai'kuan
物资供销贷款,wu'zi'gong'xiao'dai'kuan
现金支票,xian'jin'zhi'piao
乡镇企业存款,xiang'zhen'qi'ye'cun'kuan
乡镇企业贷款,xiang'zhen'qi'ye'dai'kuan
乡镇企业生产设备贷款,xiang'zhen'qi'ye'sheng'chan'she'bei'dai'kuan
乡镇企业生产周转贷款,xiang'zhen'qi'ye'sheng'chan'zhou'zhuan'dai'kuan
消费信用,xiao'fei'xin'yong
小水电贷款,xiao'shui'dian'dai'kuan
信贷,xin'dai
信贷监督,xin'dai'jian'du
信贷信誉,xin'dai'xin'yu
信贷资金,xin'dai'zi'jin
信贷资金管理体制,xin'dai'zi'jin'guan'li'ti'zhi
信托,xin'tuo
信托报酬,xin'tuo'bao'chou
信托存款,xin'tuo'cun'kuan
信托贷款,xin'tuo'dai'kuan
信托代理人,xin'tuo'dai'li'ren
信托关系人,xin'tuo'guan'xi'ren
信托基金,xin'tuo'ji'jin
信托契约,xin'tuo'qi'yue
信托受托人,xin'tuo'shou'tuo'ren
信托受益权,xin'tuo'shou'yi'quan
信托受益人,xin'tuo'shou'yi'ren
信托受益证券,xin'tuo'shou'yi'zheng'quan
信托委托人,xin'tuo'wei'tuo'ren
信托资财,xin'tuo'zi'cai
信用,xin'yong
信用放款,xin'yong'fang'kuan
信用杠杆,xin'yong'gang'gan
信用合作社贷款,xin'yong'he'zuo'she'dai'kuan
信用紧缩,xin'yong'jin'suo
信用卡,xin'yong'ka
信用扩张,xin'yong'kuo'zhang
信用流动工具,xin'yong'liu'dong'gong'ju
信用膨胀,xin'yong'peng'zhang
信用社转存款,xin'yong'she'zhuan'cun'kuan
一般逾期贷款,yi'ban'yu'qi'dai'kuan
以销定贷,yi'xiao'ding'dai
遗嘱信托,yi'zhu'xin'tuo
银根,yin'gen
银行承兑汇票,yin'hang'cheng'dui'hui'piao
银行管理暂行条例,yin'hang'guan'li'zan'xing'tiao'li
银行汇票,yin'hang'hui'piao
银行监督,yin'hang'jian'du
银行票据,yin'hang'piao'ju
银行清偿力,yin'hang'qing'chang'li
银行统管流动资金,yin'hang'tong'guan'liu'dong'zi'jin
银行信用,yin'hang'xin'yong
银行自有资金,yin'hang'zi'you'zi'jin
盈利性,ying'li'xing
营业信托,ying'ye'xin'tuo
优惠利率,you'hui'li'lv
有价证券信托,you'jia'zheng'quan'xin'tuo
有奖储蓄,you'jiang'chu'xu
邮政代办储蓄,you'zheng'dai'ban'chu'xu
预期收入理论,yu'qi'shou'ru'li'lun
原始存款,yuan'shi'cun'kuan
月息,yue'xi
再抵押贷款,zai'di'ya'dai'kuan
灾区农民口粮无息贷款,zai'qu'nong'min'kou'liang'wu'xi'dai'kuan
再贴现,zai'tie'xian
再贴现率,zai'tie'xian'lv
择优扶植,ze'you'fu'zhi
折实储蓄,zhe'shi'chu'xu
政府信贷,zheng'fu'xin'dai
支票,zhi'piao
中间业务,zhong'jian'ye'wu
住宅储蓄,zhu'zhai'chu'xu
专业银行信贷计划,zhuan'ye'yin'hang'xin'dai'ji'hua
转移论,zhuan'yi'lun
转帐支票,zhuan'zhang'zhi'piao
庄票,zhuang'piao
资本掺水,zi'ben'chan'shui
资本放款,zi'ben'fang'kuan
资本主义信用,zi'ben'zhu'yi'xin'yong
资本主义信用危机,zi'ben'zhu'yi'xin'yong'wei'ji
资产管理理论,zi'chan'guan'li'li'lun
资产业务,zi'chan'ye'wu
自然利息率,zi'ran'li'xi'lv
资信评估,zi'xin'ping'gu
资信证明,zi'xin'zheng'ming
自益信托,zi'yi'xin'tuo
自愿储蓄,zi'yuan'chu'xu
综合信贷计划,zong'he'xin'dai'ji'hua
租赁信用,zu'lin'xin'yong
