岸芷汀兰,an'zhi'ting'lan
满目萧然,man'mu'xiao'ran
蒙络摇缀,meng'luo'yao'zhui
孟子,meng'zi
民弗从也,min'fu'cong'ye
明灭可见,ming'mie'ke'jian
乃重修岳阳楼,nai'chong'xiu'yue'yang'lou
乃记之而去,nai'ji'zhi'er'qu
乃入见,nai'ru'jian
难测也,nan'ce'ye
南极潇湘,nan'ji'xiao'xiang
男女衣着,nan'nv'yi'zhuo
南阳诸葛庐,nan'yang'zhu'ge'lu
其岸势犬牙差互,qi'an'shi'quan'ya'cha'hu
其必曰,qi'bi'yue
齐人三鼓,qi'ren'san'gu
凄神寒骨,qi'shen'han'gu
齐师败绩,qi'shi'bai'ji
齐师伐我,qi'shi'fa'wo
其喜洋洋者矣,qi'xi'yang'yang'zhe'yi
其乡人曰,qi'xiang'ren'yue
气象万千,qi'xiang'wan'qian
其中往来种作,qi'zhong'wang'lai'zhong'zuo
迁客骚人,qian'ke'sao'ren
阡陌交通,qian'mo'jiao'tong
前人之述备矣,qian'ren'zhi'shu'bei'yi
樯倾楫摧,qiang'qing'ji'cui
悄怆幽邃,qiao'chuang'you'sui
庆历四年春,qing'li'si'nian'chun
青树翠蔓,qing'shu'cui'man
全石以为底,quan'shi'yi'wei'di
然后能改,ran'hou'neng'gai
然后知生于忧患,ran'hou'zhi'sheng'yu'you'huan
然则北通巫峡,ran'ze'bei'tong'wu'xia
然则何时而乐耶,ran'ze'he'shi'er'le'ye
人不知而不愠,ren'bu'zhi'er'bu'yun
人恒过,ren'heng'guo
日光下彻,ri'guang'xia'che
日星隐耀,ri'xing'yin'yao
肉食者鄙,rou'shi'zhe'bi
肉食者谋之,rou'shi'zhe'mou'zhi
如鸣佩环,ru'ming'pei'huan
入则无法家拂士,ru'ze'wu'fa'jia'bi'shi
若夫霪雨霏霏,ruo'fu'yin'yu'fei'fei
三而竭,san'er'jie
沙鸥翔集,sha'ou'xiang'ji
山不在高,shan'bu'zai'gao
山有小口,shan'you'xiao'kou
山岳潜形,shan'yue'qian'xing
商旅不行,shang'lv'bu'xing
上下天光,shang'xia'tian'guang
神弗福也,shen'fu'fu'ye
生于忧患死于安乐,sheng'yu'you'huan'si'yu'an'le
是进亦忧,shi'jin'yi'you
时六年九月十五日,shi'liu'nian'jiu'yue'shi'wu'ri
十年春,shi'nian'chun
属予作文以记之,shu'yu'zuo'wen'yi'ji'zhi
水不在深,shui'bu'zai'shen
水尤清洌,shui'you'qing'lie
舜发于畎亩之中,shun'fa'yu'quan'mu'zhi'zhong
思而不学则殆,si'er'bu'xue'ze'dai
四面竹树环合,si'mian'zhu'shu'huan'he
斯是陋室,si'shi'lou'shi
似与游者相乐,si'yu'you'zhe'xiang'le
虽不能察,sui'bu'neng'cha
遂逐齐师,sui'zhu'qi'shi
孙叔敖举于海,sun'shu'ao'ju'yu'hai
所以动心忍性,suo'yi'dong'xin'ren'xing
苔痕上阶绿,tai'hen'shang'jie'lv
潭西南而望,tan'xi'nan'er'wang
谈笑有鸿儒,tan'xiao'you'hong'ru
潭中鱼可百许头,tan'zhong'yu'ke'bai'xu'tou
桃花源记,tao'hua'yuan'ji
陶渊明,tao'yuan'ming
滕子京谪守巴陵郡,teng'zi'jing'zhe'shou'ba'ling'jun
土地平旷,tu'di'ping'kuang
退亦忧,tui'yi'you
吞长江,tun'chang'jiang
往来无白丁,wang'lai'wu'bai'ding
往来翕忽,wang'lai'xi'hu
忘路之远近,wang'lu'zhi'yuan'jin
望其旗靡,wang'qi'qi'mi
为坻,wei'di
未可,wei'ke
未能远谋,wei'neng'yuan'mou
微斯人,wei'si'ren
惟吾德馨,wei'wu'de'xin
为岩,wei'yan
为屿,wei'yu
为嵁,wei'zhan
温故而知新,wen'gu'er'zhi'xin
闻水声,wen'shui'sheng
无案牍之劳形,wu'an'du'zhi'lao'xing
武陵人捕鱼为业,wu'ling'ren'bu'yu'wei'ye
屋舍俨然,wu'she'yan'ran
吾视其辙乱,wu'shi'qi'zhe'luan
吾谁与归,wu'shui'yu'gui
无丝竹之乱耳,wu'si'zhu'zhi'luan'er
悉如外人,xi'ru'wai'ren
牺牲玉帛,xi'sheng'yu'bo
西蜀子云亭,xi'shu'zi'yun'ting
下见小潭,xia'jian'xiao'tan
下视其辙,xia'shi'qi'zhe
先天下之忧而忧,xian'tian'xia'zhi'you'er'you
衔远山,xian'yuan'shan
小大之狱,xiao'da'zhi'yu
小惠未徧,xiao'hui'wei'bian
小石潭记,xiao'shi'tan'ji
小信未孚,xiao'xin'wei'fu
心乐之,xin'le'zhi
行拂乱其所为,xing'fu'luan'qi'suo'wei
学而不思则罔,xue'er'bu'si'ze'wang
学而时习之,xue'er'shi'xi'zhi
一碧万顷,yi'bi'wan'qing
一鼓作气,yi'gu'zuo'qi
以其境过清,yi'qi'jing'guo'qing
佁然不动,yi'ran'bu'dong
衣食所安,yi'shi'suo'an
阴风怒号,yin'feng'nu'hao
影布石上,ying'bu'shi'shang
勇气也,yong'qi'ye
忧谗畏讥,you'chan'wei'ji
又何间焉,you'he'jian'yan
有良田美池桑竹之属,you'liang'tian'mei'chi'sang'zhu'zhi'shu
有龙则灵,you'long'ze'ling
有朋自远方来,you'peng'zi'yuan'fang'lai
有仙则名,you'xian'ze'ming
予尝求古仁人之心,yu'chang'qiu'gu'ren'ren'zhi'xin
渔歌互答,yu'ge'hu'da
予观夫巴陵胜状,yu'guan'fu'ba'ling'sheng'zhuang
欲穷其林,yu'qiong'qi'lin
渔人甚异之,yu'ren'shen'yi'zhi
郁郁青青,yu'yu'qing'qing
缘溪行,yuan'xi'xing
阅金经,yue'jin'jing
越明年,yue'ming'nian
岳阳楼记,yue'yang'lou'ji
在洞庭一湖,zai'dong'ting'yi'hu
再而衰,zai'er'shuai
则有去国怀乡,ze'you'qu'guo'huai'xiang
则有心旷神怡,ze'you'xin'kuang'shen'yi
增其旧制,zeng'qi'jiu'zhi
战国,zhan'guo
战于长勺,zhan'yu'chang'shao
战则请从,zhan'ze'qing'cong
朝晖夕阴,zhao'hui'xi'yin
政通人和,zheng'tong'ren'he
征于色,zheng'yu'se
至若春和景明,zhi'ruo'chun'he'jing'ming
中无杂树,zhong'wu'za'shu
忠之属也,zhong'zhi'shu'ye
浊浪排空,zhuo'lang'pai'kong
坐潭上,zuo'tan'shang
左传,zuo'zhuan
