阿会喃,a'hui'nan
刘劭,liu'shao
刘贤,liu'xian
刘勋,liu'xun
刘循,liu'xun
刘延,liu'yan
刘焉,liu'yan
刘琰,liu'yan
刘繇,liu'yao
刘晔,liu'ye
刘廙,liu'yi
刘懿,liu'yi
刘虞,liu'yu
留赞,liu'zan
刘璋,liu'zhang
刘桢,liu'zhen
楼班,lou'ban
娄圭,lou'gui
路粹,lu'cui
陆绩,lu'ji
陆凯,lu'kai
鲁女生,lu'nv'sheng
卢全,lu'quan
鲁肃,lu'su
陆逊,lu'xun
卢毓,lu'yu
陆郁生,lu'yu'sheng
路招,lu'zhao
卢植,lu'zhi
骆统,luo'tong
吕霸,lv'ba
吕伯奢,lv'bo'she
吕布,lv'bu
吕常,lv'chang
吕岱,lv'dai
吕范,lv'fan
吕公,lv'gong
吕建,lv'jian
吕据,lv'ju
吕旷,lv'kuang
吕珞,lv'luo
吕蒙,lv'meng
吕虔,lv'qian
吕威璜,lv'wei'huang
吕翔,lv'xiang
马超,ma'chao
马岱,ma'dai
马良,ma'liang
马谡,ma'su
马腾,ma'teng
马铁,ma'tie
马玩,ma'wan
马休,ma'xiu
马延,ma'yan
马元义,ma'yuan'yi
马云騄,ma'yun'lu
马忠,ma'zhong
满宠,man'chong
忙牙长,mang'ya'chang
毛玠,mao'jie
孟达,meng'da
孟光,meng'guang
孟获,meng'huo
孟建,meng'jian
孟坦,meng'tan
孟优,meng'you
糜芳,mi'fang
糜夫人,mi'fu'ren
祢衡,mi'heng
弥加,mi'jia
糜竺,mi'zhu
苗泽,miao'ze
缪袭,miu'xi
木鹿大王,mu'lu'da'wang
慕容平,mu'rong'ping
穆顺,mu'shun
那楼,na'lou
南华老仙,nan'hua'lao'xian
难楼,nan'lou
能臣抵之,neng'chen'di'zhi
牛辅,niu'fu
牛金,niu'jin
潘凤,pan'feng
潘濬,pan'jun
潘临,pan'lin
潘璋,pan'zhang
庞德,pang'de
庞德公,pang'de'gong
庞柔,pang'rou
庞统,pang'tong
庞羲,pang'xi
裴潜,pei'qian
裴元绍,pei'yuan'shao
彭安,peng'an
彭脱,peng'tuo
彭羕,peng'yang
普富卢,pu'fu'lu
普净,pu'jing
骞曼,qian'man
搴旗虎贲卫,qian'qi'hu'ben'wei
牵招,qian'zhao
乔国老,qiao'guo'lao
桥瑁,qiao'mao
桥蕤,qiao'rui
谯周,qiao'zhou
秦宓,qin'mi
秦琪,qin'qi
青鹭营,qing'lu'ying
青州屯田军,qing'zhou'tun'tian'jun
丘力居,qiu'li'ju
麴义,qu'yi
麹义,qu'yi
全琮,quan'cong
全柔,quan'rou
任峻,ren'jun
任夔,ren'kui
阮瑀,ruan'yu
少帝,shao'di
申耽,shen'dan
审配,shen'pei
审荣,shen'rong
申仪,shen'yi
盛宪,sheng'xian
史阿,shi'a
史涣,shi'huan
士徽,shi'hui
士匡,shi'kuang
石韬,shi'tao
士燮,shi'xie
士壹,shi'yi
是仪,shi'yi
士祗,shi'zhi
水战营,shui'zhan'ying
司马孚,si'ma'fu
司马徽,si'ma'hui
司马馗,si'ma'kui
司马朗,si'ma'lang
司马懿,si'ma'yi
司马芝,si'ma'zhi
宋谦,song'qian
宋宪,song'xian
宋忠,song'zhong
苏飞,su'fei
素利,su'li
苏仆延,su'pu'yan
苏双,su'shuang
苏由,su'you
苏越,su'yue
孙贲,sun'ben
孙策,sun'ce
孙登,sun'deng
孙辅,sun'fu
孙暠,sun'gao
孙高,sun'gao
孙观,sun'guan
孙河,sun'he
孙桓,sun'huan
孙坚,sun'jian
孙皎,sun'jiao
孙静,sun'jing
孙康,sun'kang
孙匡,sun'kuang
孙朗,sun'lang
孙礼,sun'li
孙鲁班,sun'lu'ban
孙鲁育,sun'lu'yu
孙乾,sun'qian
孙权,sun'quan
孙尚香,sun'shang'xiang
孙邵,sun'shao
孙韶,sun'shao
孙氏,sun'shi
孙翊,sun'yi
孙瑜,sun'yu
孙璋,sun'zhang
孙仲,sun'zhong
蹋顿,ta'dun
太史慈,tai'shi'ci
太史享,tai'shi'xiang
檀石槐,tan'shi'huai
谭雄,tan'xiong
唐妃,tang'fei
唐周,tang'zhou
陶谦,tao'qian
田畴,tian'chou
田丰,tian'feng
田豫,tian'yu
铁骑,tie'qi
童渊,tong'yuan
土安,tu'an
拓跋虹鹿,tuo'ba'hong'lu
王必,wang'bi
王表,wang'biao
王粲,wang'can
王昶,wang'chang
王甫,wang'fu
王垕,wang'hou
王匡,wang'kuang
王朗,wang'lang
王累,wang'lei
王连,wang'lian
王凌,wang'ling
王灵,wang'ling
王美人,wang'mei'ren
王门,wang'men
王谋,wang'mou
王平,wang'ping
王双,wang'shuang
王威,wang'wei
王修,wang'xiu
王琰,wang'yan
王异,wang'yi
王越,wang'yue
王允,wang'yun
汪昭,wang'zhao
王植,wang'zhi
王忠,wang'zhong
王子服,wang'zi'fu
魏讽,wei'feng
卫固,wei'gu
韦晃,wei'huang
卫觊,wei'ji
卫凯,wei'kai
韦康,wei'kang
魏滕,wei'teng
魏续,wei'xu
魏延,wei'yan
卫臻,wei'zhen
文丑,wen'chou
温恢,wen'hui
文稷,wen'ji
文聘,wen'pin
武安国,wu'an'guo
吴班,wu'ban
吾粲,wu'can
吴敦,wu'dun
吴范,wu'fan
伍孚,wu'fu
吴国太,wu'guo'tai
吴景,wu'jing
吴巨,wu'ju
吴兰,wu'lan
吴硕,wu'shuo
兀突骨,wu'tu'gu
伍习,wu'xi
吴苋,wu'xian
乌延,wu'yan
吴懿,wu'yi
吴质,wu'zhi
吴子兰,wu'zi'lan
西凉,xi'liang
郗虑,xi'lv
奚泥,xi'ni
戏志才,xi'zhi'cai
夏侯存,xia'hou'cun
夏侯徳,xia'hou'de
夏侯德,xia'hou'de
夏侯惇,xia'hou'dun
夏侯恩,xia'hou'en
夏侯杰,xia'hou'jie
夏侯涓,xia'hou'juan
夏侯兰,xia'hou'lan
夏侯尚,xia'hou'shang
夏侯渊,xia'hou'yuan
夏恽,xia'yun
献帝,xian'di
先锋骑,xian'feng'qi
向宠,xiang'chong
向举,xiang'ju
向朗,xiang'lang
小乔,xiao'qiao
泄归泥,xie'gui'ni
谢旌,xie'jing
辛毗,xin'pi
辛评,xin'ping
辛宪英,xin'xian'ying
刑道荣,xing'dao'rong
邢道荣,xing'dao'rong
刑贞,xing'zhen
修武卢,xiu'wu'lu
许褚,xu'chu
许慈,xu'ci
徐干,xu'gan
许贡,xu'gong
徐晃,xu'huang
许靖,xu'jing
徐邈,xu'miao
徐母,xu'mu
徐璆,xu'qiu
徐荣,xu'rong
徐商,xu'shang
许劭,xu'shao
徐盛,xu'sheng
徐氏,xu'shi
徐庶,xu'shu
徐宣,xu'xuan
徐逸,xu'yi
许攸,xu'you
徐元,xu'yuan
许芝,xu'zhi
薛琮,xue'cong
薛悌,xue'ti
薛综,xue'zong
荀采,xun'cai
荀谌,xun'shen
荀攸,xun'you
荀彧,xun'yu
严白虎,yan'bai'hu
严圭,yan'gui
严敬,yan'jing
严峻,yan'jun
严畯,yan'jun
严匡,yan'kuang
颜良,yan'liang
阎圃,yan'pu
阎柔,yan'rou
阎象,yan'xiang
阎行,yan'xing
严颜,yan'yan
严舆,yan'yu
严政,yan'zheng
杨昂,yang'ang
杨柏,yang'bai
杨彪,yang'biao
杨奉,yang'feng
杨阜,yang'fu
杨弘,yang'hong
杨洪,yang'hong
杨怀,yang'huai
杨龄,yang'ling
杨琦,yang'qi
杨秋,yang'qiu
杨任,yang'ren
杨氏,yang'shi
杨松,yang'song
杨修,yang'xiu
杨仪,yang'yi
姚琼,yao'qiong
伊籍,yi'ji
殷纯,yin'chun
尹奉,yin'feng
殷观,yin'guan
尹楷,yin'kai
阴夔,yin'kui
尹礼,yin'li
尹默,yin'mo
应玚,ying'chang
应劭,ying'shao
虞翻,yu'fan
于夫罗,yu'fu'luo
于吉,yu'ji
于禁,yu'jin
俞涉,yu'she
郁筑鞬,yu'zhu'jian
袁涣,yuan'huan
袁锦,yuan'jin
袁尚,yuan'shang
袁绍,yuan'shao
袁术,yuan'shu
袁谭,yuan'tan
袁熙,yuan'xi
袁遗,yuan'yi
袁胤,yuan'yin
臧霸,zang'ba
臧洪,zang'hong
翟元,zhai'yuan
辗迟尽,zhan'chi'jin
张宝,zhang'bao
张苞,zhang'bao
张超,zhang'chao
张承,zhang'cheng
张纯,zhang'chun
张春华,zhang'chun'hua
张达,zhang'da
张道陵,zhang'dao'ling
张范,zhang'fan
张飞,zhang'fei
张郃,zhang'he
张横,zhang'heng
张紘,zhang'hong
张纮,zhang'hong
张虎,zhang'hu
张既,zhang'ji
张济,zhang'ji
张角,zhang'jiao
张梁,zhang'liang
张辽,zhang'liao
张鲁,zhang'lu
张曼成,zhang'man'cheng
张猛,zhang'meng
张邈,zhang'miao
张南,zhang'nan
张琪瑛,zhang'qi'ying
张泉,zhang'quan
张让,zhang'rang
张任,zhang'ren
张晟,zhang'sheng
张世平,zhang'shi'ping
张爽,zhang'shuang
张松,zhang'song
张肃,zhang'su
张卫,zhang'wei
张温,zhang'wen
张武,zhang'wu
张绣,zhang'xiu
张勋,zhang'xun
张燕,zhang'yan
张琰,zhang'yan
张杨,zhang'yang
张嶷,zhang'yi
张翼,zhang'yi
张裔,zhang'yi
张顗,zhang'yi
张音,zhang'yin
张裕,zhang'yu
张允,zhang'yun
张昭,zhang'zhao
张仲景,zhang'zhong'jing
张著,zhang'zhu
赵昂,zhao'ang
赵范,zhao'fan
赵弘,zhao'hong
赵累,zhao'lei
赵衢,zhao'qu
赵叡,zhao'rui
赵俨,zhao'yan
赵云,zhao'yun
赵忠,zhao'zhong
赵咨,zhao'zi
赵祚,zhao'zuo
甄姬,zhen'ji
郑度,zheng'du
郑浑,zheng'hun
郑玄,zheng'xuan
仲长统,zhong'chang'tong
种辑,zhong'ji
钟繇,zhong'yao
周仓,zhou'cang
周群,zhou'qun
周善,zhou'shan
周泰,zhou'tai
周宣,zhou'xuan
周循,zhou'xun
周瑜,zhou'yu
诸葛瑾,zhu'ge'jin
诸葛均,zhu'ge'jun
诸葛恪,zhu'ge'ke
诸葛亮,zhu'ge'liang
诸葛玄,zhu'ge'xuan
祝公道,zhu'gong'dao
朱光,zhu'guang
朱桓,zhu'huan
朱建平,zhu'jian'ping
朱据,zhu'ju
朱隽,zhu'jun
朱灵,zhu'ling
朱然,zhu'ran
祝融夫人,zhu'rong'fu'ren
朱铄,zhu'shuo
朱异,zhu'yi
朱治,zhu'zhi
卓膺,zhuo'ying
紫虚上人,zi'xu'shang'ren
宗预,zong'yu
邹氏,zou'shi
祖弼,zu'bi
祖郎,zu'lang
祖茂,zu'mao
左慈,zuo'ci
左咸,zuo'xian
