阿的平,a'di'ping
氨甲酰基转移酶,an'jia'xian'ji'zhuan'yi'mei
氨甲酰磷酸,an'jia'xian'lin'suan
氨甲酰天冬氨酸脱水酶,an'jia'xian'tian'dong'an'suan'tuo'shui'mei
氨甲酰血红蛋白,an'jia'xian'xue'hong'dan'bai
安全的,an'quan'de
安全阀,an'quan'fa
安全期,an'quan'qi
安全移液管,an'quan'yi'ye'guan
安全因数,an'quan'yin'shu
暗视蛋白,an'shi'dan'bai
暗视觉,an'shi'jue
暗视野电子显微术,an'shi'ye'dian'zi'xian'wei'shu
暗视野显微术,an'shi'ye'xian'wei'shu
暗适应,an'shi'ying
氨羧络合剂,an'suo'luo'he'ji
氨肽酶,an'tai'mei
安息香胶,an'xi'xiang'jiao
氨酰,an'xian
氨酰基,an'xian'ji
氨酰基部位,an'xian'ji'bu'wei
氨酰基脯氨酸二肽酶,an'xian'ji'fu'an'suan'er'tai'mei
氨酰基合成酶,an'xian'ji'he'cheng'mei
氨酰赖氨酸二肽酶,an'xian'lai'an'suan'er'tai'mei
氨酰组氨酸二肽酶,an'xian'zu'an'suan'er'tai'mei
暗箱,an'xiang
暗修复,an'xiu'fu
安置,an'zhi
肮病毒蛋白,ang'bing'du'dan'bai
澳大利亚抗原,ao'da'li'ya'kang'yuan
螯合,ao'he
螯合滴定,ao'he'di'ding
螯合复合体,ao'he'fu'he'ti
螯合环,ao'he'huan
螯合剂,ao'he'ji
螯合酶,ao'he'mei
螯合物,ao'he'wu
八倍体,ba'bei'ti
巴比妥,ba'bi'tuo
巴比妥钠,ba'bi'tuo'na
八叠球菌,ba'die'qiu'jun
巴豆毒蛋白,ba'dou'du'dan'bai
巴豆酸酶,ba'dou'suan'mei
巴尔小体,ba'er'xiao'ti
八聚体组蛋白,ba'ju'ti'zu'dan'bai
靶理论,ba'li'lun
巴龙霉素,ba'long'mei'su
靶器官,ba'qi'guan
八氢番茄红素,ba'qing'fan'qie'hong'su
巴氏灭菌法,ba'shi'mie'jun'fa
巴氏灭菌器,ba'shi'mie'jun'qi
巴斯德效应,ba'si'de'xiao'ying
靶位点,ba'wei'dian
靶细胞,ba'xi'bao
靶序列,ba'xu'lie
靶学说,ba'xue'shuo
靶子大小,ba'zi'da'xiao
靶组织,ba'zu'zhi
白斑,bai'ban
白斑病,bai'ban'bing
白蛋白,bai'dan'bai
白的,bai'de
白癜风,bai'dian'feng
摆动,bai'dong
摆动假说,bai'dong'jia'shuo
摆动配对,bai'dong'pei'dui
白放线菌素,bai'fang'xian'jun'su
白粉病,bai'fen'bing
白鲑精蛋白,bai'gui'jing'dan'bai
白喉,bai'hou
白喉毒素,bai'hou'du'su
白化病,bai'hua'bing
白花不稔性,bai'hua'bu'ren'xing
白化愈伤组织,bai'hua'yu'shang'zu'zhi
败菌素,bai'jun'su
白利,bai'li
百里酚蓝,bai'li'fen'lan
百里酚酞,bai'li'fen'tai
百里香酚,bai'li'xiang'fen
白霉素,bai'mei'su
白曲菌素,bai'qu'jun'su
白色体,bai'se'ti
白髓,bai'sui
白细胞,bai'xi'bao
白细胞干扰素,bai'xi'bao'gan'rao'su
白细胞共同抗原,bai'xi'bao'gong'tong'kang'yuan
白细胞介素,bai'xi'bao'jie'su
白细胞介素受体,bai'xi'bao'jie'su'shou'ti
白纤维组织,bai'xian'wei'zu'zhi
白锈病,bai'xiu'bing
败血病,bai'xue'bing
白血病,bai'xue'bing
白血细胞,bai'xue'xi'bao
败育,bai'yu
败育的,bai'yu'de
败育花粉,bai'yu'hua'fen
败育种子,bai'yu'zhong'zi
伴胞晶体,ban'bao'jing'ti
半保留,ban'bao'liu
伴刀豆球蛋白,ban'dao'dou'qiu'dan'bai
半导体,ban'dao'ti
斑点印迹,ban'dian'yin'ji
半冬性,ban'dong'xing
半分化型族,ban'fen'hua'xing'zu
半分化种,ban'fen'hua'zhong
半个,ban'ge
半胱氨酸,ban'guang'an'suan
半胱磺酸,ban'guang'huang'suan
半合成青霉素,ban'he'cheng'qing'mei'su
半合基因,ban'he'ji'yin
半合子性,ban'he'zi'xing
伴花生球蛋白,ban'hua'sheng'qiu'dan'bai
半抗原,ban'kang'yuan
板框过滤器,ban'kuang'guo'lv'qi
板框式压滤机,ban'kuang'shi'ya'lv'ji
半连续的,ban'lian'xu'de
半裸原生质体,ban'luo'yuan'sheng'zhi'ti
伴侣分子,ban'lv'fen'zi
斑蝥素,ban'mao'su
瓣膜注射,ban'mo'zhu'she
半耐寒植物,ban'nai'han'zhi'wu
伴清蛋白,ban'qing'dan'bai
半醛,ban'quan
半人造的,ban'ren'zao'de
半乳聚糖,ban'ru'ju'tang
半乳糖,ban'ru'tang
半乳糖操纵子,ban'ru'tang'cao'zong'zi
半乳糖醇,ban'ru'tang'chun
半乳糖苷,ban'ru'tang'gan
半乳糖苷酶,ban'ru'tang'gan'mei
半乳糖甘油二酯,ban'ru'tang'gan'you'er'zhi
半乳糖基羟赖氨酸胶原转葡糖基酶,ban'ru'tang'ji'qiang'lai'an'suan'jiao'yuan'zhuan'pu'tang'ji'mei
半乳糖基转移酶,ban'ru'tang'ji'zhuan'yi'mei
半乳糖脑苷脂,ban'ru'tang'nao'gan'zhi
板式过滤机,ban'shi'guo'lv'ji
板式冷却器,ban'shi'leng'que'qi
半寿期,ban'shou'qi
半数动物麻痹剂量,ban'shu'dong'wu'ma'bi'ji'liang
半数致死量,ban'shu'zhi'si'liang
半缩醛,ban'suo'quan
半透明,ban'tou'ming
半透膜,ban'tou'mo
半透性,ban'tou'xing
半微量分析,ban'wei'liang'fen'xi
半纤维素,ban'xian'wei'su
半显性,ban'xian'xing
半显性突变,ban'xian'xing'tu'bian
伴性,ban'xing
伴性的,ban'xing'de
伴性基因,ban'xing'ji'yin
伴性性状,ban'xing'xing'zhuang
伴性遗传,ban'xing'yi'chuan
伴性遗传疾病,ban'xing'yi'chuan'ji'bing
伴性致死,ban'xing'zhi'si
斑叶,ban'ye
斑叶品种,ban'ye'pin'zhong
拌制,ban'zhi
半制成品,ban'zhi'cheng'pin
半致死剂量,ban'zhi'si'ji'liang
半致死基因,ban'zhi'si'ji'yin
半致死突变型,ban'zhi'si'tu'bian'xing
半自动的,ban'zi'dong'de
半自然的,ban'zi'ran'de
半自主的,ban'zi'zhu'de
棒曲霉素,bang'qu'mei'su
棒型,bang'xing
棒状杆菌,bang'zhuang'gan'jun
包被,bao'bei
包被作用,bao'bei'zuo'yong
胞壁酸,bao'bi'suan
胞壁压,bao'bi'ya
胞壁质,bao'bi'zhi
胞壁质酶,bao'bi'zhi'mei
薄壁组织,bao'bi'zu'zhi
薄层,bao'ceng
薄层层析,bao'ceng'ceng'xi
薄层电泳,bao'ceng'dian'yong
薄层发酵器,bao'ceng'fa'jiao'qi
薄层干燥器,bao'ceng'gan'zao'qi
薄层管状反应器,bao'ceng'guan'zhuang'fan'ying'qi
薄层凝胶过滤,bao'ceng'ning'jiao'guo'lv
薄层扫描仪,bao'ceng'sao'miao'yi
保持系,bao'chi'xi
保存,bao'cun
报道基团,bao'dao'ji'tuan
报道基因,bao'dao'ji'yin
薄的,bao'de
胞苷二磷酸,bao'gan'er'lin'suan
胞苷三磷酸,bao'gan'san'lin'suan
胞苷酸,bao'gan'suan
报告人,bao'gao'ren
包含体,bao'han'ti
饱和,bao'he
饱和常数,bao'he'chang'shu
饱和的,bao'he'de
饱和动力学,bao'he'dong'li'xue
饱和度,bao'he'du
饱和溶液,bao'he'rong'ye
饱和脂肪酸,bao'he'zhi'fang'suan
胞核转移,bao'he'zhuan'yi
保护,bao'hu
保护层,bao'hu'ceng
保护的,bao'hu'de
保护基团,bao'hu'ji'tuan
保护膜,bao'hu'mo
保护实验,bao'hu'shi'yan
保护性抗原,bao'hu'xing'kang'yuan
胞间层,bao'jian'ceng
胞间连丝,bao'jian'lian'si
胞间隙,bao'jian'xi
保留,bao'liu
包埋,bao'mai
包埋剂,bao'mai'ji
包埋基因,bao'mai'ji'yin
胞霉素,bao'mei'su
孢霉素,bao'mei'su
包膜蛋白,bao'mo'dan'bai
薄膜过滤生物反应器,bao'mo'guo'lv'sheng'wu'fan'ying'qi
薄膜滤器,bao'mo'lv'qi
胞膜内褶,bao'mo'nei'zhe
薄膜树脂,bao'mo'shu'zhi
包囊,bao'nang
包囊形成,bao'nang'xing'cheng
胞内的,bao'nei'de
薄片,bao'pian
孢塞,bao'sai
保守序列,bao'shou'xu'lie
保守置换,bao'shou'zhi'huan
胞体,bao'ti
胞吐作用,bao'tu'zuo'yong
胞吞,bao'tun
胞外的,bao'wai'de
胞外酶,bao'wai'mei
保卫细胞,bao'wei'xi'bao
保险的,bao'xian'de
胞芽,bao'ya
胞芽杯,bao'ya'bei
保养,bao'yang
胞液黄素,bao'ye'huang'su
胞饮,bao'yin
保幼激素,bao'you'ji'su
保幼酮,bao'you'tong
胞质,bao'zhi
胞质分裂,bao'zhi'fen'lie
胞质环流,bao'zhi'huan'liu
胞质基因,bao'zhi'ji'yin
胞质基因突变,bao'zhi'ji'yin'tu'bian
胞质颗粒,bao'zhi'ke'li
胞质酶,bao'zhi'mei
胞质遗传,bao'zhi'yi'chuan
胞质杂种,bao'zhi'za'zhong
包装,bao'zhuang
包装比,bao'zhuang'bi
包装细胞系,bao'zhuang'xi'bao'xi
孢子,bao'zi
孢子发生,bao'zi'fa'sheng
孢子梗,bao'zi'geng
孢子萌发培养基,bao'zi'meng'fa'pei'yang'ji
孢子萌发悬液,bao'zi'meng'fa'xuan'ye
孢子生殖,bao'zi'sheng'zhi
孢子体,bao'zi'ti
孢子同型,bao'zi'tong'xing
孢子形成,bao'zi'xing'cheng
孢子植物,bao'zi'zhi'wu
倍半萜环化酶,bei'ban'tie'huan'hua'mei
被测品系,bei'ce'pin'xi
背驰转录,bei'chi'zhuan'lu
被动传递,bei'dong'chuan'di
被动的,bei'dong'de
被动免疫,bei'dong'mian'yi
被动免疫性,bei'dong'mian'yi'xing
被动敏化,bei'dong'min'hua
被动适应,bei'dong'shi'ying
被动吸收,bei'dong'xi'shou
被动运输,bei'dong'yun'shu
备解素,bei'jie'su
背景,bei'jing
背景基因型,bei'jing'ji'yin'xing
背景适应,bei'jing'shi'ying
背景校,bei'jing'xiao
背面的,bei'mian'de
被囊,bei'nang
被囊动物,bei'nang'dong'wu
倍频,bei'pin
被吸收物,bei'xi'shou'wu
倍性,bei'xing
杯形细胞,bei'xing'xi'bao
贝友菌素,bei'you'jun'su
倍增,bei'zeng
倍增时间,bei'zeng'shi'jian
苯胺蓝,ben'an'lan
苯丙氨酸,ben'bing'an'suan
苯雌酚,ben'ci'fen
本底,ben'di
本底辐射,ben'di'fu'she
本底辐照,ben'di'fu'zhao
本底燥音,ben'di'zao'yin
苯基,ben'ji
苯甲,ben'jia
苯甲基磺酰氟,ben'jia'ji'huang'xian'fu
苯甲酸,ben'jia'suan
苯甲酸酯,ben'jia'suan'zhi
苯甲酰,ben'jia'xian
苯甲酰胆碱,ben'jia'xian'dan'jian
苯甲酰化,ben'jia'xian'hua
苯甲酰甲酸脱羧酶,ben'jia'xian'jia'suan'tuo'suo'mei
苯甲酰精氨酸,ben'jia'xian'jing'an'suan
苯甲酰硫激酶,ben'jia'xian'liu'ji'mei
苯肼,ben'jing
贲门的,ben'men'de
本身的,ben'shen'de
本性,ben'xing
苯乙酸,ben'yi'suan
本质纸浆,ben'zhi'zhi'jiang
泵能,beng'neng
吡啶,bi'ding
吡哆醇,bi'duo'chun
吡哆醛,bi'duo'quan
闭花受精,bi'hua'shou'jing
壁间腔,bi'jian'qiang
比例尺,bi'li'chi
闭链化合物,bi'lian'hua'he'wu
吡咯,bi'luo
吡咯分子,bi'luo'fen'zi
吡咯环,bi'luo'huan
比率,bi'lv
蓖麻毒蛋白,bi'ma'du'dan'bai
吡喃糖,bi'nan'tang
臂内倒位,bi'nei'dao'wei
比粘度,bi'nian'du
比容,bi'rong
比色计,bi'se'ji
比色器,bi'se'qi
比生产速率,bi'sheng'chan'su'lv
壁生长,bi'sheng'zhang
比生长速率常数,bi'sheng'zhang'su'lv'chang'shu
闭锁环,bi'suo'huan
闭锁连接,bi'suo'lian'jie
比特异凝集,bi'te'yi'ning'ji
比椭圆度,bi'tuo'yuan'du
壁细胞,bi'xi'bao
壁效应,bi'xiao'ying
必需氨基酸,bi'xu'an'ji'suan
必需氨基酸指标,bi'xu'an'ji'suan'zhi'biao
必需的,bi'xu'de
必需元素,bi'xu'yuan'su
必需脂肪酸,bi'xu'zhi'fang'suan
比旋光,bi'xuan'guang
避孕药,bi'yun'yao
比重,bi'zhong
比重计,bi'zhong'ji
比浊法,bi'zhuo'fa
比浊计,bi'zhuo'ji
比浊汁,bi'zhuo'zhi
苄氨基嘌呤,bian'an'ji'piao'ling
变构,bian'gou
变构部位,bian'gou'bu'wei
变构蛋白质,bian'gou'dan'bai'zhi
变构剂,bian'gou'ji
变构激活,bian'gou'ji'huo
变构酶,bian'gou'mei
变构调节,bian'gou'tiao'jie
变构效应,bian'gou'xiao'ying
变构性,bian'gou'xing
变构抑制,bian'gou'yi'zhi
变构转换,bian'gou'zhuan'huan
变红菌素,bian'hong'jun'su
变化,bian'hua
苄基腺嘌呤,bian'ji'xian'piao'ling
变量,bian'liang
变量分析,bian'liang'fen'xi
编码,bian'ma
编码链,bian'ma'lian
编码区,bian'ma'qu
编码容量,bian'ma'rong'liang
编码三联体,bian'ma'san'lian'ti
编码序列,bian'ma'xu'lie
编码指令,bian'ma'zhi'ling
鞭毛蛋白,bian'mao'dan'bai
鞭毛的,bian'mao'de
鞭毛抗原,bian'mao'kang'yuan
鞭毛运动,bian'mao'yun'dong
变偶碱基对,bian'ou'jian'ji'dui
扁平的,bian'ping'de
苄青霉素,bian'qing'mei'su
变态,bian'tai
变态反应,bian'tai'fan'ying
变态激素,bian'tai'ji'su
扁桃酸,bian'tao'suan
扁桃体,bian'tao'ti
变位酶,bian'wei'mei
变温的,bian'wen'de
变形,bian'xing
变性,bian'xing
变性蛋白,bian'xing'dan'bai
变性蛋白质,bian'xing'dan'bai'zhi
变性的,bian'xing'de
变性毒素,bian'xing'du'su
变性高铁血红蛋白,bian'xing'gao'tie'xue'hong'dan'bai
变性剂,bian'xing'ji
变形体,bian'xing'ti
变形细胞,bian'xing'xi'bao
变形运动,bian'xing'yun'dong
变旋,bian'xuan
变旋酶,bian'xuan'mei
苄氧羰基,bian'yang'tang'ji
变异,bian'yi
编译程序,bian'yi'cheng'xu
变异谱,bian'yi'pu
变异系数,bian'yi'xi'shu
变异性,bian'yi'xing
变异中心,bian'yi'zhong'xin
变应原,bian'ying'yuan
边缘合胞体,bian'yuan'he'bao'ti
边缘生物,bian'yuan'sheng'wu
变种,bian'zhong
标本,biao'ben
表层,biao'ceng
表达,biao'da
表达度,biao'da'du
表达文库,biao'da'wen'ku
表达载体,biao'da'zai'ti
表达子,biao'da'zi
标定,biao'ding
表观粘度,biao'guan'nian'du
标记,biao'ji
标记技术,biao'ji'ji'shu
标记基因,biao'ji'ji'yin
标记抗体,biao'ji'kang'ti
标记原子,biao'ji'yuan'zi
表面,biao'mian
表面的,biao'mian'de
表面电荷,biao'mian'dian'he
表面电极,biao'mian'dian'ji
表面发酵,biao'mian'fa'jiao
表面反应器,biao'mian'fan'ying'qi
表面过滤,biao'mian'guo'lv
表面活性,biao'mian'huo'xing
表面活性剂,biao'mian'huo'xing'ji
表面活性物质,biao'mian'huo'xing'wu'zhi
表面抗原,biao'mian'kang'yuan
表面免疫球蛋白,biao'mian'mian'yi'qiu'dan'bai
表面皿,biao'mian'min
表面培养,biao'mian'pei'yang
表面吸附,biao'mian'xi'fu
表面系列,biao'mian'xi'lie
表面张力计,biao'mian'zhang'li'ji
表膜,biao'mo
表皮的,biao'pi'de
表型,biao'xing
表型的,biao'xing'de
表型反转,biao'xing'fan'zhuan
表型方差,biao'xing'fang'cha
表型混杂,biao'xing'hun'za
表型延迟,biao'xing'yan'chi
标志,biao'zhi
标志蛋白,biao'zhi'dan'bai
标志基因,biao'zhi'ji'yin
标志酶,biao'zhi'mei
标准,biao'zhun
标准单位,biao'zhun'dan'wei
标准的,biao'zhun'de
标准滴定度,biao'zhun'di'ding'du
标准电极,biao'zhun'dian'ji
标准方法,biao'zhun'fang'fa
标准化,biao'zhun'hua
标准品种,biao'zhun'pin'zhong
标准曲线,biao'zhun'qu'xian
标准溶液,biao'zhun'rong'ye
标准误差,biao'zhun'wu'cha
标准型,biao'zhun'xing
标准值,biao'zhun'zhi
标准状况,biao'zhun'zhuang'kuang
标准自由能,biao'zhun'zi'you'neng
别洛霉素,bie'luo'mei'su
别霉素,bie'mei'su
别藻蓝蛋白,bie'zao'lan'dan'bai
丙氨酸,bing'an'suan
丙氨酸羧肽酶,bing'an'suan'suo'tai'mei
丙氨酰,bing'an'xian
冰点,bing'dian
冰点测定法,bing'dian'ce'ding'fa
冰点降低,bing'dian'jiang'di
冰冻,bing'dong
冰冻切片,bing'dong'qie'pian
冰冻旺胎转移,bing'dong'wang'tai'zhuan'yi
病毒,bing'du
病毒癌基因,bing'du'ai'ji'yin
病毒蛋白质,bing'du'dan'bai'zhi
病毒的,bing'du'de
病毒基因,bing'du'ji'yin
病毒假说,bing'du'jia'shuo
病毒瘤,bing'du'liu
病毒壳体蛋白,bing'du'qiao'ti'dan'bai
病毒染色体,bing'du'ran'se'ti
病毒受体,bing'du'shou'ti
病毒体,bing'du'ti
病毒学,bing'du'xue
病毒源,bing'du'yuan
病毒转化,bing'du'zhuan'hua
丙二醇,bing'er'chun
丙二酸,bing'er'suan
并分泌,bing'fen'mi
病理解剖学,bing'li'jie'pou'xue
病理学,bing'li'xue
病理遗传学,bing'li'yi'chuan'xue
柄青霉酸,bing'qing'mei'suan
丙酸,bing'suan
丙酸盐,bing'suan'yan
丙糖,bing'tang
丙糖磷酸,bing'tang'lin'suan
丙酮,bing'tong
丙酮粉,bing'tong'fen
丙酮酸,bing'tong'suan
丙酮酸激酶,bing'tong'suan'ji'mei
丙酮酸脱羧酶,bing'tong'suan'tuo'suo'mei
丙酮酸盐,bing'tong'suan'yan
丙烯,bing'xi
柄细胞,bing'xi'bao
丙烯酰胺,bing'xi'xian'an
丙酰胺,bing'xian'an
丙酰胆碱,bing'xian'dan'jian
丙酰基,bing'xian'ji
病原菌,bing'yuan'jun
病原普遍存在说,bing'yuan'pu'bian'cun'zai'shuo
病原体,bing'yuan'ti
波长,bo'chang
博来霉素,bo'lai'mei'su
玻璃,bo'li
玻璃电极,bo'li'dian'ji
玻璃体,bo'li'ti
玻璃体液,bo'li'ti'ye
玻璃纤维光学,bo'li'xian'wei'guang'xue
玻璃状的,bo'li'zhuang'de
玻璃状液,bo'li'zhuang'ye
菠萝蛋白酶,bo'luo'dan'bai'mei
玻片凝集法,bo'pian'ning'ji'fa
玻片培养,bo'pian'pei'yang
波谱,bo'pu
波听器,bo'ting'qi
波形图,bo'xing'tu
晡氨酰基,bu'an'xian'ji
不饱和的,bu'bao'he'de
不饱和溶液,bu'bao'he'rong'ye
不饱和脂肪酸,bu'bao'he'zhi'fang'suan
不产抗原的,bu'chan'kang'yuan'de
补偿,bu'chang
补偿点,bu'chang'dian
补偿交叉,bu'chang'jiao'cha
补偿作用,bu'chang'zuo'yong
不成对的,bu'cheng'dui'de
不成链相互作用,bu'cheng'lian'xiang'hu'zuo'yong
不带电残基,bu'dai'dian'can'ji
不等的,bu'deng'de
不等分布,bu'deng'fen'bu
不等交换,bu'deng'jiao'huan
不等渗的,bu'deng'shen'de
不定的,bu'ding'de
不定胚,bu'ding'pei
不定芽,bu'ding'ya
不动精子,bu'dong'jing'zi
不对称单位,bu'dui'chen'dan'wei
不对称的,bu'dui'chen'de
不对称碳,bu'dui'chen'tan
不对称转录,bu'dui'chen'zhuan'lu
不发生交换的,bu'fa'sheng'jiao'huan'de
部分,bu'fen
卟吩,bu'fen
部分蛋白质,bu'fen'dan'bai'zhi
部分的,bu'fen'de
部分合子,bu'fen'he'zi
不分离,bu'fen'li
部分收集器,bu'fen'shou'ji'qi
部分突变,bu'fen'tu'bian
部分显性,bu'fen'xian'xing
不规则的,bu'gui'ze'de
不规则分布,bu'gui'ze'fen'bu
不规则显性,bu'gui'ze'xian'xing
不活泼的,bu'huo'po'de
不活泼终产物,bu'huo'po'zhong'chan'wu
不活泼终端复合体,bu'huo'po'zhong'duan'fu'he'ti
不活泼终端抑制剂,bu'huo'po'zhong'duan'yi'zhi'ji
捕集器,bu'ji'qi
补加的,bu'jia'de
补加基因,bu'jia'ji'yin
补加因子,bu'jia'yin'zi
不接合,bu'jie'he
补救,bu'jiu
补救生物合成途径,bu'jiu'sheng'wu'he'cheng'tu'jing
补救途径,bu'jiu'tu'jing
不均一的,bu'jun'yi'de
不均一核,bu'jun'yi'he
不均一相,bu'jun'yi'xiang
不均一性,bu'jun'yi'xing
不可逆反应,bu'ke'ni'fan'ying
不可遗传性,bu'ke'yi'chuan'xing
不可再生资源,bu'ke'zai'sheng'zi'yuan
不扩散钙,bu'kuo'san'gai
不连续复制,bu'lian'xu'fu'zhi
不连续突变,bu'lian'xu'tu'bian
不良,bu'liang
补料分批发酵,bu'liao'fen'pi'fa'jiao
卟啉,bu'lin
卟啉环系,bu'lin'huan'xi
卟啉亚铁螯合酶,bu'lin'ya'tie'ao'he'mei
卟啉原,bu'lin'yuan
不耐热的,bu'nai're'de
不耐热性,bu'nai're'xing
不匹配末端,bu'pi'pei'mo'duan
不平衡,bu'ping'heng
不确定的,bu'que'ding'de
不溶性,bu'rong'xing
不溶性酶,bu'rong'xing'mei
不溶性脂酶,bu'rong'xing'zhi'mei
哺乳,bu'ru
不生孢子的酵母,bu'sheng'bao'zi'de'jiao'mu
不生氧光合作用,bu'sheng'yang'guang'he'zuo'yong
捕食者,bu'shi'zhe
不受紫外线作用的,bu'shou'zi'wai'xian'zuo'yong'de
补体,bu'ti
补体结合,bu'ti'jie'he
补体结合试验,bu'ti'jie'he'shi'yan
补体旁路,bu'ti'pang'lu
不同步性,bu'tong'bu'xing
不透明区,bu'tou'ming'qu
不透气的,bu'tou'qi'de
不透射线的,bu'tou'she'xian'de
不完全的,bu'wan'quan'de
不完全抗体,bu'wan'quan'kang'ti
不完全抗原,bu'wan'quan'kang'yuan
不完全连锁基因,bu'wan'quan'lian'suo'ji'yin
不完全显性,bu'wan'quan'xian'xing
不完善切除,bu'wan'shan'qie'chu
不稳定的,bu'wen'ding'de
不稳定基因,bu'wen'ding'ji'yin
不稳定酶,bu'wen'ding'mei
不稳定突变,bu'wen'ding'tu'bian
不稳定外毒素,bu'wen'ding'wai'du'su
不稳定性,bu'wen'ding'xing
不稳定状态,bu'wen'ding'zhuang'tai
不相容的,bu'xiang'rong'de
不相容基团,bu'xiang'rong'ji'tuan
不相容性,bu'xiang'rong'xing
不相容质粒,bu'xiang'rong'zhi'li
不需氧脱氢酶,bu'xu'yang'tuo'qing'mei
不需氧氧化,bu'xu'yang'yang'hua
不育,bu'yu
不育的,bu'yu'de
不育性,bu'yu'xing
不育性保持系,bu'yu'xing'bao'chi'xi
步骤,bu'zhou
不转录间隔区,bu'zhuan'lu'jian'ge'qu
不足,bu'zu
菜豆蛋白,cai'dou'dan'bai
彩色光度计,cai'se'guang'du'ji
彩色显示,cai'se'xian'shi
采样,cai'yang
参比电极,can'bi'dian'ji
蚕豆嘌呤核苷,can'dou'piao'ling'he'gan
残基,can'ji
参考,can'kao
残留氮,can'liu'dan
残留的,can'liu'de
残留活性,can'liu'huo'xing
残留螺旋,can'liu'luo'xuan
残留物,can'liu'wu
残留物分析,can'liu'wu'fen'xi
残留物含量,can'liu'wu'han'liang
残留性农药,can'liu'xing'nong'yao
参数评估,can'shu'ping'gu
蚕素,can'su
藏卵器,cang'luan'qi
草本植被,cao'ben'zhi'bei
草履虫素,cao'lv'chong'su
糙皮病,cao'pi'bing
草酰乙酸,cao'xian'yi'suan
草酰乙酰胺,cao'xian'yi'xian'an
操纵基因,cao'zong'ji'yin
操纵子,cao'zong'zi
操纵子融合,cao'zong'zi'rong'he
操纵子网,cao'zong'zi'wang
操作方式,cao'zuo'fang'shi
测定,ce'ding
测定洋地黄效价,ce'ding'yang'di'huang'xiao'jia
测交,ce'jiao
测交品系,ce'jiao'pin'xi
侧链,ce'lian
侧面的,ce'mian'de
测位器,ce'wei'qi
测序,ce'xu
测序策略,ce'xu'ce'lue
测序凝胶,ce'xu'ning'jiao
测序仪,ce'xu'yi
测压法,ce'ya'fa
测验,ce'yan
侧枝的,ce'zhi'de
侧枝神经再生,ce'zhi'shen'jing'zai'sheng
