兵八进一,bing'ba'jin'yi
车四退九,che'si'tui'jiu
车四退六,che'si'tui'liu
车四退七,che'si'tui'qi
车四退三,che'si'tui'san
车四退四,che'si'tui'si
车四退五,che'si'tui'wu
车四退一,che'si'tui'yi
车五进八,che'wu'jin'ba
车五进二,che'wu'jin'er
车五进九,che'wu'jin'jiu
车五进六,che'wu'jin'liu
车五进七,che'wu'jin'qi
车五进三,che'wu'jin'san
车五进四,che'wu'jin'si
车五进五,che'wu'jin'wu
车五进一,che'wu'jin'yi
车五平八,che'wu'ping'ba
车五平二,che'wu'ping'er
车五平九,che'wu'ping'jiu
车五平六,che'wu'ping'liu
车五平七,che'wu'ping'qi
车五平三,che'wu'ping'san
车五平四,che'wu'ping'si
车五平一,che'wu'ping'yi
车五退八,che'wu'tui'ba
车五退二,che'wu'tui'er
车五退九,che'wu'tui'jiu
车五退六,che'wu'tui'liu
车五退七,che'wu'tui'qi
车五退三,che'wu'tui'san
车五退四,che'wu'tui'si
车五退五,che'wu'tui'wu
车五退一,che'wu'tui'yi
车一进八,che'yi'jin'ba
车一进二,che'yi'jin'er
车一进九,che'yi'jin'jiu
车一进六,che'yi'jin'liu
车一进七,che'yi'jin'qi
车一进三,che'yi'jin'san
车一进四,che'yi'jin'si
车一进五,che'yi'jin'wu
车一进一,che'yi'jin'yi
车一平八,che'yi'ping'ba
车一平二,che'yi'ping'er
车一平九,che'yi'ping'jiu
车一平六,che'yi'ping'liu
车一平七,che'yi'ping'qi
车一平三,che'yi'ping'san
车一平四,che'yi'ping'si
车一平五,che'yi'ping'wu
车一退八,che'yi'tui'ba
车一退二,che'yi'tui'er
车一退九,che'yi'tui'jiu
车一退六,che'yi'tui'liu
车一退七,che'yi'tui'qi
车一退三,che'yi'tui'san
车一退四,che'yi'tui'si
车一退五,che'yi'tui'wu
车一退一,che'yi'tui'yi
二兵进一,er'bing'jin'yi
二兵平八,er'bing'ping'ba
二兵平二,er'bing'ping'er
二兵平九,er'bing'ping'jiu
二兵平六,er'bing'ping'liu
二兵平七,er'bing'ping'qi
二兵平三,er'bing'ping'san
二兵平四,er'bing'ping'si
二兵平五,er'bing'ping'wu
二兵平一,er'bing'ping'yi
后兵八进一,hou'bing'ba'jin'yi
后兵八平七,hou'bing'ba'ping'qi
后兵二进一,hou'bing'er'jin'yi
后兵二平三,hou'bing'er'ping'san
后兵进一,hou'bing'jin'yi
后兵九进一,hou'bing'jiu'jin'yi
后兵九平八,hou'bing'jiu'ping'ba
后兵六进一,hou'bing'liu'jin'yi
后兵六平七,hou'bing'liu'ping'qi
后兵六平五,hou'bing'liu'ping'wu
后兵平八,hou'bing'ping'ba
后兵平二,hou'bing'ping'er
后兵平九,hou'bing'ping'jiu
后兵平六,hou'bing'ping'liu
后兵平七,hou'bing'ping'qi
后兵平三,hou'bing'ping'san
后兵平四,hou'bing'ping'si
后兵平五,hou'bing'ping'wu
后兵平一,hou'bing'ping'yi
后兵七进一,hou'bing'qi'jin'yi
后兵七平八,hou'bing'qi'ping'ba
后兵七平六,hou'bing'qi'ping'liu
后兵三进一,hou'bing'san'jin'yi
后兵三平二,hou'bing'san'ping'er
后兵三平四,hou'bing'san'ping'si
后兵四进一,hou'bing'si'jin'yi
后兵四平三,hou'bing'si'ping'san
后兵四平五,hou'bing'si'ping'wu
后兵五进一,hou'bing'wu'jin'yi
后兵五平六,hou'bing'wu'ping'liu
后兵五平四,hou'bing'wu'ping'si
后兵一进一,hou'bing'yi'jin'yi
后兵一平二,hou'bing'yi'ping'er
后车进八,hou'che'jin'ba
后车进二,hou'che'jin'er
后车进六,hou'che'jin'liu
后车进七,hou'che'jin'qi
后车进三,hou'che'jin'san
后车进四,hou'che'jin'si
后车进五,hou'che'jin'wu
后车进一,hou'che'jin'yi
后车平八,hou'che'ping'ba
后车平二,hou'che'ping'er
后车平九,hou'che'ping'jiu
后车平六,hou'che'ping'liu
后车平七,hou'che'ping'qi
后车平三,hou'che'ping'san
后车平四,hou'che'ping'si
后车平五,hou'che'ping'wu
后车平一,hou'che'ping'yi
后车退八,hou'che'tui'ba
后车退二,hou'che'tui'er
后车退六,hou'che'tui'liu
后车退七,hou'che'tui'qi
后车退三,hou'che'tui'san
后车退四,hou'che'tui'si
后车退五,hou'che'tui'wu
后车退一,hou'che'tui'yi
后车进八,hou'ju'jin'ba
后车进二,hou'ju'jin'er
后车进六,hou'ju'jin'liu
后车进七,hou'ju'jin'qi
后车进三,hou'ju'jin'san
后车进四,hou'ju'jin'si
后车进五,hou'ju'jin'wu
后车进一,hou'ju'jin'yi
后车平八,hou'ju'ping'ba
后车平二,hou'ju'ping'er
后车平九,hou'ju'ping'jiu
后车平六,hou'ju'ping'liu
后车平七,hou'ju'ping'qi
后车平三,hou'ju'ping'san
后车平四,hou'ju'ping'si
后车平五,hou'ju'ping'wu
后车平一,hou'ju'ping'yi
后车退八,hou'ju'tui'ba
后车退二,hou'ju'tui'er
后车退六,hou'ju'tui'liu
后车退七,hou'ju'tui'qi
后车退三,hou'ju'tui'san
后车退四,hou'ju'tui'si
后车退五,hou'ju'tui'wu
后车退一,hou'ju'tui'yi
后马进八,hou'ma'jin'ba
后马进二,hou'ma'jin'er
后马进九,hou'ma'jin'jiu
后马进六,hou'ma'jin'liu
后马进七,hou'ma'jin'qi
后马进三,hou'ma'jin'san
后马进四,hou'ma'jin'si
后马进五,hou'ma'jin'wu
后马进一,hou'ma'jin'yi
后马退八,hou'ma'tui'ba
后马退二,hou'ma'tui'er
后马退九,hou'ma'tui'jiu
后马退六,hou'ma'tui'liu
后马退七,hou'ma'tui'qi
后马退三,hou'ma'tui'san
后马退四,hou'ma'tui'si
后马退五,hou'ma'tui'wu
后马退一,hou'ma'tui'yi
后炮进八,hou'pao'jin'ba
后炮进二,hou'pao'jin'er
后炮进九,hou'pao'jin'jiu
后炮进六,hou'pao'jin'liu
后炮进七,hou'pao'jin'qi
后炮进三,hou'pao'jin'san
后炮进四,hou'pao'jin'si
后炮进五,hou'pao'jin'wu
后炮进一,hou'pao'jin'yi
后炮平八,hou'pao'ping'ba
后炮平二,hou'pao'ping'er
后炮平九,hou'pao'ping'jiu
后炮平六,hou'pao'ping'liu
后炮平七,hou'pao'ping'qi
后炮平三,hou'pao'ping'san
后炮平四,hou'pao'ping'si
后炮平五,hou'pao'ping'wu
后炮平一,hou'pao'ping'yi
后炮退八,hou'pao'tui'ba
后炮退二,hou'pao'tui'er
后炮退六,hou'pao'tui'liu
后炮退七,hou'pao'tui'qi
后炮退三,hou'pao'tui'san
后炮退四,hou'pao'tui'si
后炮退五,hou'pao'tui'wu
后炮退一,hou'pao'tui'yi
车八进八,ju'ba'jin'ba
车八进二,ju'ba'jin'er
车八进九,ju'ba'jin'jiu
车八进六,ju'ba'jin'liu
车八进七,ju'ba'jin'qi
车八进三,ju'ba'jin'san
车八进四,ju'ba'jin'si
车八进五,ju'ba'jin'wu
车八进一,ju'ba'jin'yi
车八平二,ju'ba'ping'er
车八平九,ju'ba'ping'jiu
车八平六,ju'ba'ping'liu
车八平七,ju'ba'ping'qi
车八平三,ju'ba'ping'san
车八平四,ju'ba'ping'si
车八平五,ju'ba'ping'wu
车八平一,ju'ba'ping'yi
车八退八,ju'ba'tui'ba
车八退二,ju'ba'tui'er
车八退九,ju'ba'tui'jiu
车八退六,ju'ba'tui'liu
车八退七,ju'ba'tui'qi
车八退三,ju'ba'tui'san
车八退四,ju'ba'tui'si
车八退五,ju'ba'tui'wu
车八退一,ju'ba'tui'yi
车二进八,ju'er'jin'ba
车二进二,ju'er'jin'er
车二进九,ju'er'jin'jiu
车二进六,ju'er'jin'liu
车二进七,ju'er'jin'qi
车二进三,ju'er'jin'san
车二进四,ju'er'jin'si
车二进五,ju'er'jin'wu
车二进一,ju'er'jin'yi
车二平八,ju'er'ping'ba
车二平九,ju'er'ping'jiu
车二平六,ju'er'ping'liu
车二平七,ju'er'ping'qi
车二平三,ju'er'ping'san
车二平四,ju'er'ping'si
车二平五,ju'er'ping'wu
车二平一,ju'er'ping'yi
车二退八,ju'er'tui'ba
车二退二,ju'er'tui'er
车二退九,ju'er'tui'jiu
车二退六,ju'er'tui'liu
车二退七,ju'er'tui'qi
车二退三,ju'er'tui'san
车二退四,ju'er'tui'si
车二退五,ju'er'tui'wu
车二退一,ju'er'tui'yi
车九进八,ju'jiu'jin'ba
车九进二,ju'jiu'jin'er
车九进九,ju'jiu'jin'jiu
车九进六,ju'jiu'jin'liu
车九进七,ju'jiu'jin'qi
车九进三,ju'jiu'jin'san
车九进四,ju'jiu'jin'si
车九进五,ju'jiu'jin'wu
车九进一,ju'jiu'jin'yi
车九平八,ju'jiu'ping'ba
车九平二,ju'jiu'ping'er
车九平六,ju'jiu'ping'liu
车九平七,ju'jiu'ping'qi
车九平三,ju'jiu'ping'san
车九平四,ju'jiu'ping'si
车九平五,ju'jiu'ping'wu
车九平一,ju'jiu'ping'yi
车九退八,ju'jiu'tui'ba
车九退二,ju'jiu'tui'er
车九退九,ju'jiu'tui'jiu
车九退六,ju'jiu'tui'liu
车九退七,ju'jiu'tui'qi
车九退三,ju'jiu'tui'san
车九退四,ju'jiu'tui'si
车九退五,ju'jiu'tui'wu
车九退一,ju'jiu'tui'yi
车六进八,ju'liu'jin'ba
车六进二,ju'liu'jin'er
车六进九,ju'liu'jin'jiu
车六进六,ju'liu'jin'liu
车六进七,ju'liu'jin'qi
车六进三,ju'liu'jin'san
车六进四,ju'liu'jin'si
车六进五,ju'liu'jin'wu
车六进一,ju'liu'jin'yi
车六平八,ju'liu'ping'ba
车六平二,ju'liu'ping'er
车六平九,ju'liu'ping'jiu
车六平七,ju'liu'ping'qi
车六平三,ju'liu'ping'san
车六平四,ju'liu'ping'si
车六平五,ju'liu'ping'wu
车六平一,ju'liu'ping'yi
车六退八,ju'liu'tui'ba
车六退二,ju'liu'tui'er
车六退九,ju'liu'tui'jiu
车六退六,ju'liu'tui'liu
车六退七,ju'liu'tui'qi
车六退三,ju'liu'tui'san
车六退四,ju'liu'tui'si
车六退五,ju'liu'tui'wu
车六退一,ju'liu'tui'yi
车七进八,ju'qi'jin'ba
车七进二,ju'qi'jin'er
车七进九,ju'qi'jin'jiu
车七进六,ju'qi'jin'liu
车七进七,ju'qi'jin'qi
车七进三,ju'qi'jin'san
车七进四,ju'qi'jin'si
车七进五,ju'qi'jin'wu
车七进一,ju'qi'jin'yi
车七平八,ju'qi'ping'ba
车七平二,ju'qi'ping'er
车七平九,ju'qi'ping'jiu
车七平六,ju'qi'ping'liu
车七平三,ju'qi'ping'san
车七平四,ju'qi'ping'si
车七平五,ju'qi'ping'wu
车七平一,ju'qi'ping'yi
车七退八,ju'qi'tui'ba
车七退二,ju'qi'tui'er
车七退九,ju'qi'tui'jiu
车七退六,ju'qi'tui'liu
车七退七,ju'qi'tui'qi
车七退三,ju'qi'tui'san
车七退四,ju'qi'tui'si
车七退五,ju'qi'tui'wu
车七退一,ju'qi'tui'yi
车三进八,ju'san'jin'ba
车三进二,ju'san'jin'er
车三进九,ju'san'jin'jiu
车三进六,ju'san'jin'liu
车三进七,ju'san'jin'qi
车三进三,ju'san'jin'san
车三进四,ju'san'jin'si
车三进五,ju'san'jin'wu
车三进一,ju'san'jin'yi
车三平八,ju'san'ping'ba
车三平二,ju'san'ping'er
车三平九,ju'san'ping'jiu
车三平六,ju'san'ping'liu
车三平七,ju'san'ping'qi
车三平四,ju'san'ping'si
车三平五,ju'san'ping'wu
车三平一,ju'san'ping'yi
车三退八,ju'san'tui'ba
车三退二,ju'san'tui'er
车三退九,ju'san'tui'jiu
车三退六,ju'san'tui'liu
车三退七,ju'san'tui'qi
车三退三,ju'san'tui'san
车三退四,ju'san'tui'si
车三退五,ju'san'tui'wu
车三退一,ju'san'tui'yi
车四进八,ju'si'jin'ba
车四进二,ju'si'jin'er
车四进九,ju'si'jin'jiu
车四进六,ju'si'jin'liu
车四进七,ju'si'jin'qi
车四进三,ju'si'jin'san
车四进四,ju'si'jin'si
车四进五,ju'si'jin'wu
车四进一,ju'si'jin'yi
车四平八,ju'si'ping'ba
车四平二,ju'si'ping'er
车四平九,ju'si'ping'jiu
车四平六,ju'si'ping'liu
车四平七,ju'si'ping'qi
车四平三,ju'si'ping'san
车四平五,ju'si'ping'wu
车四平一,ju'si'ping'yi
车四退八,ju'si'tui'ba
车四退二,ju'si'tui'er
车四退九,ju'si'tui'jiu
车四退六,ju'si'tui'liu
车四退七,ju'si'tui'qi
车四退三,ju'si'tui'san
车四退四,ju'si'tui'si
车四退五,ju'si'tui'wu
车四退一,ju'si'tui'yi
车五进八,ju'wu'jin'ba
车五进二,ju'wu'jin'er
车五进九,ju'wu'jin'jiu
车五进六,ju'wu'jin'liu
车五进七,ju'wu'jin'qi
车五进三,ju'wu'jin'san
车五进四,ju'wu'jin'si
车五进五,ju'wu'jin'wu
车五进一,ju'wu'jin'yi
车五平八,ju'wu'ping'ba
车五平二,ju'wu'ping'er
车五平九,ju'wu'ping'jiu
车五平六,ju'wu'ping'liu
车五平七,ju'wu'ping'qi
车五平三,ju'wu'ping'san
车五平四,ju'wu'ping'si
车五平一,ju'wu'ping'yi
车五退八,ju'wu'tui'ba
车五退二,ju'wu'tui'er
车五退九,ju'wu'tui'jiu
车五退六,ju'wu'tui'liu
车五退七,ju'wu'tui'qi
车五退三,ju'wu'tui'san
车五退四,ju'wu'tui'si
车五退五,ju'wu'tui'wu
车五退一,ju'wu'tui'yi
车一进八,ju'yi'jin'ba
车一进二,ju'yi'jin'er
车一进九,ju'yi'jin'jiu
车一进六,ju'yi'jin'liu
车一进七,ju'yi'jin'qi
车一进三,ju'yi'jin'san
车一进四,ju'yi'jin'si
车一进五,ju'yi'jin'wu
车一进一,ju'yi'jin'yi
车一平八,ju'yi'ping'ba
车一平二,ju'yi'ping'er
车一平九,ju'yi'ping'jiu
车一平六,ju'yi'ping'liu
车一平七,ju'yi'ping'qi
车一平三,ju'yi'ping'san
车一平四,ju'yi'ping'si
车一平五,ju'yi'ping'wu
车一退八,ju'yi'tui'ba
车一退二,ju'yi'tui'er
车一退九,ju'yi'tui'jiu
车一退六,ju'yi'tui'liu
车一退七,ju'yi'tui'qi
车一退三,ju'yi'tui'san
车一退四,ju'yi'tui'si
车一退五,ju'yi'tui'wu
车一退一,ju'yi'tui'yi
马八进九,ma'ba'jin'jiu
马八进六,ma'ba'jin'liu
马八进七,ma'ba'jin'qi
马八退九,ma'ba'tui'jiu
马八退六,ma'ba'tui'liu
马八退七,ma'ba'tui'qi
马二进三,ma'er'jin'san
马二进四,ma'er'jin'si
马二进一,ma'er'jin'yi
马二退三,ma'er'tui'san
马二退四,ma'er'tui'si
马二退一,ma'er'tui'yi
马九进八,ma'jiu'jin'ba
马九进七,ma'jiu'jin'qi
马九退八,ma'jiu'tui'ba
马九退七,ma'jiu'tui'qi
马六进八,ma'liu'jin'ba
马六进七,ma'liu'jin'qi
马六进四,ma'liu'jin'si
马六进五,ma'liu'jin'wu
马六退八,ma'liu'tui'ba
马六退七,ma'liu'tui'qi
马六退四,ma'liu'tui'si
马六退五,ma'liu'tui'wu
马七进八,ma'qi'jin'ba
马七进九,ma'qi'jin'jiu
马七进六,ma'qi'jin'liu
马七进五,ma'qi'jin'wu
马七退八,ma'qi'tui'ba
马七退九,ma'qi'tui'jiu
马七退六,ma'qi'tui'liu
马七退五,ma'qi'tui'wu
马三进二,ma'san'jin'er
马三进四,ma'san'jin'si
马三进五,ma'san'jin'wu
马三进一,ma'san'jin'yi
马三退二,ma'san'tui'er
马三退四,ma'san'tui'si
马三退五,ma'san'tui'wu
马三退一,ma'san'tui'yi
马四进二,ma'si'jin'er
马四进六,ma'si'jin'liu
马四进三,ma'si'jin'san
马四进五,ma'si'jin'wu
马四退二,ma'si'tui'er
马四退六,ma'si'tui'liu
马四退三,ma'si'tui'san
马四退五,ma'si'tui'wu
马五进六,ma'wu'jin'liu
马五进七,ma'wu'jin'qi
马五进三,ma'wu'jin'san
马五进四,ma'wu'jin'si
马五退六,ma'wu'tui'liu
马五退七,ma'wu'tui'qi
马五退三,ma'wu'tui'san
马五退四,ma'wu'tui'si
马一进二,ma'yi'jin'er
马一进三,ma'yi'jin'san
马一退二,ma'yi'tui'er
马一退三,ma'yi'tui'san
炮八进八,pao'ba'jin'ba
炮八进二,pao'ba'jin'er
炮八进九,pao'ba'jin'jiu
炮八进六,pao'ba'jin'liu
炮八进七,pao'ba'jin'qi
炮八进三,pao'ba'jin'san
炮八进四,pao'ba'jin'si
炮八进五,pao'ba'jin'wu
炮八进一,pao'ba'jin'yi
炮八平二,pao'ba'ping'er
炮八平九,pao'ba'ping'jiu
炮八平六,pao'ba'ping'liu
炮八平七,pao'ba'ping'qi
炮八平三,pao'ba'ping'san
炮八平四,pao'ba'ping'si
炮八平五,pao'ba'ping'wu
炮八平一,pao'ba'ping'yi
炮八退八,pao'ba'tui'ba
炮八退二,pao'ba'tui'er
炮八退九,pao'ba'tui'jiu
炮八退六,pao'ba'tui'liu
炮八退七,pao'ba'tui'qi
炮八退三,pao'ba'tui'san
炮八退四,pao'ba'tui'si
炮八退五,pao'ba'tui'wu
炮八退一,pao'ba'tui'yi
炮二进八,pao'er'jin'ba
炮二进二,pao'er'jin'er
炮二进九,pao'er'jin'jiu
炮二进六,pao'er'jin'liu
炮二进七,pao'er'jin'qi
炮二进三,pao'er'jin'san
炮二进四,pao'er'jin'si
炮二进五,pao'er'jin'wu
炮二进一,pao'er'jin'yi
炮二平八,pao'er'ping'ba
炮二平九,pao'er'ping'jiu
炮二平六,pao'er'ping'liu
炮二平七,pao'er'ping'qi
炮二平三,pao'er'ping'san
炮二平四,pao'er'ping'si
炮二平五,pao'er'ping'wu
炮二平一,pao'er'ping'yi
炮二退八,pao'er'tui'ba
炮二退二,pao'er'tui'er
炮二退九,pao'er'tui'jiu
炮二退六,pao'er'tui'liu
炮二退七,pao'er'tui'qi
炮二退三,pao'er'tui'san
炮二退四,pao'er'tui'si
炮二退五,pao'er'tui'wu
炮二退一,pao'er'tui'yi
炮九进八,pao'jiu'jin'ba
炮九进二,pao'jiu'jin'er
炮九进九,pao'jiu'jin'jiu
炮九进六,pao'jiu'jin'liu
炮九进七,pao'jiu'jin'qi
炮九进三,pao'jiu'jin'san
炮九进四,pao'jiu'jin'si
炮九进五,pao'jiu'jin'wu
炮九进一,pao'jiu'jin'yi
炮九平八,pao'jiu'ping'ba
炮九平二,pao'jiu'ping'er
炮九平六,pao'jiu'ping'liu
炮九平七,pao'jiu'ping'qi
炮九平三,pao'jiu'ping'san
炮九平四,pao'jiu'ping'si
炮九平五,pao'jiu'ping'wu
炮九平一,pao'jiu'ping'yi
炮九退八,pao'jiu'tui'ba
炮九退二,pao'jiu'tui'er
炮九退九,pao'jiu'tui'jiu
炮九退六,pao'jiu'tui'liu
炮九退七,pao'jiu'tui'qi
炮九退三,pao'jiu'tui'san
炮九退四,pao'jiu'tui'si
炮九退五,pao'jiu'tui'wu
炮九退一,pao'jiu'tui'yi
炮六进八,pao'liu'jin'ba
炮六进二,pao'liu'jin'er
炮六进九,pao'liu'jin'jiu
炮六进六,pao'liu'jin'liu
炮六进七,pao'liu'jin'qi
炮六进三,pao'liu'jin'san
炮六进四,pao'liu'jin'si
炮六进五,pao'liu'jin'wu
炮六进一,pao'liu'jin'yi
炮六平八,pao'liu'ping'ba
炮六平二,pao'liu'ping'er
炮六平九,pao'liu'ping'jiu
炮六平七,pao'liu'ping'qi
炮六平三,pao'liu'ping'san
炮六平四,pao'liu'ping'si
炮六平五,pao'liu'ping'wu
炮六平一,pao'liu'ping'yi
炮六退八,pao'liu'tui'ba
炮六退二,pao'liu'tui'er
炮六退九,pao'liu'tui'jiu
炮六退六,pao'liu'tui'liu
炮六退七,pao'liu'tui'qi
炮六退三,pao'liu'tui'san
炮六退四,pao'liu'tui'si
炮六退五,pao'liu'tui'wu
炮六退一,pao'liu'tui'yi
炮七进八,pao'qi'jin'ba
炮七进二,pao'qi'jin'er
炮七进九,pao'qi'jin'jiu
炮七进六,pao'qi'jin'liu
炮七进七,pao'qi'jin'qi
炮七进三,pao'qi'jin'san
炮七进四,pao'qi'jin'si
炮七进五,pao'qi'jin'wu
炮七进一,pao'qi'jin'yi
炮七平八,pao'qi'ping'ba
炮七平二,pao'qi'ping'er
炮七平九,pao'qi'ping'jiu
炮七平六,pao'qi'ping'liu
炮七平三,pao'qi'ping'san
炮七平四,pao'qi'ping'si
炮七平五,pao'qi'ping'wu
炮七平一,pao'qi'ping'yi
炮七退八,pao'qi'tui'ba
炮七退二,pao'qi'tui'er
炮七退九,pao'qi'tui'jiu
炮七退六,pao'qi'tui'liu
炮七退七,pao'qi'tui'qi
炮七退三,pao'qi'tui'san
炮七退四,pao'qi'tui'si
炮七退五,pao'qi'tui'wu
炮七退一,pao'qi'tui'yi
炮三进八,pao'san'jin'ba
炮三进二,pao'san'jin'er
炮三进九,pao'san'jin'jiu
炮三进六,pao'san'jin'liu
炮三进七,pao'san'jin'qi
炮三进三,pao'san'jin'san
炮三进四,pao'san'jin'si
炮三进五,pao'san'jin'wu
炮三进一,pao'san'jin'yi
炮三平八,pao'san'ping'ba
炮三平二,pao'san'ping'er
炮三平九,pao'san'ping'jiu
炮三平六,pao'san'ping'liu
炮三平七,pao'san'ping'qi
炮三平四,pao'san'ping'si
炮三平五,pao'san'ping'wu
炮三平一,pao'san'ping'yi
炮三退八,pao'san'tui'ba
炮三退二,pao'san'tui'er
